rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
34,1,00:23:57,43130,20,14,18,1,short service,0.0,1,2.0,7,0.8939024390243904,-0.3445833333333334,,,8,170.4,644.94,8,221.0,285.28,1,18,1462
34,2,00:23:58,43151,20,14,15,2,lob,0.0,0,1.0,8,-0.7268292682926829,1.4784895833333334,,,7,219.8,366.53,8,181.1,657.45,1,18,1462
34,3,00:23:59,43180,20,14,18,2,clear,0.0,0,1.0,5,-1.0560975609756096,-1.1441666666666668,,,8,161.2,722.95,8,175.3,299.8,1,18,1462
34,4,00:24:00,43203,20,14,15,2,smash,1.0,0,2.0,6,-0.8817073170731707,0.8435416666666669,,,8,135.4,255.08,8,152.5,713.13,1,18,1462
34,5,00:24:00,43218,20,14,18,2,defensive shot,0.0,1,2.0,2,1.0585365853658537,-0.4324479166666665,,,8,147.4,648.99,8,132.3,249.94,1,18,1462
34,6,00:24:01,43246,20,14,15,2,lob,0.0,0,1.0,3,1.184146341463415,1.5892708333333332,,,7,234.6,381.75,8,200.5,647.9,1,18,1462
34,7,00:24:02,43279,20,14,18,2,drop,0.0,0,2.0,2,1.079268292682927,-0.3011458333333333,,,9,241.5,771.92,8,216.2,304.67,1,18,1462
34,8,00:24:03,43306,20,14,15,2,push/rush,0.0,0,1.0,8,-0.6402439024390244,0.9180729166666666,,,7,234.1,377.45,8,219.3,698.54,1,18,1462
34,9,00:24:04,43322,20,14,18,2,defensive shot,0.0,1,1.0,8,0.302439024390244,-1.2527604166666666,,,8,207.0,663.05,8,224.8,357.71,1,18,1462
34,10,00:24:05,43359,20,14,15,2,smash,0.0,0,2.0,5,1.2548780487804876,1.2011979166666666,,,8,208.5,237.03,8,198.1,705.97,1,18,1462
34,11,00:24:05,43373,20,14,18,2,defensive shot,0.0,0,1.0,2,0.9597560975609756,-0.1335937499999998,,,8,222.4,731.75,8,219.2,250.04,1,18,1462
34,12,00:24:06,43393,20,14,15,3,push/rush,0.0,0,2.0,7,0.6829268292682927,-0.0134374999999999,touched the net,18.0,8,244.4,346.56,5,268.1,715.1,1,18,1462
