rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
15,1,00:16:29,29697,2,top,short service,,,"[1001, 551]","[[960.90234375, 483.8056640625], [963.7625732421875, 480.9338073730469], [958.0421142578125, 480.9338073730469], [966.622802734375, 483.8056640625], [948.0313110351562, 480.9338073730469], [965.1927490234375, 505.3448791503906], [938.0204467773438, 499.60107421875], [982.3541259765625, 516.8323974609375], [925.1492919921875, 508.2167663574219], [999.5155639648438, 536.9356689453125], [938.0204467773438, 521.1402587890625], [945.1710815429688, 554.1670532226562], [928.0095825195312, 548.4232177734375], [936.5902709960938, 588.6296997070312], [940.8806762695312, 587.1937255859375], [922.2890625, 614.4767456054688], [936.5902709960938, 631.7080688476562], [929.4396667480469, 623.0924072265625]]","[[1101.7071533203125, 649.5454711914062], [1101.7071533203125, 646.6707763671875], [1127.2119140625, 645.2334594726562], [1103.1240234375, 650.9827880859375], [1125.794921875, 649.5454711914062], [1091.78857421875, 675.41748046875], [1139.9642333984375, 672.5427856445312], [1079.0362548828125, 711.350830078125], [1147.0489501953125, 714.2254638671875], [1100.2901611328125, 694.102783203125], [1122.9610595703125, 709.9134521484375], [1098.873291015625, 744.409423828125], [1130.0457763671875, 744.409423828125], [1100.2901611328125, 801.9027099609375], [1130.0457763671875, 807.652099609375], [1097.456298828125, 853.646728515625], [1131.462646484375, 870.8948364257812], [1114.45947265625, 862.2707824707031]]"
15,2,00:16:30,29723,23,bottom,push/rush,,,"[1096, 591]","[[979.6106567382812, 477.2677917480469], [983.8695678710938, 472.9638977050781], [975.3516235351562, 472.9638977050781], [986.7088623046875, 474.39849853515625], [968.25341796875, 474.39849853515625], [986.7088623046875, 498.7874450683594], [958.31591796875, 497.352783203125], [986.7088623046875, 523.1763916015625], [937.0211181640625, 521.74169921875], [990.9678344726562, 543.2614135742188], [931.3425903320312, 547.5653076171875], [973.9320068359375, 547.5653076171875], [952.6373291015625, 547.5653076171875], [990.9678344726562, 577.6928100585938], [955.4766235351562, 584.8660278320312], [981.0302734375, 613.5588989257812], [941.2801513671875, 629.3399658203125], [961.1552124023438, 621.4494323730469]]","[[1038.1336669921875, 641.806884765625], [1039.568359375, 641.806884765625], [1039.568359375, 640.3663330078125], [1039.568359375, 650.4501342773438], [1056.7841796875, 657.65283203125], [1030.96044921875, 666.2960815429688], [1048.17626953125, 673.498779296875], [1016.6139526367188, 657.65283203125], [1030.96044921875, 660.533935546875], [1000.832763671875, 640.3663330078125], [995.0940551757812, 628.842041015625], [1028.091064453125, 736.8826293945312], [1049.6109619140625, 738.3231201171875], [1016.6139526367188, 807.4691162109375], [1023.7871704101562, 803.1475219726562], [1063.9573974609375, 823.3150634765625], [1066.8267822265625, 824.7556762695312], [1065.39208984375, 824.0353698730469]]"
15,3,00:16:31,29747,2,top,clear,,,"[1106, 307]","[[1087.6524658203125, 432.4013977050781], [1090.5225830078125, 430.9640197753906], [1084.7823486328125, 428.0892333984375], [1079.042236328125, 432.4013977050781], [1087.6524658203125, 438.1510009765625], [1067.561767578125, 432.4013977050781], [1070.431884765625, 449.6501770019531], [1087.6524658203125, 471.21112060546875], [1089.0875244140625, 472.6485595703125], [1094.82763671875, 452.52496337890625], [1097.6978759765625, 449.6501770019531], [1050.341064453125, 484.147705078125], [1033.1204833984375, 478.3981018066406], [1066.126708984375, 525.832275390625], [1015.8998413085938, 527.2696533203125], [1080.4771728515625, 567.5167236328125], [1010.15966796875, 574.7037353515625], [1045.3184204101562, 571.1102294921875]]","[[979.2855224609375, 645.0250244140625], [980.7177124023438, 642.1548461914062], [982.14990234375, 645.0250244140625], [982.14990234375, 647.8951416015625], [1003.63232421875, 647.8951416015625], [970.692626953125, 663.6810913085938], [1015.0895385742188, 670.8565063476562], [946.3458251953125, 686.6423950195312], [1029.4112548828125, 708.1686401367188], [924.8634033203125, 695.2529296875], [1032.2755126953125, 723.95458984375], [972.1248168945312, 734.0001831054688], [1003.63232421875, 735.4352416992188], [950.6423950195312, 794.273681640625], [1017.9539184570312, 789.9683837890625], [932.0242919921875, 848.8068237304688], [1026.546875, 848.8068237304688], [979.2855834960938, 848.8068237304688]]"
15,4,00:16:32,29772,23,bottom,smash,,,"[827, 506]","[[1023.9119262695312, 449.9082946777344], [1028.1666259765625, 447.02691650390625], [1021.0753173828125, 447.02691650390625], [1032.42138671875, 449.9082946777344], [1016.8206176757812, 449.9082946777344], [1039.5125732421875, 470.0778503417969], [1005.474609375, 470.0778503417969], [1056.5316162109375, 491.6881103515625], [998.3833618164062, 497.4508361816406], [1060.786376953125, 513.2984008789062], [992.7103271484375, 524.8237915039062], [1032.42138671875, 521.9425048828125], [1011.1476440429688, 521.9425048828125], [1031.003173828125, 565.1629638671875], [1006.892822265625, 566.6036376953125], [1029.5849609375, 602.6207275390625], [1025.330078125, 581.010498046875], [1027.45751953125, 591.8156127929688]]","[[883.2092895507812, 671.6459350585938], [886.070068359375, 673.082763671875], [884.6396484375, 677.3931274414062], [840.2982177734375, 694.6345825195312], [860.3233642578125, 678.8298950195312], [858.8930053710938, 706.1288452148438], [877.4878540039062, 681.7034912109375], [880.3485107421875, 635.726318359375], [878.918212890625, 631.4159545898438], [881.7789306640625, 668.7723999023438], [873.1966552734375, 598.3698120117188], [883.2092895507812, 760.726806640625], [913.2470703125, 757.853271484375], [866.0448608398438, 816.761474609375], [913.2470703125, 823.9454956054688], [856.0322875976562, 859.8651123046875], [908.9559936523438, 881.4169311523438], [882.494140625, 870.6410217285156]]"
15,5,00:16:33,29794,2,top,defensive shot,,,"[654, 587]","[[711.99169921875, 593.89697265625], [945.470947265625, 619.6491088867188], [868.1220092773438, 532.3778686523438], [786.4758911132812, 532.3778686523438], [793.6377563476562, 532.3778686523438], [825.1503295898438, 532.3778686523438], [825.1503295898438, 532.3778686523438], [862.3924560546875, 532.3778686523438], [839.4742431640625, 532.3778686523438], [866.6896362304688, 532.3778686523438], [863.8248291015625, 532.3778686523438], [852.3657836914062, 566.714111328125], [855.23046875, 565.2833862304688], [883.8782348632812, 586.7435913085938], [885.3106689453125, 588.1742553710938], [779.3139038085938, 619.6491088867188], [779.3139038085938, 622.5104370117188], [779.3139038085938, 621.0797729492188]]","[[788.8538208007812, 690.9030151367188], [788.8538208007812, 685.155029296875], [817.5848388671875, 680.8441162109375], [791.7269287109375, 683.7180786132812], [817.5848388671875, 679.4071044921875], [794.60009765625, 706.7099609375], [837.6964721679688, 700.9619750976562], [791.7269287109375, 742.6348266601562], [860.6813354492188, 726.827880859375], [773.0518188476562, 768.500732421875], [867.8640747070312, 757.0047607421875], [831.9503784179688, 778.5595703125], [860.6813354492188, 777.1226196289062], [819.0214233398438, 846.0983276367188], [844.8792114257812, 836.0393676757812], [852.06201171875, 900.7039794921875], [879.3564453125, 884.8970336914062], [865.709228515625, 892.8005065917969]]"
15,6,00:16:34,29821,23,bottom,net shot,,,"[716, 555]","[[869.303955078125, 478.3136291503906], [873.5712890625, 474.0072937011719], [866.4591064453125, 474.0072937011719], [879.260986328125, 476.878173828125], [860.7694091796875, 476.878173828125], [892.0628051757812, 494.10357666015625], [855.0797119140625, 496.9744873046875], [913.3992919921875, 502.71624755859375], [838.010498046875, 522.8125], [923.3562622070312, 525.6834106445312], [828.0535278320312, 552.9569091796875], [893.4852294921875, 542.9088134765625], [867.8815307617188, 542.9088134765625], [911.9768676757812, 580.23046875], [847.967529296875, 575.924072265625], [907.7095947265625, 607.5039672851562], [853.6572875976562, 610.3748779296875], [880.6834411621094, 608.9394226074219]]","[[715.9757080078125, 652.8975219726562], [724.5685424804688, 650.0327758789062], [721.7042846679688, 650.0327758789062], [728.8649291992188, 657.1946411132812], [746.050537109375, 660.0593872070312], [731.7291870117188, 674.3831176757812], [718.8399658203125, 670.0859985351562], [736.0255737304688, 680.1126098632812], [697.3579711914062, 664.3565063476562], [681.6044921875, 657.1946411132812], [681.6044921875, 657.1946411132812], [740.3219604492188, 744.5695190429688], [763.236083984375, 740.2723388671875], [717.4078369140625, 800.43212890625], [715.9757080078125, 798.9996948242188], [747.4827270507812, 819.0529174804688], [751.779052734375, 816.1881713867188], [749.6308898925781, 817.6205444335938]]"
15,7,00:16:34,29845,2,top,push/rush,,,"[1146, 553]","[[1124.2037353515625, 553.5386352539062], [1124.2037353515625, 550.6603393554688], [1121.346923828125, 550.6603393554688], [1107.0625, 554.9777221679688], [1108.4908447265625, 553.5386352539062], [1115.633056640625, 572.247314453125], [1104.20556640625, 569.3690185546875], [1131.345947265625, 589.5169067382812], [1111.3477783203125, 578.0038452148438], [1115.633056640625, 580.8821411132812], [1124.2037353515625, 580.8821411132812], [1087.0643310546875, 616.8604125976562], [1075.6368408203125, 618.299560546875], [1069.923095703125, 647.0822143554688], [1111.3477783203125, 624.0560913085938], [1034.2120361328125, 647.0822143554688], [1132.7744140625, 670.1083374023438], [1083.4932250976562, 658.5952758789062]]","[[883.6657104492188, 628.4722900390625], [883.6657104492188, 625.6043701171875], [882.2322387695312, 625.6043701171875], [859.2950439453125, 624.17041015625], [879.3650512695312, 628.4722900390625], [846.3928833007812, 644.2456665039062], [873.6307983398438, 649.9815063476562], [829.1900024414062, 671.4907836914062], [872.1972045898438, 685.8302612304688], [900.86865234375, 698.7357788085938], [903.7357177734375, 698.7357788085938], [820.588623046875, 710.2073974609375], [836.3578491210938, 715.9431762695312], [854.994384765625, 763.2635498046875], [865.029296875, 767.5653686523438], [850.693603515625, 810.5838623046875], [824.8892822265625, 809.1498413085938], [837.7914428710938, 809.8668518066406]]"
15,8,00:16:35,29872,23,bottom,clear,,,"[767, 508]","[[997.7796630859375, 478.8749694824219], [1002.0360717773438, 474.56817626953125], [993.523193359375, 476.0037536621094], [1007.7114868164062, 477.4393615722656], [989.2666015625, 477.4393615722656], [1019.0621337890625, 494.6665954589844], [982.1724853515625, 494.6665954589844], [1038.92578125, 520.5074462890625], [972.2406616210938, 521.9430541992188], [1043.1822509765625, 544.9126586914062], [970.8218383789062, 547.7838745117188], [1014.8056030273438, 544.9126586914062], [990.6854248046875, 546.3482666015625], [1027.5751953125, 586.5451049804688], [989.2666015625, 587.980712890625], [1036.088134765625, 633.9199829101562], [989.2666015625, 631.0487670898438], [1012.6773681640625, 632.484375]]","[[868.1024169921875, 661.0777587890625], [868.1024169921875, 661.0777587890625], [866.66748046875, 662.5177612304688], [830.7952880859375, 701.3973999023438], [843.7092895507812, 678.3576049804688], [839.4046630859375, 702.83740234375], [863.7977294921875, 679.7975463867188], [845.1441650390625, 620.7581176757812], [846.5791015625, 623.6381225585938], [863.7977294921875, 666.8377075195312], [832.2301635742188, 593.3983154296875], [872.4071044921875, 751.7969970703125], [901.1048583984375, 746.0370483398438], [855.1883544921875, 809.3964233398438], [916.888671875, 815.1563720703125], [832.2301635742188, 851.1561279296875], [931.237548828125, 865.5559692382812], [881.7338562011719, 858.3560485839844]]"
15,9,00:16:36,29899,2,top,drop,,,"[836, 339]","[[848.0670166015625, 411.4512023925781], [852.3551635742188, 410.01715087890625], [846.6376342773438, 407.1490478515625], [859.5020141601562, 414.3192443847656], [842.3495483398438, 410.01715087890625], [855.2138671875, 435.82989501953125], [830.91455078125, 422.92352294921875], [858.0726318359375, 464.5107727050781], [809.4739990234375, 391.3745422363281], [865.219482421875, 448.7362976074219], [868.0782470703125, 445.86822509765625], [843.7789306640625, 484.5873718261719], [828.0558471679688, 481.7192687988281], [848.0670166015625, 540.5150756835938], [813.7621459960938, 527.608642578125], [858.0726318359375, 579.2341918945312], [822.3383178710938, 560.5916748046875], [840.2054748535156, 569.9129333496094]]","[[837.660888671875, 689.0941162109375], [837.660888671875, 683.3533935546875], [840.5404052734375, 683.3533935546875], [839.1006469726562, 683.3533935546875], [862.1363525390625, 681.918212890625], [830.462158203125, 706.3162841796875], [879.4132080078125, 703.4459228515625], [801.6675415039062, 739.3253784179688], [903.8887329101562, 739.3253784179688], [798.7880249023438, 739.3253784179688], [912.527099609375, 757.9827270507812], [847.739013671875, 780.945556640625], [880.8529663085938, 776.6400146484375], [827.582763671875, 838.352783203125], [888.0516357421875, 832.612060546875], [824.7033081054688, 892.8895874023438], [882.2926025390625, 894.3248291015625], [853.4979553222656, 893.6072082519531]]"
15,10,00:16:37,29920,23,bottom,net shot,,,"[1173, 720]","[[890.0224609375, 473.7784423828125], [894.2893676757812, 470.90594482421875], [887.177734375, 470.90594482421875], [897.134033203125, 473.7784423828125], [878.6439208984375, 469.4696960449219], [890.0224609375, 496.758544921875], [861.5760498046875, 483.8322448730469], [897.134033203125, 519.7386474609375], [834.5519409179688, 496.758544921875], [897.134033203125, 518.3023681640625], [813.2171630859375, 513.9935913085938], [870.1099853515625, 534.1011962890625], [850.197509765625, 526.919921875], [871.5322875976562, 571.4437866210938], [843.0858764648438, 568.5712890625], [848.775146484375, 597.29638671875], [828.8626708984375, 582.933837890625], [838.8189086914062, 590.1151123046875]]","[[1068.7548828125, 712.5009155273438], [1068.7548828125, 708.1922607421875], [1070.1937255859375, 713.9370727539062], [1068.7548828125, 711.064697265625], [1090.33642578125, 713.9370727539062], [1057.2447509765625, 722.55419921875], [1096.091552734375, 732.6075439453125], [1027.03076171875, 729.7351684570312], [1107.6016845703125, 744.0970458984375], [992.500244140625, 732.6075439453125], [1126.3056640625, 748.4055786132812], [1057.2447509765625, 775.6931762695312], [1087.458984375, 778.5655517578125], [1024.1531982421875, 825.9597778320312], [1110.479248046875, 790.0551147460938], [986.7451782226562, 858.9921875], [1129.1832275390625, 833.1408081054688], [1057.9642028808594, 846.0664978027344]]"
