rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
21,1,00:43:26,78197,2,bottom,long service,,,"[1277, 538]","[[1057.8570556640625, 297.07830810546875], [1062.0452880859375, 292.7557678222656], [1057.8570556640625, 292.7557678222656], [1066.2335205078125, 297.07830810546875], [1057.8570556640625, 297.07830810546875], [1070.421875, 312.9276428222656], [1057.8570556640625, 314.3684997558594], [1084.3828125, 333.0995178222656], [1056.4609375, 335.9812316894531], [1070.421875, 338.8629455566406], [1053.668701171875, 366.2390441894531], [1071.8179931640625, 361.91650390625], [1060.649169921875, 360.4756774902344], [1067.6297607421875, 400.8194274902344], [1050.8765869140625, 382.0884094238281], [1069.0257568359375, 441.1631774902344], [1062.0452880859375, 419.5504455566406], [1065.5355224609375, 430.3568115234375]]","[[935.0328369140625, 549.051513671875], [937.894287109375, 544.7355346679688], [930.7405395507812, 543.2968139648438], [925.0175170898438, 544.7355346679688], [945.048095703125, 544.7355346679688], [913.5714111328125, 570.6317138671875], [955.0633544921875, 567.7543334960938], [906.417724609375, 606.5986938476562], [960.7864379882812, 569.1930541992188], [904.9869384765625, 580.7025146484375], [947.9096069335938, 557.68359375], [919.2944946289062, 639.6883544921875], [943.6173095703125, 638.2496948242188], [920.7252197265625, 684.2874145507812], [937.894287109375, 691.4807739257812], [922.156005859375, 713.0609741210938], [932.1712646484375, 734.6411743164062], [927.1636352539062, 723.85107421875]]"
21,2,00:43:27,78235,8,top,smash,,,"[1099, 197]","[[1114.2137451171875, 283.6116943359375], [1111.345703125, 285.0473327636719], [1115.647705078125, 276.43359375], [1099.8739013671875, 273.5623474121094], [1112.77978515625, 279.30487060546875], [1108.477783203125, 287.9186096191406], [1078.3641357421875, 279.30487060546875], [1104.1759033203125, 315.1954040527344], [1064.0242919921875, 292.2254333496094], [1112.77978515625, 326.6803894042969], [1115.647705078125, 328.11602783203125], [1094.137939453125, 330.9872741699219], [1075.49609375, 328.11602783203125], [1105.60986328125, 364.006591796875], [1072.628173828125, 364.006591796875], [1117.0816650390625, 391.2834167480469], [1081.2320556640625, 394.1546936035156], [1099.1568603515625, 392.71905517578125]]","[[979.6773071289062, 570.7609252929688], [985.3898315429688, 566.4544067382812], [973.9646606445312, 566.4544067382812], [969.6802368164062, 567.889892578125], [991.1024169921875, 566.4544067382812], [956.8269653320312, 596.6002197265625], [1003.9557495117188, 593.7291870117188], [951.1143188476562, 635.3590698242188], [1019.665283203125, 628.1815185546875], [945.4017333984375, 664.0693969726562], [1029.662353515625, 656.891845703125], [962.5394897460938, 669.8114624023438], [999.6712646484375, 669.8114624023438], [939.689208984375, 708.5703735351562], [1018.2371826171875, 708.5703735351562], [919.6951293945312, 760.2489013671875], [1033.94677734375, 760.2489013671875], [976.8209533691406, 760.2489013671875]]"
21,3,00:43:28,78254,2,bottom,defensive shot,,,"[1185, 596]","[[1055.198974609375, 292.47003173828125], [1058.049560546875, 288.1676940917969], [1052.3482666015625, 288.1676940917969], [1060.900146484375, 291.0359191894531], [1048.0723876953125, 289.601806640625], [1065.176025390625, 305.3770751953125], [1039.520751953125, 306.8111877441406], [1075.1529541015625, 306.8111877441406], [1026.6929931640625, 328.3228759765625], [1083.704833984375, 331.19110107421875], [1023.8424682617188, 346.9663391113281], [1058.049560546875, 346.9663391113281], [1038.0953369140625, 348.4004821777344], [1063.7506103515625, 385.68743896484375], [1038.0953369140625, 387.12152099609375], [1063.7506103515625, 420.1061706542969], [1029.543701171875, 418.6720275878906], [1046.6471557617188, 419.38909912109375]]","[[1097.7469482421875, 615.939453125], [1094.8770751953125, 611.6162109375], [1097.7469482421875, 611.6162109375], [1077.6578369140625, 611.6162109375], [1097.7469482421875, 614.4984130859375], [1057.5687255859375, 633.2325439453125], [1099.181884765625, 641.8790893554688], [1033.1746826171875, 656.2900390625], [1126.4456787109375, 659.1722412109375], [1010.2157592773438, 675.0242309570312], [1150.8397216796875, 656.2900390625], [1047.5240478515625, 702.4049682617188], [1083.3975830078125, 703.8460693359375], [1007.3458251953125, 742.7555541992188], [1103.4866943359375, 715.3748168945312], [972.9072875976562, 787.4293823242188], [1123.575927734375, 765.8130493164062], [1048.2416076660156, 776.6212158203125]]"
21,4,00:43:29,78282,8,top,lob,,,"[956, 321]","[[947.8109130859375, 369.08856201171875], [949.235595703125, 366.2169189453125], [943.5364990234375, 366.2169189453125], [950.660400390625, 370.5244140625], [934.98779296875, 369.08856201171875], [949.235595703125, 382.0109558105469], [927.86376953125, 390.6258850097656], [970.6075439453125, 374.8318176269531], [937.8372802734375, 384.882568359375], [949.235595703125, 363.3453063964844], [942.1116943359375, 377.7034912109375], [949.235595703125, 429.3929443359375], [927.86376953125, 427.9571228027344], [966.3331298828125, 445.1869812011719], [913.615966796875, 452.3660583496094], [987.7049560546875, 468.1600646972656], [910.766357421875, 489.6973571777344], [949.2356567382812, 478.9287109375]]","[[941.5128173828125, 577.9052124023438], [941.5128173828125, 572.1453857421875], [942.943115234375, 573.5853271484375], [941.5128173828125, 572.1453857421875], [961.535888671875, 570.7054443359375], [938.6524047851562, 600.9444580078125], [980.1287231445312, 595.1846313476562], [934.3617553710938, 636.9432983398438], [1008.7330932617188, 622.543701171875], [921.4898071289062, 662.8624267578125], [1020.1748657226562, 651.3427734375], [961.535888671875, 677.2619018554688], [985.849609375, 672.9420776367188], [932.9315185546875, 719.0205688476562], [975.8380737304688, 700.3012084960938], [958.6754760742188, 759.3392333984375], [974.4078369140625, 750.6995239257812], [966.5416564941406, 755.0193786621094]]"
21,5,00:43:30,78318,2,bottom,smash,,,"[748, 437]","[[952.1503295898438, 329.6184997558594], [954.997314453125, 326.75201416015625], [949.3034057617188, 326.75201416015625], [960.6912231445312, 329.6184997558594], [945.032958984375, 328.18524169921875], [969.2321166992188, 346.81744384765625], [937.91552734375, 346.81744384765625], [989.1609497070312, 356.8501892089844], [930.7981567382812, 366.88287353515625], [997.7018432617188, 372.6158752441406], [925.1041259765625, 388.381591796875], [966.3851928710938, 389.8148498535156], [943.6094970703125, 389.8148498535156], [977.7730712890625, 431.37896728515625], [926.527587890625, 425.6459655761719], [989.1609497070312, 465.77685546875], [917.9867553710938, 461.4771423339844], [953.5738525390625, 463.6269989013672]]","[[754.5250854492188, 666.5165405273438], [728.8709716796875, 692.4180297851562], [753.0999755859375, 670.83349609375], [743.123291015625, 685.22314453125], [750.24951171875, 678.0283203125], [738.8475952148438, 703.9298095703125], [767.352294921875, 682.34521484375], [770.2027587890625, 634.8591918945312], [770.2027587890625, 633.420166015625], [735.9971313476562, 678.0283203125], [767.352294921875, 614.7135009765625], [760.22607421875, 768.68359375], [791.5812377929688, 762.9276733398438], [737.42236328125, 830.559326171875], [822.9363403320312, 796.0240478515625], [711.7681884765625, 879.484375], [804.4083251953125, 853.5829467773438], [758.0882568359375, 866.5336608886719]]"
21,6,00:43:31,78337,8,top,defensive shot,,,"[831, 397]","[[861.8811645507812, 377.25732421875], [863.3143920898438, 372.9598083496094], [857.5814819335938, 374.392333984375], [869.0473022460938, 372.9598083496094], [856.1483154296875, 377.25732421875], [879.0797729492188, 380.1222839355469], [856.1483154296875, 394.44732666015625], [894.8451538085938, 367.2298278808594], [851.8485717773438, 408.77227783203125], [896.2783813476562, 368.6623229980469], [850.4154052734375, 421.664794921875], [886.2459106445312, 404.47479248046875], [870.4804077148438, 411.6372985839844], [903.4445190429688, 421.664794921875], [860.4479370117188, 417.3672790527344], [904.8777465820312, 423.0972900390625], [864.74755859375, 418.7997741699219], [884.8126525878906, 420.9485321044922]]","[[808.2711181640625, 667.31982421875], [812.578369140625, 663.009765625], [803.9637451171875, 663.009765625], [798.2205810546875, 664.4464721679688], [821.193115234375, 661.5731201171875], [789.60595703125, 696.0533447265625], [839.8582763671875, 690.306640625], [775.248046875, 737.7169189453125], [868.5738525390625, 721.9135131835938], [788.170166015625, 752.0836791992188], [859.959228515625, 746.3369750976562], [806.8353271484375, 772.1972045898438], [841.2940673828125, 770.760498046875], [783.86279296875, 815.2974243164062], [839.8582763671875, 818.1708374023438], [793.9132080078125, 871.3278198242188], [836.9866943359375, 862.707763671875], [815.449951171875, 867.0177917480469]]"
21,7,00:43:32,78364,2,bottom,lob,,,"[1114, 476]","[[983.5275268554688, 324.3941955566406], [986.3768310546875, 321.51806640625], [979.2535400390625, 321.51806640625], [989.2261962890625, 324.3941955566406], [973.5548706054688, 322.95611572265625], [990.65087890625, 338.77496337890625], [959.3082275390625, 337.3368835449219], [1003.4728393554688, 351.7176513671875], [940.7875366210938, 356.0318908691406], [1016.2947998046875, 361.7841796875], [932.2395629882812, 379.04107666015625], [970.70556640625, 380.4791259765625], [952.184814453125, 379.04107666015625], [976.4042358398438, 422.1833190917969], [953.6095581054688, 419.30718994140625], [974.9794921875, 452.3829040527344], [946.4861450195312, 458.13525390625], [960.7328186035156, 455.2590789794922]]","[[1064.78076171875, 584.2976684570312], [1071.940185546875, 581.4319458007812], [1060.485107421875, 579.9990844726562], [1056.1893310546875, 581.4319458007812], [1076.2359619140625, 582.8648071289062], [1040.4384765625, 604.3576049804688], [1077.6678466796875, 610.0889892578125], [1013.2324829101562, 631.581787109375], [1093.418701171875, 611.5218505859375], [990.3220825195312, 644.4774780273438], [1099.146240234375, 597.193359375], [1031.8470458984375, 678.865966796875], [1060.485107421875, 676.000244140625], [1026.11962890625, 701.7916259765625], [1086.2591552734375, 664.5374145507812], [1014.6643676757812, 726.150146484375], [1087.691162109375, 706.0901489257812], [1051.1777648925781, 716.1201477050781]]"
21,8,00:43:33,78406,8,top,clear,,,"[761, 221]","[[851.5394897460938, 311.014892578125], [850.1132202148438, 306.69464111328125], [845.8341064453125, 306.69464111328125], [845.8341064453125, 311.014892578125], [851.5394897460938, 312.4549865722656], [852.9658813476562, 328.29595947265625], [834.4234008789062, 322.5356140136719], [857.2449340820312, 348.4571838378906], [857.2449340820312, 348.4571838378906], [861.5238647460938, 365.73822021484375], [861.5238647460938, 362.8580627441406], [834.4234008789062, 364.29815673828125], [832.9970703125, 365.73822021484375], [855.8185424804688, 403.1805114746094], [818.7335815429688, 394.53997802734375], [882.9190673828125, 421.90167236328125], [810.175537109375, 417.5813903808594], [846.5473022460938, 419.7415313720703]]","[[909.5433349609375, 568.906982421875], [912.4127807617188, 563.15478515625], [903.8043212890625, 563.15478515625], [896.6304931640625, 563.15478515625], [919.586669921875, 560.2786865234375], [889.4566040039062, 591.9158935546875], [936.8038330078125, 584.7256469726562], [876.5437622070312, 633.6195068359375], [956.8905029296875, 616.3628540039062], [879.413330078125, 662.380615234375], [966.933837890625, 643.6858520507812], [899.4999389648438, 660.9425659179688], [935.3690795898438, 658.0664672851562], [877.9785766601562, 706.9603271484375], [948.2819213867188, 695.4559326171875], [856.4571533203125, 752.9781494140625], [942.5428466796875, 752.9781494140625], [899.5, 752.9781494140625]]"
21,9,00:43:34,78440,2,bottom,drop,,,"[679, 461]","[[908.732421875, 313.8047790527344], [911.583984375, 310.9418640136719], [905.8807983398438, 309.51043701171875], [917.287109375, 312.3733215332031], [903.029296875, 310.9418640136719], [925.841796875, 329.55072021484375], [901.603515625, 329.55072021484375], [944.376953125, 345.2966613769531], [908.732421875, 349.59100341796875], [931.5449829101562, 339.57086181640625], [874.5136108398438, 379.6514587402344], [928.693359375, 375.35711669921875], [910.158203125, 373.9256591796875], [938.6738891601562, 414.0062561035156], [897.3261108398438, 411.1433410644531], [955.7832641601562, 451.22393798828125], [890.1972045898438, 449.79248046875], [922.990234375, 450.5082092285156]]","[[686.9222412109375, 649.9411010742188], [685.4954223632812, 649.9411010742188], [682.6419067382812, 649.9411010742188], [672.654541015625, 667.2077026367188], [681.2151489257812, 660.0133056640625], [679.7883911132812, 683.035400390625], [705.4701538085938, 665.7688598632812], [736.8590087890625, 634.1134033203125], [735.4322509765625, 634.1134033203125], [735.4322509765625, 589.5081176757812], [735.4322509765625, 590.947021484375], [702.6166381835938, 744.9073486328125], [732.5786743164062, 739.1517944335938], [679.7883911132812, 799.5848388671875], [761.114013671875, 773.6849975585938], [753.9801635742188, 838.4346313476562], [753.9801635742188, 838.4346313476562], [753.9801635742188, 838.4346313476562]]"
21,10,00:43:35,78464,8,top,net shot,,,"[795, 409]","[[830.2503051757812, 386.9158020019531], [833.0961303710938, 384.03289794921875], [827.4044189453125, 385.4743347167969], [838.787841796875, 384.03289794921875], [824.55859375, 388.3572998046875], [848.7484130859375, 395.5646057128906], [825.9814453125, 405.6549377441406], [864.400634765625, 389.79876708984375], [814.5980224609375, 425.8355407714844], [881.475830078125, 384.03289794921875], [806.0604248046875, 434.4843444824219], [855.8630981445312, 441.691650390625], [835.9420166015625, 441.691650390625], [872.9382934570312, 473.4040222167969], [816.0209350585938, 464.7552185058594], [881.475830078125, 473.4040222167969], [813.175048828125, 503.67486572265625], [847.325439453125, 488.53944396972656]]","[[759.7391967773438, 632.8245239257812], [764.0355834960938, 628.5189208984375], [752.57861328125, 628.5189208984375], [749.71435546875, 628.5189208984375], [772.62841796875, 628.5189208984375], [742.5537109375, 661.5281372070312], [792.6781005859375, 652.9170532226562], [726.8003540039062, 697.4076538085938], [821.3206787109375, 681.6206665039062], [729.66455078125, 724.6760864257812], [822.7528686523438, 714.6298217773438], [758.30712890625, 734.7223510742188], [792.6781005859375, 730.4168701171875], [742.5537109375, 782.0833129882812], [796.9744873046875, 779.2129516601562], [739.6895141601562, 839.4906005859375], [792.6781005859375, 836.6203002929688], [766.1838073730469, 838.0554504394531]]"
