rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
12,1,00:12:26,22380,7,bottom,long service,,,"[864, 24]","[[877.9428100585938, 311.45306396484375], [882.239501953125, 307.1328125], [875.0782470703125, 307.1328125], [886.5362548828125, 311.45306396484375], [870.7815551757812, 310.0129699707031], [890.8330078125, 330.1741638183594], [865.0525512695312, 330.1741638183594], [903.72314453125, 353.2155456542969], [862.1880493164062, 344.57501220703125], [887.9684448242188, 353.2155456542969], [850.7301635742188, 340.2547607421875], [885.10400390625, 380.5771179199219], [867.9170532226562, 379.1370544433594], [883.6716918945312, 420.8995056152344], [863.620361328125, 420.8995056152344], [883.6716918945312, 455.4615783691406], [872.2138061523438, 443.9408874511719], [877.9427490234375, 449.70123291015625]]","[[993.681396484375, 567.546875], [965.093994140625, 556.0299682617188], [990.8226928710938, 563.22802734375], [966.5233764648438, 564.6676635742188], [987.9639282226562, 564.6676635742188], [959.3765258789062, 590.5806274414062], [992.2520141601562, 584.8222045898438], [920.7835083007812, 597.7787475585938], [970.8114624023438, 537.3150634765625], [926.5009765625, 568.9864501953125], [979.3876953125, 548.8319702148438], [960.805908203125, 652.48388671875], [987.9639282226562, 651.0443115234375], [962.2352294921875, 714.3871459960938], [997.9695434570312, 711.5079345703125], [969.382080078125, 769.0924072265625], [1012.2632446289062, 769.0924072265625], [990.8226623535156, 769.0924072265625]]"
12,2,00:12:27,22428,2,top,clear,,,"[906, 150]","[[905.8883666992188, 281.2130126953125], [908.7461547851562, 279.7730712890625], [904.4594116210938, 276.8931884765625], [908.7461547851562, 285.5328674316406], [900.1728515625, 278.3331298828125], [905.8883666992188, 304.25213623046875], [887.3128051757812, 288.4127502441406], [907.3171997070312, 327.2912902832031], [871.5949096679688, 271.1333923339844], [917.3194580078125, 276.8931884765625], [867.3082885742188, 262.49371337890625], [898.743896484375, 343.13067626953125], [881.59716796875, 338.81085205078125], [898.743896484375, 383.4491882324219], [880.1683349609375, 380.5693054199219], [894.4572143554688, 412.2480773925781], [881.59716796875, 405.0483703613281], [888.0271911621094, 408.6482238769531]]","[[929.0999145507812, 567.7120361328125], [917.5880737304688, 560.5098266601562], [923.3439331054688, 561.9502563476562], [919.0269775390625, 563.3906860351562], [940.6117553710938, 564.8311157226562], [907.51513671875, 590.759033203125], [957.8795166015625, 590.759033203125], [888.808349609375, 623.8890380859375], [972.2694091796875, 622.4486083984375], [884.4913940429688, 625.3294677734375], [978.0253295898438, 639.7338256835938], [919.0269775390625, 658.4595336914062], [952.1236572265625, 658.4595336914062], [894.5642700195312, 707.4343872070312], [970.8304443359375, 698.7916870117188], [875.8575439453125, 769.3731079101562], [979.46435546875, 760.73046875], [927.6609497070312, 765.0517883300781]]"
12,3,00:12:28,22460,7,bottom,drop,,,"[1137, 449]","[[970.4043579101562, 321.93115234375], [973.267578125, 317.6337890625], [967.541015625, 317.6337890625], [977.5625610351562, 320.49871826171875], [961.8145141601562, 319.0662536621094], [984.7207641601562, 339.1206970214844], [951.79296875, 339.1206970214844], [990.447265625, 357.74267578125], [938.9082641601562, 362.0400695800781], [987.5840454101562, 376.3646545410156], [936.044921875, 387.8243713378906], [976.1309204101562, 387.8243713378906], [954.6563110351562, 386.39190673828125], [990.447265625, 420.7709655761719], [943.203125, 417.90606689453125], [987.5840454101562, 452.28509521484375], [940.3399047851562, 458.01495361328125], [963.9619750976562, 455.1500244140625]]","[[1082.35205078125, 617.4254150390625], [1082.35205078125, 607.3407592773438], [1085.2313232421875, 607.3407592773438], [1062.1968994140625, 611.6627807617188], [1085.2313232421875, 611.6627807617188], [1054.9986572265625, 634.7135009765625], [1093.8692626953125, 640.4761962890625], [1050.6796875, 634.7135009765625], [1135.6192626953125, 623.1881103515625], [1161.532958984375, 588.6119995117188], [1158.6536865234375, 591.4933471679688], [1065.076171875, 711.0691528320312], [1093.8692626953125, 713.9505004882812], [1054.9986572265625, 747.0859375], [1132.7398681640625, 768.6959838867188], [1024.765869140625, 801.8314208984375], [1126.9813232421875, 834.9668579101562], [1075.8735961914062, 818.3991394042969]]"
12,4,00:12:29,22486,2,top,net shot,,,"[712, 461]","[[803.3536987304688, 406.4159851074219], [806.2322387695312, 402.0912780761719], [803.3536987304688, 402.0912780761719], [814.8679809570312, 400.649658203125], [817.7465209960938, 400.649658203125], [813.4286499023438, 419.39013671875], [836.457275390625, 413.62384033203125], [817.7465209960938, 409.29913330078125], [840.7750854492188, 409.29913330078125], [768.8108520507812, 455.4294738769531], [856.6072998046875, 446.7800598144531], [827.821533203125, 451.1047668457031], [850.8501586914062, 446.7800598144531], [801.9144287109375, 468.4036560058594], [801.9144287109375, 466.96209716796875], [791.83935546875, 507.3261413574219], [896.9072265625, 481.3778076171875], [844.373291015625, 494.3519744873047]]","[[957.7986450195312, 591.2440185546875], [959.2288818359375, 586.92578125], [959.2288818359375, 586.92578125], [960.6591796875, 591.2440185546875], [982.1129760742188, 586.92578125], [962.0894165039062, 617.1537475585938], [1000.7064208984375, 612.83544921875], [944.9263305664062, 660.336669921875], [1026.4510498046875, 648.8212280273438], [914.8908081054688, 661.7760620117188], [1012.1484985351562, 667.5338134765625], [993.5550537109375, 696.3224487304688], [1017.8695068359375, 687.6858520507812], [974.9617309570312, 756.7785034179688], [993.5550537109375, 732.3081665039062], [1003.56689453125, 805.7191162109375], [1003.56689453125, 781.2488403320312], [1003.56689453125, 793.4839782714844]]"
12,5,00:12:30,22517,7,bottom,push/rush,,,"[697, 434]","[[867.2459716796875, 355.275634765625], [870.1205444335938, 350.9776916503906], [864.3712768554688, 350.9776916503906], [875.8698120117188, 352.41033935546875], [860.0593872070312, 353.8429870605469], [880.1817626953125, 372.4673767089844], [852.8727416992188, 371.03472900390625], [880.1817626953125, 393.9570617675781], [839.9369506835938, 391.09173583984375], [883.056396484375, 411.1488037109375], [834.187744140625, 409.7161560058594], [877.30712890625, 418.3119812011719], [858.6220703125, 418.3119812011719], [895.9922485351562, 445.53228759765625], [855.7474365234375, 454.1281433105469], [890.242919921875, 468.4546203613281], [890.242919921875, 468.4546203613281], [890.242919921875, 468.4546203613281]]","[[720.2865600585938, 554.80224609375], [723.156494140625, 553.36962890625], [747.551025390625, 553.36962890625], [724.5914916992188, 556.23486328125], [747.551025390625, 556.23486328125], [730.3313598632812, 577.7242431640625], [751.8558959960938, 573.4263305664062], [744.6810913085938, 600.6461791992188], [734.6362915039062, 626.4334106445312], [724.5914916992188, 662.2490234375], [724.5914916992188, 662.2490234375], [761.9006958007812, 639.3270263671875], [781.9903564453125, 626.4334106445312], [770.510498046875, 693.7667236328125], [774.8154296875, 692.3341064453125], [817.8645629882812, 715.2560424804688], [817.8645629882812, 715.2560424804688], [817.8645629882812, 715.2560424804688]]"
12,6,00:12:31,22549,2,top,drop,,,"[787, 258]","[[859.8856201171875, 321.9968566894531], [862.697509765625, 319.1395263671875], [859.8856201171875, 319.1395263671875], [869.727294921875, 321.9968566894531], [872.5390625, 321.9968566894531], [873.945068359375, 336.2835998535156], [861.2916259765625, 336.2835998535156], [886.5985107421875, 347.7129821777344], [855.6678466796875, 344.8556213378906], [897.8460693359375, 357.71368408203125], [896.4401245117188, 357.71368408203125], [878.162841796875, 384.8584899902344], [866.9154052734375, 382.0011291503906], [889.410400390625, 384.8584899902344], [850.0440673828125, 403.4312438964844], [855.6678466796875, 403.4312438964844], [859.8856201171875, 423.4326477050781], [857.7767333984375, 413.43194580078125]]","[[804.7382202148438, 527.28515625], [793.3113403320312, 522.9630126953125], [797.5964965820312, 521.5222778320312], [794.73974609375, 525.8444213867188], [814.73681640625, 522.9630126953125], [787.597900390625, 550.3364868164062], [831.8771362304688, 546.0143432617188], [766.1724853515625, 586.354248046875], [854.73095703125, 582.0321655273438], [766.1724853515625, 584.9135131835938], [854.73095703125, 590.6763916015625], [804.7382202148438, 619.4906616210938], [833.3055419921875, 613.727783203125], [793.3113403320312, 671.356201171875], [844.732421875, 678.5597534179688], [790.4546508789062, 728.9846801757812], [847.589111328125, 737.62890625], [819.0218811035156, 733.3067932128906]]"
12,7,00:12:32,22574,7,bottom,net shot,,,"[697, 553]","[[923.9100952148438, 323.6949768066406], [926.7807006835938, 319.37921142578125], [921.0394897460938, 319.37921142578125], [932.5218505859375, 322.25640869140625], [916.7335205078125, 322.25640869140625], [941.1336669921875, 336.6421813964844], [910.992431640625, 338.08074951171875], [948.3101806640625, 359.6594543457031], [902.3805541992188, 343.8350830078125], [952.6160888671875, 378.3609924316406], [903.8158569335938, 346.71221923828125], [935.3924560546875, 381.2381591796875], [913.863037109375, 381.2381591796875], [951.1807861328125, 410.00970458984375], [910.992431640625, 415.7640380859375], [948.3101806640625, 443.0970458984375], [913.863037109375, 450.2899475097656], [931.0866088867188, 446.69349670410156]]","[[752.1593017578125, 564.0274658203125], [755.0245361328125, 559.701904296875], [755.0245361328125, 562.5856323242188], [756.4570922851562, 562.5856323242188], [776.5134887695312, 561.143798828125], [760.7548828125, 581.329833984375], [786.5416259765625, 579.8880004882812], [743.563720703125, 617.3764038085938], [770.7830810546875, 657.7485961914062], [710.6140747070312, 618.8182373046875], [759.3223266601562, 688.0276489257812], [780.8112182617188, 650.5392456054688], [800.8676147460938, 640.4462280273438], [785.1090087890625, 709.6556396484375], [786.5416259765625, 709.6556396484375], [822.3565673828125, 748.5859375], [755.0245361328125, 696.6788330078125], [788.6905517578125, 722.6323852539062]]"
12,8,00:12:33,22600,2,top,lob,,,"[701, 470]","[[791.1757202148438, 421.03778076171875], [794.0303955078125, 416.74127197265625], [791.1757202148438, 416.74127197265625], [802.5944213867188, 416.74127197265625], [805.4490966796875, 416.74127197265625], [795.457763671875, 435.3594055175781], [818.295166015625, 431.06292724609375], [779.7570190429688, 455.40972900390625], [831.1412963867188, 436.7915954589844], [762.62890625, 475.46002197265625], [843.9873657226562, 462.5705261230469], [835.4232788085938, 465.43487548828125], [815.4405517578125, 464.002685546875], [795.457763671875, 479.7565002441406], [795.457763671875, 478.3243713378906], [791.1757202148438, 518.4249877929688], [791.1757202148438, 512.6962890625], [791.1757202148438, 515.5606384277344]]","[[767.3297729492188, 537.8970336914062], [767.3297729492188, 532.1405029296875], [793.0010986328125, 529.2622680664062], [770.1820678710938, 533.5796508789062], [791.5750122070312, 529.2622680664062], [770.1820678710938, 555.1666259765625], [807.2631225585938, 549.4100952148438], [770.1820678710938, 599.7797241210938], [835.786865234375, 581.071044921875], [741.6583251953125, 604.0971069335938], [840.0653686523438, 612.7318725585938], [808.689208984375, 617.04931640625], [830.0821533203125, 615.6101684570312], [781.5916748046875, 678.9319458007812], [811.5416259765625, 660.2232055664062], [801.5582885742188, 733.6189575195312], [835.786865234375, 713.4710693359375], [818.6725769042969, 723.5450134277344]]"
12,9,00:12:34,22640,7,bottom,clear,,,"[1178, 369]","[[958.3121337890625, 339.6141357421875], [961.1630859375, 335.3031921386719], [955.4613037109375, 335.3031921386719], [965.4393920898438, 338.1771545410156], [949.7594604492188, 336.7401428222656], [971.1412353515625, 356.85784912109375], [938.3558959960938, 355.4208679199219], [976.8430786132812, 376.97552490234375], [925.5267944335938, 374.1015930175781], [975.4175415039062, 397.0932312011719], [919.8250122070312, 392.78228759765625], [966.8649291992188, 402.8411560058594], [945.483154296875, 402.8411560058594], [978.2684936523438, 437.3285827636719], [941.2067260742188, 438.76556396484375], [989.6720581054688, 471.8160705566406], [946.9085693359375, 471.8160705566406], [968.2903137207031, 471.8160705566406]]","[[1062.800048828125, 648.1038208007812], [1058.49755859375, 645.2211303710938], [1058.49755859375, 648.1038208007812], [1035.551513671875, 661.0760498046875], [1058.49755859375, 661.0760498046875], [1032.683349609375, 681.2550048828125], [1058.49755859375, 689.9031372070312], [1004.0006713867188, 674.0482177734375], [1105.823974609375, 689.9031372070312], [1002.5664672851562, 665.4000854492188], [1147.413818359375, 665.4000854492188], [1029.81494140625, 759.0881958007812], [1057.0634765625, 767.7362670898438], [1009.7371826171875, 792.2392578125], [1084.31201171875, 825.3904418945312], [966.7132568359375, 831.1558837890625], [1094.3509521484375, 890.25146484375], [1030.5321044921875, 860.7036743164062]]"
12,10,00:12:36,22683,2,top,drop,,,"[1089, 196]","[[1088.556396484375, 286.0065002441406], [1089.984130859375, 281.6982421875], [1084.2734375, 280.26214599609375], [1081.4180908203125, 280.26214599609375], [1089.984130859375, 283.1343078613281], [1069.9967041015625, 286.0065002441406], [1085.701171875, 304.6755676269531], [1042.870849609375, 268.7734680175781], [1074.2796630859375, 326.216796875], [1084.2734375, 314.7281494140625], [1084.2734375, 314.7281494140625], [1065.713623046875, 334.83331298828125], [1047.1539306640625, 333.3972473144531], [1078.562744140625, 377.9158020019531], [1034.3048095703125, 370.73541259765625], [1087.1287841796875, 403.76531982421875], [1037.16015625, 405.201416015625], [1062.1444702148438, 404.4833679199219]]","[[1003.357177734375, 569.3480834960938], [991.8555297851562, 562.1500244140625], [997.6063842773438, 562.1500244140625], [993.293212890625, 566.4688110351562], [1016.2965698242188, 566.4688110351562], [978.9161376953125, 595.2611694335938], [1029.2359619140625, 598.1404418945312], [961.66357421875, 629.81201171875], [1037.8621826171875, 628.3723754882812], [973.1652221679688, 605.3385009765625], [1042.1754150390625, 651.40625], [986.1046752929688, 665.8024291992188], [1017.7343139648438, 668.681640625], [963.1012573242188, 707.5513305664062], [1030.6737060546875, 714.7493896484375], [958.7882080078125, 768.0152587890625], [1033.5491943359375, 773.773681640625], [996.168701171875, 770.8944702148438]]"
