rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
33,1,00:28:06,50589,2,top,long service,,,"[947, 545]","[[970.87353515625, 418.3554382324219], [973.719970703125, 414.04986572265625], [966.6038818359375, 416.92022705078125], [982.2592163085938, 412.6147155761719], [963.7574462890625, 421.22576904296875], [1002.1842041015625, 431.2720031738281], [965.1806640625, 447.0589599609375], [1029.2252197265625, 445.623779296875], [963.7574462890625, 480.06805419921875], [1006.453857421875, 441.3182373046875], [959.48779296875, 513.0771484375], [1007.8770141601562, 501.5957336425781], [980.8359985351562, 507.3364562988281], [999.3377685546875, 553.2621459960938], [982.2592163085938, 550.3917846679688], [989.3753051757812, 597.752685546875], [997.9146118164062, 579.0953369140625], [993.6449584960938, 588.4240112304688]]","[[796.058837890625, 645.8325805664062], [800.3670654296875, 641.5197143554688], [807.547607421875, 654.4581909179688], [778.8256225585938, 657.3333740234375], [806.1114501953125, 658.77099609375], [771.6451416015625, 683.2103271484375], [813.2919921875, 688.9607543945312], [767.3368530273438, 714.8377075195312], [833.3973388671875, 717.7128295898438], [833.3973388671875, 696.1488037109375], [844.8861083984375, 701.899169921875], [783.1339111328125, 765.1538696289062], [810.4197998046875, 765.1538696289062], [797.494873046875, 802.5316162109375], [833.3973388671875, 806.844482421875], [794.6226806640625, 847.0974731445312], [814.7280883789062, 854.285400390625], [804.6753845214844, 850.6914367675781]]"
33,2,00:28:08,50646,14,bottom,smash,,,"[918, 449]","[[945.9007568359375, 408.10107421875], [950.1925659179688, 403.8041076660156], [941.6088256835938, 403.8041076660156], [955.9150390625, 406.66876220703125], [935.8864135742188, 406.66876220703125], [967.3599243164062, 429.5862121582031], [923.0108642578125, 429.5862121582031], [973.0823364257812, 456.8006896972656], [908.7047119140625, 452.503662109375], [975.9436645507812, 482.5827941894531], [904.4129638671875, 482.5827941894531], [958.7762451171875, 482.5827941894531], [925.8721313476562, 482.5827941894531], [981.6660766601562, 525.552978515625], [907.274169921875, 528.417724609375], [991.6803588867188, 569.95556640625], [894.3986206054688, 571.3878784179688], [943.0394897460938, 570.6717224121094]]","[[733.9993896484375, 718.9284057617188], [738.2693481445312, 716.0499877929688], [769.5820922851562, 704.536376953125], [749.6558227539062, 723.2460327148438], [769.5820922851562, 711.7323608398438], [749.6558227539062, 756.3475952148438], [789.5083618164062, 727.5635986328125], [772.4287109375, 779.3748168945312], [817.9744262695312, 694.4619140625], [830.7841796875, 655.603515625], [829.3609008789062, 655.603515625], [776.6986083984375, 825.4292602539062], [809.4346313476562, 813.9156494140625], [768.1587524414062, 891.632568359375], [816.5511474609375, 890.193359375], [752.50244140625, 944.8829956054688], [803.7413940429688, 947.7614135742188], [778.1219177246094, 946.3222045898438]]"
33,3,00:28:08,50662,2,top,defensive shot,,,"[1095, 469]","[[1013.2402954101562, 451.1890869140625], [1013.2402954101562, 446.8868713378906], [1008.9495239257812, 446.8868713378906], [993.2166137695312, 446.8868713378906], [996.0772094726562, 448.3209533691406], [991.786376953125, 465.5299072265625], [986.0653686523438, 471.2662048339844], [1013.2402954101562, 489.90924072265625], [1018.9613647460938, 494.21148681640625], [1047.566650390625, 504.25006103515625], [1047.566650390625, 502.81597900390625], [958.890380859375, 494.21148681640625], [961.7508544921875, 505.68414306640625], [1020.3916625976562, 524.3272094726562], [940.2969360351562, 547.2724609375], [1021.8218994140625, 574.5199584960938], [897.3889770507812, 575.9540405273438], [959.6054382324219, 575.2369995117188]]","[[866.8115844726562, 682.2219848632812], [868.2382202148438, 677.9024658203125], [898.1974487304688, 683.6618041992188], [869.6648559570312, 683.6618041992188], [898.1974487304688, 683.6618041992188], [852.5452880859375, 711.0187377929688], [901.0507202148438, 716.7781372070312], [826.8658447265625, 742.6951904296875], [916.74365234375, 749.8944091796875], [852.5452880859375, 736.9358520507812], [929.5833740234375, 774.3716430664062], [852.5452880859375, 795.96923828125], [886.784423828125, 795.96923828125], [845.4120483398438, 846.3635864257812], [895.34423828125, 846.3635864257812], [831.145751953125, 888.1188354492188], [876.7980346679688, 893.8782958984375], [853.9718933105469, 890.9985656738281]]"
33,4,00:28:09,50697,14,bottom,clear,,,"[690, 474]","[[929.8529052734375, 400.75238037109375], [934.1471557617188, 396.44012451171875], [926.9901123046875, 396.44012451171875], [942.735595703125, 397.8775634765625], [922.6958618164062, 397.8775634765625], [958.481201171875, 420.87628173828125], [914.1072998046875, 423.7510986328125], [972.7952880859375, 443.875], [904.0874633789062, 449.62469482421875], [972.7952880859375, 471.18603515625], [901.224609375, 476.9356689453125], [954.1869506835938, 479.810546875], [922.6958618164062, 479.810546875], [969.9325561523438, 521.4957275390625], [911.2445068359375, 512.8712158203125], [984.2466430664062, 567.4932250976562], [909.8131713867188, 566.0557861328125], [947.0299072265625, 566.7745056152344]]","[[764.4318237304688, 707.6405029296875], [761.5532836914062, 707.6405029296875], [757.2354736328125, 709.0821533203125], [747.1605834960938, 733.5892944335938], [761.5532836914062, 722.0565185546875], [758.6747436523438, 749.4468994140625], [784.5816650390625, 726.38134765625], [784.5816650390625, 706.1989135742188], [778.8245239257812, 678.8085327148438], [762.9926147460938, 637.0021362304688], [761.5532836914062, 637.0021362304688], [797.5350341796875, 807.11083984375], [824.8812255859375, 799.9029541015625], [778.8245239257812, 863.333251953125], [845.0309448242188, 864.77490234375], [735.6464233398438, 896.4901123046875], [845.0309448242188, 919.5556640625], [790.3386840820312, 908.0228881835938]]"
33,5,00:28:10,50725,2,top,drop,,,"[684, 264]","[[773.2000122070312, 345.77105712890625], [778.9156494140625, 344.3319091796875], [773.2000122070312, 342.89276123046875], [787.4891967773438, 351.5276184082031], [768.9132690429688, 350.0885009765625], [794.6338500976562, 371.6756896972656], [761.7686767578125, 367.3582458496094], [806.065185546875, 401.89776611328125], [736.0480346679688, 354.40594482421875], [810.3519897460938, 388.9454345703125], [813.2097778320312, 383.1888427734375], [798.9205322265625, 439.3155212402344], [776.0578002929688, 439.3155212402344], [814.638671875, 489.6856689453125], [768.9132690429688, 489.6856689453125], [834.6436767578125, 532.8600463867188], [780.3446044921875, 532.8600463867188], [807.494140625, 532.8600463867188]]","[[832.4281616210938, 661.1829223632812], [838.1404418945312, 655.4200439453125], [828.1439208984375, 655.4200439453125], [818.1474609375, 662.6235961914062], [848.1369018554688, 661.1829223632812], [809.5790405273438, 689.9971923828125], [860.9895629882812, 692.878662109375], [789.5860595703125, 720.252197265625], [883.8386840820312, 724.5743408203125], [782.4457397460938, 744.744384765625], [903.8316650390625, 753.388671875], [828.1439208984375, 770.67724609375], [860.9895629882812, 770.67724609375], [813.8632202148438, 829.7465209960938], [859.5615234375, 823.983642578125], [825.287841796875, 881.6122436523438], [873.8422241210938, 875.8494262695312], [849.5650329589844, 878.7308349609375]]"
33,6,00:28:11,50750,14,bottom,lob,,,"[782, 516]","[[824.8428955078125, 396.503173828125], [827.7137451171875, 392.1978759765625], [820.5365600585938, 392.1978759765625], [833.4555053710938, 395.0680847167969], [813.359375, 395.0680847167969], [843.5034790039062, 413.7244567871094], [804.7467651367188, 416.5946350097656], [865.0350341796875, 426.6403503417969], [786.086181640625, 439.55633544921875], [867.9058837890625, 435.2510070800781], [771.7318725585938, 461.0828857421875], [839.1971435546875, 468.2583923339844], [811.9239501953125, 468.2583923339844], [854.9869995117188, 507.0062561035156], [809.0531005859375, 508.44134521484375], [837.76171875, 540.0136108398438], [806.1821899414062, 542.8838500976562], [821.9719543457031, 541.44873046875]]","[[761.5095825195312, 648.701171875], [761.5095825195312, 644.40087890625], [761.5095825195312, 644.40087890625], [764.3805541992188, 650.1345825195312], [791.6546630859375, 645.8343505859375], [768.6870727539062, 677.3695068359375], [794.5255126953125, 668.7689819335938], [772.9934692382812, 703.1710205078125], [777.2998657226562, 737.5730590820312], [757.2031860351562, 731.83935546875], [765.8161010742188, 771.9749755859375], [788.78369140625, 741.873291015625], [811.7512817382812, 737.5730590820312], [775.8643798828125, 800.6434326171875], [762.9451293945312, 787.7426147460938], [813.1867065429688, 809.243896484375], [816.0576782226562, 807.8104248046875], [814.6221923828125, 808.5271606445312]]"
33,7,00:28:12,50774,2,top,smash,,,"[1136, 270]","[[1069.5494384765625, 377.660400390625], [1073.86865234375, 371.91326904296875], [1068.10986328125, 371.91326904296875], [1076.7479248046875, 370.4764404296875], [1062.3509521484375, 363.29248046875], [1046.5142822265625, 358.98211669921875], [1033.55712890625, 370.4764404296875], [1047.9541015625, 394.90191650390625], [1045.07470703125, 390.591552734375], [1066.6700439453125, 379.09722900390625], [1049.393798828125, 390.591552734375], [1029.238037109375, 420.7641906738281], [1006.2030029296875, 420.7641906738281], [1046.5142822265625, 465.3047180175781], [993.2457275390625, 459.5575866699219], [1066.6700439453125, 518.466064453125], [986.0472412109375, 514.1557006835938], [1026.358642578125, 516.3108825683594]]","[[906.656005859375, 609.3566284179688], [913.8307495117188, 609.3566284179688], [902.3511352539062, 607.9213256835938], [898.0462036132812, 619.4036865234375], [923.8755493164062, 620.8389892578125], [880.82666015625, 642.3682861328125], [928.1803588867188, 649.5447387695312], [853.5623779296875, 663.8976440429688], [935.3551635742188, 686.8623046875], [859.30224609375, 692.6034545898438], [946.8348999023438, 718.4386596679688], [877.956787109375, 717.0033569335938], [909.5259399414062, 718.4386596679688], [866.47705078125, 761.4973754882812], [936.7901611328125, 761.4973754882812], [846.3875122070312, 810.2971801757812], [921.0055541992188, 814.6030883789062], [883.696533203125, 812.4501342773438]]"
33,8,00:28:12,50786,14,bottom,defensive shot,,,"[1155, 546]","[[1132.6281127929688, 427.8516082763672], [1136.2178344726562, 424.2587890625], [1129.7571411132812, 422.8225860595703], [1139.8053588867188, 426.41078186035156], [1121.86328125, 420.6706085205078], [1136.9344482421875, 448.6787414550781], [1108.9441528320312, 433.59637451171875], [1133.3582153320312, 463.0407257080078], [1085.2670288085938, 437.90960693359375], [1127.6141967773438, 483.8493194580078], [1057.984375, 442.2367248535156], [1111.8173828125, 480.2704162597656], [1084.5414428710938, 471.6578826904297], [1135.4989624023438, 506.8423767089844], [1062.29296875, 496.8168029785156], [1149.1323852539062, 544.1834716796875], [1035.01025390625, 549.2356567382812], [1092.0713195800781, 546.7095642089844]]","[[1092.3364868164062, 663.0807800292969], [1088.74951171875, 657.3367309570312], [1090.184326171875, 658.7727355957031], [1065.0756225585938, 660.2078247070312], [1088.0321044921875, 663.0807800292969], [1050.0103149414062, 674.5670166015625], [1091.6190185546875, 692.5185546875], [1011.2711486816406, 681.029541015625], [1125.336181640625, 710.46826171875], [1009.1187438964844, 688.9345092773438], [1154.031494140625, 705.4398803710938], [1011.9885559082031, 749.9599304199219], [1047.1407470703125, 760.0111389160156], [996.206298828125, 793.7579040527344], [1080.1405639648438, 793.0403747558594], [964.6412963867188, 836.8401489257812], [1057.9012451171875, 841.8629760742188], [1011.2712707519531, 839.3515625]]"
33,9,00:28:13,50817,2,top,push/rush,,,"[645, 514]","[[783.4794921875, 478.6245422363281], [786.3458862304688, 474.3296813964844], [783.4794921875, 475.76129150390625], [800.677978515625, 474.3296813964844], [783.4794921875, 475.76129150390625], [816.4432983398438, 490.07757568359375], [784.9127197265625, 494.3724365234375], [804.9775390625, 518.7100219726562], [756.24853515625, 514.4151611328125], [779.1798706054688, 504.3937683105469], [718.9852294921875, 524.4365234375], [840.8077392578125, 544.4793090820312], [815.010009765625, 544.4793090820312], [882.3707275390625, 573.1117553710938], [774.8803100585938, 558.7955322265625], [935.3992919921875, 593.154541015625], [749.08251953125, 604.6075439453125], [842.2409057617188, 598.8810424804688]]","[[978.6863403320312, 644.4305419921875], [980.112548828125, 641.556640625], [980.112548828125, 641.556640625], [981.538818359375, 644.4305419921875], [1007.2109985351562, 645.8674926757812], [977.2601318359375, 670.2959594726562], [1022.8995361328125, 673.1698608398438], [971.5552368164062, 696.1613159179688], [1047.1455078125, 697.5983276367188], [957.2929077148438, 719.1527709960938], [1069.9652099609375, 724.9006958007812], [1004.3585815429688, 753.6400146484375], [1031.4569091796875, 749.3291625976562], [998.653564453125, 806.8077392578125], [1027.17822265625, 789.564208984375], [1025.7520751953125, 849.9168090820312], [1045.71923828125, 836.984130859375], [1035.7356567382812, 843.4504699707031]]"
33,10,00:28:14,50835,14,bottom,drop,,,"[637, 562]","[[813.6178588867188, 441.2586975097656], [816.4922485351562, 436.9516906738281], [809.3062744140625, 438.3873596191406], [825.1154174804688, 436.9516906738281], [803.5574951171875, 441.2586975097656], [842.3617553710938, 457.0511169433594], [797.8087158203125, 465.6651306152344], [868.2312622070312, 472.8434753417969], [790.6227416992188, 492.94293212890625], [873.9800415039062, 501.5569763183594], [784.8739624023438, 514.47802734375], [850.9849243164062, 510.1710205078125], [816.4922485351562, 511.606689453125], [878.2916259765625, 546.0628662109375], [792.0599365234375, 546.0628662109375], [889.7891845703125, 590.5687255859375], [776.2507934570312, 594.875732421875], [833.0199890136719, 592.7222290039062]]","[[807.5574340820312, 653.3133544921875], [808.9896240234375, 648.9902954101562], [803.260986328125, 648.9902954101562], [787.507080078125, 648.9902954101562], [786.074951171875, 648.9902954101562], [814.71826171875, 676.369873046875], [776.0497436523438, 667.7236938476562], [849.09033203125, 699.4263916015625], [744.5420532226562, 661.9595947265625], [843.3616943359375, 728.2470092773438], [708.7378540039062, 648.9902954101562], [823.311279296875, 751.3035278320312], [800.3966064453125, 746.9804077148438], [833.3364868164062, 801.7395629882812], [770.321044921875, 784.4472045898438], [863.4119873046875, 853.6167602539062], [740.2455444335938, 832.0012817382812], [801.8287658691406, 842.8090209960938]]"
