rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
14,1,00:31:54,57426,14,bottom,long service,,,"[977, 510]","[[873.0413208007812, 434.953857421875], [875.9022827148438, 432.07855224609375], [868.7499389648438, 432.07855224609375], [881.6240844726562, 434.953857421875], [864.4586181640625, 434.953857421875], [888.7763671875, 455.0809326171875], [857.3062744140625, 450.7679748535156], [901.650390625, 476.6456604003906], [835.8495483398438, 463.7068176269531], [887.3458251953125, 488.14678955078125], [850.154052734375, 447.8927001953125], [880.193603515625, 508.27386474609375], [860.167236328125, 506.8362121582031], [874.4717407226562, 544.215087890625], [857.3062744140625, 544.215087890625], [871.6109008789062, 587.344482421875], [871.6109008789062, 564.3421630859375], [871.6109008789062, 575.8433227539062]]","[[995.5772705078125, 646.6292114257812], [995.5772705078125, 649.5045166015625], [995.5772705078125, 646.6292114257812], [994.1560668945312, 655.255126953125], [1012.6321411132812, 659.568115234375], [978.5224609375, 671.0693969726562], [1005.5259399414062, 679.6953125], [952.940185546875, 673.9447021484375], [985.6286010742188, 672.5070190429688], [947.2551879882812, 669.6317138671875], [965.7312622070312, 663.881103515625], [972.8375244140625, 737.2015380859375], [995.5772705078125, 738.6392822265625], [974.2587280273438, 783.2066040039062], [998.4197387695312, 783.2066040039062], [982.7861328125, 824.8986206054688], [998.4197387695312, 817.7103881835938], [990.6029357910156, 821.3045043945312]]"
14,2,00:31:56,57490,2,top,smash,,,"[810, 427]","[[894.0220336914062, 416.5626220703125], [898.2893676757812, 413.7021789550781], [891.1771850585938, 413.7021789550781], [903.9790649414062, 417.9928283691406], [886.909912109375, 415.13238525390625], [901.1342163085938, 438.01593017578125], [874.1079711914062, 432.2950439453125], [899.7117919921875, 450.8879089355469], [857.0386962890625, 416.5626220703125], [901.1342163085938, 449.45770263671875], [858.4611206054688, 435.1554870605469], [881.2200927734375, 476.6319274902344], [858.4611206054688, 470.9110107421875], [882.6425170898438, 520.96875], [864.15087890625, 509.5270080566406], [871.2630004882812, 545.2825317382812], [864.15087890625, 545.2825317382812], [867.7069396972656, 545.2825317382812]]","[[924.7261352539062, 689.5275268554688], [930.4454345703125, 689.5275268554688], [939.0244750976562, 695.2616577148438], [914.71728515625, 700.995849609375], [937.5946655273438, 702.4293823242188], [903.2786254882812, 722.4989624023438], [946.1737060546875, 728.2330932617188], [891.83984375, 744.0020141601562], [954.752685546875, 758.3374633789062], [890.4100341796875, 744.0020141601562], [961.9019165039062, 784.14111328125], [907.568115234375, 787.0082397460938], [939.0244750976562, 787.0082397460938], [893.269775390625, 830.014404296875], [957.6123657226562, 827.1473999023438], [877.54150390625, 877.3212280273438], [969.051025390625, 870.1535034179688], [923.2962646484375, 873.7373657226562]]"
14,3,00:31:56,57507,14,bottom,defensive shot,,,"[765, 682]","[[894.5753173828125, 444.1807556152344], [898.8355102539062, 441.2995910644531], [891.7352294921875, 441.2995910644531], [904.515625, 442.74017333984375], [887.47509765625, 442.74017333984375], [915.8760375976562, 457.14593505859375], [880.3748168945312, 460.027099609375], [924.396240234375, 477.31402587890625], [864.7543334960938, 480.1951904296875], [918.7161254882812, 494.6009521484375], [860.4942016601562, 507.566162109375], [910.19580078125, 504.68499755859375], [886.0550537109375, 506.1255798339844], [930.0764770507812, 534.9371337890625], [877.5347900390625, 532.0559692382812], [944.2769775390625, 582.4761962890625], [870.4345092773438, 579.5950317382812], [907.3557434082031, 581.0356140136719]]","[[792.4363403320312, 757.3919067382812], [793.8756713867188, 757.3919067382812], [793.8756713867188, 755.9518432617188], [799.6331787109375, 761.7122802734375], [818.3448486328125, 755.9518432617188], [816.9054565429688, 777.5535888671875], [826.9808959960938, 770.35302734375], [841.37451171875, 791.9547729492188], [812.5873413085938, 784.7542114257812], [841.37451171875, 823.6373291015625], [793.8756713867188, 800.595458984375], [857.2074584960938, 825.0774536132812], [873.0403442382812, 816.4367065429688], [806.8299560546875, 842.3588256835938], [885.99462890625, 862.5205078125], [803.9512329101562, 891.3228759765625], [926.2965698242188, 885.5623779296875], [865.1239013671875, 888.442626953125]]"
14,4,00:31:57,57532,2,top,net shot,,,"[925, 540]","[[951.5864868164062, 527.7595825195312], [954.4446411132812, 523.4371948242188], [947.2991943359375, 524.8779907226562], [960.1610717773438, 524.8779907226562], [943.0118408203125, 527.7595825195312], [971.5938720703125, 543.6082153320312], [943.0118408203125, 546.4898071289062], [994.4595947265625, 546.4898071289062], [954.4446411132812, 563.779296875], [1008.7506103515625, 542.16748046875], [975.8812255859375, 563.779296875], [970.164794921875, 592.5950927734375], [950.1574096679688, 594.035888671875], [977.310302734375, 631.4963989257812], [950.1574096679688, 611.3253173828125], [954.4446411132812, 657.4306030273438], [954.4446411132812, 657.4306030273438], [954.4446411132812, 657.4306030273438]]","[[917.0300903320312, 699.7579345703125], [911.3095092773438, 696.8828735351562], [912.7396850585938, 699.7579345703125], [892.7178344726562, 711.25830078125], [915.5999145507812, 708.3832397460938], [891.2876586914062, 735.696533203125], [929.9011840820312, 728.5088500976562], [889.8576049804688, 767.3224487304688], [949.9230346679688, 755.8220825195312], [888.4274291992188, 796.0733642578125], [968.5146484375, 781.6979370117188], [924.1807250976562, 788.8856201171875], [948.4928588867188, 783.135498046875], [907.0191040039062, 834.886962890625], [944.2024536132812, 821.9490966796875], [917.0300903320312, 876.5757446289062], [957.0736694335938, 853.5750122070312], [937.0518798828125, 865.0753784179688]]"
14,5,00:31:58,57560,14,bottom,lob,,,"[913, 547]","[[983.6840209960938, 502.8827209472656], [986.5093383789062, 498.5660705566406], [979.4461059570312, 498.5660705566406], [989.3345947265625, 500.00494384765625], [973.7954711914062, 500.00494384765625], [990.7472534179688, 517.2715454101562], [962.4944458007812, 518.71044921875], [986.5093383789062, 535.9769897460938], [944.1300659179688, 541.7325439453125], [990.7472534179688, 554.6824951171875], [937.0669555664062, 567.6324462890625], [970.9702758789062, 564.7546997070312], [955.4312744140625, 563.3157958984375], [986.5093383789062, 596.4100952148438], [963.9071044921875, 600.7267456054688], [973.7954711914062, 626.6266479492188], [949.7807006835938, 642.4544067382812], [961.7880859375, 634.54052734375]]","[[957.9632568359375, 667.4017944335938], [962.2705078125, 664.5191650390625], [995.29248046875, 664.5191650390625], [963.7061767578125, 668.8432006835938], [986.6780395507812, 670.2844848632812], [960.834716796875, 690.4631958007812], [989.5494995117188, 687.5804443359375], [953.6560668945312, 714.9658203125], [993.856689453125, 670.2844848632812], [934.9913940429688, 727.9378051757812], [980.93505859375, 641.4578247070312], [969.4491577148438, 746.6751098632812], [990.9852294921875, 743.79248046875], [957.9632568359375, 794.2390747070312], [988.1138305664062, 782.7084350585938], [982.370849609375, 804.3284301757812], [988.1138305664062, 787.032470703125], [985.2423400878906, 795.6804504394531]]"
14,6,00:31:59,57593,2,top,drive,,,"[752, 478]","[[882.4869384765625, 468.6448059082031], [888.2313232421875, 465.7611389160156], [882.4869384765625, 465.7611389160156], [896.8479614257812, 468.6448059082031], [881.05078125, 468.6448059082031], [902.5923461914062, 484.5048522949219], [882.4869384765625, 488.830322265625], [912.6450805664062, 511.89947509765625], [872.43408203125, 504.69036865234375], [904.0285034179688, 510.4576416015625], [856.6370239257812, 520.5504150390625], [914.0812377929688, 530.6431884765625], [893.9757080078125, 529.2013549804688], [901.1561889648438, 566.688720703125], [868.1258544921875, 550.8286743164062], [937.058837890625, 589.7578735351562], [875.306396484375, 572.4559936523438], [906.1826171875, 581.10693359375]]","[[905.9430541992188, 700.3718872070312], [897.3743896484375, 690.3432006835938], [905.9430541992188, 696.0739135742188], [883.0931396484375, 700.3718872070312], [904.514892578125, 700.3718872070312], [873.0963745117188, 723.2946166992188], [913.0836791992188, 723.2946166992188], [865.9557495117188, 749.0827026367188], [935.9335327148438, 753.3806762695312], [888.8056640625, 756.2460327148438], [937.3616943359375, 763.4093627929688], [884.5213012695312, 779.1687622070312], [914.5117797851562, 777.736083984375], [865.9557495117188, 827.8795776367188], [935.9335327148438, 826.4468994140625], [847.3901977539062, 866.5616455078125], [948.78662109375, 866.5616455078125], [898.0884094238281, 866.5616455078125]]"
14,7,00:32:00,57609,14,bottom,defensive shot,,,"[681, 583]","[[903.7352905273438, 459.226806640625], [906.610107421875, 454.9019775390625], [900.8605346679688, 454.9019775390625], [913.7971801757812, 456.34356689453125], [896.54833984375, 457.7851867675781], [926.7337646484375, 475.0846252441406], [887.9239501953125, 476.5262145996094], [939.6703491210938, 496.7088623046875], [874.9873657226562, 501.0337219238281], [932.4833374023438, 518.3331298828125], [869.2376708984375, 525.5411987304688], [922.4215698242188, 522.657958984375], [897.9857177734375, 522.657958984375], [936.7955322265625, 550.0487060546875], [882.17431640625, 552.9319458007812], [942.5451049804688, 587.5307006835938], [889.361328125, 593.2971801757812], [915.9532165527344, 590.4139404296875]]","[[781.33740234375, 691.030517578125], [784.2028198242188, 691.030517578125], [782.7701416015625, 686.7086791992188], [787.0682373046875, 696.79296875], [802.8280639648438, 696.79296875], [802.8280639648438, 719.8428344726562], [775.6065673828125, 711.1990966796875], [837.2132568359375, 725.6052856445312], [752.68310546875, 699.6741943359375], [855.8385009765625, 754.4176025390625], [728.3269653320312, 685.26806640625], [817.1552734375, 778.9080810546875], [797.0972290039062, 777.4674682617188], [812.857177734375, 829.32958984375], [789.9336547851562, 819.2453002929688], [830.0496826171875, 872.5481567382812], [791.3663940429688, 865.3450317382812], [810.7080383300781, 868.9465942382812]]"
14,8,00:32:01,57637,2,top,net shot,,,"[789, 564]","[[778.3746337890625, 559.8654174804688], [779.8057250976562, 555.55078125], [775.5126953125, 558.4271850585938], [788.391845703125, 552.6743774414062], [774.0816040039062, 558.4271850585938], [802.7020874023438, 559.8654174804688], [778.3746337890625, 578.5620727539062], [814.1503295898438, 558.4271850585938], [765.4954833984375, 610.2025756835938], [832.7536010742188, 569.932861328125], [754.0473022460938, 636.0902709960938], [821.3053588867188, 594.38232421875], [801.2710571289062, 598.6969604492188], [835.6156005859375, 630.3374633789062], [782.6677856445312, 608.764404296875], [841.3397827148438, 638.9667358398438], [781.2367553710938, 654.7869262695312], [811.2882690429688, 646.8768310546875]]","[[829.8007202148438, 705.9276123046875], [806.8169555664062, 713.1030883789062], [828.3642578125, 705.9276123046875], [806.8169555664062, 714.5382080078125], [828.3642578125, 708.7978515625], [809.68994140625, 738.934814453125], [845.6021118164062, 727.4540405273438], [812.5629272460938, 767.63671875], [867.1495361328125, 748.98046875], [813.9993896484375, 796.338623046875], [893.0062866210938, 774.8121948242188], [854.2210693359375, 786.2929077148438], [875.7684326171875, 776.2472534179688], [839.8561401367188, 837.9563598632812], [865.7130126953125, 813.5597534179688], [857.0940551757812, 881.0092163085938], [878.6414184570312, 846.5669555664062], [867.8677368164062, 863.7880859375]]"
14,9,00:32:02,57662,14,bottom,lob,,,"[1022, 515]","[[936.2741088867188, 500.3475646972656], [939.14306640625, 496.0220642089844], [931.970703125, 496.0220642089844], [942.0120239257812, 497.4638977050781], [924.7984619140625, 497.4638977050781], [947.7498168945312, 514.7659301757812], [914.7572631835938, 514.7659301757812], [946.3153076171875, 530.6261596679688], [893.2402954101562, 536.3934936523438], [947.7498168945312, 547.9281616210938], [880.3301391601562, 563.7883911132812], [930.5362548828125, 556.5792236328125], [911.8883056640625, 560.9047241210938], [953.4876708984375, 585.4159545898438], [926.23291015625, 595.5087890625], [927.6674194335938, 608.4853515625], [944.8809814453125, 637.3220825195312], [936.2742004394531, 622.9037170410156]]","[[1001.8908081054688, 662.6566772460938], [1007.6455688476562, 659.7733764648438], [999.013427734375, 658.3317260742188], [1014.8389282226562, 661.2150268554688], [991.820068359375, 659.7733764648438], [1013.4002075195312, 682.83984375], [981.7493286132812, 679.95654296875], [1024.90966796875, 671.3065795898438], [968.8012084960938, 698.6980590820312], [957.291748046875, 714.5562133789062], [957.291748046875, 714.5562133789062], [1001.8908081054688, 731.8560791015625], [977.4332275390625, 731.8560791015625], [1016.277587890625, 747.7142944335938], [964.485107421875, 779.4306640625], [1017.71630859375, 779.4306640625], [973.1172485351562, 802.4971313476562], [995.4167785644531, 790.9638977050781]]"
14,10,00:32:02,57684,2,top,drop,,,"[952, 384]","[[924.1817626953125, 462.3519592285156], [928.4718017578125, 460.9175720214844], [922.7517700195312, 459.4831848144531], [932.7617797851562, 465.22076416015625], [918.4617919921875, 460.9175720214844], [937.0516967773438, 483.86798095703125], [905.5918579101562, 473.8271484375], [951.3516845703125, 509.6872253417969], [882.7119750976562, 462.3519592285156], [964.2216186523438, 502.51519775390625], [862.6920776367188, 442.2703552246094], [927.0418090820312, 532.6376342773438], [907.0218505859375, 529.7688598632812], [939.9116821289062, 571.366455078125], [888.4319458007812, 562.7600708007812], [969.9415893554688, 608.660888671875], [885.5719604492188, 591.4480590820312], [927.7567749023438, 600.0544738769531]]","[[923.7437133789062, 658.3450317382812], [928.0128173828125, 654.0422973632812], [918.0516357421875, 652.6080322265625], [913.782470703125, 664.08203125], [936.5510864257812, 664.08203125], [905.2442626953125, 689.8984985351562], [946.5123291015625, 688.4642333984375], [898.1290283203125, 717.1492309570312], [963.5887451171875, 718.58349609375], [895.282958984375, 740.09716796875], [959.3196411132812, 728.6232299804688], [916.6285400390625, 745.8341674804688], [946.5123291015625, 742.9657592773438], [891.013916015625, 778.8219604492188], [959.3196411132812, 781.6904907226562], [879.6295776367188, 820.4151000976562], [969.2809448242188, 820.4151000976562], [924.4552612304688, 820.4151000976562]]"
