rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
15,1,00:57:42,103888,14,top,long service,,,"[906, 532]","[[906.2089233398438, 457.51593017578125], [907.649169921875, 451.7543640136719], [903.3282470703125, 456.0755615234375], [914.8507080078125, 448.8735656738281], [901.8880004882812, 457.51593017578125], [936.455322265625, 460.396728515625], [904.7685546875, 483.44317626953125], [966.7017211914062, 469.03912353515625], [899.0073852539062, 518.0127563476562], [946.5374145507812, 460.396728515625], [887.4849243164062, 542.4995727539062], [950.8583984375, 523.7743530273438], [926.3731689453125, 530.9763793945312], [946.5374145507812, 574.1883544921875], [926.3731689453125, 569.8671875], [935.0149536132812, 617.400390625], [913.4104614257812, 597.2347412109375], [924.2127075195312, 607.3175659179688]]","[[1156.2542724609375, 651.2249755859375], [1129.0361328125, 644.0214233398438], [1157.6868896484375, 645.462158203125], [1130.4686279296875, 645.462158203125], [1156.2542724609375, 645.462158203125], [1119.0084228515625, 675.7171020507812], [1164.8494873046875, 672.8356323242188], [1113.2781982421875, 708.8534545898438], [1194.9327392578125, 697.3277587890625], [1134.7662353515625, 710.2941284179688], [1174.8773193359375, 681.4799194335938], [1126.1710205078125, 759.2783813476562], [1156.2542724609375, 759.2783813476562], [1133.333740234375, 812.5845947265625], [1170.5797119140625, 821.2289428710938], [1134.7662353515625, 868.7723999023438], [1153.3892822265625, 874.5352783203125], [1144.0777587890625, 871.6538391113281]]"
15,2,00:57:45,103955,16,bottom,smash,,,"[1039, 469]","[[980.6329956054688, 419.54150390625], [984.896484375, 413.7857971191406], [976.3695068359375, 415.2247314453125], [990.5811157226562, 416.66363525390625], [969.263671875, 416.66363525390625], [1003.3715209960938, 432.4919738769531], [960.7367553710938, 435.3698425292969], [1016.1619262695312, 438.24774169921875], [949.3674926757812, 459.831787109375], [1014.74072265625, 462.7096252441406], [946.5252075195312, 481.4158630371094], [999.1079711914062, 482.85479736328125], [969.263671875, 482.85479736328125], [1010.477294921875, 524.583984375], [953.6309814453125, 514.5114135742188], [1017.5830688476562, 563.435302734375], [945.1040649414062, 561.996337890625], [981.3435668945312, 562.7158203125]]","[[1095.232421875, 645.8665161132812], [1092.38330078125, 644.4260864257812], [1090.958740234375, 647.3069458007812], [1071.0146484375, 670.3541870117188], [1093.807861328125, 657.39013671875], [1082.4112548828125, 706.365478515625], [1118.0257568359375, 671.794677734375], [1079.5621337890625, 743.8171997070312], [1135.12060546875, 634.3428955078125], [1075.2884521484375, 712.1272583007812], [1137.9697265625, 592.56982421875], [1110.9027099609375, 774.0667114257812], [1142.243408203125, 763.9835205078125], [1113.751953125, 843.2083129882812], [1143.6680908203125, 843.2083129882812], [1120.874755859375, 906.5881958007812], [1143.6680908203125, 908.0286254882812], [1132.2714233398438, 907.3084106445312]]"
15,3,00:57:45,103973,14,top,defensive shot,,,"[751, 540]","[[855.5953979492188, 473.51239013671875], [855.5953979492188, 470.63092041015625], [852.7195434570312, 470.63092041015625], [867.0987548828125, 467.74945068359375], [872.8504638671875, 466.3087158203125], [890.1055297851562, 479.27532958984375], [891.5433959960938, 477.8345947265625], [841.2161865234375, 510.9715270996094], [915.9880981445312, 485.0382995605469], [818.20947265625, 531.141845703125], [927.4915161132812, 500.8863830566406], [898.7330932617188, 525.37890625], [867.0987548828125, 525.37890625], [921.7398071289062, 549.8714599609375], [849.84375, 549.8714599609375], [951.9360961914062, 571.4824829101562], [836.9024047851562, 583.0083618164062], [894.4192504882812, 577.2454223632812]]","[[991.822509765625, 681.0857543945312], [975.9884033203125, 675.3334350585938], [986.0646362304688, 675.3334350585938], [978.8673706054688, 676.771484375], [1003.3381958007812, 675.3334350585938], [970.2305297851562, 709.84716796875], [1020.6116943359375, 706.9710693359375], [964.4727172851562, 752.9893188476562], [1050.84033203125, 742.9228515625], [981.7462158203125, 742.9228515625], [1037.8851318359375, 763.0558471679688], [988.9435424804688, 793.2554321289062], [1022.0510864257812, 788.941162109375], [983.1857299804688, 852.2163696289062], [1001.898681640625, 836.3975219726562], [1023.4905395507812, 893.9205322265625], [1009.0960083007812, 911.1773071289062], [1016.2932739257812, 902.5489196777344]]"
15,4,00:57:46,104003,16,bottom,lob,,,"[747, 536]","[[902.7965087890625, 432.9401550292969], [907.0789794921875, 428.6454772949219], [899.9414672851562, 428.6454772949219], [915.6441040039062, 430.0770263671875], [894.2313232421875, 430.0770263671875], [922.7816772460938, 445.82415771484375], [882.8112182617188, 454.41351318359375], [925.63671875, 463.00286865234375], [867.1085205078125, 477.31842041015625], [928.4917602539062, 483.044677734375], [858.54345703125, 497.3602294921875], [902.7965087890625, 493.0655517578125], [881.3837280273438, 494.4971008300781], [912.7890625, 524.559814453125], [888.5213012695312, 531.7175903320312], [912.7890625, 564.6433715820312], [877.1011352539062, 583.2536010742188], [894.9450988769531, 573.948486328125]]","[[739.8807373046875, 643.55615234375], [741.3126220703125, 639.2526245117188], [741.3126220703125, 637.8180541992188], [744.1765747070312, 643.55615234375], [765.656005859375, 642.1216430664062], [747.04052734375, 669.37744140625], [777.1116333007812, 665.0738525390625], [739.8807373046875, 700.936767578125], [787.1354370117188, 699.5022583007812], [715.537353515625, 725.3235473632812], [757.064208984375, 702.3712768554688], [764.2239990234375, 739.668701171875], [791.4312744140625, 735.3651123046875], [762.7920532226562, 804.221923828125], [767.087890625, 795.6148071289062], [792.8631591796875, 834.3466796875], [748.472412109375, 799.9183349609375], [770.6677856445312, 817.1325073242188]]"
15,5,00:57:48,104043,14,top,drop,,,"[1157, 320]","[[1128.5205078125, 395.1792297363281], [1125.6531982421875, 388.005126953125], [1124.2196044921875, 388.005126953125], [1127.0869140625, 395.1792297363281], [1114.1839599609375, 388.005126953125], [1101.2808837890625, 390.874755859375], [1099.84716796875, 390.874755859375], [1101.2808837890625, 380.8310852050781], [1104.1483154296875, 464.0504455566406], [1101.2808837890625, 405.2229309082031], [1138.55615234375, 357.8739929199219], [1088.3779296875, 455.4415283203125], [1069.740234375, 449.7022705078125], [1115.6175537109375, 489.87713623046875], [1048.2352294921875, 484.1378479003906], [1139.9898681640625, 518.573486328125], [1032.4649658203125, 524.312744140625], [1086.2274169921875, 521.443115234375]]","[[983.864501953125, 624.2182006835938], [955.1275024414062, 617.02783203125], [983.864501953125, 619.9039916992188], [956.5643920898438, 621.342041015625], [982.4276123046875, 621.342041015625], [943.6326904296875, 651.5416870117188], [993.9224853515625, 651.5416870117188], [924.9537353515625, 690.3698120117188], [1011.1646118164062, 693.2459716796875], [924.9537353515625, 694.6840209960938], [1019.7857666015625, 722.0075073242188], [953.690673828125, 727.7598266601562], [989.6118774414062, 726.32177734375], [937.8853149414062, 791.0352172851562], [1016.9120483398438, 780.9686889648438], [926.3905639648438, 852.8726196289062], [1035.591064453125, 838.4918823242188], [980.9908142089844, 845.6822509765625]]"
15,6,00:57:48,104066,16,bottom,net shot,,,"[984, 576]","[[1039.8065185546875, 408.74468994140625], [1044.1080322265625, 405.8684997558594], [1035.5050048828125, 405.8684997558594], [1049.8433837890625, 405.8684997558594], [1031.20361328125, 407.3066101074219], [1058.4462890625, 424.5636291503906], [1021.1668701171875, 426.0017395019531], [1074.2183837890625, 436.0683898925781], [1003.9609375, 444.6968994140625], [1078.519775390625, 454.7635192871094], [988.1889038085938, 464.83013916015625], [1042.6741943359375, 470.58251953125], [1022.6005859375, 467.7063293457031], [1032.637451171875, 509.4109191894531], [1031.20361328125, 502.22052001953125], [1001.0933227539062, 536.734619140625], [1008.262451171875, 548.2393188476562], [1004.6778869628906, 542.4869689941406]]","[[1003.3885498046875, 627.5847778320312], [1004.8167724609375, 627.5847778320312], [1031.9525146484375, 621.8305053710938], [1006.2449340820312, 629.0233764648438], [1030.5242919921875, 624.7076416015625], [1006.2449340820312, 666.4260864257812], [1049.0908203125, 644.8475952148438], [981.965576171875, 703.828857421875], [1060.5164794921875, 633.3390502929688], [954.829833984375, 705.2674560546875], [1054.8035888671875, 636.2161865234375], [1027.6678466796875, 739.7930297851562], [1059.0882568359375, 732.6002197265625], [1001.9603271484375, 794.4586791992188], [1064.801025390625, 781.5115356445312], [1006.2449340820312, 852.0013427734375], [1081.939453125, 839.0542602539062], [1044.0921936035156, 845.5278015136719]]"
15,7,00:57:49,104098,14,top,lob,,,"[735, 577]","[[779.084228515625, 574.5748901367188], [780.5170288085938, 570.2593994140625], [797.7100830078125, 548.6820068359375], [783.3825073242188, 567.3824462890625], [800.57568359375, 560.18994140625], [787.6807250976562, 588.9598999023438], [813.4705200195312, 564.5054321289062], [784.8152465820312, 617.7297973632812], [820.6343383789062, 548.6820068359375], [784.8152465820312, 647.9381713867188], [827.798095703125, 538.612548828125], [824.9325561523438, 600.4677734375], [832.0963745117188, 583.2058715820312], [847.8567504882812, 623.4837646484375], [847.8567504882812, 623.4837646484375], [786.248046875, 659.4461059570312], [856.453369140625, 620.6067504882812], [821.3507080078125, 640.0264282226562]]","[[885.6567993164062, 615.738037109375], [887.0902099609375, 609.993896484375], [887.0902099609375, 609.993896484375], [891.390380859375, 611.4298706054688], [914.32470703125, 609.993896484375], [892.8237915039062, 644.4590454101562], [931.5254516601562, 635.8427734375], [891.390380859375, 684.6685180664062], [957.3265380859375, 671.7440185546875], [872.7562255859375, 711.9534912109375], [953.0264282226562, 699.029052734375], [918.6248779296875, 722.005859375], [945.8594360351562, 719.1337280273438], [889.9569091796875, 780.8839721679688], [922.925048828125, 756.4710693359375], [910.0244750976562, 842.6341552734375], [912.8912963867188, 815.34912109375], [911.4578857421875, 828.9916381835938]]"
15,8,00:57:51,104154,16,bottom,smash,,,"[756, 461]","[[905.6769409179688, 428.204345703125], [908.5501708984375, 423.9073181152344], [901.3671264648438, 423.9073181152344], [915.7332763671875, 425.33966064453125], [895.62060546875, 425.33966064453125], [928.662841796875, 438.2307434082031], [891.310791015625, 446.8247985839844], [951.6486206054688, 439.6630859375], [881.2544555664062, 469.7422790527344], [948.7754516601562, 462.58056640625], [875.5079956054688, 489.79510498046875], [937.282470703125, 484.06573486328125], [909.9867553710938, 488.36273193359375], [950.2120361328125, 524.1713256835938], [895.62060546875, 525.6036376953125], [966.014892578125, 565.709228515625], [891.310791015625, 567.1416015625], [928.662841796875, 566.4254150390625]]","[[762.031982421875, 628.7343139648438], [757.7514038085938, 622.9854125976562], [756.3245239257812, 630.1715698242188], [733.49462890625, 650.2927856445312], [756.3245239257812, 643.1066284179688], [753.4707641601562, 677.6001586914062], [782.0081787109375, 650.2927856445312], [803.4111938476562, 604.3013916015625], [803.4111938476562, 602.8641967773438], [809.1187744140625, 562.6217041015625], [809.1187744140625, 562.6217041015625], [784.8618774414062, 743.7128295898438], [816.2530517578125, 737.9638671875], [770.59326171875, 815.5744018554688], [831.9486083984375, 804.0765380859375], [757.7514038085938, 877.3753662109375], [809.1187744140625, 868.7518920898438], [783.4350891113281, 873.0636291503906]]"
15,9,00:57:52,104176,14,top,defensive shot,,,"[673, 500]","[[792.3314208984375, 479.0008239746094], [792.3314208984375, 473.26116943359375], [792.3314208984375, 474.696044921875], [798.0532836914062, 473.26116943359375], [810.9276123046875, 470.3913269042969], [826.6629638671875, 486.1754150390625], [792.3314208984375, 496.2198181152344], [855.2725219726562, 493.3499755859375], [855.2725219726562, 490.48016357421875], [869.5773315429688, 516.3086547851562], [743.695068359375, 523.4832153320312], [850.9810791015625, 527.7879638671875], [822.3714599609375, 526.35302734375], [873.8687744140625, 552.1815185546875], [800.9142456054688, 555.0513916015625], [905.33935546875, 576.5751342773438], [783.7484741210938, 592.3591918945312], [844.5439147949219, 584.4671630859375]]","[[852.18408203125, 662.1906127929688], [824.9143676757812, 659.3199462890625], [852.18408203125, 657.8845825195312], [826.349609375, 660.7553100585938], [852.18408203125, 660.7553100585938], [810.5619506835938, 693.76806640625], [865.1012573242188, 695.203369140625], [793.3389892578125, 731.0867919921875], [890.9356689453125, 733.95751953125], [814.8676147460938, 710.9920654296875], [888.0652465820312, 759.7935791015625], [820.6085815429688, 775.582275390625], [856.48974609375, 775.582275390625], [799.0798950195312, 825.819091796875], [870.84228515625, 830.1251220703125], [803.3856201171875, 886.103271484375], [879.4537353515625, 887.5386352539062], [841.419677734375, 886.8209533691406]]"
15,10,00:57:53,104206,16,bottom,lob,,,"[665, 542]","[[881.3363037109375, 444.46734619140625], [885.6500244140625, 440.1537170410156], [878.4605102539062, 440.1537170410156], [894.27734375, 441.5915832519531], [874.1469116210938, 441.5915832519531], [901.4667358398438, 458.8460998535156], [862.643798828125, 464.59759521484375], [907.2182006835938, 483.2899475097656], [843.9512939453125, 490.47930908203125], [908.6561279296875, 491.9172058105469], [833.8861694335938, 510.60955810546875], [882.7742309570312, 507.7337951660156], [859.7681274414062, 507.7337951660156], [895.7151489257812, 535.0534057617188], [865.5195922851562, 539.3670654296875], [894.27734375, 576.7517700195312], [854.0164794921875, 591.1304931640625], [874.1469116210938, 583.9411315917969]]","[[716.0458374023438, 632.1641235351562], [716.0458374023438, 627.8585815429688], [717.4805908203125, 629.2938232421875], [718.9154052734375, 627.8585815429688], [740.4375610351562, 627.8585815429688], [723.2198486328125, 653.691650390625], [750.481201171875, 649.3861083984375], [721.7850341796875, 686.700439453125], [759.0901489257812, 679.5245971679688], [698.8280639648438, 711.0983276367188], [727.5242919921875, 775.6807250976562], [743.3071899414062, 724.0147705078125], [766.26416015625, 719.7092895507812], [754.7857055664062, 788.5972290039062], [740.4375610351562, 751.2828979492188], [792.0907592773438, 811.5599365234375], [726.0894775390625, 782.8565673828125], [759.0901184082031, 797.208251953125]]"
