rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
27,1,00:22:37,40718,16,top,long service,,,"[888, 495]","[[912.1524047851562, 479.88104248046875], [915.0028686523438, 475.57049560546875], [907.8767700195312, 477.00732421875], [923.5541381835938, 475.57049560546875], [906.4515380859375, 479.88104248046875], [940.6566772460938, 492.8127136230469], [906.4515380859375, 501.433837890625], [964.8853149414062, 511.4918212890625], [922.12890625, 521.5498046875], [949.2079467773438, 508.61810302734375], [940.6566772460938, 510.0549621582031], [942.0819091796875, 556.0343017578125], [919.2785034179688, 558.9080200195312], [937.8062744140625, 607.7610473632812], [916.4280395507812, 603.4505004882812], [930.68017578125, 652.3035278320312], [912.1524047851562, 640.8087158203125], [921.4162902832031, 646.5561218261719]]","[[1135.6226806640625, 689.7517700195312], [1128.44189453125, 684.0132446289062], [1135.6226806640625, 685.4478759765625], [1108.3358154296875, 685.4478759765625], [1134.1866455078125, 686.8825073242188], [1099.7188720703125, 711.271484375], [1141.367431640625, 715.5753784179688], [1099.7188720703125, 734.2257690429688], [1162.90966796875, 742.8336181640625], [1165.781982421875, 727.0525512695312], [1174.39892578125, 729.921875], [1109.77197265625, 785.8729858398438], [1138.4949951171875, 787.3076782226562], [1118.388916015625, 830.3469848632812], [1158.6011962890625, 831.7816162109375], [1115.5166015625, 874.821044921875], [1147.1119384765625, 876.255615234375], [1131.3142700195312, 875.538330078125]]"
27,2,00:22:39,40782,14,bottom,drop,,,"[1226, 587]","[[1010.3112182617188, 484.2585754394531], [1014.612060546875, 479.94244384765625], [1007.4439697265625, 479.94244384765625], [1018.9130249023438, 482.8198547363281], [1000.2757568359375, 481.3811340332031], [1024.6475830078125, 500.08428955078125], [985.9393920898438, 500.08428955078125], [1036.11669921875, 518.7874145507812], [967.3021240234375, 521.664794921875], [1036.11669921875, 540.367919921875], [960.1338500976562, 547.5614013671875], [1007.4439697265625, 553.3162841796875], [978.7711791992188, 551.8775634765625], [1021.7802734375, 596.477294921875], [971.6029663085938, 590.7225341796875], [1014.612060546875, 639.6383666992188], [952.9656372070312, 639.6383666992188], [983.7888488769531, 639.6383666992188]]","[[1121.20703125, 784.2344360351562], [1125.5142822265625, 779.9310302734375], [1149.922119140625, 784.2344360351562], [1125.5142822265625, 788.5379028320312], [1151.35791015625, 789.9723510742188], [1111.15673828125, 812.9241333007812], [1158.53662109375, 817.2276611328125], [1085.3131103515625, 840.179443359375], [1190.123291015625, 817.2276611328125], [1116.8997802734375, 825.8345336914062], [1215.966796875, 812.9241333007812], [1102.542236328125, 894.6898803710938], [1132.6929931640625, 898.993408203125], [1111.15673828125, 931.986572265625], [1171.45849609375, 953.5038452148438], [1066.6483154296875, 966.4142456054688], [1154.2293701171875, 1003.7108764648438], [1110.4388427734375, 985.0625610351562]]"
27,3,00:22:40,40800,16,top,push/rush,,,"[1093, 544]","[[1077.9974365234375, 510.6725769042969], [1077.9974365234375, 506.3515930175781], [1072.2576904296875, 506.3515930175781], [1080.8673095703125, 510.6725769042969], [1063.6480712890625, 512.1129150390625], [1076.5625, 529.3968505859375], [1065.0830078125, 530.837158203125], [1105.2613525390625, 523.635498046875], [1088.0421142578125, 545.2404174804688], [1095.2166748046875, 535.1581420898438], [1100.95654296875, 530.837158203125], [1063.6480712890625, 584.1292114257812], [1049.2987060546875, 587.0098876953125], [1086.6070556640625, 621.5776977539062], [1085.172119140625, 621.5776977539062], [1047.86376953125, 641.7422485351562], [1096.6517333984375, 667.6681518554688], [1072.2577514648438, 654.7052001953125]]","[[1055.821044921875, 717.0965576171875], [1062.9873046875, 712.7886962890625], [1050.087890625, 708.4808349609375], [1040.0550537109375, 714.2246704101562], [1067.287109375, 721.4044189453125], [1022.855712890625, 737.1998901367188], [1070.1536865234375, 751.559326171875], [985.5907592773438, 737.1998901367188], [1084.4864501953125, 796.0738525390625], [959.7918090820312, 750.1234130859375], [1087.35302734375, 821.9209594726562], [1019.9892578125, 817.6130981445312], [1054.3876953125, 819.049072265625], [999.9234619140625, 860.6915893554688], [1061.5540771484375, 867.8713989257812], [1007.0897827148438, 908.0780029296875], [1083.0531005859375, 900.8983154296875], [1045.0714416503906, 904.4881591796875]]"
27,4,00:22:40,40811,14,bottom,defensive shot,,,"[1019, 639]","[[1060.2501220703125, 510.55279541015625], [1064.51123046875, 507.6695556640625], [1057.409423828125, 507.6695556640625], [1068.772216796875, 510.55279541015625], [1050.3076171875, 509.1111755371094], [1077.29443359375, 527.8521728515625], [1037.5244140625, 527.8521728515625], [1087.2369384765625, 550.91796875], [1021.9004516601562, 552.3595581054688], [1090.07763671875, 569.658935546875], [1014.7987060546875, 576.8670043945312], [1067.3519287109375, 573.9837646484375], [1040.3651123046875, 575.4254150390625], [1077.29443359375, 614.3489379882812], [1041.7855224609375, 611.4656982421875], [1082.975830078125, 657.5973510742188], [1038.94482421875, 657.5973510742188], [1060.9603271484375, 657.5973510742188]]","[[1007.0172119140625, 702.3167114257812], [1009.8930053710938, 699.4453125], [1031.4620361328125, 705.188232421875], [1012.7689208984375, 706.6239624023438], [1035.7757568359375, 710.9310913085938], [1001.2654418945312, 729.595458984375], [1040.089599609375, 738.2098388671875], [981.1344604492188, 755.4384765625], [1048.7171630859375, 754.0028076171875], [962.4413452148438, 776.974365234375], [1004.141357421875, 752.5670166015625], [995.5137939453125, 801.3816528320312], [1028.586181640625, 807.12451171875], [949.4999389648438, 827.2246704101562], [1024.2723388671875, 827.2246704101562], [940.8723754882812, 877.4749755859375], [1042.9654541015625, 858.810546875], [991.9189147949219, 868.1427612304688]]"
27,5,00:22:41,40833,16,top,net shot,,,"[1219, 559]","[[1129.0906982421875, 531.3935546875], [1129.0906982421875, 527.0914916992188], [1124.8140869140625, 525.657470703125], [1113.409912109375, 528.5255126953125], [1113.409912109375, 528.5255126953125], [1116.260986328125, 550.0358276367188], [1107.7078857421875, 550.0358276367188], [1129.0906982421875, 570.1121215820312], [1124.8140869140625, 570.1121215820312], [1153.32470703125, 574.4141845703125], [1153.32470703125, 575.8482055664062], [1104.856689453125, 608.8306884765625], [1092.027099609375, 610.2647094726562], [1126.2396240234375, 648.9832763671875], [1124.8140869140625, 647.5492553710938], [1074.920654296875, 663.323486328125], [1127.665283203125, 696.3060302734375], [1101.29296875, 679.8147583007812]]","[[977.2409057617188, 685.535888671875], [964.4418334960938, 681.2332153320312], [995.728271484375, 681.2332153320312], [967.2860717773438, 684.1016845703125], [994.3060913085938, 684.1016845703125], [961.5975952148438, 711.3518676757812], [1007.1051635742188, 707.0491943359375], [945.9544677734375, 741.470458984375], [1027.0146484375, 740.0363159179688], [947.3765258789062, 771.589111328125], [1038.3914794921875, 767.2864379882812], [997.1503295898438, 777.3259887695312], [1029.85888671875, 771.589111328125], [970.1303100585938, 827.523681640625], [1015.6377563476562, 807.444580078125], [972.9744873046875, 880.58984375], [1025.592529296875, 854.7738647460938], [999.2835083007812, 867.6818542480469]]"
27,6,00:22:42,40860,14,bottom,lob,,,"[1204, 437]","[[1096.1380615234375, 502.2144775390625], [1099.014892578125, 497.8980407714844], [1090.38427734375, 496.4591979980469], [1103.330322265625, 497.8980407714844], [1081.753662109375, 495.0203857421875], [1096.1380615234375, 513.7249755859375], [1068.8076171875, 518.0414428710938], [1088.9459228515625, 535.3071899414062], [1047.23095703125, 543.9400634765625], [1099.014892578125, 558.3281860351562], [1050.10791015625, 578.4715576171875], [1071.6844482421875, 569.8386840820312], [1051.5462646484375, 566.9610595703125], [1083.192138671875, 607.2478637695312], [1063.0538330078125, 613.0031127929688], [1071.6844482421875, 648.9735107421875], [1041.4771728515625, 661.9227905273438], [1056.580810546875, 655.4481506347656]]","[[1155.10693359375, 674.0000610351562], [1156.5421142578125, 675.4398193359375], [1185.2471923828125, 686.9578247070312], [1159.4127197265625, 681.1988525390625], [1182.376708984375, 688.3975830078125], [1145.0601806640625, 694.1566162109375], [1179.506103515625, 709.9938354492188], [1117.790283203125, 691.2770385742188], [1193.8587646484375, 722.9515991210938], [1097.69677734375, 691.2770385742188], [1185.2471923828125, 709.9938354492188], [1135.0133056640625, 748.8671875], [1162.283203125, 753.1864624023438], [1119.2255859375, 793.4994506835938], [1179.506103515625, 767.5839233398438], [1109.1788330078125, 823.7342529296875], [1179.506103515625, 796.3789672851562], [1144.3424682617188, 810.0566101074219]]"
27,7,00:22:43,40918,16,top,clear,,,"[997, 272]","[[1079.2740478515625, 414.8095397949219], [1083.55908203125, 414.8095397949219], [1077.8455810546875, 410.4982604980469], [1086.4158935546875, 421.9950256347656], [1072.1322021484375, 411.93536376953125], [1083.55908203125, 443.5514831542969], [1059.2767333984375, 424.86920166015625], [1082.1307373046875, 467.98211669921875], [1037.8511962890625, 401.87567138671875], [1069.275390625, 450.7369384765625], [1050.70654296875, 413.3724670410156], [1063.5618896484375, 483.7901916503906], [1042.1363525390625, 478.04180908203125], [1077.8455810546875, 531.21435546875], [1033.566162109375, 525.4660034179688], [1087.8441162109375, 571.4530639648438], [1023.5675048828125, 570.0159912109375], [1055.705810546875, 570.7345275878906]]","[[990.1942749023438, 654.6428833007812], [980.1876831054688, 656.0782470703125], [1010.2073974609375, 661.8197021484375], [980.1876831054688, 661.8197021484375], [1007.348388671875, 663.2550659179688], [965.892578125, 683.3501586914062], [1014.495849609375, 691.96240234375], [948.7384643554688, 710.6221313476562], [1023.072998046875, 727.8465576171875], [947.3090209960938, 740.7648315429688], [1033.07958984375, 756.5538330078125], [967.3221435546875, 753.68310546875], [1001.6303100585938, 753.68310546875], [953.0270385742188, 809.6624145507812], [1018.784423828125, 802.4855346679688], [941.5908813476562, 862.7708740234375], [1028.791015625, 852.7232666015625], [985.1909484863281, 857.7470703125]]"
27,8,00:22:45,40951,14,bottom,drop,,,"[692, 562]","[[967.9100341796875, 456.66766357421875], [972.1793212890625, 450.9076843261719], [963.640625, 452.34765625], [979.2949829101562, 453.78765869140625], [959.3712158203125, 453.78765869140625], [989.2567749023438, 475.38763427734375], [953.6788330078125, 475.38763427734375], [1004.9110107421875, 499.86761474609375], [946.563232421875, 501.3075866699219], [993.5260620117188, 514.267578125], [939.4476318359375, 525.78759765625], [982.14111328125, 527.2276000976562], [957.9481811523438, 525.78759765625], [986.4105224609375, 570.427490234375], [936.6014404296875, 566.1075439453125], [1004.9110107421875, 617.947509765625], [935.1782836914062, 613.6275024414062], [970.0446472167969, 615.7875061035156]]","[[754.6748046875, 744.3833618164062], [727.5615234375, 768.8189697265625], [747.5397338867188, 744.3833618164062], [734.6965942382812, 768.8189697265625], [750.3938598632812, 758.7572631835938], [741.8316650390625, 773.1311645507812], [776.080078125, 767.381591796875], [717.5723876953125, 742.9459228515625], [763.2368774414062, 712.7607421875], [710.4373168945312, 717.0728759765625], [740.4046630859375, 686.8876953125], [763.2368774414062, 834.93896484375], [793.2042846679688, 830.6267700195312], [738.9776611328125, 885.2476806640625], [817.4635009765625, 870.873779296875], [707.5833129882812, 918.3076782226562], [821.7445678710938, 922.6198120117188], [764.6639404296875, 920.4637451171875]]"
27,9,00:22:45,40972,16,top,defensive shot,,,"[722, 523]","[[814.1920776367188, 504.7079162597656], [817.0487060546875, 498.9762268066406], [811.3355712890625, 503.27496337890625], [828.4749755859375, 500.4091796875], [809.9072265625, 506.14080810546875], [842.7578735351562, 517.6041870117188], [811.3355712890625, 523.3358764648438], [869.895263671875, 523.3358764648438], [794.1961059570312, 533.3663330078125], [898.4609985351562, 526.2017211914062], [764.2020874023438, 539.0979614257812], [845.6144409179688, 576.3538208007812], [818.4769897460938, 574.9209594726562], [864.18212890625, 607.8780517578125], [789.9112548828125, 602.1463623046875], [887.0347290039062, 629.371826171875], [778.4849853515625, 647.999755859375], [832.7598571777344, 638.685791015625]]","[[807.0088500976562, 708.9188842773438], [809.8684692382812, 706.0470581054688], [838.464599609375, 706.0470581054688], [811.2982177734375, 711.7906494140625], [838.464599609375, 713.2265625], [801.2896118164062, 739.0728149414062], [851.3328247070312, 739.0728149414062], [782.7020874023438, 763.4830932617188], [879.928955078125, 770.6626586914062], [774.123291015625, 782.1498413085938], [884.2183837890625, 796.5089111328125], [809.8684692382812, 810.867919921875], [845.6135864257812, 809.4320068359375], [786.9915161132812, 863.9962158203125], [849.9030151367188, 863.9962158203125], [775.5530395507812, 919.9963989257812], [849.9030151367188, 909.945068359375], [812.72802734375, 914.9707336425781]]"
27,10,00:22:46,41002,14,bottom,lob,misjudged,14.0,"[697, 707]","[[881.4189453125, 481.61114501953125], [885.73046875, 477.3057556152344], [877.1074829101562, 477.3057556152344], [892.9163208007812, 477.3057556152344], [871.3587646484375, 477.3057556152344], [900.1021118164062, 494.5274353027344], [865.6100463867188, 501.7030944824219], [911.5995483398438, 518.9247436523438], [851.2384033203125, 533.276123046875], [924.5341186523438, 539.0167236328125], [849.8012084960938, 561.9789428710938], [890.0419311523438, 551.9329223632812], [867.0471801757812, 551.9329223632812], [905.850830078125, 593.5519409179688], [872.7958984375, 592.1168823242188], [887.1676635742188, 627.995361328125], [871.3587646484375, 648.0872192382812], [879.2632141113281, 638.0412902832031]]","[[728.6199340820312, 710.6380004882812], [728.6199340820312, 707.769775390625], [755.8060913085938, 697.7308349609375], [732.9124755859375, 710.6380004882812], [755.8060913085938, 703.4673461914062], [744.3593139648438, 729.2816772460938], [767.2529296875, 717.8086547851562], [750.0827026367188, 736.4523315429688], [771.54541015625, 769.4373168945312], [760.0986938476562, 756.5301513671875], [767.2529296875, 802.4223022460938], [787.2847900390625, 773.73974609375], [807.316650390625, 759.3983764648438], [787.2847900390625, 826.802490234375], [772.976318359375, 782.3445434570312], [813.0401000976562, 842.577880859375], [768.6837158203125, 809.5929565429688], [790.8619079589844, 826.0854187011719]]"
