rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
38,1,00:28:19,50995,2,bottom,short service,,,"[864, 581]","[[823.0160522460938, 481.34295654296875], [825.8670654296875, 477.04486083984375], [820.1649780273438, 477.04486083984375], [832.9945678710938, 478.4775695800781], [813.0374755859375, 477.04486083984375], [838.6965942382812, 497.1025390625], [808.7609252929688, 492.8044738769531], [851.526123046875, 524.3236694335938], [794.5059204101562, 514.2947998046875], [827.2926025390625, 517.1602172851562], [793.0804443359375, 504.2659912109375], [840.1220703125, 548.6793823242188], [818.7394409179688, 548.6793823242188], [832.9945678710938, 587.362060546875], [825.8670654296875, 590.2274169921875], [828.7180786132812, 626.044677734375], [837.2711181640625, 613.1504516601562], [832.9945983886719, 619.5975646972656]]","[[964.6370239257812, 649.3961181640625], [968.9447631835938, 645.0857543945312], [960.3292236328125, 645.0857543945312], [951.7136840820312, 649.3961181640625], [974.6884155273438, 647.9593505859375], [947.406005859375, 679.5686645507812], [989.0477294921875, 670.9479370117188], [915.8156127929688, 685.3157958984375], [996.227294921875, 669.5111694335938], [907.2001342773438, 672.384765625], [907.2001342773438, 672.384765625], [978.9962158203125, 752.8447875976562], [1004.8427734375, 748.534423828125], [989.0477294921875, 810.3162841796875], [981.8680419921875, 783.017333984375], [1009.1505737304688, 864.9142456054688], [989.0477294921875, 834.74169921875], [999.0991516113281, 849.8279724121094]]"
38,2,00:28:20,51016,16,top,net shot,,,"[830, 511]","[[851.1228637695312, 482.1456298828125], [853.9786987304688, 477.8328857421875], [848.26708984375, 477.8328857421875], [861.1181030273438, 482.1456298828125], [843.9834594726562, 482.1456298828125], [871.1133422851562, 500.83416748046875], [841.1277465820312, 505.14691162109375], [891.1036987304688, 512.3347778320312], [861.1181030273438, 523.83544921875], [893.9594116210938, 512.3347778320312], [873.9690551757812, 508.02203369140625], [866.82958984375, 559.7749633789062], [849.6950073242188, 558.33740234375], [861.1181030273438, 608.6526489257812], [855.4065551757812, 602.90234375], [833.9883422851562, 620.1533203125], [842.5556030273438, 653.2176513671875], [838.27197265625, 636.6854858398438]]","[[937.9444580078125, 648.3643188476562], [942.2078247070312, 644.0577392578125], [933.68115234375, 644.0577392578125], [926.57568359375, 651.2353515625], [946.4711303710938, 648.3643188476562], [922.3123779296875, 681.3811645507812], [966.366455078125, 675.6390380859375], [919.4701538085938, 721.5755004882812], [986.2618408203125, 711.5269165039062], [908.1013793945312, 757.46337890625], [993.3673706054688, 745.9793090820312], [946.4711303710938, 753.1568603515625], [976.314208984375, 744.5438232421875], [918.049072265625, 801.96435546875], [973.4719848632812, 780.4315795898438], [935.1022338867188, 857.9493408203125], [987.6829833984375, 830.6746215820312], [961.3926086425781, 844.3119812011719]]"
38,3,00:28:21,51039,2,bottom,lob,,,"[1021, 443]","[[965.6407470703125, 489.6511535644531], [968.513427734375, 485.33636474609375], [961.3314819335938, 483.8980712890625], [972.8226318359375, 486.7746276855469], [954.149658203125, 485.33636474609375], [971.38623046875, 505.4720458984375], [939.7858276367188, 509.786865234375], [969.9498291015625, 528.4842529296875], [923.9855346679688, 538.5520629882812], [988.6228637695312, 547.181640625], [922.5491943359375, 565.8790893554688], [957.0223999023438, 555.8112182617188], [935.4766845703125, 560.1260375976562], [977.1317749023438, 593.2061157226562], [957.0223999023438, 596.0826416015625], [957.0223999023438, 613.341796875], [962.7679443359375, 639.2305297851562], [959.8951721191406, 626.2861633300781]]","[[994.7954711914062, 653.6715087890625], [997.6439208984375, 649.36572265625], [990.5226440429688, 649.36572265625], [987.6741943359375, 647.9304809570312], [1006.1893310546875, 642.189453125], [989.0984497070312, 670.8945922851562], [1020.431884765625, 653.6715087890625], [984.82568359375, 702.47021484375], [1031.8258056640625, 640.7542114257812], [977.7044677734375, 732.610595703125], [1043.2198486328125, 630.7073974609375], [1007.6136474609375, 732.610595703125], [1033.2501220703125, 725.4343872070312], [989.0984497070312, 782.8446044921875], [1030.401611328125, 744.0926513671875], [1004.7651977539062, 815.8555297851562], [1023.2803344726562, 779.97412109375], [1014.0227661132812, 797.9148254394531]]"
38,4,00:28:22,51077,16,top,clear,,,"[1151, 244]","[[1105.0185546875, 421.4482421875], [1109.326171875, 421.4482421875], [1103.5826416015625, 418.56610107421875], [1097.8389892578125, 424.3304138183594], [1113.6339111328125, 428.65362548828125], [1083.47998046875, 432.9768981933594], [1109.326171875, 448.8287658691406], [1064.813232421875, 447.3876647949219], [1109.326171875, 461.7984924316406], [1067.68505859375, 428.65362548828125], [1110.7620849609375, 441.62335205078125], [1066.2491455078125, 484.85577392578125], [1087.78759765625, 492.0611877441406], [1047.5823974609375, 523.764892578125], [1103.5826416015625, 526.6470947265625], [1125.12109375, 549.704345703125], [1125.12109375, 549.704345703125], [1125.12109375, 549.704345703125]]","[[994.6958618164062, 625.8771362304688], [999.0023193359375, 621.569580078125], [990.3893432617188, 621.569580078125], [986.0828857421875, 624.4412841796875], [1007.6152954101562, 625.8771362304688], [973.1633911132812, 650.2861938476562], [1020.5347290039062, 651.7220458984375], [953.06640625, 683.310302734375], [1034.8897705078125, 693.3611450195312], [953.06640625, 713.4627685546875], [1040.6317138671875, 726.38525390625], [974.5989379882812, 724.949462890625], [1007.6152954101562, 724.949462890625], [965.9859619140625, 775.2034912109375], [1021.9702758789062, 780.94677734375], [951.6309814453125, 829.7650756835938], [1017.663818359375, 841.2517700195312], [984.6473999023438, 835.5084228515625]]"
38,5,00:28:24,51120,2,bottom,drop,,,"[1275, 523]","[[1028.99853515625, 469.5341796875], [1031.8743896484375, 466.6630859375], [1024.6849365234375, 466.6630859375], [1034.7501220703125, 468.0986328125], [1016.0576171875, 466.6630859375], [1039.063720703125, 489.6317443847656], [998.8029174804688, 491.0672912597656], [1044.8153076171875, 508.2937927246094], [981.54833984375, 524.0848388671875], [1050.56689453125, 526.9558715820312], [975.7968139648438, 554.231201171875], [1026.122802734375, 541.3113403320312], [1000.2408447265625, 541.3113403320312], [1050.56689453125, 574.3287963867188], [982.9862060546875, 577.1998901367188], [1060.632080078125, 614.5239868164062], [959.9800415039062, 617.3950805664062], [1010.3060607910156, 615.9595336914062]]","[[1205.769287109375, 733.865966796875], [1211.512451171875, 729.5418701171875], [1201.4619140625, 729.5418701171875], [1192.8472900390625, 729.5418701171875], [1217.255615234375, 732.424560546875], [1181.3609619140625, 756.9278564453125], [1228.741943359375, 762.6932373046875], [1164.131591796875, 790.0792236328125], [1274.6871337890625, 775.6655883789062], [1178.4893798828125, 756.9278564453125], [1289.0450439453125, 767.0174560546875], [1181.3609619140625, 840.5270385742188], [1212.9482421875, 846.2925415039062], [1188.5399169921875, 872.2371215820312], [1251.714599609375, 896.7402954101562], [1151.20947265625, 918.36083984375], [1251.714599609375, 960.160400390625], [1201.4620361328125, 939.2606201171875]]"
38,6,00:28:24,51146,16,top,net shot,,,"[1209, 555]","[[1160.185791015625, 546.69970703125], [1161.6185302734375, 542.3742065429688], [1157.3203125, 542.3742065429688], [1160.185791015625, 543.8160400390625], [1147.2913818359375, 538.0486450195312], [1138.695068359375, 551.0252075195312], [1137.2623291015625, 553.9088745117188], [1110.040771484375, 618.7918701171875], [1153.022216796875, 579.8621215820312], [1173.080322265625, 595.7223510742188], [1173.080322265625, 595.7223510742188], [1098.5789794921875, 592.8386840820312], [1101.4444580078125, 594.280517578125], [1111.4735107421875, 618.7918701171875], [1135.8297119140625, 605.8152465820312], [1084.2518310546875, 627.4429321289062], [1140.1278076171875, 653.3961181640625], [1112.1898193359375, 640.4195251464844]]","[[1044.7301025390625, 665.2749633789062], [1050.4794921875, 659.5222778320312], [1040.41796875, 659.5222778320312], [1037.5433349609375, 662.398681640625], [1060.541015625, 660.96044921875], [1028.9190673828125, 689.7240600585938], [1076.3521728515625, 691.1622314453125], [1003.0465087890625, 728.554931640625], [1096.4752197265625, 729.9931030273438], [1001.609130859375, 751.5657958984375], [1105.099365234375, 763.0712280273438], [1037.5433349609375, 771.7003173828125], [1072.0400390625, 770.2620849609375], [1004.4838256835938, 822.0365600585938], [1063.415771484375, 813.407470703125], [1000.1717529296875, 885.3165283203125], [1059.1036376953125, 862.3056030273438], [1029.6376953125, 873.8110656738281]]"
38,7,00:28:25,51173,2,bottom,net shot,,,"[1179, 526]","[[1066.8939208984375, 491.5517883300781], [1071.1573486328125, 487.2295837402344], [1064.0516357421875, 485.78887939453125], [1072.5784912109375, 488.6703186035156], [1054.1036376953125, 484.34814453125], [1068.3150634765625, 505.95904541015625], [1038.4710693359375, 507.3997802734375], [1078.2630615234375, 529.0106811523438], [1019.9962158203125, 534.7736206054688], [1088.2110595703125, 547.7401733398438], [1018.5750732421875, 566.4696044921875], [1048.4190673828125, 556.384521484375], [1028.5230712890625, 553.5030517578125], [1045.5767822265625, 592.4027099609375], [1039.8922119140625, 588.0805053710938], [1014.3115844726562, 614.0136108398438], [1019.9962158203125, 635.62451171875], [1017.1539001464844, 624.8190612792969]]","[[1132.720703125, 633.4008178710938], [1138.4298095703125, 629.0784301757812], [1129.8662109375, 627.6376342773438], [1127.01171875, 627.6376342773438], [1146.9932861328125, 627.6376342773438], [1119.8753662109375, 650.6903686523438], [1149.847900390625, 647.8087768554688], [1124.1572265625, 689.5919189453125], [1109.884521484375, 682.3878784179688], [1112.7391357421875, 719.8486328125], [1108.457275390625, 711.203857421875], [1127.01171875, 718.4078369140625], [1146.9932861328125, 709.7630615234375], [1111.311767578125, 768.835693359375], [1109.884521484375, 768.835693359375], [1127.01171875, 807.7372436523438], [1151.275146484375, 770.2765502929688], [1139.1434326171875, 789.0068969726562]]"
38,8,00:28:26,51199,16,top,lob,,,"[1142, 452]","[[1113.638427734375, 565.5069580078125], [1112.2119140625, 561.1845092773438], [1109.359130859375, 561.1845092773438], [1056.5809326171875, 607.290283203125], [1096.5211181640625, 564.0661010742188], [1055.154541015625, 634.66552734375], [1089.388916015625, 581.3557739257812], [1049.44873046875, 670.6856689453125], [1105.079833984375, 592.8822021484375], [1043.7430419921875, 687.975341796875], [1129.3291015625, 592.8822021484375], [1066.5660400390625, 687.975341796875], [1093.6683349609375, 687.975341796875], [1050.875244140625, 667.8040161132812], [1050.875244140625, 669.244873046875], [1043.7430419921875, 687.975341796875], [1059.433837890625, 687.975341796875], [1051.5884399414062, 687.975341796875]]","[[1058.5594482421875, 610.3975219726562], [1058.5594482421875, 606.0867919921875], [1059.9866943359375, 606.0867919921875], [1058.5594482421875, 607.523681640625], [1078.5404052734375, 606.0867919921875], [1055.705078125, 634.824951171875], [1092.8125, 633.3880615234375], [1049.9962158203125, 669.310791015625], [1117.074951171875, 669.310791015625], [1040.005859375, 696.612060546875], [1122.78369140625, 696.612060546875], [1068.5499267578125, 702.3597412109375], [1094.2396240234375, 702.3597412109375], [1035.72412109375, 749.7777099609375], [1085.6763916015625, 744.0300903320312], [1051.4234619140625, 807.2540283203125], [1089.9580078125, 798.6326293945312], [1070.6907348632812, 802.9433288574219]]"
38,9,00:28:28,51244,2,bottom,drop,,,"[686, 489]","[[937.6976318359375, 485.7323913574219], [940.5482788085938, 481.4082946777344], [933.421630859375, 481.4082946777344], [947.6749267578125, 485.7323913574219], [929.1456298828125, 485.7323913574219], [959.0774536132812, 504.4702453613281], [920.5936889648438, 508.7944030761719], [973.3306884765625, 523.2081298828125], [907.7658081054688, 533.2977294921875], [973.3306884765625, 544.8287353515625], [902.0645141601562, 559.242431640625], [954.801513671875, 549.1528930664062], [929.1456298828125, 549.1528930664062], [973.3306884765625, 585.1871948242188], [904.9151611328125, 582.304443359375], [987.583984375, 622.6629028320312], [883.5352783203125, 616.8974609375], [935.5596313476562, 619.7801818847656]]","[[692.22021484375, 739.0469360351562], [695.091796875, 734.7308349609375], [690.784423828125, 734.7308349609375], [692.22021484375, 734.7308349609375], [710.8854370117188, 724.6600341796875], [693.656005859375, 760.627197265625], [729.5506591796875, 734.7308349609375], [710.8854370117188, 785.0847778320312], [752.5232543945312, 718.9052734375], [774.06005859375, 707.3958129882812], [774.06005859375, 705.9571533203125], [722.3717651367188, 825.367919921875], [755.3948364257812, 819.6131591796875], [692.22021484375, 888.6700439453125], [801.3399658203125, 855.5802612304688], [662.0687255859375, 943.340087890625], [831.491455078125, 908.8116455078125], [746.7800903320312, 926.0758666992188]]"
38,10,00:28:28,51269,16,top,lob,,,"[755, 522]","[[721.46630859375, 578.399658203125], [725.74365234375, 574.09716796875], [714.3373413085938, 574.09716796875], [722.89208984375, 568.3605346679688], [714.3373413085938, 579.8338623046875], [741.4273681640625, 571.2288818359375], [714.3373413085938, 592.7412719726562], [767.0916137695312, 561.1897583007812], [769.9432373046875, 559.7555541992188], [794.1817016601562, 565.4922485351562], [794.1817016601562, 565.4922485351562], [762.814208984375, 591.30712890625], [741.4273681640625, 602.7803955078125], [787.0526733398438, 617.1220092773438], [785.626953125, 612.8195190429688], [814.1427612304688, 625.7269897460938], [710.0599975585938, 651.5418090820312], [762.1013793945312, 638.6343994140625]]","[[785.8966674804688, 690.4099731445312], [790.1812133789062, 684.6705932617188], [780.1837158203125, 684.6705932617188], [777.3273315429688, 687.540283203125], [798.75048828125, 686.10546875], [767.329833984375, 714.8023071289062], [815.8889770507812, 713.367431640625], [748.7631225585938, 756.4127197265625], [845.88134765625, 756.4127197265625], [747.3348999023438, 787.9791870117188], [848.73779296875, 787.9791870117188], [783.0401611328125, 792.2837524414062], [818.745361328125, 786.5443725585938], [774.4708862304688, 852.547119140625], [827.3146362304688, 836.7638549804688], [780.1837158203125, 917.114990234375], [830.1710815429688, 895.59228515625], [805.1773986816406, 906.3536376953125]]"
38,11,00:28:30,51308,2,bottom,smash,,,"[1179, 414]","[[952.7765502929688, 484.83575439453125], [957.06689453125, 480.5419006347656], [949.9163818359375, 480.5419006347656], [959.927001953125, 481.97320556640625], [941.3358764648438, 481.97320556640625], [965.6473999023438, 499.148681640625], [927.0349731445312, 502.01123046875], [971.3677978515625, 524.9118041992188], [911.3038940429688, 526.3431396484375], [975.6580810546875, 549.2437133789062], [911.3038940429688, 556.4002075195312], [958.4969482421875, 540.656005859375], [932.75537109375, 540.656005859375], [981.3784790039062, 575.0068969726562], [912.7340698242188, 577.8694458007812], [1002.829833984375, 612.2203979492188], [895.5728759765625, 617.945556640625], [949.2013549804688, 615.0829772949219]]","[[1148.9537353515625, 657.87890625], [1122.01904296875, 667.9526977539062], [1144.700927734375, 657.87890625], [1124.854248046875, 669.391845703125], [1143.2833251953125, 665.074462890625], [1124.854248046875, 698.1740112304688], [1163.1300048828125, 689.5393676757812], [1153.2066650390625, 685.2219848632812], [1191.482421875, 685.2219848632812], [1178.7237548828125, 683.7828979492188], [1184.394287109375, 683.7828979492188], [1141.86572265625, 770.1294555664062], [1168.800537109375, 771.568603515625], [1141.86572265625, 834.8893432617188], [1171.6357421875, 840.645751953125], [1123.4366455078125, 893.8928833007812], [1156.0418701171875, 905.40576171875], [1139.7392578125, 899.6493225097656]]"
