rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
8,1,00:48:29,87288,9,bottom,short service,,,"[917, 617]","[[859.6569213867188, 368.29437255859375], [862.5166015625, 365.4141540527344], [855.3673095703125, 365.4141540527344], [868.2360229492188, 368.29437255859375], [846.7881469726562, 366.854248046875], [876.8151245117188, 387.01568603515625], [836.7792358398438, 379.815185546875], [903.9825439453125, 414.3776550292969], [811.041748046875, 399.97662353515625], [892.5435791015625, 433.0989990234375], [809.6118774414062, 421.5781555175781], [871.095703125, 435.97918701171875], [845.3583374023438, 435.97918701171875], [865.3762817382812, 477.7421875], [828.2000122070312, 480.62237548828125], [872.525634765625, 538.2265014648438], [845.3583374023438, 500.7838134765625], [858.9419860839844, 519.5051574707031]]","[[950.6430053710938, 510.8838195800781], [956.3886108398438, 533.8833618164062], [963.570556640625, 526.6959838867188], [939.15185546875, 536.7582397460938], [963.570556640625, 532.4458618164062], [934.8426513671875, 571.2575073242188], [983.6801147460938, 551.1329345703125], [908.987548828125, 601.4443359375], [1002.353271484375, 551.1329345703125], [908.987548828125, 601.4443359375], [999.48046875, 548.2579956054688], [969.316162109375, 643.1309204101562], [998.0440673828125, 634.506103515625], [967.8797607421875, 704.9420776367188], [985.1165161132812, 700.629638671875], [983.6801147460938, 765.3157348632812], [976.4981079101562, 765.3157348632812], [980.089111328125, 765.3157348632812]]"
8,2,00:48:30,87314,10,top,net shot,,,"[819, 463]","[[886.6470336914062, 398.5326843261719], [890.9506225585938, 392.7674255371094], [882.3434448242188, 394.2087097167969], [900.992431640625, 392.7674255371094], [880.9088745117188, 397.09136962890625], [916.7722778320312, 402.8566589355469], [879.4743041992188, 421.5937194824219], [945.4630126953125, 395.65008544921875], [875.1707153320312, 443.21343994140625], [972.7191772460938, 392.7674255371094], [866.5634765625, 470.5984191894531], [915.3377685546875, 464.83319091796875], [889.5160522460938, 467.7157897949219], [922.5104370117188, 508.0726013183594], [902.4268798828125, 500.86602783203125], [875.1707153320312, 531.1336059570312], [908.1650390625, 554.1946411132812], [891.6678771972656, 542.6641235351562]]","[[902.4119873046875, 567.448974609375], [902.4119873046875, 566.0112915039062], [905.2816162109375, 564.57373046875], [905.2816162109375, 567.448974609375], [926.8035888671875, 564.57373046875], [908.1511840820312, 597.63916015625], [944.0210571289062, 589.0133666992188], [893.80322265625, 639.3304443359375], [969.847412109375, 620.6412353515625], [865.1072387695312, 643.643310546875], [982.7606201171875, 652.2691040039062], [951.1951293945312, 676.7088623046875], [974.1517944335938, 668.0830688476562], [915.3251953125, 732.7763671875], [951.1951293945312, 704.0238037109375], [908.1511840820312, 800.344970703125], [968.4127197265625, 758.6536865234375], [938.2819519042969, 779.4993286132812]]"
8,3,00:48:31,87338,9,bottom,lob,,,"[999, 534]","[[964.7316284179688, 374.9855041503906], [969.0366821289062, 370.67718505859375], [960.426513671875, 370.67718505859375], [971.9067993164062, 373.5494384765625], [953.2514038085938, 372.1133117675781], [971.9067993164062, 389.34661865234375], [937.466064453125, 393.65496826171875], [971.9067993164062, 408.0160827636719], [915.940673828125, 418.0688171386719], [983.3870239257812, 432.4299621582031], [910.2005615234375, 452.5355224609375], [944.6412353515625, 438.1744079589844], [923.1158447265625, 439.61053466796875], [957.5564575195312, 468.3327331542969], [936.0310668945312, 485.5660400390625], [956.1214599609375, 509.9799499511719], [918.8107299804688, 537.2660522460938], [937.4660949707031, 523.6230010986328]]","[[958.7553100585938, 558.1806640625], [960.1814575195312, 558.1806640625], [982.99853515625, 572.5384521484375], [960.1814575195312, 568.2311401367188], [981.572509765625, 573.9743041992188], [954.4771118164062, 592.639404296875], [981.572509765625, 599.8182983398438], [935.9381103515625, 609.8687744140625], [935.9381103515625, 608.4329833984375], [898.8602905273438, 612.7403564453125], [898.8602905273438, 612.7403564453125], [957.3292846679688, 674.4788818359375], [984.4246826171875, 674.4788818359375], [931.6599731445312, 736.2173461914062], [975.8682250976562, 706.0660400390625], [955.9031982421875, 790.7770385742188], [984.4246826171875, 756.3182983398438], [970.1639404296875, 773.5476684570312]]"
8,4,00:48:32,87374,10,top,drive,,,"[697, 236]","[[792.8178100585938, 307.0227355957031], [798.57470703125, 302.7153625488281], [792.8178100585938, 302.7153625488281], [812.9668579101562, 305.5869445800781], [797.135498046875, 301.2795715332031], [818.7237548828125, 325.6881103515625], [795.6962280273438, 322.8165283203125], [807.2100219726562, 351.532470703125], [768.3510131835938, 309.89434814453125], [795.6962280273438, 332.8670959472656], [738.1273803710938, 294.1005859375], [823.0414428710938, 387.4273986816406], [802.892333984375, 384.55584716796875], [838.8728637695312, 434.8087463378906], [785.6216430664062, 413.27178955078125], [877.7318115234375, 467.8320617675781], [772.668701171875, 452.03826904296875], [825.2002563476562, 459.93516540527344]]","[[850.2035522460938, 597.4891967773438], [845.8944702148438, 591.747314453125], [848.7671508789062, 591.747314453125], [847.3308715820312, 590.3118896484375], [870.3130493164062, 590.3118896484375], [843.0216064453125, 619.02099609375], [890.4225463867188, 616.1500854492188], [830.0941772460938, 652.0364990234375], [910.5319213867188, 654.9074096679688], [794.1844482421875, 675.0037841796875], [924.8958740234375, 686.4874267578125], [870.3130493164062, 697.9710693359375], [904.786376953125, 687.9229125976562], [841.585205078125, 752.5184936523438], [924.8958740234375, 728.1156616210938], [825.7849731445312, 821.4202270507812], [952.187255859375, 785.533935546875], [888.9861145019531, 803.4770812988281]]"
8,5,00:48:33,87391,9,bottom,defensive shot,,,"[650, 570]","[[833.1849975585938, 326.8227233886719], [837.4807739257812, 322.5239562988281], [830.3212280273438, 322.5239562988281], [844.640380859375, 325.3898010253906], [827.4573974609375, 323.9568786621094], [857.527587890625, 341.15191650390625], [818.8659057617188, 344.0177917480469], [883.3020629882812, 354.0482177734375], [800.2510375976562, 365.5115966796875], [887.5977783203125, 381.27374267578125], [795.9552612304688, 395.6029357910156], [856.0956420898438, 394.1700439453125], [827.4573974609375, 392.7370910644531], [867.551025390625, 432.8589172363281], [801.6829223632812, 425.69427490234375], [877.5743408203125, 468.68194580078125], [801.6829223632812, 471.54779052734375], [839.6286315917969, 470.1148681640625]]","[[773.9554443359375, 620.996337890625], [775.3952026367188, 616.6939697265625], [778.2747192382812, 615.2598266601562], [781.1541137695312, 620.996337890625], [779.7144775390625, 622.4304809570312], [808.5089721679688, 648.2449340820312], [766.7568359375, 653.9815063476562], [838.7432861328125, 665.45458984375], [737.9622802734375, 664.0204467773438], [863.2186889648438, 692.7031860351562], [701.9690551757812, 674.0593872070312], [835.8638916015625, 721.3859252929688], [857.4597778320312, 711.3469848632812], [791.2322387695312, 771.5807495117188], [881.9351806640625, 764.4100341796875], [799.87060546875, 838.9851684570312], [929.4462280273438, 806.0], [864.6584167480469, 822.4925842285156]]"
8,6,00:48:33,87416,10,top,lob,,,"[739, 487]","[[778.2096557617188, 446.2245178222656], [782.5296630859375, 441.91387939453125], [776.7696533203125, 443.3507995605469], [792.6097412109375, 437.6032409667969], [778.2096557617188, 446.2245178222656], [819.969970703125, 439.04010009765625], [788.2897338867188, 463.4670715332031], [844.4501953125, 424.67132568359375], [772.4495239257812, 489.3309326171875], [864.6103515625, 414.6131591796875], [762.3694458007812, 518.0685424804688], [841.5701293945312, 474.962158203125], [812.7699584960938, 480.70965576171875], [871.8103637695312, 512.321044921875], [801.249755859375, 495.07843017578125], [893.4105834960938, 520.9423217773438], [792.6097412109375, 549.679931640625], [843.0101623535156, 535.3111267089844]]","[[776.3526611328125, 572.1605834960938], [767.734130859375, 602.3893432617188], [793.5897827148438, 595.1920166015625], [769.1705932617188, 605.268310546875], [793.5897827148438, 596.6314697265625], [780.6619873046875, 639.8154907226562], [807.9539794921875, 616.7840576171875], [773.4798583984375, 680.12060546875], [806.517578125, 647.0128173828125], [747.624267578125, 717.5467529296875], [815.1361694335938, 682.99951171875], [835.24609375, 701.7125854492188], [852.483154296875, 685.8784790039062], [810.826904296875, 766.4885864257812], [829.5004272460938, 736.259765625], [843.8646240234375, 821.1883544921875], [845.301025390625, 778.0043334960938], [844.5828247070312, 799.5963439941406]]"
8,7,00:48:35,87455,9,bottom,drop,,,"[1169, 663]","[[1008.2864379882812, 341.1395568847656], [1011.1422729492188, 336.826904296875], [1004.002685546875, 336.826904296875], [1015.4259643554688, 341.1395568847656], [996.863037109375, 339.7019958496094], [1022.5656127929688, 362.70269775390625], [981.156005859375, 356.9525146484375], [1029.7052001953125, 381.39080810546875], [951.169677734375, 372.7655334472656], [1032.56103515625, 410.1416931152344], [946.885986328125, 402.9539794921875], [1002.5747680664062, 414.454345703125], [969.7326049804688, 415.8918762207031], [1023.9935302734375, 457.5807189941406], [954.0255126953125, 460.45574951171875], [1035.4168701171875, 499.26947021484375], [929.7509155273438, 505.0196533203125], [982.5838928222656, 502.1445617675781]]","[[1110.243896484375, 774.1766357421875], [1110.243896484375, 766.974853515625], [1104.494384765625, 772.7362670898438], [1108.8065185546875, 768.415283203125], [1090.1207275390625, 777.057373046875], [1107.369140625, 795.7819213867188], [1077.1844482421875, 782.8187255859375], [1143.30322265625, 843.3135375976562], [1067.1229248046875, 779.9380493164062], [1189.2989501953125, 849.0750122070312], [1039.81298828125, 802.983642578125], [1087.2459716796875, 844.75390625], [1065.685546875, 844.75390625], [1087.2459716796875, 883.6434936523438], [1111.6812744140625, 869.2399291992188], [1034.0635986328125, 867.799560546875], [1147.6153564453125, 934.0558471679688], [1090.8394775390625, 900.9277038574219]]"
8,8,00:48:36,87484,10,top,net shot,,,"[735, 452]","[[799.7888793945312, 401.7381591796875], [804.0952758789062, 397.419677734375], [795.4823608398438, 398.8591613769531], [812.7081298828125, 397.419677734375], [792.6113891601562, 401.7381591796875], [829.9338989257812, 411.8145446777344], [794.0469360351562, 426.2093811035156], [851.466064453125, 393.1012268066406], [783.99853515625, 436.2857666015625], [865.8208618164062, 374.3879089355469], [773.9501953125, 449.24114990234375], [832.8048706054688, 483.7887878417969], [801.2243041992188, 486.66778564453125], [850.0306396484375, 512.5784912109375], [781.1275634765625, 529.852294921875], [852.901611328125, 538.4892578125], [768.208251953125, 585.9922485351562], [810.554931640625, 562.2407531738281]]","[[865.022216796875, 641.781982421875], [865.022216796875, 640.3473510742188], [870.7564086914062, 644.6513061523438], [866.4556884765625, 641.781982421875], [895.1266479492188, 636.0433959960938], [879.357666015625, 677.648193359375], [919.4970092773438, 658.9977416992188], [850.6866455078125, 716.3836669921875], [941.0001220703125, 679.0828247070312], [823.4492797851562, 739.3380126953125], [885.0918579101562, 699.1679077148438], [943.8672485351562, 739.3380126953125], [966.8040771484375, 722.1222534179688], [902.29443359375, 792.4200439453125], [929.53173828125, 772.3349609375], [938.133056640625, 851.2405395507812], [951.0350341796875, 825.4168701171875], [944.5840454101562, 838.3287048339844]]"
8,9,00:48:37,87511,9,bottom,lob,,,"[696, 480]","[[853.4274291992188, 391.0400390625], [859.1614379882812, 386.72869873046875], [850.5604858398438, 386.72869873046875], [867.7622680664062, 389.6029052734375], [849.1270141601562, 389.6029052734375], [880.6636962890625, 405.4112854003906], [837.6590576171875, 409.7226867675781], [899.2989501953125, 421.2196350097656], [817.5902709960938, 439.9022521972656], [915.0673217773438, 444.213623046875], [813.2898559570312, 477.2674865722656], [853.4274291992188, 460.02197265625], [829.0582275390625, 460.02197265625], [870.6292724609375, 498.8243103027344], [843.39306640625, 506.0099182128906], [834.7921142578125, 539.0637817382812], [841.9595336914062, 559.1834716796875], [838.3758239746094, 549.1236267089844]]","[[704.5469360351562, 590.98828125], [704.5469360351562, 588.1220703125], [711.6849365234375, 572.3580322265625], [708.8297729492188, 590.98828125], [728.8162841796875, 586.6890258789062], [721.67822265625, 613.9178466796875], [735.9542846679688, 602.4530639648438], [757.368408203125, 636.8473510742188], [758.7960205078125, 632.548095703125], [745.9475708007812, 674.1078491210938], [770.216796875, 648.3121337890625], [760.2236328125, 674.1078491210938], [775.92724609375, 666.9423828125], [730.243896484375, 740.0302124023438], [730.243896484375, 661.2099609375], [767.3616943359375, 745.7626342773438], [725.9610595703125, 714.2345581054688], [746.661376953125, 729.9985961914062]]"
8,10,00:48:38,87545,10,top,smash,,,"[1039, 176]","[[1057.0067138671875, 309.8393249511719], [1057.0067138671875, 305.5401306152344], [1058.4447021484375, 305.5401306152344], [1042.6268310546875, 289.7765197753906], [1057.0067138671875, 304.1070861816406], [1028.2469482421875, 292.64263916015625], [1049.8167724609375, 318.4376525878906], [1016.7431030273438, 266.8476257324219], [1039.7508544921875, 327.0359802246094], [1018.1810913085938, 266.8476257324219], [1051.2547607421875, 317.00457763671875], [995.1732788085938, 351.39794921875], [1016.7431030273438, 352.83099365234375], [977.91748046875, 394.3896179199219], [1041.1888427734375, 402.9879455566406], [982.2313842773438, 447.4127197265625], [1065.6346435546875, 438.8143615722656], [1023.9330139160156, 443.11354064941406]]","[[875.8919067382812, 598.3883666992188], [891.6998901367188, 594.0861206054688], [875.8919067382812, 595.5202026367188], [873.0177001953125, 592.652099609375], [894.5740966796875, 592.652099609375], [867.2693481445312, 617.0313110351562], [913.25634765625, 617.0313110351562], [839.9645385742188, 644.2786865234375], [933.3756713867188, 652.8831787109375], [808.3485717773438, 668.6578979492188], [953.494873046875, 687.3008422851562], [891.6998901367188, 687.3008422851562], [926.1901245117188, 685.8667602539062], [867.2693481445312, 737.493408203125], [926.1901245117188, 727.4548950195312], [870.1435546875, 806.3289184570312], [953.494873046875, 781.9496459960938], [911.8192138671875, 794.1392822265625]]"
