rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
33,1,00:50:02,90064,34,bottom,short service,,,"[933, 528]","[[1078.45703125, 390.12457275390625], [1082.724365234375, 387.248046875], [1075.612060546875, 385.8097839355469], [1089.836669921875, 390.12457275390625], [1071.3447265625, 387.248046875], [1099.7939453125, 410.2604064941406], [1061.387451171875, 405.9455871582031], [1112.59619140625, 431.83453369140625], [1042.8953857421875, 420.3283386230469], [1112.59619140625, 433.2728271484375], [1027.2484130859375, 443.34075927734375], [1094.1041259765625, 459.1617736816406], [1072.7672119140625, 460.60003662109375], [1088.414306640625, 490.8038024902344], [1078.45703125, 496.556884765625], [1086.9918212890625, 533.9520263671875], [1091.2591552734375, 509.5013732910156], [1089.12548828125, 521.7266998291016]]","[[939.5598754882812, 556.7537841796875], [913.8773193359375, 551.0014038085938], [938.133056640625, 549.5632934570312], [915.3041381835938, 553.8775634765625], [939.5598754882812, 551.0014038085938], [908.170166015625, 582.6394653320312], [956.6815795898438, 576.8870849609375], [896.7556762695312, 591.2680053710938], [990.9249267578125, 571.1347045898438], [903.8897094726562, 571.1347045898438], [988.0712890625, 571.1347045898438], [923.864990234375, 663.1726684570312], [955.2546997070312, 660.2965087890625], [919.5845336914062, 717.8202514648438], [946.6939086914062, 704.8773803710938], [922.4381713867188, 779.6582641601562], [940.9866943359375, 755.2106323242188], [931.7124328613281, 767.4344482421875]]"
33,2,00:50:02,90084,4,top,push/rush,,,"[967, 446]","[[993.630859375, 437.442138671875], [997.923095703125, 434.56011962890625], [990.7694091796875, 434.56011962890625], [1000.7845458984375, 438.8832092285156], [982.1849975585938, 437.442138671875], [1007.9382934570312, 459.0576171875], [973.6005859375, 460.4986572265625], [1009.3689575195312, 466.2627868652344], [973.6005859375, 487.87823486328125], [992.2001953125, 460.4986572265625], [983.6156616210938, 472.02691650390625], [1006.5075073242188, 508.05267333984375], [982.1849975585938, 510.93475341796875], [1030.830078125, 533.9912109375], [966.4468994140625, 533.9912109375], [1053.7218017578125, 557.0477294921875], [962.1546630859375, 582.9862670898438], [1007.938232421875, 570.0169982910156]]","[[924.6279907226562, 594.1819458007812], [896.0459594726562, 591.3018798828125], [921.769775390625, 589.8619384765625], [898.9041748046875, 597.06201171875], [921.769775390625, 591.3018798828125], [903.1914672851562, 628.7423095703125], [944.6354370117188, 611.4620971679688], [903.1914672851562, 676.2627563476562], [963.2137451171875, 591.3018798828125], [904.62060546875, 716.5831298828125], [963.2137451171875, 585.5418701171875], [953.2099609375, 689.222900390625], [980.3629150390625, 680.582763671875], [927.4862060546875, 741.0633544921875], [960.3555297851562, 718.0231323242188], [930.3444213867188, 813.0640869140625], [968.9300537109375, 766.983642578125], [949.6372375488281, 790.0238647460938]]"
33,3,00:50:03,90111,34,bottom,smash,,,"[679, 508]","[[914.396484375, 401.3003234863281], [917.2501220703125, 398.4266662597656], [910.1160888671875, 398.4266662597656], [925.81103515625, 399.8634948730469], [905.8356323242188, 399.8634948730469], [940.0791625976562, 419.9790954589844], [897.2747192382812, 419.9790954589844], [954.3472900390625, 440.0947265625], [885.8602294921875, 445.842041015625], [958.627685546875, 463.083984375], [881.5797729492188, 471.7049255371094], [934.3718872070312, 454.4629821777344], [907.262451171875, 455.8998107910156], [948.6400146484375, 494.6941833496094], [891.5675048828125, 486.0732116699219], [957.200927734375, 534.9254150390625], [901.55517578125, 526.304443359375], [929.3780517578125, 530.6149291992188]]","[[747.5626220703125, 697.7373657226562], [743.263671875, 687.6610107421875], [754.7274780273438, 660.3109130859375], [746.129638671875, 690.5399780273438], [757.593505859375, 668.94775390625], [761.8924560546875, 703.4953002929688], [776.2222900390625, 655.9924926757812], [771.92333984375, 611.3685913085938], [771.92333984375, 612.8080444335938], [743.263671875, 837.366943359375], [747.5626220703125, 571.0631713867188], [799.1500854492188, 748.119140625], [829.2427368164062, 735.163818359375], [769.0574340820312, 795.6219482421875], [873.6652221679688, 782.6666259765625], [743.263671875, 837.366943359375], [900.8919677734375, 844.5643310546875], [822.0778198242188, 840.9656372070312]]"
33,4,00:50:04,90123,4,top,defensive shot,,,"[748, 394]","[[859.56201171875, 405.22308349609375], [866.7506713867188, 402.3553466796875], [859.56201171875, 400.92144775390625], [878.25244140625, 406.6570129394531], [859.56201171875, 405.22308349609375], [894.0673828125, 426.7313537597656], [850.935791015625, 426.7313537597656], [921.384033203125, 436.7685241699219], [819.305908203125, 428.165283203125], [951.576171875, 449.6734924316406], [791.9892578125, 426.7313537597656], [901.2559814453125, 465.4462585449219], [869.6260986328125, 466.880126953125], [932.8858032226562, 496.99169921875], [845.1848754882812, 474.049560546875], [970.2664794921875, 504.1611328125], [835.120849609375, 511.33050537109375], [902.6936645507812, 507.7458190917969]]","[[738.9844360351562, 695.828369140625], [736.107666015625, 694.3881225585938], [738.9844360351562, 690.0675048828125], [713.093505859375, 698.708740234375], [738.9844360351562, 692.9478759765625], [711.6551513671875, 736.1544189453125], [761.99853515625, 711.6707153320312], [704.4632568359375, 773.5999755859375], [799.3966064453125, 743.3554077148438], [715.9702758789062, 811.0455932617188], [819.533935546875, 772.1597290039062], [741.8612060546875, 796.6434326171875], [785.0127563476562, 786.5618896484375], [707.3400268554688, 847.0509643554688], [826.7258911132812, 819.6868286132812], [677.1339111328125, 911.8606567382812], [854.0551147460938, 883.056396484375], [765.5945129394531, 897.4585266113281]]"
33,5,00:50:04,90149,34,bottom,net shot,,,"[830, 473]","[[917.9559326171875, 390.291748046875], [920.8319091796875, 385.99066162109375], [913.6419067382812, 385.99066162109375], [925.14599609375, 387.42437744140625], [907.8899536132812, 387.42437744140625], [932.3359985351562, 401.7612609863281], [897.8239135742188, 406.0622863769531], [949.592041015625, 420.3992004394531], [884.8818969726562, 426.13397216796875], [962.5339965820312, 443.33819580078125], [879.1298828125, 449.0729675292969], [922.2698974609375, 431.8686828613281], [896.3859252929688, 431.8686828613281], [949.592041015625, 467.7109069824219], [877.69189453125, 466.2772216796875], [961.0960083007812, 502.1194152832031], [869.0639038085938, 506.42047119140625], [915.0799560546875, 504.2699432373047]]","[[795.1723022460938, 605.6156005859375], [796.6015014648438, 602.734130859375], [825.1861572265625, 607.0562744140625], [798.0307006835938, 609.937744140625], [820.8984985351562, 612.8192138671875], [792.3138427734375, 635.8706665039062], [823.7570190429688, 630.1077880859375], [778.0214233398438, 654.5999755859375], [826.615478515625, 611.3784790039062], [756.5828857421875, 670.4478759765625], [813.7522583007812, 595.5305786132812], [812.3230590820312, 715.110107421875], [839.4785766601562, 710.7879638671875], [790.884521484375, 772.7388305664062], [816.6107788085938, 733.8394165039062], [805.1769409179688, 827.4860229492188], [815.1815795898438, 771.2980346679688], [810.1792602539062, 799.3920288085938]]"
33,6,00:50:05,90174,4,top,push/rush,,,"[723, 542]","[[785.6062622070312, 455.0310363769531], [788.4533081054688, 450.7313232421875], [781.3357543945312, 452.16455078125], [799.8414306640625, 449.2980651855469], [781.3357543945312, 456.46429443359375], [814.0765991210938, 462.197265625], [787.0298461914062, 476.5296936035156], [831.1588134765625, 460.7640380859375], [779.9121704101562, 496.5951232910156], [851.0880737304688, 456.46429443359375], [771.37109375, 513.7940063476562], [818.3471069335938, 500.89483642578125], [799.8414306640625, 510.9275817871094], [834.005859375, 526.6932373046875], [782.7592163085938, 518.0938110351562], [842.546875, 533.8594360351562], [784.1828002929688, 565.3908081054688], [813.3648376464844, 549.6251220703125]]","[[824.0275268554688, 594.6891479492188], [824.0275268554688, 591.8189086914062], [825.4579467773438, 591.8189086914062], [826.888427734375, 594.6891479492188], [851.2061767578125, 590.3837890625], [836.901611328125, 623.391845703125], [871.2327270507812, 613.345947265625], [836.901611328125, 673.6215209960938], [894.1200561523438, 728.1565551757812], [829.749267578125, 715.2404174804688], [902.702880859375, 762.5997924804688], [889.8286743164062, 682.2322998046875], [914.1465454101562, 672.1864013671875], [871.2327270507812, 742.5079345703125], [886.9677124023438, 718.1106567382812], [891.2592163085938, 805.65380859375], [902.702880859375, 768.34033203125], [896.9810485839844, 786.9970703125]]"
33,7,00:50:06,90204,34,bottom,smash,,,"[741, 433]","[[889.25732421875, 402.44158935546875], [892.1326904296875, 398.1249084472656], [884.9443359375, 398.1249084472656], [899.321044921875, 401.0027160644531], [880.6312866210938, 402.44158935546875], [909.384765625, 413.9527893066406], [873.4429321289062, 416.8305969238281], [933.8252563476562, 428.3417663574219], [863.3792114257812, 434.09735107421875], [948.2019653320312, 445.6085510253906], [856.1908569335938, 471.50872802734375], [906.5093994140625, 438.4140625], [882.0689697265625, 441.2918395996094], [938.1382446289062, 471.50872802734375], [870.5675659179688, 477.2643127441406], [955.390380859375, 508.9200744628906], [856.1908569335938, 511.7978515625], [905.7906188964844, 510.3589630126953]]","[[674.2555541992188, 614.9633178710938], [668.4987182617188, 619.2871704101562], [671.3771362304688, 617.8458862304688], [669.9379272460938, 646.6712036132812], [680.0123901367188, 632.258544921875], [685.7692260742188, 650.9949951171875], [700.1613159179688, 629.3759765625], [705.9181518554688, 578.9317016601562], [704.4789428710938, 576.0491943359375], [703.0397338867188, 534.2525634765625], [703.0397338867188, 534.2525634765625], [727.5062866210938, 715.8518676757812], [753.4120483398438, 698.5567626953125], [714.5534057617188, 776.385009765625], [779.3178100585938, 763.4136962890625], [677.1339721679688, 818.1817626953125], [795.1491088867188, 821.0641479492188], [736.1415405273438, 819.6229553222656]]"
33,8,00:50:08,90249,4,top,defensive shot,,,"[1146, 529]","[[1128.46044921875, 383.2530212402344], [1132.7431640625, 380.3843078613281], [1125.60546875, 378.9499816894531], [1135.5982666015625, 383.2530212402344], [1117.0401611328125, 380.3843078613281], [1122.750244140625, 403.333740234375], [1109.90234375, 400.465087890625], [1118.4676513671875, 432.0205383300781], [1097.0543212890625, 427.7174987792969], [1127.032958984375, 453.53564453125], [1108.4747314453125, 452.1012878417969], [1079.9237060546875, 446.3639221191406], [1087.0614013671875, 449.2326354980469], [1088.489013671875, 486.5254211425781], [1115.612548828125, 480.7880554199219], [1057.082763671875, 515.2122192382812], [1132.7431640625, 529.5556030273438], [1094.9129638671875, 522.3839111328125]]","[[1039.771240234375, 577.1924438476562], [1042.6405029296875, 570.0086059570312], [1049.8134765625, 568.5718383789062], [1023.9906616210938, 568.5718383789062], [1048.3787841796875, 570.0086059570312], [1013.9486083984375, 594.4335327148438], [1061.2901611328125, 597.3070678710938], [968.0416259765625, 592.9967651367188], [1075.6361083984375, 624.60546875], [949.391845703125, 572.8821411132812], [1091.4166259765625, 641.8466186523438], [1036.902099609375, 674.8920288085938], [1068.463134765625, 669.14501953125], [1019.6869506835938, 735.2359008789062], [1079.9398193359375, 674.8920288085938], [1048.3787841796875, 776.9019775390625], [1082.80908203125, 687.8228759765625], [1065.5939331054688, 732.3624267578125]]"
33,9,00:50:08,90253,34,bottom,lob,,,"[1117, 510]","[[1109.3099365234375, 381.1539611816406], [1113.62109375, 378.291259765625], [1104.9989013671875, 375.42852783203125], [1116.4951171875, 381.1539611816406], [1099.250732421875, 378.291259765625], [1109.3099365234375, 402.6242980957031], [1086.3173828125, 398.3302307128906], [1107.8729248046875, 429.8200378417969], [1067.635986328125, 425.5260009765625], [1116.4951171875, 452.72174072265625], [1069.072998046875, 454.1531066894531], [1076.2581787109375, 448.4277038574219], [1059.0137939453125, 442.7022705078125], [1076.2581787109375, 478.4861755371094], [1083.443359375, 479.91748046875], [1054.70263671875, 514.2700805664062], [1086.3173828125, 527.1522216796875], [1070.510009765625, 520.7111511230469]]","[[1076.3453369140625, 589.8583984375], [1076.3453369140625, 585.5468139648438], [1079.2139892578125, 589.8583984375], [1076.3453369140625, 588.4212036132812], [1099.294677734375, 591.2955932617188], [1063.4364013671875, 607.1046752929688], [1106.4664306640625, 617.1651000976562], [1020.4064331054688, 611.4163208007812], [1112.2037353515625, 670.3412475585938], [993.154052734375, 620.0394287109375], [1116.5067138671875, 709.1455078125], [1069.1737060546875, 681.8388061523438], [1097.8603515625, 680.401611328125], [1050.52734375, 737.8893432617188], [1110.7694091796875, 670.3412475585938], [1056.2647705078125, 760.884521484375], [1116.5067138671875, 712.0198364257812], [1086.3857421875, 736.4521789550781]]"
33,10,00:50:10,90302,4,top,clear,,,"[763, 284]","[[858.9177856445312, 333.7111511230469], [863.184814453125, 330.85107421875], [857.4954833984375, 330.85107421875], [871.7189331054688, 327.99102783203125], [856.0730590820312, 326.5610046386719], [878.8307495117188, 336.5711975097656], [847.5390014648438, 336.5711975097656], [881.6754150390625, 365.1717224121094], [837.5825805664062, 348.01141357421875], [870.296630859375, 365.1717224121094], [820.5143432617188, 342.2912902832031], [871.7189331054688, 396.63232421875], [854.6506958007812, 395.2023010253906], [871.7189331054688, 439.53314208984375], [829.0484619140625, 429.5229187011719], [907.2777709960938, 469.5636901855469], [834.73779296875, 450.97332763671875], [871.0077819824219, 460.2685089111328]]","[[887.5979614257812, 591.3648681640625], [887.5979614257812, 587.0413208007812], [889.0255737304688, 587.0413208007812], [889.0255737304688, 588.4824829101562], [911.8674926757812, 587.0413208007812], [880.4598999023438, 615.865234375], [934.7092895507812, 615.865234375], [860.4733276367188, 661.983642578125], [956.1234741210938, 657.6600341796875], [856.1904907226562, 692.248779296875], [958.9786987304688, 686.4839477539062], [899.0188598632812, 690.8076171875], [936.1369018554688, 690.8076171875], [866.1837768554688, 738.3671264648438], [944.7025756835938, 729.719970703125], [877.6046752929688, 804.6622924804688], [961.8339233398438, 784.4855346679688], [919.7192993164062, 794.5739135742188]]"
