rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
25,2,00:49:04,88337,28,top,push/rush,,,"[885, 349]","[[873.657958984375, 363.1414794921875], [877.949462890625, 358.82989501953125], [870.7969360351562, 360.26708984375], [883.6715698242188, 361.70428466796875], [865.0748901367188, 363.1414794921875], [893.6852416992188, 384.699462890625], [860.7833251953125, 387.5738830566406], [893.6852416992188, 412.0062561035156], [860.7833251953125, 416.3179016113281], [875.0884399414062, 396.19708251953125], [872.2274169921875, 400.5086975097656], [886.5325927734375, 437.8758850097656], [860.7833251953125, 439.3130798339844], [902.268310546875, 463.7454833984375], [837.8950805664062, 466.619873046875], [906.5598754882812, 508.2986755371094], [819.29833984375, 486.7406921386719], [862.9291076660156, 497.5196838378906]]","[[982.8008422851562, 532.2536010742188], [985.679443359375, 527.9494018554688], [977.0435791015625, 527.9494018554688], [965.529052734375, 530.8189086914062], [991.436767578125, 530.8189086914062], [958.3324584960938, 560.9485473632812], [1011.5870971679688, 560.9485473632812], [948.25732421875, 608.2951049804688], [1031.737548828125, 611.1646118164062], [932.4248046875, 636.989990234375], [1034.6162109375, 611.1646118164062], [987.1188354492188, 651.3374633789062], [1023.1016235351562, 648.4679565429688], [965.529052734375, 710.1619873046875], [1015.9050903320312, 690.0755615234375], [956.8931274414062, 777.5950317382812], [1033.1768798828125, 744.5958862304688], [995.0350036621094, 761.095458984375]]"
25,3,00:49:05,88369,27,bottom,drive,,,"[1222, 326]","[[974.4278564453125, 330.38043212890625], [977.2816772460938, 327.5189208984375], [970.1470336914062, 327.5189208984375], [981.5625, 327.5189208984375], [963.0123901367188, 327.5189208984375], [987.2702026367188, 341.82647705078125], [953.0238647460938, 341.82647705078125], [994.4048461914062, 354.7032775878906], [927.339111328125, 348.9802551269531], [1000.112548828125, 379.026123046875], [928.76611328125, 374.73388671875], [975.854736328125, 379.026123046875], [950.1700439453125, 377.5953674316406], [988.6971435546875, 417.656494140625], [940.1815185546875, 411.93353271484375], [998.685546875, 460.5791931152344], [920.2045288085938, 454.8561706542969], [959.4450378417969, 457.7176818847656]]","[[1154.3621826171875, 625.4618530273438], [1148.63330078125, 615.3770751953125], [1150.0655517578125, 619.6990966796875], [1118.5567626953125, 631.2245483398438], [1148.63330078125, 628.3432006835938], [1115.6923828125, 655.7161865234375], [1162.9554443359375, 657.1569213867188], [1141.4722900390625, 652.8348388671875], [1217.3795166015625, 636.9873046875], [1062.700439453125, 808.4288940429688], [1253.1849365234375, 608.173583984375], [1109.9635009765625, 742.1572875976562], [1148.63330078125, 752.2421264648438], [1107.09912109375, 772.4116821289062], [1188.7353515625, 815.6322631835938], [1059.8360595703125, 809.8695678710938], [1211.650634765625, 880.4630126953125], [1135.7433471679688, 845.1662902832031]]"
25,4,00:49:06,88386,28,top,defensive shot,,,"[943, 253]","[[1106.1246337890625, 344.8237609863281], [1107.5584716796875, 340.5281982421875], [1103.2569580078125, 340.5281982421875], [1110.4261474609375, 341.9600524902344], [1093.2203369140625, 340.5281982421875], [1103.2569580078125, 359.1422424316406], [1080.3157958984375, 354.8467102050781], [1126.197998046875, 373.46075439453125], [1057.374755859375, 356.278564453125], [1153.440673828125, 384.9155578613281], [1065.9776611328125, 373.46075439453125], [1078.882080078125, 392.0748291015625], [1054.507080078125, 389.2110900878906], [1103.2569580078125, 410.6888732910156], [1027.2645263671875, 425.00738525390625], [1113.293701171875, 450.7807312011719], [988.5514526367188, 452.21258544921875], [1050.9225769042969, 451.4966583251953]]","[[1105.095947265625, 593.1149291992188], [1112.284423828125, 587.3617553710938], [1099.34521484375, 587.3617553710938], [1090.7191162109375, 590.2383422851562], [1118.03515625, 591.6766357421875], [1074.904541015625, 624.7575073242188], [1135.287353515625, 624.7575073242188], [1043.2755126953125, 652.085205078125], [1162.603271484375, 675.0980224609375], [1069.15380859375, 611.8128051757812], [1169.791748046875, 705.3023071289062], [1086.4061279296875, 722.5619506835938], [1129.53662109375, 722.5619506835938], [1072.0291748046875, 785.8471069335938], [1152.5394287109375, 774.3407592773438], [1077.7799072265625, 844.8174438476562], [1143.9134521484375, 833.31103515625], [1110.8466796875, 839.0642395019531]]"
25,5,00:49:07,88420,27,bottom,net shot,,,"[649, 301]","[[924.3267822265625, 321.40057373046875], [927.2018432617188, 317.11114501953125], [921.451904296875, 318.54095458984375], [935.8267211914062, 317.11114501953125], [918.576904296875, 318.54095458984375], [950.2015991210938, 332.8390808105469], [921.451904296875, 334.2688903808594], [973.2014770507812, 351.4266357421875], [914.264404296875, 354.2862548828125], [984.7012939453125, 374.3036193847656], [904.2020263671875, 375.7334289550781], [964.5765380859375, 372.87384033203125], [944.45166015625, 371.4440002441406], [951.63916015625, 408.6191101074219], [928.6392822265625, 402.8998718261719], [953.0765991210938, 451.51348876953125], [934.3892822265625, 441.50482177734375], [943.7329406738281, 446.5091552734375]]","[[776.72119140625, 549.3955688476562], [779.5834350585938, 546.5263061523438], [776.72119140625, 546.5263061523438], [785.307861328125, 547.9609375], [802.4812622070312, 545.0916748046875], [795.32568359375, 572.3495483398438], [806.7745361328125, 560.87255859375], [835.3969116210938, 589.5650024414062], [809.6368408203125, 628.2997436523438], [869.74365234375, 606.7804565429688], [759.5478515625, 563.7417602539062], [835.3969116210938, 638.3421020507812], [855.4324340820312, 626.8651123046875], [842.5524291992188, 698.59619140625], [808.2056884765625, 635.4728393554688], [892.6414184570312, 721.5501098632812], [798.1878662109375, 677.076904296875], [845.4146423339844, 699.3135070800781]]"
25,6,00:49:08,88449,28,top,net shot,,,"[862, 362]","[[730.564697265625, 383.18035888671875], [734.8385620117188, 378.8782653808594], [729.1400146484375, 378.8782653808594], [746.2357177734375, 380.312255859375], [727.7153930664062, 380.312255859375], [751.9342651367188, 403.2568664550781], [740.5371704101562, 403.2568664550781], [737.6878051757812, 427.6354675292969], [733.4139404296875, 431.93756103515625], [717.7428588867188, 439.1077575683594], [717.7428588867188, 440.5417785644531], [759.0575561523438, 463.4863586425781], [753.3589477539062, 464.92041015625], [722.0167846679688, 487.8649597167969], [734.8385620117188, 505.07342529296875], [713.4689331054688, 535.1881713867188], [771.8793334960938, 512.2435913085938], [742.6741333007812, 523.7158813476562]]","[[824.485107421875, 508.6385803222656], [801.6248168945312, 510.0758361816406], [820.1987915039062, 505.76409912109375], [805.9110717773438, 511.5130310058594], [827.3427124023438, 507.20135498046875], [811.626220703125, 538.8206176757812], [850.2030639648438, 531.6343994140625], [805.9110717773438, 577.6259765625], [877.3496704101562, 563.253662109375], [774.4780883789062, 600.621826171875], [885.9223022460938, 581.937744140625], [864.4906616210938, 614.9942016601562], [888.77978515625, 606.3707885742188], [844.4879150390625, 675.358154296875], [867.3482666015625, 656.674072265625], [863.0619506835938, 732.8477172851562], [875.9208984375, 709.8518676757812], [869.4914245605469, 721.3497924804688]]"
25,7,00:49:09,88476,27,bottom,lob,,,"[706, 202]","[[819.0023193359375, 342.49481201171875], [823.285888671875, 338.1728820800781], [816.1466674804688, 338.1728820800781], [828.9971923828125, 339.613525390625], [810.435302734375, 341.0541687011719], [843.275634765625, 361.22320556640625], [803.296142578125, 362.6638488769531], [863.265380859375, 375.629638671875], [794.7291259765625, 379.9515686035156], [866.1210327148438, 404.44256591796875], [791.8734741210938, 384.27349853515625], [848.9869384765625, 404.44256591796875], [826.1415405273438, 407.3238525390625], [837.5642700195312, 449.1025085449219], [811.8632202148438, 447.661865234375], [861.8375854492188, 486.55926513671875], [831.8529663085938, 479.3560791015625], [846.8452758789062, 482.9576721191406]]","[[979.0682373046875, 542.3632202148438], [977.6382446289062, 539.4900512695312], [976.208251953125, 539.4900512695312], [957.6187133789062, 546.673095703125], [970.4884033203125, 543.7998046875], [960.4785766601562, 565.348876953125], [997.6577758789062, 561.0390625], [987.6480712890625, 565.348876953125], [1000.5177612304688, 563.9122924804688], [999.0877685546875, 550.9828491210938], [1007.6676025390625, 550.9828491210938], [997.6577758789062, 612.7567138671875], [1027.6871337890625, 605.57373046875], [984.7880859375, 658.7279663085938], [1019.1072998046875, 629.9959716796875], [994.7979125976562, 711.8822631835938], [1019.1072998046875, 661.6011962890625], [1006.9526062011719, 686.7417297363281]]"
25,8,00:49:11,88537,28,top,smash,,,"[669, 589]","[[1009.6963500976562, 213.97560119628906], [974.20361328125, 215.41665649414062], [971.3641967773438, 215.41665649414062], [978.4627075195312, 213.97560119628906], [969.9444580078125, 216.85772705078125], [1004.017578125, 219.73983764648438], [981.3021850585938, 239.9146728515625], [1013.9554443359375, 201.0060577392578], [991.2400512695312, 261.5305480957031], [1032.4117431640625, 244.2378387451172], [1008.2766723632812, 262.97161865234375], [1018.2146606445312, 274.5000915527344], [999.7583618164062, 275.941162109375], [1022.4737548828125, 310.5265808105469], [994.07958984375, 316.29083251953125], [1012.5357666015625, 345.11199951171875], [984.1416015625, 353.75836181640625], [998.3386840820312, 349.4351806640625]]","[[967.7572021484375, 524.1387329101562], [972.0515747070312, 518.3839111328125], [960.5999145507812, 516.9452514648438], [954.8740844726562, 515.5065307617188], [979.2088623046875, 518.3839111328125], [939.1279296875, 545.71923828125], [994.9548950195312, 551.4740600585938], [893.3212890625, 562.983642578125], [1012.1324462890625, 600.389892578125], [886.1640625, 552.9127197265625], [1023.5841064453125, 630.6026000976562], [939.1279296875, 634.918701171875], [977.7774047851562, 639.2348022460938], [919.0875854492188, 689.58935546875], [987.797607421875, 705.4150390625], [906.2044067382812, 748.5760498046875], [987.797607421875, 771.5953369140625], [947.0010070800781, 760.085693359375]]"
25,9,00:49:11,88555,27,bottom,defensive shot,,,"[992, 133]","[[942.906982421875, 302.06146240234375], [947.2105712890625, 297.7426452636719], [940.037841796875, 297.7426452636719], [955.8178100585938, 297.7426452636719], [937.1688232421875, 299.1822814941406], [967.2940673828125, 310.6990966796875], [938.6033935546875, 315.0179138183594], [991.6812133789062, 322.2159729003906], [929.99609375, 330.85357666015625], [1001.7230224609375, 362.5248718261719], [925.6925048828125, 349.5684509277344], [987.3776245117188, 343.8100280761719], [965.8595581054688, 349.5684509277344], [993.1157836914062, 375.4813232421875], [951.5142211914062, 379.8001403808594], [1008.895751953125, 375.4813232421875], [950.0796508789062, 388.4377746582031], [979.4877014160156, 381.9595489501953]]","[[746.171630859375, 655.4840698242188], [747.6077270507812, 651.1802368164062], [746.171630859375, 651.1802368164062], [757.6600952148438, 654.0494384765625], [774.8927001953125, 648.31103515625], [774.8927001953125, 671.2645874023438], [792.1253051757812, 661.222412109375], [805.0498046875, 705.6948852539062], [764.84033203125, 679.8721313476562], [822.2824096679688, 735.8213500976562], [740.4274291992188, 688.479736328125], [846.6953125, 711.4332275390625], [869.6721801757812, 698.5219116210938], [779.2008666992188, 725.7791748046875], [925.67822265625, 748.7327270507812], [763.404296875, 784.59765625], [980.2481689453125, 770.2516479492188], [871.8262329101562, 777.4246520996094]]"
25,10,00:49:12,88583,28,top,drop,,,"[898, 204]","[[1011.5768432617188, 243.07965087890625], [1005.8223876953125, 240.20079040527344], [1005.8223876953125, 241.64022827148438], [994.3136596679688, 251.71624755859375], [1010.13818359375, 250.2768096923828], [995.7522583007812, 270.4289245605469], [1020.2083129882812, 266.1106262207031], [978.4891357421875, 290.5810241699219], [1046.10302734375, 253.1556854248047], [961.22607421875, 315.0514221191406], [1066.2432861328125, 237.32191467285156], [985.68212890625, 317.9302673339844], [1002.9453125, 323.6880187988281], [964.1033325195312, 361.1133117675781], [984.2435302734375, 371.1893615722656], [933.892822265625, 385.5837097167969], [968.4190063476562, 407.17529296875], [951.1559143066406, 396.37950134277344]]","[[918.5911865234375, 552.509033203125], [925.78125, 546.762939453125], [912.839111328125, 546.762939453125], [907.0870361328125, 548.199462890625], [934.4093017578125, 551.072509765625], [891.2688598632812, 584.1122436523438], [950.2275390625, 585.5487670898438], [852.4423217773438, 611.406005859375], [976.1118774414062, 632.9536743164062], [846.6903076171875, 589.8583374023438], [994.8060913085938, 665.9935302734375], [898.458984375, 665.9935302734375], [940.1614379882812, 667.4299926757812], [879.7647094726562, 729.2000732421875], [955.9796752929688, 719.1444091796875], [881.2026977539062, 783.7875366210938], [961.731689453125, 782.35107421875], [921.4671936035156, 783.0693054199219]]"
25,11,00:49:13,88617,27,bottom,net shot,,,"[715, 340]","[[936.30126953125, 327.07684326171875], [939.1336669921875, 322.75244140625], [932.0526733398438, 324.19390869140625], [949.0472412109375, 322.75244140625], [927.8040161132812, 325.6353759765625], [960.3768920898438, 341.4914855957031], [930.636474609375, 344.3744201660156], [983.0362548828125, 357.3475646972656], [940.5499267578125, 361.6719665527344], [987.284912109375, 390.5012512207031], [920.722900390625, 381.8524475097656], [967.4579467773438, 389.0597839355469], [944.798583984375, 389.0597839355469], [960.3768920898438, 420.7720031738281], [927.8040161132812, 423.6549072265625], [961.7931518554688, 472.6646423339844], [944.798583984375, 452.4841613769531], [953.2958679199219, 462.57440185546875]]","[[792.0084838867188, 614.1273193359375], [790.5797729492188, 611.2455444335938], [789.1510620117188, 612.6864624023438], [777.7213745117188, 575.2236328125], [794.8659057617188, 569.4601440429688], [786.2936401367188, 586.7506713867188], [829.1549072265625, 582.4280395507812], [794.8659057617188, 583.868896484375], [826.297607421875, 635.7405395507812], [836.2985229492188, 578.1053466796875], [820.5827026367188, 658.7945556640625], [846.2994384765625, 618.4500122070312], [870.5875854492188, 608.3638305664062], [854.8717041015625, 681.8485717773438], [854.8717041015625, 664.5580444335938], [873.4449462890625, 717.8705444335938], [873.4449462890625, 719.3114013671875], [873.4449462890625, 718.5909729003906]]"
