rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
12,1,00:43:15,77870,15,top,short service,,,"[856, 621]","[[1050.1920166015625, 335.45098876953125], [1054.494873046875, 331.1563720703125], [1047.3233642578125, 331.1563720703125], [1058.7977294921875, 331.1563720703125], [1043.0203857421875, 331.1563720703125], [1064.534912109375, 346.90338134765625], [1040.15185546875, 342.6087341308594], [1071.7064208984375, 374.102783203125], [1020.0717163085938, 354.0611267089844], [1071.7064208984375, 392.7128601074219], [1024.3746337890625, 346.90338134765625], [1065.96923828125, 389.8497619628906], [1051.626220703125, 389.8497619628906], [1058.7977294921875, 428.50152587890625], [1055.92919921875, 428.50152587890625], [1060.2320556640625, 467.1532897949219], [1070.2720947265625, 448.5431823730469], [1065.2520751953125, 457.8482360839844]]","[[905.5753784179688, 573.4705810546875], [904.1528930664062, 567.728515625], [905.5753784179688, 567.728515625], [906.9979858398438, 567.728515625], [929.7586059570312, 566.2930297851562], [905.5753784179688, 593.5676879882812], [946.8291015625, 589.2611083984375], [895.6176147460938, 622.27783203125], [966.74462890625, 603.6162719726562], [882.8147583007812, 648.116943359375], [882.8147583007812, 648.116943359375], [918.3782958984375, 661.0364990234375], [946.8291015625, 661.0364990234375], [915.533203125, 714.1502685546875], [946.8291015625, 718.4568481445312], [914.1106567382812, 762.95751953125], [941.1389770507812, 773.006103515625], [927.6248168945312, 767.9818115234375]]"
12,2,00:43:16,77896,16,bottom,lob,,,"[949, 411]","[[1006.6123046875, 363.05419921875], [1009.4660034179688, 358.7294006347656], [1002.3317260742188, 358.7294006347656], [1015.1734008789062, 361.61260986328125], [996.6243896484375, 360.1709899902344], [1016.600341796875, 378.9118347167969], [988.0632934570312, 378.9118347167969], [1032.295654296875, 393.327880859375], [968.0873413085938, 397.6526794433594], [1040.856689453125, 401.9775085449219], [978.0753173828125, 412.0686950683594], [1012.3197631835938, 429.3679504394531], [990.9169921875, 429.3679504394531], [1025.161376953125, 453.8752136230469], [986.636474609375, 462.5248107910156], [1043.71044921875, 474.0576477050781], [970.9410400390625, 497.123291015625], [1007.3257446289062, 485.59046936035156]]","[[995.7319946289062, 581.1210327148438], [972.9367065429688, 571.08154296875], [997.1566772460938, 575.3842163085938], [972.9367065429688, 575.3842163085938], [995.7319946289062, 576.8184204101562], [954.41552734375, 598.3316040039062], [997.1566772460938, 606.9368286132812], [935.8943481445312, 625.5816040039062], [1001.4307250976562, 641.35791015625], [924.4967651367188, 654.265869140625], [1017.1025390625, 670.0421752929688], [940.16845703125, 665.739501953125], [965.8131103515625, 667.1737670898438], [950.141357421875, 701.5948486328125], [984.3342895507812, 718.8053588867188], [944.442626953125, 750.3580322265625], [991.4578247070312, 780.4765014648438], [967.9502258300781, 765.4172668457031]]"
12,3,00:43:17,77930,15,top,drive,,,"[688, 349]","[[925.1065673828125, 362.8164367675781], [929.3821411132812, 359.9448547363281], [922.2562866210938, 358.509033203125], [936.508056640625, 359.9448547363281], [919.4058837890625, 358.509033203125], [940.7836303710938, 374.3028259277344], [909.4296875, 371.43121337890625], [946.4843139648438, 392.9681701660156], [893.7526245117188, 391.5323486328125], [943.6339721679688, 411.6335144042969], [888.0518798828125, 411.6335144042969], [929.3821411132812, 417.3767395019531], [910.8547973632812, 417.3767395019531], [945.0591430664062, 448.9642333984375], [909.4296875, 444.6568603515625], [945.0591430664062, 466.1938171386719], [892.327392578125, 480.5517883300781], [918.6932678222656, 473.372802734375]]","[[809.4983520507812, 534.360595703125], [786.4662475585938, 534.360595703125], [806.6193237304688, 532.9263916015625], [787.9057006835938, 537.2289428710938], [806.6193237304688, 532.9263916015625], [785.0266723632812, 561.6099243164062], [819.5748901367188, 551.5706787109375], [767.7525024414062, 581.6884155273438], [842.6070556640625, 561.6099243164062], [756.2365112304688, 596.0301513671875], [868.5182495117188, 571.649169921875], [806.6193237304688, 613.2402954101562], [833.969970703125, 607.5035400390625], [789.34521484375, 616.108642578125], [854.1231689453125, 649.0946655273438], [789.34521484375, 654.8313598632812], [871.3972778320312, 683.5149536132812], [830.3712463378906, 669.1731567382812]]"
12,4,00:43:18,77946,16,bottom,defensive shot,,,"[697, 109]","[[882.9629516601562, 321.6689758300781], [885.792724609375, 317.38031005859375], [882.9629516601562, 317.38031005859375], [894.2817993164062, 323.0985107421875], [884.3778076171875, 320.2394104003906], [901.3561401367188, 343.11236572265625], [888.622314453125, 341.68280029296875], [914.0899047851562, 367.4148864746094], [887.2075805664062, 361.6966552734375], [899.9412841796875, 381.7104797363281], [870.2291870117188, 364.5557556152344], [914.0899047851562, 387.4287109375], [901.3561401367188, 381.7104797363281], [918.3345336914062, 423.1676940917969], [885.792724609375, 400.29473876953125], [942.3871459960938, 448.8997802734375], [882.9629516601562, 428.88592529296875], [912.675048828125, 438.8928527832031]]","[[851.4005126953125, 531.4380493164062], [849.965576171875, 528.5725708007812], [874.3580932617188, 528.5725708007812], [851.4005126953125, 530.0053100585938], [871.4883422851562, 530.0053100585938], [839.921630859375, 555.794677734375], [880.0974731445312, 551.4964599609375], [822.7034301757812, 588.7477416992188], [907.359619140625, 572.9876098632812], [808.35498046875, 617.402587890625], [927.4474487304688, 588.7477416992188], [851.4005126953125, 611.6715698242188], [881.5322875976562, 611.6715698242188], [849.965576171875, 648.9228515625], [881.5322875976562, 650.3556518554688], [852.8353271484375, 694.7706298828125], [881.5322875976562, 697.6361083984375], [867.1838073730469, 696.203369140625]]"
12,5,00:43:18,77967,15,top,push/rush,,,"[754, 278]","[[809.8682861328125, 303.4403991699219], [814.1390991210938, 300.56951904296875], [808.4446411132812, 300.56951904296875], [819.8336181640625, 303.4403991699219], [805.597412109375, 303.4403991699219], [828.3753051757812, 320.6654968261719], [799.9029541015625, 320.6654968261719], [848.3059692382812, 339.3260803222656], [781.3959350585938, 327.8426513671875], [845.4586791992188, 336.4552001953125], [760.041748046875, 335.019775390625], [831.2225341796875, 360.85748291015625], [812.7155151367188, 362.29290771484375], [832.6461791992188, 395.3077697753906], [794.20849609375, 385.25970458984375], [865.3893432617188, 419.7099914550781], [791.3612670898438, 408.2265930175781], [828.3753051757812, 413.9682922363281]]","[[904.7470703125, 561.5621337890625], [909.0593872070312, 555.7951049804688], [913.3716430664062, 557.2368774414062], [888.935302734375, 557.2368774414062], [913.3716430664062, 557.2368774414062], [878.873291015625, 587.5135498046875], [921.9962768554688, 581.74658203125], [864.4989624023438, 623.55712890625], [944.9952392578125, 606.2562255859375], [852.9994506835938, 652.39208984375], [950.7449951171875, 623.55712890625], [896.1224975585938, 649.508544921875], [927.7459716796875, 645.183349609375], [878.873291015625, 695.6443481445312], [942.1203002929688, 689.8773803710938], [875.9984130859375, 748.9888916015625], [962.244384765625, 733.1297607421875], [919.1213989257812, 741.059326171875]]"
12,6,00:43:19,77985,16,bottom,defensive shot,,,"[950, 482]","[[888.3032836914062, 311.64276123046875], [891.1209716796875, 307.3408203125], [885.4857177734375, 308.7748107910156], [895.3474731445312, 308.7748107910156], [879.850341796875, 310.20880126953125], [903.8004760742188, 323.1146545410156], [874.2150268554688, 327.4165954589844], [916.4799194335938, 334.5865173339844], [864.353271484375, 350.3603210449219], [916.4799194335938, 348.92633056640625], [869.9885864257812, 371.87005615234375], [902.3916625976562, 361.8321838378906], [881.2592163085938, 363.26617431640625], [910.8446044921875, 389.0778503417969], [872.8062744140625, 389.0778503417969], [908.0269165039062, 417.7575378417969], [867.1708984375, 412.0216369628906], [887.5989074707031, 414.88958740234375]]","[[1032.2471923828125, 565.9247436523438], [1006.5772094726562, 558.7299194335938], [1032.2471923828125, 561.6078491210938], [1006.5772094726562, 561.6078491210938], [1029.3948974609375, 564.4857788085938], [1000.8728637695312, 580.314453125], [1030.821044921875, 593.2651977539062], [998.0206298828125, 561.6078491210938], [1049.3604736328125, 613.4107666015625], [990.8900756835938, 541.4622192382812], [1063.6214599609375, 622.0446166992188], [976.6290283203125, 646.507080078125], [993.7423095703125, 656.5798950195312], [1017.986083984375, 670.9696044921875], [1020.8383178710938, 699.7490234375], [989.4639892578125, 698.31005859375], [996.594482421875, 747.2349853515625], [993.0292358398438, 722.7725219726562]]"
12,7,00:43:20,78010,15,top,lob,,,"[1098, 391]","[[1103.026123046875, 412.3314514160156], [1103.026123046875, 408.0235595703125], [1100.1536865234375, 408.0235595703125], [1103.026123046875, 408.0235595703125], [1091.5364990234375, 408.0235595703125], [1077.1744384765625, 418.0752868652344], [1081.4830322265625, 432.43499755859375], [1085.791748046875, 442.4867248535156], [1085.791748046875, 442.4867248535156], [1091.5364990234375, 456.84637451171875], [1091.5364990234375, 455.4104309082031], [1057.0677490234375, 443.9226989746094], [1064.2486572265625, 445.35870361328125], [1068.5572509765625, 475.5139465332031], [1087.2279052734375, 464.0262451171875], [1036.9608154296875, 466.8981628417969], [1098.717529296875, 501.361328125], [1067.8391723632812, 484.12974548339844]]","[[1070.1077880859375, 559.5614624023438], [1061.56201171875, 553.8175659179688], [1062.9862060546875, 555.2535400390625], [1061.56201171875, 555.2535400390625], [1081.5023193359375, 558.1254272460938], [1047.31884765625, 581.100830078125], [1088.6239013671875, 585.4087524414062], [1024.5299072265625, 609.8201293945312], [1102.8670654296875, 616.9999389648438], [1007.4380493164062, 639.9754028320312], [1102.8670654296875, 638.5394287109375], [1048.7430419921875, 645.71923828125], [1078.6536865234375, 647.1552124023438], [1034.5, 687.3621826171875], [1084.3509521484375, 693.1060180664062], [1027.37841796875, 740.4928588867188], [1098.5941162109375, 739.0569458007812], [1062.9862670898438, 739.77490234375]]"
12,8,00:43:21,78045,16,bottom,drop,,,"[847, 283]","[[1016.720947265625, 351.98895263671875], [1021.0411987304688, 347.69366455078125], [1013.8407592773438, 347.69366455078125], [1026.8016357421875, 349.1253967285156], [1008.0804443359375, 349.1253967285156], [1032.5618896484375, 363.4431457519531], [999.4398803710938, 364.8749084472656], [1041.2025146484375, 380.6244201660156], [987.919189453125, 386.35150146484375], [1042.642578125, 394.942138671875], [985.0390014648438, 407.8280944824219], [1016.720947265625, 406.3962707519531], [999.4398803710938, 403.53277587890625], [1005.2002563476562, 439.3270568847656], [1010.9605712890625, 437.8952941894531], [987.919189453125, 455.0765686035156], [1019.6011352539062, 477.98492431640625], [1003.7601623535156, 466.53074645996094]]","[[876.1405029296875, 624.3860473632812], [881.9010620117188, 621.50830078125], [883.3412475585938, 651.724853515625], [881.9010620117188, 631.5804443359375], [879.0208129882812, 635.8971557617188], [883.3412475585938, 664.6748046875], [861.7389526367188, 650.2859497070312], [894.862548828125, 712.1578979492188], [866.0593872070312, 674.7469482421875], [877.5806274414062, 689.1358032226562], [884.7814331054688, 693.4524536132812], [854.5380859375, 713.5968017578125], [873.2601318359375, 715.0357055664062], [871.820068359375, 799.9297485351562], [887.6617431640625, 778.3464965820312], [889.1019287109375, 848.851806640625], [917.905029296875, 820.0741577148438], [903.5034790039062, 834.4629821777344]]"
12,9,00:43:22,78075,15,top,net shot,,,"[1216, 445]","[[1101.1912841796875, 375.150146484375], [1102.626220703125, 372.28759765625], [1099.75634765625, 372.28759765625], [1091.146728515625, 367.9938049316406], [1094.0166015625, 370.8563232421875], [1079.6671142578125, 372.28759765625], [1078.232177734375, 380.8752136230469], [1096.886474609375, 398.0504455566406], [1043.79345703125, 378.0126953125], [1111.2359619140625, 408.0693054199219], [1049.533203125, 410.93182373046875], [1043.79345703125, 400.9129638671875], [1035.183837890625, 399.4817199707031], [1071.057373046875, 415.22564697265625], [1016.5294799804688, 423.813232421875], [1072.492431640625, 452.4385681152344], [973.4811401367188, 440.98846435546875], [1022.9867858886719, 446.71351623535156]]","[[920.6809692382812, 665.5032958984375], [927.8074340820312, 661.181396484375], [933.5086059570312, 662.6220703125], [907.8534545898438, 659.7408447265625], [932.083251953125, 664.0626831054688], [889.3247680664062, 685.671875], [934.933837890625, 694.3156127929688], [863.6697387695312, 721.687255859375], [957.7383422851562, 724.5684814453125], [845.1410522460938, 751.940185546875], [957.7383422851562, 726.0090942382812], [875.072021484375, 762.0244750976562], [905.0029296875, 766.3462524414062], [896.4512329101562, 786.514892578125], [885.0489501953125, 821.089599609375], [892.1754150390625, 839.817626953125], [859.3938598632812, 874.3924560546875], [875.7846374511719, 857.1050415039062]]"
12,10,00:43:23,78104,16,bottom,lob,,,"[1221, 408]","[[1125.6480712890625, 336.0770263671875], [1125.6480712890625, 333.2149658203125], [1124.2283935546875, 331.783935546875], [1111.450927734375, 331.783935546875], [1119.96923828125, 331.783935546875], [1098.67333984375, 344.6632385253906], [1111.450927734375, 351.81842041015625], [1092.994384765625, 368.9908752441406], [1108.6114501953125, 377.5771179199219], [1085.8958740234375, 390.4564208984375], [1124.2283935546875, 389.025390625], [1095.8338623046875, 393.3185119628906], [1105.77197265625, 393.3185119628906], [1124.2283935546875, 426.23236083984375], [1094.4141845703125, 431.95648193359375], [1112.87060546875, 459.14617919921875], [1080.2169189453125, 469.1634216308594], [1096.5437622070312, 464.15480041503906]]","[[1154.501953125, 549.7958374023438], [1160.1539306640625, 542.606201171875], [1164.3929443359375, 542.606201171875], [1141.784912109375, 546.9199829101562], [1162.9798583984375, 549.7958374023438], [1131.8939208984375, 571.364501953125], [1160.1539306640625, 578.5540771484375], [1123.4158935546875, 602.9985961914062], [1157.327880859375, 617.3777465820312], [1157.327880859375, 628.8810424804688], [1168.6319580078125, 627.443115234375], [1126.241943359375, 636.0706176757812], [1146.02392578125, 640.3843383789062], [1136.1329345703125, 677.7701416015625], [1162.9798583984375, 683.5217895507812], [1119.1768798828125, 729.5350341796875], [1131.8939208984375, 719.4696044921875], [1125.535400390625, 724.5023193359375]]"
