rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
14,2,00:36:23,65512,7,bottom,smash,,,"[1080, 289]","[[1089.2825927734375, 329.0363464355469], [1090.6949462890625, 324.7242736816406], [1085.04541015625, 323.2868957519531], [1093.519775390625, 331.91107177734375], [1077.9833984375, 329.0363464355469], [1094.93212890625, 362.0956726074219], [1068.0965576171875, 343.40997314453125], [1082.2205810546875, 396.5923156738281], [1051.1478271484375, 320.4122009277344], [1066.6842041015625, 376.4692687988281], [1051.1478271484375, 321.84954833984375], [1077.9833984375, 413.8406677246094], [1053.97265625, 409.528564453125], [1079.3958740234375, 464.1483154296875], [1053.97265625, 456.96148681640625], [1093.519775390625, 505.831787109375], [1062.4471435546875, 507.2691345214844], [1077.9834594726562, 506.5504608154297]]","[[970.9669799804688, 629.74755859375], [960.917724609375, 628.3125], [989.6298828125, 628.3125], [963.7889404296875, 629.74755859375], [988.1943359375, 629.74755859375], [950.868408203125, 657.0136108398438], [1001.11474609375, 658.4486694335938], [929.3342895507812, 685.7147827148438], [1019.7777709960938, 702.9354248046875], [943.6904296875, 700.0653076171875], [1025.5201416015625, 731.6365356445312], [956.61083984375, 731.6365356445312], [995.372314453125, 731.6365356445312], [926.4630737304688, 778.9934692382812], [1018.3421020507812, 778.9934692382812], [902.0577392578125, 834.9606323242188], [1037.005126953125, 842.1359252929688], [969.5314331054688, 838.5482788085938]]"
14,3,00:36:24,65529,16,top,defensive shot,,,"[1177, 570]","[[1054.53466796875, 367.5348815917969], [1058.82470703125, 361.7952880859375], [1050.24462890625, 361.7952880859375], [1064.5447998046875, 364.66510009765625], [1044.524658203125, 366.0999755859375], [1073.1248779296875, 384.7535400390625], [1031.654541015625, 387.62335205078125], [1083.1348876953125, 416.3211669921875], [1018.7844848632812, 419.19091796875], [1083.1348876953125, 416.3211669921875], [1027.364501953125, 446.453857421875], [1064.5447998046875, 446.453857421875], [1037.3746337890625, 447.88873291015625], [1077.414794921875, 489.5005798339844], [1033.0845947265625, 493.8052673339844], [1075.98486328125, 529.6775512695312], [1034.5146484375, 544.0264282226562], [1055.249755859375, 536.8519897460938]]","[[1134.1221923828125, 680.264892578125], [1134.1221923828125, 675.951171875], [1134.1221923828125, 675.951171875], [1105.4678955078125, 675.951171875], [1126.9586181640625, 680.264892578125], [1082.54443359375, 690.3302612304688], [1124.0931396484375, 703.2714233398438], [1036.6976318359375, 713.3367309570312], [1152.7474365234375, 727.7158203125], [1033.832275390625, 716.2125854492188], [1165.641845703125, 732.029541015625], [1049.592041015625, 757.911865234375], [1082.54443359375, 765.1013793945312], [1023.8032836914062, 802.4869995117188], [1135.5548095703125, 783.794189453125], [972.2255249023438, 832.6829833984375], [1147.0166015625, 844.1862182617188], [1059.6210632324219, 838.4346008300781]]"
14,4,00:36:25,65565,7,bottom,clear,,,"[729, 230]","[[818.126953125, 371.6767578125], [822.427490234375, 368.8050537109375], [818.126953125, 367.36920166015625], [832.4619140625, 373.1126403808594], [819.5604858398438, 371.6767578125], [839.6293334960938, 394.6504821777344], [813.8265380859375, 390.3429260253906], [835.328857421875, 424.8034973144531], [779.4228515625, 391.7787780761719], [822.427490234375, 417.62420654296875], [752.1866455078125, 375.9843444824219], [833.8953247070312, 456.3924255371094], [813.8265380859375, 452.0848388671875], [826.7279052734375, 506.6474304199219], [782.2898559570312, 490.8529968261719], [874.0330810546875, 543.979736328125], [773.6889038085938, 531.0570678710938], [823.8609924316406, 537.5184020996094]]","[[898.4606323242188, 641.5438842773438], [897.0266723632812, 637.2337646484375], [899.8945922851562, 638.6704711914062], [898.4606323242188, 638.6704711914062], [922.8374633789062, 638.6704711914062], [889.8570556640625, 665.9677734375], [940.0446166992188, 665.9677734375], [879.819580078125, 709.06884765625], [962.987548828125, 706.1954345703125], [872.6498413085938, 726.3092651367188], [974.458984375, 733.4927368164062], [905.6302490234375, 739.2395629882812], [942.9124755859375, 737.8028564453125], [869.7820434570312, 792.3973999023438], [970.1571655273438, 782.340576171875], [846.8391723632812, 846.9921264648438], [997.40185546875, 839.8086547851562], [922.1205139160156, 843.400390625]]"
14,5,00:36:26,65599,16,top,smash,,,"[872, 465]","[[910.0057373046875, 389.215576171875], [914.30712890625, 384.89251708984375], [907.1381225585938, 384.89251708984375], [921.47607421875, 386.33355712890625], [902.8368530273438, 387.7745361328125], [934.380126953125, 403.62579345703125], [894.2340698242188, 409.3898620605469], [951.5856323242188, 425.2411193847656], [878.4623413085938, 438.2102966308594], [951.5856323242188, 439.6513366699219], [874.1610717773438, 462.7076416015625], [930.0787353515625, 455.5025634765625], [902.8368530273438, 455.5025634765625], [953.0193481445312, 501.615234375], [888.4989013671875, 505.9383239746094], [967.3572998046875, 552.051025390625], [884.197509765625, 557.8151245117188], [925.7774047851562, 554.9330749511719]]","[[797.8524169921875, 675.1591186523438], [793.5670166015625, 669.3967895507812], [793.5670166015625, 675.1591186523438], [774.9970703125, 696.7677001953125], [797.8524169921875, 686.6837158203125], [786.4247436523438, 718.3764038085938], [814.9938354492188, 692.4459838867188], [822.1361694335938, 657.8721923828125], [820.707763671875, 657.8721923828125], [820.707763671875, 640.5852661132812], [820.707763671875, 640.5852661132812], [810.70849609375, 770.2371215820312], [846.4199829101562, 768.7965087890625], [784.9962158203125, 836.5036010742188], [850.7053833007812, 832.181884765625], [764.9978637695312, 885.4832153320312], [847.848388671875, 898.4483642578125], [806.4231262207031, 891.9657897949219]]"
14,6,00:36:27,65618,7,bottom,defensive shot,,,"[1162, 519]","[[1062.5250244140625, 454.77325439453125], [1063.955810546875, 450.4732666015625], [1059.66357421875, 449.0399169921875], [1045.3558349609375, 447.6065979003906], [1048.2174072265625, 449.0399169921875], [1041.0634765625, 463.37322998046875], [1038.201904296875, 461.93988037109375], [1061.09423828125, 493.47308349609375], [1061.09423828125, 494.90643310546875], [1088.27880859375, 519.27294921875], [1088.27880859375, 519.27294921875], [995.2789916992188, 484.87310791015625], [983.8328247070312, 484.87310791015625], [1028.1865234375, 527.8729248046875], [1026.755859375, 526.4396362304688], [993.8482055664062, 573.7394409179688], [992.4174194335938, 576.6060791015625], [993.1328125, 575.1727600097656]]","[[895.15625, 665.750732421875], [865.1232299804688, 664.3103637695312], [895.15625, 661.4296264648438], [867.9835205078125, 665.750732421875], [893.72607421875, 665.750732421875], [859.4026489257812, 697.439208984375], [913.7481079101562, 695.9988403320312], [846.5313720703125, 739.2103271484375], [935.2001953125, 734.8892211914062], [867.9835205078125, 737.7699584960938], [935.2001953125, 769.4584350585938], [880.8547973632812, 770.8988647460938], [916.6083374023438, 766.57763671875], [867.9835205078125, 837.1564331054688], [916.6083374023438, 829.95458984375], [876.5643310546875, 897.652587890625], [918.0385131835938, 880.3679809570312], [897.3014221191406, 889.0102844238281]]"
14,7,00:36:28,65649,16,top,lob,,,"[1285, 603]","[[1082.062255859375, 398.2321472167969], [1086.3580322265625, 393.9072570800781], [1079.1983642578125, 393.9072570800781], [1089.2218017578125, 393.9072570800781], [1069.1749267578125, 393.9072570800781], [1086.3580322265625, 409.7651062011719], [1056.2877197265625, 414.0899963378906], [1082.062255859375, 431.3894958496094], [1030.5130615234375, 440.0392150878906], [1084.926025390625, 425.62298583984375], [1031.945068359375, 473.1965637207031], [1054.855712890625, 464.5468444824219], [1041.968505859375, 465.98846435546875], [1059.1514892578125, 513.5620727539062], [1053.423828125, 517.886962890625], [1039.1046142578125, 564.0189819335938], [1027.6492919921875, 569.7854614257812], [1033.376953125, 566.9022216796875]]","[[1197.6409912109375, 642.00341796875], [1197.6409912109375, 637.6783447265625], [1196.2022705078125, 637.6783447265625], [1173.181640625, 639.1200561523438], [1197.6409912109375, 643.4451293945312], [1158.7938232421875, 656.42041015625], [1199.079833984375, 670.8373413085938], [1124.262939453125, 670.8373413085938], [1206.2738037109375, 670.8373413085938], [1086.8544921875, 679.4874877929688], [1214.906494140625, 666.5122680664062], [1137.2120361328125, 727.0634765625], [1171.7427978515625, 734.27197265625], [1104.119873046875, 778.9645385742188], [1201.9573974609375, 728.5051879882812], [1071.02783203125, 803.4733276367188], [1204.8349609375, 774.6394653320312], [1137.931396484375, 789.056396484375]]"
14,8,00:36:29,65683,7,bottom,clear,,,"[1140, 206]","[[1164.739990234375, 351.5638122558594], [1169.0440673828125, 350.12628173828125], [1163.3052978515625, 345.8137512207031], [1169.0440673828125, 358.7513427734375], [1156.1318359375, 345.8137512207031], [1160.4359130859375, 384.6265563964844], [1138.91552734375, 358.7513427734375], [1154.697265625, 403.314208984375], [1141.784912109375, 337.1886901855469], [1124.5687255859375, 386.0640563964844], [1141.784912109375, 345.8137512207031], [1131.7421875, 424.8768615722656], [1105.917724609375, 411.9392395019531], [1154.697265625, 466.56463623046875], [1080.0933837890625, 452.1895446777344], [1189.1297607421875, 482.3773193359375], [1088.7015380859375, 502.50244140625], [1138.9156494140625, 492.43988037109375]]","[[1045.488525390625, 610.7379150390625], [1034.01171875, 607.863525390625], [1061.2689208984375, 607.863525390625], [1035.4464111328125, 610.7379150390625], [1059.83447265625, 610.7379150390625], [1021.1004638671875, 633.733154296875], [1071.3111572265625, 638.0447387695312], [996.71240234375, 669.6632080078125], [1085.6571044921875, 681.1608276367188], [999.5816040039062, 695.5327758789062], [1091.3953857421875, 712.7792358398438], [1019.6658935546875, 701.2816162109375], [1056.9652099609375, 701.2816162109375], [1001.0162353515625, 763.081298828125], [1079.918701171875, 758.7696533203125], [989.5394897460938, 820.5693359375], [1087.0916748046875, 817.6948852539062], [1038.3155822753906, 819.1321105957031]]"
14,9,00:36:30,65713,16,top,drop,,,"[665, 512]","[[1001.6644897460938, 374.3479309082031], [1005.9664916992188, 370.0372009277344], [998.796630859375, 370.0372009277344], [1011.7023315429688, 372.9110107421875], [994.4946899414062, 372.9110107421875], [1021.740234375, 394.4645080566406], [987.3248291015625, 394.4645080566406], [1043.249755859375, 423.2025146484375], [980.1549072265625, 417.4549255371094], [1028.91015625, 440.4453430175781], [977.2869262695312, 423.2025146484375], [1016.0042724609375, 446.1929016113281], [994.4946899414062, 450.5036315917969], [1007.4004516601562, 503.66888427734375], [984.4568481445312, 499.35821533203125], [1027.47607421875, 548.2128295898438], [1030.343994140625, 551.0866088867188], [1028.9100341796875, 549.6497192382812]]","[[765.7879638671875, 680.2066650390625], [758.6427612304688, 681.6421508789062], [762.9298095703125, 683.07763671875], [745.7814331054688, 711.7872314453125], [768.64599609375, 695.9969482421875], [781.50732421875, 685.9486083984375], [804.3718872070312, 707.4807739257812], [764.3589477539062, 651.4971313476562], [762.9298095703125, 650.0615844726562], [722.9168701171875, 619.9165649414062], [725.77490234375, 619.9165649414062], [780.0783081054688, 760.5934448242188], [815.8041381835938, 754.8515625], [752.9265747070312, 805.0933837890625], [835.8106689453125, 805.0933837890625], [848.6720581054688, 856.7705688476562], [848.6720581054688, 856.7705688476562], [848.6720581054688, 856.7705688476562]]"
14,10,00:36:31,65734,7,bottom,net shot,,,"[710, 397]","[[810.5352783203125, 410.2176818847656], [814.8406372070312, 405.9193115234375], [809.10009765625, 405.9193115234375], [824.8865966796875, 408.784912109375], [809.10009765625, 410.2176818847656], [844.9783325195312, 423.1128234863281], [809.10009765625, 431.7095642089844], [873.680908203125, 410.2176818847656], [796.1840209960938, 451.7686462402344], [869.3754272460938, 414.5160827636719], [776.0921630859375, 454.63427734375], [844.9783325195312, 476.1261901855469], [819.1460571289062, 477.5589599609375], [870.8106079101562, 511.9460144042969], [804.7947998046875, 530.5723266601562], [898.0780639648438, 556.362548828125], [761.740966796875, 577.8544921875], [829.9095153808594, 567.1085205078125]]","[[792.779296875, 671.4053955078125], [794.2050170898438, 669.9688110351562], [798.4822998046875, 667.095703125], [795.6307373046875, 672.8419189453125], [822.7200927734375, 671.4053955078125], [787.0762329101562, 704.4462890625], [839.8291625976562, 701.5731201171875], [769.9672241210938, 743.2333374023438], [865.4927368164062, 740.3602294921875], [782.7990112304688, 766.2183227539062], [856.9381713867188, 771.9645385742188], [801.3338012695312, 773.4010620117188], [836.9776611328125, 771.9645385742188], [772.8187866210938, 832.2999877929688], [849.8094482421875, 832.2999877929688], [758.5611572265625, 886.8892822265625], [841.2548828125, 888.3258666992188], [799.9080200195312, 887.6075744628906]]"
14,11,00:36:32,65763,16,top,lob,,,"[646, 688]","[[875.8330078125, 391.2198486328125], [878.6976928710938, 386.9084167480469], [871.535888671875, 386.9084167480469], [887.2918701171875, 388.3455505371094], [867.2388305664062, 389.78271484375], [897.318359375, 404.1540222167969], [858.6445922851562, 408.4654541015625], [911.64208984375, 425.7110290527344], [841.4562377929688, 441.51953125], [923.1009521484375, 440.08233642578125], [840.02392578125, 473.13641357421875], [884.4271240234375, 461.6393737792969], [861.50927734375, 461.6393737792969], [901.6155395507812, 507.62762451171875], [868.6712036132812, 506.19049072265625], [898.750732421875, 559.3644409179688], [864.3740234375, 570.8615112304688], [881.5623779296875, 565.1129760742188]]","[[700.6976928710938, 671.2738037109375], [700.6976928710938, 665.52490234375], [700.6976928710938, 665.52490234375], [702.1297607421875, 668.3993530273438], [729.3386840820312, 664.0877075195312], [717.88232421875, 689.9574584960938], [733.6348266601562, 684.2086181640625], [742.2271118164062, 723.0132446289062], [742.2271118164062, 738.8225708007812], [700.6976928710938, 698.5806884765625], [726.4745483398438, 777.6271362304688], [762.2758178710938, 747.44580078125], [782.324462890625, 731.6365356445312], [775.1642456054688, 799.185302734375], [776.5962524414062, 796.3108520507812], [813.8295288085938, 819.3062133789062], [723.6104736328125, 784.8131713867188], [768.7200012207031, 802.0596923828125]]"
