rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
1,1,00:43:15,77871,16,bottom,short service,,,"[1162, 615]","[[885.0543823242188, 332.2815856933594], [887.9185180664062, 327.97528076171875], [882.1903076171875, 327.97528076171875], [892.214599609375, 330.8461608886719], [876.462158203125, 330.8461608886719], [900.8067626953125, 346.6358947753906], [873.5980834960938, 342.3296203613281], [907.9669799804688, 371.0382385253906], [860.7098388671875, 359.5547790527344], [895.07861328125, 366.73193359375], [862.141845703125, 369.602783203125], [897.9427490234375, 386.8279724121094], [883.6223754882812, 385.392578125], [895.07861328125, 425.5846252441406], [885.0543823242188, 425.5846252441406], [895.07861328125, 461.47039794921875], [892.214599609375, 445.6806640625], [893.6466064453125, 453.5755310058594]]","[[983.3150024414062, 579.7420654296875], [974.7261962890625, 576.875], [976.1575927734375, 575.4415283203125], [973.2947387695312, 579.7420654296875], [996.1981811523438, 579.7420654296875], [969.0003051757812, 612.7131958007812], [1007.6499633789062, 606.9790649414062], [938.939453125, 621.3143310546875], [1014.8072509765625, 631.3489990234375], [934.6451416015625, 619.8807983398438], [999.0611572265625, 638.5166625976562], [974.7261962890625, 678.6553955078125], [999.0611572265625, 674.3547973632812], [983.3150024414062, 727.395263671875], [997.629638671875, 715.9270629882812], [993.3353271484375, 779.002197265625], [993.3353271484375, 750.3316650390625], [993.3353271484375, 764.6669311523438]]"
1,2,00:43:18,77945,20,top,net shot,,,"[900, 410]","[[896.7118530273438, 347.3233337402344], [899.5501098632812, 343.0144348144531], [892.4545288085938, 344.45074462890625], [903.807373046875, 343.0144348144531], [891.0354614257812, 347.3233337402344], [913.7412719726562, 351.63226318359375], [893.8735961914062, 363.1226806640625], [929.3514404296875, 357.3774719238281], [906.6456298828125, 376.0494079589844], [944.961669921875, 357.3774719238281], [920.8367919921875, 388.9761657714844], [910.9030151367188, 404.7755432128906], [898.1309814453125, 404.7755432128906], [913.7412719726562, 443.5557556152344], [902.3883056640625, 443.5557556152344], [886.7781372070312, 459.3550720214844], [892.4545288085938, 483.77227783203125], [889.6163330078125, 471.5636749267578]]","[[919.9269409179688, 581.0979614257812], [921.3663330078125, 578.2249145507812], [921.3663330078125, 579.6614379882812], [921.3663330078125, 579.6614379882812], [942.9571533203125, 578.2249145507812], [919.9269409179688, 609.8280639648438], [960.2297973632812, 601.2090454101562], [909.851318359375, 637.1216430664062], [977.50244140625, 632.8121948242188], [902.6543579101562, 654.3597412109375], [980.3812255859375, 660.1057739257812], [938.6389770507812, 668.7247924804688], [967.4266967773438, 668.7247924804688], [917.0481567382812, 721.87548828125], [958.7904052734375, 703.200927734375], [915.6087646484375, 779.3357543945312], [965.9873657226562, 747.7326049804688], [940.7980651855469, 763.5341796875]]"
1,3,00:43:19,77971,16,bottom,net shot,,,"[1036, 532]","[[973.9915161132812, 331.636962890625], [976.8430786132812, 327.33880615234375], [971.1400756835938, 327.33880615234375], [979.6945190429688, 328.771484375], [964.0113525390625, 328.771484375], [981.1203002929688, 341.66595458984375], [954.0311889648438, 347.3968200683594], [989.6746826171875, 357.42584228515625], [941.199462890625, 367.454833984375], [1005.3579711914062, 371.75299072265625], [942.6251831054688, 391.81103515625], [968.28857421875, 386.08013916015625], [951.1796264648438, 388.9455871582031], [975.4172973632812, 424.7635192871094], [955.4569091796875, 424.7635192871094], [971.1400756835938, 453.41778564453125], [949.7539672851562, 464.8795166015625], [960.447021484375, 459.1486511230469]]","[[1041.7005615234375, 559.3735961914062], [1044.5526123046875, 555.0720825195312], [1043.1265869140625, 557.939697265625], [1045.9786376953125, 560.8074340820312], [1063.0909423828125, 563.6751098632812], [1041.7005615234375, 579.4473876953125], [1064.5169677734375, 583.7489013671875], [1033.144287109375, 596.6535034179688], [1068.7950439453125, 599.5211181640625], [1016.031982421875, 603.8226928710938], [1013.179931640625, 605.2565307617188], [1043.1265869140625, 639.6687622070312], [1067.3690185546875, 636.8010864257812], [1035.996337890625, 684.1178588867188], [1068.7950439453125, 655.4410400390625], [1047.4046630859375, 730.0008544921875], [1071.6470947265625, 672.6471557617188], [1059.52587890625, 701.3240051269531]]"
1,4,00:43:19,77997,20,top,lob,,,"[947, 472]","[[958.229248046875, 403.2153625488281], [961.093505859375, 398.9116516113281], [955.3650512695312, 400.3462219238281], [961.093505859375, 401.7807922363281], [946.772216796875, 398.9116516113281], [956.7971801757812, 417.56109619140625], [933.883056640625, 414.69195556640625], [942.475830078125, 439.07977294921875], [932.4509887695312, 441.94891357421875], [941.0437622070312, 466.3367004394531], [956.7971801757812, 426.1685485839844], [933.883056640625, 457.7292175292969], [915.265380859375, 454.8600769042969], [942.475830078125, 492.1590270996094], [915.265380859375, 474.94415283203125], [949.636474609375, 502.2010498046875], [919.561767578125, 522.28515625], [934.59912109375, 512.2431030273438]]","[[974.0215454101562, 532.6090698242188], [974.0215454101562, 529.7313842773438], [975.452392578125, 531.1702270507812], [975.452392578125, 532.6090698242188], [995.48388671875, 529.7313842773438], [975.452392578125, 557.06982421875], [1011.2229614257812, 552.753173828125], [962.574951171875, 590.1636352539062], [1026.9619140625, 590.1636352539062], [941.1126708984375, 611.74658203125], [1028.392822265625, 616.063232421875], [996.9147338867188, 623.2575073242188], [1019.8079223632812, 620.3797607421875], [978.3140258789062, 673.6177368164062], [1002.6380615234375, 650.595947265625], [1004.0687866210938, 715.3448486328125], [1006.9304809570312, 685.128662109375], [1005.4996337890625, 700.2367553710938]]"
1,5,00:43:21,78048,16,bottom,drop,,,"[1207, 551]","[[1023.266845703125, 324.77838134765625], [1026.130615234375, 320.46337890625], [1020.4028930664062, 320.46337890625], [1031.8583984375, 321.9017028808594], [1016.1071166992188, 320.46337890625], [1034.7222900390625, 336.2850646972656], [1003.2196655273438, 337.7234191894531], [1041.8819580078125, 352.1067810058594], [988.9002685546875, 354.9834289550781], [1056.2012939453125, 366.4901428222656], [993.1961059570312, 377.996826171875], [1024.69873046875, 379.43511962890625], [1003.2196655273438, 380.8735046386719], [1034.7222900390625, 415.3935546875], [988.9002685546875, 412.5168762207031], [1039.01806640625, 448.47528076171875], [978.8767700195312, 442.721923828125], [1008.9474182128906, 445.5986022949219]]","[[1126.3026123046875, 701.1044921875], [1124.86865234375, 696.7894287109375], [1123.4345703125, 701.1044921875], [1099.0567626953125, 712.611572265625], [1120.566650390625, 709.7348022460938], [1099.0567626953125, 739.9407348632812], [1142.0765380859375, 734.1871948242188], [1096.188720703125, 739.9407348632812], [1177.9263916015625, 725.5569458007812], [1219.51220703125, 695.3510131835938], [1212.3421630859375, 701.1044921875], [1116.2646484375, 810.4210815429688], [1146.3785400390625, 811.8594970703125], [1110.5286865234375, 850.6956787109375], [1169.3223876953125, 873.7096557617188], [1074.6788330078125, 895.2853393554688], [1177.9263916015625, 944.1901245117188], [1126.3026123046875, 919.7377319335938]]"
1,6,00:43:22,78072,20,top,lob,,,"[1154, 421]","[[1120.5533447265625, 394.1034240722656], [1120.5533447265625, 389.82012939453125], [1117.6895751953125, 389.82012939453125], [1106.234375, 386.964599609375], [1107.666259765625, 386.964599609375], [1106.234375, 402.66998291015625], [1100.5067138671875, 404.0977783203125], [1111.9619140625, 419.8031921386719], [1110.530029296875, 418.3753967285156], [1121.9852294921875, 435.5085754394531], [1121.9852294921875, 429.7975158691406], [1089.051513671875, 429.7975158691406], [1073.3006591796875, 429.7975158691406], [1104.8023681640625, 445.5029296875], [1074.732666015625, 454.0695495605469], [1120.5533447265625, 482.6247863769531], [1120.5533447265625, 482.6247863769531], [1120.5533447265625, 482.6247863769531]]","[[1086.240234375, 628.4995727539062], [1064.6864013671875, 609.8031005859375], [1086.240234375, 624.1849975585938], [1061.8125, 621.30859375], [1086.240234375, 627.0614013671875], [1044.5693359375, 647.1961059570312], [1084.8033447265625, 661.5780029296875], [1023.0155029296875, 675.9599609375], [1089.1141357421875, 703.28564453125], [1041.695556640625, 683.1509399414062], [1099.172607421875, 732.0494995117188], [1027.3262939453125, 721.982177734375], [1053.19091796875, 727.7349243164062], [1040.258544921875, 763.6897583007812], [1076.1817626953125, 773.757080078125], [1020.1416015625, 809.7119140625], [1053.19091796875, 832.7230224609375], [1036.666259765625, 821.2174682617188]]"
1,7,00:43:23,78106,16,bottom,smash,,,"[739, 461]","[[953.2659912109375, 315.5724182128906], [956.1226196289062, 311.2644348144531], [950.4092407226562, 312.700439453125], [947.5526123046875, 312.700439453125], [960.4076538085938, 311.2644348144531], [941.8392944335938, 328.4963684082031], [968.9776000976562, 325.6243896484375], [931.8408813476562, 348.6002502441406], [931.8408813476562, 348.6002502441406], [926.1275024414062, 370.14013671875], [926.1275024414062, 370.14013671875], [950.4092407226562, 370.14013671875], [970.406005859375, 370.14013671875], [971.8343505859375, 416.0918884277344], [943.267578125, 416.0918884277344], [974.6909790039062, 451.9917297363281], [940.410888671875, 450.55572509765625], [957.5509338378906, 451.2737274169922]]","[[802.2530517578125, 677.3472290039062], [782.1604614257812, 703.2015380859375], [797.9474487304688, 677.3472290039062], [782.1604614257812, 697.4561767578125], [795.0770874023438, 683.0926513671875], [790.7715454101562, 707.5105590820312], [807.9937133789062, 685.96533203125], [807.9937133789062, 661.54736328125], [806.5585327148438, 658.6746826171875], [797.9474487304688, 638.5657958984375], [796.5122680664062, 635.6930541992188], [815.1696166992188, 753.4738159179688], [818.0399169921875, 749.1647338867188], [866.836181640625, 777.8916625976562], [866.836181640625, 777.8916625976562], [874.0120849609375, 829.600341796875], [752.021728515625, 842.5274658203125], [813.0169067382812, 836.0639038085938]]"
1,8,00:43:24,78120,20,top,defensive shot,,,"[821, 341]","[[880.0401611328125, 338.61212158203125], [882.90380859375, 335.7443542480469], [877.1764526367188, 337.17822265625], [891.4948120117188, 337.17822265625], [874.3128662109375, 338.61212158203125], [901.5175170898438, 350.08319091796875], [872.8810424804688, 355.8187561035156], [921.5631713867188, 360.1203918457031], [858.562744140625, 364.42205810546875], [935.8814086914062, 373.025390625], [842.8126831054688, 368.72369384765625], [907.244873046875, 387.36419677734375], [887.1992797851562, 387.36419677734375], [927.29052734375, 417.475830078125], [864.2900390625, 413.1741638183594], [951.631591796875, 443.2857360839844], [845.6763305664062, 446.1535339355469], [898.6539611816406, 444.7196350097656]]","[[805.0050659179688, 675.2197265625], [800.6924438476562, 669.4758911132812], [826.568359375, 666.6039428710938], [802.1299438476562, 672.3478393554688], [826.568359375, 669.4758911132812], [793.5045776367188, 702.5029907226562], [840.94384765625, 696.7591552734375], [782.0042114257812, 741.27392578125], [868.2573852539062, 728.350341796875], [805.0050659179688, 725.4783935546875], [853.8818359375, 744.1459350585938], [805.0050659179688, 774.3011474609375], [838.0687255859375, 767.1212768554688], [776.2539672851562, 828.86767578125], [861.069580078125, 811.6361694335938], [751.8155517578125, 876.25439453125], [836.6311645507812, 866.2026977539062], [794.2233581542969, 871.2285461425781]]"
1,9,00:43:24,78148,16,bottom,net shot,,,"[1127, 581]","[[968.448974609375, 319.8034362792969], [969.8876953125, 315.5069885253906], [965.571533203125, 315.5069885253906], [972.76513671875, 316.93914794921875], [958.3779907226562, 315.5069885253906], [974.203857421875, 329.8284912109375], [945.4296264648438, 332.69281005859375], [987.1522216796875, 349.8786315917969], [933.9199829101562, 347.01434326171875], [1000.1005859375, 362.76800537109375], [931.0425415039062, 369.92877197265625], [961.2554931640625, 372.7930908203125], [942.55224609375, 375.6573791503906], [968.448974609375, 407.1647644042969], [948.3070678710938, 410.0290832519531], [965.571533203125, 437.2399597167969], [943.9909057617188, 445.8328857421875], [954.7812194824219, 441.5364227294922]]","[[1087.4539794921875, 591.35498046875], [1086.027099609375, 587.0569458007812], [1086.027099609375, 587.0569458007812], [1063.196044921875, 587.0569458007812], [1084.60009765625, 589.9223022460938], [1051.780517578125, 608.5472412109375], [1087.4539794921875, 609.9799194335938], [1021.814697265625, 622.8740844726562], [1100.2965087890625, 605.681884765625], [991.8489379882812, 621.44140625], [991.8489379882812, 621.44140625], [1048.926513671875, 670.15283203125], [1077.4654541015625, 671.5855102539062], [1030.3763427734375, 717.4315185546875], [1093.161865234375, 673.0181884765625], [1018.9608764648438, 754.6813354492188], [1093.161865234375, 708.8353881835938], [1056.0613708496094, 731.7583618164062]]"
1,10,00:43:25,78177,20,top,lob,,,"[1142, 452]","[[1098.0845947265625, 432.1531677246094], [1098.0845947265625, 426.4128112792969], [1095.2322998046875, 427.8479309082031], [1085.2493896484375, 446.5040588378906], [1088.101806640625, 427.8479309082031], [1068.135986328125, 442.1988220214844], [1078.1187744140625, 445.0689697265625], [1099.5107421875, 462.2900695800781], [1099.5107421875, 462.2900695800781], [1115.1981201171875, 478.07598876953125], [1116.6241455078125, 478.07598876953125], [1035.335205078125, 462.2900695800781], [1042.4658203125, 465.16021728515625], [1072.414306640625, 483.8163757324219], [1072.414306640625, 483.8163757324219], [1079.544921875, 522.5637817382812], [1080.9710693359375, 525.4339599609375], [1080.2579956054688, 523.9988708496094]]","[[1019.6074829101562, 555.0731811523438], [1019.6074829101562, 550.7520751953125], [1019.6074829101562, 550.7520751953125], [1021.0435180664062, 552.1925048828125], [1041.1483154296875, 553.6328735351562], [1015.29931640625, 578.1190185546875], [1054.0728759765625, 578.1190185546875], [1002.374755859375, 608.36669921875], [1068.4334716796875, 614.1281127929688], [985.14208984375, 629.9721069335938], [1069.8695068359375, 644.3757934570312], [1028.223876953125, 645.816162109375], [1054.0728759765625, 642.9354248046875], [1008.1190185546875, 699.109619140625], [1045.45654296875, 681.8252563476562], [1022.4795532226562, 746.6416625976562], [1051.2008056640625, 729.3572387695312], [1036.8401794433594, 737.9994506835938]]"
