rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
22,1,00:44:53,80811,3,bottom,short service,,,"[974, 496]","[[884.25537109375, 309.8515625], [887.067138671875, 306.9870910644531], [881.4436645507812, 306.9870910644531], [891.28466796875, 308.4193115234375], [877.22607421875, 308.4193115234375], [896.908203125, 325.6061706542969], [873.0084228515625, 321.3094482421875], [898.3140869140625, 345.6574401855469], [854.732177734375, 335.63177490234375], [882.8495483398438, 335.63177490234375], [865.9791259765625, 325.6061706542969], [889.8788452148438, 362.8442687988281], [874.4143676757812, 361.4120178222656], [888.4729614257812, 394.3533935546875], [875.8202514648438, 392.9211730957031], [889.8788452148438, 421.56585693359375], [880.0377807617188, 412.97247314453125], [884.9583129882812, 417.2691650390625]]","[[983.9661865234375, 532.7908935546875], [991.1273193359375, 532.7908935546875], [982.5339965820312, 524.1876220703125], [981.1017456054688, 535.65869140625], [999.7206420898438, 537.0925903320312], [965.3473510742188, 554.2991943359375], [999.7206420898438, 561.4686279296875], [942.4318237304688, 545.6959228515625], [1006.8817749023438, 561.4686279296875], [939.5673217773438, 545.6959228515625], [1012.6106567382812, 555.733154296875], [961.0506591796875, 611.65478515625], [982.5339965820312, 618.82421875], [966.779541015625, 656.1052856445312], [991.1273193359375, 674.745849609375], [971.076171875, 696.254150390625], [983.9661865234375, 732.1013793945312], [977.5211791992188, 714.1777648925781]]"
22,2,00:44:54,80836,14,top,net shot,,,"[905, 383]","[[897.0294799804688, 350.263427734375], [901.2587890625, 347.3938903808594], [894.2100830078125, 345.9591369628906], [902.6685791015625, 350.263427734375], [889.9807739257812, 348.82867431640625], [902.6685791015625, 367.4806213378906], [878.7026977539062, 360.3067932128906], [912.536865234375, 381.8283386230469], [861.7857055664062, 360.3067932128906], [918.1758422851562, 381.8283386230469], [861.7857055664062, 371.7849426269531], [891.3905029296875, 397.6107482910156], [875.8831787109375, 396.17596435546875], [894.2100830078125, 423.4365539550781], [878.7026977539062, 420.5670166015625], [891.3905029296875, 433.4799499511719], [877.29296875, 455.00146484375], [884.3417358398438, 444.24070739746094]]","[[985.2913208007812, 551.5768432617188], [972.4528198242188, 544.4039306640625], [983.8648071289062, 547.2731323242188], [961.0407104492188, 547.2731323242188], [981.0117797851562, 550.1422729492188], [946.775634765625, 570.2264404296875], [979.5853271484375, 571.6610107421875], [922.5250244140625, 600.3527221679688], [1005.2623901367188, 600.3527221679688], [919.6719970703125, 619.0023193359375], [1010.9684448242188, 619.0023193359375], [928.2310791015625, 626.1752319335938], [952.481689453125, 631.91357421875], [941.0697021484375, 656.301513671875], [978.1587524414062, 683.55859375], [932.5106201171875, 700.7736206054688], [983.8648071289062, 740.9419555664062], [958.1877136230469, 720.8577880859375]]"
22,3,00:44:55,80869,3,bottom,lob,,,"[1179, 502]","[[989.6306762695312, 324.7735900878906], [992.4939575195312, 320.48150634765625], [986.767333984375, 321.9122009277344], [995.3572998046875, 321.9122009277344], [982.4723510742188, 323.3428649902344], [998.2205810546875, 336.2191467285156], [975.3140869140625, 340.51123046875], [999.6522827148438, 353.38751220703125], [963.86083984375, 357.6795959472656], [1003.9472045898438, 360.5409851074219], [956.7025756835938, 373.417236328125], [991.0623168945312, 373.417236328125], [976.7457275390625, 373.417236328125], [1001.0839233398438, 393.447021484375], [986.767333984375, 399.1697692871094], [989.6306762695312, 416.338134765625], [981.0407104492188, 433.5064697265625], [985.335693359375, 424.92230224609375]]","[[1140.8751220703125, 566.8512573242188], [1139.43896484375, 563.9755249023438], [1139.43896484375, 563.9755249023438], [1119.331787109375, 562.5377197265625], [1135.1302490234375, 565.4133911132812], [1109.2781982421875, 576.9163208007812], [1122.2042236328125, 579.7920532226562], [1113.5867919921875, 614.30078125], [1117.8955078125, 579.7920532226562], [1129.3853759765625, 638.744384765625], [1129.3853759765625, 638.744384765625], [1069.06396484375, 611.4249877929688], [1083.4261474609375, 621.4901123046875], [1067.627685546875, 671.8153076171875], [1067.627685546875, 671.8153076171875], [1021.66845703125, 696.2589111328125], [1024.5408935546875, 696.2589111328125], [1023.1046752929688, 696.2589111328125]]"
22,4,00:44:56,80906,14,top,clear,,,"[1134, 197]","[[1113.1776123046875, 286.6690368652344], [1111.7529296875, 269.49310302734375], [1111.7529296875, 280.9437255859375], [1100.35498046875, 266.6304626464844], [1108.9034423828125, 278.0810546875], [1097.5054931640625, 289.5317077636719], [1094.6561279296875, 285.2377014160156], [1094.6561279296875, 308.1389465332031], [1091.8065185546875, 329.60882568359375], [1096.080810546875, 325.3148498535156], [1107.4786376953125, 343.9220886230469], [1070.435546875, 303.844970703125], [1070.435546875, 305.2762756347656], [1094.6561279296875, 333.9028015136719], [1056.1881103515625, 333.9028015136719], [1110.328125, 348.216064453125], [1050.4891357421875, 361.0980224609375], [1080.4086303710938, 354.65704345703125]]","[[1064.947998046875, 547.7405395507812], [1069.265625, 544.8617553710938], [1060.63037109375, 543.42236328125], [1057.7518310546875, 549.179931640625], [1075.0225830078125, 550.6193237304688], [1043.359619140625, 570.7708129882812], [1079.34033203125, 572.210205078125], [1020.3319702148438, 599.5586547851562], [1100.9287109375, 606.7556762695312], [1008.818115234375, 618.2708129882812], [1105.246337890625, 603.8768920898438], [1037.602783203125, 624.0283813476562], [1064.947998046875, 626.9071655273438], [1020.3319702148438, 670.0889892578125], [1083.6580810546875, 672.9677734375], [1014.5750732421875, 720.4677124023438], [1092.2933349609375, 726.225341796875], [1053.4342041015625, 723.3465270996094]]"
22,5,00:44:57,80934,3,bottom,clear,,,"[1235, 339]","[[1065.9603271484375, 284.47406005859375], [1068.8126220703125, 281.6138916015625], [1063.108154296875, 281.6138916015625], [1073.0908203125, 283.0439758300781], [1060.255859375, 283.0439758300781], [1077.369140625, 297.34478759765625], [1051.69921875, 295.9147033691406], [1087.3519287109375, 308.78546142578125], [1038.8642578125, 308.78546142578125], [1093.056396484375, 323.0862731933594], [1034.5859375, 320.2261047363281], [1067.386474609375, 330.2366638183594], [1050.2730712890625, 328.80657958984375], [1070.2386474609375, 355.9781188964844], [1044.5687255859375, 351.6878967285156], [1071.6646728515625, 380.2895202636719], [1043.142578125, 377.4293518066406], [1057.4036254882812, 378.85943603515625]]","[[1194.353759765625, 643.7941284179688], [1198.668701171875, 645.2326049804688], [1194.353759765625, 645.2326049804688], [1195.7919921875, 662.4946899414062], [1204.422119140625, 668.2487182617188], [1178.5321044921875, 661.0562133789062], [1175.6553955078125, 658.17919921875], [1187.1619873046875, 612.14697265625], [1187.1619873046875, 613.58544921875], [1200.1070556640625, 577.622802734375], [1200.1070556640625, 577.622802734375], [1154.080322265625, 721.4734497070312], [1158.3953857421875, 722.9119873046875], [1093.670166015625, 728.666015625], [1184.285400390625, 763.1902465820312], [1079.286865234375, 777.5753173828125], [1079.286865234375, 774.6982421875], [1079.286865234375, 776.1367797851562]]"
22,6,00:44:59,80970,14,top,clear,,,"[1151, 206]","[[1134.5152587890625, 269.9150695800781], [1137.382080078125, 267.0333557128906], [1131.6483154296875, 267.0333557128906], [1140.2490234375, 268.4742126464844], [1127.34814453125, 268.4742126464844], [1141.6824951171875, 282.8826904296875], [1120.180908203125, 277.1192932128906], [1134.5152587890625, 300.1728515625], [1118.74755859375, 265.5924987792969], [1148.849609375, 255.50657653808594], [1140.2490234375, 282.8826904296875], [1121.6143798828125, 310.2587890625], [1105.8466796875, 304.4953918457031], [1130.2149658203125, 334.753173828125], [1092.9456787109375, 331.8714904785156], [1141.6824951171875, 353.48419189453125], [1091.5123291015625, 362.1292724609375], [1116.597412109375, 357.8067321777344]]","[[1056.2320556640625, 594.5243530273438], [1063.3515625, 593.0829467773438], [1054.80810546875, 591.6415405273438], [1051.960205078125, 597.4071655273438], [1070.4710693359375, 598.8486328125], [1033.449462890625, 617.5870971679688], [1074.7427978515625, 621.911376953125], [1010.6669311523438, 647.85693359375], [1088.9818115234375, 662.2711181640625], [999.2757568359375, 670.919677734375], [1101.7969970703125, 670.919677734375], [1023.4821166992188, 676.6853637695312], [1050.536376953125, 682.4510498046875], [1013.5147705078125, 699.7481079101562], [1081.8623046875, 711.2794799804688], [1004.9713134765625, 744.43212890625], [1080.4383544921875, 767.494873046875], [1042.704833984375, 755.9635009765625]]"
22,7,00:44:59,80990,3,bottom,clear,,,"[1244, 414]","[[1109.2728271484375, 291.3341064453125], [1110.69189453125, 288.4830627441406], [1106.4345703125, 288.4830627441406], [1113.5302734375, 289.9085998535156], [1102.177001953125, 289.9085998535156], [1119.20703125, 301.312744140625], [1096.500244140625, 301.312744140625], [1133.398681640625, 309.8658752441406], [1087.9853515625, 316.9934997558594], [1141.91357421875, 324.1211242675781], [1087.9853515625, 334.0997619628906], [1114.949462890625, 334.0997619628906], [1099.338623046875, 334.0997619628906], [1113.5302734375, 355.4825744628906], [1099.338623046875, 355.4825744628906], [1117.787841796875, 381.1419982910156], [1107.8536376953125, 372.5888671875], [1112.8207397460938, 376.8654327392578]]","[[1153.4306640625, 588.6561889648438], [1151.9984130859375, 585.7882690429688], [1149.134033203125, 588.6561889648438], [1147.7017822265625, 595.8259887695312], [1139.1085205078125, 598.6939697265625], [1162.02392578125, 604.4298095703125], [1121.921875, 614.4675903320312], [1194.96484375, 597.2599487304688], [1084.6842041015625, 614.4675903320312], [1229.338134765625, 574.3165283203125], [1058.904296875, 630.2412109375], [1124.7862548828125, 660.3544921875], [1097.5740966796875, 660.3544921875], [1131.9473876953125, 700.5055541992188], [1100.4385986328125, 711.9773559570312], [1109.0318603515625, 732.0528564453125], [1078.955322265625, 744.9585571289062], [1093.9935913085938, 738.5057067871094]]"
22,8,00:45:01,81034,14,top,clear,,,"[1164, 184]","[[1139.9677734375, 216.20074462890625], [1141.400390625, 216.20074462890625], [1135.6700439453125, 216.20074462890625], [1147.1307373046875, 216.20074462890625], [1131.3721923828125, 216.20074462890625], [1151.4285888671875, 236.33145141601562], [1127.0743408203125, 234.89352416992188], [1158.591552734375, 257.9000549316406], [1127.0743408203125, 252.14842224121094], [1155.7264404296875, 257.9000549316406], [1135.6700439453125, 230.57981872558594], [1141.400390625, 301.0372314453125], [1124.209228515625, 296.7235412597656], [1149.9959716796875, 328.35748291015625], [1117.046142578125, 325.4816589355469], [1161.456787109375, 342.736572265625], [1117.046142578125, 359.991455078125], [1139.25146484375, 351.364013671875]]","[[1059.7503662109375, 588.28466796875], [1061.1834716796875, 585.4028930664062], [1052.585205078125, 585.4028930664062], [1046.85302734375, 586.84375], [1064.0494384765625, 588.28466796875], [1029.6566162109375, 608.4569702148438], [1068.3486328125, 612.7796020507812], [1003.8618774414062, 638.7154541015625], [1085.5450439453125, 651.683349609375], [993.8306274414062, 658.8877563476562], [1086.9781494140625, 650.2424926757812], [1015.326171875, 658.8877563476562], [1041.120849609375, 670.414794921875], [1009.5940551757812, 692.0280151367188], [1071.2147216796875, 715.0820922851562], [999.562744140625, 738.1361694335938], [1076.9468994140625, 774.158203125], [1038.2548217773438, 756.1471862792969]]"
22,9,00:45:02,81060,3,bottom,clear,,,"[1205, 385]","[[1098.7259521484375, 287.963134765625], [1101.5474853515625, 285.1111755371094], [1097.315185546875, 285.1111755371094], [1104.369140625, 286.53717041015625], [1093.0828857421875, 285.1111755371094], [1111.4229736328125, 299.3711242675781], [1086.0289306640625, 297.9451599121094], [1122.7091064453125, 312.2051086425781], [1074.74267578125, 312.2051086425781], [1124.1199951171875, 326.4651184082031], [1069.099609375, 327.89111328125], [1104.369140625, 330.74310302734375], [1088.8504638671875, 327.89111328125], [1105.77978515625, 354.9850769042969], [1081.796630859375, 350.7070617675781], [1114.2445068359375, 373.5230712890625], [1084.6181640625, 372.0970764160156], [1099.4313354492188, 372.81007385253906]]","[[1173.7523193359375, 647.752685546875], [1173.7523193359375, 653.5111083984375], [1157.9315185546875, 657.8299560546875], [1175.1905517578125, 666.4675903320312], [1183.820068359375, 675.1052856445312], [1163.6845703125, 657.8299560546875], [1156.4932861328125, 657.8299560546875], [1163.6845703125, 611.7623901367188], [1163.6845703125, 611.7623901367188], [1199.640869140625, 623.279296875], [1173.7523193359375, 574.33251953125], [1143.549072265625, 729.8104858398438], [1144.9873046875, 729.8104858398438], [1098.963134765625, 768.6799926757812], [1163.6845703125, 762.9215087890625], [1100.4013671875, 823.3851928710938], [1100.4013671875, 823.3851928710938], [1100.4013671875, 823.3851928710938]]"
22,10,00:45:02,81089,14,top,clear,out,3.0,"[1132, 195]","[[1102.8048095703125, 286.2126770019531], [1101.38330078125, 299.0763854980469], [1098.540283203125, 300.5057067871094], [1104.2261962890625, 297.6470947265625], [1101.38330078125, 300.5057067871094], [1108.49072265625, 291.9299011230469], [1084.325439453125, 314.7987365722656], [1109.912109375, 299.0763854980469], [1109.912109375, 343.38482666015625], [1118.4410400390625, 286.2126770019531], [1082.904052734375, 370.54156494140625], [1101.38330078125, 319.086669921875], [1087.16845703125, 316.2280578613281], [1109.912109375, 344.8141174316406], [1080.06103515625, 341.95550537109375], [1119.862548828125, 359.1071472167969], [1082.904052734375, 370.54156494140625], [1101.38330078125, 364.82435607910156]]","[[1084.8072509765625, 604.9099731445312], [1089.1226806640625, 600.5966796875], [1080.491943359375, 600.5966796875], [1074.738037109375, 604.9099731445312], [1093.43798828125, 607.7854614257812], [1056.0379638671875, 630.7894897460938], [1100.6304931640625, 633.6650390625], [1035.8995361328125, 659.5445556640625], [1122.2073974609375, 669.6088256835938], [1020.0763549804688, 679.673095703125], [1122.2073974609375, 668.1710815429688], [1048.845703125, 695.4884033203125], [1080.491943359375, 698.3638916015625], [1034.4610595703125, 709.8659057617188], [1107.82275390625, 722.8056640625], [1025.8302001953125, 760.1871948242188], [1113.57666015625, 777.4403076171875], [1069.7034301757812, 768.8137512207031]]"
