rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
1,1,00:23:48,42857,2,bottom,long service,,,"[945, 366]","[[825.245361328125, 359.70721435546875], [829.5164794921875, 355.40289306640625], [822.3978881835938, 356.8376770019531], [833.7877197265625, 359.70721435546875], [816.7030029296875, 359.70721435546875], [839.4826049804688, 379.7940673828125], [809.5843505859375, 381.2288818359375], [849.44873046875, 401.3157043457031], [798.1944580078125, 411.3591003417969], [863.6860961914062, 419.9677734375], [820.97412109375, 412.79388427734375], [830.9402465820312, 428.576416015625], [813.85546875, 430.0111999511719], [855.1436157226562, 470.1849060058594], [820.97412109375, 474.48919677734375], [836.6351928710938, 500.315185546875], [816.7030029296875, 527.5758666992188], [826.6690979003906, 513.9455261230469]]","[[984.1005249023438, 558.4957275390625], [984.1005249023438, 558.4957275390625], [1004.2340087890625, 567.1069946289062], [985.5386962890625, 562.8013916015625], [1004.2340087890625, 568.542236328125], [966.8433837890625, 585.7646484375], [1004.2340087890625, 595.81103515625], [930.8908081054688, 587.1998291015625], [979.7861938476562, 584.3294067382812], [942.3955688476562, 562.8013916015625], [959.65283203125, 575.7182006835938], [962.529052734375, 661.8303833007812], [988.4148559570312, 666.135986328125], [969.7195434570312, 716.3681030273438], [992.7291259765625, 716.3681030273438], [975.471923828125, 766.6002807617188], [989.8529663085938, 765.1650390625], [982.6624450683594, 765.8826599121094]]"
1,2,00:23:50,42918,3,top,smash,,,"[764, 284]","[[765.3848876953125, 307.3509216308594], [768.2213745117188, 303.0528259277344], [761.1302490234375, 304.48553466796875], [775.3123779296875, 305.918212890625], [758.2938232421875, 307.3509216308594], [792.3310546875, 323.11065673828125], [762.5484619140625, 328.8414611816406], [796.585693359375, 297.3219909667969], [773.8941650390625, 347.4665832519531], [795.16748046875, 290.1584777832031], [785.2399291992188, 325.9760437011719], [799.4220581054688, 368.9571228027344], [775.3123779296875, 370.3898620605469], [803.6767578125, 414.8035888671875], [771.0578002929688, 414.8035888671875], [802.2584838867188, 462.0827941894531], [758.2938232421875, 454.91925048828125], [780.2761535644531, 458.5010223388672]]","[[902.43408203125, 644.56298828125], [902.43408203125, 640.239990234375], [902.43408203125, 643.1219482421875], [902.43408203125, 640.239990234375], [926.8377075195312, 638.7989501953125], [898.1276245117188, 667.6188354492188], [944.063720703125, 664.7368774414062], [895.2566528320312, 702.2026977539062], [969.9027099609375, 703.6437377929688], [889.5146484375, 736.78662109375], [969.9027099609375, 733.9046020507812], [915.3536376953125, 733.9046020507812], [951.2412719726562, 732.463623046875], [878.0306396484375, 768.4884643554688], [979.9512329101562, 764.16552734375], [850.756103515625, 824.6873168945312], [1004.3547973632812, 817.4822387695312], [927.5554504394531, 821.0847778320312]]"
1,3,00:23:51,42931,2,bottom,defensive shot,,,"[699, 707]","[[783.4998168945312, 346.38543701171875], [786.3544921875, 343.5051574707031], [780.6450805664062, 343.5051574707031], [793.4913940429688, 344.9452819824219], [774.9356079101562, 346.38543701171875], [802.0556030273438, 366.5475158691406], [770.6534423828125, 360.78692626953125], [826.3208618164062, 386.7095947265625], [752.09765625, 366.5475158691406], [823.466064453125, 415.5125427246094], [746.38818359375, 392.47021484375], [802.0556030273438, 409.7519836425781], [779.2176513671875, 411.1921081542969], [802.0556030273438, 454.3965759277344], [770.6534423828125, 457.27685546875], [819.1840209960938, 484.6396789550781], [789.2092895507812, 483.1995544433594], [804.1966552734375, 483.91961669921875]]","[[805.0841674804688, 732.9876708984375], [806.5185546875, 728.6806030273438], [806.5185546875, 728.6806030273438], [807.9529418945312, 728.6806030273438], [826.600341796875, 722.937744140625], [829.4691162109375, 738.7305297851562], [836.6411743164062, 737.2947998046875], [871.0670776367188, 738.7305297851562], [805.0841674804688, 760.2660522460938], [850.9853515625, 737.2947998046875], [770.658203125, 768.88037109375], [891.1488647460938, 755.958984375], [914.0994873046875, 755.958984375], [836.6411743164062, 784.6730346679688], [952.82861328125, 803.3372802734375], [830.903564453125, 844.97265625], [998.7297973632812, 824.872802734375], [914.8166809082031, 834.9227294921875]]"
1,4,00:23:52,42965,3,top,smash,,,"[939, 322]","[[851.4847412109375, 350.79693603515625], [852.9154663085938, 347.91314697265625], [847.1921997070312, 350.79693603515625], [858.6388549804688, 352.2388610839844], [844.33056640625, 356.5645751953125], [864.3621826171875, 362.33221435546875], [847.1921997070312, 373.86749267578125], [878.6704711914062, 332.0521545410156], [827.16064453125, 369.541748046875], [812.852294921875, 346.4712219238281], [814.2830810546875, 349.35504150390625], [868.6546630859375, 420.0085754394531], [854.3463745117188, 421.450439453125], [878.6704711914062, 458.9400634765625], [861.50048828125, 470.4753723144531], [862.9312744140625, 493.5458984375], [831.4530639648438, 513.7326049804688], [847.1921691894531, 503.6392517089844]]","[[942.1539916992188, 625.7451171875], [919.3184204101562, 622.8653564453125], [942.1539916992188, 621.4254760742188], [919.3184204101562, 622.8653564453125], [942.1539916992188, 621.4254760742188], [909.327880859375, 650.2227783203125], [957.8534545898438, 648.782958984375], [902.1917114257812, 687.6593017578125], [979.2618408203125, 687.6593017578125], [893.6283569335938, 716.4566650390625], [986.39794921875, 716.4566650390625], [923.6000366210938, 722.2161254882812], [957.8534545898438, 716.4566650390625], [890.77392578125, 763.9722900390625], [972.1256713867188, 753.8931274414062], [873.647216796875, 823.0067749023438], [987.8251342773438, 810.0479736328125], [930.7361755371094, 816.5273742675781]]"
1,5,00:23:52,42981,2,bottom,defensive shot,,,"[1104, 598]","[[901.0263061523438, 348.9452819824219], [903.883544921875, 344.6383972167969], [896.740478515625, 344.6383972167969], [908.1693725585938, 346.0740051269531], [891.0260620117188, 347.5096435546875], [916.7410278320312, 367.60845947265625], [882.4542846679688, 366.1728515625], [923.8840942382812, 394.8854064941406], [862.4537353515625, 393.4498291015625], [929.5985717773438, 420.72674560546875], [876.7398681640625, 409.2417297363281], [911.026611328125, 414.9842224121094], [886.7401123046875, 414.9842224121094], [933.8843994140625, 460.9244079589844], [878.16845703125, 462.3600769042969], [938.1702270507812, 493.9439392089844], [861.025146484375, 502.5577087402344], [899.5976867675781, 498.2508239746094]]","[[1020.328857421875, 645.3404541015625], [1021.7586059570312, 641.03662109375], [1017.469482421875, 641.03662109375], [998.8837890625, 636.7327880859375], [1021.7586059570312, 641.03662109375], [981.727783203125, 656.8174438476562], [1023.188232421875, 669.72900390625], [967.4310913085938, 678.3367309570312], [967.4310913085938, 676.902099609375], [931.689208984375, 682.6405639648438], [1038.9146728515625, 668.2943725585938], [964.5717163085938, 727.1137084960938], [998.8837890625, 731.4176025390625], [924.5408935546875, 773.021484375], [1014.6102294921875, 755.8060913085938], [888.7991333007812, 826.1024780273438], [1020.328857421875, 810.3215942382812], [954.5639953613281, 818.2120361328125]]"
1,6,00:23:53,43006,3,top,net shot,,,"[1078, 506]","[[1017.1148681640625, 416.7857971191406], [1019.9824829101562, 413.9200744628906], [1014.2472534179688, 413.9200744628906], [1021.4163208007812, 418.2186584472656], [1004.2106323242188, 413.9200744628906], [1022.85009765625, 442.57720947265625], [994.1740112304688, 428.2486267089844], [1030.0191650390625, 472.66717529296875], [972.6668701171875, 425.3829040527344], [1038.6219482421875, 498.4586181640625], [1038.6219482421875, 498.4586181640625], [1007.0782470703125, 472.66717529296875], [984.1372680664062, 471.23431396484375], [1017.1148681640625, 498.4586181640625], [971.2330322265625, 518.5185546875], [1024.283935546875, 554.3399658203125], [987.0048828125, 522.817138671875], [1005.6444091796875, 538.5785522460938]]","[[953.7216796875, 611.5423583984375], [955.1565551757812, 607.2203979492188], [980.9835815429688, 607.2203979492188], [958.0261840820312, 611.5423583984375], [980.9835815429688, 610.1016845703125], [952.2868041992188, 638.9146728515625], [993.8971557617188, 637.4739990234375], [952.2868041992188, 676.37158203125], [1015.4197387695312, 674.930908203125], [940.8081665039062, 709.5065307617188], [1019.7241821289062, 699.4219360351562], [970.9397583007812, 713.8284301757812], [998.2015991210938, 706.6251831054688], [947.9823608398438, 765.6918334960938], [993.8971557617188, 745.522705078125], [953.7216796875, 829.0803833007812], [1005.3757934570312, 797.3860473632812], [979.5487365722656, 813.2332153320312]]"
1,7,00:23:54,43038,2,bottom,lob,,,"[661, 612]","[[869.4234619140625, 376.3105773925781], [872.2969970703125, 372.0116271972656], [866.5499267578125, 372.0116271972656], [880.91748046875, 373.4446105957031], [865.1131591796875, 374.8775939941406], [895.2849731445312, 393.5063781738281], [867.9866943359375, 393.5063781738281], [915.3994750976562, 420.7330017089844], [862.23974609375, 415.0010986328125], [913.9627075195312, 452.25860595703125], [850.7457275390625, 433.6298522949219], [903.9053955078125, 437.9288024902344], [886.6644287109375, 437.9288024902344], [890.9747314453125, 488.0831604003906], [878.0440063476562, 482.35125732421875], [901.031982421875, 539.6704711914062], [889.5379638671875, 518.17578125], [895.2849731445312, 528.9231262207031]]","[[752.468994140625, 671.0681762695312], [753.903564453125, 668.2027587890625], [723.7785034179688, 632.3843383789062], [728.0820922851562, 633.8170776367188], [752.468994140625, 626.6533813476562], [749.5999755859375, 646.711669921875], [766.8143310546875, 643.8462524414062], [775.42138671875, 652.442626953125], [763.9451904296875, 692.5592651367188], [784.028564453125, 682.5300903320312], [740.9927978515625, 711.184814453125], [804.1119384765625, 679.6646118164062], [819.8917236328125, 673.9337158203125], [832.802490234375, 724.0794677734375], [832.802490234375, 724.0794677734375], [872.9691772460938, 752.7341918945312], [880.1417846679688, 761.3305053710938], [876.5554809570312, 757.0323486328125]]"
1,8,00:23:56,43089,3,top,clear,,,"[829, 176]","[[824.0034790039062, 286.7400817871094], [825.42431640625, 283.876220703125], [819.7409057617188, 285.3081359863281], [831.10791015625, 285.3081359863281], [815.478271484375, 291.035888671875], [842.4749145507812, 296.7635803222656], [819.7409057617188, 313.94677734375], [855.2627563476562, 275.2846374511719], [831.10791015625, 335.4257507324219], [882.2593994140625, 349.74505615234375], [849.5792236328125, 316.8106384277344], [858.1045532226562, 345.44927978515625], [836.7913818359375, 352.6089172363281], [873.7341918945312, 396.998779296875], [826.8452758789062, 398.43072509765625], [882.2593994140625, 441.3886413574219], [819.7409057617188, 432.79705810546875], [851.0001525878906, 437.0928497314453]]","[[892.3684692382812, 610.1030883789062], [892.3684692382812, 605.7877807617188], [918.265869140625, 602.9109497070312], [893.8072509765625, 607.2262573242188], [916.8270874023438, 605.7877807617188], [882.2973022460938, 633.1178588867188], [932.6532592773438, 633.1178588867188], [876.5422973632812, 670.5167846679688], [949.9181518554688, 669.078369140625], [873.664794921875, 700.7236938476562], [961.4281005859375, 702.1620483398438], [896.6846923828125, 705.0389404296875], [929.7758178710938, 700.7236938476562], [872.2260131835938, 751.0684204101562], [952.7957153320312, 740.9994506835938], [885.1747436523438, 807.1668090820312], [971.4993896484375, 791.34423828125], [928.3370666503906, 799.2555236816406]]"
1,9,00:23:57,43110,2,bottom,clear,,,"[789, 422]","[[873.1304931640625, 330.4809265136719], [875.9772338867188, 327.6016540527344], [870.28369140625, 327.6016540527344], [881.6708374023438, 330.4809265136719], [866.0134887695312, 333.3601989746094], [894.4814453125, 347.7565002441406], [861.7433471679688, 349.1961364746094], [910.1387939453125, 369.35101318359375], [844.6625366210938, 363.5924987792969], [912.9855346679688, 392.3851623535156], [834.6987915039062, 385.1869812011719], [897.3282470703125, 393.8247985839844], [874.5538330078125, 395.2644348144531], [905.8685913085938, 437.0137634277344], [877.400634765625, 439.8930358886719], [903.0217895507812, 462.92718505859375], [881.6708374023438, 478.76318359375], [892.3463134765625, 470.8451843261719]]","[[843.4054565429688, 571.1878051757812], [840.5383911132812, 572.62890625], [826.2028198242188, 571.1878051757812], [816.1679077148438, 602.891357421875], [829.0698852539062, 587.0396118164062], [824.769287109375, 604.3323974609375], [852.0067138671875, 582.7164306640625], [847.7061157226562, 536.6021728515625], [847.7061157226562, 535.1610717773438], [817.6015014648438, 600.0092163085938], [840.5383911132812, 503.45758056640625], [847.7061157226562, 657.6519775390625], [876.377197265625, 650.4466552734375], [839.1047973632812, 713.8536987304688], [877.8106689453125, 715.2947998046875], [821.9022216796875, 771.4965209960938], [876.377197265625, 767.1732788085938], [849.1397094726562, 769.3348999023438]]"
1,10,00:23:58,43148,3,top,clear,,,"[763, 182]","[[794.2357788085938, 304.11492919921875], [798.5440063476562, 301.2436828613281], [791.3635864257812, 302.6792907714844], [808.5965576171875, 302.6792907714844], [789.927490234375, 308.4217834472656], [820.0851440429688, 317.0355224609375], [795.6718139648438, 329.95611572265625], [824.3933715820312, 295.5011901855469], [794.2357788085938, 364.41107177734375], [855.987060546875, 358.6685791015625], [851.6788330078125, 360.1042175292969], [834.4459228515625, 362.9754333496094], [812.90478515625, 368.7179260253906], [854.551025390625, 413.22222900390625], [799.9800415039062, 414.6578674316406], [861.7313842773438, 464.9046325683594], [782.7471923828125, 444.805908203125], [822.2392883300781, 454.8552703857422]]","[[885.3635864257812, 616.4933471679688], [885.3635864257812, 612.16943359375], [885.3635864257812, 610.7281494140625], [885.3635864257812, 610.7281494140625], [908.3524780273438, 609.2868041992188], [878.1796264648438, 640.99560546875], [925.5940551757812, 636.6716918945312], [870.99560546875, 675.5869750976562], [947.1461181640625, 675.5869750976562], [869.558837890625, 704.4131469726562], [955.7669067382812, 702.9718017578125], [893.9844970703125, 710.1783447265625], [931.3412475585938, 708.737060546875], [863.8116455078125, 751.9762573242188], [960.0772705078125, 746.2109985351562], [850.8804321289062, 811.06982421875], [985.9397583007812, 792.3328247070312], [918.4100952148438, 801.7013244628906]]"
