rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
28,1,00:50:46,91387,21,bottom,short service,,,"[870, 585]","[[856.5574340820312, 485.9219970703125], [860.86376953125, 480.1725769042969], [853.6865844726562, 480.1725769042969], [866.6055297851562, 484.4846496582031], [846.5093994140625, 483.04730224609375], [873.78271484375, 507.48236083984375], [837.8967895507812, 506.04498291015625], [892.4434814453125, 518.981201171875], [819.2360229492188, 516.1065063476562], [901.0560913085938, 541.9788818359375], [809.1879272460938, 536.2294921875], [866.6055297851562, 550.60302734375], [845.073974609375, 550.60302734375], [863.734619140625, 586.5369262695312], [845.073974609375, 589.41162109375], [862.2991943359375, 623.908203125], [849.3802490234375, 616.7213745117188], [855.8397216796875, 620.3147888183594]]","[[958.5488891601562, 602.0189819335938], [958.5488891601562, 599.1404418945312], [959.9761352539062, 597.7011108398438], [958.5488891601562, 600.5797119140625], [985.6669311523438, 600.5797119140625], [949.9852294921875, 633.6831665039062], [999.9395751953125, 627.926025390625], [918.5853881835938, 648.0759887695312], [1008.5031127929688, 638.0009765625], [907.1672973632812, 642.31884765625], [984.2396240234375, 622.1688842773438], [967.1124877929688, 722.9186401367188], [994.2305297851562, 720.0401000976562], [964.2579345703125, 774.7327270507812], [991.3759765625, 767.5363159179688], [975.676025390625, 826.546875], [995.6577758789062, 827.9862060546875], [985.6669006347656, 827.2665405273438]]"
28,2,00:50:46,91406,22,top,net shot,,,"[838, 517]","[[884.8030395507812, 520.893310546875], [887.6448364257812, 516.5963745117188], [880.5404663085938, 516.5963745117188], [894.7492065429688, 519.4609375], [874.8568725585938, 522.3255615234375], [901.8536987304688, 539.5130004882812], [874.8568725585938, 545.2421875], [903.2745361328125, 565.2942504882812], [876.2777099609375, 556.7005004882812], [904.6954956054688, 586.778564453125], [881.9613037109375, 565.2942504882812], [900.4328002929688, 589.6431274414062], [881.9613037109375, 592.5076904296875], [913.2208251953125, 618.2888793945312], [897.5910034179688, 618.2888793945312], [876.2777099609375, 642.6378173828125], [889.0657958984375, 664.1221313476562], [882.6717529296875, 653.3799743652344]]","[[910.1521606445312, 633.4979858398438], [911.5830688476562, 629.1854858398438], [940.2020874023438, 624.8729248046875], [914.4450073242188, 630.6229858398438], [940.2020874023438, 629.1854858398438], [915.8759765625, 657.9356689453125], [958.804443359375, 652.1856079101562], [900.1354370117188, 705.3734130859375], [981.69970703125, 695.3108520507812], [878.671142578125, 732.6860961914062], [980.2687377929688, 729.8110961914062], [948.7877807617188, 734.1235961914062], [980.2687377929688, 731.2485961914062], [915.8759765625, 790.1864013671875], [958.804443359375, 754.2487182617188], [934.478271484375, 849.124267578125], [977.4068603515625, 814.6240844726562], [955.9425659179688, 831.8741760253906]]"
28,3,00:50:47,91425,21,bottom,net shot,,,"[856, 555]","[[947.6109619140625, 502.0506896972656], [950.461669921875, 497.758056640625], [943.3350830078125, 497.758056640625], [954.737548828125, 499.1889343261719], [934.783203125, 499.1889343261719], [964.7147216796875, 519.2212524414062], [921.9554443359375, 522.0830078125], [981.8184814453125, 540.6844482421875], [903.4263916015625, 542.1153564453125], [997.496826171875, 562.147705078125], [900.5758056640625, 565.0094604492188], [941.9097900390625, 566.4403686523438], [917.6795043945312, 566.4403686523438], [959.0134887695312, 609.3667602539062], [936.2085571289062, 599.3506469726562], [917.6795043945312, 642.2770385742188], [917.6795043945312, 642.2770385742188], [917.6795043945312, 642.2770385742188]]","[[937.5269775390625, 625.72216796875], [938.9530029296875, 621.4212036132812], [937.5269775390625, 621.4212036132812], [941.8050537109375, 625.72216796875], [961.7696533203125, 622.8548583984375], [951.787353515625, 647.226806640625], [968.8998413085938, 641.4922485351562], [956.0654296875, 681.6342163085938], [968.8998413085938, 678.7669067382812], [944.6572265625, 703.1387939453125], [928.9707641601562, 619.9876098632812], [968.8998413085938, 718.9088134765625], [984.5863037109375, 710.3070068359375], [946.083251953125, 780.555419921875], [957.4915771484375, 774.8209228515625], [974.60400390625, 809.228271484375], [976.030029296875, 767.6526489257812], [975.3170166015625, 788.4404602050781]]"
28,4,00:50:48,91445,22,top,lob,,,"[879, 504]","[[905.9620361328125, 543.3931274414062], [908.8173828125, 537.6604614257812], [900.2514038085938, 539.0936279296875], [913.100341796875, 537.6604614257812], [894.5408935546875, 540.5267944335938], [924.5216064453125, 556.2916870117188], [893.1131591796875, 557.724853515625], [943.0811157226562, 557.724853515625], [944.5087890625, 557.724853515625], [965.9236450195312, 567.7570190429688], [965.9236450195312, 567.7570190429688], [914.5279541015625, 605.0194702148438], [897.3961791992188, 602.1531372070312], [917.38330078125, 630.8164672851562], [893.1131591796875, 629.3833618164062], [924.5216064453125, 663.7794189453125], [888.8302612304688, 670.9452514648438], [906.6759338378906, 667.3623352050781]]","[[910.1312866210938, 603.7083740234375], [912.99609375, 597.952880859375], [912.99609375, 597.952880859375], [915.8609008789062, 599.3917846679688], [940.2115478515625, 597.952880859375], [918.7256469726562, 623.8524169921875], [957.4003295898438, 623.8524169921875], [921.5904541015625, 665.5794677734375], [980.3187255859375, 662.7017211914062], [902.9692993164062, 705.8675537109375], [908.6989135742188, 635.3633422851562], [953.1031494140625, 695.7955322265625], [978.88623046875, 690.0400390625], [920.1580810546875, 750.4722900390625], [950.2383422851562, 731.76708984375], [940.2115478515625, 808.0267333984375], [963.1299438476562, 787.8826904296875], [951.6707458496094, 797.9547119140625]]"
28,5,00:50:49,91473,21,bottom,smash,,,"[1012, 470]","[[977.9730834960938, 487.4337463378906], [982.2552490234375, 483.1143798828125], [975.118408203125, 483.1143798828125], [986.5372924804688, 484.5541687011719], [967.9815673828125, 484.5541687011719], [995.1015625, 506.15106201171875], [957.9899291992188, 506.15106201171875], [1017.9393920898438, 530.6275634765625], [936.5794677734375, 526.3082275390625], [1026.503662109375, 552.2244873046875], [938.0067749023438, 549.3449096679688], [986.5372924804688, 552.2244873046875], [959.4172973632812, 552.2244873046875], [1005.0930786132812, 582.4601440429688], [938.0067749023438, 582.4601440429688], [1035.06787109375, 608.3764038085938], [919.4509887695312, 615.5753784179688], [977.2594299316406, 611.9758911132812]]","[[1087.571044921875, 621.3472290039062], [1086.14111328125, 615.59375], [1084.711181640625, 615.59375], [1056.112060546875, 618.4705200195312], [1078.9913330078125, 622.7855834960938], [1048.9622802734375, 635.7308349609375], [1074.7015380859375, 657.3062744140625], [1033.2327880859375, 617.0321655273438], [1106.1605224609375, 673.1282958984375], [1033.2327880859375, 596.89501953125], [1159.06884765625, 668.813232421875], [1071.841552734375, 717.7175903320312], [1057.5419921875, 729.2244873046875], [1047.5323486328125, 769.4987182617188], [1086.14111328125, 791.0741577148438], [1001.7737426757812, 811.2112426757812], [1033.2327880859375, 824.156494140625], [1017.5032653808594, 817.6838684082031]]"
28,6,00:50:49,91486,22,top,defensive shot,,,"[894, 476]","[[1002.7471313476562, 463.69744873046875], [1007.046142578125, 460.82403564453125], [1001.3140869140625, 460.82403564453125], [1015.644287109375, 460.82403564453125], [999.881103515625, 460.82403564453125], [1025.6754150390625, 483.81121826171875], [998.4480590820312, 476.62774658203125], [1031.407470703125, 513.98193359375], [995.5819702148438, 503.92498779296875], [1029.974609375, 545.5892944335938], [982.6847534179688, 526.9122314453125], [1017.0773315429688, 536.9691162109375], [997.0150756835938, 532.6590576171875], [1032.840576171875, 575.760009765625], [972.6536865234375, 562.8297119140625], [1051.4698486328125, 607.367431640625], [958.323486328125, 601.62060546875], [1004.8966674804688, 604.4940185546875]]","[[1183.9029541015625, 737.1818237304688], [1183.9029541015625, 732.856201171875], [1182.4703369140625, 732.856201171875], [1153.8189697265625, 734.298095703125], [1182.4703369140625, 737.1818237304688], [1136.6280517578125, 758.81005859375], [1168.1446533203125, 771.7870483398438], [1116.572021484375, 799.182861328125], [1171.0098876953125, 820.81103515625], [1129.4652099609375, 826.5785522460938], [1209.6893310546875, 855.416259765625], [1119.4371337890625, 843.8812255859375], [1148.088623046875, 851.090576171875], [1172.4423828125, 879.9282836914062], [1205.3916015625, 884.25390625], [1125.16748046875, 914.5335083007812], [1216.8521728515625, 959.2318725585938], [1171.0098266601562, 936.8826904296875]]"
28,7,00:50:50,91518,21,bottom,lob,,,"[767, 586]","[[969.3486328125, 477.2950744628906], [973.6594848632812, 474.4296569824219], [965.0376586914062, 472.9969787597656], [979.4074096679688, 474.4296569824219], [960.7267456054688, 474.4296569824219], [986.5923461914062, 495.92010498046875], [947.7939453125, 493.0546875], [1009.5839233398438, 521.7086181640625], [934.8612060546875, 517.4105224609375], [1012.4578857421875, 541.766357421875], [930.5502319335938, 541.766357421875], [972.2225341796875, 541.766357421875], [949.23095703125, 541.766357421875], [990.9031982421875, 577.5836791992188], [940.609130859375, 577.5836791992188], [975.0964965820312, 607.6703491210938], [931.9872436523438, 620.5645751953125], [953.5418701171875, 614.1174621582031]]","[[859.7717895507812, 686.1954956054688], [861.20654296875, 681.8729858398438], [861.20654296875, 681.8729858398438], [865.5105590820312, 684.754638671875], [887.0309448242188, 683.3137817382812], [881.2921752929688, 702.044677734375], [876.9881591796875, 709.2489013671875], [915.7247314453125, 723.6572875976562], [874.1187744140625, 723.6572875976562], [944.4186401367188, 738.0657348632812], [848.2942504882812, 717.8939208984375], [924.3328857421875, 769.76416015625], [932.9410400390625, 762.5599975585938], [920.0288696289062, 838.9244384765625], [884.1615600585938, 766.8825073242188], [963.0695190429688, 856.2145385742188], [888.4656982421875, 834.6019287109375], [925.7676086425781, 845.4082336425781]]"
28,8,00:50:51,91541,22,top,clear,,,"[765, 294]","[[842.0115356445312, 450.0141906738281], [846.2926025390625, 447.1309509277344], [844.8655395507812, 445.6893310546875], [853.4276733398438, 448.57257080078125], [861.98974609375, 450.0141906738281], [857.7086791992188, 464.430419921875], [870.5518188476562, 464.430419921875], [859.1356811523438, 486.05474853515625], [893.384033203125, 484.6131591796875], [861.98974609375, 499.0293273925781], [861.98974609375, 499.0293273925781], [890.530029296875, 513.445556640625], [897.6651000976562, 510.5623474121094], [861.98974609375, 552.3693237304688], [901.9461059570312, 556.6942138671875], [886.2489624023438, 591.2931518554688], [937.6214599609375, 591.2931518554688], [911.9352111816406, 591.2931518554688]]","[[828.9561157226562, 653.1245727539062], [830.3902587890625, 647.37255859375], [830.3902587890625, 647.37255859375], [831.824462890625, 651.6865844726562], [857.6388549804688, 648.8106079101562], [831.824462890625, 683.3228759765625], [877.716796875, 670.3807983398438], [831.824462890625, 735.0914306640625], [902.09716796875, 704.8931274414062], [820.351318359375, 772.4797973632812], [915.00439453125, 735.0914306640625], [869.1119995117188, 748.0335693359375], [900.6630249023438, 739.4054565429688], [827.5220336914062, 796.926025390625], [892.0581665039062, 783.9839477539062], [830.3902587890625, 861.63671875], [925.0432739257812, 838.6284790039062], [877.7167663574219, 850.1325988769531]]"
28,9,00:50:52,91578,21,bottom,smash,,,"[751, 506]","[[893.4031982421875, 493.32867431640625], [897.6941528320312, 489.0115661621094], [889.1123657226562, 489.0115661621094], [903.4154052734375, 490.45062255859375], [883.39111328125, 491.8896484375], [919.148681640625, 512.0360107421875], [879.1002807617188, 512.0360107421875], [940.6032104492188, 522.1091918945312], [863.3668823242188, 533.6214599609375], [950.6152954101562, 539.3775634765625], [866.2274780273438, 527.8652954101562], [919.148681640625, 543.6946411132812], [890.5426025390625, 545.1336669921875], [947.7546997070312, 565.2800903320312], [867.6578369140625, 565.2800903320312], [982.0819702148438, 596.9386596679688], [841.912353515625, 599.8167114257812], [911.9971618652344, 598.377685546875]]","[[648.0250854492188, 576.109375], [642.2739868164062, 564.6138305664062], [643.7117919921875, 576.109375], [623.5831298828125, 594.7896118164062], [643.7117919921875, 581.857177734375], [639.3984985351562, 623.5284423828125], [665.2781982421875, 597.6635131835938], [689.7200927734375, 604.8482055664062], [729.9773559570312, 601.9743041992188], [695.4711303710938, 604.8482055664062], [722.78857421875, 600.537353515625], [663.8403930664062, 693.9385375976562], [688.2822875976562, 686.7538452148438], [675.3424682617188, 754.2900390625], [740.0416870117188, 709.7449340820312], [623.5831298828125, 784.4658813476562], [761.6080322265625, 767.2225952148438], [692.5955810546875, 775.84423828125]]"
28,10,00:50:52,91588,22,top,defensive shot,,,"[827, 472]","[[849.2493896484375, 514.5841064453125], [853.5518798828125, 510.2830810546875], [844.9468994140625, 510.2830810546875], [860.72265625, 508.8493957519531], [842.07861328125, 511.716796875], [875.064208984375, 523.1861572265625], [844.9468994140625, 530.3545532226562], [898.0108032226562, 530.3545532226562], [847.8152465820312, 548.9923095703125], [926.6939697265625, 547.5586547851562], [834.9078369140625, 602.038330078125], [898.0108032226562, 551.8596801757812], [876.4984130859375, 557.5943603515625], [930.9963989257812, 583.4005126953125], [846.3810424804688, 576.232177734375], [976.8894653320312, 603.4719848632812], [834.9078369140625, 603.4719848632812], [905.8986511230469, 603.4719848632812]]","[[627.695068359375, 706.518798828125], [627.695068359375, 705.0819702148438], [660.7598876953125, 703.6452026367188], [630.5702514648438, 710.8291015625], [657.8846435546875, 706.518798828125], [627.695068359375, 743.875], [680.8862915039062, 728.0704345703125], [626.2574462890625, 792.7254638671875], [705.3255004882812, 765.4266967773438], [646.3838500976562, 805.6564331054688], [742.7030639648438, 791.2886962890625], [656.447021484375, 818.5874633789062], [713.9510498046875, 804.2197265625], [632.0078125, 871.748291015625], [735.5150756835938, 805.6564331054688], [617.6318359375, 933.5297241210938], [770.0175170898438, 851.6333618164062], [693.8246765136719, 892.58154296875]]"
