rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
29,1,00:22:45,40973,0,bottom,short service,,,"[924, 624]","[[853.400390625, 469.954833984375], [856.2725830078125, 465.6484069824219], [849.0921020507812, 465.6484069824219], [862.01708984375, 465.6484069824219], [841.9114990234375, 467.0838623046875], [870.6337280273438, 487.1806945800781], [833.2947998046875, 482.87420654296875], [889.3032836914062, 514.4549560546875], [811.7530517578125, 494.35809326171875], [876.3782348632812, 505.84197998046875], [800.2642211914062, 498.6645812988281], [860.5809326171875, 546.03564453125], [839.039306640625, 546.03564453125], [851.9642944335938, 583.3582763671875], [839.039306640625, 590.5357055664062], [856.2725830078125, 633.6002807617188], [844.7837524414062, 614.93896484375], [850.5281677246094, 624.2696228027344]]","[[946.8007202148438, 616.2852783203125], [946.8007202148438, 610.5385131835938], [946.8007202148438, 610.5385131835938], [948.2237548828125, 613.4119262695312], [970.9933471679688, 610.5385131835938], [942.5313720703125, 642.1459350585938], [990.916748046875, 636.3991088867188], [919.7617797851562, 660.8230590820312], [1005.1477661132812, 660.8230590820312], [918.338623046875, 646.4559936523438], [983.80126953125, 662.259765625], [965.3009643554688, 718.2910766601562], [993.7630004882812, 713.98095703125], [963.8778686523438, 781.5057983398438], [985.2244262695312, 771.448974609375], [983.80126953125, 831.7904052734375], [983.80126953125, 834.6637573242188], [983.80126953125, 833.2270812988281]]"
29,2,00:22:46,40995,21,top,net shot,,,"[936, 583]","[[886.3248291015625, 493.51153564453125], [887.760009765625, 489.2032775878906], [880.5842895507812, 490.639404296875], [889.195068359375, 490.639404296875], [869.103271484375, 494.9476013183594], [883.45458984375, 513.6165771484375], [870.5384521484375, 516.4887084960938], [894.9356079101562, 527.977294921875], [899.2410278320312, 535.1576538085938], [899.2410278320312, 530.8494262695312], [902.1112670898438, 535.1576538085938], [871.9735107421875, 568.1873779296875], [857.6222534179688, 568.1873779296875], [867.668212890625, 614.1417236328125], [876.2789916992188, 611.2695922851562], [836.0953369140625, 631.3746337890625], [867.668212890625, 661.5321044921875], [851.8817749023438, 646.453369140625]]","[[921.2487182617188, 633.977294921875], [905.4067993164062, 625.3434448242188], [911.1675415039062, 628.2213745117188], [908.2871704101562, 629.660400390625], [931.3299560546875, 628.2213745117188], [903.9666137695312, 658.4401245117188], [950.05224609375, 654.1231079101562], [891.0050048828125, 695.8536987304688], [970.2147216796875, 684.341796875], [872.28271484375, 718.87744140625], [981.736083984375, 721.7554321289062], [931.3299560546875, 733.267333984375], [963.0137939453125, 728.9503784179688], [903.9666137695312, 792.2656860351562], [951.492431640625, 763.4860229492188], [905.4067993164062, 858.4590454101562], [965.8941650390625, 821.04541015625], [935.6504821777344, 839.7522277832031]]"
29,3,00:22:47,41022,0,bottom,lob,,,"[1100, 669]","[[980.25244140625, 489.34600830078125], [983.11767578125, 485.0372619628906], [975.9545288085938, 485.0372619628906], [984.5501708984375, 487.9097595214844], [967.35888671875, 487.9097595214844], [983.11767578125, 506.5809020996094], [954.4654541015625, 510.8896484375], [1003.1741333007812, 495.0909729003906], [937.2740478515625, 542.4869384765625], [988.8480834960938, 558.2855834960938], [938.7066650390625, 574.0842895507812], [967.35888671875, 559.7218627929688], [948.7349243164062, 562.5942993164062], [987.4154663085938, 597.0641479492188], [973.08935546875, 595.6278686523438], [984.5501708984375, 643.0238647460938], [965.92626953125, 635.8427124023438], [975.2382202148438, 639.4332885742188]]","[[966.5393676757812, 612.5889892578125], [980.857666015625, 608.266357421875], [1006.6307373046875, 606.8255004882812], [985.1531982421875, 609.7072143554688], [1006.6307373046875, 612.5889892578125], [975.13037109375, 638.5244140625], [1012.3580932617188, 638.5244140625], [962.243896484375, 663.0189208984375], [1025.24462890625, 648.6103515625], [936.4707641601562, 696.1586303710938], [1036.6993408203125, 647.1694946289062], [977.9940185546875, 712.008056640625], [1005.1989135742188, 709.1263427734375], [959.3801879882812, 771.0831909179688], [1005.1989135742188, 733.6209106445312], [976.5621948242188, 791.2551879882812], [1008.0626220703125, 768.2014770507812], [992.3124084472656, 779.7283325195312]]"
29,4,00:22:48,41064,21,top,drop,,,"[1144, 322]","[[1126.58740234375, 412.3295593261719], [1130.8916015625, 409.45965576171875], [1122.2833251953125, 408.0247497558594], [1139.4998779296875, 412.3295593261719], [1120.8486328125, 409.45965576171875], [1129.4569091796875, 442.4635009765625], [1109.370849609375, 422.37420654296875], [1136.6304931640625, 428.114013671875], [1102.197265625, 396.54510498046875], [1155.28173828125, 410.8946228027344], [1155.28173828125, 410.8946228027344], [1106.50146484375, 492.6866760253906], [1086.4154052734375, 486.9468994140625], [1128.0220947265625, 528.5604248046875], [1069.1988525390625, 528.5604248046875], [1159.5858154296875, 552.9545288085938], [1074.937744140625, 570.1739501953125], [1117.2617797851562, 561.5642395019531]]","[[990.19921875, 631.5082397460938], [980.15087890625, 625.76025390625], [985.892822265625, 627.197265625], [983.0218505859375, 628.63427734375], [1007.4248657226562, 628.63427734375], [968.6671142578125, 657.3739013671875], [1017.4732055664062, 657.3739013671875], [948.5704956054688, 690.4244384765625], [1037.56982421875, 696.17236328125], [935.6511840820312, 723.4750366210938], [1046.1827392578125, 724.9119873046875], [967.2315673828125, 732.096923828125], [1003.1184692382812, 730.659912109375], [938.5221557617188, 779.5172729492188], [1030.3924560546875, 793.8871459960938], [912.68359375, 834.1226196289062], [1034.6988525390625, 858.55126953125], [973.6912231445312, 846.3369445800781]]"
29,5,00:22:49,41083,0,bottom,net shot,,,"[1164, 596]","[[1089.5689697265625, 444.12432861328125], [1093.8763427734375, 441.2585754394531], [1086.697265625, 441.2585754394531], [1098.18359375, 442.6914367675781], [1079.518310546875, 444.12432861328125], [1102.490966796875, 459.8860168457031], [1065.1602783203125, 462.7518005371094], [1109.669921875, 478.51348876953125], [1045.059326171875, 485.67791748046875], [1116.8489990234375, 492.84234619140625], [1042.1876220703125, 512.9027099609375], [1083.82568359375, 507.1711730957031], [1060.85302734375, 507.1711730957031], [1108.234130859375, 540.12744140625], [1066.5960693359375, 551.5905151367188], [1093.8763427734375, 581.6810302734375], [1043.6234130859375, 565.9193725585938], [1068.7498779296875, 573.8002014160156]]","[[1090.5057373046875, 664.8408203125], [1086.2054443359375, 661.9701538085938], [1087.638916015625, 660.5348510742188], [1063.2703857421875, 663.4054565429688], [1087.638916015625, 663.4054565429688], [1050.3695068359375, 690.676513671875], [1096.239501953125, 694.9824829101562], [1031.7347412109375, 719.3828735351562], [1119.174560546875, 712.206298828125], [1003.0659790039062, 756.7011108398438], [1137.8092041015625, 706.4650268554688], [1046.069091796875, 772.4896850585938], [1083.3385009765625, 771.0543823242188], [1005.9328002929688, 821.2904663085938], [1112.00732421875, 798.3253784179688], [968.6633911132812, 872.9619750976562], [1136.375732421875, 855.7380981445312], [1052.5195617675781, 864.3500366210938]]"
29,6,00:22:50,41105,21,top,net shot,,,"[1070, 489]","[[1037.2666015625, 489.4113464355469], [1038.679443359375, 486.5475158691406], [1033.0281982421875, 486.5475158691406], [1044.330810546875, 487.9794616699219], [1027.3768310546875, 490.8432312011719], [1048.5693359375, 508.026123046875], [1027.3768310546875, 509.4580078125], [1049.982177734375, 529.5046997070312], [1027.3768310546875, 535.2323608398438], [1055.633544921875, 548.1195068359375], [1044.330810546875, 542.391845703125], [1044.330810546875, 558.142822265625], [1023.1383666992188, 555.2789916992188], [1061.2847900390625, 601.0999755859375], [1047.156494140625, 586.7808837890625], [1048.5693359375, 615.4190673828125], [1034.4410400390625, 636.8975830078125], [1041.5051879882812, 626.1583251953125]]","[[998.5731201171875, 653.240478515625], [985.614990234375, 647.4837036132812], [991.3741455078125, 648.9229125976562], [987.0547485351562, 648.9229125976562], [1012.9710083007812, 647.4837036132812], [981.2955932617188, 677.706787109375], [1030.24853515625, 676.2676391601562], [959.69873046875, 716.5650024414062], [1048.9658203125, 715.1257934570312], [949.6201171875, 745.348876953125], [1056.164794921875, 741.0313110351562], [1000.0128784179688, 753.9840698242188], [1034.56787109375, 751.1056518554688], [974.0966186523438, 812.9910278320312], [1041.766845703125, 784.2071533203125], [982.7354125976562, 873.4371948242188], [1046.086181640625, 836.0181274414062], [1014.4107971191406, 854.7276611328125]]"
29,7,00:22:50,41124,0,bottom,drive,,,"[1172, 527]","[[1032.3134765625, 469.9060363769531], [1035.1864013671875, 467.029296875], [1028.0040283203125, 467.029296875], [1038.0594482421875, 468.4676513671875], [1020.821533203125, 468.4676513671875], [1040.932373046875, 484.2897644042969], [1006.4566040039062, 487.1665344238281], [1042.368896484375, 504.427001953125], [987.7822265625, 510.18048095703125], [1052.42431640625, 524.564208984375], [984.9092407226562, 540.3862915039062], [1025.1309814453125, 534.6328125], [1002.1471557617188, 533.1943969726562], [1048.1148681640625, 569.1537475585938], [996.4011840820312, 574.9072265625], [1043.805419921875, 610.8665771484375], [976.290283203125, 620.9351806640625], [1010.0478515625, 615.90087890625]]","[[1107.880615234375, 646.0913696289062], [1107.880615234375, 641.7694702148438], [1107.880615234375, 641.7694702148438], [1084.8839111328125, 643.2100830078125], [1107.880615234375, 643.2100830078125], [1069.0738525390625, 667.7011108398438], [1117.9415283203125, 670.5823974609375], [1041.765380859375, 684.9888305664062], [1139.5008544921875, 667.7011108398438], [1005.8331909179688, 697.9546508789062], [1142.37548828125, 666.2604370117188], [1059.0128173828125, 739.7334594726562], [1096.38232421875, 744.0553588867188], [1030.26708984375, 782.952880859375], [1112.1923828125, 748.3773193359375], [1017.3314819335938, 816.0877075195312], [1122.25341796875, 795.918701171875], [1069.7924499511719, 806.0032043457031]]"
29,8,00:22:51,41134,21,top,drive,,,"[1029, 420]","[[1005.9951782226562, 470.0679016113281], [1010.275634765625, 464.3175964355469], [1001.7147216796875, 467.1927185058594], [1014.5559692382812, 462.8800048828125], [998.8610229492188, 468.6303405761719], [1030.2509765625, 478.6933288574219], [1003.1415405273438, 488.75634765625], [1030.2509765625, 513.1951293945312], [981.7392578125, 498.81939697265625], [1000.287841796875, 498.81939697265625], [1035.958251953125, 495.9442138671875], [1038.8118896484375, 537.6339111328125], [1017.40966796875, 541.9466552734375], [1070.2017822265625, 576.4484252929688], [1005.9951782226562, 587.9490356445312], [973.1783447265625, 625.3259887695312], [974.6051635742188, 622.4508056640625], [973.8917541503906, 623.8883972167969]]","[[1032.683349609375, 619.417724609375], [1034.1187744140625, 615.1075439453125], [1059.9556884765625, 615.1075439453125], [1035.5540771484375, 617.9810180664062], [1057.0848388671875, 617.9810180664062], [1022.6356811523438, 642.4053955078125], [1071.438720703125, 643.8421630859375], [995.3634643554688, 674.0134887695312], [1088.663330078125, 678.3236694335938], [969.5265502929688, 681.1971435546875], [1088.663330078125, 697.0011596679688], [1035.5540771484375, 718.5521240234375], [1068.56787109375, 717.1153564453125], [989.6218872070312, 758.7805786132812], [1082.9217529296875, 753.03369140625], [1011.1526489257812, 813.3763427734375], [1097.275634765625, 800.4456787109375], [1054.2141418457031, 806.9110107421875]]"
29,9,00:22:51,41147,0,bottom,defensive shot,,,"[958, 452]","[[1016.0986938476562, 462.6103515625], [1018.96923828125, 459.744873046875], [1011.7928466796875, 459.744873046875], [1023.2749633789062, 462.6103515625], [1003.1812744140625, 462.6103515625], [1031.8865966796875, 481.2362060546875], [990.2637939453125, 484.1016845703125], [1044.8040771484375, 502.7275085449219], [980.2169189453125, 507.0257873535156], [1060.592041015625, 521.3533325195312], [971.605224609375, 522.7860717773438], [1023.2749633789062, 534.2481079101562], [996.0048828125, 535.6808471679688], [1044.8040771484375, 568.6342163085938], [981.6521606445312, 565.7687377929688], [1056.2862548828125, 613.0496215820312], [1004.6165161132812, 603.0203247070312], [1030.4513854980469, 608.0349731445312]]","[[940.9409790039062, 626.7343139648438], [960.984619140625, 606.6072998046875], [996.7769165039062, 605.169677734375], [965.2796630859375, 609.4826049804688], [989.6184692382812, 605.169677734375], [958.1212158203125, 642.5484008789062], [999.6403198242188, 626.7343139648438], [948.0994262695312, 681.3646850585938], [1005.3670043945312, 593.6685180664062], [926.6240844726562, 714.4304809570312], [996.7769165039062, 556.2898559570312], [971.0064697265625, 715.8681030273438], [999.6403198242188, 708.6798706054688], [943.8043823242188, 771.9362182617188], [996.7769165039062, 767.6231689453125], [949.5310668945312, 840.9429931640625], [1015.3888549804688, 825.12890625], [982.4599609375, 833.0359497070312]]"
29,10,00:22:52,41162,21,top,net shot,,,"[949, 534]","[[976.1747436523438, 476.3373718261719], [979.0401000976562, 470.60748291015625], [971.876708984375, 473.4723815917969], [984.770751953125, 469.1750183105469], [967.5787353515625, 474.90484619140625], [996.2321166992188, 480.6347351074219], [971.876708984375, 494.9594421386719], [1016.2894287109375, 497.8243713378906], [980.4727172851562, 517.8789672851562], [1023.4528198242188, 497.8243713378906], [984.770751953125, 536.5010986328125], [996.2321166992188, 540.7984619140625], [974.7420654296875, 546.5283813476562], [1026.318115234375, 569.4478759765625], [976.1747436523438, 580.9076538085938], [1040.6448974609375, 615.2869262695312], [953.2520141601562, 629.6116333007812], [996.9484558105469, 622.4492797851562]]","[[942.54443359375, 627.71728515625], [915.2048950195312, 626.282470703125], [942.54443359375, 623.4127807617188], [916.643798828125, 630.5869750976562], [942.54443359375, 627.71728515625], [908.0103149414062, 663.5880126953125], [956.93359375, 652.1094360351562], [896.4989624023438, 695.154296875], [979.956298828125, 693.719482421875], [882.1096801757812, 728.1553955078125], [972.76171875, 718.111572265625], [931.032958984375, 735.3295288085938], [965.5670776367188, 729.5902099609375], [899.3767700195312, 794.157470703125], [978.5173950195312, 775.5047607421875], [897.9378051757812, 855.855224609375], [994.3455200195312, 830.0283203125], [946.1416625976562, 842.9417724609375]]"
