rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
6,1,00:30:08,54248,25,top,short service,,,"[947, 419]","[[979.2960815429688, 357.1486511230469], [983.6162719726562, 354.27587890625], [976.416015625, 352.8394775390625], [989.3765258789062, 355.7122802734375], [972.0958862304688, 355.7122802734375], [993.6967163085938, 374.38531494140625], [959.1353759765625, 374.38531494140625], [1002.3370361328125, 391.6219787597656], [940.4146118164062, 384.44000244140625], [998.016845703125, 391.6219787597656], [928.8942260742188, 401.67669677734375], [982.1762084960938, 424.6589050292969], [962.0154418945312, 424.6589050292969], [989.3765258789062, 460.5686340332031], [964.8955688476562, 466.3141784667969], [986.4963989257812, 489.2964172363281], [966.335693359375, 510.8422546386719], [976.4160461425781, 500.0693359375]]","[[883.6073608398438, 575.9164428710938], [873.5659790039062, 565.8294067382812], [893.648681640625, 568.71142578125], [873.5659790039062, 570.1524047851562], [893.648681640625, 571.5934448242188], [856.3522338867188, 600.4134521484375], [903.6900024414062, 604.7365112304688], [833.4005737304688, 627.7925415039062], [912.2969360351562, 637.8795776367188], [854.9177856445312, 646.5255126953125], [890.7797241210938, 636.4385375976562], [864.9591064453125, 676.78662109375], [893.648681640625, 679.6686401367188], [863.5245971679688, 732.9857177734375], [889.34521484375, 720.0166625976562], [870.697021484375, 786.3027954101562], [887.9107666015625, 766.1287231445312], [879.3038940429688, 776.2157592773438]]"
6,2,00:30:09,54270,24,bottom,net shot,,,"[834, 502]","[[965.61669921875, 368.93572998046875], [969.8984375, 366.07293701171875], [962.7622680664062, 366.07293701171875], [974.1800537109375, 366.07293701171875], [957.0534057617188, 366.07293701171875], [984.1705932617188, 378.9554443359375], [948.4901123046875, 381.8182678222656], [1001.2973022460938, 396.13214111328125], [935.6451416015625, 407.583251953125], [1009.860595703125, 416.1716003417969], [931.3634033203125, 439.0738525390625], [968.4711303710938, 424.75994873046875], [948.4901123046875, 424.75994873046875], [972.7528686523438, 454.81915283203125], [955.6261596679688, 459.11328125], [957.0534057617188, 482.0155334472656], [939.9268188476562, 502.05499267578125], [948.4901123046875, 492.03526306152344]]","[[846.5634765625, 570.2440185546875], [825.124755859375, 573.1244506835938], [845.13427734375, 565.9234008789062], [825.124755859375, 576.0048217773438], [845.13427734375, 570.2440185546875], [820.8369750976562, 604.8089599609375], [857.9974365234375, 590.4069213867188], [810.832275390625, 635.0533447265625], [882.2947387695312, 597.6079711914062], [910.8796997070312, 593.2872924804688], [910.8796997070312, 593.2872924804688], [833.7002563476562, 665.2976684570312], [866.572998046875, 665.2976684570312], [819.4077758789062, 678.259521484375], [892.2994384765625, 709.944091796875], [820.8369750976562, 717.1451416015625], [888.01171875, 757.470947265625], [854.4243469238281, 737.3080444335938]]"
6,3,00:30:09,54295,25,top,lob,,,"[1172, 414]","[[1063.59619140625, 446.67364501953125], [1065.0242919921875, 443.8056640625], [1062.16796875, 443.8056640625], [1066.4525146484375, 445.2396545410156], [1052.1707763671875, 443.8056640625], [1056.4552001953125, 462.4477233886719], [1040.7452392578125, 450.9757080078125], [1025.03515625, 446.67364501953125], [1062.16796875, 471.0517883300781], [1015.0379638671875, 440.9376525878906], [1077.8779296875, 481.08984375], [1027.8916015625, 492.5618591308594], [1009.3251953125, 491.1278381347656], [1043.6015625, 506.9019470214844], [1005.0405883789062, 529.8460083007812], [1052.1707763671875, 549.922119140625], [970.7642822265625, 516.93994140625], [1011.467529296875, 533.4310302734375]]","[[997.873291015625, 593.2523193359375], [996.4345092773438, 590.38232421875], [996.4345092773438, 591.8173217773438], [974.854248046875, 591.8173217773438], [994.9959106445312, 593.2523193359375], [957.5899658203125, 614.7770385742188], [993.55712890625, 620.5169677734375], [940.32568359375, 652.086669921875], [1005.066650390625, 657.8265991210938], [951.835205078125, 679.3513793945312], [1032.40185546875, 682.2213745117188], [944.6416625976562, 687.9613037109375], [969.0994873046875, 690.8312377929688], [966.2221069335938, 710.9210815429688], [1010.8214111328125, 729.5758666992188], [973.4154663085938, 752.53564453125], [1007.9440307617188, 788.4102172851562], [990.6797485351562, 770.4729309082031]]"
6,4,00:30:10,54323,24,bottom,smash,,,"[1189, 390]","[[1023.53857421875, 362.6070861816406], [1026.381591796875, 359.74798583984375], [1019.2739868164062, 359.74798583984375], [1030.64599609375, 359.74798583984375], [1012.16650390625, 359.74798583984375], [1032.067626953125, 371.184326171875], [997.9514770507812, 376.90252685546875], [1033.489013671875, 385.4798278808594], [985.1580200195312, 398.345703125], [1039.175048828125, 394.0570983886719], [985.1580200195312, 434.0843811035156], [1022.1170043945312, 414.0707702636719], [1000.7944946289062, 416.9298400878906], [1037.7535400390625, 436.9434509277344], [985.1580200195312, 448.37982177734375], [1046.282470703125, 465.534423828125], [959.571044921875, 468.39349365234375], [1002.9267578125, 466.9639587402344]]","[[1253.2183837890625, 710.355224609375], [1248.9078369140625, 695.9476928710938], [1253.2183837890625, 706.032958984375], [1233.102294921875, 695.9476928710938], [1250.3446044921875, 710.355224609375], [1210.112548828125, 700.2699584960938], [1241.7235107421875, 744.9332275390625], [1194.30712890625, 682.98095703125], [1238.8497314453125, 755.0184936523438], [1195.7440185546875, 682.98095703125], [1250.3446044921875, 746.3739013671875], [1177.0648193359375, 778.0704956054688], [1200.054443359375, 796.8002319335938], [1128.2115478515625, 786.7150268554688], [1240.28662109375, 840.0227661132812], [1087.9794921875, 811.2077026367188], [1270.460693359375, 899.093505859375], [1179.2200927734375, 855.1506042480469]]"
6,5,00:30:11,54337,25,top,net shot,,,"[1057, 386]","[[1073.805419921875, 352.4056091308594], [1073.805419921875, 348.105224609375], [1069.5023193359375, 348.105224609375], [1075.23974609375, 349.5386657714844], [1060.8961181640625, 349.5386657714844], [1052.2899169921875, 359.5729064941406], [1055.1585693359375, 365.3067321777344], [1066.633544921875, 386.80865478515625], [1068.0679931640625, 386.80865478515625], [1085.2803955078125, 401.1432189941406], [1083.845947265625, 401.1432189941406], [1045.1181640625, 406.8770751953125], [1032.208740234375, 409.7440185546875], [1069.5023193359375, 426.9455261230469], [1014.996337890625, 452.7478332519531], [1062.33056640625, 461.3486022949219], [977.7027587890625, 468.515869140625], [1020.0166625976562, 464.93223571777344]]","[[1157.175048828125, 660.5612182617188], [1144.2476806640625, 654.8145141601562], [1148.5567626953125, 654.8145141601562], [1145.6839599609375, 657.6878662109375], [1167.229736328125, 657.6878662109375], [1129.8837890625, 689.2947998046875], [1184.46630859375, 687.858154296875], [1115.5198974609375, 728.0851440429688], [1194.52099609375, 732.3952026367188], [1111.2108154296875, 761.1287841796875], [1167.229736328125, 722.3384399414062], [1135.6292724609375, 759.6920776367188], [1170.1025390625, 759.6920776367188], [1104.0289306640625, 789.8623657226562], [1204.5758056640625, 798.4824829101562], [1096.846923828125, 845.8928833007812], [1211.757568359375, 857.3862915039062], [1154.30224609375, 851.6395874023438]]"
6,6,00:30:12,54360,24,bottom,net shot,,,"[909, 512]","[[1016.0961303710938, 357.9800109863281], [1020.4049072265625, 353.6678161621094], [1013.2236938476562, 353.6678161621094], [1024.713623046875, 353.6678161621094], [1007.4786987304688, 353.6678161621094], [1031.8948974609375, 366.60443115234375], [994.5524291992188, 366.60443115234375], [1054.8748779296875, 385.2906188964844], [980.1898803710938, 388.1654357910156], [1063.492431640625, 408.2890319824219], [973.0086669921875, 408.2890319824219], [1016.0961303710938, 406.85162353515625], [993.1161499023438, 405.41424560546875], [1023.27734375, 437.03704833984375], [985.9349365234375, 438.4744567871094], [1013.2236938476562, 465.7850646972656], [968.7000122070312, 480.1590576171875], [990.9618530273438, 472.97206115722656]]","[[956.069091796875, 606.0115356445312], [954.6337280273438, 601.7066040039062], [956.069091796875, 601.7066040039062], [935.974365234375, 607.4464721679688], [956.069091796875, 604.5765380859375], [931.6683959960938, 630.4060668945312], [964.6809692382812, 628.9711303710938], [976.1636962890625, 647.6257934570312], [979.0343017578125, 649.0607299804688], [1010.6116333007812, 636.14599609375], [1010.6116333007812, 637.5809326171875], [928.7976684570312, 700.7198486328125], [957.5043334960938, 705.0247192382812], [915.8796997070312, 703.5897827148438], [980.4696655273438, 753.8138427734375], [911.5737915039062, 750.9439086914062], [984.7756958007812, 805.4729614257812], [948.1747436523438, 778.2084350585938]]"
6,7,00:30:12,54385,25,top,lob,,,"[939, 380]","[[982.316162109375, 420.075927734375], [983.7517700195312, 417.196533203125], [979.4449462890625, 417.196533203125], [985.1873779296875, 418.6361999511719], [970.8312377929688, 417.196533203125], [980.8805541992188, 431.5934143066406], [959.3463745117188, 433.0330810546875], [979.4449462890625, 440.23150634765625], [940.6834106445312, 458.9474792480469], [944.990234375, 454.6283874511719], [942.1190185546875, 477.66339111328125], [965.0888061523438, 467.5855712890625], [947.8614501953125, 467.5855712890625], [976.57373046875, 496.37933349609375], [950.732666015625, 487.7412109375], [960.781982421875, 492.06024169921875], [952.1682739257812, 533.8111572265625], [956.4751281738281, 512.9356994628906]]","[[1003.6548461914062, 582.1866455078125], [980.6542358398438, 574.9790649414062], [1003.6548461914062, 577.862060546875], [982.091796875, 579.3035888671875], [1003.6548461914062, 580.7451171875], [964.84130859375, 608.1339721679688], [1010.8425903320312, 608.1339721679688], [954.778564453125, 649.9379272460938], [1020.9053344726562, 642.7303466796875], [946.1533813476562, 680.2097778320312], [1035.2806396484375, 662.9115600585938], [961.96630859375, 677.3267211914062], [990.7169799804688, 678.7682495117188], [967.7164306640625, 711.9231567382812], [1012.2800903320312, 736.428955078125], [970.5914916992188, 759.4931640625], [1016.5926513671875, 794.0896606445312], [993.5920715332031, 776.7914123535156]]"
6,8,00:30:14,54420,24,bottom,drop,,,"[767, 442]","[[935.6787719726562, 362.8456726074219], [938.5377197265625, 359.97149658203125], [932.8198852539062, 359.97149658203125], [944.2554321289062, 359.97149658203125], [928.531494140625, 359.97149658203125], [957.1204833984375, 374.3423767089844], [918.525390625, 375.7794494628906], [979.9917602539062, 391.58740234375], [908.5192260742188, 397.3357238769531], [982.8506469726562, 414.580810546875], [902.8013916015625, 421.7662048339844], [951.4027709960938, 411.7066345214844], [927.10205078125, 411.7066345214844], [965.697265625, 437.57421875], [907.0897827148438, 437.57421875], [979.9917602539062, 467.7530212402344], [888.5068969726562, 482.1238708496094], [934.2493286132812, 474.9384460449219]]","[[831.1376342773438, 681.8953857421875], [834.0068969726562, 677.5709838867188], [832.572265625, 674.68798828125], [836.8762817382812, 683.3368530273438], [856.961669921875, 684.7783203125], [825.3988647460938, 720.8152465820312], [868.4390869140625, 709.283447265625], [799.5747680664062, 740.9959106445312], [889.9591674804688, 732.3471069335938], [765.142578125, 761.1766967773438], [887.08984375, 712.1664428710938], [835.441650390625, 800.0965576171875], [862.7003173828125, 795.7720947265625], [802.444091796875, 844.7823486328125], [848.3536376953125, 818.8358154296875], [806.7481079101562, 911.09033203125], [885.6550903320312, 862.0801391601562], [846.2015991210938, 886.5852355957031]]"
6,9,00:30:14,54443,25,top,net shot,,,"[845, 407]","[[873.1483154296875, 373.7754821777344], [876.0073852539062, 369.4704895019531], [870.2891235351562, 372.3404541015625], [881.7255859375, 369.4704895019531], [867.4300537109375, 375.21044921875], [896.0211791992188, 378.0804748535156], [868.8595581054688, 395.3004150390625], [911.7462768554688, 376.64544677734375], [871.7186889648438, 415.3903503417969], [931.760009765625, 382.38543701171875], [874.577880859375, 426.8703308105469], [900.309814453125, 424.0003356933594], [880.2960205078125, 429.7403259277344], [918.8941040039062, 445.5252990722656], [870.2891235351562, 461.3102111816406], [923.1827392578125, 472.7901916503906], [853.1344604492188, 498.6201477050781], [888.1585998535156, 485.7051696777344]]","[[917.2954711914062, 637.0709838867188], [921.60205078125, 631.3179931640625], [912.989013671875, 632.7562255859375], [904.3760375976562, 625.5650024414062], [927.3440551757812, 625.5650024414062], [895.762939453125, 660.0828857421875], [943.1345825195312, 651.4534301757812], [885.7144775390625, 696.0390625], [964.6671142578125, 683.0948486328125], [879.972412109375, 724.8040771484375], [950.3121337890625, 696.0390625], [914.4244995117188, 730.5570068359375], [946.0055541992188, 724.8040771484375], [892.8919677734375, 760.76025390625], [973.2800903320312, 769.3897094726562], [882.843505859375, 808.222412109375], [984.7640991210938, 828.3578491210938], [933.8038024902344, 818.2901306152344]]"
6,10,00:30:15,54468,24,bottom,net shot,,,"[900, 495]","[[929.8087768554688, 370.5650329589844], [934.1063842773438, 367.6850280761719], [926.9437255859375, 366.24505615234375], [939.83642578125, 367.6850280761719], [921.2135620117188, 367.6850280761719], [945.5665893554688, 382.0849609375], [906.8883056640625, 383.5249938964844], [957.0267944335938, 399.36492919921875], [895.4281005859375, 408.0048828125], [969.9194946289062, 418.0848388671875], [891.1304931640625, 433.9247741699219], [929.8087768554688, 423.8448181152344], [908.32080078125, 423.8448181152344], [945.5665893554688, 451.2047424316406], [911.1859130859375, 451.2047424316406], [941.2689819335938, 481.44464111328125], [905.4557495117188, 503.0445556640625], [923.3623657226562, 492.2445983886719]]","[[934.0245971679688, 577.1657104492188], [932.5859375, 574.2862548828125], [932.5859375, 574.2862548828125], [911.0062255859375, 577.1657104492188], [931.1473388671875, 577.1657104492188], [899.4969482421875, 598.7618408203125], [926.8313598632812, 598.7618408203125], [896.6196899414062, 698.1041259765625], [938.3406372070312, 621.7977905273438], [974.306884765625, 626.1170043945312], [971.4295654296875, 626.1170043945312], [885.1104125976562, 664.9900512695312], [906.6902465820312, 672.1887817382812], [896.6196899414062, 693.784912109375], [925.3926391601562, 725.4592895507812], [898.0582885742188, 738.4169311523438], [916.7608032226562, 781.6092529296875], [907.4095458984375, 760.0130920410156]]"
