rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
3,1,00:07:10,12914,15,top,short service,,,"[1029, 407]","[[958.0098266601562, 324.72003173828125], [959.4398193359375, 320.40972900390625], [955.1498413085938, 320.40972900390625], [958.0098266601562, 318.97296142578125], [943.710205078125, 318.97296142578125], [960.8696899414062, 336.2141418457031], [932.2705078125, 334.7773742675781], [965.1596069335938, 356.3288269042969], [936.5603637695312, 357.7655944824219], [970.8794555664062, 369.25970458984375], [959.4398193359375, 369.25970458984375], [949.4300537109375, 383.6273498535156], [929.41064453125, 383.6273498535156], [949.4300537109375, 420.983154296875], [922.2608032226562, 416.6728820800781], [946.5701293945312, 458.3390197753906], [917.9708862304688, 451.15521240234375], [932.2705078125, 454.7471160888672]]","[[1118.888427734375, 567.2112426757812], [1108.9068603515625, 561.4680786132812], [1111.7587890625, 561.4680786132812], [1108.9068603515625, 564.3396606445312], [1130.2958984375, 565.7754516601562], [1098.92529296875, 591.6195678710938], [1138.8515625, 591.6195678710938], [1093.2215576171875, 621.7710571289062], [1165.9443359375, 616.0278930664062], [1137.4256591796875, 608.8489990234375], [1145.981201171875, 603.1058349609375], [1101.7772216796875, 661.9730224609375], [1127.444091796875, 661.9730224609375], [1106.0550537109375, 696.431884765625], [1124.5921630859375, 710.7897338867188], [1104.6290283203125, 738.0696411132812], [1114.610595703125, 771.0927124023438], [1109.6198120117188, 754.5811767578125]]"
3,2,00:07:11,12938,16,bottom,net shot,,,"[1119, 489]","[[967.3800659179688, 341.9990234375], [971.6734619140625, 339.14080810546875], [964.517822265625, 337.71173095703125], [975.9668579101562, 336.2826232910156], [960.2244262695312, 336.2826232910156], [988.846923828125, 356.29010009765625], [957.3621826171875, 353.431884765625], [998.8648071289062, 374.8684387207031], [954.4999389648438, 376.29754638671875], [1007.4515991210938, 394.87591552734375], [950.20654296875, 390.5885925292969], [994.5714111328125, 390.5885925292969], [975.9668579101562, 390.5885925292969], [990.278076171875, 426.31622314453125], [964.517822265625, 414.8833923339844], [1001.7271118164062, 459.1856689453125], [971.6734619140625, 449.18194580078125], [986.7002868652344, 454.1838073730469]]","[[1108.668701171875, 532.6671142578125], [1108.668701171875, 528.3589477539062], [1110.0921630859375, 528.3589477539062], [1110.0921630859375, 529.7950439453125], [1128.5970458984375, 528.3589477539062], [1108.668701171875, 555.6441040039062], [1139.984619140625, 545.5916748046875], [1077.3529052734375, 578.62109375], [1142.8314208984375, 535.5392456054688], [1061.6949462890625, 568.5686645507812], [1144.2550048828125, 525.48681640625], [1114.362548828125, 613.0865478515625], [1138.5611572265625, 610.2144165039062], [1105.8218994140625, 661.9126586914062], [1135.7142333984375, 647.5520629882812], [1117.20947265625, 706.4305419921875], [1137.1376953125, 686.32568359375], [1127.173583984375, 696.3781127929688]]"
3,3,00:07:12,12962,15,top,lob,,,"[1196, 471]","[[1123.9794921875, 415.70245361328125], [1123.9794921875, 412.8263244628906], [1122.5478515625, 412.8263244628906], [1123.9794921875, 414.264404296875], [1118.2528076171875, 412.8263244628906], [1122.5478515625, 435.83551025390625], [1095.3463134765625, 422.8928527832031], [1134.0010986328125, 450.21624755859375], [1075.30322265625, 418.57861328125], [1144.022705078125, 461.7208557128906], [1056.691650390625, 407.07403564453125], [1109.6629638671875, 466.0350646972656], [1088.1881103515625, 464.5970153808594], [1125.4111328125, 486.1681213378906], [1066.7132568359375, 494.7965393066406], [1129.7061767578125, 529.310302734375], [1050.9649658203125, 513.4915161132812], [1090.3355712890625, 521.4009094238281]]","[[1035.3719482421875, 531.2539672851562], [1035.3719482421875, 525.5050659179688], [1058.3017578125, 525.5050659179688], [1036.8050537109375, 528.3795166015625], [1056.86865234375, 526.9423217773438], [1031.0726318359375, 554.2496337890625], [1071.19970703125, 551.3751831054688], [1028.2064208984375, 584.4314575195312], [1082.6646728515625, 587.305908203125], [1011.0089721679688, 604.5526733398438], [1084.0977783203125, 610.3015747070312], [1042.5374755859375, 621.7993774414062], [1071.19970703125, 620.3621826171875], [1033.9388427734375, 667.7907104492188], [1054.00244140625, 662.0418090820312], [1042.5374755859375, 716.656494140625], [1042.5374755859375, 705.1586303710938], [1042.5374755859375, 710.9075622558594]]"
3,4,00:07:13,13012,16,bottom,drop,,,"[1249, 541]","[[1034.757568359375, 343.25726318359375], [1036.1826171875, 340.3939208984375], [1030.4825439453125, 340.3939208984375], [1040.4576416015625, 340.3939208984375], [1024.782470703125, 340.3939208984375], [1046.1575927734375, 357.5740051269531], [1014.8074951171875, 359.00567626953125], [1051.8575439453125, 376.1857604980469], [1000.5574340820312, 381.9124755859375], [1056.132568359375, 399.0925598144531], [999.1324462890625, 406.2508850097656], [1031.9075927734375, 400.52423095703125], [1011.9574584960938, 400.52423095703125], [1040.4576416015625, 430.58935546875], [1003.407470703125, 434.8843688964844], [1041.882568359375, 469.2445373535156], [989.1574096679688, 472.10791015625], [1015.5199890136719, 470.6762237548828]]","[[1244.3299560546875, 721.8416748046875], [1242.8985595703125, 717.516357421875], [1240.0355224609375, 718.9581298828125], [1242.8985595703125, 718.9581298828125], [1232.8779296875, 726.1671142578125], [1217.13134765625, 744.9105224609375], [1257.213623046875, 753.561279296875], [1298.727294921875, 744.9105224609375], [1300.158935546875, 744.9105224609375], [1333.0836181640625, 723.2835693359375], [1333.0836181640625, 723.2835693359375], [1230.014892578125, 817.0004272460938], [1254.3505859375, 815.55859375], [1232.8779296875, 858.8125610351562], [1294.4327392578125, 868.9051513671875], [1181.34375, 886.2067260742188], [1305.8848876953125, 932.34423828125], [1243.6143188476562, 909.2754821777344]]"
3,5,00:07:14,13034,15,top,net shot,,,"[830, 405]","[[882.4261474609375, 380.17431640625], [886.7080688476562, 377.2942810058594], [880.9989013671875, 375.8542785644531], [895.2716674804688, 378.7342834472656], [880.9989013671875, 377.2942810058594], [899.553466796875, 398.8945007324219], [883.8534545898438, 397.4544677734375], [899.553466796875, 417.6146545410156], [885.2807006835938, 417.6146545410156], [883.8534545898438, 424.8147277832031], [883.8534545898438, 394.5744323730469], [909.5444946289062, 444.9748840332031], [896.698974609375, 444.9748840332031], [879.5716552734375, 466.5750732421875], [878.144287109375, 468.0151062011719], [863.87158203125, 506.89544677734375], [863.87158203125, 506.89544677734375], [863.87158203125, 506.89544677734375]]","[[1029.5516357421875, 642.7142333984375], [1029.5516357421875, 638.39599609375], [1029.5516357421875, 638.39599609375], [1032.411865234375, 641.2747802734375], [1055.294921875, 638.39599609375], [1030.9818115234375, 672.9419555664062], [1075.317626953125, 662.8660278320312], [1022.400634765625, 685.8966674804688], [1089.6195068359375, 700.290771484375], [1015.2496337890625, 719.003173828125], [1095.34033203125, 731.9578857421875], [1051.0045166015625, 737.715576171875], [1079.6082763671875, 736.2761840820312], [1026.691162109375, 780.8980712890625], [1075.317626953125, 778.0192260742188], [1036.7025146484375, 835.5957641601562], [1075.317626953125, 826.9592895507812], [1056.0100708007812, 831.2775268554688]]"
3,6,00:07:15,13061,16,bottom,lob,,,"[885, 425]","[[899.2728881835938, 338.8716125488281], [902.1141357421875, 335.99005126953125], [896.431640625, 335.99005126953125], [907.7965087890625, 333.10845947265625], [892.1697998046875, 335.99005126953125], [920.5819702148438, 350.3979187011719], [885.0667114257812, 354.72027587890625], [931.9468994140625, 366.24658203125], [873.701904296875, 376.33209228515625], [941.89111328125, 386.4176330566406], [873.701904296875, 397.94390869140625], [917.74072265625, 395.0623474121094], [896.431640625, 396.5031433105469], [926.264404296875, 426.75970458984375], [896.431640625, 432.5228271484375], [931.9468994140625, 467.1017761230469], [889.32861328125, 471.4241027832031], [910.6377563476562, 469.262939453125]]","[[886.1155395507812, 581.33544921875], [887.5504150390625, 577.0188598632812], [886.1155395507812, 577.0188598632812], [888.9853515625, 579.8966064453125], [907.6390380859375, 577.0188598632812], [896.1598510742188, 597.1627807617188], [919.1183471679688, 592.8462524414062], [901.8994140625, 620.1843872070312], [921.9881591796875, 620.1843872070312], [893.2900390625, 641.7671508789062], [909.073974609375, 634.5729370117188], [923.423095703125, 644.6448364257812], [944.9465942382812, 644.6448364257812], [914.8135986328125, 696.4434814453125], [927.727783203125, 666.2276000976562], [936.3372802734375, 732.4147338867188], [937.7720947265625, 732.4147338867188], [937.0546875, 732.4147338867188]]"
3,7,00:07:16,13103,15,top,smash,,,"[999, 279]","[[1042.11865234375, 261.02056884765625], [1040.6785888671875, 259.5789489746094], [1036.3582763671875, 259.5789489746094], [1042.11865234375, 259.5789489746094], [1032.0379638671875, 268.2286071777344], [1039.238525390625, 285.52789306640625], [1039.238525390625, 286.9695129394531], [1063.72021484375, 265.34539794921875], [1040.6785888671875, 308.5936279296875], [1069.480712890625, 288.4111022949219], [1053.6395263671875, 310.0352478027344], [1049.3192138671875, 317.2432556152344], [1052.199462890625, 317.2432556152344], [1049.3192138671875, 356.16668701171875], [1050.75927734375, 353.2834777832031], [1027.7176513671875, 387.8820495605469], [1029.15771484375, 386.4404296875], [1028.4376831054688, 387.16123962402344]]","[[987.5979614257812, 579.4942016601562], [981.8870849609375, 580.93505859375], [984.7425537109375, 579.4942016601562], [983.3148193359375, 585.2576904296875], [1004.73046875, 583.8167724609375], [971.8931274414062, 608.3117065429688], [1013.2967529296875, 608.3117065429688], [947.6220092773438, 640.0110473632812], [1029.0015869140625, 645.7745971679688], [950.4774780273438, 658.7424926757812], [1040.42333984375, 676.0330200195312], [971.8931274414062, 674.5921630859375], [1006.1582641601562, 678.9147338867188], [946.1942749023438, 719.2593994140625], [1029.0015869140625, 722.1411743164062], [921.9232177734375, 771.1309814453125], [1051.844970703125, 775.4536743164062], [986.8840942382812, 773.2923278808594]]"
3,8,00:07:17,13117,16,bottom,defensive shot,,,"[763, 704]","[[1016.2578735351562, 309.9400939941406], [1017.6968383789062, 304.2413330078125], [1011.9410400390625, 305.666015625], [1024.8916015625, 302.816650390625], [1009.0631103515625, 307.0906982421875], [1037.8421630859375, 315.6388854980469], [1010.5020751953125, 319.9129333496094], [1055.109619140625, 328.46112060546875], [1001.8683471679688, 334.1598815917969], [1072.3770751953125, 339.858642578125], [998.990478515625, 349.83148193359375], [1046.4759521484375, 346.98211669921875], [1029.20849609375, 349.83148193359375], [1050.792724609375, 376.900634765625], [1029.20849609375, 376.900634765625], [1062.304443359375, 384.0241394042969], [1037.8421630859375, 399.69573974609375], [1050.0733032226562, 391.8599395751953]]","[[861.8697509765625, 675.3331909179688], [861.8697509765625, 669.609619140625], [860.4313354492188, 669.609619140625], [870.50048828125, 669.609619140625], [883.4465942382812, 665.31689453125], [889.2003784179688, 688.2112426757812], [897.8311157226562, 679.6258544921875], [913.654052734375, 713.9674682617188], [863.3082275390625, 703.951171875], [903.5848999023438, 745.4472045898438], [831.6622924804688, 716.8292846679688], [938.1077270507812, 729.7073364257812], [959.6845703125, 719.6910400390625], [890.6387939453125, 756.8944091796875], [997.0843505859375, 766.9107666015625], [912.2156372070312, 798.3905029296875], [1040.23779296875, 798.3905029296875], [976.2267150878906, 798.3905029296875]]"
3,9,00:07:18,13148,15,top,push/rush,,,"[726, 402]","[[809.71435546875, 383.8955993652344], [812.5891723632812, 379.5798645019531], [808.2769165039062, 381.0184326171875], [821.2136840820312, 382.45703125], [806.8395385742188, 383.8955993652344], [819.7763061523438, 401.158447265625], [814.0266723632812, 404.0356140136719], [819.7763061523438, 402.5970153808594], [802.5272216796875, 412.6670227050781], [838.4627685546875, 396.84271240234375], [796.777587890625, 416.98272705078125], [851.3995361328125, 435.68414306640625], [838.4627685546875, 437.12274169921875], [852.8369140625, 463.0170593261719], [821.2136840820312, 452.9469909667969], [891.647216796875, 460.139892578125], [809.71435546875, 490.349853515625], [850.6807861328125, 475.244873046875]]","[[820.851806640625, 593.8790893554688], [820.851806640625, 589.566650390625], [820.851806640625, 588.129150390625], [823.6990356445312, 592.4415893554688], [843.629638671875, 585.2542114257812], [825.1226196289062, 621.1912231445312], [862.1366577148438, 603.9414672851562], [826.5462646484375, 657.1282348632812], [884.9144287109375, 642.75341796875], [813.7337036132812, 678.6904296875], [876.3727416992188, 670.0655517578125], [856.4420776367188, 693.065185546875], [882.0671997070312, 683.0028686523438], [845.05322265625, 741.9395751953125], [873.5255737304688, 710.31494140625], [870.6783447265625, 792.2513427734375], [890.60888671875, 754.8768920898438], [880.6436157226562, 773.5641174316406]]"
3,10,00:07:18,13168,16,bottom,defensive shot,,,"[632, 489]","[[825.335205078125, 343.9232482910156], [828.2139892578125, 339.6280212402344], [822.4564819335938, 339.6280212402344], [833.9713745117188, 341.05975341796875], [818.138427734375, 341.05975341796875], [846.925537109375, 356.80889892578125], [816.6990966796875, 356.80889892578125], [865.63720703125, 376.8532409667969], [812.3810424804688, 373.9897766113281], [878.5914916992188, 392.60235595703125], [800.8661499023438, 394.03411865234375], [857.0011596679688, 395.4658203125], [839.728759765625, 395.4658203125], [849.8043823242188, 428.3958435058594], [833.9713745117188, 428.3958435058594], [858.4404296875, 469.916259765625], [845.4862670898438, 461.3258361816406], [851.9633483886719, 465.6210479736328]]","[[801.3698120117188, 598.2205810546875], [802.800048828125, 592.4855346679688], [797.0791015625, 592.4855346679688], [799.9395141601562, 593.9192504882812], [779.9164428710938, 585.316650390625], [805.6604614257812, 613.9920043945312], [764.1839599609375, 601.088134765625], [829.9742431640625, 644.1011962890625], [737.0097045898438, 598.2205810546875], [822.8231811523438, 671.3428344726562], [718.416748046875, 593.9192504882812], [809.9511108398438, 672.7765502929688], [787.0675659179688, 675.6441040039062], [818.5325317382812, 730.1273193359375], [787.0675659179688, 730.1273193359375], [838.5556030273438, 786.0443725585938], [788.497802734375, 780.3092651367188], [813.5267028808594, 783.1768188476562]]"
