rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
10,1,00:53:56,97105,15,bottom,short service,,,"[883, 596]","[[1033.421142578125, 317.4939270019531], [1034.83642578125, 314.6153259277344], [1030.5906982421875, 316.05462646484375], [1040.4974365234375, 316.05462646484375], [1026.3448486328125, 317.4939270019531], [1048.9888916015625, 326.1297912597656], [1022.0991821289062, 329.0084228515625], [1057.48046875, 349.1588134765625], [1017.8533325195312, 349.1588134765625], [1053.234619140625, 363.5519104003906], [1017.8533325195312, 350.5981140136719], [1044.7431640625, 359.2339782714844], [1029.1754150390625, 360.67327880859375], [1046.1583251953125, 393.7774353027344], [1029.1754150390625, 393.7774353027344], [1043.3280029296875, 403.8526306152344], [1029.1754150390625, 428.3209228515625], [1036.251708984375, 416.08677673339844]]","[[920.6702880859375, 561.3538208007812], [920.6702880859375, 557.0440673828125], [920.6702880859375, 557.0440673828125], [922.0865478515625, 557.0440673828125], [944.7470703125, 552.7343139648438], [923.5028076171875, 580.0294189453125], [960.3262329101562, 572.8464965820312], [927.751708984375, 603.0147094726562], [964.5750732421875, 594.395263671875], [919.2539672851562, 578.5928344726562], [943.330810546875, 568.5367431640625], [932.0005493164062, 644.6755981445312], [958.9098510742188, 644.6755981445312], [929.16796875, 690.646240234375], [963.1587524414062, 693.5194091796875], [927.751708984375, 727.9974365234375], [956.0773315429688, 743.7998657226562], [941.9145202636719, 735.8986511230469]]"
10,2,00:53:57,97127,3,top,net shot,,,"[1032, 355]","[[1038.753173828125, 330.8487854003906], [1041.61767578125, 326.535888671875], [1035.888671875, 327.9735107421875], [1045.9144287109375, 327.9735107421875], [1034.4564208984375, 332.28643798828125], [1058.8046875, 339.47467041015625], [1035.888671875, 343.78759765625], [1073.127197265625, 342.3499755859375], [1018.7015991210938, 343.78759765625], [1053.07568359375, 340.91229248046875], [1001.5145874023438, 346.66290283203125], [1061.669189453125, 378.29107666015625], [1045.9144287109375, 379.7287292480469], [1065.9659423828125, 417.10748291015625], [1038.753173828125, 404.1686706542969], [1068.83056640625, 450.1733093261719], [1038.753173828125, 425.73333740234375], [1053.7918701171875, 437.9533233642578]]","[[1014.42529296875, 559.7660522460938], [1014.42529296875, 555.4636840820312], [1014.42529296875, 555.4636840820312], [992.8485107421875, 552.595458984375], [1012.9867553710938, 556.8978271484375], [975.587158203125, 574.1072387695312], [1014.42529296875, 584.14599609375], [958.3258056640625, 604.2236938476562], [1018.7405395507812, 618.5648193359375], [945.3796997070312, 631.4718627929688], [1030.2481689453125, 650.1153564453125], [962.6410522460938, 637.2083129882812], [985.65625, 644.3789672851562], [971.2717895507812, 673.061279296875], [998.602294921875, 694.572998046875], [959.7642211914062, 717.5188598632812], [998.602294921875, 750.5035400390625], [979.1832580566406, 734.0111999511719]]"
10,3,00:53:58,97153,15,bottom,net shot,,,"[1050, 425]","[[1016.160400390625, 329.2870788574219], [1019.0296020507812, 326.41204833984375], [1013.2911376953125, 326.41204833984375], [1021.89892578125, 329.2870788574219], [1008.9872436523438, 329.2870788574219], [1030.5067138671875, 343.6622314453125], [1008.9872436523438, 343.6622314453125], [1041.9837646484375, 365.2249755859375], [990.3370361328125, 340.7872009277344], [1043.41845703125, 386.7877197265625], [1004.683349609375, 333.599609375], [1031.9412841796875, 381.0376281738281], [1019.0296020507812, 378.1625671386719], [1031.9412841796875, 416.9754943847656], [1007.5526123046875, 405.47540283203125], [1046.28759765625, 444.2882995605469], [1027.637451171875, 427.0381164550781], [1036.9625244140625, 435.6632080078125]]","[[1057.12060546875, 513.259765625], [1055.6943359375, 510.3916015625], [1054.2681884765625, 511.82568359375], [1038.5804443359375, 510.3916015625], [1052.842041015625, 514.6939086914062], [1025.7451171875, 520.4302978515625], [1047.137451171875, 536.2054443359375], [1025.7451171875, 504.65521240234375], [1059.972900390625, 557.7169189453125], [1025.7451171875, 503.2210998535156], [1081.365234375, 572.0579223632812], [1011.4835205078125, 579.2284545898438], [1025.7451171875, 587.8330078125], [1041.432861328125, 625.1196899414062], [1032.8758544921875, 633.7242431640625], [998.6481323242188, 666.7085571289062], [1001.5004272460938, 665.2744750976562], [1000.0742797851562, 665.9915161132812]]"
10,4,00:53:59,97176,3,top,push/rush,,,"[943, 405]","[[954.7850341796875, 370.5153503417969], [957.6299438476562, 367.65118408203125], [953.3626098632812, 367.65118408203125], [964.7422485351562, 369.083251953125], [951.9400634765625, 369.083251953125], [974.6995239257812, 384.8362731933594], [959.0523681640625, 387.700439453125], [978.9668579101562, 389.132568359375], [954.7850341796875, 393.4288330078125], [956.20751953125, 380.53997802734375], [954.7850341796875, 380.53997802734375], [981.8118286132812, 417.7743835449219], [966.1646728515625, 417.7743835449219], [964.7422485351562, 442.1199645996094], [970.43212890625, 449.2804260253906], [961.8973388671875, 480.78643798828125], [988.9241333007812, 439.2557678222656], [975.4107360839844, 460.02110290527344]]","[[1023.47119140625, 504.0608825683594], [1024.897705078125, 502.62054443359375], [1024.897705078125, 504.0608825683594], [1024.897705078125, 506.94146728515625], [1046.295654296875, 511.262451171875], [1009.2058715820312, 525.6655883789062], [1044.869140625, 534.3074340820312], [992.0875854492188, 553.031494140625], [1044.869140625, 563.1136474609375], [977.822265625, 580.3973999023438], [1047.72216796875, 590.4796142578125], [992.0875854492188, 583.2780151367188], [1012.0588989257812, 589.0392456054688], [1007.7793579101562, 610.6439208984375], [1039.1629638671875, 629.3679809570312], [994.9406127929688, 645.21142578125], [1023.47119140625, 676.8982543945312], [1009.2059020996094, 661.0548400878906]]"
10,5,00:54:00,97212,15,bottom,smash,,,"[1272, 467]","[[998.723876953125, 314.5473327636719], [1000.1561889648438, 310.2624206542969], [995.8594360351562, 311.69073486328125], [1004.452880859375, 313.1190490722656], [990.1304321289062, 313.1190490722656], [1011.6141967773438, 324.5454406738281], [984.4015502929688, 320.2605285644531], [1020.2076416015625, 344.5416564941406], [962.9177856445312, 327.40203857421875], [1024.50439453125, 364.537841796875], [961.4855346679688, 341.6850280761719], [1004.452880859375, 353.1114501953125], [984.4015502929688, 351.6831359863281], [1020.2076416015625, 381.67742919921875], [971.5112915039062, 380.2491149902344], [1021.639892578125, 410.243408203125], [958.62109375, 404.53021240234375], [990.1304931640625, 407.3868103027344]]","[[1276.50341796875, 709.8590087890625], [1280.81103515625, 704.107421875], [1276.50341796875, 704.107421875], [1257.8372802734375, 691.1664428710938], [1267.888427734375, 704.107421875], [1234.863525390625, 678.2254638671875], [1231.991943359375, 676.7875366210938], [1237.7353515625, 642.2782592773438], [1236.2994384765625, 643.7161254882812], [1247.7862548828125, 607.7689208984375], [1247.7862548828125, 606.3310546875], [1207.582275390625, 752.9956665039062], [1209.0181884765625, 748.6819458007812], [1137.2252197265625, 757.3092651367188], [1237.7353515625, 778.8775634765625], [1112.815673828125, 788.94287109375], [1112.815673828125, 787.5050048828125], [1112.815673828125, 788.2239379882812]]"
10,6,00:54:00,97227,3,top,defensive shot,,,"[1164, 339]","[[1076.1065673828125, 328.8903503417969], [1077.536865234375, 326.0369873046875], [1074.6763916015625, 326.0369873046875], [1078.967041015625, 327.4636535644531], [1064.664794921875, 324.61029052734375], [1073.2462158203125, 338.87713623046875], [1054.653076171875, 334.5970764160156], [1094.69970703125, 348.8638916015625], [1033.1995849609375, 334.5970764160156], [1111.862548828125, 351.7172546386719], [1008.8856201171875, 337.450439453125], [1046.0716552734375, 361.70404052734375], [1028.908935546875, 354.5706481933594], [1064.664794921875, 378.82421875], [1006.0252075195312, 375.97088623046875], [1057.513671875, 404.5045166015625], [978.8507080078125, 395.9444274902344], [1018.1821899414062, 400.22447204589844]]","[[1272.3013916015625, 703.8836059570312], [1242.2288818359375, 693.8439331054688], [1272.3013916015625, 698.146728515625], [1243.660888671875, 698.146728515625], [1268.0052490234375, 701.01513671875], [1229.3406982421875, 726.8314208984375], [1272.3013916015625, 723.9629516601562], [1207.8602294921875, 761.253173828125], [1285.189697265625, 736.87109375], [1180.6517333984375, 791.3721313476562], [1246.52490234375, 741.173828125], [1236.500732421875, 799.9775390625], [1268.0052490234375, 804.2802734375], [1190.676025390625, 817.1884155273438], [1290.917724609375, 858.7813110351562], [1184.9478759765625, 878.860595703125], [1326.7183837890625, 917.5850830078125], [1255.8331298828125, 898.2228393554688]]"
10,7,00:54:01,97253,15,bottom,lob,,,"[1162, 517]","[[1042.9447021484375, 300.99383544921875], [1045.777587890625, 298.14202880859375], [1040.11181640625, 298.14202880859375], [1050.027099609375, 299.56793212890625], [1037.27880859375, 298.14202880859375], [1058.52587890625, 313.8268737792969], [1033.029541015625, 309.5491943359375], [1065.608154296875, 332.36346435546875], [1014.6154174804688, 308.123291015625], [1067.024658203125, 352.3259582519531], [1014.6154174804688, 308.123291015625], [1055.6929931640625, 342.3447265625], [1038.6953125, 339.4929504394531], [1058.52587890625, 369.4366760253906], [1027.3636474609375, 366.58489990234375], [1065.608154296875, 397.9545593261719], [1027.3636474609375, 392.2509765625], [1046.4859008789062, 395.10276794433594]]","[[1192.279541015625, 594.7920532226562], [1193.7127685546875, 590.4807739257812], [1190.84619140625, 590.4807739257812], [1170.7806396484375, 587.6065673828125], [1186.5465087890625, 590.4807739257812], [1162.18115234375, 601.9774780273438], [1179.380126953125, 609.1629028320312], [1190.84619140625, 617.785400390625], [1190.84619140625, 619.2224731445312], [1210.9117431640625, 622.0966796875], [1215.2115478515625, 623.5337524414062], [1113.45068359375, 652.2755126953125], [1136.3826904296875, 658.0238037109375], [1150.715087890625, 655.149658203125], [1127.7830810546875, 704.0105590820312], [1137.81591796875, 696.8251953125], [1107.7176513671875, 741.3748779296875], [1122.7667846679688, 719.1000366210938]]"
10,8,00:54:03,97290,3,top,smash,,,"[930, 225]","[[882.9525756835938, 264.84320068359375], [885.80078125, 260.55926513671875], [881.528564453125, 261.9872131347656], [888.6488647460938, 253.41925048828125], [881.528564453125, 263.4152526855469], [897.193359375, 256.2752380371094], [887.224853515625, 271.98321533203125], [900.04150390625, 257.7032470703125], [877.2562866210938, 279.1231689453125], [895.769287109375, 269.1272277832031], [900.04150390625, 260.55926513671875], [897.193359375, 296.2591247558594], [898.6174926757812, 297.6871337890625], [932.795166015625, 321.9630126953125], [882.9525756835938, 324.81903076171875], [944.187744140625, 346.23895263671875], [857.3192749023438, 339.0989685058594], [900.7535095214844, 342.66896057128906]]","[[974.1058959960938, 577.7997436523438], [975.5326538085938, 573.4996337890625], [1001.2132568359375, 577.7997436523438], [976.9592895507812, 580.6664428710938], [1001.2132568359375, 580.6664428710938], [964.1190185546875, 600.7335815429688], [1009.7734375, 603.600341796875], [944.1452026367188, 635.1343383789062], [1028.3206787109375, 633.700927734375], [931.3048706054688, 663.8015747070312], [1041.1610107421875, 658.068115234375], [968.399169921875, 665.2349853515625], [999.78662109375, 665.2349853515625], [939.8651123046875, 696.7689819335938], [1021.1871337890625, 698.2023315429688], [925.5980224609375, 746.9367065429688], [1041.1610107421875, 741.2033081054688], [983.3795166015625, 744.0700073242188]]"
10,9,00:54:03,97304,15,bottom,defensive shot,,,"[1106, 515]","[[889.6302490234375, 282.1443786621094], [892.4727172851562, 279.26275634765625], [886.7877197265625, 279.26275634765625], [895.315185546875, 280.7035827636719], [882.52392578125, 282.1443786621094], [903.8427124023438, 290.78924560546875], [878.2601928710938, 292.2300720214844], [919.4765625, 300.87493896484375], [872.5751342773438, 309.5198059082031], [918.0552978515625, 316.723876953125], [879.6814575195312, 322.48712158203125], [902.4215698242188, 315.2830810546875], [885.3663940429688, 315.2830810546875], [913.7915649414062, 338.3360595703125], [876.8388671875, 335.4544372558594], [923.7403564453125, 367.1523132324219], [869.732666015625, 357.0666198730469], [896.7365112304688, 362.1094665527344]]","[[1052.687744140625, 617.706787109375], [1052.687744140625, 613.3986206054688], [1051.2506103515625, 613.3986206054688], [1026.818603515625, 613.3986206054688], [1048.376220703125, 614.8346557617188], [1021.070068359375, 624.8870239257812], [1035.4417724609375, 636.37548828125], [1038.3160400390625, 609.0904541015625], [1009.5726928710938, 676.5850219726562], [1065.622314453125, 603.34619140625], [1009.5726928710938, 678.0210571289062], [980.8292236328125, 679.4571533203125], [996.6380615234375, 682.3292236328125], [953.5230102539062, 722.538818359375], [1038.3160400390625, 716.7945556640625], [904.6591796875, 754.1320190429688], [1048.376220703125, 767.0565185546875], [976.5177001953125, 760.5942687988281]]"
10,10,00:54:04,97333,3,top,defensive shot,,,"[1074, 380]","[[1018.1937255859375, 354.7239074707031], [1018.1937255859375, 353.28338623046875], [1015.3383178710938, 351.8428955078125], [1018.1937255859375, 354.7239074707031], [1008.1998901367188, 354.7239074707031], [1018.1937255859375, 367.6884765625], [999.6337890625, 367.6884765625], [1023.904541015625, 379.2125244140625], [991.0676879882812, 395.0580749511719], [1033.8983154296875, 390.7366027832031], [983.92919921875, 416.66571044921875], [1013.91064453125, 396.49859619140625], [998.2061157226562, 396.49859619140625], [1025.3321533203125, 413.7846984863281], [989.6399536132812, 423.8682556152344], [1025.3321533203125, 451.2378845214844], [988.2122802734375, 422.427734375], [1006.772216796875, 436.8328094482422]]","[[1068.2908935546875, 571.8352661132812], [1043.9647216796875, 558.9249267578125], [1068.2908935546875, 567.5318603515625], [1045.3956298828125, 564.662841796875], [1066.8599853515625, 570.4008178710938], [1026.7933349609375, 586.18017578125], [1065.428955078125, 599.0905151367188], [1006.760009765625, 613.4353637695312], [1069.7218017578125, 639.256103515625], [986.7266235351562, 639.256103515625], [1078.3076171875, 666.5113525390625], [1001.0361938476562, 646.4285278320312], [1025.3624267578125, 656.469970703125], [1018.2076416015625, 670.8148193359375], [1045.3956298828125, 700.9390258789062], [1002.4671630859375, 708.1114501953125], [1029.6552734375, 756.884033203125], [1016.0612182617188, 732.4977416992188]]"
