rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
6,1,00:52:02,93669,15,bottom,short service,,,"[846, 667]","[[786.4710693359375, 357.97296142578125], [790.7401123046875, 353.66229248046875], [783.625, 353.66229248046875], [797.8550415039062, 355.09918212890625], [777.9329833984375, 353.66229248046875], [809.2390747070312, 379.5262756347656], [772.2410278320312, 368.0311584472656], [814.93115234375, 414.0115661621094], [745.203857421875, 379.5262756347656], [790.7401123046875, 399.6427001953125], [769.3948974609375, 391.0213928222656], [804.9701538085938, 437.00177001953125], [780.7789916992188, 435.5649108886719], [796.4320678710938, 478.6714782714844], [787.89404296875, 481.5452880859375], [795.009033203125, 533.273193359375], [803.547119140625, 513.1567993164062], [799.278076171875, 523.2149963378906]]","[[953.8280639648438, 573.2855224609375], [955.2620849609375, 568.9721069335938], [953.8280639648438, 567.5342407226562], [959.5642700195312, 571.8477172851562], [982.509033203125, 566.096435546875], [962.432373046875, 600.6040649414062], [1002.5857543945312, 589.1015014648438], [949.52587890625, 629.3603515625], [981.0750122070312, 610.668701171875], [929.44921875, 622.1712646484375], [936.6194458007812, 616.4199829101562], [983.9431762695312, 688.3107299804688], [1018.3603515625, 683.997314453125], [982.509033203125, 753.012451171875], [1022.6624145507812, 750.1367797851562], [983.9431762695312, 816.2763671875], [1032.7008056640625, 816.2763671875], [1008.3219909667969, 816.2763671875]]"
6,2,00:52:03,93701,16,top,push/rush,,,"[761, 407]","[[793.056884765625, 376.7256774902344], [797.3422241210938, 372.4209289550781], [788.771484375, 372.4209289550781], [804.484619140625, 375.2907409667969], [781.6290893554688, 375.2907409667969], [808.77001953125, 401.119384765625], [770.201416015625, 396.8146057128906], [820.1976928710938, 425.5130615234375], [760.2021484375, 402.5542907714844], [830.1969604492188, 426.94793701171875], [737.3466186523438, 406.85906982421875], [797.3422241210938, 462.821044921875], [768.77294921875, 462.821044921875], [815.9122924804688, 510.1734619140625], [758.773681640625, 510.1734619140625], [808.77001953125, 537.43701171875], [753.059814453125, 566.1354370117188], [780.9149169921875, 551.7862243652344]]","[[932.7215576171875, 587.781494140625], [932.7215576171875, 584.9032592773438], [961.507080078125, 589.2205810546875], [932.7215576171875, 587.781494140625], [961.507080078125, 592.098876953125], [908.25390625, 618.0029296875], [958.6285400390625, 625.198486328125], [876.5899047851562, 655.4198608398438], [960.0677490234375, 669.81103515625], [855.0008544921875, 689.9586181640625], [968.7034301757812, 708.6671142578125], [888.1040649414062, 698.5933227539062], [924.0859375, 705.7888793945312], [898.1790771484375, 740.3275756835938], [951.43212890625, 760.4751586914062], [875.1506958007812, 795.0139770507812], [947.1142578125, 829.552734375], [911.1324768066406, 812.2833557128906]]"
6,3,00:52:04,93732,15,bottom,drive,,,"[605, 552]","[[862.23828125, 357.3173522949219], [866.522705078125, 351.5728759765625], [857.9539184570312, 351.5728759765625], [873.663330078125, 353.0090026855469], [850.813232421875, 354.44512939453125], [887.9446411132812, 373.1145324707031], [843.672607421875, 375.98675537109375], [902.2259521484375, 391.7839660644531], [837.9600830078125, 410.4533996582031], [897.9415893554688, 420.50616455078125], [832.2474975585938, 440.6117248535156], [886.5164794921875, 429.122802734375], [856.5258178710938, 427.6866760253906], [905.0822143554688, 469.3338928222656], [837.9600830078125, 462.1533508300781], [925.0759887695312, 516.7254638671875], [822.2506103515625, 512.4171752929688], [873.6632995605469, 514.5713195800781]]","[[738.0838012695312, 716.275146484375], [740.9500122070312, 711.959716796875], [740.9500122070312, 711.959716796875], [745.2493896484375, 716.275146484375], [769.612060546875, 711.959716796875], [739.5169677734375, 749.3600463867188], [779.6437377929688, 727.782958984375], [686.4921264648438, 742.1676635742188], [750.981689453125, 737.8522338867188], [650.6644897460938, 732.098388671875], [660.6962280273438, 733.5368041992188], [785.376220703125, 828.4760131835938], [811.1720581054688, 821.28369140625], [720.8865966796875, 865.8764038085938], [793.974853515625, 857.2454833984375], [719.4534301757812, 936.361572265625], [858.4644775390625, 886.0150146484375], [788.9589538574219, 911.1882934570312]]"
6,4,00:52:05,93750,16,top,drive,,,"[1245, 1040]","[[777.4472045898438, 370.7503662109375], [781.7647705078125, 366.4308776855469], [773.129638671875, 366.4308776855469], [790.39990234375, 370.7503662109375], [767.3728637695312, 370.7503662109375], [806.2308959960938, 390.9079284667969], [761.6161499023438, 395.2274169921875], [820.622802734375, 424.02398681640625], [760.1769409179688, 411.06549072265625], [826.3795166015625, 413.9451599121094], [777.4472045898438, 426.9035949707031], [811.9876708984375, 449.9408264160156], [781.7647705078125, 449.9408264160156], [833.5755004882812, 491.69586181640625], [755.859375, 483.0569152832031], [876.7510375976562, 514.7330932617188], [728.5148315429688, 521.9322509765625], [802.6329345703125, 518.3326721191406]]","[[834.9801635742188, 633.36669921875], [837.8521728515625, 630.4957885742188], [869.444091796875, 631.9312133789062], [837.8521728515625, 636.2376098632812], [868.0081787109375, 636.2376098632812], [819.1842041015625, 674.9953002929688], [882.3681640625, 669.25341796875], [797.644287109375, 728.1076049804688], [909.652099609375, 703.7046508789062], [787.59228515625, 761.1233520507812], [932.6280517578125, 729.5430908203125], [843.5962524414062, 759.6878662109375], [885.2401733398438, 756.8169555664062], [807.6962280273438, 807.058349609375], [885.2401733398438, 798.4454956054688], [797.644287109375, 877.396240234375], [901.0361328125, 857.2996826171875], [849.3402099609375, 867.3479614257812]]"
6,5,00:52:05,93762,15,bottom,defensive shot,,,"[966, 377]","[[845.558349609375, 359.7373962402344], [849.8400268554688, 354.0006408691406], [841.2765502929688, 354.0006408691406], [854.1217651367188, 356.8690185546875], [832.7131958007812, 356.8690185546875], [862.6852416992188, 378.3818054199219], [821.295166015625, 379.81597900390625], [882.6666259765625, 398.46038818359375], [805.5955810546875, 408.4996643066406], [885.5211181640625, 405.63128662109375], [802.7410278320312, 442.9200744628906], [858.4035034179688, 435.7491760253906], [828.431396484375, 435.7491760253906], [878.3848876953125, 477.34051513671875], [804.1683349609375, 470.1695861816406], [872.6758422851562, 510.3267822265625], [799.8865966796875, 521.8002319335938], [836.2812194824219, 516.0635070800781]]","[[908.6583251953125, 591.097412109375], [910.0911254882812, 585.3372802734375], [943.0452270507812, 579.5770874023438], [915.8222045898438, 586.7772827148438], [938.746826171875, 583.897216796875], [931.5829467773438, 608.3778686523438], [945.9108276367188, 608.3778686523438], [914.389404296875, 641.498779296875], [914.389404296875, 641.498779296875], [908.6583251953125, 612.697998046875], [927.2845458984375, 629.9784545898438], [910.0911254882812, 703.4204711914062], [943.0452270507812, 706.300537109375], [905.792724609375, 763.9020385742188], [958.8059692382812, 781.1824951171875], [872.838623046875, 824.3836669921875], [965.9698486328125, 854.62451171875], [919.4042358398438, 839.5040893554688]]"
6,6,00:52:06,93796,16,top,drop,,,"[789, 264]","[[873.5938720703125, 325.5754699707031], [879.3236694335938, 322.705078125], [873.5938720703125, 321.2698669433594], [887.9183349609375, 328.44586181640625], [887.9183349609375, 328.44586181640625], [890.783203125, 354.2795104980469], [867.8640747070312, 349.9739074707031], [907.9725341796875, 382.9835205078125], [869.2965087890625, 374.3723449707031], [896.5130004882812, 367.1963195800781], [870.7289428710938, 404.51153564453125], [889.3507690429688, 411.6875915527344], [872.161376953125, 410.2523498535156], [872.161376953125, 456.1788330078125], [854.9721069335938, 438.9564208984375], [909.4049682617188, 486.3180847167969], [864.9991455078125, 469.0956726074219], [887.2020568847656, 477.7068786621094]]","[[919.0140991210938, 583.3515014648438], [904.628173828125, 574.7075805664062], [939.154296875, 573.2669067382812], [907.50537109375, 577.5888671875], [936.277099609375, 577.5888671875], [897.4352416992188, 613.6053466796875], [947.7858276367188, 613.6053466796875], [885.926513671875, 662.5877075195312], [967.926025390625, 655.3843994140625], [872.979248046875, 702.9260864257812], [975.1190185546875, 691.40087890625], [919.0140991210938, 701.4854736328125], [952.1015625, 698.6041870117188], [877.2949829101562, 754.789794921875], [931.9613037109375, 736.0612182617188], [880.1721801757812, 825.3820190429688], [956.4173583984375, 792.2469482421875], [918.2947692871094, 808.8144836425781]]"
6,7,00:52:07,93817,15,bottom,net shot,,,"[1245, 1041]","[[911.3276977539062, 349.88751220703125], [915.6376953125, 345.5875244140625], [908.4544677734375, 347.0208435058594], [922.8208618164062, 347.0208435058594], [902.7078857421875, 348.45416259765625], [937.1873779296875, 369.9541320800781], [896.9613037109375, 368.52081298828125], [958.737060546875, 385.72076416015625], [886.90478515625, 395.7540588378906], [964.4835205078125, 417.2539978027344], [884.0314331054688, 420.1206359863281], [944.3705444335938, 417.2539978027344], [917.0742797851562, 415.8206481933594], [940.0606079101562, 450.2206115722656], [892.6513671875, 448.7872619628906], [967.3568725585938, 487.48712158203125], [891.2147216796875, 493.220458984375], [929.2857971191406, 490.3537902832031]]","[[871.1774291992188, 576.188232421875], [882.6436767578125, 570.43505859375], [865.4442749023438, 570.43505859375], [862.5776977539062, 573.3116455078125], [889.81005859375, 570.43505859375], [848.244873046875, 600.6389770507812], [898.4097290039062, 603.5155029296875], [826.74560546875, 617.8983154296875], [929.9419555664062, 627.96630859375], [842.51171875, 602.0772705078125], [964.3408203125, 642.3490600585938], [848.244873046875, 685.4974975585938], [884.076904296875, 688.3740234375], [841.0784301757812, 725.7693481445312], [918.4757080078125, 741.59033203125], [800.9464721679688, 766.0411376953125], [945.7081298828125, 799.12158203125], [873.3273010253906, 782.5813598632812]]"
6,8,00:52:07,93839,16,top,lob,,,"[1204, 532]","[[1115.1414794921875, 442.778564453125], [1113.707763671875, 439.90289306640625], [1112.2742919921875, 438.46502685546875], [1092.2039794921875, 432.7137145996094], [1103.6727294921875, 438.46502685546875], [1083.6024169921875, 454.2812805175781], [1093.6375732421875, 467.22186279296875], [1110.840576171875, 487.3515930175781], [1110.840576171875, 487.3515930175781], [1140.946044921875, 507.4813537597656], [1139.512451171875, 506.04351806640625], [1042.0281982421875, 503.1678771972656], [1049.1962890625, 504.6056823730469], [1054.9306640625, 531.9246215820312], [1083.6024169921875, 517.5462646484375], [1020.5244750976562, 534.80029296875], [1093.6375732421875, 570.746337890625], [1057.0810241699219, 552.7733154296875]]","[[980.3551635742188, 564.3973999023438], [963.0762329101562, 555.7771606445312], [996.1941528320312, 557.2138671875], [964.5161743164062, 558.6505737304688], [993.3142700195312, 562.9607543945312], [945.79736328125, 594.5682983398438], [1001.9537963867188, 596.0050659179688], [925.638671875, 631.9227905273438], [1024.9923095703125, 636.23291015625], [908.3596801757812, 670.7139892578125], [1036.5115966796875, 669.2772216796875], [957.316650390625, 679.334228515625], [996.1941528320312, 675.0240478515625], [931.3982543945312, 738.2393188476562], [1001.9537963867188, 728.1823120117188], [919.8789672851562, 802.8912353515625], [1022.112548828125, 791.3975830078125], [970.9957580566406, 797.1444091796875]]"
6,9,00:52:09,93876,15,bottom,clear,,,"[1203, 335]","[[1055.055908203125, 352.8332214355469], [1059.3714599609375, 348.5199890136719], [1050.7403564453125, 348.5199890136719], [1065.12548828125, 349.9577331542969], [1043.5477294921875, 349.9577331542969], [1065.12548828125, 368.6484680175781], [1026.2855224609375, 371.5239562988281], [1065.12548828125, 387.3392028808594], [1004.707763671875, 395.9656982421875], [1072.318115234375, 411.7809753417969], [1003.2692260742188, 427.5962219238281], [1044.9862060546875, 421.8452453613281], [1017.6544799804688, 423.2829895019531], [1055.055908203125, 469.29095458984375], [1013.3389282226562, 466.41546630859375], [1060.8099365234375, 521.0499877929688], [990.3226318359375, 518.1744384765625], [1025.5662841796875, 519.6122131347656]]","[[1245.8868408203125, 671.0810546875], [1254.4903564453125, 673.9630737304688], [1251.6224365234375, 672.5220947265625], [1245.8868408203125, 685.4912719726562], [1273.131103515625, 711.4296875], [1228.679931640625, 679.7271728515625], [1230.11376953125, 679.7271728515625], [1238.71728515625, 632.1734619140625], [1238.71728515625, 633.614501953125], [1250.1885986328125, 594.7069091796875], [1251.6224365234375, 590.3838500976562], [1177.05908203125, 771.9525756835938], [1204.3033447265625, 777.7166137695312], [1111.09912109375, 800.77294921875], [1241.5850830078125, 839.6804809570312], [1089.590576171875, 868.5009765625], [1301.809326171875, 880.0291748046875], [1195.699951171875, 874.2650756835938]]"
6,10,00:52:10,93910,16,top,smash,,,"[692, 296]","[[826.5322265625, 285.20074462890625], [815.0387573242188, 270.80487060546875], [812.1654663085938, 270.80487060546875], [823.6588745117188, 279.4423828125], [823.6588745117188, 278.0028076171875], [823.6588745117188, 302.47576904296875], [797.7987670898438, 296.7174072265625], [827.9688720703125, 335.5862731933594], [790.6154174804688, 321.1903991699219], [825.0955200195312, 313.9924621582031], [826.5322265625, 308.2341003417969], [815.0387573242188, 358.6196594238281], [794.9254150390625, 357.1800842285156], [830.8422241210938, 403.246826171875], [799.2354125976562, 403.246826171875], [862.448974609375, 453.6323547363281], [807.85546875, 446.4344177246094], [835.1522216796875, 450.03338623046875]]","[[978.29052734375, 611.5270385742188], [985.4736328125, 607.2135009765625], [971.1075439453125, 602.8999633789062], [962.4879150390625, 614.4027709960938], [995.5298461914062, 615.840576171875], [946.6852416992188, 654.6624755859375], [1007.022705078125, 656.1002807617188], [925.13623046875, 696.3599853515625], [1025.6986083984375, 693.4843139648438], [905.0237426757812, 739.4954223632812], [1037.19140625, 722.2412719726562], [950.9951171875, 742.3711547851562], [992.6566162109375, 748.1224975585938], [916.5165405273438, 776.87939453125], [1001.2762451171875, 785.5064697265625], [916.5165405273438, 845.8960571289062], [1021.3887329101562, 847.3339233398438], [968.95263671875, 846.614990234375]]"
