rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
39,1,01:14:33,134210,9,top,short service,,,"[994, 560]","[[969.8726806640625, 477.5680236816406], [974.1439819335938, 473.25958251953125], [967.0250854492188, 473.25958251953125], [975.5677490234375, 474.6957092285156], [957.0585327148438, 471.82342529296875], [978.415283203125, 494.8017883300781], [947.092041015625, 490.49334716796875], [999.7720947265625, 520.6524658203125], [927.1591186523438, 506.29095458984375], [999.7720947265625, 540.758544921875], [944.2444458007812, 529.2693481445312], [952.7871704101562, 550.8115234375], [932.854248046875, 549.3753662109375], [949.9396362304688, 598.2044067382812], [942.8207397460938, 598.2044067382812], [938.5493774414062, 622.6189575195312], [942.8207397460938, 645.5973510742188], [940.68505859375, 634.108154296875]]","[[1056.6334228515625, 666.0341796875], [1058.062744140625, 663.1646118164062], [1080.933837890625, 661.7298583984375], [1059.4923095703125, 664.5994262695312], [1079.5042724609375, 663.1646118164062], [1050.9156494140625, 687.5557250976562], [1090.9398193359375, 684.6862182617188], [1030.903564453125, 716.2511596679688], [1120.9578857421875, 706.207763671875], [1049.4862060546875, 688.9905395507812], [1115.240234375, 704.7730102539062], [1055.2039794921875, 753.55517578125], [1079.5042724609375, 754.9899291992188], [1063.780517578125, 806.6417236328125], [1083.792724609375, 812.3807983398438], [1065.2099609375, 856.8585815429688], [1080.933837890625, 862.5977172851562], [1073.0718994140625, 859.7281494140625]]"
39,2,01:14:35,134256,26,bottom,net shot,,,"[1054, 591]","[[1000.7899169921875, 485.5186462402344], [1003.6574096679688, 482.6546325683594], [996.4886474609375, 481.22259521484375], [1007.9586791992188, 484.0866394042969], [989.3200073242188, 482.6546325683594], [1015.1273193359375, 498.4069519042969], [976.416259765625, 501.27099609375], [1022.2960815429688, 517.0233154296875], [950.6088256835938, 522.75146484375], [1026.597412109375, 539.935791015625], [943.4400634765625, 544.2318725585938], [993.6212158203125, 542.7998046875], [966.3800048828125, 544.2318725585938], [1020.8624267578125, 572.8724365234375], [957.7775268554688, 584.3286743164062], [1028.031005859375, 617.265380859375], [933.4038696289062, 627.28955078125], [980.7174377441406, 622.2774658203125]]","[[1031.9674072265625, 668.0692138671875], [1004.7981567382812, 660.887939453125], [1027.677490234375, 665.1967163085938], [1004.7981567382812, 668.0692138671875], [1024.8175048828125, 669.5054931640625], [1003.3681640625, 691.0492553710938], [1026.2474365234375, 688.1767578125], [993.3585205078125, 715.465576171875], [991.9285278320312, 712.5930786132812], [967.6192626953125, 705.4118041992188], [1010.5180053710938, 741.318115234375], [1021.9576416015625, 761.4256591796875], [1027.677490234375, 758.5531616210938], [1019.0977172851562, 820.3120727539062], [1019.0977172851562, 817.4395751953125], [1059.1365966796875, 834.6746215820312], [1003.3681640625, 798.7682495117188], [1031.2523803710938, 816.721435546875]]"
39,3,01:14:36,134280,9,top,lob,,,"[927, 538]","[[944.7953491210938, 518.7353515625], [947.640380859375, 514.4180297851562], [941.9501953125, 514.4180297851562], [953.3305053710938, 514.4180297851562], [940.5277099609375, 517.2962036132812], [961.8657836914062, 508.6615905761719], [943.3727416992188, 533.1264038085938], [971.8235473632812, 537.4437255859375], [946.2178344726562, 563.34765625], [960.4432373046875, 505.78338623046875], [954.7531127929688, 579.1777954101562], [964.7108764648438, 566.225830078125], [940.5277099609375, 567.6649169921875], [978.9361572265625, 606.5208129882812], [946.2178344726562, 603.642578125], [960.4432373046875, 648.2548828125], [926.3023071289062, 648.2548828125], [943.3727722167969, 648.2548828125]]","[[948.48876953125, 672.6853637695312], [949.921142578125, 671.2500610351562], [949.921142578125, 669.8147583007812], [951.3534545898438, 674.1207275390625], [972.8385009765625, 671.2500610351562], [957.082763671875, 697.0858764648438], [990.0264282226562, 691.3445434570312], [947.0564575195312, 734.4042358398438], [1007.2144165039062, 724.3569946289062], [927.0038452148438, 760.2400512695312], [1014.3760986328125, 758.8046875], [990.0264282226562, 758.8046875], [1011.511474609375, 754.4987182617188], [964.2445068359375, 804.7349853515625], [980.0001220703125, 791.8170776367188], [969.9737548828125, 860.712646484375], [995.7557983398438, 842.0533447265625], [982.8647766113281, 851.3829956054688]]"
39,4,01:14:37,134313,26,bottom,smash,,,"[776, 566]","[[937.0579833984375, 488.1280212402344], [939.91845703125, 483.8330993652344], [932.7672729492188, 483.8330993652344], [944.2091064453125, 483.8330993652344], [925.6160278320312, 485.26470947265625], [951.3603515625, 490.9913024902344], [914.1741333007812, 499.5811462402344], [979.965087890625, 490.9913024902344], [895.5810546875, 526.7823486328125], [1007.1395874023438, 503.8760681152344], [892.7205810546875, 551.1203002929688], [948.4998779296875, 525.3507080078125], [919.8951416015625, 525.3507080078125], [974.244140625, 556.8468017578125], [888.4298706054688, 561.1417846679688], [999.9884643554688, 604.091064453125], [866.976318359375, 599.796142578125], [933.4823913574219, 601.943603515625]]","[[829.6635131835938, 742.8377685546875], [826.8095092773438, 741.3961181640625], [826.8095092773438, 742.8377685546875], [818.2474365234375, 768.7863159179688], [829.6635131835938, 751.4873046875], [826.8095092773438, 787.5269775390625], [851.068603515625, 751.4873046875], [832.5174560546875, 884.113525390625], [855.3497314453125, 724.0970458984375], [815.3934326171875, 918.711669921875], [935.2622680664062, 863.9312744140625], [866.7657470703125, 827.8914794921875], [891.0249633789062, 810.5924682617188], [842.5065307617188, 868.2559814453125], [919.5651245117188, 833.6578369140625], [812.5393676757812, 923.036376953125], [935.2622680664062, 861.0480346679688], [873.9008178710938, 892.0422058105469]]"
39,5,01:14:37,134326,9,top,defensive shot,,,"[724, 522]","[[823.4099731445312, 494.8070068359375], [827.70947265625, 491.9239196777344], [820.543701171875, 491.9239196777344], [840.6077880859375, 490.48236083984375], [820.543701171875, 493.3654479980469], [860.6719360351562, 506.33941650390625], [829.142578125, 507.78094482421875], [896.500732421875, 504.8978271484375], [804.7791137695312, 527.9625854492188], [929.4631958007812, 512.1055297851562], [776.1160888671875, 539.4949951171875], [895.0675659179688, 526.5210571289062], [873.5703125, 535.1703491210938], [923.7305908203125, 569.7675170898438], [842.0409545898438, 556.7935791015625], [973.8908081054688, 585.62451171875], [854.9393310546875, 602.923095703125], [914.4150695800781, 594.2738037109375]]","[[804.1140747070312, 778.3765258789062], [802.6759643554688, 778.3765258789062], [802.6759643554688, 776.9420166015625], [779.6658935546875, 785.5491943359375], [802.6759643554688, 778.3765258789062], [775.3515014648438, 817.1085815429688], [821.3716430664062, 799.8944091796875], [775.3515014648438, 850.1026000976562], [853.0104370117188, 827.1502685546875], [792.609130859375, 854.4061889648438], [880.3348999023438, 854.4061889648438], [811.3048095703125, 877.3584594726562], [837.1909790039062, 860.1442260742188], [799.7997436523438, 929.001220703125], [864.5154418945312, 887.4000854492188], [795.4853515625, 982.0784301757812], [884.6492919921875, 933.3048095703125], [840.0673217773438, 957.6916198730469]]"
39,6,01:14:38,134350,26,bottom,net shot,,,"[783, 571]","[[855.0316162109375, 468.2791748046875], [857.8860473632812, 465.4032897949219], [850.75, 465.4032897949219], [865.0220336914062, 466.8412170410156], [847.8955688476562, 468.2791748046875], [877.866943359375, 479.7827453613281], [839.3323974609375, 486.97247314453125], [904.9838256835938, 489.848388671875], [825.060302734375, 514.29345703125], [913.5470581054688, 514.29345703125], [819.3515014648438, 540.176513671875], [876.439697265625, 520.0452270507812], [845.041259765625, 520.0452270507812], [899.2749633789062, 555.993896484375], [822.2059326171875, 558.8698120117188], [919.255859375, 596.2564086914062], [799.3706665039062, 602.0081787109375], [859.3132629394531, 599.1322937011719]]","[[745.33544921875, 694.5071411132812], [748.1829223632812, 693.0711669921875], [748.1829223632812, 690.19921875], [748.1829223632812, 700.2510375976562], [766.6917724609375, 698.8150634765625], [746.7591552734375, 724.66259765625], [773.8104858398438, 713.1748657226562], [748.1829223632812, 754.818115234375], [775.2342529296875, 687.3272705078125], [721.1316528320312, 766.3059692382812], [776.6580200195312, 670.0955200195312], [763.8442993164062, 790.717529296875], [785.2005615234375, 783.5376586914062], [746.7591552734375, 843.8486328125], [742.4879150390625, 829.4888916015625], [766.6917724609375, 859.6444091796875], [765.2680053710938, 859.6444091796875], [765.9798889160156, 859.6444091796875]]"
39,7,01:14:39,134374,9,top,lob,,,"[1114, 619]","[[1062.288818359375, 546.7313842773438], [1065.1402587890625, 542.4410400390625], [1060.863037109375, 541.010986328125], [1049.4571533203125, 535.29052734375], [1049.4571533203125, 535.29052734375], [1048.0313720703125, 555.3121337890625], [1040.902587890625, 543.8712158203125], [1055.16015625, 588.2046508789062], [1052.30859375, 588.2046508789062], [1070.84326171875, 612.5165405273438], [1070.84326171875, 615.3767700195312], [1015.2392578125, 589.634765625], [1012.3878173828125, 589.634765625], [1020.9422607421875, 633.9682006835938], [1050.8829345703125, 603.9359130859375], [991.0016479492188, 626.817626953125], [1056.5858154296875, 656.8500366210938], [1023.7937316894531, 641.8338317871094]]","[[893.5631103515625, 671.978271484375], [893.5631103515625, 666.22314453125], [893.5631103515625, 669.1007080078125], [872.0660400390625, 669.1007080078125], [892.1299438476562, 671.978271484375], [854.8682861328125, 689.2438354492188], [887.8305053710938, 696.437744140625], [830.5048828125, 710.82568359375], [887.8305053710938, 735.28515625], [829.07177734375, 739.6015625], [902.1619262695312, 766.9386596679688], [829.07177734375, 752.5506591796875], [850.56884765625, 759.74462890625], [862.0340576171875, 789.9593505859375], [882.0980224609375, 798.592041015625], [852.0020141601562, 825.9291381835938], [859.167724609375, 841.7559204101562], [855.5848693847656, 833.842529296875]]"
39,8,01:14:40,134408,26,bottom,smash,,,"[765, 579]","[[943.2567749023438, 482.0549011230469], [947.545166015625, 477.74688720703125], [938.9683227539062, 479.18292236328125], [953.2630615234375, 479.18292236328125], [936.109375, 480.618896484375], [961.8399047851562, 487.7988586425781], [926.1029663085938, 494.9788513183594], [986.1409912109375, 489.2348937988281], [910.3787841796875, 520.8267822265625], [1004.7241821289062, 505.03082275390625], [900.3724975585938, 546.6746215820312], [956.1220092773438, 525.1347045898438], [927.5325317382812, 523.69873046875], [980.4231567382812, 562.4705200195312], [901.8019409179688, 562.4705200195312], [1001.8651733398438, 605.5503540039062], [880.3598022460938, 608.42236328125], [941.1124877929688, 606.9863586425781]]","[[769.7039184570312, 781.0137939453125], [772.57763671875, 773.8123168945312], [765.3933715820312, 778.1331787109375], [765.3933715820312, 779.5734252929688], [768.26708984375, 749.327392578125], [785.5092163085938, 746.44677734375], [784.0723876953125, 745.0064697265625], [791.2566528320312, 717.6409301757812], [791.2566528320312, 717.6409301757812], [907.641357421875, 861.6699829101562], [784.0723876953125, 684.5142822265625], [818.5567016601562, 815.5807495117188], [828.6146850585938, 757.9690551757812], [797.0040283203125, 855.9088134765625], [877.4674682617188, 832.8641967773438], [907.641357421875, 860.229736328125], [907.641357421875, 861.6699829101562], [907.641357421875, 860.9498596191406]]"
39,9,01:14:40,134421,9,top,defensive shot,,,"[898, 529]","[[913.7462768554688, 474.13604736328125], [916.6260986328125, 469.8182678222656], [912.3063354492188, 471.2575378417969], [928.1454467773438, 468.37896728515625], [912.3063354492188, 472.69677734375], [943.984619140625, 485.6502685546875], [920.9458618164062, 485.6502685546875], [974.222900390625, 505.80010986328125], [920.9458618164062, 502.92156982421875], [995.8217163085938, 531.70703125], [920.9458618164062, 518.7536010742188], [952.6241455078125, 540.3427124023438], [926.70556640625, 536.02490234375], [969.9031372070312, 579.203125], [893.58740234375, 563.37109375], [998.7015991210938, 606.54931640625], [859.029296875, 605.1100463867188], [928.8654479980469, 605.8296813964844]]","[[721.0784301757812, 803.65380859375], [721.0784301757812, 800.78369140625], [743.97900390625, 793.6083984375], [722.5097045898438, 805.0888671875], [743.97900390625, 796.478515625], [726.8035888671875, 833.7901000976562], [764.0171508789062, 813.69921875], [738.25390625, 869.6666870117188], [791.211669921875, 836.6602172851562], [771.173583984375, 846.7056274414062], [769.7423706054688, 843.8355102539062], [775.4674682617188, 888.322509765625], [801.230712890625, 871.1017456054688], [732.5287475585938, 929.9393310546875], [811.249755859375, 896.932861328125], [715.353271484375, 981.6016235351562], [844.16943359375, 937.1146240234375], [779.7613525390625, 959.3581237792969]]"
39,10,01:14:41,134448,26,bottom,push/rush,,,"[1104, 589]","[[987.2808227539062, 468.532470703125], [990.135986328125, 464.2122497558594], [982.9979858398438, 465.6523132324219], [994.4187622070312, 465.6523132324219], [977.2876586914062, 467.0923767089844], [1005.8395385742188, 474.292724609375], [967.2945556640625, 482.93316650390625], [1025.8258056640625, 474.292724609375], [951.591064453125, 511.73455810546875], [1041.529296875, 495.893798828125], [950.1634521484375, 539.095947265625], [1010.122314453125, 514.6146850585938], [982.9979858398438, 514.6146850585938], [1024.398193359375, 554.9367065429688], [953.0185546875, 552.0565795898438], [1045.8121337890625, 598.1387939453125], [934.4599609375, 589.4984130859375], [990.1360473632812, 593.818603515625]]","[[996.9116821289062, 703.0386352539062], [998.3458862304688, 697.3089599609375], [998.3458862304688, 703.0386352539062], [998.3458862304688, 694.4441528320312], [1016.9899291992188, 691.579345703125], [989.7409057617188, 710.2006225585938], [1031.3314208984375, 705.9034423828125], [961.0576782226562, 728.8218994140625], [1060.0147705078125, 684.4173583984375], [930.9403686523438, 733.119140625], [1080.0928955078125, 668.6608276367188], [979.7017211914062, 773.2265625], [1009.819091796875, 774.6589965820312], [953.8869018554688, 814.7662963867188], [953.8869018554688, 816.19873046875], [922.3353881835938, 857.7385864257812], [1038.5023193359375, 797.5775146484375], [980.4188537597656, 827.6580505371094]]"
