rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
4,1,00:08:13,14802,30,top,short service,,,"[1010, 478]","[[990.80859375, 396.590087890625], [995.0875854492188, 392.2890930175781], [986.5297241210938, 390.85540771484375], [1002.2190551757812, 393.7227478027344], [980.8245239257812, 392.2890930175781], [1009.3505859375, 415.2277526855469], [967.98779296875, 415.2277526855469], [1020.7610473632812, 433.86541748046875], [939.461669921875, 441.03375244140625], [1030.7451171875, 453.936767578125], [958.003662109375, 468.2734680175781], [999.366455078125, 484.0438232421875], [975.1192626953125, 484.0438232421875], [996.5138549804688, 532.7885131835938], [979.398193359375, 529.921142578125], [986.5297241210938, 572.9312133789062], [976.5455932617188, 590.13525390625], [981.5376586914062, 581.5332336425781]]","[[843.8818359375, 596.668701171875], [843.8818359375, 590.90673828125], [843.8818359375, 590.90673828125], [818.18115234375, 590.90673828125], [841.0263061523438, 590.90673828125], [799.6195068359375, 619.7166137695312], [839.598388671875, 616.8356323242188], [793.9082641601562, 657.1695556640625], [859.587890625, 645.6455688476562], [835.31494140625, 645.6455688476562], [866.7269287109375, 651.4075317382812], [798.1917724609375, 698.9439086914062], [823.8924560546875, 701.8248901367188], [816.7533569335938, 758.004150390625], [836.7427978515625, 759.4447021484375], [819.6090087890625, 814.1835327148438], [815.3255615234375, 815.6239624023438], [817.46728515625, 814.9037475585938]]"
4,2,00:08:14,14821,31,bottom,net shot,,,"[917, 545]","[[983.7717895507812, 415.2889709472656], [988.0805053710938, 410.9643249511719], [979.463134765625, 409.5228271484375], [992.3890991210938, 412.4058532714844], [972.2821044921875, 410.9643249511719], [993.8253173828125, 438.3534240722656], [956.4837646484375, 432.5873107910156], [1006.7512817382812, 465.7425537109375], [932.0680541992188, 464.3009948730469], [1019.6771850585938, 496.01470947265625], [926.3232421875, 496.01470947265625], [965.1010131835938, 494.57318115234375], [940.685302734375, 493.1316223144531], [985.2080688476562, 529.169921875], [953.6112670898438, 533.4945068359375], [967.9735107421875, 568.0912475585938], [944.9940185546875, 589.7142333984375], [956.4837646484375, 578.9027404785156]]","[[858.0161743164062, 558.7794189453125], [858.0161743164062, 568.8494262695312], [862.2971801757812, 545.8323974609375], [860.8701782226562, 574.6036376953125], [885.1289672851562, 574.6036376953125], [855.1622924804688, 607.6906127929688], [885.1289672851562, 597.6206665039062], [825.1954956054688, 626.3919067382812], [866.5781860351562, 626.3919067382812], [800.9367065429688, 599.0592651367188], [835.1843872070312, 623.5148315429688], [869.4321899414062, 683.9344482421875], [890.8369140625, 673.864501953125], [839.4653930664062, 737.1613159179688], [883.7020263671875, 714.144287109375], [852.3082885742188, 787.5110473632812], [899.3988647460938, 757.30126953125], [875.8535766601562, 772.4061584472656]]"
4,3,00:08:14,14841,30,top,lob,,,"[934, 456]","[[934.33837890625, 471.0249938964844], [937.1953735351562, 466.702392578125], [930.0529174804688, 468.14324951171875], [942.9093627929688, 468.14324951171875], [924.3388671875, 473.9067077636719], [955.765869140625, 483.99285888671875], [925.767333984375, 496.9607238769531], [978.621826171875, 472.4658508300781], [922.9103393554688, 525.7781982421875], [1004.3348388671875, 453.7344970703125], [1001.477783203125, 456.6162414550781], [944.3378295898438, 558.9182739257812], [922.9103393554688, 556.0365600585938], [947.1948852539062, 616.55322265625], [928.6243896484375, 586.294921875], [934.33837890625, 616.55322265625], [918.6248779296875, 616.55322265625], [926.4816284179688, 616.55322265625]]","[[933.4878540039062, 588.1456909179688], [883.619384765625, 592.4503784179688], [932.0630493164062, 586.7108154296875], [887.893798828125, 593.8853149414062], [912.1156616210938, 588.1456909179688], [890.7434692382812, 618.2784423828125], [929.2133178710938, 609.6690673828125], [896.4426879882812, 651.2809448242188], [954.8599853515625, 648.4111328125], [877.9201049804688, 677.1089477539062], [967.6832885742188, 681.4136352539062], [937.76220703125, 687.1532592773438], [959.1343994140625, 681.4136352539062], [907.8411865234375, 743.114013671875], [940.61181640625, 728.7650756835938], [923.51416015625, 801.9445190429688], [953.4351806640625, 776.116455078125], [938.4746704101562, 789.0304870605469]]"
4,4,00:08:15,14878,31,bottom,drive,,,"[1134, 521]","[[997.1719970703125, 409.7895202636719], [1001.4458618164062, 404.0253601074219], [992.8981323242188, 404.0253601074219], [1005.7197265625, 405.4664001464844], [985.77490234375, 404.0253601074219], [1008.5689697265625, 427.08203125], [968.679443359375, 425.6409912109375], [1022.8153076171875, 450.1387634277344], [948.734619140625, 451.5798034667969], [1032.7877197265625, 481.8416748046875], [947.3099975585938, 481.8416748046875], [997.1719970703125, 484.7237854003906], [967.2548217773438, 484.7237854003906], [1014.2674560546875, 525.0729370117188], [948.734619140625, 527.9550170898438], [1021.3906860351562, 566.8632202148438], [953.0084838867188, 569.7453002929688], [987.1995849609375, 568.3042602539062]]","[[1085.89208984375, 719.7941284179688], [1077.281982421875, 714.0411376953125], [1081.5870361328125, 714.0411376953125], [1054.3218994140625, 728.423583984375], [1080.1519775390625, 725.5470581054688], [1047.1468505859375, 760.0648193359375], [1088.7620849609375, 755.7501220703125], [1028.4918212890625, 787.391357421875], [1131.8121337890625, 735.61474609375], [1035.6668701171875, 754.3118286132812], [1167.6873779296875, 712.6029663085938], [1055.7569580078125, 839.16796875], [1083.0220947265625, 843.4826049804688], [1065.802001953125, 867.9326171875], [1114.5921630859375, 895.2592163085938], [1032.796875, 903.888671875], [1101.6771240234375, 949.9122314453125], [1067.2369995117188, 926.9004516601562]]"
4,5,00:08:16,14899,30,top,lob,,,"[1136, 424]","[[1039.5260009765625, 406.1893310546875], [1040.94677734375, 401.8788757324219], [1033.8431396484375, 401.8788757324219], [1042.367431640625, 404.75250244140625], [1022.4774780273438, 406.1893310546875], [1036.6845703125, 426.3047790527344], [1016.7946166992188, 429.1784362792969], [1057.9952392578125, 433.4888916015625], [1022.4774780273438, 443.5466003417969], [1073.623046875, 430.615234375], [1043.7882080078125, 457.914794921875], [1019.6360473632812, 485.2143249511719], [998.3253784179688, 486.6511535644531], [1038.1053466796875, 524.0084228515625], [1011.1117553710938, 532.6293334960938], [1043.7882080078125, 569.986572265625], [995.4839477539062, 587.2283935546875], [1019.6360778808594, 578.6074829101562]]","[[1011.0006103515625, 653.6730346679688], [1022.4803466796875, 650.8047485351562], [1023.915283203125, 653.6730346679688], [993.7811279296875, 656.5414428710938], [1022.4803466796875, 657.9755249023438], [975.1265869140625, 686.6588745117188], [1038.264892578125, 696.6980590820312], [955.0370483398438, 713.9080200195312], [1052.614501953125, 738.288818359375], [934.9476318359375, 738.288818359375], [1064.09423828125, 774.1428833007812], [975.1265869140625, 775.5770874023438], [1016.740478515625, 775.5770874023438], [956.4720458984375, 808.5629272460938], [1041.1348876953125, 808.5629272460938], [942.1224365234375, 860.19287109375], [1046.8746337890625, 868.7978515625], [994.49853515625, 864.495361328125]]"
4,6,00:08:17,14927,31,bottom,drop,,,"[1217, 319]","[[1057.0535888671875, 401.1041564941406], [1061.3433837890625, 396.79931640625], [1052.7635498046875, 396.79931640625], [1065.63330078125, 399.669189453125], [1042.75390625, 398.2342529296875], [1065.63330078125, 425.49810791015625], [1025.5943603515625, 422.6282043457031], [1074.2130126953125, 452.761962890625], [1002.7150268554688, 448.4571533203125], [1095.6624755859375, 474.2860412597656], [999.8551025390625, 481.46075439453125], [1042.75390625, 481.46075439453125], [1017.0146484375, 481.46075439453125], [1068.4931640625, 521.6390380859375], [1022.7344970703125, 523.073974609375], [1051.333740234375, 553.2077026367188], [1002.7150268554688, 580.4715576171875], [1027.0243835449219, 566.8396301269531]]","[[1174.567626953125, 668.7236328125], [1168.817626953125, 665.8431396484375], [1167.380126953125, 668.7236328125], [1154.4427490234375, 686.006103515625], [1160.1927490234375, 684.5658569335938], [1147.25537109375, 714.8102416992188], [1181.7550048828125, 714.8102416992188], [1168.817626953125, 697.5277709960938], [1224.8795166015625, 707.6092529296875], [1272.3165283203125, 673.0442504882812], [1268.0040283203125, 677.3648681640625], [1164.505126953125, 791.141357421875], [1183.1925048828125, 798.3423461914062], [1224.8795166015625, 842.9888916015625], [1223.4420166015625, 844.4290771484375], [1249.3167724609375, 906.3580932617188], [1249.3167724609375, 904.9177856445312], [1249.3167724609375, 905.637939453125]]"
4,7,00:08:18,14953,30,top,lob,,,"[872, 461]","[[878.7916870117188, 482.1728210449219], [881.6454467773438, 476.4343566894531], [874.510986328125, 479.3035888671875], [893.060546875, 474.9997253417969], [873.0841674804688, 483.607421875], [910.1832275390625, 487.9112854003906], [870.2303466796875, 507.9959411621094], [938.7210083007812, 480.7381896972656], [857.3883056640625, 528.08056640625], [962.9780883789062, 477.86895751953125], [855.96142578125, 549.599853515625], [918.7445068359375, 528.08056640625], [888.7799072265625, 530.9498291015625], [951.56298828125, 562.5114135742188], [861.6689453125, 549.599853515625], [974.3931884765625, 565.3806762695312], [855.96142578125, 601.24609375], [915.1773071289062, 583.3133850097656]]","[[1023.2359008789062, 649.1840209960938], [1005.9560546875, 640.5355224609375], [1008.8360595703125, 641.9769897460938], [1008.8360595703125, 641.9769897460938], [1037.6357421875, 641.9769897460938], [998.756103515625, 678.0122680664062], [1056.3555908203125, 676.5708618164062], [990.1160888671875, 719.8131713867188], [1073.635498046875, 718.3717651367188], [977.1563110351562, 738.551513671875], [1086.5953369140625, 754.4070434570312], [1014.5960083007812, 757.2899169921875], [1050.595703125, 758.7313232421875], [992.9961547851562, 807.7392578125], [1054.9156494140625, 801.9736328125], [1013.156005859375, 856.7472534179688], [1053.4757080078125, 856.7472534179688], [1033.3158569335938, 856.7472534179688]]"
4,8,00:08:19,14989,31,bottom,clear,,,"[1174, 519]","[[1007.368896484375, 400.6460266113281], [1011.6382446289062, 396.32763671875], [1004.522705078125, 396.32763671875], [1015.9076538085938, 397.76708984375], [995.9840087890625, 396.32763671875], [1018.75390625, 423.67730712890625], [977.4834594726562, 420.79840087890625], [1025.8695068359375, 452.4664611816406], [957.559814453125, 449.5875549316406], [1038.677490234375, 479.8161315917969], [957.559814453125, 485.573974609375], [1007.368896484375, 481.2555847167969], [978.9065551757812, 484.134521484375], [1031.5618896484375, 522.9998168945312], [971.791015625, 525.8787841796875], [1014.4844970703125, 556.1073608398438], [966.0985107421875, 580.5781860351562], [990.29150390625, 568.3427734375]]","[[1129.977294921875, 699.9782104492188], [1125.684326171875, 697.0952758789062], [1124.2532958984375, 699.9782104492188], [1107.0809326171875, 717.2757568359375], [1118.529052734375, 712.9513549804688], [1097.063720703125, 741.7807006835938], [1141.425537109375, 747.5465698242188], [1078.46044921875, 741.7807006835938], [1191.5113525390625, 727.3660278320312], [1084.1845703125, 712.9513549804688], [1222.9940185546875, 701.4196166992188], [1112.8050537109375, 821.0613403320312], [1141.425537109375, 822.5027465820312], [1097.063720703125, 859.9808349609375], [1184.3563232421875, 871.5126342773438], [1195.8045654296875, 936.3785400390625], [1195.8045654296875, 936.3785400390625], [1195.8045654296875, 936.3785400390625]]"
4,9,00:08:20,15027,30,top,drop,,,"[810, 328]","[[815.2616577148438, 385.1164855957031], [820.9689331054688, 385.1164855957031], [815.2616577148438, 382.2379150390625], [829.5299682617188, 392.31292724609375], [810.981201171875, 385.1164855957031], [828.1031494140625, 416.7809753417969], [798.1397705078125, 402.38800048828125], [806.7007446289062, 439.8096008300781], [762.4691772460938, 408.1451721191406], [795.2861328125, 419.6595153808594], [746.7740478515625, 402.38800048828125], [813.8348388671875, 477.23126220703125], [795.2861328125, 468.5954895019531], [808.1275634765625, 524.7279052734375], [762.4691772460938, 507.4564208984375], [858.06640625, 553.5137939453125], [752.4813842773438, 541.9994506835938], [805.2738952636719, 547.7566223144531]]","[[891.4346923828125, 665.1530151367188], [891.4346923828125, 660.8428955078125], [923.0812377929688, 660.8428955078125], [892.8731079101562, 665.1530151367188], [921.642822265625, 662.2796020507812], [887.1192016601562, 698.197265625], [941.7816162109375, 696.7605590820312], [878.48828125, 741.2985229492188], [963.35888671875, 732.67822265625], [864.1034545898438, 775.7794189453125], [971.98974609375, 765.7224731445312], [901.5039672851562, 778.6527709960938], [941.7816162109375, 778.6527709960938], [854.0339965820312, 813.1337890625], [961.9203491210938, 805.9501953125], [818.0719604492188, 854.7982177734375], [979.1821899414062, 846.1780395507812], [898.6270751953125, 850.4881286621094]]"
4,10,00:08:21,15051,31,bottom,defensive shot,,,"[1192, 656]","[[953.5269165039062, 381.9293518066406], [957.8273315429688, 377.6209411621094], [949.2265014648438, 377.6209411621094], [962.1277465820312, 377.6209411621094], [939.1920166015625, 374.7486572265625], [967.8616333007812, 400.5992126464844], [921.9902954101562, 402.0353698730469], [972.1621704101562, 430.7582092285156], [903.35498046875, 430.7582092285156], [985.0635375976562, 459.4810485839844], [891.8871459960938, 460.91717529296875], [949.2265014648438, 460.91717529296875], [924.857177734375, 460.91717529296875], [972.1621704101562, 504.00146484375], [929.15771484375, 508.30987548828125], [949.2265014648438, 549.9580078125], [913.3893432617188, 558.5748901367188], [931.3079223632812, 554.2664489746094]]","[[1126.8365478515625, 674.4794311523438], [1126.8365478515625, 668.721435546875], [1128.265380859375, 668.721435546875], [1099.68896484375, 665.8424072265625], [1123.9788818359375, 671.6004028320312], [1082.5430908203125, 683.1163940429688], [1125.40771484375, 698.950927734375], [1055.3955078125, 683.1163940429688], [1142.5535888671875, 719.1038818359375], [1021.1038208007812, 673.0399169921875], [1159.699462890625, 726.3013916015625], [1071.112548828125, 759.409912109375], [1111.1195068359375, 760.8494873046875], [1039.678466796875, 799.7160034179688], [1138.26708984375, 760.8494873046875], [1021.1038208007812, 838.58251953125], [1146.8399658203125, 804.0344848632812], [1083.9718933105469, 821.3085021972656]]"
