rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
17,3,00:14:44,26527,11,bottom,drive,,,"[1243, 624]","[[1005.3709106445312, 474.0445861816406], [1009.6575317382812, 469.7398986816406], [999.6553344726562, 469.7398986816406], [1013.9441528320312, 471.1748046875], [991.0820922851562, 471.1748046875], [1018.2307739257812, 489.8283996582031], [975.364501953125, 491.2633361816406], [1041.0927734375, 505.6122741699219], [959.6468505859375, 521.3960571289062], [1062.5260009765625, 522.8309936523438], [953.9312744140625, 552.9638061523438], [1002.5131225585938, 544.3544311523438], [972.5067138671875, 544.3544311523438], [1023.9462890625, 583.0964965820312], [959.6468505859375, 585.96630859375], [1025.3751220703125, 627.5782470703125], [959.6468505859375, 634.752685546875], [992.510986328125, 631.1654663085938]]","[[1140.0440673828125, 739.6251220703125], [1137.1751708984375, 733.8685302734375], [1137.1751708984375, 736.746826171875], [1112.7894287109375, 743.9425048828125], [1131.4373779296875, 742.5033569335938], [1102.748291015625, 775.6035766601562], [1144.347412109375, 777.0427856445312], [1088.4036865234375, 811.5820922851562], [1200.2911376953125, 765.529541015625], [1119.961669921875, 814.4603881835938], [1228.980224609375, 739.6251220703125], [1107.0516357421875, 860.5128784179688], [1132.871826171875, 861.9519653320312], [1122.8306884765625, 889.2955932617188], [1191.6844482421875, 903.68701171875], [1064.0179443359375, 926.7132568359375], [1188.8155517578125, 962.6917724609375], [1126.416748046875, 944.7025146484375]]"
17,4,00:14:44,26542,5,top,defensive shot,,,"[1134, 523]","[[1055.0443115234375, 488.7958679199219], [1056.4735107421875, 484.4734191894531], [1050.756591796875, 484.4734191894531], [1037.893798828125, 487.35504150390625], [1037.893798828125, 487.35504150390625], [1029.318603515625, 501.76312255859375], [1030.747802734375, 506.08551025390625], [1055.0443115234375, 530.5792236328125], [1047.8983154296875, 527.6976318359375], [1083.62841796875, 549.3096923828125], [1080.77001953125, 547.868896484375], [1020.7433471679688, 555.0729370117188], [997.8760986328125, 552.1912841796875], [1049.327392578125, 593.9747314453125], [1005.0221557617188, 596.8563232421875], [1057.9027099609375, 634.3172607421875], [963.5751953125, 632.87646484375], [1010.7389526367188, 633.5968627929688]]","[[1063.1241455078125, 683.5728759765625], [1063.1241455078125, 677.8236694335938], [1064.560546875, 677.8236694335938], [1064.560546875, 679.2609252929688], [1090.4156494140625, 682.1355590820312], [1050.1964111328125, 708.0070190429688], [1103.3433837890625, 715.1935424804688], [1018.5956420898438, 731.00390625], [1120.5802001953125, 758.3126220703125], [1004.2316284179688, 741.0650024414062], [1119.143798828125, 791.3706665039062], [1055.942138671875, 795.6826171875], [1090.4156494140625, 799.9945678710938], [1054.5057373046875, 857.4866943359375], [1116.27099609375, 845.9882202148438], [1054.5057373046875, 900.6058349609375], [1107.652587890625, 906.3551025390625], [1081.0791625976562, 903.48046875]]"
17,5,00:14:45,26563,11,bottom,drive,,,"[941, 611]","[[1021.3889770507812, 474.9102783203125], [1027.10205078125, 470.6129150390625], [1017.104248046875, 470.6129150390625], [1035.671630859375, 472.04534912109375], [1011.39111328125, 472.04534912109375], [1041.384765625, 492.09967041015625], [995.6802978515625, 492.09967041015625], [1061.3804931640625, 517.8837890625], [977.11279296875, 522.1810913085938], [1072.8065185546875, 543.6679077148438], [965.6867065429688, 553.695068359375], [1017.104248046875, 546.5327758789062], [987.1106567382812, 542.2354125976562], [1032.815185546875, 583.7764892578125], [972.8280029296875, 583.7764892578125], [1039.95654296875, 636.7771606445312], [958.54541015625, 631.04736328125], [999.2509765625, 633.9122619628906]]","[[916.9312744140625, 665.52685546875], [918.3709106445312, 662.6475219726562], [919.8104858398438, 664.087158203125], [921.2501220703125, 665.52685546875], [942.844482421875, 669.8458251953125], [919.8104858398438, 694.3198852539062], [941.40478515625, 695.7595825195312], [908.2935791015625, 721.6732788085938], [908.2935791015625, 723.1129760742188], [865.1049194335938, 730.3112182617188], [866.5444946289062, 730.3112182617188], [922.689697265625, 780.6990356445312], [944.2839965820312, 774.9404907226562], [896.776611328125, 841.1644897460938], [893.8973388671875, 839.724853515625], [944.2839965820312, 867.0782470703125], [948.6029052734375, 868.5178833007812], [946.4434509277344, 867.7980651855469]]"
17,6,00:14:46,26584,5,top,push/rush,,,"[748, 546]","[[834.3564453125, 515.564697265625], [838.6500244140625, 511.25164794921875], [832.9252319335938, 512.6893310546875], [850.0994873046875, 514.1270141601562], [830.0628662109375, 518.4400024414062], [870.1360473632812, 528.503662109375], [834.3564453125, 540.0050048828125], [905.915771484375, 528.503662109375], [807.1639404296875, 557.2569580078125], [938.8330688476562, 534.2543334960938], [778.5402221679688, 570.1959838867188], [884.447998046875, 581.697265625], [855.8242797851562, 581.697265625], [913.0717163085938, 614.7636108398438], [834.3564453125, 616.2012329101562], [944.5578002929688, 642.0792236328125], [800.0079345703125, 655.0182495117188], [872.2828674316406, 648.5487365722656]]","[[871.5663452148438, 639.5508422851562], [871.5663452148438, 635.2324829101562], [872.9917602539062, 635.2324829101562], [874.4171752929688, 636.6719360351562], [897.2244262695312, 632.3535766601562], [881.54443359375, 659.7033081054688], [924.3079223632812, 656.8244018554688], [871.5663452148438, 691.3714599609375], [944.2642211914062, 694.2504272460938], [848.7590942382812, 721.6001586914062], [947.1151733398438, 728.7974853515625], [907.2025756835938, 744.6315307617188], [934.2860717773438, 737.4342041015625], [875.8426513671875, 795.0126953125], [932.8606567382812, 797.8916015625], [894.3734741210938, 854.0305786132812], [935.7114868164062, 852.591064453125], [915.04248046875, 853.3108215332031]]"
17,7,00:14:47,26621,11,bottom,drive,,,"[1235, 661]","[[992.0492553710938, 465.60614013671875], [996.3355102539062, 462.7250671386719], [987.762939453125, 462.7250671386719], [999.1929931640625, 465.60614013671875], [979.1904296875, 462.7250671386719], [1002.050537109375, 485.77374267578125], [963.47412109375, 482.89263916015625], [1022.0531005859375, 498.73858642578125], [942.0427856445312, 508.8223876953125], [1043.484375, 511.7034606933594], [932.04150390625, 536.1926879882812], [983.4766845703125, 541.954833984375], [956.330322265625, 540.5142822265625], [999.1929931640625, 583.7305297851562], [952.0440673828125, 582.2899780273438], [984.9054565429688, 632.7089233398438], [946.3290405273438, 641.3521728515625], [965.6172485351562, 637.0305480957031]]","[[1159.4844970703125, 773.8419799804688], [1159.4844970703125, 768.0746459960938], [1153.74560546875, 770.9583129882812], [1135.09423828125, 773.8419799804688], [1139.3984375, 775.2838134765625], [1125.05126953125, 795.4696044921875], [1129.35546875, 801.2369384765625], [1110.7042236328125, 824.306396484375], [1183.874755859375, 821.4227294921875], [1242.6981201171875, 819.9808959960938], [1239.82861328125, 819.9808959960938], [1137.9637451171875, 884.8635864257812], [1126.4859619140625, 889.1891479492188], [1117.877685546875, 915.1422119140625], [1181.0052490234375, 912.258544921875], [1056.1849365234375, 923.793212890625], [1215.4383544921875, 972.8157958984375], [1135.8116455078125, 948.3045043945312]]"
17,8,00:14:48,26647,5,top,net shot,,,"[759, 523]","[[850.948974609375, 493.5031433105469], [855.242919921875, 487.7618408203125], [848.0863647460938, 489.1971740722656], [868.1245727539062, 489.1971740722656], [845.2238159179688, 493.5031433105469], [882.4375, 510.7269592285156], [842.3612060546875, 515.0328979492188], [911.0635375976562, 507.8563232421875], [813.7352294921875, 506.4209899902344], [928.2390747070312, 486.3265686035156], [772.2276611328125, 535.1273193359375], [872.41845703125, 583.9281616210938], [846.6551513671875, 583.9281616210938], [898.1817626953125, 618.375732421875], [832.3421020507812, 629.8583374023438], [918.219970703125, 647.0820922851562], [799.4222412109375, 672.9177856445312], [858.8211059570312, 659.9999389648438]]","[[1008.6049194335938, 675.262451171875], [1010.03955078125, 670.9515380859375], [1015.7782592773438, 670.9515380859375], [1011.4743041992188, 673.8255004882812], [1037.29833984375, 672.3884887695312], [1004.3009033203125, 701.1279907226562], [1060.2529296875, 705.43896484375], [975.607666015625, 735.6154174804688], [1077.468994140625, 749.9851684570312], [966.9995727539062, 755.7330322265625], [1086.076904296875, 784.4725952148438], [1030.125, 787.3465576171875], [1061.6876220703125, 785.9095458984375], [1014.3436279296875, 846.2625122070312], [1045.90625, 836.2036743164062], [1045.90625, 897.9935913085938], [1061.6876220703125, 892.2457275390625], [1053.7969360351562, 895.1196594238281]]"
17,9,00:14:49,26673,11,bottom,lob,,,"[644, 640]","[[880.8373413085938, 471.5860900878906], [885.13916015625, 467.28326416015625], [877.9695434570312, 467.28326416015625], [895.1767578125, 468.717529296875], [872.2337646484375, 468.717529296875], [903.7803344726562, 484.49456787109375], [862.1962280273438, 491.6659240722656], [926.7233276367188, 494.5344543457031], [844.989013671875, 523.219970703125], [943.930419921875, 503.14013671875], [830.6497192382812, 557.6425170898438], [890.8749389648438, 544.7340698242188], [863.6301879882812, 544.7340698242188], [906.648193359375, 586.3280029296875], [867.9319458007812, 592.0651245117188], [896.610595703125, 635.0933227539062], [865.0640258789062, 646.5675048828125], [880.8373107910156, 640.8304138183594]]","[[697.5206909179688, 689.864013671875], [698.9584350585938, 685.5446166992188], [698.9584350585938, 682.6650390625], [704.7094116210938, 688.4242553710938], [721.9624633789062, 679.7854614257812], [727.7135009765625, 704.261962890625], [736.3400268554688, 692.7435913085938], [744.966552734375, 740.2567749023438], [740.6533203125, 744.5761108398438], [733.4644775390625, 776.2515869140625], [719.0869750976562, 792.0892333984375], [773.7215576171875, 757.5342407226562], [785.2235717773438, 750.3352661132812], [788.09912109375, 812.2462768554688], [788.09912109375, 812.2462768554688], [834.107177734375, 835.2830200195312], [832.6693725585938, 835.2830200195312], [833.3882751464844, 835.2830200195312]]"
17,10,00:14:50,26723,5,top,drop,,,"[699, 274]","[[775.805419921875, 371.59014892578125], [781.5076293945312, 368.716552734375], [774.3798217773438, 367.2797546386719], [785.7843017578125, 380.21087646484375], [768.6776123046875, 371.59014892578125], [784.3587036132812, 407.5098571777344], [755.84765625, 387.3948059082031], [794.337646484375, 430.4984436035156], [727.3366088867188, 365.8429870605469], [792.9120483398438, 427.6248779296875], [711.655517578125, 331.36004638671875], [768.6776123046875, 466.41815185546875], [750.1455078125, 463.5445556640625], [772.954345703125, 515.2689819335938], [750.1455078125, 512.3953857421875], [785.7843017578125, 564.1197509765625], [758.6987915039062, 556.935791015625], [772.2415466308594, 560.5277709960938]]","[[843.8452758789062, 636.7088623046875], [843.8452758789062, 632.3967895507812], [843.8452758789062, 632.3967895507812], [845.2824096679688, 636.7088623046875], [871.14990234375, 633.8341064453125], [839.5340576171875, 666.8934936523438], [892.7060546875, 658.2693481445312], [836.659912109375, 701.3902587890625], [917.1364135742188, 694.2034301757812], [839.5340576171875, 741.6363525390625], [921.4476928710938, 725.8253784179688], [862.52734375, 745.948486328125], [898.4544067382812, 740.1990356445312], [839.5340576171875, 794.8189086914062], [920.0106811523438, 796.2562255859375], [842.4082641601562, 846.56396484375], [924.3218994140625, 855.1881103515625], [883.3650817871094, 850.8760375976562]]"
17,11,00:14:51,26746,11,bottom,defensive shot,,,"[1305, 774]","[[856.7628173828125, 458.6001892089844], [861.0336303710938, 454.28717041015625], [852.4920043945312, 454.28717041015625], [863.880859375, 455.7248840332031], [842.52685546875, 454.28717041015625], [862.4571533203125, 472.97686767578125], [825.4436645507812, 471.5391540527344], [875.26953125, 493.1041564941406], [798.3953247070312, 485.91583251953125], [870.998779296875, 483.04052734375], [784.159423828125, 514.6691284179688], [831.1380615234375, 523.295166015625], [814.054931640625, 511.7938232421875], [815.478515625, 556.3614501953125], [831.1380615234375, 549.1731567382812], [831.1380615234375, 608.117431640625], [831.1380615234375, 608.117431640625], [831.1380615234375, 608.117431640625]]","[[1227.076904296875, 764.4594116210938], [1209.85009765625, 744.4009399414062], [1227.076904296875, 761.5939331054688], [1204.1077880859375, 747.2664184570312], [1225.641357421875, 761.5939331054688], [1179.7030029296875, 751.5646362304688], [1204.1077880859375, 775.92138671875], [1155.2982177734375, 738.6699829101562], [1239.9971923828125, 808.8746337890625], [1133.7646484375, 730.0734252929688], [1278.7576904296875, 823.2021484375], [1113.66650390625, 794.547119140625], [1145.2491455078125, 806.0091552734375], [1070.599365234375, 828.9331665039062], [1198.365478515625, 811.7401733398438], [1024.660888671875, 851.8571166992188], [1219.8990478515625, 856.1553344726562], [1122.2799682617188, 854.0062255859375]]"
17,12,00:14:52,26770,5,top,drive,,,"[1115, 474]","[[1132.2479248046875, 499.3076171875], [1130.8143310546875, 492.0983581542969], [1123.6466064453125, 492.0983581542969], [1135.114990234375, 499.3076171875], [1113.6116943359375, 500.74945068359375], [1135.114990234375, 516.6098022460938], [1115.045166015625, 519.4935302734375], [1175.254638671875, 532.4701538085938], [1125.0802001953125, 538.2376098632812], [1160.9190673828125, 516.6098022460938], [1148.01708984375, 516.6098022460938], [1132.2479248046875, 598.7952880859375], [1122.2130126953125, 603.120849609375], [1116.478759765625, 624.7485961914062], [1152.317626953125, 631.9578247070312], [1069.17138671875, 640.6089477539062], [1193.8909912109375, 682.422607421875], [1131.5311889648438, 661.5157775878906]]","[[1134.275390625, 659.5529174804688], [1109.7979736328125, 653.8131103515625], [1134.275390625, 655.248046875], [1109.7979736328125, 656.6830444335938], [1134.275390625, 659.5529174804688], [1091.079833984375, 678.2073974609375], [1144.3543701171875, 693.9920043945312], [1059.403076171875, 711.2114868164062], [1148.6739501953125, 734.1708374023438], [1069.482177734375, 739.91064453125], [1157.3131103515625, 755.6951904296875], [1079.56103515625, 760.0001220703125], [1115.557373046875, 761.43505859375], [1050.7640380859375, 790.1342163085938], [1154.433349609375, 804.4838256835938], [1047.8843994140625, 850.4025268554688], [1177.470947265625, 859.0122680664062], [1112.6776733398438, 854.7073974609375]]"
