rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
6,1,00:28:03,50519,5,bottom,short service,,,"[911, 553]","[[888.892333984375, 345.4576416015625], [891.7420043945312, 341.1639404296875], [884.61767578125, 341.1639404296875], [897.4415283203125, 342.5951843261719], [881.7679443359375, 342.5951843261719], [905.9907836914062, 362.6325378417969], [870.3689575195312, 358.33880615234375], [914.5400390625, 382.66986083984375], [860.3948364257812, 375.513671875], [898.866455078125, 395.551025390625], [867.5191650390625, 395.551025390625], [897.4415283203125, 411.294677734375], [880.3430786132812, 409.8634033203125], [898.866455078125, 442.7818908691406], [886.0425415039062, 441.3506774902344], [903.1409912109375, 474.2691650390625], [894.591796875, 458.52557373046875], [898.8663940429688, 466.3973693847656]]","[[963.1887817382812, 543.232421875], [964.6243896484375, 538.9210205078125], [966.06005859375, 537.4838256835938], [964.6243896484375, 543.232421875], [987.5947875976562, 541.7952880859375], [958.8818359375, 571.9751586914062], [1000.515625, 566.2265625], [925.8618774414062, 576.2864990234375], [1010.565185546875, 566.2265625], [911.5053100585938, 560.47802734375], [1010.565185546875, 561.9151611328125], [976.109619140625, 649.5804443359375], [1000.515625, 649.5804443359375], [968.931396484375, 708.5029907226562], [993.33740234375, 686.9459838867188], [1000.515625, 765.9884643554688], [996.208740234375, 732.934326171875], [998.3621826171875, 749.4613952636719]]"
6,2,00:28:04,50538,12,top,lob,,,"[872, 345]","[[875.4140625, 383.35003662109375], [878.2767944335938, 380.481689453125], [872.5514526367188, 380.481689453125], [882.57080078125, 381.9158630371094], [866.826171875, 381.9158630371094], [888.2960815429688, 404.8624267578125], [861.100830078125, 403.4282531738281], [899.7467041015625, 423.50653076171875], [849.6502685546875, 409.1649169921875], [915.4912719726562, 436.41400146484375], [843.9249267578125, 417.7698669433594], [879.7080688476562, 445.0189208984375], [861.100830078125, 445.0189208984375], [892.5900268554688, 478.0046691894531], [856.806884765625, 470.8338317871094], [896.884033203125, 489.47796630859375], [856.806884765625, 509.5561828613281], [876.845458984375, 499.51707458496094]]","[[906.7772827148438, 556.8536987304688], [908.2115478515625, 553.9705200195312], [908.2115478515625, 553.9705200195312], [908.2115478515625, 555.412109375], [929.726318359375, 553.9705200195312], [913.9487915039062, 588.5686645507812], [945.5037841796875, 577.0359497070312], [892.4341430664062, 595.776611328125], [961.2813110351562, 607.3093872070312], [869.485107421875, 611.6340942382812], [872.3536987304688, 611.6340942382812], [945.5037841796875, 654.8818359375], [955.5440673828125, 647.6738891601562], [919.6860961914062, 715.4285888671875], [923.9890747070312, 712.54541015625], [958.4126586914062, 765.8842163085938], [958.4126586914062, 763.0010986328125], [958.4126586914062, 764.4426574707031]]"
6,3,00:28:05,50569,5,bottom,smash,,,"[821, 416]","[[935.7811279296875, 337.690185546875], [938.6502075195312, 333.3999328613281], [931.4773559570312, 333.3999328613281], [944.3885498046875, 333.3999328613281], [928.6082153320312, 333.3999328613281], [955.8651123046875, 353.421142578125], [918.5662231445312, 353.421142578125], [963.0379638671875, 369.152099609375], [909.9588012695312, 373.4423522949219], [961.6034545898438, 390.6033935546875], [909.9588012695312, 394.8936767578125], [948.6921997070312, 390.6033935546875], [924.3045043945312, 389.17333984375], [967.3416748046875, 413.48480224609375], [909.9588012695312, 422.06536865234375], [990.2948608398438, 442.0865478515625], [888.440185546875, 442.0865478515625], [939.3675231933594, 442.0865478515625]]","[[806.0551147460938, 645.7731323242188], [813.2448120117188, 641.464111328125], [806.0551147460938, 640.0277709960938], [826.1864624023438, 650.0821533203125], [800.30322265625, 644.3367919921875], [837.6900634765625, 674.5], [788.7996215820312, 673.0636596679688], [866.44921875, 688.8634033203125], [745.660888671875, 660.1365966796875], [877.9529418945312, 700.3541870117188], [719.7776489257812, 631.4097290039062], [836.2520751953125, 759.2442016601562], [803.1791381835938, 757.807861328125], [842.0039672851562, 825.31591796875], [775.8579711914062, 806.6435546875], [850.6317138671875, 792.2800903320312], [770.1061401367188, 879.89697265625], [810.3689270019531, 836.0885314941406]]"
6,4,00:28:06,50581,12,top,defensive shot,,,"[950, 368]","[[951.665283203125, 346.06805419921875], [954.5258178710938, 341.75457763671875], [948.8046875, 341.75457763671875], [960.2470092773438, 341.75457763671875], [945.944091796875, 344.6302490234375], [970.259033203125, 353.2571716308594], [940.222900390625, 363.32196044921875], [980.2710571289062, 374.82452392578125], [951.665283203125, 382.013671875], [994.573974609375, 390.640625], [934.501708984375, 402.1432189941406], [968.8287963867188, 394.9540710449219], [948.8046875, 396.39190673828125], [991.71337890625, 413.64581298828125], [930.2108154296875, 416.52142333984375], [1006.016357421875, 445.27789306640625], [893.0232543945312, 442.4022521972656], [949.5198059082031, 443.84007263183594]]","[[793.14794921875, 679.412353515625], [788.8829345703125, 673.6458740234375], [817.3163452148438, 667.87939453125], [795.9912719726562, 679.412353515625], [818.738037109375, 672.2042236328125], [807.3646240234375, 714.0113525390625], [840.0631103515625, 692.386962890625], [810.2080078125, 758.70166015625], [854.2799072265625, 716.89453125], [804.5213623046875, 799.0670166015625], [818.738037109375, 760.1431884765625], [865.6532592773438, 774.5594482421875], [878.4483032226562, 760.1431884765625], [825.846435546875, 836.5492553710938], [831.5331420898438, 767.351318359375], [865.6532592773438, 895.65576171875], [857.1232299804688, 832.224365234375], [861.3882446289062, 863.9400634765625]]"
6,5,00:28:06,50602,5,bottom,drive,,,"[1104, 457]","[[990.9412841796875, 328.0802917480469], [993.7902221679688, 323.7664794921875], [988.09228515625, 322.32855224609375], [999.4881591796875, 323.7664794921875], [982.394287109375, 322.32855224609375], [1006.6105346679688, 342.4595947265625], [970.9984741210938, 345.3354797363281], [1010.8840942382812, 361.1527099609375], [965.3004760742188, 369.7803039550781], [1010.8840942382812, 381.28375244140625], [975.2719116210938, 387.03546142578125], [998.0636596679688, 384.15960693359375], [975.2719116210938, 384.15960693359375], [1018.0064697265625, 415.7940979003906], [958.1781005859375, 412.9182434082031], [1035.100341796875, 444.5527038574219], [939.6598510742188, 443.11480712890625], [987.3800964355469, 443.83375549316406]]","[[944.0223999023438, 610.0615844726562], [942.5874633789062, 604.2980346679688], [944.0223999023438, 605.7389526367188], [921.0634155273438, 604.2980346679688], [942.5874633789062, 610.0615844726562], [902.4092407226562, 620.1478271484375], [946.892333984375, 640.3203125], [862.23095703125, 631.6749877929688], [969.851318359375, 648.9656372070312], [824.9225463867188, 644.6430053710938], [984.2007446289062, 647.5247802734375], [876.580322265625, 702.2786254882812], [906.7140502929688, 709.4830932617188], [847.8815307617188, 746.9462280273438], [939.7176513671875, 746.9462280273438], [817.747802734375, 785.8502807617188], [955.501953125, 798.8182983398438], [886.6248779296875, 792.3342895507812]]"
6,6,00:28:07,50621,12,top,drive,,,"[997, 420]","[[1074.5924072265625, 357.2552795410156], [1074.5924072265625, 352.9498596191406], [1070.345947265625, 351.51470947265625], [1076.0078125, 352.9498596191406], [1060.4375, 354.385009765625], [1070.345947265625, 371.606689453125], [1059.02197265625, 374.47698974609375], [1070.345947265625, 400.30950927734375], [1067.514892578125, 390.2635498046875], [1085.9163818359375, 394.5689697265625], [1083.0853271484375, 393.13385009765625], [1064.6839599609375, 414.66094970703125], [1054.7755126953125, 420.4015197753906], [1088.747314453125, 439.0583801269531], [1085.9163818359375, 436.1880798339844], [1060.4375, 450.53948974609375], [1091.5782470703125, 474.9368896484375], [1076.0078735351562, 462.7381896972656]]","[[967.75537109375, 580.5486450195312], [964.8887939453125, 574.7845458984375], [967.75537109375, 576.2255859375], [944.82275390625, 579.107666015625], [967.75537109375, 579.107666015625], [930.4898071289062, 606.4873046875], [979.2217407226562, 607.9283447265625], [898.9574584960938, 639.6311645507812], [990.68798828125, 638.1901245117188], [898.9574584960938, 641.0722045898438], [999.2877807617188, 667.0108642578125], [941.9561157226562, 681.4212036132812], [973.488525390625, 681.4212036132812], [927.6231689453125, 730.4164428710938], [1007.887451171875, 723.2113037109375], [917.5901489257812, 788.0579223632812], [1032.25341796875, 780.8527221679688], [974.9217834472656, 784.455322265625]]"
6,7,00:28:07,50634,5,bottom,defensive shot,,,"[780, 472]","[[1026.906005859375, 332.0298156738281], [1031.201416015625, 329.15496826171875], [1024.0423583984375, 327.717529296875], [1035.496826171875, 329.15496826171875], [1018.3151245117188, 329.15496826171875], [1042.6558837890625, 349.2789001464844], [1005.4288940429688, 349.2789001464844], [1051.2467041015625, 369.4028015136719], [998.2698364257812, 367.96539306640625], [1055.5421142578125, 390.9641418457031], [996.8380737304688, 386.6518859863281], [1032.6331787109375, 388.08929443359375], [1011.1561279296875, 388.08929443359375], [1045.5194091796875, 416.8377685546875], [1001.1334838867188, 416.8377685546875], [1048.383056640625, 454.210693359375], [982.52001953125, 449.8984375], [1015.4515380859375, 452.0545654296875]]","[[877.9031372070312, 596.5390014648438], [880.7740478515625, 595.1026000976562], [877.9031372070312, 593.6661376953125], [893.6929321289062, 599.411865234375], [903.7410278320312, 597.9754028320312], [897.999267578125, 620.9584350585938], [912.3536376953125, 616.6491088867188], [935.3207397460938, 629.5770263671875], [850.6297607421875, 596.5390014648438], [926.7080688476562, 669.7973022460938], [969.7713012695312, 648.250732421875], [939.6270141601562, 684.1616821289062], [959.7232666015625, 676.9794921875], [893.6929321289062, 715.7632446289062], [991.3028564453125, 724.3818969726562], [879.3385620117188, 766.03857421875], [1034.3660888671875, 770.347900390625], [956.8523254394531, 768.1932373046875]]"
6,8,00:28:08,50657,12,top,net shot,,,"[887, 377]","[[946.4852905273438, 365.9981994628906], [949.3421630859375, 361.6981506347656], [943.6283569335938, 361.6981506347656], [956.4844360351562, 360.26483154296875], [942.199951171875, 364.56488037109375], [967.9119262695312, 377.4649963378906], [940.771484375, 384.6317443847656], [976.4826049804688, 393.2318420410156], [935.0576782226562, 404.6986083984375], [992.1956176757812, 411.8653564453125], [929.3438720703125, 417.5987854003906], [967.9119262695312, 421.8988037109375], [946.4852905273438, 423.3321533203125], [983.6249389648438, 449.1324157714844], [939.3430786132812, 447.6990966796875], [995.052490234375, 463.4659423828125], [935.0576782226562, 489.2662048339844], [965.0550842285156, 476.36607360839844]]","[[905.0756225585938, 568.9864501953125], [906.5108642578125, 566.1052856445312], [930.910400390625, 566.1052856445312], [906.5108642578125, 568.9864501953125], [929.4751586914062, 567.5458984375], [905.0756225585938, 599.2382202148438], [948.133544921875, 590.5948486328125], [872.0646362304688, 629.4900512695312], [966.7920532226562, 623.727783203125], [847.6651000976562, 639.573974609375], [976.8388671875, 646.7767944335938], [938.0867309570312, 668.38525390625], [968.227294921875, 661.1824340820312], [902.205078125, 717.3643188476562], [991.1914672851562, 700.0775756835938], [906.5108642578125, 780.7491455078125], [1019.8967895507812, 750.4972534179688], [963.2038269042969, 765.6231994628906]]"
6,9,00:28:09,50680,5,bottom,net shot,,,"[915, 452]","[[975.8590087890625, 345.3320007324219], [978.7384033203125, 342.4588317871094], [971.5398559570312, 341.0222473144531], [984.4972534179688, 342.4588317871094], [967.220703125, 342.4588317871094], [987.3766479492188, 361.1344299316406], [954.26318359375, 368.3173522949219], [990.2561645507812, 382.6831970214844], [947.0646362304688, 394.1759033203125], [998.8944702148438, 404.23199462890625], [947.0646362304688, 417.1612548828125], [972.9794921875, 404.23199462890625], [957.1426391601562, 408.541748046875], [984.4972534179688, 431.527099609375], [967.220703125, 438.7100524902344], [971.5398559570312, 454.512451171875], [955.702880859375, 476.0612487792969], [963.6213684082031, 465.28684997558594]]","[[920.4263305664062, 530.9536743164062], [921.8651123046875, 529.51513671875], [920.4263305664062, 528.07666015625], [924.7426147460938, 530.9536743164062], [942.0076904296875, 526.6381225585938], [931.9363403320312, 556.84716796875], [950.6402587890625, 543.900390625], [921.8651123046875, 575.5480346679688], [923.3038330078125, 576.986572265625], [888.7736206054688, 585.6177368164062], [890.21240234375, 587.0562744140625], [947.7627563476562, 621.5809326171875], [965.0277709960938, 621.5809326171875], [936.252685546875, 666.1752319335938], [934.8139038085938, 666.1752319335938], [950.6402587890625, 725.1548461914062], [957.833984375, 728.0318603515625], [954.2371215820312, 726.5933532714844]]"
6,10,00:28:10,50706,12,top,lob,,,"[917, 356]","[[956.2627563476562, 394.4513244628906], [959.1046142578125, 390.1415710449219], [953.4208984375, 391.578125], [961.9464721679688, 391.578125], [947.7371215820312, 394.4513244628906], [971.8928833007812, 407.380615234375], [944.895263671875, 416.0001525878906], [980.41845703125, 427.49285888671875], [942.0534057617188, 427.49285888671875], [997.4696655273438, 443.29534912109375], [951.9999389648438, 427.49285888671875], [970.4719848632812, 449.041748046875], [951.9999389648438, 450.4783020019531], [978.99755859375, 473.4637145996094], [959.1046142578125, 479.2100830078125], [956.2627563476562, 512.2516479492188], [957.6836547851562, 512.2516479492188], [956.9732055664062, 512.2516479492188]]","[[928.6097412109375, 514.7422485351562], [930.0435791015625, 511.8619079589844], [951.5526123046875, 507.5414123535156], [931.4775390625, 514.7422485351562], [948.6847534179688, 510.4217529296875], [932.9114990234375, 540.6652221679688], [963.0241088867188, 527.7037963867188], [907.1007080078125, 570.9087524414062], [958.7222900390625, 490.2594299316406], [879.85595703125, 583.8702392578125], [960.1561889648438, 490.2594299316406], [974.4955444335938, 605.4727783203125], [987.4009399414062, 595.3916015625], [941.51513671875, 654.4384155273438], [971.6277465820312, 625.6350708007812], [964.4580078125, 707.724609375], [984.5331420898438, 655.8786010742188], [974.4955749511719, 681.8016052246094]]"
