rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
11,1,00:10:58,19747,0,top,short service,,,"[988, 455]","[[967.2247924804688, 363.5177917480469], [971.4906005859375, 359.20623779296875], [964.3809204101562, 359.20623779296875], [974.33447265625, 360.6434326171875], [954.4273681640625, 360.6434326171875], [977.1783447265625, 383.6383972167969], [941.6299438476562, 383.6383972167969], [989.975830078125, 402.32177734375], [930.25439453125, 402.32177734375], [1002.7732543945312, 422.4423522949219], [934.520263671875, 421.0051574707031], [961.5370483398438, 442.56292724609375], [938.7860717773438, 439.6885681152344], [960.1151733398438, 479.9297180175781], [940.2079467773438, 485.6784973144531], [935.9421997070312, 502.9247131347656], [935.9421997070312, 531.6683959960938], [935.9421997070312, 517.2965545654297]]","[[1083.2705078125, 576.59521484375], [1083.2705078125, 572.2867431640625], [1084.695068359375, 572.2867431640625], [1086.11962890625, 576.59521484375], [1110.3372802734375, 573.722900390625], [1074.72314453125, 605.3182373046875], [1127.43212890625, 599.5736694335938], [1064.751220703125, 641.2220458984375], [1143.102294921875, 632.6051635742188], [1084.695068359375, 631.1690063476562], [1135.9794921875, 642.658203125], [1091.81787109375, 682.8704833984375], [1124.5828857421875, 679.9981689453125], [1094.6671142578125, 737.4442749023438], [1131.705810546875, 743.1889038085938], [1096.091552734375, 794.8903198242188], [1135.9794921875, 809.2518920898438], [1116.0355224609375, 802.0711059570312]]"
11,2,00:10:59,19771,1,bottom,net shot,,,"[1252, 557]","[[1017.494140625, 364.83642578125], [1020.3612060546875, 360.53924560546875], [1013.1935424804688, 360.53924560546875], [1024.661865234375, 361.9716491699219], [1006.0259399414062, 363.404052734375], [1027.5289306640625, 383.4574890136719], [993.1240234375, 383.4574890136719], [1033.2630615234375, 409.240478515625], [973.0546264648438, 407.80810546875], [1041.8642578125, 432.1587219238281], [970.1875610351562, 437.8882751464844], [1011.760009765625, 432.1587219238281], [988.8234252929688, 435.0234680175781], [1027.5289306640625, 469.4008483886719], [993.1240234375, 476.56280517578125], [1017.494140625, 503.7781982421875], [983.08935546875, 526.6964111328125], [1000.291748046875, 515.2373046875]]","[[1150.3270263671875, 577.5794677734375], [1123.1927490234375, 568.9705200195312], [1150.3270263671875, 571.8401489257812], [1124.620849609375, 573.2750244140625], [1148.8990478515625, 576.1447143554688], [1110.3397216796875, 600.536865234375], [1157.4676513671875, 599.10205078125], [1081.7772216796875, 632.1032104492188], [1170.3209228515625, 593.3626708984375], [1051.7867431640625, 653.6257934570312], [1178.8895263671875, 584.753662109375], [1113.1959228515625, 680.8876953125], [1147.4708251953125, 680.8876953125], [1088.9178466796875, 725.3675537109375], [1164.6082763671875, 698.105712890625], [1081.7772216796875, 775.5867919921875], [1160.323974609375, 745.455322265625], [1121.0505981445312, 760.5210571289062]]"
11,3,00:10:59,19798,0,top,lob,,,"[1228, 503]","[[1145.4412841796875, 459.9073791503906], [1145.4412841796875, 455.60357666015625], [1141.154541015625, 455.60357666015625], [1128.29443359375, 455.60357666015625], [1129.723388671875, 457.0381774902344], [1114.0054931640625, 468.5149841308594], [1119.7210693359375, 477.12255859375], [1094.0008544921875, 474.2533874511719], [1138.2967529296875, 492.9031982421875], [1162.5880126953125, 512.987548828125], [1162.5880126953125, 512.987548828125], [1091.14306640625, 514.4221801757812], [1079.7119140625, 517.2913818359375], [1072.5673828125, 544.548828125], [1121.14990234375, 530.2028198242188], [1042.560546875, 541.6796264648438], [1131.15234375, 584.7176513671875], [1086.8564453125, 563.1986389160156]]","[[1022.5777587890625, 568.630615234375], [1022.5777587890625, 558.5729370117188], [1049.6378173828125, 571.5042724609375], [1024.001953125, 577.25146484375], [1048.213623046875, 574.3778686523438], [1022.5777587890625, 604.5509033203125], [1069.5767822265625, 600.2405395507812], [1014.032470703125, 643.3449096679688], [1083.81884765625, 637.59765625], [1005.4871826171875, 677.828369140625], [1088.091552734375, 667.7706909179688], [1056.7589111328125, 682.1388549804688], [1082.394775390625, 677.828369140625], [1028.2745361328125, 732.4273071289062], [1056.7589111328125, 716.6223754882812], [1024.001953125, 795.6470947265625], [1053.910400390625, 769.7844848632812], [1038.9561767578125, 782.7157897949219]]"
11,4,00:11:01,19835,1,bottom,smash,,,"[1142, 457]","[[1063.810546875, 380.4549560546875], [1068.0950927734375, 374.7296142578125], [1060.9542236328125, 374.7296142578125], [1072.3795166015625, 379.02362060546875], [1052.38525390625, 377.59228515625], [1076.6640625, 394.76837158203125], [1038.103515625, 396.1997375488281], [1083.8048095703125, 409.0817565917969], [1016.6810302734375, 417.6697998046875], [1086.6612548828125, 431.9832458496094], [1016.6810302734375, 446.296630859375], [1060.9542236328125, 437.7085876464844], [1030.962646484375, 436.2772216796875], [1078.0921630859375, 470.62939453125], [1006.683837890625, 469.19805908203125], [1089.517578125, 509.27557373046875], [983.8331909179688, 506.41290283203125], [1036.6753845214844, 507.84423828125]]","[[1175.2457275390625, 636.0961303710938], [1172.374755859375, 631.7718505859375], [1172.374755859375, 631.7718505859375], [1145.10107421875, 641.8618774414062], [1172.374755859375, 637.5375366210938], [1139.359130859375, 672.1318969726562], [1186.7293701171875, 663.4833374023438], [1142.2301025390625, 699.5191040039062], [1218.3095703125, 662.0418701171875], [1162.32666015625, 663.4833374023438], [1229.793212890625, 643.3032836914062], [1149.407470703125, 742.761962890625], [1172.374755859375, 749.96923828125], [1140.794677734375, 783.1220703125], [1195.3421630859375, 824.923583984375], [1114.956298828125, 829.2478637695312], [1156.584716796875, 875.3737182617188], [1135.7705078125, 852.310791015625]]"
11,5,00:11:01,19845,0,top,defensive shot,,,"[962, 382]","[[1006.8399658203125, 380.1717529296875], [1011.1456298828125, 375.87481689453125], [1003.9696655273438, 375.87481689453125], [1018.3214721679688, 378.73944091796875], [999.6640625, 378.73944091796875], [1024.062255859375, 401.6564025878906], [986.7473754882812, 395.9271545410156], [1039.849365234375, 424.5733642578125], [943.6918334960938, 378.73944091796875], [1058.5067138671875, 446.0580139160156], [943.6918334960938, 385.9010009765625], [1018.3214721679688, 457.5164489746094], [988.1825561523438, 456.08416748046875], [1047.025146484375, 487.5950012207031], [960.9140014648438, 487.5950012207031], [1085.7752685546875, 513.3765869140625], [958.0436401367188, 516.2412109375], [1021.9094543457031, 514.8088989257812]]","[[1211.42041015625, 726.5969848632812], [1209.9830322265625, 720.8294677734375], [1211.42041015625, 722.2713623046875], [1181.233154296875, 726.5969848632812], [1209.9830322265625, 726.5969848632812], [1166.858154296875, 752.5509643554688], [1217.17041015625, 756.8766479492188], [1136.6707763671875, 782.8305053710938], [1231.5452880859375, 805.9006958007812], [1120.8583984375, 813.110107421875], [1237.2952880859375, 828.9708251953125], [1161.108154296875, 836.1802368164062], [1192.7330322265625, 839.0640869140625], [1179.7955322265625, 857.8085327148438], [1243.0452880859375, 890.971923828125], [1158.2332763671875, 906.8327026367188], [1234.4202880859375, 955.8567504882812], [1196.3267822265625, 931.3447265625]]"
11,6,00:11:02,19883,1,bottom,lob,,,"[813, 550]","[[940.402587890625, 367.73028564453125], [944.6670532226562, 364.8465270996094], [937.5595703125, 364.8465270996094], [953.1959228515625, 364.8465270996094], [933.2952270507812, 366.28839111328125], [963.1463012695312, 386.47467041015625], [923.3448486328125, 387.9165344238281], [974.5182495117188, 412.4284973144531], [907.70849609375, 412.4284973144531], [978.7825927734375, 442.7078857421875], [903.4440307617188, 439.8241271972656], [954.617431640625, 438.3822937011719], [929.03076171875, 439.8241271972656], [965.9893188476562, 475.87109375], [929.03076171875, 478.7548522949219], [960.3033447265625, 513.3599243164062], [921.9232788085938, 530.6624145507812], [941.1133117675781, 522.0111694335938]]","[[828.9761962890625, 616.3026123046875], [830.416015625, 612.0037841796875], [830.416015625, 612.0037841796875], [833.2955932617188, 616.3026123046875], [857.7726440429688, 609.1378784179688], [844.8142700195312, 634.9307861328125], [866.4115600585938, 626.3331298828125], [867.8513793945312, 652.1259765625], [875.050537109375, 680.7847290039062], [873.6107177734375, 682.2176513671875], [859.2125244140625, 722.33984375], [889.4487915039062, 690.8153076171875], [909.6063842773438, 679.3517456054688], [885.1293334960938, 756.7303466796875], [875.050537109375, 693.68115234375], [934.0833740234375, 768.19384765625], [859.2125244140625, 729.5045776367188], [896.64794921875, 748.8492126464844]]"
11,7,00:11:04,19927,0,top,smash,,,"[937, 304]","[[1092.990966796875, 276.20440673828125], [1098.7254638671875, 274.7728271484375], [1091.5572509765625, 271.9096374511719], [1100.1590576171875, 279.06756591796875], [1085.82275390625, 271.9096374511719], [1092.990966796875, 301.9729309082031], [1065.751708984375, 293.3834228515625], [1088.68994140625, 323.44671630859375], [1081.521728515625, 330.6046142578125], [1084.3890380859375, 330.6046142578125], [1092.990966796875, 306.2676696777344], [1072.919921875, 344.92047119140625], [1047.1143798828125, 342.05731201171875], [1088.68994140625, 386.4364318847656], [1034.2117919921875, 382.1416931152344], [1105.8935546875, 423.65765380859375], [1035.6453857421875, 435.1103515625], [1070.7694702148438, 429.3840026855469]]","[[940.81298828125, 607.962158203125], [939.3787841796875, 605.0850830078125], [943.6812744140625, 605.0850830078125], [940.81298828125, 606.5235595703125], [968.06201171875, 605.0850830078125], [929.3396606445312, 635.2944946289062], [982.403564453125, 632.4174194335938], [912.1296997070312, 675.57373046875], [996.7451782226562, 672.6966552734375], [904.958984375, 712.9758911132812], [1003.9159545898438, 702.9060668945312], [937.9446411132812, 707.2217407226562], [975.2327880859375, 707.2217407226562], [904.958984375, 746.0624389648438], [1013.9551391601562, 747.5009765625], [882.0123901367188, 800.7271118164062], [1038.3358154296875, 805.0427856445312], [960.1741027832031, 802.8849487304688]]"
11,8,00:11:04,19942,1,bottom,defensive shot,,,"[654, 727]","[[1036.095458984375, 346.1557922363281], [1040.3665771484375, 341.84283447265625], [1031.824462890625, 341.84283447265625], [1048.90869140625, 343.28045654296875], [1027.55322265625, 346.1557922363281], [1061.7220458984375, 363.40753173828125], [1024.705810546875, 361.9698791503906], [1071.6878662109375, 377.7840270996094], [1016.1636352539062, 376.34637451171875], [1037.5191650390625, 393.5981140136719], [1026.129638671875, 402.2239990234375], [1063.145751953125, 409.4122314453125], [1038.94287109375, 409.4122314453125], [1078.806396484375, 438.1651916503906], [1019.0110473632812, 438.1651916503906], [1097.314453125, 452.5416259765625], [1020.434814453125, 476.9816589355469], [1058.8746337890625, 464.7616424560547]]","[[791.7994384765625, 729.8540649414062], [796.1090087890625, 726.9754028320312], [793.2359619140625, 726.9754028320312], [813.3473510742188, 726.9754028320312], [794.6724853515625, 728.4147338867188], [842.0778198242188, 737.050537109375], [800.4185791015625, 741.368408203125], [885.1735229492188, 744.2470092773438], [764.5054931640625, 754.3220825195312], [926.832763671875, 757.20068359375], [724.2827758789062, 765.83642578125], [892.3561401367188, 744.2470092773438], [873.681396484375, 757.20068359375], [944.0711059570312, 774.4722290039062], [855.006591796875, 777.3508911132812], [1002.9685668945312, 791.7437744140625], [879.427490234375, 827.726318359375], [941.1980285644531, 809.7350463867188]]"
11,9,00:11:05,19969,0,top,net shot,,,"[920, 446]","[[930.261962890625, 414.9261169433594], [933.1077880859375, 410.62322998046875], [924.5702514648438, 412.0575256347656], [940.2224731445312, 413.4917907714844], [920.3013916015625, 414.9261169433594], [947.337158203125, 435.0061340332031], [925.9931030273438, 435.0061340332031], [968.6810913085938, 449.3489990234375], [934.53076171875, 455.0861511230469], [957.2976684570312, 450.7833251953125], [953.0288696289062, 450.7833251953125], [935.9536743164062, 490.9433898925781], [914.6096801757812, 492.3776550292969], [945.9141845703125, 518.1948852539062], [914.6096801757812, 526.8005981445312], [925.9931030273438, 539.7091674804688], [911.7638549804688, 584.172119140625], [918.8784790039062, 561.9406433105469]]","[[720.92724609375, 618.4605102539062], [695.147705078125, 631.4075317382812], [718.0628662109375, 617.02197265625], [698.0120849609375, 635.7232055664062], [719.4950561523438, 622.7761840820312], [708.0374755859375, 667.3715209960938], [742.4102172851562, 631.4075317382812], [715.198486328125, 709.0897216796875], [779.6473999023438, 631.4075317382812], [700.87646484375, 732.1066284179688], [806.859130859375, 624.2147216796875], [756.732177734375, 726.3523559570312], [783.9439086914062, 713.4053344726562], [720.92724609375, 766.6320190429688], [738.1135864257812, 726.3523559570312], [712.3340454101562, 829.9285888671875], [748.1390380859375, 788.21044921875], [730.2365417480469, 809.0695190429688]]"
11,10,00:11:06,19998,1,bottom,net shot,touched the net,0.0,"[1005, 567]","[[961.9117431640625, 398.72894287109375], [966.1786499023438, 394.4260559082031], [957.6448364257812, 394.4260559082031], [970.445556640625, 397.2946472167969], [951.95556640625, 397.2946472167969], [976.1348266601562, 417.3746337890625], [939.1546630859375, 420.2431640625], [983.2464599609375, 443.1916809082031], [920.6646118164062, 446.06024169921875], [993.20263671875, 470.4430847167969], [920.6646118164062, 476.18017578125], [963.3340454101562, 470.4430847167969], [940.5770263671875, 471.8773498535156], [970.445556640625, 503.4315490722656], [961.9117431640625, 513.4715576171875], [961.9117431640625, 536.4200439453125], [951.95556640625, 547.894287109375], [956.9336547851562, 542.1571655273438]]","[[942.2341918945312, 571.5479736328125], [942.2341918945312, 572.9891357421875], [943.6578979492188, 571.5479736328125], [942.2341918945312, 577.312744140625], [963.591064453125, 580.1951293945312], [930.84375, 596.0482788085938], [970.7099609375, 604.6954956054688], [916.6058959960938, 617.666259765625], [977.8289184570312, 629.19580078125], [899.5204467773438, 636.4017944335938], [979.2527465820312, 626.3134155273438], [932.267578125, 663.7844848632812], [960.7434692382812, 666.6668701171875], [913.75830078125, 718.5499267578125], [967.8623657226562, 668.1080932617188], [929.4200439453125, 745.9326782226562], [965.0147705078125, 704.137939453125], [947.2174072265625, 725.0353088378906]]"
