rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
10,1,00:35:33,63991,1,top,short service,,,"[694, 409]","[[971.6293334960938, 333.7293701171875], [975.9501342773438, 329.4336242675781], [968.748779296875, 329.4336242675781], [987.4723510742188, 330.86553955078125], [967.3085327148438, 332.2974548339844], [996.1139526367188, 350.9123229980469], [961.5474243164062, 356.63995361328125], [1020.5985107421875, 359.5037841796875], [939.9434204101562, 378.11865234375], [1036.4415283203125, 369.5271911621094], [918.33935546875, 393.8697204589844], [1000.4347534179688, 389.5739440917969], [977.3904418945312, 392.4377746582031], [1027.7998046875, 429.66754150390625], [947.144775390625, 408.1888427734375], [1062.3663330078125, 443.98663330078125], [926.98095703125, 448.28240966796875], [994.6736450195312, 446.134521484375]]","[[1018.3126831054688, 613.8759155273438], [1018.3126831054688, 609.5679321289062], [1019.7529296875, 608.1319580078125], [1019.7529296875, 615.3118896484375], [1044.23681640625, 613.8759155273438], [1011.111572265625, 646.9034423828125], [1064.39990234375, 641.1595458984375], [982.3070068359375, 685.6749267578125], [1090.323974609375, 681.366943359375], [957.8231811523438, 710.0865478515625], [1109.046875, 708.650634765625], [1032.7149658203125, 727.318359375], [1068.7205810546875, 725.8823852539062], [996.7092895507812, 766.08984375], [1104.7261962890625, 777.5776977539062], [992.388671875, 830.708984375], [1136.4112548828125, 833.5808715820312], [1064.3999633789062, 832.1449279785156]]"
10,2,00:35:33,64014,34,bottom,net shot,,,"[730, 33]","[[951.29541015625, 331.31494140625], [955.5670776367188, 326.99896240234375], [948.4476318359375, 326.99896240234375], [959.8387451171875, 328.4376525878906], [941.3282470703125, 328.4376525878906], [968.382080078125, 347.1402282714844], [932.784912109375, 350.0175476074219], [986.8926391601562, 362.9654846191406], [918.5460205078125, 375.9134521484375], [996.8598022460938, 396.0546875], [912.8504638671875, 401.8093566894531], [962.6865234375, 381.6680603027344], [938.48046875, 381.6680603027344], [985.4686889648438, 419.0732727050781], [928.51318359375, 414.75726318359375], [1009.6748046875, 450.7237854003906], [935.6326293945312, 460.7944030761719], [972.6537170410156, 455.75909423828125]]","[[1003.8124389648438, 565.828369140625], [1005.2421264648438, 561.5096435546875], [1005.2421264648438, 561.5096435546875], [1005.2421264648438, 564.3887939453125], [1029.5460205078125, 564.3887939453125], [993.8049926757812, 593.179931640625], [1045.2720947265625, 596.05908203125], [956.63427734375, 613.3338012695312], [1059.568603515625, 639.245849609375], [949.486083984375, 603.2568359375], [1071.0057373046875, 666.5975341796875], [1009.5310668945312, 676.6744384765625], [1042.412841796875, 673.7952880859375], [988.0863647460938, 729.9381103515625], [1045.2720947265625, 705.4656372070312], [1030.9757080078125, 774.564453125], [1045.2720947265625, 754.41064453125], [1038.1239013671875, 764.487548828125]]"
10,3,00:35:34,64037,1,top,net shot,,,"[785, 28]","[[1014.41015625, 336.72052001953125], [1017.2587890625, 333.854248046875], [1010.1373291015625, 333.854248046875], [1018.6830444335938, 335.2873840332031], [1000.1673583984375, 333.854248046875], [1018.6830444335938, 353.9180603027344], [987.3486938476562, 356.7843322753906], [1032.9259033203125, 363.9499816894531], [967.4087524414062, 386.8800354003906], [1050.017333984375, 375.4150085449219], [964.5601196289062, 414.1095275878906], [983.075927734375, 405.5107421875], [967.4087524414062, 401.2113342285156], [971.6815185546875, 434.1733093261719], [968.8330078125, 435.6064453125], [954.590087890625, 432.7402038574219], [950.3173217773438, 451.3708801269531], [952.4537048339844, 442.0555419921875]]","[[1078.375244140625, 538.7684326171875], [1081.2344970703125, 534.44921875], [1082.6641845703125, 533.0094604492188], [1082.6641845703125, 537.3286743164062], [1104.1087646484375, 538.7684326171875], [1074.08642578125, 560.3642578125], [1118.4051513671875, 573.3217163085938], [1052.6417236328125, 590.5984497070312], [1121.264404296875, 616.5134887695312], [1032.6268310546875, 599.23681640625], [1125.5533447265625, 649.6271362304688], [1078.375244140625, 635.2299194335938], [1109.8272705078125, 639.549072265625], [1044.06396484375, 679.861328125], [1121.264404296875, 652.506591796875], [1039.7750244140625, 740.3297119140625], [1126.9830322265625, 692.81884765625], [1083.3790283203125, 716.5742797851562]]"
10,4,00:35:35,64061,34,bottom,lob,,,"[843, 22]","[[1141.38623046875, 378.1341247558594], [1142.821533203125, 375.25537109375], [1135.64501953125, 373.8160095214844], [1144.2568359375, 378.1341247558594], [1127.0330810546875, 376.6947326660156], [1131.339111328125, 396.8459167480469], [1122.7271728515625, 398.2853088378906], [1127.0330810546875, 429.95147705078125], [1127.0330810546875, 432.8302307128906], [1138.515625, 465.93572998046875], [1139.950927734375, 461.6176452636719], [1106.938720703125, 441.4664611816406], [1096.8916015625, 442.90582275390625], [1085.4090576171875, 484.6475524902344], [1137.080322265625, 467.3751220703125], [1038.0438232421875, 490.405029296875], [1134.209716796875, 522.0711669921875], [1086.1267700195312, 506.23809814453125]]","[[1004.6767578125, 584.5377807617188], [1006.1016235351562, 581.656494140625], [1031.7493896484375, 575.8939208984375], [1007.5264282226562, 581.656494140625], [1033.17431640625, 577.3345336914062], [1010.376220703125, 610.4693603515625], [1050.2728271484375, 597.5035400390625], [1013.2259521484375, 649.36669921875], [1070.2210693359375, 636.4009399414062], [998.9771728515625, 682.5015258789062], [1084.4698486328125, 660.891845703125], [1043.1484375, 673.857666015625], [1071.64599609375, 669.5357055664062], [1007.5264282226562, 718.517578125], [1037.4488525390625, 695.46728515625], [1020.3504028320312, 779.0245361328125], [1027.4747314453125, 741.5678100585938], [1023.9125671386719, 760.2961730957031]]"
10,5,00:35:36,64104,1,top,smash,,,"[913, 360]","[[1117.0709228515625, 363.908447265625], [1119.9378662109375, 361.02886962890625], [1112.770263671875, 359.58905029296875], [1121.3714599609375, 362.4686584472656], [1105.6026611328125, 359.58905029296875], [1109.9033203125, 379.74627685546875], [1095.5679931640625, 379.74627685546875], [1125.6719970703125, 394.144287109375], [1086.9669189453125, 417.1811828613281], [1148.6083984375, 405.6627502441406], [1107.0361328125, 433.0190124511719], [1075.4986572265625, 420.0607604980469], [1065.4639892578125, 424.38018798828125], [1065.4639892578125, 451.7364501953125], [1107.0361328125, 448.8568420410156], [1021.0247802734375, 473.3334655761719], [1084.0997314453125, 490.6111145019531], [1052.562255859375, 481.9722900390625]]","[[1091.658203125, 504.0516052246094], [1093.0877685546875, 501.17901611328125], [1093.0877685546875, 502.61529541015625], [1095.9466552734375, 502.61529541015625], [1118.8187255859375, 502.61529541015625], [1090.228759765625, 528.4686889648438], [1134.5430908203125, 528.4686889648438], [1084.5107421875, 564.3761596679688], [1151.697021484375, 567.2487182617188], [1063.0682373046875, 597.4109497070312], [1161.7034912109375, 594.5383911132812], [1111.671142578125, 598.8472900390625], [1138.8316650390625, 593.10205078125], [1084.5107421875, 651.9902954101562], [1144.549560546875, 633.3184204101562], [1108.812255859375, 706.569580078125], [1163.133056640625, 672.0984497070312], [1135.97265625, 689.3340148925781]]"
10,6,00:35:37,64123,34,bottom,defensive shot,,,"[945, 390]","[[1156.1151123046875, 418.0314636230469], [1160.4254150390625, 415.15350341796875], [1153.2413330078125, 413.71453857421875], [1166.1727294921875, 412.27557373046875], [1148.930908203125, 412.27557373046875], [1170.483154296875, 426.6653137207031], [1134.562744140625, 425.2263488769531], [1160.4254150390625, 446.8109130859375], [1098.642333984375, 448.2498779296875], [1156.1151123046875, 468.3954772949219], [1077.0902099609375, 466.9565124511719], [1144.6204833984375, 451.1278381347656], [1124.5050048828125, 451.1278381347656], [1154.67822265625, 492.8580017089844], [1144.6204833984375, 477.0293273925781], [1121.6314697265625, 495.7359313964844], [1156.1151123046875, 531.7102661132812], [1138.873291015625, 513.7230987548828]]","[[1021.1728515625, 534.8843994140625], [1016.8792724609375, 529.127197265625], [1019.74169921875, 530.5665283203125], [993.9803466796875, 540.6416015625], [1019.74169921875, 536.3236694335938], [989.686767578125, 567.9881591796875], [1039.7783203125, 559.3524169921875], [972.5125122070312, 602.5311889648438], [1052.658935546875, 602.5311889648438], [956.7694702148438, 631.3170776367188], [1066.9708251953125, 631.3170776367188], [1003.9986572265625, 642.8314208984375], [1036.9158935546875, 641.3921508789062], [993.9803466796875, 687.4495239257812], [1044.0718994140625, 688.8888549804688], [995.4115600585938, 745.021240234375], [1042.640625, 749.3391723632812], [1019.0260925292969, 747.1802062988281]]"
10,7,00:35:38,64157,1,top,push/rush,,,"[1142, 392]","[[1038.4267578125, 338.0418395996094], [1041.307373046875, 335.1617431640625], [1034.10595703125, 335.1617431640625], [1045.628173828125, 335.1617431640625], [1028.3448486328125, 333.7216796875], [1052.82958984375, 353.8824157714844], [1016.8226318359375, 351.0023193359375], [1068.6724853515625, 366.8428649902344], [998.0989990234375, 368.2829284667969], [1075.8739013671875, 389.8836975097656], [986.5768432617188, 401.40411376953125], [1038.4267578125, 387.00360107421875], [1013.9420776367188, 384.1235046386719], [1057.150390625, 423.0048828125], [989.4573974609375, 424.4449462890625], [1065.7919921875, 459.00616455078125], [956.3310546875, 459.00616455078125], [1011.0615234375, 459.00616455078125]]","[[1076.2076416015625, 746.1358642578125], [1071.9390869140625, 744.697265625], [1069.093505859375, 744.697265625], [1060.556396484375, 759.0824584960938], [1064.824951171875, 759.0824584960938], [1063.402099609375, 784.9757080078125], [1054.8651123046875, 793.6068115234375], [1064.824951171875, 809.4304809570312], [1033.5225830078125, 838.2007446289062], [1090.4359130859375, 807.9920043945312], [1064.824951171875, 864.0941162109375], [1042.0595703125, 864.0941162109375], [1024.9857177734375, 868.4095458984375], [1083.32177734375, 879.917724609375], [1070.516357421875, 923.0731811523438], [1061.979248046875, 948.9664306640625], [1024.9857177734375, 992.121826171875], [1043.4824829101562, 970.5441284179688]]"
10,8,00:35:39,64195,34,bottom,drop,,,"[1299, 232]","[[832.3096313476562, 350.62274169921875], [833.7483520507812, 346.3171691894531], [827.9935913085938, 347.7523498535156], [843.8191528320312, 343.4467468261719], [833.7483520507812, 350.62274169921875], [868.2769165039062, 353.4931640625], [845.2578735351562, 363.5395202636719], [901.3667602539062, 354.9283447265625], [848.13525390625, 386.5026550292969], [840.9417724609375, 408.0306396484375], [842.3804931640625, 403.72503662109375], [907.1215209960938, 362.10430908203125], [885.5411987304688, 373.5859069824219], [918.6310424804688, 409.4658203125], [869.715576171875, 406.59539794921875], [957.4756469726562, 428.1233825683594], [899.9281005859375, 432.428955078125], [928.7018737792969, 430.2761688232422]]","[[921.6830444335938, 641.2183227539062], [923.120361328125, 636.8969116210938], [923.120361328125, 635.4564208984375], [924.557861328125, 641.2183227539062], [948.9940185546875, 636.8969116210938], [921.6830444335938, 672.9088134765625], [973.4302368164062, 661.385009765625], [921.6830444335938, 719.0040893554688], [996.428955078125, 707.4802856445312], [898.6842651367188, 739.1707153320312], [999.3037719726562, 742.0516967773438], [957.6185302734375, 755.0159301757812], [987.804443359375, 753.5755004882812], [959.0559692382812, 812.635009765625], [974.8676147460938, 782.385009765625], [983.4921875, 848.6469116210938], [983.4921875, 816.9564819335938], [983.4921875, 832.8016967773438]]"
10,9,00:35:40,64220,1,top,push/rush,,,"[949, 337]","[[855.404541015625, 312.63787841796875], [859.67431640625, 306.877197265625], [852.55810546875, 308.3173522949219], [865.3671875, 305.43701171875], [848.2883911132812, 306.877197265625], [873.9065551757812, 322.7191162109375], [836.902587890625, 324.1592712402344], [885.29248046875, 348.6422424316406], [818.4004516601562, 352.9627685546875], [886.7156982421875, 377.4457092285156], [812.7075805664062, 383.2064208984375], [863.9439697265625, 363.0439758300781], [841.1722412109375, 363.0439758300781], [888.138916015625, 400.488525390625], [835.479248046875, 401.9286804199219], [896.6782836914062, 443.6937561035156], [821.2470092773438, 449.4544372558594], [858.962646484375, 446.5740966796875]]","[[690.9562377929688, 555.4967651367188], [690.9562377929688, 551.1889038085938], [690.9562377929688, 551.1889038085938], [696.6532592773438, 555.4967651367188], [715.1685180664062, 551.1889038085938], [706.623046875, 584.2156982421875], [725.1383056640625, 566.9843139648438], [725.1383056640625, 605.7549438476562], [736.5323486328125, 592.8314208984375], [746.5021362304688, 631.6019897460938], [746.5021362304688, 631.6019897460938], [727.9868774414062, 650.269287109375], [736.5323486328125, 645.96142578125], [729.4110717773438, 712.0150146484375], [702.3502807617188, 648.8333129882812], [776.4114990234375, 734.9901733398438], [689.531982421875, 689.0398559570312], [732.9717407226562, 712.0150146484375]]"
10,10,00:35:41,64248,34,bottom,clear,,,"[881, 358]","[[759.8767700195312, 397.5937194824219], [762.7457275390625, 393.2757873535156], [755.5733642578125, 394.7151184082031], [771.3526611328125, 394.7151184082031], [754.138916015625, 397.5937194824219], [784.2628784179688, 407.6689147949219], [751.2699584960938, 420.6227722167969], [804.3455200195312, 403.3509826660156], [746.966552734375, 445.0910949707031], [837.3383178710938, 403.3509826660156], [741.2286987304688, 470.9987487792969], [784.2628784179688, 449.4090270996094], [761.311279296875, 450.8483581542969], [797.173095703125, 481.0740051269531], [741.2286987304688, 473.8774108886719], [811.5178833007812, 475.3166809082031], [739.794189453125, 501.2243957519531], [775.6560363769531, 488.2705383300781]]","[[735.60595703125, 534.0612182617188], [739.9047241210938, 532.6197509765625], [764.264404296875, 525.41259765625], [745.636474609375, 535.5026245117188], [765.6973876953125, 529.7368774414062], [758.5327758789062, 561.448486328125], [781.4595947265625, 542.7097778320312], [774.294921875, 601.8086547851562], [775.7279052734375, 601.8086547851562], [765.6973876953125, 633.520263671875], [765.6973876953125, 632.0787963867188], [812.9839477539062, 619.1058959960938], [792.9229736328125, 616.2229614257812], [781.4595947265625, 668.1146850585938], [780.026611328125, 669.55615234375], [801.5205688476562, 730.096435546875], [812.9839477539062, 666.6732788085938], [807.2522583007812, 698.3848571777344]]"
