rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
2,1,00:07:20,13206,16,top,long service,,,"[867, 280]","[[973.1566162109375, 471.9897766113281], [978.8745727539062, 467.66412353515625], [970.2977294921875, 466.2222595214844], [987.451416015625, 466.2222595214844], [971.7271728515625, 471.9897766113281], [1003.1757202148438, 483.5247497558594], [971.7271728515625, 490.734130859375], [1020.3294067382812, 495.0597839355469], [970.2977294921875, 495.0597839355469], [1008.8936157226562, 487.85040283203125], [1007.464111328125, 466.2222595214844], [1006.0346069335938, 544.08349609375], [983.1630249023438, 545.5253295898438], [1003.1757202148438, 593.1072387695312], [987.451416015625, 591.6653442382812], [1000.3167114257812, 636.3634643554688], [988.8809204101562, 629.1541137695312], [994.5988159179688, 632.7587890625]]","[[781.165771484375, 652.9954223632812], [762.5617065429688, 644.345703125], [779.7347412109375, 650.1121826171875], [755.4063720703125, 651.5537719726562], [778.3036499023438, 652.9954223632812], [753.9752197265625, 673.177978515625], [778.3036499023438, 681.8275756835938], [766.8550415039062, 687.5940551757812], [788.3212890625, 722.1927490234375], [788.3212890625, 689.0357055664062], [802.6321411132812, 714.9846801757812], [746.81982421875, 742.3753051757812], [763.9928588867188, 748.1417236328125], [769.7172241210938, 800.0396728515625], [785.4591064453125, 811.5726318359375], [756.83740234375, 853.3792724609375], [763.9928588867188, 869.2369995117188], [760.4151306152344, 861.3081359863281]]"
2,2,00:07:22,13266,20,bottom,smash,,,"[665, 510]","[[892.3284912109375, 496.1972961425781], [896.6199951171875, 491.8973388671875], [890.8980712890625, 491.8973388671875], [908.0641479492188, 493.3306579589844], [890.8980712890625, 494.76397705078125], [925.2302856445312, 511.9636535644531], [889.467529296875, 517.6968994140625], [946.6879272460938, 526.2967529296875], [868.0098266601562, 534.8966064453125], [945.2573852539062, 550.6630249023438], [840.8301391601562, 547.79638671875], [935.2437744140625, 554.9629516601562], [908.0641479492188, 557.8295288085938], [958.1320190429688, 582.1957397460938], [885.1759643554688, 585.0623779296875], [986.7421875, 613.7285766601562], [880.8844604492188, 616.5951538085938], [933.8133239746094, 615.161865234375]]","[[612.7525024414062, 712.1148681640625], [619.9271240234375, 707.8068237304688], [612.7525024414062, 707.8068237304688], [605.577880859375, 716.4230346679688], [629.9716796875, 716.4230346679688], [594.098388671875, 743.70751953125], [638.5812377929688, 745.1435546875], [562.5299072265625, 772.4281616210938], [665.8449096679688, 753.7598266601562], [584.0538940429688, 752.3237915039062], [685.9339599609375, 775.3002319335938], [588.3587036132812, 812.6370849609375], [617.0572509765625, 814.0730590820312], [551.050537109375, 872.9503173828125], [617.0572509765625, 874.3863525390625], [516.6121826171875, 928.9555053710938], [596.96826171875, 930.3915405273438], [556.7902221679688, 929.6735229492188]]"
2,3,00:07:22,13282,16,top,defensive shot,,,"[881, 469]","[[885.7615966796875, 489.8780517578125], [890.0518188476562, 485.5582580566406], [882.9014282226562, 486.9981689453125], [895.7720947265625, 486.9981689453125], [878.6111450195312, 489.8780517578125], [912.9330444335938, 502.8373107910156], [877.1810302734375, 512.916748046875], [934.38427734375, 511.4768371582031], [870.0306396484375, 538.8353271484375], [945.824951171875, 533.07568359375], [880.041259765625, 563.3140258789062], [927.23388671875, 541.7152099609375], [901.4924926757812, 547.474853515625], [951.5452270507812, 571.9535522460938], [881.4713745117188, 583.472900390625], [980.1469116210938, 607.9515380859375], [878.6111450195312, 615.1511840820312], [929.3790283203125, 611.5513610839844]]","[[684.0091552734375, 672.2120361328125], [691.2097778320312, 670.774658203125], [681.12890625, 669.3373413085938], [676.8084716796875, 675.0867309570312], [699.8505859375, 675.0867309570312], [665.2874755859375, 702.3965454101562], [712.811767578125, 700.9591674804688], [635.044677734375, 732.5809936523438], [740.1742553710938, 732.5809936523438], [623.5236206054688, 755.5786743164062], [761.7762451171875, 758.453369140625], [665.2874755859375, 772.826904296875], [696.9703369140625, 774.2642822265625], [659.5269165039062, 833.1959228515625], [696.9703369140625, 841.820068359375], [648.005859375, 895.002197265625], [675.3683471679688, 890.6901245117188], [661.6871032714844, 892.8461608886719]]"
2,4,00:07:23,13307,20,bottom,smash,,,"[1179, 523]","[[992.07470703125, 480.64105224609375], [994.9429321289062, 476.34027099609375], [987.7723388671875, 474.9066467285156], [999.2454223632812, 476.34027099609375], [983.4700317382812, 476.34027099609375], [1007.85009765625, 497.84429931640625], [970.5628662109375, 497.84429931640625], [1015.0208129882812, 526.516357421875], [956.2216186523438, 526.516357421875], [1019.3231201171875, 548.0203857421875], [959.08984375, 555.1884155273438], [999.2454223632812, 546.5867919921875], [970.5628662109375, 549.4539794921875], [1025.0595703125, 573.8252563476562], [954.7874755859375, 579.5596923828125], [1049.4398193359375, 608.231689453125], [939.0120849609375, 613.9661254882812], [994.2259521484375, 611.0989074707031]]","[[1073.73681640625, 686.2487182617188], [1079.490478515625, 683.3699951171875], [1072.2984619140625, 684.8093872070312], [1070.8599853515625, 690.56689453125], [1092.4361572265625, 689.12744140625], [1060.7911376953125, 716.4755249023438], [1101.066650390625, 716.4755249023438], [1057.914306640625, 720.7936401367188], [1121.204345703125, 742.38427734375], [1108.2586669921875, 722.2330322265625], [1115.45068359375, 729.4298706054688], [1060.7911376953125, 785.5653686523438], [1090.997802734375, 787.0047607421875], [1032.02294921875, 830.1859130859375], [1134.150146484375, 840.2615356445312], [998.939453125, 879.12451171875], [1172.9871826171875, 890.6394653320312], [1085.9633178710938, 884.8819885253906]]"
2,5,00:07:24,13320,16,top,defensive shot,,,"[1213, 504]","[[1106.6160888671875, 502.6666259765625], [1106.6160888671875, 498.3785095214844], [1105.1806640625, 498.3785095214844], [1087.9537353515625, 496.9491882324219], [1098.0028076171875, 499.8078918457031], [1070.72705078125, 504.095947265625], [1096.5672607421875, 522.6776123046875], [1047.758056640625, 512.672119140625], [1115.2294921875, 546.9766235351562], [1043.451416015625, 526.9656372070312], [1138.1986083984375, 566.9876708984375], [1036.2734375, 542.6885986328125], [1046.3223876953125, 551.2647705078125], [1076.4693603515625, 569.8463745117188], [1039.1446533203125, 597.004150390625], [1064.9847412109375, 609.8683471679688], [1064.9847412109375, 605.580322265625], [1064.9847412109375, 607.7243347167969]]","[[1100.82470703125, 650.2960815429688], [1108.0223388671875, 651.7363891601562], [1095.0665283203125, 651.7363891601562], [1092.1875, 660.3778686523438], [1118.0992431640625, 660.3778686523438], [1079.2315673828125, 687.7426147460938], [1126.7364501953125, 690.6231079101562], [1050.440673828125, 717.9879150390625], [1139.6923828125, 728.0697021484375], [1051.8802490234375, 719.4281616210938], [1158.4063720703125, 756.8746948242188], [1082.1107177734375, 755.4344482421875], [1113.780517578125, 758.31494140625], [1054.75927734375, 811.6041870117188], [1138.2528076171875, 811.6041870117188], [1034.6058349609375, 869.2142333984375], [1139.6923828125, 866.333740234375], [1087.1491088867188, 867.7739868164062]]"
2,6,00:07:24,13349,20,bottom,net shot,,,"[1283, 611]","[[1091.812255859375, 477.3536376953125], [1094.68017578125, 473.0480651855469], [1088.9443359375, 473.0480651855469], [1098.98193359375, 471.6128845214844], [1081.7745361328125, 471.6128845214844], [1098.98193359375, 491.7055358886719], [1067.4351806640625, 494.575927734375], [1103.2838134765625, 516.103759765625], [1051.6617431640625, 521.8445434570312], [1110.4534912109375, 539.0668334960938], [1047.35986328125, 543.3723754882812], [1078.90673828125, 543.3723754882812], [1058.8314208984375, 539.0668334960938], [1080.3406982421875, 577.8169555664062], [1060.265380859375, 576.3817749023438], [1043.0579833984375, 605.0855712890625], [1040.1900634765625, 612.2615966796875], [1041.6240234375, 608.673583984375]]","[[1206.50830078125, 652.6912841796875], [1210.8287353515625, 651.2578125], [1203.6280517578125, 648.3909301757812], [1199.3076171875, 652.6912841796875], [1218.029296875, 656.9916381835938], [1186.3465576171875, 672.7596435546875], [1219.469482421875, 681.3603515625], [1160.42431640625, 688.527587890625], [1160.42431640625, 688.527587890625], [1127.3013916015625, 701.4286499023438], [1127.3013916015625, 701.4286499023438], [1184.906494140625, 731.5311279296875], [1212.268798828125, 732.964599609375], [1236.7508544921875, 744.4321899414062], [1236.7508544921875, 744.4321899414062], [1236.7508544921875, 798.9033203125], [1236.7508544921875, 794.6029663085938], [1236.7508544921875, 796.7531433105469]]"
2,7,00:07:25,13376,16,top,lob,,,"[1249, 512]","[[1162.075927734375, 553.9912109375], [1163.5030517578125, 549.708740234375], [1157.79443359375, 549.708740234375], [1147.8040771484375, 549.708740234375], [1147.8040771484375, 549.708740234375], [1140.668212890625, 561.1287841796875], [1142.0953369140625, 565.411376953125], [1154.9400634765625, 578.2589721679688], [1150.658447265625, 581.1139526367188], [1160.648681640625, 589.6790771484375], [1164.9302978515625, 592.5340576171875], [1107.8431396484375, 602.5266723632812], [1110.697509765625, 606.8092041015625], [1110.697509765625, 641.0694580078125], [1139.2410888671875, 623.9393310546875], [1147.8040771484375, 669.6196899414062], [1146.376953125, 665.3372192382812], [1147.0905151367188, 667.4784545898438]]","[[1055.49755859375, 607.5299072265625], [1046.8671875, 614.73486328125], [1051.182373046875, 610.4119262695312], [1046.8671875, 620.4988403320312], [1069.8817138671875, 620.4988403320312], [1041.113525390625, 644.995849609375], [1085.7042236328125, 643.5548095703125], [1016.6605224609375, 682.4618530273438], [1101.5267333984375, 682.4618530273438], [997.961181640625, 692.5487670898438], [1100.08837890625, 718.4867553710938], [1062.689697265625, 705.517822265625], [1088.5810546875, 714.163818359375], [1035.35986328125, 770.3626708984375], [1068.443359375, 760.2757568359375], [1023.8526000976562, 828.0026245117188], [1055.49755859375, 817.9157104492188], [1039.6750793457031, 822.9591674804688]]"
2,8,00:07:27,13412,20,bottom,clear,,,"[1211, 409]","[[1057.20849609375, 474.6878356933594], [1060.0802001953125, 470.3843994140625], [1054.3367919921875, 470.3843994140625], [1065.8236083984375, 470.3843994140625], [1047.1575927734375, 470.3843994140625], [1067.259521484375, 489.0325012207031], [1029.9273681640625, 491.90142822265625], [1070.1312255859375, 509.11505126953125], [1012.6970825195312, 516.2874145507812], [1074.4388427734375, 530.632080078125], [1009.8253173828125, 539.2388305664062], [1050.029296875, 540.67333984375], [1027.0555419921875, 540.67333984375], [1060.0802001953125, 577.9694213867188], [1015.5687255859375, 577.9694213867188], [1061.51611328125, 621.0034790039062], [996.9027099609375, 619.5690307617188], [1029.2094116210938, 620.2862548828125]]","[[1135.7158203125, 733.4517822265625], [1129.9759521484375, 726.2744140625], [1131.410888671875, 730.580810546875], [1108.451171875, 739.193603515625], [1125.6710205078125, 739.193603515625], [1101.2763671875, 757.854736328125], [1137.15087890625, 765.0321655273438], [1089.7965087890625, 782.2577514648438], [1165.850341796875, 759.2902221679688], [1096.971435546875, 756.4193115234375], [1190.2449951171875, 753.54833984375], [1092.66650390625, 839.6766967773438], [1121.3660888671875, 839.6766967773438], [1107.0162353515625, 865.5152587890625], [1160.1104736328125, 894.2246704101562], [1079.751708984375, 888.4827880859375], [1147.1956787109375, 954.5144653320312], [1113.4736938476562, 921.4986267089844]]"
2,9,00:07:28,13441,16,top,clear,,,"[1174, 257]","[[1134.298828125, 440.78997802734375], [1137.1551513671875, 437.9198303222656], [1131.442626953125, 436.4847717285156], [1140.0113525390625, 443.66009521484375], [1125.7301025390625, 439.35491943359375], [1137.1551513671875, 462.31591796875], [1114.304931640625, 449.4003601074219], [1150.00830078125, 442.22503662109375], [1100.023681640625, 430.7445373535156], [1142.8675537109375, 446.53021240234375], [1100.023681640625, 427.8744201660156], [1114.304931640625, 505.36785888671875], [1094.3111572265625, 502.4976806640625], [1130.014404296875, 545.5496215820312], [1075.7454833984375, 529.763916015625], [1154.2926025390625, 561.3353271484375], [1072.8892822265625, 577.1210327148438], [1113.5909423828125, 569.2281799316406]]","[[1035.2935791015625, 638.05712890625], [1041.01904296875, 638.05712890625], [1048.17578125, 643.823486328125], [1025.274169921875, 645.2650756835938], [1048.17578125, 648.1482543945312], [1008.0980224609375, 671.2136840820312], [1052.4698486328125, 675.5384521484375], [985.1964111328125, 705.8118286132812], [1068.214599609375, 711.5781860351562], [968.020263671875, 736.0852661132812], [1081.0968017578125, 733.2020263671875], [1002.3726196289062, 747.6179809570312], [1032.430908203125, 749.0595703125], [1006.6666259765625, 798.0736083984375], [1053.901123046875, 806.7232055664062], [993.7845458984375, 852.8540649414062], [1055.33251953125, 868.7114868164062], [1024.5585327148438, 860.7827758789062]]"
2,10,00:07:29,13476,20,bottom,clear,,,"[1192, 337]","[[1026.8551025390625, 462.20745849609375], [1031.1583251953125, 457.9096374511719], [1023.9862670898438, 457.9096374511719], [1035.461669921875, 460.7748107910156], [1018.2485961914062, 459.34222412109375], [1041.1993408203125, 477.9660949707031], [1003.9043579101562, 476.5334777832031], [1049.805908203125, 496.5899353027344], [988.1256713867188, 500.8877258300781], [1046.93701171875, 516.6463623046875], [982.3880004882812, 533.8375854492188], [1029.7239990234375, 530.972412109375], [1002.4698486328125, 530.972412109375], [1045.502685546875, 565.3548583984375], [988.1256713867188, 561.0570678710938], [1054.1092529296875, 605.4677734375], [969.4782104492188, 605.4677734375], [1011.7937316894531, 605.4677734375]]","[[1130.3057861328125, 706.4615478515625], [1127.4493408203125, 705.0233764648438], [1124.5928955078125, 705.0233764648438], [1104.59765625, 716.5286254882812], [1120.3082275390625, 715.0904541015625], [1104.59765625, 738.1008911132812], [1138.8751220703125, 736.6627197265625], [1164.583251953125, 722.2811889648438], [1136.0186767578125, 738.1008911132812], [1181.7220458984375, 710.7760009765625], [1186.0067138671875, 706.4615478515625], [1117.45166015625, 820.0755004882812], [1137.4468994140625, 818.6373291015625], [1134.5904541015625, 867.5344848632812], [1154.585693359375, 879.039794921875], [1101.7412109375, 917.869873046875], [1154.585693359375, 946.6328735351562], [1128.1634521484375, 932.2513732910156]]"
