rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
6,1,00:08:22,15067,20,bottom,short service,,,"[947, 583]","[[1078.240234375, 465.34552001953125], [1083.9561767578125, 461.0421447753906], [1075.38232421875, 461.0421447753906], [1089.6719970703125, 463.9110412597656], [1071.095458984375, 461.0421447753906], [1095.3878173828125, 485.42791748046875], [1063.950439453125, 482.5589904785156], [1108.24853515625, 506.94476318359375], [1049.6607666015625, 488.2968444824219], [1086.81396484375, 506.94476318359375], [1048.23193359375, 494.03466796875], [1089.6719970703125, 542.8062133789062], [1069.6663818359375, 539.9373168945312], [1089.6719970703125, 588.7088623046875], [1071.095458984375, 585.8399658203125], [1091.1009521484375, 626.0047607421875], [1075.38232421875, 613.0946655273438], [1083.2416381835938, 619.5497131347656]]","[[935.71484375, 629.3321533203125], [929.9838256835938, 625.0272827148438], [935.71484375, 626.4622192382812], [914.2236938476562, 635.0720825195312], [935.71484375, 632.2020874023438], [908.49267578125, 663.7714233398438], [950.042236328125, 653.7266845703125], [905.6272583007812, 691.0359497070312], [981.5625, 666.6414184570312], [905.6272583007812, 686.7310180664062], [967.235107421875, 666.6414184570312], [924.2528686523438, 726.91015625], [950.042236328125, 726.91015625], [919.9546508789062, 791.4838256835938], [951.4749145507812, 790.048828125], [915.6564331054688, 851.7525634765625], [947.1766967773438, 843.1427612304688], [931.4165649414062, 847.4476623535156]]"
6,2,00:08:23,15108,18,top,lob,,,"[1059, 468]","[[1064.4166259765625, 484.33441162109375], [1067.2845458984375, 480.01177978515625], [1060.11474609375, 480.01177978515625], [1074.4544677734375, 480.01177978515625], [1055.81298828125, 484.33441162109375], [1085.926025390625, 498.7431335449219], [1058.6807861328125, 501.6248779296875], [1103.1336669921875, 498.7431335449219], [1055.81298828125, 530.4422607421875], [1116.039306640625, 494.4205017089844], [1114.6053466796875, 494.4205017089844], [1083.0582275390625, 557.8189086914062], [1062.9827880859375, 557.8189086914062], [1094.52978515625, 593.8406372070312], [1062.9827880859375, 605.3676147460938], [1085.926025390625, 624.0989379882812], [1064.4166259765625, 648.59375], [1075.1713256835938, 636.3463439941406]]","[[965.6084594726562, 620.076904296875], [971.3552856445312, 620.076904296875], [961.2982788085938, 620.076904296875], [958.4247436523438, 630.1259155273438], [979.9756469726562, 628.6903076171875], [945.4943237304688, 655.9661865234375], [987.1592407226562, 653.0950927734375], [922.5066528320312, 684.6776733398438], [1002.9632568359375, 686.1132202148438], [913.8862915039062, 709.0823974609375], [1020.2039184570312, 706.2112426757812], [944.0575561523438, 722.0025634765625], [968.4818725585938, 723.4381103515625], [945.4943237304688, 779.4254760742188], [975.6654663085938, 789.4744262695312], [921.0700073242188, 825.3637084960938], [952.6779174804688, 849.7684936523438], [936.8739624023438, 837.5661010742188]]"
6,3,00:08:24,15149,20,bottom,clear,,,"[1162, 454]","[[1011.4195556640625, 477.75323486328125], [1015.7112426757812, 471.986083984375], [1008.5584106445312, 471.986083984375], [1020.0029907226562, 474.8696594238281], [1001.4055786132812, 471.986083984375], [1027.15576171875, 495.0548095703125], [987.0999145507812, 496.4966125488281], [1037.169677734375, 508.0309753417969], [972.7943725585938, 525.33251953125], [1048.6142578125, 518.1234741210938], [968.5026245117188, 545.5176391601562], [1011.4195556640625, 541.1922607421875], [987.0999145507812, 542.6340942382812], [1030.0169677734375, 575.7953491210938], [975.6554565429688, 578.6788940429688], [1035.7391357421875, 617.607421875], [968.5026245117188, 621.9328002929688], [1002.1208801269531, 619.7701110839844]]","[[1086.8560791015625, 663.40478515625], [1085.417236328125, 659.091552734375], [1081.1007080078125, 664.842529296875], [1068.1512451171875, 683.5332641601562], [1075.3453369140625, 677.7822875976562], [1069.5899658203125, 700.7861938476562], [1099.8056640625, 695.03515625], [1088.294921875, 695.03515625], [1128.582275390625, 664.842529296875], [1153.0426025390625, 626.0233764648438], [1151.603759765625, 627.461181640625], [1078.22314453125, 779.8621826171875], [1098.3668212890625, 782.7377319335938], [1081.1007080078125, 838.809814453125], [1095.4891357421875, 850.311767578125], [1065.2734375, 889.1309204101562], [1085.417236328125, 915.0103759765625], [1075.3453369140625, 902.0706481933594]]"
6,4,00:08:25,15174,18,top,drop,,,"[1170, 356]","[[1130.4033203125, 455.3811340332031], [1131.841064453125, 451.0715026855469], [1130.4033203125, 446.7619323730469], [1118.900634765625, 445.32537841796875], [1121.7763671875, 443.88885498046875], [1105.9603271484375, 443.88885498046875], [1117.462890625, 469.7464904785156], [1111.7115478515625, 486.98492431640625], [1124.6519775390625, 479.80224609375], [1141.9058837890625, 478.3656921386719], [1140.468017578125, 478.3656921386719], [1093.0198974609375, 502.78680419921875], [1074.328125, 497.0406494140625], [1113.1494140625, 545.8828125], [1065.701171875, 548.7559204101562], [1065.701171875, 596.1615600585938], [1137.5924072265625, 567.430908203125], [1101.6467895507812, 581.7962341308594]]","[[1054.0704345703125, 654.940185546875], [1061.2281494140625, 654.940185546875], [1071.248779296875, 663.5900268554688], [1045.4813232421875, 665.0316162109375], [1069.8172607421875, 666.4732666015625], [1031.166015625, 689.53955078125], [1074.11181640625, 695.3060913085938], [1002.5354614257812, 718.372314453125], [1086.99560546875, 734.2303466796875], [1002.5354614257812, 721.2555541992188], [1102.742431640625, 745.7634887695312], [1025.43994140625, 760.1798095703125], [1051.2073974609375, 768.8297119140625], [1028.302978515625, 825.0536499023438], [1072.680419921875, 829.3785400390625], [1015.419189453125, 884.160888671875], [1051.2073974609375, 889.9274291992188], [1033.3132934570312, 887.0441589355469]]"
6,5,00:08:26,15199,20,bottom,net shot,,,"[1204, 605]","[[1073.129150390625, 463.04058837890625], [1077.3826904296875, 460.1788024902344], [1070.2935791015625, 458.7479248046875], [1081.6361083984375, 461.6097106933594], [1063.20458984375, 460.1788024902344], [1087.307373046875, 478.7804260253906], [1050.4442138671875, 480.2113342285156], [1105.7388916015625, 493.08935546875], [1037.683837890625, 503.10565185546875], [1102.9033203125, 504.5365295410156], [1033.4305419921875, 527.4308471679688], [1081.6361083984375, 528.8616943359375], [1057.5333251953125, 528.8616943359375], [1094.3963623046875, 557.4796142578125], [1043.3551025390625, 558.9104614257812], [1104.321044921875, 598.9755249023438], [1053.27978515625, 587.5283203125], [1078.8004150390625, 593.2519226074219]]","[[1128.880615234375, 634.3372192382812], [1133.187255859375, 632.9029541015625], [1127.445068359375, 632.9029541015625], [1124.5738525390625, 638.6400756835938], [1143.2362060546875, 642.94287109375], [1114.52490234375, 664.4569091796875], [1147.5428466796875, 660.1541137695312], [1082.942626953125, 683.1024169921875], [1081.507080078125, 683.1024169921875], [1051.3602294921875, 688.8394775390625], [1054.2314453125, 688.8394775390625], [1144.6717529296875, 718.9591064453125], [1120.2672119140625, 723.2619018554688], [1153.28515625, 754.8157958984375], [1114.52490234375, 776.3298950195312], [1161.8984375, 773.4613647460938], [1121.7027587890625, 826.529296875], [1141.8005981445312, 799.9953308105469]]"
6,6,00:08:27,15230,18,top,net shot,,,"[1158, 629]","[[1151.90673828125, 586.5241088867188], [1153.3380126953125, 582.2235107421875], [1149.0443115234375, 580.7899169921875], [1153.3380126953125, 582.2235107421875], [1137.5947265625, 577.9228515625], [1133.3011474609375, 580.7899169921875], [1130.438720703125, 602.2930908203125], [1130.438720703125, 565.02099609375], [1131.869873046875, 632.3974609375], [1126.1451416015625, 560.7203979492188], [1133.3011474609375, 668.2360229492188], [1108.9705810546875, 612.327880859375], [1097.52099609375, 616.6284790039062], [1111.8330078125, 652.467041015625], [1127.5762939453125, 625.2297973632812], [1087.5025634765625, 649.5999755859375], [1131.869873046875, 669.6695556640625], [1109.6862182617188, 659.634765625]]","[[1035.75634765625, 616.0662841796875], [1041.4620361328125, 616.0662841796875], [1031.4769287109375, 616.0662841796875], [1027.19775390625, 624.6901245117188], [1050.0205078125, 623.2528076171875], [1024.3448486328125, 649.124267578125], [1064.284912109375, 647.68701171875], [998.6691284179688, 680.7449951171875], [1082.8284912109375, 685.056884765625], [984.4048461914062, 685.056884765625], [1075.6962890625, 715.2402954101562], [1050.0205078125, 715.2402954101562], [1074.2698974609375, 716.6775512695312], [1015.7862548828125, 765.5459594726562], [1055.726318359375, 754.0474243164062], [1012.9334106445312, 825.9127197265625], [1065.7113037109375, 810.1023559570312], [1039.3223571777344, 818.0075378417969]]"
6,7,00:08:28,15258,20,bottom,lob,,,"[881, 529]","[[1022.0000610351562, 499.8851318359375], [1026.2933349609375, 495.5904235839844], [1017.7069702148438, 494.1588439941406], [1033.44873046875, 495.5904235839844], [1013.4137573242188, 495.5904235839844], [1040.60400390625, 515.63232421875], [1003.3963012695312, 519.927001953125], [1063.5009765625, 534.2426147460938], [990.5167236328125, 545.6951904296875], [1063.5009765625, 535.6742553710938], [983.361328125, 570.03173828125], [1024.8623046875, 565.737060546875], [1000.5341186523438, 562.8739013671875], [1044.897216796875, 601.526123046875], [996.240966796875, 602.9577026367188], [1034.8797607421875, 627.2943115234375], [976.2060546875, 643.04150390625], [1005.5429077148438, 635.1679077148438]]","[[885.4326171875, 626.5811157226562], [885.4326171875, 623.7158203125], [885.4326171875, 622.283203125], [888.3009033203125, 628.013671875], [908.37939453125, 626.5811157226562], [895.4718017578125, 648.0704956054688], [912.681884765625, 643.7725830078125], [898.3402099609375, 663.829345703125], [911.2476806640625, 679.5882568359375], [891.1693115234375, 682.4534912109375], [895.4718017578125, 675.2904052734375], [915.5502319335938, 715.4039916992188], [931.326171875, 703.9429321289062], [924.1552734375, 759.8153686523438], [902.6427001953125, 734.0281372070312], [958.575439453125, 791.333251953125], [882.5642700195312, 764.11328125], [920.5698547363281, 777.7232666015625]]"
6,8,00:08:29,15290,18,top,lob,,,"[1166, 296]","[[1139.4776611328125, 460.52813720703125], [1140.917236328125, 460.52813720703125], [1139.4776611328125, 454.7699890136719], [1139.4776611328125, 460.52813720703125], [1130.8406982421875, 447.5722961425781], [1122.2037353515625, 469.1653747558594], [1115.0062255859375, 443.253662109375], [1109.248291015625, 483.5607604980469], [1109.248291015625, 483.5607604980469], [1119.32470703125, 493.6375427246094], [1127.961669921875, 450.45135498046875], [1097.7322998046875, 503.71429443359375], [1081.8978271484375, 493.6375427246094], [1116.4456787109375, 536.8236694335938], [1054.54736328125, 529.6259765625], [1043.0313720703125, 574.2516479492188], [1044.470947265625, 572.8121337890625], [1043.7511596679688, 573.5318908691406]]","[[979.30126953125, 595.2550659179688], [986.4528198242188, 586.6192016601562], [977.8709716796875, 586.6192016601562], [975.01025390625, 601.0123291015625], [997.8954467773438, 602.45166015625], [963.5677490234375, 626.9200439453125], [1005.0469360351562, 629.7986450195312], [933.5310668945312, 651.388427734375], [1015.0592041015625, 662.9029541015625], [934.96142578125, 649.9490966796875], [1030.792724609375, 681.6140747070312], [963.5677490234375, 696.0072021484375], [992.174072265625, 696.0072021484375], [964.9981079101562, 755.0192260742188], [1003.61669921875, 759.337158203125], [947.8342895507812, 809.7131958007812], [1000.7559814453125, 815.470458984375], [974.2951354980469, 812.5918273925781]]"
6,9,00:08:31,15339,20,bottom,smash,,,"[917, 512]","[[978.0344848632812, 467.3537292480469], [980.8935546875, 463.0409851074219], [973.7457275390625, 463.0409851074219], [986.6119384765625, 464.4786071777344], [968.02734375, 464.4786071777344], [993.759765625, 483.1669616699219], [955.1611938476562, 486.0421447753906], [1009.485107421875, 494.66754150390625], [945.1541748046875, 511.9183654785156], [1012.3442993164062, 501.8553466796875], [935.1471557617188, 533.48193359375], [985.1823120117188, 536.3570556640625], [959.4498901367188, 536.3570556640625], [1002.3372192382812, 563.6708374023438], [948.0133666992188, 559.358154296875], [1000.9076538085938, 601.0476684570312], [946.583740234375, 608.2354736328125], [973.7456970214844, 604.6415710449219]]","[[867.9115600585938, 685.4903564453125], [865.0452270507812, 682.6090087890625], [865.0452270507812, 686.9310302734375], [843.5477905273438, 704.2190551757812], [860.7456665039062, 698.4563598632812], [857.87939453125, 731.5916748046875], [886.5426025390625, 707.100341796875], [866.4783935546875, 748.8796997070312], [902.3073120117188, 681.1683959960938], [922.3715209960938, 619.2197265625], [922.3715209960938, 619.2197265625], [882.2431640625, 792.099609375], [912.3394775390625, 789.2183227539062], [865.0452270507812, 846.8448486328125], [925.2378540039062, 852.607666015625], [842.1146240234375, 903.0309448242188], [926.6710815429688, 914.5562744140625], [884.3928527832031, 908.7936096191406]]"
6,10,00:08:31,15354,18,top,defensive shot,,,"[1187, 519]","[[1067.0762939453125, 527.5535278320312], [1065.6435546875, 523.259033203125], [1065.6435546875, 523.259033203125], [1044.15087890625, 523.259033203125], [1057.04638671875, 526.1220092773438], [1029.822509765625, 536.1424560546875], [1062.77783203125, 546.162841796875], [1038.4195556640625, 577.655517578125], [1094.30029296875, 557.6146850585938], [1034.12109375, 612.0111694335938], [1125.82275390625, 564.7720947265625], [1009.7627563476562, 569.0665893554688], [1008.3299560546875, 569.0665893554688], [973.9417724609375, 600.5592651367188], [971.0761108398438, 603.4223022460938], [1034.12109375, 619.1686401367188], [920.9268188476562, 614.8742065429688], [977.5239562988281, 617.0214233398438]]","[[900.2679443359375, 693.7200317382812], [901.6893310546875, 689.4136962890625], [903.1107788085938, 685.1073608398438], [901.6893310546875, 695.155517578125], [925.853759765625, 693.7200317382812], [896.0035400390625, 722.428955078125], [944.3323974609375, 719.5580444335938], [871.8392333984375, 758.3151245117188], [961.3896484375, 751.1378784179688], [880.3677978515625, 785.588623046875], [962.8110961914062, 788.4595336914062], [913.060791015625, 789.8948974609375], [944.3323974609375, 789.8948974609375], [894.5822143554688, 848.7482299804688], [937.2252807617188, 845.8773803710938], [896.0035400390625, 910.472412109375], [941.4895629882812, 890.3762817382812], [918.7465515136719, 900.4243469238281]]"
