rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
16,1,00:15:01,27058,31,bottom,short service,,,"[691, 406]","[[1050.76953125, 344.8076171875], [1053.62255859375, 340.5140075683594], [1047.91650390625, 340.5140075683594], [1059.32861328125, 339.0827941894531], [1043.6368408203125, 339.0827941894531], [1069.3143310546875, 351.963623046875], [1037.9307861328125, 347.6700134277344], [1085.0062255859375, 370.5692443847656], [1022.2388305664062, 356.2572326660156], [1077.8736572265625, 382.01885986328125], [1010.8265991210938, 367.70684814453125], [1062.1817626953125, 394.899658203125], [1045.0633544921875, 393.4684753417969], [1060.7552490234375, 430.67974853515625], [1045.0633544921875, 430.67974853515625], [1059.32861328125, 469.32220458984375], [1045.0633544921875, 447.8541564941406], [1052.1959838867188, 458.5881805419922]]","[[914.1600952148438, 555.8375244140625], [912.735107421875, 548.643798828125], [914.1600952148438, 554.3987426757812], [914.1600952148438, 552.9600219726562], [935.5347900390625, 548.643798828125], [905.6102294921875, 586.0510864257812], [951.2095336914062, 571.6636962890625], [899.9103393554688, 594.6835327148438], [971.1591796875, 584.6123046875], [924.1348876953125, 597.5609741210938], [972.5841674804688, 607.6322021484375], [928.4098510742188, 650.79443359375], [954.0594482421875, 646.4782104492188], [928.4098510742188, 699.7116088867188], [946.9345703125, 686.762939453125], [939.8096923828125, 747.1901245117188], [938.384765625, 712.6602783203125], [939.0972290039062, 729.9252014160156]]"
16,2,00:15:02,27085,32,top,net shot,,,"[699, 17]","[[1097.2296142578125, 372.9760437011719], [1098.6673583984375, 370.1160888671875], [1094.35400390625, 368.6861267089844], [1084.2891845703125, 368.6861267089844], [1085.7271728515625, 368.6861267089844], [1090.04052734375, 385.8457946777344], [1077.1002197265625, 382.9858703613281], [1100.105224609375, 388.70574951171875], [1078.5379638671875, 405.86541748046875], [1117.3590087890625, 388.70574951171875], [1095.791748046875, 427.3150329589844], [1068.473388671875, 427.3150329589844], [1056.970947265625, 427.3150329589844], [1077.1002197265625, 458.7744445800781], [1078.5379638671875, 458.7744445800781], [1039.7171630859375, 467.354248046875], [1084.2891845703125, 504.5335693359375], [1062.003173828125, 485.94390869140625]]","[[935.844482421875, 564.2444458007812], [934.4188232421875, 558.5042114257812], [958.655517578125, 554.1990966796875], [937.2702026367188, 561.3743286132812], [958.655517578125, 558.5042114257812], [934.4188232421875, 582.8999633789062], [974.3381958007812, 580.0299072265625], [927.2903442382812, 608.730712890625], [990.020751953125, 613.035888671875], [918.7362670898438, 641.7366943359375], [1005.703369140625, 646.0418701171875], [958.655517578125, 653.217041015625], [987.1693725585938, 651.781982421875], [931.5674438476562, 694.8333129882812], [981.466552734375, 684.7879638671875], [932.9931640625, 750.7999267578125], [992.8720703125, 730.7093505859375], [962.9326171875, 740.754638671875]]"
16,3,00:15:03,27108,31,bottom,net shot,,,"[709, 186]","[[1027.04443359375, 337.57354736328125], [1031.33447265625, 333.2661437988281], [1024.184326171875, 333.2661437988281], [1037.0545654296875, 334.7019348144531], [1019.894287109375, 334.7019348144531], [1045.634765625, 351.9315490722656], [1008.4541625976562, 350.4957275390625], [1054.21484375, 370.59698486328125], [998.4439697265625, 370.59698486328125], [1059.9349365234375, 390.69818115234375], [997.0139770507812, 396.44134521484375], [1034.194580078125, 397.8771667480469], [1011.314208984375, 396.44134521484375], [1041.3446044921875, 432.33636474609375], [997.0139770507812, 429.4648132324219], [1041.3446044921875, 466.79559326171875], [988.433837890625, 462.48822021484375], [1014.8892211914062, 464.64190673828125]]","[[993.5914916992188, 561.8117065429688], [996.4711303710938, 560.3712158203125], [996.4711303710938, 563.252197265625], [1002.2305908203125, 566.1331787109375], [1020.9485473632812, 561.8117065429688], [1002.2305908203125, 587.7404174804688], [1033.9072265625, 577.6570434570312], [976.3132934570312, 603.5858154296875], [1042.5462646484375, 571.8950805664062], [947.5162963867188, 596.3833618164062], [1039.6666259765625, 557.490234375], [1015.189208984375, 656.8837280273438], [1039.6666259765625, 652.562255859375], [996.4711303710938, 697.2173461914062], [996.4711303710938, 695.77685546875], [1007.989990234375, 734.6699829101562], [1038.2266845703125, 672.7290649414062], [1023.1083374023438, 703.6995239257812]]"
16,4,00:15:04,27131,32,top,lob,,,"[772, 354]","[[1081.2171630859375, 391.1340637207031], [1084.085693359375, 386.8300476074219], [1078.3487548828125, 386.8300476074219], [1085.52001953125, 389.69940185546875], [1069.7431640625, 388.26470947265625], [1071.1773681640625, 405.4808349609375], [1066.874755859375, 405.4808349609375], [1074.0458984375, 418.3929138183594], [1059.703369140625, 422.6969299316406], [1079.782958984375, 438.4783935546875], [1076.9144287109375, 428.4356689453125], [1053.9664306640625, 448.5211181640625], [1042.492431640625, 451.3905029296875], [1064.0062255859375, 481.5187072753906], [1074.0458984375, 470.04132080078125], [1025.2813720703125, 487.2574462890625], [1079.782958984375, 513.0816040039062], [1052.5321655273438, 500.1695251464844]]","[[997.9519653320312, 559.1243286132812], [983.65771484375, 546.2007446289062], [1009.3873291015625, 544.7648315429688], [986.5165405273438, 550.5086059570312], [1010.8167114257812, 546.2007446289062], [985.0870971679688, 573.4837646484375], [1023.6815795898438, 570.6118774414062], [977.93994140625, 599.330810546875], [1042.26416015625, 603.638671875], [957.9280395507812, 628.0497436523438], [1057.9876708984375, 633.7935180664062], [1017.9638671875, 639.5372924804688], [1042.26416015625, 635.2294311523438], [987.9459838867188, 679.7437744140625], [1033.6875, 661.0764770507812], [995.0931396484375, 737.181640625], [1040.834716796875, 702.7189331054688], [1017.9639282226562, 719.9502868652344]]"
16,5,00:15:05,27165,31,bottom,drop,,,"[911, 501]","[[943.1995239257812, 330.620361328125], [946.080078125, 327.75341796875], [938.8787841796875, 327.75341796875], [951.8411865234375, 327.75341796875], [934.5579833984375, 327.75341796875], [960.4827270507812, 342.0882568359375], [924.4761962890625, 343.521728515625], [980.6464233398438, 354.9895935058594], [914.3943481445312, 363.5904846191406], [993.6088256835938, 370.7579040527344], [912.9541015625, 387.959716796875], [951.8411865234375, 382.22576904296875], [928.7969970703125, 383.65924072265625], [966.2437744140625, 418.0628356933594], [915.8346557617188, 420.9298400878906], [976.3256225585938, 461.0673522949219], [910.0735473632812, 458.20037841796875], [943.1995849609375, 459.6338653564453]]","[[742.4886474609375, 689.2327880859375], [741.057373046875, 689.2327880859375], [736.7633056640625, 689.2327880859375], [722.4498291015625, 716.5477294921875], [735.3319702148438, 697.8585815429688], [761.0961303710938, 699.2962036132812], [756.8021240234375, 702.1715087890625], [742.4886474609375, 831.5577392578125], [756.8021240234375, 664.793212890625], [715.2930908203125, 863.1854858398438], [753.939453125, 657.6051025390625], [768.2529296875, 784.1161499023438], [798.3111572265625, 772.6151123046875], [746.78271484375, 827.244873046875], [844.1141967773438, 798.4923095703125], [869.87841796875, 843.0587768554688], [869.87841796875, 844.4963989257812], [869.87841796875, 843.777587890625]]"
16,6,00:15:06,27194,32,top,net shot,,,"[902, 504]","[[1058.7418212890625, 354.1623229980469], [1061.5953369140625, 349.8493957519531], [1055.88818359375, 349.8493957519531], [1063.022216796875, 352.7247009277344], [1047.327392578125, 352.7247009277344], [1041.6202392578125, 365.6634826660156], [1047.327392578125, 371.4140930175781], [1057.3150634765625, 380.03997802734375], [1057.3150634765625, 380.03997802734375], [1065.875732421875, 394.4164123535156], [1065.875732421875, 394.4164123535156], [1017.3646240234375, 415.9811096191406], [1027.3521728515625, 420.29400634765625], [1015.9378051757812, 437.5457763671875], [1058.7418212890625, 444.7340087890625], [978.841064453125, 456.23516845703125], [1068.7293701171875, 486.42572021484375], [1023.7852172851562, 471.3304443359375]]","[[898.5266723632812, 639.1317138671875], [895.6481323242188, 633.3663330078125], [897.0873413085938, 633.3663330078125], [869.74169921875, 636.2490234375], [895.6481323242188, 639.1317138671875], [846.7136840820312, 659.310791015625], [895.6481323242188, 670.8416137695312], [823.6856689453125, 673.724365234375], [907.162109375, 712.6410522460938], [828.00341796875, 672.2830200195312], [921.5545654296875, 747.2337036132812], [839.5174560546875, 744.3509521484375], [868.3023681640625, 745.7922973632812], [849.5922241210938, 770.2953491210938], [904.2836303710938, 777.502197265625], [832.3211669921875, 814.9775390625], [888.451904296875, 829.39111328125], [860.3865356445312, 822.184326171875]]"
16,7,00:15:07,27216,31,bottom,lob,,,"[808, 478]","[[1012.0037841796875, 336.7217712402344], [1014.8701171875, 332.40264892578125], [1007.7041625976562, 330.96295166015625], [1019.1697387695312, 333.8423767089844], [1001.9713745117188, 332.40264892578125], [1020.6029052734375, 349.6791687011719], [989.0726928710938, 349.6791687011719], [1030.63525390625, 368.3953552246094], [977.6072387695312, 374.1541748046875], [1042.100830078125, 385.67181396484375], [967.5748901367188, 397.18951416015625], [1000.5382690429688, 394.31005859375], [981.90673828125, 394.31005859375], [1012.0037841796875, 423.10418701171875], [990.5059204101562, 428.863037109375], [1001.9713745117188, 459.096923828125], [974.7408447265625, 477.8130798339844], [988.3561096191406, 468.4550018310547]]","[[831.3571166992188, 566.7811889648438], [832.7898559570312, 561.0143432617188], [831.3571166992188, 561.0143432617188], [837.0877685546875, 563.8978271484375], [855.7125854492188, 562.4560546875], [845.6838989257812, 586.9652099609375], [861.4432983398438, 578.31494140625], [838.5205078125, 607.1492309570312], [838.5205078125, 605.70751953125], [814.1650390625, 611.474365234375], [845.6838989257812, 666.259521484375], [865.7413330078125, 654.725830078125], [854.2799072265625, 648.958984375], [860.0105590820312, 705.1858520507812], [858.5779418945312, 703.7440795898438], [904.4234008789062, 715.27783203125], [907.288818359375, 715.27783203125], [905.8561096191406, 715.27783203125]]"
16,8,00:15:08,27250,32,top,smash,,,"[982, 396]","[[1088.35302734375, 261.733642578125], [1089.7884521484375, 260.302001953125], [1085.482421875, 257.438720703125], [1079.7412109375, 260.302001953125], [1081.176513671875, 258.870361328125], [1082.61181640625, 280.34478759765625], [1081.176513671875, 281.7763977050781], [1078.305908203125, 297.5243225097656], [1066.823486328125, 306.1141052246094], [1049.5997314453125, 294.66107177734375], [1075.435302734375, 286.0713195800781], [1059.6468505859375, 314.703857421875], [1059.6468505859375, 310.40899658203125], [1081.176513671875, 349.0629577636719], [1020.8935546875, 339.0415344238281], [1082.61181640625, 376.2638854980469], [1015.1522216796875, 380.55877685546875], [1048.8820190429688, 378.4113311767578]]","[[996.31494140625, 599.0584716796875], [970.436767578125, 591.8594970703125], [994.877197265625, 594.7390747070312], [970.436767578125, 596.1788940429688], [992.0018310546875, 596.1788940429688], [957.4977416992188, 619.2156982421875], [1002.0655517578125, 620.655517578125], [934.4949340820312, 645.1321411132812], [1017.8799438476562, 656.6505737304688], [921.555908203125, 671.048583984375], [1032.2567138671875, 685.4466552734375], [956.0599975585938, 684.0068359375], [989.12646484375, 685.4466552734375], [931.61962890625, 709.9232177734375], [1030.819091796875, 712.8028564453125], [910.0545654296875, 758.8765258789062], [1049.5087890625, 764.6357421875], [979.7816772460938, 761.7561340332031]]"
16,9,00:15:08,27261,31,bottom,defensive shot,,,"[782, 405]","[[1114.0557861328125, 322.80950927734375], [1118.3763427734375, 319.95355224609375], [1112.6156005859375, 319.95355224609375], [1119.8165283203125, 319.95355224609375], [1105.4146728515625, 314.2415771484375], [1108.2950439453125, 332.805419921875], [1086.6922607421875, 325.66546630859375], [1098.2137451171875, 348.5133056640625], [1067.9698486328125, 335.6614074707031], [1088.1324462890625, 359.93719482421875], [1073.7305908203125, 357.0812072753906], [1083.8118896484375, 342.80133056640625], [1066.5296630859375, 338.5173645019531], [1105.4146728515625, 367.0771484375], [1049.2474365234375, 368.505126953125], [1106.8548583984375, 391.35296630859375], [1027.6446533203125, 397.06488037109375], [1067.249755859375, 394.20892333984375]]","[[946.64501953125, 635.3956909179688], [919.3720703125, 633.9633178710938], [943.7742309570312, 633.9633178710938], [920.8074951171875, 638.260498046875], [942.3388061523438, 638.260498046875], [912.1949462890625, 662.6112060546875], [958.12841796875, 664.0435791015625], [889.2282104492188, 685.5294799804688], [975.3533935546875, 696.9886474609375], [879.1803588867188, 694.1238403320312], [946.64501953125, 681.2322998046875], [935.1616821289062, 734.2308959960938], [966.740966796875, 729.9336547851562], [899.2761840820312, 738.5280151367188], [1011.2388916015625, 762.8787841796875], [905.0178833007812, 790.09423828125], [1052.8660888671875, 797.2562866210938], [978.9419860839844, 793.6752624511719]]"
16,10,00:15:09,27290,32,top,net shot,,,"[692, 398]","[[919.456787109375, 369.49578857421875], [920.88671875, 365.1962890625], [916.5971069335938, 366.62945556640625], [929.4660034179688, 363.7631530761719], [915.1671752929688, 368.0626220703125], [945.1947021484375, 370.92889404296875], [920.88671875, 389.5599060058594], [968.0729370117188, 365.1962890625], [915.1671752929688, 405.3246154785156], [995.2406616210938, 363.7631530761719], [900.868408203125, 431.1213684082031], [953.7739868164062, 412.4903564453125], [932.3258056640625, 419.6561279296875], [970.9326171875, 428.2550354003906], [916.5971069335938, 439.72027587890625], [980.9418334960938, 445.4529113769531], [913.7373046875, 481.28173828125], [947.3395690917969, 463.36732482910156]]","[[919.7484130859375, 588.8291625976562], [888.154296875, 590.2706909179688], [916.876220703125, 585.9461669921875], [889.5904541015625, 594.5952758789062], [916.876220703125, 593.1537475585938], [878.1016845703125, 623.4258422851562], [928.364990234375, 626.3088989257812], [862.3046264648438, 652.25634765625], [944.1619873046875, 669.5546875], [859.4324340820312, 678.203857421875], [954.2147216796875, 694.0606689453125], [882.409912109375, 698.3851928710938], [915.440185546875, 699.8267822265625], [870.9212036132812, 727.2157592773438], [939.853759765625, 734.4234008789062], [859.4324340820312, 773.3446655273438], [944.1619873046875, 781.9937133789062], [901.7972106933594, 777.669189453125]]"
