rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
7,1,00:51:44,93149,7,bottom,short service,,,"[868, 583]","[[826.4808959960938, 396.30438232421875], [830.7587890625, 391.99395751953125], [823.62890625, 391.99395751953125], [837.8887939453125, 393.4307861328125], [822.202880859375, 394.8675537109375], [847.8707885742188, 413.54595947265625], [813.6468505859375, 414.9827880859375], [850.7227783203125, 445.15557861328125], [810.794921875, 440.84521484375], [826.4808959960938, 448.0292053222656], [805.0909423828125, 453.7763977050781], [839.3148193359375, 468.1443786621094], [820.77685546875, 469.5812072753906], [836.4628295898438, 516.99560546875], [822.202880859375, 519.8692016601562], [843.5927734375, 567.28369140625], [826.4808959960938, 568.720458984375], [835.0368347167969, 568.0020751953125]]","[[1115.3056640625, 697.8058471679688], [1113.88232421875, 693.4957885742188], [1112.4588623046875, 693.4957885742188], [1078.297607421875, 699.2425537109375], [1108.1888427734375, 699.2425537109375], [1064.063720703125, 730.8494873046875], [1118.1524658203125, 735.1595458984375], [1046.9830322265625, 772.5132446289062], [1128.1162109375, 773.9498901367188], [1074.0274658203125, 763.8931274414062], [1101.0718994140625, 769.639892578125], [1072.6041259765625, 819.9237670898438], [1108.1888427734375, 819.9237670898438], [1069.75732421875, 890.3211059570312], [1109.612060546875, 888.8844604492188], [1071.1806640625, 956.408447265625], [1106.765380859375, 960.7184448242188], [1088.9730224609375, 958.5634460449219]]"
7,2,00:51:45,93169,28,top,lob,,,"[868, 583]","[[813.441650390625, 408.830322265625], [817.7417602539062, 405.9626159667969], [810.574951171875, 405.9626159667969], [822.041748046875, 405.9626159667969], [806.2748413085938, 405.9626159667969], [829.2085571289062, 423.1687927246094], [794.8079833984375, 421.73492431640625], [830.641845703125, 456.1472473144531], [789.0745849609375, 446.1103210449219], [814.875, 457.58111572265625], [781.9078979492188, 459.0149230957031], [822.041748046875, 480.5226135253906], [797.6747436523438, 477.6549377441406], [822.041748046875, 532.14111328125], [791.9413452148438, 530.7072143554688], [820.6083984375, 579.4580078125], [791.9413452148438, 576.59033203125], [806.2748718261719, 578.024169921875]]","[[1058.22119140625, 700.418212890625], [1056.792724609375, 696.0972900390625], [1086.788818359375, 690.3359375], [1059.6495361328125, 698.9779052734375], [1086.788818359375, 696.0972900390625], [1053.93603515625, 733.5459594726562], [1102.5010986328125, 723.463623046875], [1032.51025390625, 773.8753662109375], [1032.51025390625, 773.8753662109375], [1049.6507568359375, 811.3240966796875], [1051.0792236328125, 812.764404296875], [1068.2198486328125, 817.08544921875], [1099.644287109375, 814.2047729492188], [1058.22119140625, 874.6988525390625], [1101.07275390625, 877.5795288085938], [1055.3643798828125, 935.1929931640625], [1105.3577880859375, 945.2752685546875], [1080.361083984375, 940.234130859375]]"
7,3,00:51:46,93204,7,bottom,drop,,,"[868, 583]","[[865.614013671875, 403.1975402832031], [865.614013671875, 398.8826599121094], [862.756103515625, 398.8826599121094], [854.1819458007812, 398.8826599121094], [854.1819458007812, 398.8826599121094], [855.6109619140625, 421.8955383300781], [842.7498779296875, 421.8955383300781], [858.468994140625, 449.223388671875], [851.3239135742188, 453.53826904296875], [882.7622680664062, 440.5935363769531], [878.4752197265625, 444.908447265625], [848.4658813476562, 482.304443359375], [852.7529296875, 482.304443359375], [847.036865234375, 525.45361328125], [874.1881713867188, 525.45361328125], [835.6047973632812, 572.917724609375], [855.6109619140625, 575.7943115234375], [845.6078796386719, 574.3560180664062]]","[[1069.6259765625, 663.1408081054688], [1056.6766357421875, 661.7003784179688], [1068.1871337890625, 657.3789672851562], [1040.8497314453125, 661.7003784179688], [1065.3095703125, 661.7003784179688], [1027.900390625, 690.5097045898438], [1078.2589111328125, 689.0692138671875], [1022.1450805664062, 735.1641845703125], [1099.841064453125, 726.5213623046875], [1014.9509887695312, 774.0568237304688], [1078.2589111328125, 735.1641845703125], [1037.9720458984375, 772.6163330078125], [1069.6259765625, 772.6163330078125], [1035.0943603515625, 825.91357421875], [1069.6259765625, 828.7945556640625], [1036.533203125, 877.7704467773438], [1072.5035400390625, 890.734619140625], [1054.5183715820312, 884.2525329589844]]"
7,4,00:51:47,93227,28,top,push/rush,,,"[868, 583]","[[925.5831909179688, 398.9475402832031], [925.5831909179688, 396.0649719238281], [921.3457641601562, 396.0649719238281], [917.1082763671875, 398.9475402832031], [912.870849609375, 397.50628662109375], [924.170654296875, 417.6843566894531], [901.5709838867188, 419.1256408691406], [925.5831909179688, 450.83404541015625], [902.9834594726562, 450.83404541015625], [935.4705200195312, 447.95147705078125], [938.2955322265625, 440.7449951171875], [926.9956665039062, 479.6598815917969], [908.6334228515625, 482.5424499511719], [935.4705200195312, 525.7811889648438], [912.870849609375, 528.6637573242188], [931.233154296875, 563.2547607421875], [904.39599609375, 579.1089477539062], [917.8145751953125, 571.1818542480469]]","[[1039.04345703125, 639.3215942382812], [1024.817626953125, 633.571044921875], [1029.08544921875, 633.571044921875], [1026.240234375, 633.571044921875], [1050.424072265625, 633.571044921875], [1012.0145263671875, 666.6367797851562], [1061.8046875, 663.7615356445312], [996.3661499023438, 705.4530639648438], [1070.340087890625, 691.07666015625], [1002.0565185546875, 718.3919067382812], [1044.7337646484375, 691.07666015625], [1023.3950805664062, 738.5188598632812], [1056.1143798828125, 738.5188598632812], [1013.4370727539062, 784.5233764648438], [1051.8466796875, 794.5867919921875], [1021.9725952148438, 833.4031372070312], [1044.7337646484375, 853.5301513671875], [1033.3531799316406, 843.4666442871094]]"
7,5,00:51:48,93253,7,bottom,drop,,,"[868, 583]","[[903.4987182617188, 400.0342712402344], [906.362548828125, 395.7372131347656], [902.06689453125, 395.7372131347656], [914.9539184570312, 397.1695861816406], [900.635009765625, 395.7372131347656], [926.4091796875, 415.79022216796875], [896.3392944335938, 411.4931335449219], [929.27294921875, 448.7344055175781], [892.0435180664062, 438.7079162597656], [896.3392944335938, 437.2755432128906], [884.8840942382812, 437.2755432128906], [916.3858642578125, 471.6521301269531], [896.3392944335938, 470.21978759765625], [923.5453491210938, 517.4876098632812], [894.9074096679688, 517.4876098632812], [937.8643798828125, 566.187744140625], [900.635009765625, 563.3230590820312], [919.2496948242188, 564.7554016113281]]","[[1016.001220703125, 618.541015625], [1007.3773193359375, 615.660400390625], [1014.5639038085938, 614.2200927734375], [988.6921997070312, 622.8619384765625], [1013.1266479492188, 618.541015625], [981.505615234375, 653.1082153320312], [1027.499755859375, 643.026123046875], [957.0712890625, 679.0336303710938], [1031.811767578125, 644.4664306640625], [980.0682983398438, 693.4366455078125], [998.75341796875, 644.4664306640625], [995.8787841796875, 729.4442138671875], [1027.499755859375, 729.4442138671875], [1000.1907348632812, 778.4144287109375], [1041.8729248046875, 774.093505859375], [1003.0653686523438, 840.3473510742188], [1036.1236572265625, 828.8248901367188], [1019.5945129394531, 834.5861206054688]]"
7,6,00:51:49,93274,28,top,push/rush,,,"[868, 583]","[[865.5289306640625, 404.85931396484375], [868.3966674804688, 400.5360412597656], [864.0950927734375, 400.5360412597656], [878.43359375, 401.9771423339844], [862.6611938476562, 400.5360412597656], [889.9044799804688, 420.7112731933594], [861.2273559570312, 419.2701721191406], [894.2059326171875, 453.85626220703125], [855.4920043945312, 443.7686462402344], [869.8305053710938, 450.9740905761719], [851.1904907226562, 453.85626220703125], [882.7351684570312, 475.4725646972656], [864.0950927734375, 476.91363525390625], [874.132080078125, 524.4694213867188], [865.5289306640625, 521.5872802734375], [871.2643432617188, 573.4663696289062], [892.7721557617188, 557.6144409179688], [882.0182495117188, 565.5404052734375]]","[[1049.354736328125, 631.3209228515625], [1023.5535888671875, 622.696533203125], [1050.7880859375, 627.0087890625], [1023.5535888671875, 627.0087890625], [1049.354736328125, 629.883544921875], [1006.3528442382812, 654.3192749023438], [1053.6549072265625, 658.6314697265625], [993.4523315429688, 690.2542114257812], [1073.722412109375, 694.5663452148438], [1012.08642578125, 684.5045776367188], [1057.955078125, 723.3143310546875], [1010.6530151367188, 737.6882934570312], [1040.7542724609375, 737.6882934570312], [1006.3528442382812, 787.9971313476562], [1040.7542724609375, 793.7467651367188], [1003.4860229492188, 845.4931030273438], [1039.3209228515625, 854.117431640625], [1021.4034729003906, 849.8052673339844]]"
7,7,00:51:49,93296,7,bottom,drop,,,"[868, 583]","[[856.2020263671875, 401.82012939453125], [860.4427490234375, 397.50897216796875], [851.9613037109375, 397.50897216796875], [863.2698974609375, 400.3830871582031], [846.3069458007812, 400.3830871582031], [871.7514038085938, 423.37591552734375], [834.998291015625, 423.37591552734375], [883.0599975585938, 449.2428894042969], [827.9303588867188, 452.11700439453125], [877.40576171875, 460.73931884765625], [826.516845703125, 475.1098327636719], [863.2698974609375, 483.7321472167969], [839.239013671875, 483.7321472167969], [864.6834716796875, 532.5919189453125], [836.411865234375, 532.5919189453125], [867.5106811523438, 577.1405639648438], [839.239013671875, 574.2664794921875], [853.3748474121094, 575.7035217285156]]","[[1017.9839477539062, 644.8624267578125], [1023.6795654296875, 639.10107421875], [1027.9512939453125, 639.10107421875], [1002.321044921875, 641.9817504882812], [1027.9512939453125, 643.422119140625], [988.0819091796875, 670.78857421875], [1037.918701171875, 672.2289428710938], [979.5384521484375, 712.5584716796875], [1052.15771484375, 706.797119140625], [1002.321044921875, 705.356689453125], [1060.701171875, 705.356689453125], [999.4732055664062, 752.887939453125], [1032.2230224609375, 751.4475708007812], [1000.8970947265625, 806.180419921875], [1040.7664794921875, 801.8594360351562], [1002.321044921875, 869.555419921875], [1039.342529296875, 863.7940673828125], [1020.831787109375, 866.6747436523438]]"
7,8,00:51:50,93320,28,top,net shot,,,"[904, 585]","[[870.6211547851562, 414.9889831542969], [873.4938354492188, 410.67315673828125], [867.7484741210938, 409.2345275878906], [874.9302368164062, 410.67315673828125], [859.1304931640625, 404.9187316894531], [874.9302368164062, 426.49786376953125], [836.1490478515625, 423.62066650390625], [877.8028564453125, 461.02459716796875], [830.4036865234375, 455.2701416015625], [889.2935791015625, 485.4809875488281], [826.0947875976562, 485.4809875488281], [864.8758544921875, 488.3582458496094], [839.0217895507812, 488.3582458496094], [867.7484741210938, 532.9552001953125], [836.1490478515625, 537.2710571289062], [870.6211547851562, 580.429443359375], [837.58544921875, 577.5521850585938], [854.1033020019531, 578.9908142089844]]","[[1037.3126220703125, 657.1612548828125], [1043.0052490234375, 652.8363647460938], [1050.12109375, 649.953125], [1023.0809936523438, 651.394775390625], [1050.12109375, 652.8363647460938], [1006.0029907226562, 680.2271118164062], [1055.813720703125, 684.5519409179688], [993.194580078125, 719.1507568359375], [1071.468505859375, 724.917236328125], [1018.8115234375, 719.1507568359375], [1047.2747802734375, 719.1507568359375], [1010.2724609375, 766.72412109375], [1044.428466796875, 765.2824096679688], [1008.8493041992188, 824.3887939453125], [1044.428466796875, 824.3887939453125], [1007.4262084960938, 890.703125], [1043.0052490234375, 890.703125], [1025.2157287597656, 890.703125]]"
7,9,00:51:51,93351,7,bottom,net shot,,,"[974, 589]","[[887.704345703125, 419.0609436035156], [890.5538940429688, 416.1809997558594], [886.279541015625, 414.7410583496094], [889.129150390625, 413.30108642578125], [874.8815307617188, 410.42120361328125], [886.279541015625, 432.0205383300781], [849.2357177734375, 421.9408264160156], [887.704345703125, 459.3797302246094], [832.1385498046875, 449.300048828125], [897.6776733398438, 485.2989807128906], [825.0147705078125, 480.9791259765625], [870.607177734375, 488.1788635253906], [847.8109130859375, 483.8590087890625], [873.4567260742188, 532.8175659179688], [843.5366821289062, 529.9376220703125], [872.031982421875, 580.336181640625], [844.96142578125, 573.1364135742188], [858.4967041015625, 576.7362976074219]]","[[1024.8743896484375, 651.5166015625], [1030.6290283203125, 644.3180541992188], [1039.260986328125, 642.8783569335938], [1013.365234375, 642.8783569335938], [1037.8223876953125, 645.7578125], [994.6627197265625, 670.2328491210938], [1043.576904296875, 675.9916381835938], [980.276123046875, 710.544677734375], [1056.52490234375, 717.7431640625], [970.20556640625, 743.6578979492188], [1033.50634765625, 723.5020141601562], [1000.4172973632812, 752.296142578125], [1032.0677490234375, 752.296142578125], [996.101318359375, 802.6859741210938], [1030.6290283203125, 807.0050659179688], [998.9786987304688, 850.1962890625], [1026.3131103515625, 870.3522338867188], [1012.6459045410156, 860.2742614746094]]"
7,10,00:51:52,93378,28,top,lob,touched the net,28.0,"[886, 538]","[[877.2488403320312, 405.236083984375], [877.2488403320312, 400.9376220703125], [874.389892578125, 400.9376220703125], [875.8193359375, 402.3704528808594], [861.5248413085938, 402.3704528808594], [874.389892578125, 422.42974853515625], [837.22412109375, 422.42974853515625], [877.2488403320312, 449.65313720703125], [830.0769653320312, 452.5187072753906], [882.966552734375, 474.0108337402344], [828.6474609375, 482.6076965332031], [868.6720581054688, 484.04046630859375], [844.3714599609375, 484.04046630859375], [874.389892578125, 529.8903198242188], [841.5125122070312, 529.8903198242188], [870.1015014648438, 562.8449096679688], [840.0830688476562, 578.6058349609375], [855.09228515625, 570.7253723144531]]","[[1018.975830078125, 631.42236328125], [1018.975830078125, 627.0977172851562], [1018.975830078125, 627.0977172851562], [994.5626220703125, 624.2146606445312], [1018.975830078125, 627.0977172851562], [975.893798828125, 651.6040649414062], [1020.411865234375, 655.9286499023438], [962.96923828125, 686.2012329101562], [1029.0281982421875, 690.5258178710938], [960.0970458984375, 715.0321044921875], [1050.5693359375, 704.9412841796875], [984.5101928710938, 730.88916015625], [1011.7954711914062, 730.88916015625], [990.2545166015625, 784.2264404296875], [1013.2315063476562, 784.2264404296875], [993.1265869140625, 843.329833984375], [1010.359375, 831.7974243164062], [1001.7429809570312, 837.5636291503906]]"
