rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
6,1,01:01:13,110212,10,bottom,long service,,,"[955, 515]","[[1067.4588623046875, 478.1754150390625], [1070.2943115234375, 475.31256103515625], [1063.205810546875, 473.881103515625], [1077.3826904296875, 476.7439880371094], [1058.9527587890625, 475.31256103515625], [1088.72412109375, 495.3525390625], [1053.281982421875, 489.6268310546875], [1111.4072265625, 519.6868286132812], [1034.85205078125, 505.37255859375], [1098.64794921875, 525.41259765625], [1029.1812744140625, 521.1182861328125], [1083.053466796875, 542.5897216796875], [1063.205810546875, 541.1582641601562], [1080.218017578125, 581.23828125], [1060.370361328125, 582.669677734375], [1080.218017578125, 625.612548828125], [1066.041259765625, 608.4354248046875], [1073.129638671875, 617.0239868164062]]","[[936.6617431640625, 593.6857299804688], [909.3907470703125, 590.806396484375], [935.2263793945312, 589.36669921875], [910.8259887695312, 593.6857299804688], [935.2263793945312, 592.2460327148438], [900.77880859375, 626.7984008789062], [953.8855590820312, 613.8412475585938], [883.5549926757812, 646.9539184570312], [988.3331909179688, 626.7984008789062], [889.2962646484375, 635.4365234375], [981.1566162109375, 625.3587036132812], [919.4379272460938, 707.4205322265625], [953.8855590820312, 705.9808349609375], [912.2613525390625, 767.88720703125], [949.57958984375, 762.12841796875], [915.1319580078125, 831.233154296875], [940.9677124023438, 819.7156982421875], [928.0498352050781, 825.4744262695312]]"
6,2,01:01:14,110246,19,top,smash,,,"[1152, 373]","[[1123.9547119140625, 422.7967834472656], [1128.275390625, 418.4826354980469], [1122.5145263671875, 417.0445556640625], [1132.5960693359375, 422.7967834472656], [1118.19384765625, 415.60650634765625], [1122.5145263671875, 444.3677673339844], [1089.3892822265625, 428.549072265625], [1109.552490234375, 463.06256103515625], [1098.0306396484375, 411.29229736328125], [1135.4765625, 428.549072265625], [1121.0743408203125, 441.4916076660156], [1096.5904541015625, 491.8238220214844], [1074.987060546875, 484.6335144042969], [1115.3134765625, 532.089599609375], [1059.1446533203125, 526.3373413085938], [1131.1558837890625, 565.1649780273438], [1062.025146484375, 575.2314453125], [1096.5905151367188, 570.1982116699219]]","[[997.32958984375, 637.0223999023438], [990.169677734375, 632.7044067382812], [998.7615356445312, 631.2650756835938], [971.5538330078125, 631.2650756835938], [995.8975830078125, 632.7044067382812], [954.3699951171875, 657.1729125976562], [1011.6494140625, 657.1729125976562], [924.29833984375, 687.3987426757812], [1040.2891845703125, 693.156005859375], [914.2743530273438, 716.1852416992188], [1041.72119140625, 724.8211669921875], [964.3938598632812, 732.017822265625], [1005.9215087890625, 730.5784912109375], [937.1861572265625, 780.954833984375], [1040.2891845703125, 776.6369018554688], [927.1622314453125, 847.1637573242188], [1056.041015625, 845.724365234375], [991.6016235351562, 846.4440612792969]]"
6,3,01:01:15,110260,10,bottom,defensive shot,,,"[1224, 690]","[[1083.6011962890625, 450.201416015625], [1087.87890625, 445.9032897949219], [1080.749267578125, 445.9032897949219], [1092.1566162109375, 448.76873779296875], [1073.61962890625, 448.76873779296875], [1100.712158203125, 465.9612121582031], [1065.0640869140625, 467.3939514160156], [1112.11962890625, 481.7210388183594], [1046.527099609375, 483.15374755859375], [1116.3973388671875, 493.1827392578125], [1052.230712890625, 506.07708740234375], [1095.008544921875, 511.8079528808594], [1070.7677001953125, 511.8079528808594], [1106.4158935546875, 544.76025390625], [1052.230712890625, 551.923828125], [1113.5455322265625, 569.1163940429688], [1043.6751708984375, 584.8761596679688], [1078.6103515625, 576.9962768554688]]","[[1103.872314453125, 680.6915893554688], [1099.554931640625, 674.9388427734375], [1103.872314453125, 676.3770141601562], [1070.7728271484375, 676.3770141601562], [1098.1158447265625, 680.6915893554688], [1044.8690185546875, 692.1971435546875], [1095.2376708984375, 713.7700805664062], [1007.4523315429688, 715.208251953125], [1121.1414794921875, 756.9158935546875], [980.109375, 738.2193603515625], [1157.1190185546875, 772.7360229492188], [1016.0869750976562, 764.1068115234375], [1056.3818359375, 772.7360229492188], [968.5964965820312, 817.320068359375], [1099.554931640625, 805.8145141601562], [906.715087890625, 864.7803955078125], [1131.2152099609375, 861.9039916992188], [1018.9651489257812, 863.3421936035156]]"
6,4,01:01:16,110287,19,top,lob,,,"[1170, 504]","[[1089.9012451171875, 501.6795349121094], [1091.3162841796875, 498.7960205078125], [1085.65625, 498.7960205078125], [1092.731201171875, 500.2377624511719], [1072.92138671875, 500.2377624511719], [1078.581298828125, 517.5387573242188], [1064.4315185546875, 518.9805297851562], [1085.65625, 530.5145263671875], [1070.0914306640625, 533.3980102539062], [1101.2210693359375, 536.281494140625], [1084.2413330078125, 539.1650390625], [1060.1866455078125, 556.4660034179688], [1038.9617919921875, 555.0242919921875], [1074.33642578125, 583.8593139648438], [1053.1116943359375, 580.9757690429688], [1064.4315185546875, 611.2525634765625], [1057.3565673828125, 627.11181640625], [1060.89404296875, 619.1821899414062]]","[[959.57861328125, 689.3853149414062], [953.88037109375, 680.73486328125], [980.9467163085938, 627.3905029296875], [955.3049926757812, 634.5991821289062], [979.522216796875, 630.2739868164062], [955.3049926757812, 660.5504760742188], [1002.31494140625, 651.9000854492188], [962.4276733398438, 690.8270874023438], [1027.9566650390625, 693.7105102539062], [949.6068115234375, 739.84619140625], [1026.5321044921875, 736.9627685546875], [999.4658203125, 741.2879638671875], [1032.2303466796875, 735.52099609375], [961.003173828125, 797.515869140625], [1013.7112426757812, 771.5645141601562], [945.3331909179688, 868.1611328125], [1015.1358032226562, 835.0010986328125], [980.2344970703125, 851.5811157226562]]"
6,5,01:01:17,110322,10,bottom,drop,,,"[1218, 506]","[[1035.8985595703125, 472.09600830078125], [1038.76318359375, 467.77294921875], [1031.6015625, 467.77294921875], [1043.0601806640625, 470.6549987792969], [1025.8721923828125, 469.2139587402344], [1048.7894287109375, 487.9471435546875], [1010.11669921875, 486.50616455078125], [1057.3834228515625, 509.56243896484375], [990.0640869140625, 503.7983703613281], [1064.5450439453125, 531.1776733398438], [997.2257080078125, 531.1776733398438], [1034.4661865234375, 532.61865234375], [1008.684326171875, 534.0596923828125], [1057.3834228515625, 565.7620239257812], [990.0640869140625, 562.8800659179688], [1060.248046875, 603.2284545898438], [965.7145385742188, 601.7874755859375], [1012.9812927246094, 602.5079650878906]]","[[1242.3944091796875, 666.2908325195312], [1236.644287109375, 660.5283813476562], [1238.0819091796875, 666.2908325195312], [1213.6439208984375, 683.5780639648438], [1236.644287109375, 677.8156127929688], [1210.7689208984375, 716.7118530273438], [1259.6446533203125, 699.4246215820312], [1238.0819091796875, 700.865234375], [1299.8953857421875, 682.137451171875], [1309.9580078125, 666.2908325195312], [1311.3955078125, 656.2066040039062], [1233.769287109375, 798.826171875], [1271.1448974609375, 794.5043334960938], [1202.1436767578125, 850.6878051757812], [1314.2705078125, 855.0096435546875], [1151.8304443359375, 901.1089477539062], [1355.958740234375, 932.8020629882812], [1253.8945922851562, 916.9555053710938]]"
6,6,01:01:18,110347,19,top,net shot,,,"[705, 602]","[[781.4821166992188, 574.6578979492188], [782.918701171875, 570.3504638671875], [780.04541015625, 571.7862548828125], [792.9749145507812, 566.0430297851562], [782.918701171875, 567.4788818359375], [821.7069702148438, 566.0430297851562], [782.918701171875, 589.0160522460938], [828.8900146484375, 563.1714477539062], [777.1723022460938, 607.6815795898438], [777.1723022460938, 639.2694702148438], [754.1865844726562, 627.782958984375], [830.3265991210938, 587.5802001953125], [814.5239868164062, 597.6309204101562], [859.0587158203125, 613.4248046875], [780.04541015625, 606.2457885742188], [899.2835693359375, 624.9113159179688], [777.1723022460938, 645.0126953125], [838.2279357910156, 634.9620056152344]]","[[1035.008056640625, 646.9140014648438], [1035.008056640625, 642.5889282226562], [1036.4356689453125, 642.5889282226562], [1036.4356689453125, 642.5889282226562], [1063.5599365234375, 641.147216796875], [1040.7183837890625, 672.8648071289062], [1092.11181640625, 667.0979614257812], [1012.1666259765625, 707.4658813476562], [1123.518798828125, 703.1407470703125], [989.3251953125, 724.7664184570312], [1120.66357421875, 737.7418212890625], [1074.980712890625, 759.3674926757812], [1109.242919921875, 755.0423583984375], [1042.14599609375, 815.59423828125], [1096.39453125, 795.4102783203125], [1086.4014892578125, 866.0541381835938], [1117.808349609375, 860.2872314453125], [1102.1049194335938, 863.1706848144531]]"
6,7,01:01:19,110374,10,bottom,lob,,,"[724, 540]","[[887.42626953125, 477.2304992675781], [891.7196044921875, 474.3631286621094], [884.5640258789062, 474.3631286621094], [897.4440307617188, 474.3631286621094], [880.270751953125, 474.3631286621094], [908.8929443359375, 491.567626953125], [867.3907470703125, 497.30242919921875], [917.4795532226562, 510.2057800292969], [851.6484985351562, 525.9765625], [926.0662231445312, 546.0484619140625], [847.355224609375, 553.2169799804688], [894.5818481445312, 540.3136596679688], [871.6840209960938, 540.3136596679688], [914.6173706054688, 568.98779296875], [873.1151733398438, 579.023681640625], [913.186279296875, 611.9989624023438], [854.5107421875, 627.769775390625], [883.8485107421875, 619.8843688964844]]","[[740.5849609375, 633.987548828125], [742.024658203125, 629.6659545898438], [743.4642333984375, 629.6659545898438], [747.783203125, 633.987548828125], [769.3776245117188, 632.5470581054688], [756.4209594726562, 658.4768676757812], [773.6965942382812, 652.7147216796875], [765.0587158203125, 682.9661865234375], [749.2227783203125, 740.588134765625], [746.343505859375, 695.93115234375], [730.507568359375, 776.6018676757812], [775.1361083984375, 736.2664794921875], [795.2910766601562, 727.6232299804688], [752.10205078125, 801.0911254882812], [750.6624145507812, 740.588134765625], [805.3684692382812, 812.615478515625], [729.0679321289062, 780.9234619140625], [767.2182006835938, 796.7694702148438]]"
6,8,01:01:20,110409,19,top,clear,,,"[1129, 235]","[[1090.9078369140625, 434.7174377441406], [1096.6435546875, 434.7174377441406], [1089.4739990234375, 430.3930969238281], [1099.511474609375, 437.600341796875], [1085.172119140625, 430.3930969238281], [1090.9078369140625, 453.4562072753906], [1072.2667236328125, 434.7174377441406], [1102.3792724609375, 447.6904296875], [1060.7952880859375, 411.65435791015625], [1110.98291015625, 433.2760009765625], [1065.09716796875, 394.3570556640625], [1063.6632080078125, 501.0238037109375], [1045.0220947265625, 495.258056640625], [1079.4365234375, 538.5012817382812], [1036.41845703125, 535.618408203125], [1109.5489501953125, 563.005859375], [1046.4559326171875, 577.4202880859375], [1078.00244140625, 570.2130737304688]]","[[898.6099243164062, 612.1571655273438], [904.3269653320312, 610.72216796875], [891.4636840820312, 607.85205078125], [887.1758422851562, 607.85205078125], [911.4732666015625, 607.85205078125], [870.0247192382812, 636.5528564453125], [925.765869140625, 635.1177978515625], [838.5809936523438, 670.9938354492188], [947.204833984375, 670.9938354492188], [832.8639526367188, 701.1296997070312], [955.7803344726562, 701.1296997070312], [874.3125610351562, 711.1749877929688], [914.331787109375, 711.1749877929688], [855.7321166992188, 761.4013671875], [941.4877319335938, 765.7064819335938], [835.7225341796875, 827.4132690429688], [945.7755737304688, 833.1533813476562], [890.7490539550781, 830.2833251953125]]"
6,9,01:01:21,110459,10,bottom,smash,,,"[1247, 467]","[[1025.59521484375, 472.7007751464844], [1028.47412109375, 468.37554931640625], [1021.277099609375, 468.37554931640625], [1032.7923583984375, 471.259033203125], [1014.0799560546875, 468.37554931640625], [1038.550048828125, 488.55999755859375], [1002.5646362304688, 484.2347717285156], [1047.1865234375, 514.5114135742188], [982.412841796875, 513.0696411132812], [1054.383544921875, 540.4627685546875], [986.7311401367188, 537.5792846679688], [1022.7164916992188, 534.69580078125], [996.8070678710938, 537.5792846679688], [1048.6258544921875, 570.7394409179688], [980.9734497070312, 566.4141845703125], [1065.89892578125, 609.66650390625], [960.8217163085938, 611.1082763671875], [1013.3603210449219, 610.3873901367188]]","[[1223.8424072265625, 577.38818359375], [1220.97265625, 578.8265380859375], [1220.97265625, 580.2647705078125], [1219.5377197265625, 591.7710571289062], [1220.97265625, 588.8944702148438], [1216.6680908203125, 632.0430297851562], [1253.9749755859375, 593.2093505859375], [1242.495849609375, 591.7710571289062], [1275.4981689453125, 563.00537109375], [1276.93310546875, 560.1287841796875], [1278.3680419921875, 558.6904907226562], [1248.2354736328125, 699.6425170898438], [1285.5423583984375, 695.32763671875], [1248.2354736328125, 775.87158203125], [1294.151611328125, 765.8036499023438], [1246.800537109375, 852.1007080078125], [1292.716796875, 834.84130859375], [1269.7586669921875, 843.4710083007812]]"
6,10,01:01:22,110471,19,top,defensive shot,,,"[1187, 532]","[[1107.056396484375, 539.3870849609375], [1049.6207275390625, 527.8704223632812], [1101.3128662109375, 537.947509765625], [1058.236083984375, 532.189208984375], [1092.697509765625, 539.3870849609375], [1071.1590576171875, 530.7496337890625], [1088.389892578125, 558.1016235351562], [1033.8258056640625, 532.189208984375], [1118.54345703125, 579.6953125], [1035.2618408203125, 532.189208984375], [1153.0050048828125, 594.0911254882812], [1026.646484375, 555.2224731445312], [1081.2103271484375, 558.1016235351562], [997.9285888671875, 598.4098510742188], [996.49267578125, 599.8494873046875], [954.8517456054688, 611.3660888671875], [1081.2103271484375, 615.6848754882812], [1018.0310363769531, 613.5254821777344]]","[[1260.28564453125, 698.9032592773438], [1267.4862060546875, 690.2760620117188], [1277.56689453125, 681.6488647460938], [1248.764892578125, 688.8381958007812], [1274.6866455078125, 687.4003295898438], [1234.3638916015625, 721.9091796875], [1294.8480224609375, 720.4713134765625], [1218.522705078125, 752.1044921875], [1329.4105224609375, 752.1044921875], [1214.202392578125, 766.483154296875], [1361.0926513671875, 790.9268798828125], [1263.1658935546875, 813.9328002929688], [1299.1683349609375, 806.7435302734375], [1273.24658203125, 882.9505004882812], [1309.2490234375, 835.5008544921875], [1302.048583984375, 944.7789306640625], [1320.769775390625, 897.3292236328125], [1311.4091796875, 921.0540771484375]]"
