rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
31,1,00:30:26,54781,11,top,short service,,,"[992, 549]","[[961.0856323242188, 479.66070556640625], [965.370361328125, 475.35400390625], [956.8008422851562, 475.35400390625], [969.6552734375, 478.2251281738281], [948.231201171875, 475.35400390625], [972.5117797851562, 496.8876037597656], [936.8050537109375, 494.0164489746094], [991.0792846679688, 515.550048828125], [919.665771484375, 511.24334716796875], [992.5075073242188, 531.3413696289062], [918.237548828125, 532.7769775390625], [953.9442138671875, 557.1817626953125], [933.948486328125, 557.1817626953125], [946.8029174804688, 608.8624267578125], [936.8050537109375, 604.5556640625], [929.6636352539062, 644.7517700195312], [936.8050537109375, 650.4940795898438], [933.2343444824219, 647.6229248046875]]","[[1073.7496337890625, 609.897705078125], [1059.41259765625, 631.5066528320312], [1088.086669921875, 631.5066528320312], [1062.280029296875, 634.3878173828125], [1086.653076171875, 631.5066528320312], [1049.376708984375, 660.3184814453125], [1106.724853515625, 655.9967651367188], [1026.4373779296875, 687.6898193359375], [1132.531494140625, 697.77392578125], [1014.9677734375, 703.5363159179688], [1128.23046875, 710.7393188476562], [1065.1474609375, 733.7887573242188], [1102.4237060546875, 732.3482055664062], [1069.448486328125, 791.4125366210938], [1111.0260009765625, 800.05615234375], [1070.8822021484375, 856.2392578125], [1115.3271484375, 857.6798706054688], [1093.1046752929688, 856.9595642089844]]"
31,2,00:30:26,54800,10,bottom,lob,,,"[1071, 512]","[[992.22705078125, 472.8312683105469], [995.0744018554688, 469.9539794921875], [987.9559936523438, 469.9539794921875], [997.9218139648438, 471.392578125], [977.9901733398438, 469.9539794921875], [999.345458984375, 490.0950622558594], [965.177001953125, 494.4110412597656], [1012.1586303710938, 505.92022705078125], [945.245361328125, 520.3067626953125], [1015.0060424804688, 528.9386596679688], [939.5506591796875, 549.0797729492188], [982.26123046875, 553.395751953125], [963.7533569335938, 554.8344116210938], [995.0744018554688, 595.1166381835938], [963.7533569335938, 602.3098754882812], [969.4480590820312, 633.9602661132812], [950.9400634765625, 648.3468017578125], [960.1940612792969, 641.1535339355469]]","[[1050.73583984375, 611.5802612304688], [1050.73583984375, 607.258544921875], [1053.6041259765625, 601.4962768554688], [1052.1700439453125, 610.1397094726562], [1076.5513916015625, 607.258544921875], [1044.9990234375, 643.2728271484375], [1099.49853515625, 633.1888427734375], [1013.446533203125, 680.7276611328125], [1128.1826171875, 618.7830810546875], [990.4993896484375, 682.168212890625], [1136.7877197265625, 602.9368896484375], [1059.3409423828125, 728.2664184570312], [1095.1959228515625, 725.38525390625], [1042.130615234375, 785.88916015625], [1092.32763671875, 775.80517578125], [1069.38037109375, 849.2742309570312], [1090.8934326171875, 829.1063232421875], [1080.1369018554688, 839.1902770996094]]"
31,3,00:30:27,54833,11,top,drop,,,"[1100, 345]","[[1148.9810791015625, 427.00384521484375], [1153.2786865234375, 428.4419860839844], [1147.548583984375, 422.6893310546875], [1153.2786865234375, 437.0709228515625], [1137.5208740234375, 422.6893310546875], [1143.2509765625, 457.2051696777344], [1126.0606689453125, 432.7564697265625], [1136.08837890625, 488.8446960449219], [1093.112548828125, 468.71044921875], [1136.08837890625, 508.97894287109375], [1117.465576171875, 470.1486511230469], [1117.465576171875, 498.9118347167969], [1094.5450439453125, 496.0355224609375], [1144.6834716796875, 542.056640625], [1075.9222412109375, 536.3040161132812], [1166.17138671875, 560.752685546875], [1064.4619140625, 578.0106201171875], [1115.316650390625, 569.3816528320312]]","[[1022.0624389648438, 626.065673828125], [1009.1969604492188, 611.6943359375], [1013.4854125976562, 623.19140625], [1009.1969604492188, 616.0057373046875], [1034.9278564453125, 616.0057373046875], [993.4724731445312, 641.8740844726562], [1052.081787109375, 643.3111572265625], [964.8824462890625, 667.7423706054688], [1076.38330078125, 684.9879150390625], [962.0234985351562, 695.0477905273438], [1079.2423095703125, 718.0418701171875], [1000.6199340820312, 722.353271484375], [1040.6458740234375, 723.7904052734375], [980.60693359375, 781.2755126953125], [1060.6588134765625, 791.33544921875], [962.0234985351562, 850.2576293945312], [1057.7998046875, 861.754638671875], [1009.9116516113281, 856.0061340332031]]"
31,4,00:30:28,54856,10,bottom,net shot,,,"[711, 747]","[[1079.010498046875, 466.10516357421875], [1083.2716064453125, 461.80389404296875], [1074.749267578125, 461.80389404296875], [1088.953125, 461.80389404296875], [1070.4881591796875, 461.80389404296875], [1097.4754638671875, 477.5752258300781], [1060.54541015625, 476.1414489746094], [1110.259033203125, 500.5153503417969], [1039.2396240234375, 494.7803039550781], [1110.259033203125, 526.322998046875], [1026.4560546875, 517.7203979492188], [1083.2716064453125, 522.021728515625], [1059.125, 522.021728515625], [1097.4754638671875, 560.733154296875], [1060.54541015625, 554.9981079101562], [1076.169677734375, 586.5408325195312], [1060.54541015625, 590.8421020507812], [1068.3575439453125, 588.6914672851562]]","[[759.7313232421875, 726.6702880859375], [761.1664428710938, 719.4760131835938], [758.296142578125, 720.9148559570312], [769.7775268554688, 715.1593627929688], [775.5181884765625, 712.2816772460938], [784.1292724609375, 728.1091918945312], [779.82373046875, 735.303466796875], [759.7313232421875, 719.4760131835938], [772.6478881835938, 755.4476318359375], [726.722412109375, 728.1091918945312], [748.2499389648438, 771.275146484375], [840.100830078125, 765.5197143554688], [827.1842651367188, 772.7139892578125], [854.4525756835938, 824.5131225585938], [802.7864379882812, 797.1746826171875], [893.2021484375, 876.3123168945312], [768.3423461914062, 838.9017944335938], [830.7722473144531, 857.6070556640625]]"
31,5,00:30:29,54886,11,top,lob,,,"[741, 508]","[[831.1646118164062, 518.965576171875], [835.4486694335938, 513.1981201171875], [826.8805541992188, 516.0818481445312], [846.8729248046875, 518.965576171875], [825.4524536132812, 521.8493041992188], [858.2971801757812, 540.5935668945312], [822.5963745117188, 544.919189453125], [884.0017700195312, 544.919189453125], [825.4524536132812, 582.40771484375], [899.7100219726562, 539.1517333984375], [815.4561767578125, 606.91943359375], [854.0130615234375, 617.0125122070312], [829.736572265625, 617.0125122070312], [866.8653564453125, 663.1522827148438], [828.3084716796875, 663.1522827148438], [876.861572265625, 686.22216796875], [821.1683959960938, 686.22216796875], [849.0149841308594, 686.22216796875]]","[[833.7275390625, 622.1942138671875], [830.8546142578125, 617.8836059570312], [827.9816284179688, 617.8836059570312], [790.6337890625, 627.9415893554688], [817.9264526367188, 623.6310424804688], [789.1973876953125, 658.1156005859375], [843.78271484375, 645.183837890625], [789.1973876953125, 695.4738159179688], [875.3847045898438, 685.4158325195312], [777.7057495117188, 729.9583129882812], [884.00341796875, 718.4635009765625], [845.2191162109375, 724.2109375], [876.8211059570312, 718.4635009765625], [819.3629150390625, 790.3062744140625], [863.89306640625, 765.8797607421875], [833.7275390625, 860.7122192382812], [888.3128051757812, 836.2857055664062], [861.0201721191406, 848.4989624023438]]"
31,6,00:30:30,54927,10,bottom,drop,,,"[831, 495]","[[914.5674438476562, 471.1811218261719], [918.8875732421875, 468.3082580566406], [910.2474365234375, 468.3082580566406], [926.0877075195312, 469.74468994140625], [904.4873046875, 469.74468994140625], [936.1679077148438, 491.2909240722656], [891.5270385742188, 492.72735595703125], [954.8882446289062, 504.2186279296875], [878.5668334960938, 515.7099609375], [960.6483154296875, 532.9469604492188], [872.8067016601562, 531.510498046875], [930.4078369140625, 550.1838989257812], [903.0473022460938, 550.1838989257812], [944.8080444335938, 590.403564453125], [888.6470336914062, 590.403564453125], [959.2083129882812, 632.0595703125], [895.84716796875, 632.0595703125], [927.5277404785156, 632.0595703125]]","[[735.4590454101562, 665.6765747070312], [732.5835571289062, 664.2388916015625], [729.7080688476562, 669.98974609375], [723.9571533203125, 688.6800537109375], [726.8326416015625, 687.2423095703125], [725.3948974609375, 715.9966430664062], [762.7760620117188, 694.430908203125], [708.1420288085938, 687.2423095703125], [785.7799072265625, 642.6731567382812], [713.8930053710938, 658.488037109375], [788.6553344726562, 598.10400390625], [758.4628295898438, 799.3840942382812], [797.28173828125, 790.7578125], [738.3345336914062, 874.1453247070312], [824.5987548828125, 852.57958984375], [712.4552612304688, 941.7178955078125], [803.03271484375, 925.903076171875], [757.7439880371094, 933.8104858398438]]"
31,7,00:30:31,54951,11,top,net shot,,,"[1234, 602]","[[1159.6063232421875, 548.1683959960938], [1159.6063232421875, 545.3045654296875], [1156.73876953125, 545.3045654296875], [1142.401123046875, 541.0087890625], [1145.2686767578125, 542.4407348632812], [1120.894775390625, 545.3045654296875], [1140.9674072265625, 563.9195556640625], [1105.123291015625, 569.647216796875], [1159.6063232421875, 585.3983764648438], [1086.484375, 612.6049194335938], [1179.678955078125, 599.7176513671875], [1086.484375, 608.3092041015625], [1090.7857666015625, 612.6049194335938], [1075.0142822265625, 628.3560791015625], [1140.9674072265625, 629.7880249023438], [1032.0013427734375, 641.243408203125], [1159.6063232421875, 672.7456665039062], [1095.8038330078125, 656.9945373535156]]","[[870.1764526367188, 669.5911254882812], [852.9115600585938, 665.2776489257812], [880.2476196289062, 662.4019775390625], [854.350341796875, 666.7155151367188], [878.808837890625, 663.83984375], [844.2791137695312, 696.9097290039062], [904.7061157226562, 689.7206420898438], [825.5755615234375, 745.7957153320312], [936.3583374023438, 731.41748046875], [831.3305053710938, 777.4277954101562], [940.6744995117188, 768.8008422851562], [881.686279296875, 783.1790161132812], [919.0934448242188, 771.6764526367188], [857.227783203125, 847.881103515625], [906.1448364257812, 836.3785400390625], [874.4926147460938, 918.3343505859375], [914.7772827148438, 912.5831298828125], [894.6349487304688, 915.458740234375]]"
31,8,00:30:32,54981,10,bottom,lob,,,"[1181, 581]","[[1128.6343994140625, 482.66192626953125], [1131.4842529296875, 478.3611145019531], [1124.3594970703125, 478.3611145019531], [1135.759033203125, 479.7947082519531], [1112.9599609375, 478.3611145019531], [1124.3594970703125, 498.43157958984375], [1101.560546875, 498.43157958984375], [1115.8099365234375, 519.9356689453125], [1081.6114501953125, 519.9356689453125], [1131.4842529296875, 540.006103515625], [1067.362060546875, 555.7757568359375], [1090.1610107421875, 552.9085693359375], [1075.91162109375, 554.3421630859375], [1105.8353271484375, 600.217529296875], [1094.435791015625, 604.518310546875], [1078.761474609375, 637.4912719726562], [1074.4866943359375, 638.9248657226562], [1076.6240844726562, 638.2080688476562]]","[[1178.6505126953125, 643.028076171875], [1181.5181884765625, 643.028076171875], [1198.7247314453125, 660.2640991210938], [1175.78271484375, 653.0824584960938], [1195.85693359375, 660.2640991210938], [1160.0101318359375, 667.44580078125], [1197.290771484375, 688.9909057617188], [1125.5972900390625, 670.3184814453125], [1204.4600830078125, 704.7907104492188], [1098.3536376953125, 664.5731811523438], [1099.78759765625, 664.5731811523438], [1141.369873046875, 745.0082397460938], [1178.6505126953125, 746.4445190429688], [1119.86181640625, 809.6434936523438], [1195.85693359375, 756.4989013671875], [1131.332763671875, 838.3703002929688], [1200.1585693359375, 802.4618530273438], [1165.7456665039062, 820.4160766601562]]"
31,9,00:30:33,55019,11,top,smash,,,"[705, 401]","[[822.7127685546875, 401.40679931640625], [827.0286865234375, 397.08734130859375], [822.7127685546875, 397.08734130859375], [838.5377197265625, 401.40679931640625], [824.1514282226562, 397.08734130859375], [844.2922973632812, 425.88385009765625], [819.83544921875, 411.4855651855469], [827.0286865234375, 434.5227966308594], [789.6242065429688, 408.60595703125], [815.5195922851562, 417.2449035644531], [792.5014038085938, 410.0457458496094], [839.9764404296875, 482.0370788574219], [822.7127685546875, 480.5972595214844], [851.4855346679688, 519.4725341796875], [809.7650756835938, 518.03271484375], [870.187744140625, 554.0283813476562], [829.9059448242188, 564.1071166992188], [850.0468444824219, 559.0677490234375]]","[[930.0012817382812, 644.8931884765625], [930.0012817382812, 640.5714721679688], [960.1165771484375, 637.6903076171875], [934.303466796875, 642.0120239257812], [958.6825561523438, 640.5714721679688], [928.5672607421875, 669.3831176757812], [981.62744140625, 662.1802368164062], [921.3970336914062, 696.7542114257812], [1021.7810668945312, 695.3135986328125], [907.056396484375, 734.2093505859375], [1021.7810668945312, 728.4469604492188], [957.2484741210938, 748.6151123046875], [994.5339965820312, 742.8528442382812], [907.056396484375, 791.8325805664062], [1013.1767578125, 787.5108642578125], [894.1498413085938, 863.8617553710938], [1044.72607421875, 846.57470703125], [969.4379577636719, 855.2182312011719]]"
31,10,00:30:34,55032,10,bottom,defensive shot,,,"[634, 649]","[[739.7518310546875, 466.2923583984375], [744.0630493164062, 461.9667053222656], [738.3147583007812, 461.9667053222656], [755.5599365234375, 464.8504638671875], [734.00341796875, 464.8504638671875], [767.0567626953125, 486.478515625], [739.7518310546875, 485.0366516113281], [787.1762084960938, 503.78094482421875], [742.6260375976562, 509.5484313964844], [787.1762084960938, 532.6183471679688], [726.81787109375, 529.734619140625], [777.116455078125, 542.71142578125], [755.5599365234375, 538.3858642578125], [749.8115234375, 565.7813110351562], [728.2550048828125, 561.4557495117188], [775.6793212890625, 600.38623046875], [725.3807983398438, 587.4093627929688], [750.5300598144531, 593.8977966308594]]","[[757.6238403320312, 747.5830688476562], [763.3800048828125, 743.2615356445312], [761.9409790039062, 743.2615356445312], [779.2095947265625, 746.142578125], [766.2581787109375, 746.142578125], [807.9905395507812, 756.22607421875], [763.3800048828125, 773.5120849609375], [871.3086547851562, 759.1071166992188], [728.8428955078125, 793.6790771484375], [895.7724609375, 789.3576049804688], [685.6715087890625, 809.524658203125], [861.2352905273438, 792.2386474609375], [832.454345703125, 796.5601196289062], [806.551513671875, 818.1676635742188], [806.551513671875, 818.1676635742188], [950.456298828125, 835.4537353515625], [816.6248168945312, 900.2763671875], [883.5405578613281, 867.8650512695312]]"
