rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
4,1,00:29:15,52653,10,top,short service,,,"[996, 437]","[[984.181396484375, 361.6085510253906], [988.4610595703125, 358.73419189453125], [979.9017333984375, 358.73419189453125], [992.74072265625, 358.73419189453125], [974.1954956054688, 354.42266845703125], [999.87353515625, 375.9802551269531], [962.7830200195312, 364.4828796386719], [1007.00634765625, 401.84930419921875], [934.2518920898438, 374.5430908203125], [1001.3001098632812, 421.9697265625], [948.5174560546875, 396.1006164550781], [991.314208984375, 421.9697265625], [967.0626831054688, 420.5325622558594], [995.5938720703125, 453.58746337890625], [968.4892578125, 460.7733154296875], [995.5938720703125, 480.8937683105469], [972.7689208984375, 506.7628173828125], [984.181396484375, 493.8282928466797]]","[[869.7246704101562, 566.809326171875], [869.7246704101562, 563.9385986328125], [871.1502075195312, 563.9385986328125], [871.1502075195312, 569.6799926757812], [891.109375, 571.1153564453125], [856.893798828125, 598.3871459960938], [903.9402465820312, 599.822509765625], [836.9346313476562, 627.0942993164062], [911.0684204101562, 631.400390625], [854.0424194335938, 641.4478149414062], [891.109375, 631.400390625], [869.7246704101562, 673.0256958007812], [896.8119506835938, 673.0256958007812], [868.2989501953125, 724.6985473632812], [891.109375, 711.7803344726562], [876.8528442382812, 774.93603515625], [891.109375, 757.7117309570312], [883.9811096191406, 766.3238830566406]]"
4,2,00:29:16,52680,24,bottom,net shot,,,"[891, 534]","[[978.715087890625, 356.2257385253906], [982.9679565429688, 351.9183349609375], [975.8798828125, 351.9183349609375], [987.220703125, 351.9183349609375], [970.20947265625, 350.4825439453125], [991.4735717773438, 363.4046936035156], [958.8685302734375, 364.8404846191406], [991.4735717773438, 382.07000732421875], [933.3516845703125, 384.9416198730469], [990.0559692382812, 406.478515625], [930.516357421875, 413.657470703125], [968.7918701171875, 409.35009765625], [947.5277099609375, 407.9142761230469], [981.55029296875, 439.50177001953125], [950.3629150390625, 446.6807556152344], [981.55029296875, 478.2682189941406], [939.0220336914062, 492.6261291503906], [960.2861633300781, 485.4471740722656]]","[[899.4395141601562, 562.7831420898438], [898.010986328125, 559.9152221679688], [899.4395141601562, 558.4812622070312], [880.8684692382812, 559.9152221679688], [899.4395141601562, 561.3491821289062], [863.7260131835938, 578.5565795898438], [895.1538696289062, 590.0281372070312], [855.15478515625, 577.1226196289062], [922.296142578125, 612.9713745117188], [855.15478515625, 564.2171020507812], [939.4386596679688, 595.7639770507812], [853.7261962890625, 653.1220092773438], [878.0113525390625, 658.8577880859375], [858.0119018554688, 678.9330444335938], [888.0111694335938, 710.47998046875], [860.8689575195312, 711.9139404296875], [878.0113525390625, 759.2342529296875], [869.4401550292969, 735.5740966796875]]"
4,3,00:29:16,52706,10,top,lob,,,"[844, 477]","[[901.0885009765625, 437.3550720214844], [903.9264526367188, 433.0484313964844], [896.831787109375, 434.4839782714844], [911.02099609375, 431.6129150390625], [895.4129028320312, 437.3550720214844], [926.629150390625, 440.2261657714844], [898.250732421875, 454.5815734863281], [940.818359375, 422.9996337890625], [889.7371826171875, 478.98583984375], [939.3994140625, 422.9996337890625], [886.8993530273438, 476.11474609375], [928.0480346679688, 490.47015380859375], [902.5075073242188, 489.0346374511719], [935.1426391601562, 519.1810302734375], [899.6696166992188, 510.5677490234375], [898.250732421875, 516.3099365234375], [905.3453369140625, 557.940673828125], [901.7980346679688, 537.1253051757812]]","[[936.196533203125, 563.970703125], [936.196533203125, 559.64892578125], [937.6268310546875, 559.64892578125], [936.196533203125, 563.970703125], [956.221923828125, 563.970703125], [920.462158203125, 589.9013061523438], [961.9434814453125, 591.3418579101562], [906.1583251953125, 624.4754028320312], [981.9689331054688, 620.1536254882812], [903.297607421875, 654.7277221679688], [997.703125, 630.2377319335938], [917.6013793945312, 660.4901123046875], [944.77880859375, 661.9307250976562], [929.0445556640625, 687.861328125], [974.8169555664062, 703.707763671875], [940.4876098632812, 733.9601440429688], [966.2346801757812, 759.8907470703125], [953.3611450195312, 746.9254455566406]]"
4,4,00:29:18,52750,24,bottom,drop,,,"[762, 588]","[[936.3511352539062, 356.0122375488281], [940.631103515625, 351.7022399902344], [933.4977416992188, 351.7022399902344], [946.3377685546875, 351.7022399902344], [927.7910766601562, 353.138916015625], [954.8978271484375, 363.195556640625], [919.2311401367188, 361.7588806152344], [977.7244873046875, 374.6888732910156], [900.6844482421875, 370.37884521484375], [979.151123046875, 400.54876708984375], [897.8311157226562, 401.9854431152344], [947.7644653320312, 401.9854431152344], [920.6577758789062, 401.9854431152344], [960.6044921875, 439.33868408203125], [904.9644165039062, 436.4653625488281], [964.8843994140625, 482.4385681152344], [890.69775390625, 476.69189453125], [927.7910766601562, 479.5652313232422]]","[[820.6126098632812, 718.8976440429688], [826.36669921875, 716.0238037109375], [824.9281616210938, 713.1499633789062], [834.9979248046875, 728.9559936523438], [845.067626953125, 730.3928833007812], [819.1741333007812, 760.5680541992188], [849.3831787109375, 753.3834838867188], [778.895263671875, 753.3834838867188], [830.6823120117188, 750.5095825195312], [738.616455078125, 730.3928833007812], [794.718994140625, 757.6942138671875], [814.8584594726562, 838.1611328125], [842.1904907226562, 835.2872924804688], [784.6493530273438, 887.0160522460938], [830.6823120117188, 868.3362426757812], [788.9649658203125, 953.1138916015625], [883.907958984375, 898.5113525390625], [836.4364624023438, 925.8126220703125]]"
4,5,00:29:19,52776,10,top,net shot,,,"[1151, 414]","[[1101.35107421875, 400.7386779785156], [1102.7818603515625, 397.8816833496094], [1097.0584716796875, 396.45318603515625], [1104.2127685546875, 400.7386779785156], [1088.4732666015625, 397.8816833496094], [1074.16455078125, 406.45269775390625], [1084.1806640625, 420.7376708984375], [1068.441162109375, 395.02471923828125], [1102.7818603515625, 446.4505920410156], [1125.67578125, 465.0210876464844], [1125.67578125, 465.0210876464844], [1045.5472412109375, 452.16461181640625], [1051.270751953125, 455.0216064453125], [1055.5633544921875, 483.591552734375], [1091.3349609375, 473.592041015625], [1005.4830932617188, 495.01953125], [1112.7979736328125, 517.8754272460938], [1059.1405334472656, 506.4474792480469]]","[[991.3990478515625, 651.14306640625], [992.8257446289062, 645.3843383789062], [994.2525024414062, 645.3843383789062], [972.8515014648438, 645.3843383789062], [994.2525024414062, 648.263671875], [950.023681640625, 678.4970092773438], [1002.8128662109375, 679.9366455078125], [938.6098022460938, 718.8080444335938], [1015.653564453125, 713.04931640625], [935.75634765625, 749.041259765625], [1021.3605346679688, 736.084228515625], [954.3038940429688, 750.4810180664062], [987.1188354492188, 750.4810180664062], [955.7305908203125, 782.1539306640625], [1017.080322265625, 789.3523559570312], [965.7177124023438, 826.7840576171875], [1019.9337768554688, 845.4999389648438], [992.8257446289062, 836.1419982910156]]"
4,6,00:29:20,52800,24,bottom,push/rush,,,"[847, 476]","[[999.8785400390625, 350.141357421875], [1004.1288452148438, 347.26123046875], [997.0450439453125, 347.26123046875], [1011.2125854492188, 348.7012939453125], [992.7947387695312, 347.26123046875], [1022.5467529296875, 365.9820861816406], [984.294189453125, 368.8622131347656], [1042.38134765625, 383.2628479003906], [974.376953125, 394.7833557128906], [1032.4639892578125, 403.42376708984375], [971.5433349609375, 412.0641784667969], [1018.29638671875, 409.18402099609375], [994.2115478515625, 409.18402099609375], [1019.7131958007812, 446.625732421875], [974.376953125, 440.8654479980469], [1028.2137451171875, 494.1478271484375], [980.0439453125, 478.3071594238281], [1004.1288452148438, 486.2274932861328]]","[[889.890625, 573.5537109375], [867.041748046875, 572.1177368164062], [887.0345458984375, 570.6817016601562], [869.8978271484375, 579.2977294921875], [887.0345458984375, 576.4257202148438], [868.4697875976562, 597.9656372070312], [897.0309448242188, 600.837646484375], [882.7503662109375, 613.7616577148438], [922.73583984375, 609.45361328125], [864.1856079101562, 572.1177368164062], [931.3042602539062, 603.7096557617188], [874.1820678710938, 669.7654418945312], [902.7431030273438, 666.8934936523438], [862.757568359375, 672.637451171875], [937.0164794921875, 707.1013793945312], [854.1892700195312, 694.1774291992188], [934.1603393554688, 754.4892578125], [894.1748046875, 724.3333435058594]]"
4,7,00:29:20,52811,10,top,defensive shot,,,"[1005, 326]","[[945.8091430664062, 350.3536071777344], [945.8091430664062, 348.9153137207031], [940.0685424804688, 350.3536071777344], [945.8091430664062, 353.2301330566406], [931.457763671875, 354.6684265136719], [952.9848022460938, 350.3536071777344], [931.457763671875, 373.3660583496094], [974.511962890625, 337.4090881347656], [940.0685424804688, 392.0636901855469], [934.3280029296875, 381.9957275390625], [961.595703125, 370.4895324707031], [973.0767822265625, 405.0082092285156], [950.1145629882812, 409.3230285644531], [988.8633422851562, 442.4034729003906], [934.3280029296875, 440.9652099609375], [1007.5202026367188, 491.3049621582031], [922.8468627929688, 476.92218017578125], [965.1835327148438, 484.1135711669922]]","[[899.4039306640625, 551.0670166015625], [892.283447265625, 546.7449951171875], [897.9798583984375, 546.7449951171875], [876.6182861328125, 551.0670166015625], [896.5557250976562, 551.0670166015625], [865.2254638671875, 579.8799438476562], [909.3726806640625, 575.5580444335938], [856.6807861328125, 617.3368530273438], [930.7342529296875, 601.4896850585938], [858.1048583984375, 641.827880859375], [957.792236328125, 618.7775268554688], [870.9218139648438, 647.5904541015625], [903.6762084960938, 647.5904541015625], [862.3772583007812, 656.234375], [937.8547973632812, 685.04736328125], [858.1048583984375, 700.8944702148438], [930.7342529296875, 736.9107666015625], [894.4195556640625, 718.9026184082031]]"
4,8,00:29:21,52848,24,bottom,smash,,,"[933, 422]","[[959.36083984375, 357.7168884277344], [962.2227783203125, 356.2816162109375], [956.4989624023438, 354.8463134765625], [967.9466552734375, 357.7168884277344], [949.3441772460938, 357.7168884277344], [976.5324096679688, 364.8933410644531], [940.7583618164062, 366.3286437988281], [993.7039184570312, 364.8933410644531], [917.863037109375, 379.2462158203125], [1002.2897338867188, 390.7285461425781], [917.863037109375, 409.38726806640625], [969.3776245117188, 393.59912109375], [943.6203002929688, 392.1638488769531], [989.4110717773438, 423.7402038574219], [920.7249145507812, 419.434326171875], [1013.7374267578125, 459.6224060058594], [889.2437744140625, 455.3165283203125], [951.4906005859375, 457.46946716308594]]","[[929.162109375, 627.653564453125], [932.0323486328125, 626.2117919921875], [930.59716796875, 626.2117919921875], [923.4216918945312, 634.8623657226562], [930.59716796875, 646.3965454101562], [896.154541015625, 634.8623657226562], [926.2918090820312, 672.3485107421875], [877.498046875, 594.4927368164062], [919.1163330078125, 696.858642578125], [873.1926879882812, 559.8902587890625], [930.59716796875, 673.7902221679688], [866.01708984375, 709.8345336914062], [893.2842407226562, 717.0433959960938], [858.8416137695312, 757.4130249023438], [924.8567504882812, 763.1801147460938], [867.4522705078125, 800.6661987304688], [919.1163330078125, 820.8510131835938], [893.2843017578125, 810.7586059570312]]"
4,9,00:29:22,52861,10,top,defensive shot,,,"[1142, 454]","[[1068.581787109375, 393.92083740234375], [1071.4566650390625, 389.638427734375], [1064.2696533203125, 389.638427734375], [1072.89404296875, 391.06591796875], [1052.7706298828125, 388.2109680175781], [1052.7706298828125, 406.7680358886719], [1041.271728515625, 393.92083740234375], [1061.3948974609375, 428.1799621582031], [1062.832275390625, 429.6074523925781], [1075.768798828125, 451.0194091796875], [1075.768798828125, 449.5919494628906], [986.6512451171875, 411.0504150390625], [992.4006958007812, 413.90533447265625], [969.4026489257812, 452.4468994140625], [966.5279541015625, 453.87432861328125], [917.6570434570312, 452.4468994140625], [920.5317993164062, 452.4468994140625], [919.0944213867188, 452.4468994140625]]","[[942.18310546875, 769.1526489257812], [946.5035400390625, 767.7161865234375], [937.8626098632812, 761.9703369140625], [929.2216796875, 757.6610107421875], [949.3839111328125, 770.589111328125], [900.4186401367188, 770.589111328125], [936.4225463867188, 807.93701171875], [868.735107421875, 786.3900756835938], [929.2216796875, 838.1025390625], [834.17138671875, 803.6276245117188], [832.731201171875, 803.6276245117188], [850.0130615234375, 832.3567504882812], [857.2138671875, 839.5390014648438], [854.3336181640625, 861.0858764648438], [896.0980834960938, 902.7431640625], [814.0091552734375, 878.3233032226562], [854.3336181640625, 953.0191040039062], [834.17138671875, 915.6712036132812]]"
4,10,00:29:23,52891,24,bottom,net shot,,,"[1187, 587]","[[1077.92431640625, 342.0010986328125], [1082.187744140625, 337.701904296875], [1075.0819091796875, 337.701904296875], [1085.0301513671875, 340.56805419921875], [1067.97607421875, 337.701904296875], [1083.6090087890625, 357.7648620605469], [1056.606689453125, 353.4656677246094], [1087.8724365234375, 370.6625061035156], [1029.6043701171875, 364.9302062988281], [1096.3995361328125, 387.85931396484375], [1025.3408203125, 387.85931396484375], [1060.8702392578125, 392.1585388183594], [1038.1314697265625, 390.7254638671875], [1076.5030517578125, 420.8199157714844], [1045.2373046875, 429.4183349609375], [1073.6607666015625, 455.21356201171875], [1039.5526123046875, 475.27655029296875], [1056.606689453125, 465.24505615234375]]","[[1141.7777099609375, 624.7767333984375], [1140.3402099609375, 620.4734497070312], [1137.465087890625, 620.4734497070312], [1136.0277099609375, 624.7767333984375], [1130.277587890625, 626.2111206054688], [1133.152587890625, 644.858642578125], [1117.33984375, 653.4651489257812], [1150.40283203125, 654.8995971679688], [1090.0269775390625, 674.9815063476562], [1176.2781982421875, 660.6372680664062], [1097.2147216796875, 676.4158935546875], [1114.46484375, 705.1043701171875], [1097.2147216796875, 719.4486083984375], [1136.0277099609375, 719.4486083984375], [1111.58984375, 776.8255004882812], [1143.2152099609375, 765.35009765625], [1064.1517333984375, 791.1697387695312], [1103.6834716796875, 778.2599182128906]]"
