rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
12,2,00:10:21,18659,15,bottom,lob,,,"[1084, 431]","[[1056.783203125, 403.31951904296875], [1061.0440673828125, 401.88275146484375], [1055.36279296875, 399.00921630859375], [1063.884765625, 403.31951904296875], [1046.841064453125, 397.5724182128906], [1059.623779296875, 424.8710632324219], [1032.637939453125, 413.37689208984375], [1056.783203125, 443.549072265625], [1017.0145874023438, 423.434326171875], [1036.89892578125, 427.7445983886719], [1004.2318115234375, 433.49169921875], [1051.1019287109375, 463.6638488769531], [1032.637939453125, 462.2270812988281], [1055.36279296875, 490.9624938964844], [1021.2755126953125, 495.27276611328125], [1056.783203125, 536.9390869140625], [1042.580078125, 506.7669372558594], [1049.681640625, 521.8530120849609]]","[[918.1553344726562, 607.5870361328125], [919.5821533203125, 604.70849609375], [946.6932983398438, 603.2691650390625], [921.0090942382812, 607.5870361328125], [945.266357421875, 606.1477661132812], [916.7284545898438, 637.8123779296875], [962.3890991210938, 629.1765747070312], [908.1670532226562, 665.1591186523438], [979.5119018554688, 660.8411865234375], [896.7518920898438, 692.505859375], [992.3539428710938, 688.1879272460938], [950.9739379882812, 706.8988037109375], [976.6580810546875, 698.2630615234375], [929.5704345703125, 747.1992797851562], [972.3773803710938, 725.6097412109375], [925.289794921875, 806.2106323242188], [982.3656616210938, 770.2281494140625], [953.8277282714844, 788.2193908691406]]"
12,3,00:10:22,18689,18,top,smash,,,"[770, 429]","[[928.1595458984375, 366.1444091796875], [931.03955078125, 363.2649230957031], [923.839599609375, 363.2649230957031], [936.7994384765625, 363.2649230957031], [919.5196533203125, 364.7046813964844], [948.3192138671875, 379.1021423339844], [913.7598266601562, 380.5418701171875], [965.5989379882812, 399.25860595703125], [906.5598754882812, 397.81884765625], [975.6788330078125, 419.4150695800781], [899.3599853515625, 412.2163391113281], [943.999267578125, 420.85479736328125], [922.399658203125, 420.85479736328125], [946.8792724609375, 459.72802734375], [916.6397094726562, 455.40875244140625], [939.6793212890625, 494.28192138671875], [909.4398803710938, 495.7216796875], [924.5596008300781, 495.0018005371094]]","[[834.1103515625, 687.57763671875], [829.8004760742188, 687.57763671875], [829.8004760742188, 689.0147705078125], [812.56103515625, 712.008544921875], [829.8004760742188, 697.637451171875], [824.053955078125, 713.4456787109375], [848.4765014648438, 701.9487915039062], [806.8145751953125, 703.3859252929688], [849.9132080078125, 689.0147705078125], [808.2511596679688, 680.39208984375], [848.4765014648438, 660.2725219726562], [849.9132080078125, 770.9302368164062], [872.8991088867188, 768.0560302734375], [824.053955078125, 819.7921142578125], [900.1948852539062, 808.295166015625], [895.8850708007812, 857.1570434570312], [895.8850708007812, 857.1570434570312], [895.8850708007812, 857.1570434570312]]"
12,4,00:10:23,18705,15,bottom,defensive shot,,,"[894, 377]","[[853.3807373046875, 373.96038818359375], [857.6869506835938, 371.1001281738281], [851.9453125, 371.1001281738281], [866.2993774414062, 373.96038818359375], [851.9453125, 373.96038818359375], [866.2993774414062, 392.5520935058594], [869.170166015625, 386.8315734863281], [849.0745239257812, 405.4233093261719], [846.2037353515625, 406.85345458984375], [828.9788208007812, 419.7246398925781], [828.9788208007812, 419.7246398925781], [883.5242919921875, 432.5958557128906], [863.4285888671875, 429.735595703125], [899.313720703125, 464.0588073730469], [840.4620361328125, 452.6177673339844], [936.6343383789062, 485.5108337402344], [836.1558227539062, 484.0806884765625], [886.3950805664062, 484.79576110839844]]","[[834.8219604492188, 694.6773681640625], [834.8219604492188, 688.9300537109375], [861.924072265625, 687.4932250976562], [836.248291015625, 691.8037109375], [861.924072265625, 690.3668823242188], [829.1162109375, 719.1033325195312], [876.1883544921875, 717.66650390625], [797.7348022460938, 737.7820434570312], [904.7168579101562, 742.092529296875], [792.029052734375, 721.9769897460938], [899.0111694335938, 770.8289794921875], [843.3804931640625, 798.1286010742188], [874.7618408203125, 792.38134765625], [824.8369140625, 845.5437622070312], [880.4675903320312, 844.10693359375], [830.5426025390625, 895.8325805664062], [876.1883544921875, 894.395751953125], [853.365478515625, 895.1141662597656]]"
12,5,00:10:24,18735,18,top,lob,,,"[1143, 356]","[[946.093017578125, 356.11907958984375], [948.9515991210938, 351.8197326660156], [943.2344360351562, 353.2528381347656], [951.8101196289062, 351.8197326660156], [936.0880126953125, 353.2528381347656], [963.244384765625, 369.0171813964844], [930.3707885742188, 370.4503173828125], [980.3958740234375, 386.214599609375], [924.6536865234375, 389.0808410644531], [993.2594604492188, 407.71142578125], [917.5072631835938, 407.71142578125], [971.8201293945312, 407.71142578125], [953.2394409179688, 409.1445617675781], [974.6786499023438, 442.1063537597656], [946.093017578125, 434.94073486328125], [988.9715576171875, 483.6668395996094], [947.5222778320312, 469.3356628417969], [968.2469177246094, 476.5012512207031]]","[[1101.3360595703125, 617.5369262695312], [1101.3360595703125, 617.5369262695312], [1122.763427734375, 629.0299072265625], [1098.479248046875, 626.1566162109375], [1118.47802734375, 634.7763671875], [1084.1943359375, 644.832763671875], [1121.3349609375, 654.8890991210938], [1064.1954345703125, 652.015869140625], [1128.4774169921875, 639.0862426757812], [1041.339599609375, 662.072265625], [1044.1966552734375, 660.6356201171875], [1072.766357421875, 708.044189453125], [1102.7646484375, 715.2273559570312], [1058.4815673828125, 739.6499633789062], [1117.049560546875, 702.2977294921875], [1039.9111328125, 765.5091552734375], [1121.3349609375, 741.0866088867188], [1080.623046875, 753.2978820800781]]"
12,6,00:10:25,18766,15,bottom,drop,,,"[1142, 384]","[[1059.2747802734375, 332.5834655761719], [1056.4234619140625, 328.2673034667969], [1053.572021484375, 331.1447448730469], [1057.84912109375, 331.1447448730469], [1045.0179443359375, 334.0221862792969], [1062.1260986328125, 346.9706726074219], [1043.5924072265625, 354.164306640625], [1076.3829345703125, 342.654541015625], [1036.4638671875, 374.3064270019531], [1056.4234619140625, 390.1324157714844], [1052.146484375, 369.990234375], [1052.146484375, 397.3260192871094], [1037.8896484375, 398.76470947265625], [1069.254638671875, 416.0294189453125], [1035.038330078125, 430.4166564941406], [1067.828857421875, 437.61029052734375], [1003.6734008789062, 456.31365966796875], [1035.7511291503906, 446.96197509765625]]","[[1036.7188720703125, 609.1024169921875], [1029.571044921875, 604.7798461914062], [1055.3033447265625, 609.1024169921875], [1029.571044921875, 609.1024169921875], [1055.3033447265625, 609.1024169921875], [1015.2752075195312, 632.1563110351562], [1061.021728515625, 637.9197998046875], [998.1203002929688, 653.7693481445312], [1069.5992431640625, 673.9415283203125], [986.6836547851562, 666.7371826171875], [1081.0357666015625, 701.3179931640625], [1018.1343994140625, 701.3179931640625], [1049.5850830078125, 702.7589111328125], [992.4019165039062, 741.662353515625], [1075.3175048828125, 734.4580078125], [975.2470092773438, 789.2109985351562], [1088.1837158203125, 787.7701416015625], [1031.7153625488281, 788.4905700683594]]"
12,7,00:10:26,18783,18,top,net shot,,,"[1119, 487]","[[1014.3335571289062, 341.8133850097656], [1017.2005004882812, 338.951416015625], [1011.4666748046875, 338.951416015625], [1021.5008544921875, 337.5204162597656], [1005.7328491210938, 338.951416015625], [1030.1015625, 357.55426025390625], [997.1321411132812, 354.6922912597656], [1038.702392578125, 381.881103515625], [981.3640747070312, 370.4331970214844], [1045.86962890625, 403.3459777832031], [969.896484375, 389.0360412597656], [1020.0674438476562, 394.760009765625], [999.9989624023438, 394.760009765625], [1031.5350341796875, 423.3798522949219], [999.9989624023438, 426.24176025390625], [1032.968505859375, 459.154541015625], [989.96484375, 444.84466552734375], [1011.4666748046875, 451.9996032714844]]","[[1096.834228515625, 644.7237548828125], [1098.2640380859375, 640.3992309570312], [1093.9747314453125, 640.3992309570312], [1073.9581298828125, 634.6331176757812], [1092.544921875, 640.3992309570312], [1058.23095703125, 651.9313354492188], [1093.9747314453125, 662.02197265625], [1042.503662109375, 674.99560546875], [1042.503662109375, 674.99560546875], [1012.47900390625, 676.4371337890625], [1013.90869140625, 677.878662109375], [1072.5284423828125, 725.4487915039062], [1042.503662109375, 722.5657348632812], [1003.9004516601562, 758.6036987304688], [1003.9004516601562, 758.6036987304688], [1103.9830322265625, 803.290771484375], [1105.4127197265625, 806.1737670898438], [1104.6978759765625, 804.7322692871094]]"
12,8,00:10:27,18812,15,bottom,lob,,,"[1112, 358]","[[959.3689575195312, 400.638671875], [962.211181640625, 396.3388977050781], [956.5267333984375, 396.3388977050781], [965.053466796875, 399.2054138183594], [950.84228515625, 394.90570068359375], [967.8956909179688, 413.5379638671875], [939.473388671875, 407.804931640625], [973.5801391601562, 429.3037109375], [922.4199829101562, 413.5379638671875], [969.3167724609375, 443.6361999511719], [893.9976806640625, 412.1047058105469], [959.3689575195312, 453.6689758300781], [940.8944702148438, 450.8024597167969], [957.9478149414062, 476.6009826660156], [926.6832885742188, 483.7672119140625], [952.263427734375, 518.1652221679688], [940.8944702148438, 493.79998779296875], [946.5789489746094, 505.98260498046875]]","[[957.7745361328125, 623.9585571289062], [957.7745361328125, 619.6549682617188], [959.2077026367188, 615.351318359375], [959.2077026367188, 623.9585571289062], [985.0049438476562, 622.5239868164062], [957.7745361328125, 651.2147216796875], [996.4703369140625, 646.9111328125], [940.576416015625, 679.905517578125], [1015.1017456054688, 682.7745971679688], [920.5118408203125, 701.423583984375], [1026.5672607421875, 708.5962524414062], [985.0049438476562, 718.6380615234375], [1010.80224609375, 714.3344116210938], [954.908203125, 764.5431518554688], [1003.6362915039062, 744.4596557617188], [943.4426879882812, 820.4901733398438], [1007.9358520507812, 788.9303588867188], [975.6892700195312, 804.7102661132812]]"
12,9,00:10:28,18850,18,top,drop,,,"[1247, 455]","[[1000.220458984375, 360.759765625], [1004.4725952148438, 356.4432373046875], [997.3856811523438, 356.4432373046875], [1010.14208984375, 356.4432373046875], [993.1336059570312, 357.882080078125], [1017.2288818359375, 372.27056884765625], [983.2119750976562, 373.70941162109375], [1027.1505126953125, 390.9755859375], [969.0382690429688, 389.5367431640625], [1034.2373046875, 411.11944580078125], [960.5340576171875, 406.80291748046875], [1007.3073120117188, 413.9971923828125], [986.0467529296875, 413.9971923828125], [1021.4810791015625, 445.65185546875], [978.9598999023438, 449.9683837890625], [1024.3157958984375, 480.1842041015625], [964.7861938476562, 484.5007629394531], [994.5509948730469, 482.3424835205078]]","[[1187.634765625, 741.0613403320312], [1184.75634765625, 736.7360229492188], [1184.75634765625, 736.7360229492188], [1163.1688232421875, 739.6195678710938], [1184.75634765625, 739.6195678710938], [1151.6553955078125, 756.9209594726562], [1199.1480712890625, 769.89697265625], [1122.8720703125, 765.5716552734375], [1235.1273193359375, 782.873046875], [1111.358642578125, 745.38671875], [1266.7890625, 784.3147583007812], [1148.777099609375, 833.3353271484375], [1177.5604248046875, 841.9860229492188], [1144.4595947265625, 854.9620361328125], [1217.8572998046875, 879.4723510742188], [1102.7236328125, 889.5648193359375], [1220.7357177734375, 934.260009765625], [1161.7296752929688, 911.9124145507812]]"
12,10,00:10:29,18874,15,bottom,push/rush,,,"[1247, 418]","[[1125.67529296875, 403.9277038574219], [1128.554931640625, 402.48779296875], [1121.35595703125, 399.6080017089844], [1129.9947509765625, 405.36761474609375], [1112.71728515625, 399.6080017089844], [1125.67529296875, 424.0863342285156], [1101.1990966796875, 412.5671081542969], [1137.193603515625, 437.04541015625], [1082.4818115234375, 418.3266906738281], [1153.03125, 457.20404052734375], [1089.6807861328125, 416.88677978515625], [1108.39794921875, 458.6439208984375], [1086.8011474609375, 457.20404052734375], [1132.874267578125, 475.9227600097656], [1066.6441650390625, 478.80255126953125], [1144.392578125, 513.3601684570312], [1045.0474853515625, 484.5621337890625], [1094.7200317382812, 498.9611511230469]]","[[1077.039306640625, 639.0241088867188], [1078.4769287109375, 640.4637451171875], [1075.6019287109375, 637.5845336914062], [1074.164306640625, 650.5411987304688], [1098.6019287109375, 653.42041015625], [1061.226806640625, 672.1356201171875], [1102.9144287109375, 685.09228515625], [1032.4766845703125, 696.609375], [1102.9144287109375, 721.0830688476562], [1032.4766845703125, 692.2904663085938], [1114.41455078125, 754.194580078125], [1051.164306640625, 745.5567626953125], [1078.4769287109375, 754.194580078125], [1043.9766845703125, 784.4268188476562], [1108.66455078125, 795.9439086914062], [1022.4141235351562, 837.693115234375], [1088.5394287109375, 849.210205078125], [1055.4767761230469, 843.45166015625]]"
12,11,00:10:29,18892,18,top,clear,,,"[1020, 223]","[[1070.6436767578125, 370.75421142578125], [1073.5185546875, 367.8711853027344], [1066.33154296875, 367.8711853027344], [1079.26806640625, 367.8711853027344], [1060.5819091796875, 367.8711853027344], [1086.455078125, 386.61065673828125], [1053.39501953125, 385.1691589355469], [1093.64208984375, 405.35009765625], [1034.7088623046875, 393.8180847167969], [1102.2664794921875, 428.41400146484375], [1026.08447265625, 405.35009765625], [1073.5185546875, 425.5310363769531], [1051.95751953125, 424.0895080566406], [1086.455078125, 458.6853942871094], [1041.895751953125, 458.6853942871094], [1099.3916015625, 496.1642761230469], [1041.895751953125, 496.1642761230469], [1070.6436767578125, 496.1642761230469]]","[[1168.2542724609375, 619.2503051757812], [1169.68310546875, 616.3667602539062], [1168.2542724609375, 616.3667602539062], [1171.1119384765625, 620.6920166015625], [1192.5445556640625, 622.1337890625], [1162.5390625, 635.109619140625], [1203.9752197265625, 645.2019653320312], [1139.6776123046875, 625.017333984375], [1231.1231689453125, 637.9931030273438], [1145.3929443359375, 601.94921875], [1253.984619140625, 616.3667602539062], [1146.82177734375, 699.9887084960938], [1171.1119384765625, 710.0809936523438], [1133.9622802734375, 736.0326538085938], [1175.3985595703125, 766.3095703125], [1111.100830078125, 785.0524291992188], [1148.2506103515625, 806.6788330078125], [1129.6757202148438, 795.8656311035156]]"
