frame,top,bottom,court,net,ball,pos,type
99540,"[[861.8743286132812, 338.5185546875], [864.7399291992188, 335.6403503417969], [859.0087280273438, 335.6403503417969], [869.0382080078125, 337.0794372558594], [853.277587890625, 337.0794372558594], [877.635009765625, 352.9095764160156], [848.9791870117188, 350.0313720703125], [884.7989501953125, 377.3742980957031], [838.94970703125, 364.4223937988281], [871.90380859375, 388.8870849609375], [836.0841064453125, 383.13067626953125], [874.7694091796875, 388.8870849609375], [859.0087280273438, 388.8870849609375], [871.90380859375, 430.6210632324219], [856.1431274414062, 427.7428283691406], [876.2022094726562, 468.0376281738281], [860.4415283203125, 453.64666748046875]]","[[994.832275390625, 539.7335205078125], [996.2555541992188, 535.4258422851562], [994.832275390625, 535.4258422851562], [982.0223388671875, 529.6823120117188], [999.1021728515625, 535.4258422851562], [964.9425048828125, 548.3488159179688], [999.1021728515625, 564.1435546875], [1009.0654296875, 601.4765625], [1009.0654296875, 601.4765625], [1021.8753662109375, 627.3224487304688], [1021.8753662109375, 627.3224487304688], [953.555908203125, 620.14306640625], [977.7523803710938, 628.7583618164062], [963.5192260742188, 680.4501953125], [983.4456787109375, 680.4501953125], [970.6358032226562, 712.0396118164062], [974.90576171875, 726.3984985351562]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[1003, 504]",None,None
99541,"[[861.847412109375, 337.40484619140625], [863.255126953125, 334.5313720703125], [859.0319213867188, 334.5313720703125], [868.88623046875, 335.9681091308594], [853.40087890625, 335.9681091308594], [875.925048828125, 351.772216796875], [847.769775390625, 348.89874267578125], [884.37158203125, 376.1967468261719], [839.3232421875, 364.7028503417969], [873.1094360351562, 387.6906433105469], [836.5077514648438, 381.94366455078125], [874.5172729492188, 390.5640869140625], [857.6242065429688, 390.5640869140625], [871.7017211914062, 429.3559265136719], [854.80859375, 427.9192199707031], [875.925048828125, 468.1478271484375], [860.439697265625, 453.7804870605469]]","[[996.217529296875, 538.599365234375], [997.6488037109375, 532.8482666015625], [997.6488037109375, 532.8482666015625], [983.3358764648438, 525.659423828125], [1000.5113525390625, 534.2860107421875], [964.7290649414062, 542.9126586914062], [1000.5113525390625, 563.0414428710938], [1013.3930053710938, 597.5479736328125], [1011.961669921875, 597.5479736328125], [1026.274658203125, 626.3034057617188], [1026.274658203125, 626.3034057617188], [953.2786865234375, 621.9900512695312], [977.6107177734375, 630.61669921875], [963.2977905273438, 676.6253662109375], [983.3358764648438, 679.5009155273438], [969.0230102539062, 712.5696411132812], [976.179443359375, 724.0718383789062]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[999, 508]",None,None
99542,"[[859.6206665039062, 337.94244384765625], [862.4479370117188, 333.64385986328125], [856.7935180664062, 333.64385986328125], [868.102294921875, 335.07672119140625], [852.5526733398438, 333.64385986328125], [876.5840454101562, 352.27099609375], [846.8982543945312, 347.972412109375], [883.6520385742188, 376.62957763671875], [838.4165649414062, 363.7338562011719], [870.9295654296875, 388.0923767089844], [835.5892944335938, 382.3609924316406], [875.17041015625, 389.5252380371094], [858.20703125, 388.0923767089844], [870.9295654296875, 428.2123718261719], [852.5526733398438, 423.9137878417969], [876.5840454101562, 466.8995056152344], [861.0343017578125, 454.0038146972656]]","[[996.0374755859375, 537.529052734375], [997.4691162109375, 533.2265625], [996.0374755859375, 533.2265625], [983.1524658203125, 527.489990234375], [1000.3324584960938, 533.2265625], [964.5409545898438, 541.83154296875], [998.9007568359375, 561.90966796875], [1016.0807495117188, 599.1975708007812], [1016.0807495117188, 599.1975708007812], [1028.9656982421875, 625.0123291015625], [1028.9656982421875, 626.4464721679688], [951.6559448242188, 617.841552734375], [975.9942016601562, 627.880615234375], [961.6775512695312, 672.33935546875], [984.5841064453125, 676.6417846679688], [968.8358764648438, 711.0614624023438], [977.4258422851562, 722.5346069335938]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[859, 459]",None,None
99543,"[[859.0836181640625, 336.52655029296875], [861.928466796875, 333.6658020019531], [857.6610717773438, 333.6658020019531], [867.6182861328125, 333.6658020019531], [851.9713745117188, 333.6658020019531], [874.73046875, 350.83038330078125], [846.2816162109375, 346.5392150878906], [883.2651977539062, 376.5772399902344], [839.1693115234375, 363.7038269042969], [871.8856201171875, 386.58990478515625], [834.9020385742188, 382.29876708984375], [874.73046875, 389.4507141113281], [857.6610717773438, 389.4507141113281], [870.4631958007812, 429.50140380859375], [850.5488891601562, 425.2102355957031], [876.1530151367188, 468.1217346191406], [861.928466796875, 453.81793212890625]]","[[996.741943359375, 538.3587646484375], [999.590576171875, 531.1626586914062], [999.590576171875, 531.1626586914062], [982.4990844726562, 526.8449096679688], [1001.0148315429688, 532.6018676757812], [962.5590209960938, 539.7980346679688], [999.590576171875, 562.8258056640625], [955.4376831054688, 535.4803466796875], [1018.1062622070312, 597.3673706054688], [1033.7734375, 624.7128295898438], [1033.7734375, 626.1520385742188], [951.164794921875, 618.9558715820312], [976.8019409179688, 627.59130859375], [962.5590209960938, 675.0859985351562], [983.9234008789062, 675.0859985351562], [969.6804809570312, 713.9453735351562], [978.2261962890625, 721.1415405273438]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[861, 459]",None,None
99544,"[[858.8118896484375, 335.9979553222656], [861.6445922851562, 331.68701171875], [857.3955078125, 331.68701171875], [865.8936767578125, 333.1239929199219], [851.7301025390625, 333.1239929199219], [874.3917236328125, 350.3677673339844], [846.064697265625, 347.49383544921875], [882.889892578125, 374.79644775390625], [837.5665893554688, 363.3006286621094], [868.7263793945312, 386.2923278808594], [834.7338256835938, 381.98138427734375], [874.3917236328125, 389.1662902832031], [857.3955078125, 387.72930908203125], [870.1426391601562, 429.40179443359375], [848.8974609375, 423.65386962890625], [875.80810546875, 466.7633361816406], [860.2282104492188, 453.8304748535156]]","[[995.0958251953125, 537.2904663085938], [997.9524536132812, 532.97119140625], [997.9524536132812, 532.97119140625], [982.2409057617188, 527.2122192382812], [1000.80908203125, 532.97119140625], [962.2443237304688, 544.4892578125], [999.3807983398438, 563.2059936523438], [952.2460327148438, 544.4892578125], [1017.948974609375, 599.1997680664062], [969.385986328125, 540.1699829101562], [1032.232177734375, 625.1153564453125], [952.2460327148438, 622.2359008789062], [976.5275268554688, 630.8743896484375], [962.2443237304688, 675.5066528320312], [983.6692504882812, 675.5066528320312], [969.385986328125, 711.50048828125], [979.3842163085938, 717.2594604492188]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[857, 459]",None,None
99545,"[[858.842529296875, 335.9693908691406], [861.6741943359375, 333.0965270996094], [857.4268188476562, 331.6601257324219], [865.9215698242188, 333.0965270996094], [851.7635498046875, 333.0965270996094], [874.4163818359375, 350.3337707519531], [846.1004028320312, 347.46087646484375], [882.9110717773438, 374.75311279296875], [837.605712890625, 363.26165771484375], [868.7532348632812, 386.24456787109375], [834.7740478515625, 381.9352722167969], [874.4163818359375, 389.1174621582031], [857.4268188476562, 387.6809997558594], [870.1689453125, 429.33758544921875], [848.9320068359375, 423.59185791015625], [875.8320922851562, 466.684814453125], [860.2583618164062, 453.7569274902344]]","[[995.0433349609375, 537.2612915039062], [997.895751953125, 532.9390869140625], [997.895751953125, 532.9390869140625], [982.2073974609375, 527.1762084960938], [1000.7481689453125, 532.9390869140625], [962.2404174804688, 544.4649658203125], [999.3219604492188, 563.1943969726562], [952.2568969726562, 544.4649658203125], [1017.8627319335938, 599.2125854492188], [969.3714599609375, 540.1427612304688], [1032.1248779296875, 623.7049560546875], [952.2568969726562, 622.2642211914062], [977.9287719726562, 630.9085693359375], [962.2404174804688, 675.5711059570312], [983.6336059570312, 675.5711059570312], [969.3714599609375, 711.5892944335938], [979.35498046875, 717.3521728515625]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[863, 434]",None,None
99546,"[[858.6397705078125, 334.3805847167969], [861.458251953125, 330.0797424316406], [855.8213500976562, 330.0797424316406], [865.685791015625, 334.3805847167969], [851.5938110351562, 331.51336669921875], [874.1409301757812, 351.583984375], [845.95703125, 347.28314208984375], [882.5961303710938, 375.9554748535156], [838.9110107421875, 363.05291748046875], [867.0950317382812, 387.42437744140625], [831.8651123046875, 380.25628662109375], [874.1409301757812, 390.2916259765625], [857.2305908203125, 388.8580017089844], [868.504150390625, 431.8664855957031], [845.95703125, 423.2647705078125], [875.5501708984375, 467.7069091796875], [858.6397705078125, 451.9371032714844]]","[[992.5043334960938, 536.7229614257812], [996.7719116210938, 532.4070434570312], [999.616943359375, 532.4070434570312], [982.5467529296875, 528.0911254882812], [1001.0394287109375, 532.4070434570312], [962.6316528320312, 545.3548583984375], [999.616943359375, 564.05712890625], [949.8291015625, 542.4775390625], [1015.2644653320312, 598.5845947265625], [969.7442016601562, 546.79345703125], [999.616943359375, 571.2503662109375], [952.6741333007812, 624.4801025390625], [978.279296875, 630.2346801757812], [962.6316528320312, 674.8325805664062], [983.9692993164062, 674.8325805664062], [969.7442016601562, 715.1145629882812], [981.1243286132812, 717.9918212890625]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[870, 409]",None,None
99547,"[[856.6089477539062, 333.4449157714844], [859.4464111328125, 329.1209411621094], [853.7714233398438, 329.1209411621094], [865.1214599609375, 333.4449157714844], [849.51513671875, 332.00360107421875], [872.2152709960938, 350.74078369140625], [845.2588500976562, 346.4168395996094], [879.3091430664062, 373.8019714355469], [841.0025634765625, 365.1540222167969], [866.540283203125, 385.33258056640625], [833.90869140625, 382.4499206542969], [872.2152709960938, 391.0978698730469], [856.6089477539062, 389.65655517578125], [866.540283203125, 430.0135803222656], [843.840087890625, 424.248291015625], [873.634033203125, 466.04669189453125], [856.6089477539062, 453.0747985839844]]","[[989.126220703125, 532.8671875], [981.9540405273438, 522.7766723632812], [983.3884887695312, 525.6597290039062], [980.5196533203125, 527.1012573242188], [1000.6016235351562, 531.4257202148438], [961.8721923828125, 545.8406982421875], [1002.0360107421875, 563.138671875], [947.5278930664062, 541.5161743164062], [1012.0769653320312, 602.0591430664062], [948.9622802734375, 540.07470703125], [1027.855712890625, 630.8890991210938], [954.7000122070312, 626.5645751953125], [980.5196533203125, 630.8890991210938], [963.3065795898438, 674.134033203125], [983.3884887695312, 675.5755004882812], [970.4786987304688, 714.4959716796875], [981.9540405273438, 717.3789672851562]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[877, 384]",None,None
99548,"[[856.4559936523438, 332.64666748046875], [859.2904052734375, 329.7651062011719], [853.62158203125, 329.7651062011719], [863.5419921875, 332.64666748046875], [849.3700561523438, 331.20587158203125], [869.2108154296875, 349.9360046386719], [845.118408203125, 347.054443359375], [879.131103515625, 372.9884033203125], [842.2841186523438, 365.7845458984375], [864.9591674804688, 385.9554138183594], [833.7809448242188, 383.0738525390625], [870.6279296875, 391.7185363769531], [855.038818359375, 390.27777099609375], [864.9591674804688, 429.1787414550781], [840.8668823242188, 424.85638427734375], [872.045166015625, 465.1981506347656], [853.62158203125, 450.7904052734375]]","[[988.6119995117188, 533.9542236328125], [992.8911743164062, 529.6464233398438], [985.75927734375, 528.2105102539062], [980.0538330078125, 525.338623046875], [998.5966186523438, 529.6464233398438], [960.0846557617188, 546.8777465820312], [1000.0230102539062, 562.673095703125], [930.1307983398438, 546.8777465820312], [1005.728515625, 598.5715942382812], [945.8209228515625, 538.2620849609375], [1017.1394653320312, 625.8544921875], [957.2318725585938, 625.8544921875], [982.9065551757812, 628.7263793945312], [965.7901000976562, 674.6764526367188], [984.3329467773438, 674.6764526367188], [971.49560546875, 713.4468994140625], [981.480224609375, 717.7546997070312]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[883, 359]",None,None
99549,"[[855.3823852539062, 331.5469055175781], [858.2518920898438, 328.6861572265625], [852.512939453125, 328.6861572265625], [862.5560913085938, 331.5469055175781], [848.208740234375, 330.1165466308594], [868.2949829101562, 348.7115478515625], [845.3392944335938, 347.2811584472656], [876.9034423828125, 373.0281066894531], [842.4697875976562, 367.3065490722656], [862.5560913085938, 383.040771484375], [830.991943359375, 383.040771484375], [869.729736328125, 391.6230773925781], [855.3823852539062, 391.6230773925781], [863.9907836914062, 430.2434997558594], [838.1655883789062, 424.52197265625], [874.033935546875, 468.8638916015625], [851.0781860351562, 450.26885986328125]]","[[986.2730102539062, 529.450927734375], [980.5867309570312, 522.2728271484375], [982.00830078125, 522.2728271484375], [979.1652221679688, 525.14404296875], [997.6456298828125, 530.8865356445312], [960.6846313476562, 548.1138916015625], [999.0671997070312, 558.1632080078125], [930.83154296875, 545.24267578125], [999.0671997070312, 598.3604125976562], [946.4689331054688, 530.8865356445312], [1000.4888305664062, 612.716552734375], [959.2631225585938, 625.6370849609375], [984.8515014648438, 627.0726928710938], [966.3710327148438, 674.4479370117188], [984.8515014648438, 674.4479370117188], [972.0573120117188, 713.2095336914062], [982.00830078125, 717.516357421875]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[890, 334]",None,None
