frame,top,bottom,court,net,ball,pos,type
41009,"[[989.89306640625, 354.8492431640625], [992.7199096679688, 351.9873962402344], [987.066162109375, 351.9873962402344], [996.9602661132812, 354.8492431640625], [981.412353515625, 351.9873962402344], [998.373779296875, 372.0202331542969], [971.5181884765625, 369.15838623046875], [1012.5082397460938, 384.89849853515625], [954.556884765625, 382.0366516113281], [1006.8544311523438, 376.3130187988281], [968.6912841796875, 374.882080078125], [988.4796142578125, 416.3786315917969], [971.5181884765625, 416.3786315917969], [989.89306640625, 446.4278869628906], [974.3451538085938, 452.15155029296875], [989.89306640625, 466.4607238769531], [975.7586059570312, 486.4935302734375]]","[[800.8653564453125, 564.0078125], [805.140380859375, 558.2564697265625], [795.1654663085938, 558.2564697265625], [788.0404663085938, 556.8186645507812], [812.2653198242188, 556.8186645507812], [776.6405639648438, 576.9483642578125], [820.8152465820312, 581.2618408203125], [748.1407470703125, 601.3914794921875], [847.8900756835938, 610.0184936523438], [768.0906372070312, 584.1375122070312], [829.3651733398438, 589.8888549804688], [779.4905395507812, 647.4021606445312], [806.5653076171875, 647.4021606445312], [780.91552734375, 690.5371704101562], [805.140380859375, 714.9804077148438], [779.4905395507812, 748.050537109375], [795.1654663085938, 772.4937133789062]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[977, 386]",None,None
41010,"[[987.9778442382812, 354.1590576171875], [990.8189697265625, 351.2782897949219], [985.1366577148438, 351.2782897949219], [996.5012817382812, 354.1590576171875], [980.875, 351.2782897949219], [1000.7630615234375, 371.4438781738281], [970.9309692382812, 367.1226806640625], [1012.127685546875, 384.4075012207031], [956.7251586914062, 385.8478698730469], [1005.0247802734375, 375.7651062011719], [966.669189453125, 380.0863037109375], [987.9778442382812, 416.0963134765625], [970.9309692382812, 414.6559143066406], [990.8189697265625, 444.90435791015625], [973.7720947265625, 450.6659240722656], [989.3983764648438, 466.5103454589844], [975.1926879882812, 485.23553466796875]]","[[798.7431030273438, 565.6254272460938], [804.44873046875, 559.8815307617188], [795.890380859375, 559.8815307617188], [790.184814453125, 559.8815307617188], [811.5806274414062, 559.8815307617188], [777.3472900390625, 579.985107421875], [822.9918212890625, 584.29296875], [747.3931274414062, 601.5245971679688], [842.9612426757812, 613.0123901367188], [767.362548828125, 585.7289428710938], [850.09326171875, 611.576416015625], [781.62646484375, 651.7835083007812], [808.7279052734375, 654.6554565429688], [781.62646484375, 694.8626098632812], [803.0223388671875, 719.2740478515625], [784.479248046875, 745.12158203125], [790.184814453125, 778.1488647460938]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[971, 386]",top,short service
41011,"[[987.3975830078125, 353.1966857910156], [990.2769775390625, 348.87567138671875], [984.5181884765625, 348.87567138671875], [996.0358276367188, 351.75634765625], [980.1990356445312, 350.3160095214844], [998.9152221679688, 369.0404357910156], [971.5608520507812, 366.1597595214844], [1011.87255859375, 382.0035095214844], [955.72412109375, 384.8841857910156], [1004.6740112304688, 373.3614807128906], [955.72412109375, 402.1682434082031], [988.8373413085938, 415.13128662109375], [970.1212158203125, 415.13128662109375], [990.2769775390625, 445.3783874511719], [974.4402465820312, 451.1397705078125], [988.8373413085938, 465.5431823730469], [975.8800048828125, 485.7079162597656]]","[[800.8196411132812, 563.1428833007812], [806.5635986328125, 558.8302612304688], [796.5116577148438, 558.8302612304688], [790.7677612304688, 558.8302612304688], [812.3074340820312, 558.8302612304688], [777.8439331054688, 581.830810546875], [823.7953491210938, 586.1434326171875], [746.2523803710938, 600.518798828125], [842.4630126953125, 614.8941650390625], [766.3560180664062, 583.2683715820312], [851.0789794921875, 610.5816040039062], [782.15185546875, 653.7077026367188], [807.99951171875, 655.1452026367188], [782.15185546875, 691.0836181640625], [803.6915283203125, 721.2719116210938], [792.2037353515625, 739.9598999023438], [790.7677612304688, 775.8983154296875]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[966, 386]",None,None
41012,"[[987.1444702148438, 352.3374328613281], [990.0138549804688, 348.0157470703125], [984.2750244140625, 348.0157470703125], [994.3180541992188, 350.8968811035156], [978.5361938476562, 350.8968811035156], [997.1874389648438, 368.18365478515625], [969.9278564453125, 366.74310302734375], [1012.9693603515625, 381.1487731933594], [955.5806884765625, 385.470458984375], [1007.2305297851562, 373.9459533691406], [954.14599609375, 404.19781494140625], [988.5792236328125, 415.72235107421875], [971.3626098632812, 415.72235107421875], [990.0138549804688, 445.9742736816406], [974.2320556640625, 451.7365417480469], [988.5792236328125, 466.1421813964844], [975.6666870117188, 486.31011962890625]]","[[800.848388671875, 560.549560546875], [805.1489868164062, 557.6666870117188], [797.9812622070312, 557.6666870117188], [789.3800048828125, 556.225341796875], [812.3167724609375, 557.6666870117188], [776.47802734375, 579.287841796875], [823.7850341796875, 585.053466796875], [743.5065307617188, 598.0261840820312], [842.4212036132812, 613.8816528320312], [765.0096435546875, 579.287841796875], [830.9528198242188, 595.1433715820312], [782.2122192382812, 651.3583374023438], [810.8831787109375, 651.3583374023438], [785.0792846679688, 700.3662109375], [809.4496459960938, 714.7803344726562], [796.5476684570312, 742.1671142578125], [796.5476684570312, 762.3468627929688]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[1005, 371]",None,None
41013,"[[987.21533203125, 352.3307800292969], [990.0875244140625, 348.0101013183594], [984.3431396484375, 348.0101013183594], [994.3958129882812, 350.89056396484375], [978.5987548828125, 350.89056396484375], [997.2680053710938, 368.17333984375], [969.982177734375, 366.7331237792969], [1013.0650024414062, 381.1354064941406], [955.6212158203125, 385.45611572265625], [1007.3206176757812, 373.9342956542969], [954.1851196289062, 404.17913818359375], [988.6514282226562, 415.7009582519531], [971.4182739257812, 415.7009582519531], [990.0875244140625, 445.9458312988281], [974.2904663085938, 451.7067565917969], [988.6514282226562, 466.10906982421875], [975.7265625, 486.27227783203125]]","[[800.8291015625, 560.5137939453125], [805.1290893554688, 557.6301879882812], [797.96240234375, 557.6301879882812], [789.3623046875, 556.1884155273438], [812.2958374023438, 557.6301879882812], [776.4622192382812, 579.2568359375], [823.7626342773438, 585.02392578125], [743.495361328125, 597.9998779296875], [842.3960571289062, 613.859375], [764.9954833984375, 579.2568359375], [830.9293212890625, 595.1163330078125], [782.1956176757812, 651.3455810546875], [810.8624877929688, 651.3455810546875], [785.0623779296875, 700.3659057617188], [809.42919921875, 714.7836303710938], [796.529052734375, 742.1773681640625], [796.529052734375, 762.3622436523438]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[1005, 371]",None,None
41014,"[[986.5477294921875, 349.748779296875], [989.4154663085938, 346.86517333984375], [983.6800537109375, 346.86517333984375], [993.717041015625, 348.3069763183594], [979.3784790039062, 348.3069763183594], [999.4524536132812, 365.6087646484375], [970.7753295898438, 364.16693115234375], [1012.3572387695312, 380.0268859863281], [955.0028686523438, 381.4687194824219], [998.0185546875, 375.7014465332031], [962.172119140625, 374.2596435546875], [989.4154663085938, 413.18865966796875], [970.7753295898438, 411.746826171875], [990.8493041992188, 443.4667663574219], [975.076904296875, 449.2340393066406], [989.4154663085938, 466.5357971191406], [976.5107421875, 483.83758544921875]]","[[800.201171875, 555.9188842773438], [804.5175170898438, 553.0469970703125], [795.884765625, 551.611083984375], [790.1295166015625, 551.611083984375], [811.7115478515625, 554.48291015625], [777.1803588867188, 574.5861206054688], [821.7830810546875, 581.765869140625], [742.6492919921875, 591.8173828125], [841.92626953125, 609.0487060546875], [762.7924194335938, 578.8939208984375], [830.4158325195312, 587.5095825195312], [782.935546875, 652.126953125], [811.7115478515625, 653.5628662109375], [784.3743286132812, 696.64111328125], [814.589111328125, 709.5645751953125], [795.884765625, 744.0272216796875], [804.5175170898438, 756.9506225585938]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[1009, 379]",None,None
41015,"[[985.7779541015625, 348.7596130371094], [988.6544799804688, 344.46014404296875], [982.9015502929688, 344.46014404296875], [992.9691162109375, 347.3264465332031], [978.5869140625, 347.3264465332031], [998.7220458984375, 365.95758056640625], [969.95751953125, 364.5244140625], [1013.1043090820312, 383.1554870605469], [954.1370849609375, 381.7223205566406], [1007.3513793945312, 374.5565490722656], [948.3841552734375, 388.8881530761719], [988.6544799804688, 411.8187255859375], [971.395751953125, 410.38555908203125], [990.0926513671875, 441.91510009765625], [975.7103881835938, 447.64776611328125], [987.2162475585938, 466.2788391113281], [975.7103881835938, 480.6104431152344]]","[[799.1309204101562, 553.0502319335938], [803.41455078125, 548.74755859375], [794.8472900390625, 548.74755859375], [790.5636596679688, 548.74755859375], [810.553955078125, 551.615966796875], [776.284912109375, 570.2608032226562], [821.97705078125, 577.431884765625], [740.587890625, 583.1687622070312], [839.111572265625, 601.8135986328125], [760.5781860351562, 561.655517578125], [829.1163940429688, 583.1687622070312], [784.8521728515625, 644.840087890625], [813.40966796875, 646.2743530273438], [787.7078857421875, 696.471923828125], [816.2654418945312, 700.7745971679688], [796.275146484375, 745.2352905273438], [810.553955078125, 743.8010864257812]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[943, 388]",None,None
41016,"[[985.2224731445312, 347.5005187988281], [988.0745849609375, 344.6383056640625], [982.3702392578125, 344.6383056640625], [992.3529052734375, 346.0694274902344], [976.6658325195312, 346.0694274902344], [998.0572509765625, 364.67376708984375], [969.5353393554688, 363.2426452636719], [1012.3182983398438, 384.709228515625], [956.7005615234375, 378.98480224609375], [1008.0399780273438, 383.27813720703125], [949.5700073242188, 390.4336242675781], [988.0745849609375, 410.4690856933594], [970.9614868164062, 409.0379638671875], [990.9268188476562, 439.0911560058594], [973.813720703125, 444.8155822753906], [986.6484985351562, 464.8510437011719], [975.23974609375, 479.1620788574219]]","[[799.7305908203125, 549.6795654296875], [804.0348510742188, 545.3682250976562], [795.42626953125, 545.3682250976562], [791.1220092773438, 546.8053588867188], [811.2086181640625, 549.6795654296875], [779.6439208984375, 571.2365112304688], [822.6866455078125, 575.5478515625], [740.905517578125, 574.1107177734375], [841.3385620117188, 598.5418701171875], [759.5573120117188, 548.2424926757812], [831.2952270507812, 584.1705932617188], [786.8178100585938, 643.0927734375], [814.0781860351562, 643.0927734375], [788.2525024414062, 699.1406860351562], [816.9476318359375, 697.70361328125], [796.8610229492188, 749.4401245117188], [815.5128784179688, 735.06884765625]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[937, 392]",None,None
41017,"[[984.3267822265625, 347.3000793457031], [987.1712036132812, 342.98602294921875], [981.4824829101562, 342.98602294921875], [992.8600463867188, 345.862060546875], [977.2158813476562, 345.862060546875], [999.970947265625, 364.5563049316406], [970.1049194335938, 363.1182861328125], [1008.5042114257812, 381.8125305175781], [957.3051147460938, 377.49847412109375], [1007.0819091796875, 380.3745422363281], [950.1942138671875, 394.7547302246094], [988.5933837890625, 410.5729675292969], [971.527099609375, 407.6968994140625], [990.015625, 437.8953552246094], [972.94921875, 446.5234680175781], [985.7490844726562, 466.6557312011719], [974.3715209960938, 482.4739685058594]]","[[802.1939697265625, 548.53271484375], [806.5093383789062, 544.2263793945312], [797.8786010742188, 544.2263793945312], [792.1248168945312, 544.2263793945312], [810.8245849609375, 547.0972900390625], [779.1787719726562, 567.193603515625], [822.3322143554688, 572.9354248046875], [740.3406982421875, 565.7581787109375], [839.5935668945312, 593.0318603515625], [757.60205078125, 539.9199829101562], [830.9629516601562, 580.1127319335938], [787.8094482421875, 637.5309448242188], [815.1399536132812, 638.9663696289062], [790.6864013671875, 696.3845825195312], [815.1399536132812, 692.0781860351562], [799.3170166015625, 750.931884765625], [819.455322265625, 727.964599609375]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[932, 399]",None,None
41018,"[[983.5157470703125, 348.4632263183594], [986.3941650390625, 342.7217102050781], [980.6372680664062, 342.7217102050781], [992.1510009765625, 345.59246826171875], [976.3197021484375, 345.59246826171875], [999.3472290039062, 365.6877746582031], [969.12353515625, 364.25238037109375], [1005.1040649414062, 381.4769592285156], [956.1707153320312, 378.6061706542969], [1003.664794921875, 377.1708068847656], [950.413818359375, 395.8307189941406], [987.83349609375, 410.18450927734375], [970.5628662109375, 408.7491455078125], [990.7119140625, 437.45672607421875], [973.4412841796875, 446.0690002441406], [986.3941650390625, 466.164306640625], [974.8804321289062, 481.9534606933594]]","[[803.3892822265625, 545.748779296875], [807.6784057617188, 541.42578125], [799.1002197265625, 542.8668212890625], [793.3814086914062, 542.8668212890625], [811.9674072265625, 545.748779296875], [781.9439086914062, 564.4818115234375], [821.9752807617188, 568.8048095703125], [741.9126586914062, 558.7177734375], [839.1314697265625, 583.2147216796875], [756.2095336914062, 532.7798461914062], [839.1314697265625, 564.4818115234375], [789.0924072265625, 637.97265625], [816.2564697265625, 636.5316162109375], [790.5220947265625, 697.0535278320312], [816.2564697265625, 682.6435546875], [799.1002197265625, 750.3704833984375], [821.9752807617188, 720.1094970703125]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[922, 412]",None,None
