frame,top,bottom,court,net,ball,pos,type
33503,"[[864.8441162109375, 386.574462890625], [869.1141967773438, 380.8401794433594], [860.573974609375, 380.8401794433594], [873.38427734375, 382.27374267578125], [853.4572143554688, 383.70733642578125], [879.07763671875, 402.3438415527344], [846.3403930664062, 398.0430908203125], [896.1580200195312, 426.71453857421875], [832.1068725585938, 402.3438415527344], [883.3477783203125, 442.4839172363281], [820.719970703125, 398.0430908203125], [870.53759765625, 469.7218017578125], [850.6105346679688, 468.2882385253906], [867.6907958984375, 509.86187744140625], [853.4572143554688, 508.4283142089844], [864.8441162109375, 554.3026733398438], [857.727294921875, 541.4005737304688]]","[[1028.2701416015625, 613.0411987304688], [1029.698974609375, 605.8636474609375], [1029.698974609375, 605.8636474609375], [1008.2665405273438, 595.8151245117188], [1029.698974609375, 604.4281616210938], [992.5494384765625, 608.7346801757812], [1015.4107055664062, 631.7027587890625], [975.403564453125, 641.7512817382812], [1021.1259765625, 658.9774169921875], [1053.9888916015625, 671.8969116210938], [1053.9888916015625, 671.8969116210938], [963.9729614257812, 693.4295043945312], [985.4053344726562, 700.6070556640625], [979.6900634765625, 743.6722412109375], [1001.1224365234375, 753.7207641601562], [986.8341674804688, 789.6083374023438], [993.978271484375, 793.9149780273438]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33504,"[[865.0842895507812, 384.18707275390625], [869.3528442382812, 378.4546813964844], [860.815673828125, 379.8877868652344], [873.6214599609375, 382.7539978027344], [853.7013549804688, 381.3208923339844], [879.3129272460938, 401.38427734375], [846.5870361328125, 398.51806640625], [896.3873291015625, 427.1800842285156], [832.3583374023438, 402.8173828125], [882.1586303710938, 441.5110778808594], [822.3983154296875, 397.0849914550781], [870.7757568359375, 468.739990234375], [850.8555908203125, 468.739990234375], [867.9299926757812, 510.2998962402344], [853.7013549804688, 507.4337158203125], [865.0842895507812, 554.7260131835938], [857.9699096679688, 543.2611694335938]]","[[1030.0859375, 611.4530639648438], [1030.0859375, 607.1472778320312], [1031.5242919921875, 607.1472778320312], [1009.949462890625, 597.1004638671875], [1031.5242919921875, 605.7120361328125], [994.1279296875, 611.4530639648438], [1015.7027587890625, 632.98193359375], [999.8811645507812, 644.4639892578125], [1024.3326416015625, 661.6870727539062], [1053.09912109375, 674.6043701171875], [1054.5374755859375, 674.6043701171875], [961.0465087890625, 691.8275146484375], [982.6212768554688, 699.0037841796875], [976.8680419921875, 743.4967651367188], [1002.7578735351562, 746.3673095703125], [986.9362182617188, 790.8602905273438], [997.0045166015625, 792.2955322265625]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33505,"[[865.08447265625, 384.18658447265625], [869.3528442382812, 378.45416259765625], [860.8160400390625, 379.88726806640625], [873.6212768554688, 382.7535095214844], [853.7019653320312, 381.3204040527344], [879.3125610351562, 401.3839111328125], [846.5880126953125, 398.5176696777344], [896.38623046875, 427.1799011230469], [832.35986328125, 402.8170471191406], [882.1581420898438, 441.510986328125], [822.4002075195312, 397.0845947265625], [870.7757568359375, 468.7400817871094], [850.8563842773438, 468.7400817871094], [867.9301147460938, 510.3002624511719], [853.7019653320312, 507.4340515136719], [865.08447265625, 554.7266235351562], [857.9703979492188, 543.2617797851562]]","[[1030.0909423828125, 611.4501342773438], [1030.0909423828125, 607.1441040039062], [1031.529052734375, 607.1441040039062], [1009.9568481445312, 597.0968017578125], [1031.529052734375, 605.7088012695312], [994.1371459960938, 611.4501342773438], [1015.7094116210938, 632.9801635742188], [999.8897094726562, 644.4628295898438], [1024.3382568359375, 661.6868286132812], [1053.101318359375, 674.6048583984375], [1054.53955078125, 674.6048583984375], [961.0595703125, 691.828857421875], [982.6319580078125, 699.0055541992188], [976.8792724609375, 743.5009155273438], [1002.7660522460938, 746.3715209960938], [986.9463500976562, 790.8668823242188], [997.0134887695312, 792.3023071289062]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33506,"[[866.3134765625, 383.2501525878906], [869.1672973632812, 378.93609619140625], [862.0326538085938, 378.93609619140625], [873.447998046875, 381.8121337890625], [854.8980712890625, 381.8121337890625], [879.1556396484375, 401.944580078125], [847.7635498046875, 399.0685119628906], [896.2786254882812, 426.3910827636719], [832.0674438476562, 403.3825988769531], [882.0094604492188, 442.2094421386719], [823.5059814453125, 397.6304626464844], [870.5941772460938, 469.5320129394531], [850.6173706054688, 468.093994140625], [867.7403564453125, 511.2349548339844], [852.0442504882812, 508.35888671875], [864.886474609375, 554.3758544921875], [857.7518920898438, 542.87158203125]]","[[1029.910888671875, 613.7525634765625], [1031.350341796875, 606.5448608398438], [1032.789794921875, 606.5448608398438], [1011.197998046875, 597.895751953125], [1031.350341796875, 606.5448608398438], [993.9244995117188, 607.9863891601562], [1018.3952026367188, 633.9339599609375], [1011.197998046875, 606.5448608398438], [1025.592529296875, 664.2061157226562], [1025.592529296875, 593.5711669921875], [1055.8211669921875, 680.06298828125], [960.8170166015625, 688.712158203125], [983.8483276367188, 698.8028564453125], [975.2116088867188, 742.0487670898438], [1004.0006713867188, 744.9318237304688], [985.2877807617188, 792.5023193359375], [1002.5612182617188, 788.177734375]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33507,"[[866.302001953125, 382.9895935058594], [869.1624145507812, 378.6673889160156], [862.0115356445312, 378.6673889160156], [873.4529418945312, 381.5488586425781], [854.8605346679688, 380.1081237792969], [880.6038208007812, 401.71905517578125], [847.7096557617188, 397.3968505859375], [896.3358764648438, 426.2114562988281], [833.4078369140625, 401.71905517578125], [882.0340576171875, 442.0594482421875], [823.3966674804688, 397.3968505859375], [870.5925903320312, 469.4333190917969], [850.570068359375, 467.9925842285156], [867.732177734375, 511.2144470214844], [852.000244140625, 508.3329772949219], [864.8718872070312, 554.436279296875], [857.720947265625, 540.0289916992188]]","[[1030.121337890625, 616.3231811523438], [1031.5513916015625, 610.5775146484375], [1032.9815673828125, 610.5775146484375], [1011.5303955078125, 597.6497192382812], [1032.9815673828125, 607.7046508789062], [991.50927734375, 610.5775146484375], [1018.6807861328125, 634.9966430664062], [981.498779296875, 604.8318481445312], [1027.26123046875, 666.597900390625], [1001.519775390625, 594.7769165039062], [1057.2928466796875, 686.707763671875], [961.4776000976562, 691.0170288085938], [985.7890014648438, 699.6355590820312], [974.3482666015625, 744.16455078125], [1002.9498901367188, 744.16455078125], [984.35888671875, 791.5663452148438], [1007.2401123046875, 787.2571411132812]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33508,"[[866.4254760742188, 383.3092041015625], [869.2706909179688, 378.9867248535156], [862.1576538085938, 378.9867248535156], [874.9610595703125, 380.42755126953125], [855.0445556640625, 380.42755126953125], [880.6514892578125, 402.0399475097656], [847.9315795898438, 399.1582946777344], [896.3001708984375, 426.53399658203125], [830.8602294921875, 406.3624572753906], [882.0740966796875, 440.9422607421875], [823.7472534179688, 397.71746826171875], [872.1158447265625, 469.7588195800781], [849.3541259765625, 468.31793212890625], [867.8480834960938, 511.5427551269531], [850.7767333984375, 508.6611022949219], [865.0028686523438, 554.767578125], [857.8897705078125, 538.91845703125]]","[[1029.4110107421875, 617.9898681640625], [1032.2608642578125, 610.7898559570312], [1033.6859130859375, 610.7898559570312], [1012.3114013671875, 600.7098999023438], [1032.2608642578125, 610.7898559570312], [996.6367797851562, 610.7898559570312], [1020.8612060546875, 636.7098388671875], [976.6871948242188, 603.5899047851562], [1029.4110107421875, 669.829833984375], [982.3870849609375, 602.1498413085938], [1057.910400390625, 694.309814453125], [959.587646484375, 689.9898681640625], [986.6620483398438, 700.06982421875], [973.8373413085938, 744.7097778320312], [1002.3366088867188, 744.7097778320312], [985.237060546875, 792.2297973632812], [1010.8864135742188, 782.1497802734375]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33509,"[[866.6605224609375, 382.6999206542969], [870.95263671875, 378.39154052734375], [862.3684692382812, 378.39154052734375], [873.81396484375, 379.82763671875], [855.2150268554688, 379.82763671875], [880.9673461914062, 401.3694763183594], [848.0615844726562, 398.49725341796875], [896.7049560546875, 428.6558837890625], [830.893310546875, 407.1139831542969], [882.3980102539062, 441.58099365234375], [825.170654296875, 398.49725341796875], [870.95263671875, 468.8673400878906], [849.4922485351562, 464.5589599609375], [868.0912475585938, 510.51495361328125], [849.4922485351562, 506.2065734863281], [865.2298583984375, 556.4708862304688], [858.076416015625, 537.80126953125]]","[[1030.0010986328125, 616.2046508789062], [1014.1666259765625, 591.7805786132812], [1034.319580078125, 609.0211181640625], [1012.72705078125, 598.9641723632812], [1032.8800048828125, 609.0211181640625], [994.0136108398438, 609.0211181640625], [1022.8035888671875, 639.1919555664062], [965.2236938476562, 604.7109985351562], [1031.4405517578125, 672.2362670898438], [972.421142578125, 598.9641723632812], [1060.2305908203125, 702.4071655273438], [962.3446044921875, 688.0401000976562], [989.6951293945312, 698.0970458984375], [972.421142578125, 744.0717163085938], [999.7716674804688, 744.0717163085938], [985.3766479492188, 792.9198608398438], [1014.1666259765625, 782.8629150390625]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33510,"[[866.0514526367188, 381.327880859375], [868.8961791992188, 377.0251159667969], [861.7845458984375, 377.0251159667969], [874.58544921875, 378.4593811035156], [856.09521484375, 378.4593811035156], [880.2747802734375, 399.97320556640625], [847.561279296875, 397.1047058105469], [895.9202880859375, 427.22406005859375], [834.7603149414062, 397.1047058105469], [881.6970825195312, 440.13232421875], [824.8040161132812, 395.6704406738281], [871.7408447265625, 467.3832092285156], [848.9835815429688, 464.5146789550781], [867.4738159179688, 510.41082763671875], [847.561279296875, 506.10809326171875], [864.629150390625, 556.3070068359375], [857.5175170898438, 537.6616821289062]]","[[1032.9510498046875, 614.2438354492188], [1012.9100952148438, 588.2953491210938], [1035.8140869140625, 608.4774780273438], [1011.4786376953125, 596.9448852539062], [1032.9510498046875, 608.4774780273438], [990.0062255859375, 605.5943603515625], [1025.7935791015625, 641.6338500976562], [957.0819091796875, 605.5943603515625], [1031.51953125, 677.67333984375], [971.3967895507812, 604.1527709960938], [1055.85498046875, 707.9464721679688], [962.8078002929688, 686.3228149414062], [992.8692016601562, 694.9722290039062], [971.3967895507812, 742.5443725585938], [998.59521484375, 742.5443725585938], [985.7117919921875, 790.1165161132812], [1015.7731323242188, 784.3502197265625]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33511,"[[865.8042602539062, 381.40594482421875], [870.1236572265625, 375.6542663574219], [861.4849243164062, 377.0921936035156], [874.4429931640625, 378.53009033203125], [855.7257690429688, 378.53009033203125], [881.6419067382812, 401.5368347167969], [847.0870361328125, 397.22308349609375], [896.039794921875, 428.85736083984375], [834.1290283203125, 398.6610107421875], [881.6419067382812, 440.3607482910156], [825.4902954101562, 397.22308349609375], [871.5634155273438, 467.6812438964844], [849.9666137695312, 464.805419921875], [868.683837890625, 510.8189392089844], [848.5269165039062, 506.505126953125], [864.364501953125, 555.3944702148438], [857.16552734375, 538.139404296875]]","[[1032.6573486328125, 614.0730590820312], [1014.0372314453125, 589.5903930664062], [1035.52197265625, 608.3123779296875], [1011.172607421875, 596.7911987304688], [1032.6573486328125, 608.3123779296875], [989.687744140625, 605.43212890625], [1025.4957275390625, 639.9957885742188], [958.1766967773438, 605.43212890625], [1031.22509765625, 677.4398193359375], [969.6351928710938, 603.991943359375], [1055.574462890625, 707.6830444335938], [962.4735717773438, 686.0807495117188], [992.5523681640625, 696.161865234375], [971.0675659179688, 742.2467651367188], [999.7139892578125, 743.6869506835938], [986.8230590820312, 791.2120361328125], [1015.469482421875, 784.01123046875]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
33512,"[[865.5802612304688, 379.968017578125], [869.876220703125, 375.6481628417969], [861.2843017578125, 375.6481628417969], [874.1720581054688, 377.0881042480469], [855.5564575195312, 377.0881042480469], [881.3319091796875, 400.1274719238281], [848.3966064453125, 395.8076171875], [895.6516723632812, 427.4867248535156], [834.0769653320312, 400.1274719238281], [881.3319091796875, 440.4463806152344], [825.485107421875, 395.8076171875], [871.30810546875, 466.3656921386719], [849.82861328125, 463.48577880859375], [868.4442138671875, 509.5645446777344], [846.9646606445312, 505.24468994140625], [865.5802612304688, 555.643310546875], [856.9884643554688, 536.923828125]]","[[1009.2724609375, 587.0689086914062], [1010.7062377929688, 587.0689086914062], [1032.212890625, 605.8060913085938], [1009.2724609375, 592.8341674804688], [1030.7791748046875, 605.8060913085938], [986.3319091796875, 602.9234619140625], [1023.6102294921875, 636.0739135742188], [950.4874877929688, 607.2474365234375], [1026.477783203125, 674.9896240234375], [953.3550415039062, 604.36474609375], [1045.116943359375, 703.8161010742188], [967.6927490234375, 687.9614868164062], [996.3683471679688, 696.6094970703125], [973.4279174804688, 742.7318115234375], [1002.103515625, 742.7318115234375], [986.3319091796875, 791.7367553710938], [1015.0075073242188, 785.9714965820312]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[956, 257]",None,None
