frame,top,bottom,court,net,ball,pos,type
53046,"[[982.0662841796875, 469.60638427734375], [983.5004272460938, 465.30609130859375], [976.3300170898438, 465.30609130859375], [986.3685913085938, 466.7395324707031], [969.1594848632812, 469.60638427734375], [993.5390625, 482.50726318359375], [970.5936279296875, 488.240966796875], [982.0662841796875, 491.1078186035156], [973.4617919921875, 502.57525634765625], [959.1209716796875, 473.90667724609375], [956.252685546875, 469.60638427734375], [994.9730834960938, 536.9776000976562], [979.1981811523438, 536.9776000976562], [990.6708374023438, 582.8473510742188], [984.9345703125, 582.8473510742188], [986.3685913085938, 631.583984375], [996.4072265625, 618.68310546875]]","[[839.5900268554688, 697.919921875], [815.2361450195312, 692.170654296875], [838.1575317382812, 693.6079711914062], [815.2361450195312, 697.919921875], [836.7249145507812, 697.919921875], [809.505859375, 720.917236328125], [846.7529907226562, 720.917236328125], [825.2642822265625, 725.2291870117188], [871.1068725585938, 738.1651611328125], [856.7810668945312, 719.4798583984375], [871.1068725585938, 725.2291870117188], [818.101318359375, 788.4716796875], [841.022705078125, 788.4716796875], [828.12939453125, 833.0287475585938], [852.4833374023438, 831.5914306640625], [825.2642822265625, 870.3993530273438], [839.5900268554688, 871.836669921875]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[954, 487]",None,None
53047,"[[982.0741577148438, 469.5727233886719], [983.5078735351562, 465.2715148925781], [976.3391723632812, 465.2715148925781], [986.3754272460938, 466.7052307128906], [969.17041015625, 469.5727233886719], [993.544189453125, 482.476318359375], [970.6041870117188, 488.2112731933594], [982.0741577148438, 491.0787353515625], [973.4717407226562, 502.548583984375], [959.1342163085938, 473.8739318847656], [956.2666625976562, 471.0064697265625], [994.9778442382812, 536.9581909179688], [979.2066650390625, 536.9581909179688], [990.6766357421875, 582.8377075195312], [984.941650390625, 582.8377075195312], [986.3754272460938, 631.5846557617188], [996.41162109375, 618.6810302734375]]","[[839.5919799804688, 697.8770751953125], [815.2433471679688, 692.1268310546875], [838.1597290039062, 693.5643920898438], [815.2433471679688, 697.8770751953125], [836.7274169921875, 697.8770751953125], [809.5142822265625, 720.8782348632812], [846.7533569335938, 720.8782348632812], [825.269287109375, 725.19091796875], [871.1019897460938, 738.1290893554688], [856.7792358398438, 719.440673828125], [871.1019897460938, 725.19091796875], [818.10791015625, 788.4440307617188], [841.0242309570312, 788.4440307617188], [828.1337890625, 833.0087280273438], [852.482421875, 831.5711059570312], [825.269287109375, 870.385498046875], [839.5919799804688, 871.8230590820312]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[953, 488]",None,None
53048,"[[975.8828125, 467.9449768066406], [980.134765625, 465.0789489746094], [970.2135009765625, 465.0789489746094], [984.3867797851562, 466.511962890625], [967.3788452148438, 466.511962890625], [991.473388671875, 482.2751159667969], [971.6307983398438, 486.5741882324219], [980.134765625, 492.3062438964844], [973.0481567382812, 505.2033996582031], [954.622802734375, 475.11004638671875], [948.9534912109375, 472.2440185546875], [994.3081665039062, 538.1627197265625], [980.134765625, 538.1627197265625], [990.0560913085938, 581.1531982421875], [984.3867797851562, 581.1531982421875], [985.8040771484375, 632.7417602539062], [997.142822265625, 619.8446044921875]]","[[839.6951293945312, 697.3785400390625], [815.3464965820312, 690.1878662109375], [838.2628173828125, 693.0641479492188], [815.3464965820312, 697.3785400390625], [838.2628173828125, 697.3785400390625], [808.1851196289062, 720.3888549804688], [846.8564453125, 720.3888549804688], [825.3723754882812, 721.8270263671875], [871.205078125, 737.6465454101562], [849.7210083007812, 723.26513671875], [869.7728271484375, 721.8270263671875], [816.7787475585938, 786.5433959960938], [841.1273803710938, 789.419677734375], [828.2369384765625, 832.5639038085938], [854.017822265625, 832.5639038085938], [825.3723754882812, 872.8319702148438], [841.1273803710938, 869.95556640625]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[952, 489]",None,None
53049,"[[973.970703125, 469.0879211425781], [976.8097534179688, 466.2107238769531], [968.2925415039062, 467.6492919921875], [982.4879150390625, 469.0879211425781], [965.453369140625, 469.0879211425781], [989.5857543945312, 483.473876953125], [983.9075317382812, 483.473876953125], [976.8097534179688, 490.6669006347656], [978.2293701171875, 515.123046875], [952.6773681640625, 476.2809143066406], [949.8383178710938, 476.2809143066406], [993.8444213867188, 539.5792236328125], [979.6488647460938, 539.5792236328125], [991.0052490234375, 582.7371826171875], [985.3270874023438, 584.1758422851562], [986.74658203125, 633.088134765625], [996.6834716796875, 620.1407470703125]]","[[839.0655517578125, 697.7103271484375], [814.7128295898438, 691.9708251953125], [837.6331176757812, 693.4057006835938], [814.7128295898438, 697.7103271484375], [837.6331176757812, 696.2754516601562], [808.982666015625, 720.6682739257812], [847.6607055664062, 720.6682739257812], [823.3079223632812, 720.6682739257812], [872.0135498046875, 737.8867797851562], [849.0932006835938, 722.1031494140625], [870.5809936523438, 722.1031494140625], [817.5778198242188, 788.107421875], [841.9306640625, 789.5422973632812], [829.0379638671875, 832.5884399414062], [853.3908081054688, 832.5884399414062], [824.7403564453125, 874.1998901367188], [843.3631591796875, 869.8952026367188]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[951, 491]",None,None
53050,"[[970.4426879882812, 472.63671875], [973.2705078125, 468.3271789550781], [966.200927734375, 468.3271789550781], [980.340087890625, 471.2001953125], [963.3731079101562, 472.63671875], [988.8236083984375, 484.1287536621094], [966.200927734375, 491.3113098144531], [977.5122680664062, 494.184326171875], [970.4426879882812, 508.54937744140625], [952.061767578125, 479.8192138671875], [949.2339477539062, 478.3827209472656], [994.4793090820312, 540.1525268554688], [980.340087890625, 540.1525268554688], [991.6514282226562, 584.6842651367188], [984.5818481445312, 584.6842651367188], [985.9957275390625, 633.5254516601562], [997.30712890625, 620.596923828125]]","[[839.9754028320312, 698.2577514648438], [814.1565551757812, 691.0663452148438], [838.541015625, 693.9429321289062], [814.1565551757812, 696.8194580078125], [837.1066284179688, 698.2577514648438], [808.4191284179688, 721.270263671875], [845.712890625, 719.8319702148438], [822.7628784179688, 719.8319702148438], [871.5316162109375, 737.0913696289062], [848.5816650390625, 722.7085571289062], [870.0972900390625, 722.7085571289062], [818.459716796875, 787.4313354492188], [841.4097290039062, 788.8695678710938], [828.5004272460938, 833.456298828125], [854.319091796875, 833.456298828125], [825.6316528320312, 873.7282104492188], [842.8441162109375, 869.4134521484375]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[951, 492]",None,None
53051,"[[971.0557250976562, 471.8092346191406], [973.9287719726562, 468.9455261230469], [965.3096313476562, 468.9455261230469], [981.1113891601562, 470.37738037109375], [962.4365844726562, 470.37738037109375], [988.2940673828125, 486.1278381347656], [968.1827392578125, 490.4234313964844], [972.4922485351562, 493.28717041015625], [978.2383422851562, 517.6287841796875], [950.9443969726562, 480.4004211425781], [945.1983032226562, 477.53668212890625], [995.4765625, 540.53857421875], [981.1113891601562, 541.970458984375], [991.1670532226562, 583.4944458007812], [985.4209594726562, 586.3582153320312], [986.8574829101562, 632.177734375], [996.9131469726562, 620.7228393554688]]","[[839.2452392578125, 698.6926879882812], [815.1426391601562, 690.0767822265625], [837.827392578125, 694.3847045898438], [815.1426391601562, 697.2567138671875], [837.827392578125, 695.8206787109375], [808.0535888671875, 720.2325439453125], [846.3341674804688, 720.2325439453125], [823.6494140625, 720.2325439453125], [871.8546142578125, 737.46435546875], [849.1697998046875, 723.1044921875], [870.4368286132812, 723.1044921875], [817.9782104492188, 787.7239379882812], [842.080810546875, 789.1599731445312], [827.90283203125, 833.675537109375], [853.4232177734375, 833.675537109375], [825.0672607421875, 871.01123046875], [843.4986572265625, 869.5751953125]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[950, 493]",None,None
53052,"[[963.0524291992188, 475.1588134765625], [965.87939453125, 470.8541564941406], [961.6388549804688, 472.2890319824219], [978.6008911132812, 472.2890319824219], [961.6388549804688, 475.1588134765625], [987.0819091796875, 486.6379089355469], [967.2928466796875, 490.9425354003906], [980.0143432617188, 496.68212890625], [941.8499145507812, 479.4635009765625], [948.9173583984375, 482.333251953125], [947.50390625, 482.333251953125], [996.9763793945312, 542.5984497070312], [981.4279174804688, 544.0333251953125], [991.3223876953125, 587.0799560546875], [984.2548828125, 588.5148315429688], [985.6683349609375, 632.996337890625], [996.9763793945312, 620.0823364257812]]","[[838.9710693359375, 698.264404296875], [814.8235473632812, 691.0926513671875], [837.550537109375, 693.9613647460938], [814.8235473632812, 698.264404296875], [837.550537109375, 696.830078125], [809.141845703125, 719.77978515625], [846.0731811523438, 719.77978515625], [823.34619140625, 719.77978515625], [871.6410522460938, 736.9920043945312], [848.9140625, 722.6484985351562], [870.2206420898438, 722.6484985351562], [817.6644897460938, 787.1944580078125], [841.8118896484375, 788.6288452148438], [829.0279541015625, 833.0938720703125], [854.5958251953125, 833.0938720703125], [826.1870727539062, 873.2559204101562], [844.6527709960938, 868.9527587890625]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[949, 495]",None,None
53053,"[[962.1826782226562, 475.2801513671875], [965.0623168945312, 470.9826354980469], [962.1826782226562, 472.4151611328125], [978.0208129882812, 472.4151611328125], [962.1826782226562, 475.2801513671875], [988.0996704101562, 486.7402648925781], [966.502197265625, 491.03778076171875], [980.9005126953125, 496.7678527832031], [942.0249633789062, 479.5777282714844], [949.22412109375, 482.4427490234375], [946.3444213867188, 482.4427490234375], [996.73876953125, 542.608154296875], [980.9005126953125, 544.0406494140625], [990.9793090820312, 587.0159912109375], [983.7801513671875, 588.448486328125], [986.6598510742188, 632.8563232421875], [996.73876953125, 619.9637451171875]]","[[838.9796142578125, 698.366943359375], [814.8289184570312, 691.1995849609375], [837.5590209960938, 694.0665283203125], [814.8289184570312, 698.366943359375], [837.5590209960938, 696.9334716796875], [809.1464233398438, 719.8690795898438], [846.082763671875, 719.8690795898438], [823.352783203125, 719.8690795898438], [871.6539916992188, 737.07080078125], [848.9240112304688, 722.7360229492188], [870.2333984375, 722.7360229492188], [817.670166015625, 787.2425537109375], [841.8208618164062, 788.676025390625], [829.0352783203125, 833.11376953125], [854.6065063476562, 833.11376953125], [826.1940307617188, 873.2511596679688], [844.662109375, 868.9507446289062]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[948, 496]",None,None
53054,"[[964.1365966796875, 478.1525573730469], [969.8526000976562, 473.8426513671875], [962.7075805664062, 473.8426513671875], [976.9976196289062, 473.8426513671875], [961.278564453125, 475.279296875], [987.0006713867188, 488.2090759277344], [968.423583984375, 489.6457214355469], [981.28466796875, 498.2655944824219], [969.8526000976562, 515.5053100585938], [951.2755126953125, 486.7724304199219], [964.1365966796875, 538.4916381835938], [997.0037231445312, 542.8015747070312], [981.28466796875, 544.2382202148438], [992.7167358398438, 585.90087890625], [982.7136840820312, 587.3375244140625], [985.5716552734375, 633.3101806640625], [995.57470703125, 617.5071411132812]]","[[839.3895263671875, 697.2140502929688], [815.168212890625, 690.0326538085938], [837.9647216796875, 694.3414306640625], [813.743408203125, 697.2140502929688], [837.9647216796875, 697.2140502929688], [808.0443115234375, 720.1945190429688], [845.0887451171875, 720.1945190429688], [823.7169189453125, 720.1945190429688], [870.73486328125, 737.4298706054688], [847.938232421875, 721.630859375], [870.73486328125, 723.0670776367188], [818.017822265625, 787.6997680664062], [842.2391357421875, 789.1360473632812], [829.416015625, 830.7881469726562], [853.637451171875, 832.2244873046875], [825.1417236328125, 875.3129272460938], [845.0887451171875, 869.5677490234375]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[947, 497]",None,None
53055,"[[963.2167358398438, 479.9358215332031], [966.0888061523438, 475.6381530761719], [960.3446044921875, 477.0706787109375], [976.1411743164062, 477.0706787109375], [958.9085693359375, 477.0706787109375], [986.1935424804688, 489.9637756347656], [966.0888061523438, 494.261474609375], [983.3214111328125, 501.4242858886719], [966.0888061523438, 515.75], [953.1643676757812, 492.82891845703125], [961.7806396484375, 538.6710205078125], [997.6819458007812, 544.4012451171875], [981.8853759765625, 547.2664184570312], [991.937744140625, 583.08056640625], [983.3214111328125, 588.810791015625], [986.1935424804688, 631.787841796875], [994.8098754882812, 616.029541015625]]","[[838.9641723632812, 699.141357421875], [830.3570556640625, 684.7853393554688], [837.5297241210938, 693.39892578125], [814.5771484375, 697.7057495117188], [837.5297241210938, 697.7057495117188], [807.4044799804688, 720.6754150390625], [844.7024536132812, 720.6754150390625], [824.618896484375, 719.2398071289062], [871.9586181640625, 737.9026489257812], [854.744140625, 722.1110229492188], [870.5240478515625, 722.1110229492188], [817.4461669921875, 786.7132568359375], [841.8333129882812, 789.5844116210938], [828.9224853515625, 831.2169799804688], [853.3096313476562, 832.6526489257812], [826.053466796875, 875.720703125], [844.7024536132812, 868.542724609375]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[946, 499]",None,None
