frame,top,bottom,court,net,ball,pos,type
96774,"[[956.4518432617188, 453.49969482421875], [957.8902587890625, 447.7491760253906], [953.5750732421875, 449.186767578125], [969.397216796875, 444.8739013671875], [955.0134887695312, 449.186767578125], [982.3426513671875, 463.56304931640625], [966.5204467773438, 465.0007019042969], [975.1507568359375, 477.9393310546875], [959.32861328125, 477.9393310546875], [942.068115234375, 470.7511901855469], [940.6296997070312, 470.7511901855469], [1002.47998046875, 528.2562866210938], [986.6578369140625, 528.2562866210938], [993.8496704101562, 572.82275390625], [988.0961303710938, 575.697998046875], [988.0961303710938, 621.7020874023438], [998.164794921875, 611.638671875]]","[[802.4335327148438, 646.917724609375], [802.4335327148438, 641.1593627929688], [802.4335327148438, 641.1593627929688], [776.6988525390625, 641.1593627929688], [801.0037841796875, 641.1593627929688], [763.83154296875, 668.5115356445312], [802.4335327148438, 671.3906860351562], [806.7225952148438, 672.8302612304688], [826.7384643554688, 691.544921875], [819.5899047851562, 677.1490478515625], [831.0276489257812, 684.3469848632812], [759.5423583984375, 750.5679321289062], [785.2770385742188, 754.8866577148438], [776.6988525390625, 808.1513671875], [782.4176635742188, 818.2284545898438], [782.4176635742188, 867.1744384765625], [759.5423583984375, 887.32861328125]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[935, 490]",None,None
96775,"[[956.4554443359375, 453.5049743652344], [957.893798828125, 447.7547607421875], [953.5787353515625, 449.19232177734375], [969.4004516601562, 444.8796081542969], [955.01708984375, 449.19232177734375], [982.345458984375, 463.56793212890625], [966.5238037109375, 465.0054931640625], [975.1537475585938, 477.94354248046875], [959.3320922851562, 477.94354248046875], [942.0721435546875, 470.7557678222656], [940.6337890625, 470.7557678222656], [1002.4820556640625, 528.25830078125], [986.6604614257812, 528.25830078125], [993.8521118164062, 572.82275390625], [988.0988159179688, 575.6978759765625], [988.0988159179688, 621.6998901367188], [998.1670532226562, 611.636962890625]]","[[802.4347534179688, 646.9119262695312], [802.4347534179688, 641.1536865234375], [802.4347534179688, 641.1536865234375], [776.6934814453125, 641.1536865234375], [801.0046997070312, 641.1536865234375], [763.8228149414062, 668.5050659179688], [802.4347534179688, 671.3841552734375], [806.7249755859375, 672.8236694335938], [826.7460327148438, 691.5377197265625], [819.5956420898438, 677.1422729492188], [831.0362548828125, 684.3400268554688], [759.5325927734375, 750.55908203125], [785.27392578125, 754.877685546875], [776.6934814453125, 808.1407470703125], [782.413818359375, 818.217529296875], [782.413818359375, 867.1620483398438], [759.5325927734375, 887.315673828125]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[934, 487]",None,None
96776,"[[955.3035888671875, 455.14794921875], [956.7257080078125, 450.82916259765625], [953.8815307617188, 450.82916259765625], [968.1023559570312, 445.0707702636719], [953.8815307617188, 450.82916259765625], [980.9011840820312, 462.3459777832031], [965.2582397460938, 466.664794921875], [976.6348876953125, 478.1816101074219], [956.7257080078125, 481.060791015625], [943.9269409179688, 473.86279296875], [945.3489990234375, 495.4568176269531], [1003.654541015625, 530.0072631835938], [986.5894775390625, 530.0072631835938], [993.699951171875, 574.6348876953125], [985.1674194335938, 573.1952514648438], [988.0115966796875, 619.2625122070312], [997.9661865234375, 612.0645141601562]]","[[802.1878051757812, 644.5152587890625], [799.3421630859375, 641.6405639648438], [800.7649536132812, 640.2032470703125], [775.1541748046875, 641.6405639648438], [799.3421630859375, 641.6405639648438], [762.3488159179688, 668.9502563476562], [800.7649536132812, 668.9502563476562], [827.798583984375, 687.6358642578125], [824.9529418945312, 691.9479370117188], [820.6844482421875, 680.4490966796875], [830.6442260742188, 681.8864135742188], [759.503173828125, 753.7540893554688], [785.1139526367188, 755.1915283203125], [776.5770263671875, 806.936279296875], [785.1139526367188, 816.9976806640625], [782.268310546875, 868.7424926757812], [760.9259643554688, 884.5532836914062]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[933, 485]",None,None
96777,"[[955.5098266601562, 457.9391784667969], [956.9481201171875, 452.1809387207031], [952.6333618164062, 453.6204833984375], [965.5774536132812, 446.4227600097656], [951.1951904296875, 453.6204833984375], [979.9596557617188, 465.13690185546875], [965.5774536132812, 468.0159912109375], [975.64501953125, 480.9718933105469], [956.9481201171875, 488.1696472167969], [944.0040283203125, 475.2137145996094], [944.0040283203125, 502.5650939941406], [1005.8477172851562, 529.91650390625], [985.7125854492188, 529.91650390625], [994.3419189453125, 574.54248046875], [984.2743530273438, 577.4215698242188], [990.0272216796875, 620.6079711914062], [998.6565551757812, 611.970703125]]","[[801.436767578125, 646.0008544921875], [798.5685424804688, 644.5604858398438], [800.002685546875, 641.6798095703125], [774.1889038085938, 641.6798095703125], [798.5685424804688, 643.1201782226562], [761.2819213867188, 669.046630859375], [800.002685546875, 670.4869384765625], [758.4137573242188, 706.4959106445312], [824.3823852539062, 692.0923461914062], [824.3823852539062, 679.1290893554688], [830.1187744140625, 680.5694580078125], [758.4137573242188, 752.5872802734375], [784.2275390625, 755.4680786132812], [777.0570068359375, 808.7611694335938], [787.0957641601562, 818.84375], [781.359375, 866.37548828125], [762.7160034179688, 885.1001586914062]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[932, 482]",None,None
96778,"[[952.7769775390625, 459.41607666015625], [954.1968994140625, 452.21441650390625], [949.937255859375, 455.0950927734375], [962.716064453125, 449.333740234375], [949.937255859375, 455.0950927734375], [979.75439453125, 465.17742919921875], [962.716064453125, 472.3790588378906], [981.1742553710938, 481.0210876464844], [957.0365600585938, 489.6630859375], [958.4564208984375, 483.9017639160156], [945.677734375, 505.50677490234375], [1006.7317504882812, 528.5520629882812], [985.4337768554688, 529.992431640625], [995.3728637695312, 574.642822265625], [981.1742553710938, 576.0831298828125], [989.6934204101562, 620.7334594726562], [996.792724609375, 607.7705078125]]","[[799.0590209960938, 650.3329467773438], [799.0590209960938, 643.1448974609375], [800.4832763671875, 641.707275390625], [773.4215087890625, 641.707275390625], [799.0590209960938, 641.707275390625], [760.602783203125, 667.5842895507812], [799.0590209960938, 671.8970947265625], [756.3298950195312, 704.962158203125], [821.8477783203125, 692.0236206054688], [816.150634765625, 674.7723388671875], [827.5450439453125, 681.9603881835938], [759.1784057617188, 750.9656372070312], [784.81591796875, 755.2785034179688], [776.2701416015625, 807.032470703125], [790.5131225585938, 815.6580810546875], [780.5430297851562, 868.8496704101562], [762.0270385742188, 884.6633911132812]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[932, 480]",None,None
96779,"[[951.3670654296875, 461.9796447753906], [952.7871704101562, 456.2397766113281], [948.5267944335938, 457.67474365234375], [962.7281494140625, 451.934814453125], [949.9468994140625, 459.1097106933594], [981.1900024414062, 467.71954345703125], [957.047607421875, 479.1993408203125], [984.0302734375, 482.06927490234375], [955.6275024414062, 500.72393798828125], [962.7281494140625, 489.244140625], [944.266357421875, 513.6387329101562], [1006.7525024414062, 527.9884033203125], [985.450439453125, 530.8583984375], [996.8115234375, 576.7775268554688], [981.1900024414062, 578.2124633789062], [991.1309814453125, 621.26171875], [991.1309814453125, 605.4769897460938]]","[[800.0782470703125, 649.21337890625], [797.2363891601562, 644.8886108398438], [798.6573486328125, 643.447021484375], [773.0806274414062, 643.447021484375], [797.2363891601562, 643.447021484375], [760.2923583984375, 669.3956298828125], [797.2363891601562, 670.8372192382812], [756.029541015625, 706.876953125], [821.3921508789062, 692.4610595703125], [798.6573486328125, 667.9540405273438], [827.0758666992188, 680.9283447265625], [758.8713989257812, 751.5662231445312], [784.4481201171875, 757.3325805664062], [775.9224853515625, 806.3466186523438], [794.39453125, 813.5546264648438], [781.6062622070312, 868.3350219726562], [764.55517578125, 881.309326171875]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[932, 489]",None,None
96780,"[[952.0672607421875, 463.97479248046875], [953.495361328125, 456.8129577636719], [949.211181640625, 458.2453308105469], [963.491943359375, 452.5158996582031], [950.6392211914062, 459.6777038574219], [982.0570068359375, 468.2718811035156], [959.2077026367188, 479.7307434082031], [996.3377685546875, 482.5954895019531], [962.0638427734375, 498.3514099121094], [973.488525390625, 488.32489013671875], [944.9269409179688, 519.8367919921875], [1004.90625, 528.4309692382812], [983.4850463867188, 532.72802734375], [997.7658081054688, 575.6987915039062], [980.6288452148438, 579.995849609375], [989.1973266601562, 621.5342407226562], [989.1973266601562, 602.9136352539062]]","[[797.2735595703125, 647.7214965820312], [795.84814453125, 643.3999633789062], [797.2735595703125, 640.5189208984375], [770.1910400390625, 641.9594116210938], [795.84814453125, 641.9594116210938], [758.7879028320312, 669.329345703125], [795.84814453125, 670.7698364257812], [755.9370727539062, 706.7828979492188], [821.5053100585938, 693.8182373046875], [798.698974609375, 669.329345703125], [825.7815551757812, 680.853515625], [757.3624877929688, 751.4391479492188], [783.0195922851562, 754.3201904296875], [775.8926391601562, 807.6194458007812], [797.2735595703125, 811.9409790039062], [781.5941772460938, 869.5619506835938], [767.3402099609375, 878.2050170898438]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[931, 496]",None,None
96781,"[[951.1076049804688, 462.7188720703125], [952.5272216796875, 456.9521484375], [949.68798828125, 459.83551025390625], [962.4647827148438, 452.62713623046875], [949.68798828125, 459.83551025390625], [980.9201049804688, 467.04388427734375], [959.62548828125, 478.5772399902344], [996.5361938476562, 482.90228271484375], [962.4647827148438, 498.76068115234375], [973.8219604492188, 488.66900634765625], [946.8486938476562, 517.50244140625], [1005.0540771484375, 529.0357666015625], [983.7593994140625, 531.9191284179688], [997.955810546875, 575.1693115234375], [980.9201049804688, 580.93603515625], [990.857666015625, 618.4194946289062], [989.43798828125, 604.0027465820312]]","[[798.7702026367188, 648.4080200195312], [795.9070434570312, 642.6569213867188], [797.338623046875, 642.6569213867188], [771.5703735351562, 642.6569213867188], [795.9070434570312, 642.6569213867188], [758.6862182617188, 668.536865234375], [794.4755249023438, 669.9746704101562], [755.8230590820312, 707.3568115234375], [821.6754150390625, 694.4168090820312], [824.5385131835938, 680.0390625], [827.4016723632812, 681.4768676757812], [757.254638671875, 751.9278564453125], [783.02294921875, 756.2412109375], [775.8651123046875, 805.1256103515625], [797.338623046875, 812.314453125], [781.5913696289062, 869.8255004882812], [765.8440551757812, 881.3276977539062]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[931, 504]",None,None
96782,"[[953.0231323242188, 461.46270751953125], [954.4444580078125, 455.6964416503906], [951.6019287109375, 455.6964416503906], [964.3928833007812, 451.3717956542969], [951.6019287109375, 460.0211181640625], [982.8687133789062, 464.3457946777344], [958.7080078125, 483.0860290527344], [1004.1869506835938, 477.3197937011719], [960.1293334960938, 506.15093994140625], [985.711181640625, 487.41070556640625], [948.7595825195312, 527.7742919921875], [1005.608154296875, 527.7742919921875], [982.8687133789062, 532.0989990234375], [997.0809326171875, 573.9041137695312], [978.6051025390625, 575.3456420898438], [988.5535888671875, 620.033935546875], [988.5535888671875, 601.2936401367188]]","[[795.404541015625, 648.248046875], [793.9740600585938, 642.4843139648438], [795.404541015625, 642.4843139648438], [769.65576171875, 642.4843139648438], [793.9740600585938, 643.9252319335938], [758.2117919921875, 671.3031005859375], [793.9740600585938, 672.7440185546875], [755.3507690429688, 708.767578125], [819.7229614257812, 694.358154296875], [792.5436401367188, 666.9802856445312], [825.4448852539062, 682.8306274414062], [756.7813110351562, 753.436767578125], [783.9606323242188, 754.877685546875], [775.3777465820312, 806.7515869140625], [798.2655639648438, 813.956298828125], [781.0996704101562, 867.2710571289062], [768.2252197265625, 877.357666015625]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[932, 512]",None,None
96783,"[[956.574462890625, 457.7489013671875], [959.446044921875, 449.1363525390625], [955.138671875, 453.442626953125], [966.625, 446.2654724121094], [953.702880859375, 456.3134765625], [986.7261352539062, 459.1842956542969], [959.446044921875, 482.151123046875], [1011.1346435546875, 472.1031799316406], [959.446044921875, 512.2951049804688], [996.7767333984375, 482.151123046875], [947.9596557617188, 538.1327514648438], [1005.3914794921875, 530.95556640625], [980.9829711914062, 538.1327514648438], [998.2125244140625, 572.5829467773438], [978.1113891601562, 578.3246459960938], [989.5977172851562, 619.9519653320312], [988.1619262695312, 601.2914428710938]]","[[794.580810546875, 647.8834228515625], [793.1530151367188, 643.5770874023438], [793.1530151367188, 643.5770874023438], [767.45263671875, 643.5770874023438], [791.7252197265625, 643.5770874023438], [756.0302734375, 672.2858276367188], [793.1530151367188, 672.2858276367188], [760.313720703125, 705.3008422851562], [817.4255981445312, 695.2528076171875], [791.7252197265625, 667.9794921875], [824.5646362304688, 682.3338623046875], [756.0302734375, 754.1055908203125], [781.7306518554688, 754.1055908203125], [774.5916748046875, 805.78125], [798.8642578125, 814.3938598632812], [780.3028564453125, 866.0695190429688], [768.8804321289062, 876.1175537109375]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[932, 530]",None,None
