frame,top,bottom,court,net,ball,pos,type
35964,"[[1083.6015625, 464.89117431640625], [1087.915771484375, 462.0093078613281], [1080.7254638671875, 462.0093078613281], [1096.5439453125, 464.89117431640625], [1076.411376953125, 462.0093078613281], [1102.296142578125, 485.06427001953125], [1074.9732666015625, 479.3005065917969], [1103.734130859375, 513.8829956054688], [1051.964599609375, 486.50518798828125], [1085.0396728515625, 499.4736022949219], [1070.6591796875, 477.8595886230469], [1099.4200439453125, 536.9378662109375], [1080.7254638671875, 536.9378662109375], [1090.791748046875, 577.2840576171875], [1085.0396728515625, 580.1659545898438], [1092.2298583984375, 630.5986328125], [1100.858154296875, 611.8665161132812]]","[[966.6587524414062, 644.692626953125], [966.6587524414062, 641.8169555664062], [966.6587524414062, 640.379150390625], [943.808837890625, 636.065673828125], [963.8025512695312, 641.8169555664062], [929.5277099609375, 650.4439697265625], [950.949462890625, 663.3844604492188], [949.5213012695312, 640.379150390625], [949.5213012695312, 690.7033081054688], [973.7993774414062, 634.6278076171875], [979.5118408203125, 709.3951416015625], [899.537109375, 715.146484375], [918.1026611328125, 718.0220947265625], [915.2465209960938, 769.7841186523438], [928.099609375, 782.7246704101562], [922.3870849609375, 820.1082153320312], [918.1026611328125, 828.7352905273438]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[982, 634]",None,None
35965,"[[1083.5517578125, 465.75787353515625], [1087.793212890625, 462.8869323730469], [1080.7239990234375, 461.451416015625], [1096.2763671875, 464.3223876953125], [1076.482421875, 462.8869323730469], [1103.3455810546875, 484.41912841796875], [1075.068603515625, 478.67718505859375], [1103.3455810546875, 514.564208984375], [1052.4468994140625, 487.29010009765625], [1084.965576171875, 498.77392578125], [1069.4132080078125, 480.1126708984375], [1099.1041259765625, 537.5319213867188], [1080.7239990234375, 536.096435546875], [1090.6209716796875, 577.7254028320312], [1084.965576171875, 580.5963745117188], [1092.034912109375, 629.4027099609375], [1100.5179443359375, 610.741455078125]]","[[967.9745483398438, 647.5169067382812], [967.9745483398438, 643.201416015625], [967.9745483398438, 641.762939453125], [944.9772338867188, 634.5704345703125], [963.6625366210938, 641.762939453125], [930.6038818359375, 650.3939208984375], [950.7265014648438, 664.7788696289062], [920.5425415039062, 684.9178466796875], [950.7265014648438, 692.1103515625], [973.723876953125, 631.6934814453125], [979.47314453125, 713.687744140625], [898.9826049804688, 713.687744140625], [916.2305908203125, 719.4417114257812], [914.793212890625, 772.6661376953125], [929.1665649414062, 778.4201049804688], [923.4171752929688, 820.136474609375], [919.105224609375, 828.7675170898438]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[982, 634]",None,None
35966,"[[1083.1246337890625, 465.5586242675781], [1087.4407958984375, 461.245361328125], [1080.2470703125, 461.245361328125], [1097.51220703125, 464.1208801269531], [1077.3695068359375, 462.68310546875], [1103.2672119140625, 484.2493591308594], [1074.491943359375, 478.49835205078125], [1104.7059326171875, 514.4420776367188], [1051.4716796875, 487.1248474121094], [1084.563232421875, 497.1890869140625], [1070.1756591796875, 479.93609619140625], [1098.950927734375, 537.446044921875], [1080.2470703125, 536.00830078125], [1090.318359375, 577.7030029296875], [1083.1246337890625, 580.5784912109375], [1091.757080078125, 629.4619140625], [1100.3897705078125, 610.7711791992188]]","[[967.6329345703125, 649.0003051757812], [967.6329345703125, 644.6763305664062], [967.6329345703125, 644.6763305664062], [946.2351684570312, 636.0283203125], [964.7799072265625, 644.6763305664062], [930.5433959960938, 650.441650390625], [953.3677978515625, 664.8549194335938], [926.2638549804688, 686.474853515625], [951.9412231445312, 693.6815185546875], [936.24951171875, 745.5693359375], [979.0451049804688, 718.18408203125], [897.7333984375, 713.860107421875], [917.7047119140625, 718.18408203125], [914.8516845703125, 771.5132446289062], [931.9699096679688, 777.278564453125], [923.4108276367188, 819.0771484375], [917.7047119140625, 829.1663818359375]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[986, 637]",None,None
35967,"[[1083.137451171875, 465.6300048828125], [1087.4454345703125, 461.3167419433594], [1080.265380859375, 461.3167419433594], [1097.49755859375, 464.1922607421875], [1077.393310546875, 462.7544860839844], [1103.24169921875, 484.3209533691406], [1074.521240234375, 478.5699157714844], [1104.677734375, 514.5140380859375], [1051.544921875, 487.1965026855469], [1084.573486328125, 497.26080322265625], [1070.2132568359375, 480.0076599121094], [1098.93359375, 537.5182495117188], [1080.265380859375, 536.0804443359375], [1090.3175048828125, 577.775634765625], [1083.137451171875, 580.651123046875], [1091.7535400390625, 629.53515625], [1100.36962890625, 610.8441772460938]]","[[967.599609375, 649.050048828125], [967.599609375, 644.724853515625], [967.599609375, 644.724853515625], [946.216796875, 636.0744018554688], [964.7484741210938, 644.724853515625], [930.5360107421875, 650.4918212890625], [953.3443603515625, 664.9092407226562], [926.2594604492188, 686.535400390625], [951.9188842773438, 693.7440795898438], [936.2380981445312, 745.6467895507812], [979.0037841796875, 718.2537231445312], [897.7489624023438, 713.928466796875], [917.706298828125, 718.2537231445312], [914.8552856445312, 771.59814453125], [931.9614868164062, 777.3651123046875], [924.8338623046875, 819.1757202148438], [917.706298828125, 829.2679443359375]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 637]",None,None
35968,"[[1084.6722412109375, 465.2571716308594], [1088.95361328125, 460.9394836425781], [1081.81787109375, 460.9394836425781], [1097.5164794921875, 463.81793212890625], [1077.5364990234375, 462.37872314453125], [1103.22509765625, 483.9670715332031], [1074.68212890625, 479.6494140625], [1104.6522216796875, 512.7516479492188], [1051.847900390625, 488.2847900390625], [1086.099365234375, 498.359375], [1074.68212890625, 476.7709655761719], [1100.3707275390625, 537.2184448242188], [1080.3907470703125, 535.7792358398438], [1090.3807373046875, 580.3952026367188], [1078.963623046875, 576.0775146484375], [1091.807861328125, 629.3289184570312], [1100.3707275390625, 610.6190185546875]]","[[966.8673095703125, 651.5750732421875], [968.2989501953125, 645.8272705078125], [968.2989501953125, 645.8272705078125], [948.2554931640625, 637.2056274414062], [966.8673095703125, 645.8272705078125], [929.6437377929688, 650.1381225585938], [953.982177734375, 665.9445190429688], [912.4636840820312, 773.7152709960938], [955.4138793945312, 697.5572509765625], [938.2337646484375, 744.9763793945312], [981.1839599609375, 724.8591918945312], [898.14697265625, 713.3636474609375], [921.0537109375, 717.6744384765625], [913.8953857421875, 773.7152709960938], [933.9388427734375, 775.1521606445312], [922.4854125976562, 813.94970703125], [921.0537109375, 825.4451904296875]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 645]",None,None
35969,"[[1085.3367919921875, 463.7006530761719], [1089.58740234375, 460.8202819824219], [1082.5030517578125, 460.8202819824219], [1098.088623046875, 463.7006530761719], [1078.2523193359375, 460.8202819824219], [1103.7562255859375, 483.8630676269531], [1075.418701171875, 479.5425109863281], [1105.173095703125, 512.66650390625], [1052.7486572265625, 486.7434387207031], [1085.3367919921875, 496.8246154785156], [1072.5849609375, 478.10235595703125], [1100.92236328125, 538.5896606445312], [1081.086181640625, 535.7092895507812], [1091.0042724609375, 578.91455078125], [1078.2523193359375, 576.0341796875], [1091.0042724609375, 630.7607421875], [1100.92236328125, 610.5983276367188]]","[[967.7937622070312, 653.008544921875], [969.2171630859375, 647.2613525390625], [969.2171630859375, 647.2613525390625], [947.8663940429688, 638.640625], [967.7937622070312, 645.8245849609375], [930.78564453125, 648.6981201171875], [956.40673828125, 670.2501220703125], [916.5518188476562, 645.8245849609375], [957.8301391601562, 700.4228515625], [939.3259887695312, 746.4003295898438], [977.757568359375, 727.7219848632812], [898.0477294921875, 714.790771484375], [922.245361328125, 719.1011962890625], [913.7050170898438, 772.2626342773438], [935.0558471679688, 775.13623046875], [922.245361328125, 818.2401733398438], [926.5155029296875, 815.3665161132812]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 652]",None,None
35970,"[[1087.792236328125, 463.9568786621094], [1092.0357666015625, 459.6585388183594], [1084.963134765625, 459.6585388183594], [1097.6937255859375, 462.52410888671875], [1080.7197265625, 461.09130859375], [1104.7662353515625, 482.58306884765625], [1076.4761962890625, 476.8519592285156], [1106.1806640625, 512.6715087890625], [1052.4296875, 486.88140869140625], [1086.377685546875, 498.3437194824219], [1076.4761962890625, 475.419189453125], [1100.522705078125, 538.461669921875], [1082.13427734375, 535.5960693359375], [1090.6212158203125, 578.57958984375], [1077.8907470703125, 577.1468505859375], [1092.0357666015625, 630.1598510742188], [1100.522705078125, 608.6680908203125]]","[[968.004150390625, 651.5453491210938], [969.4403686523438, 645.7879028320312], [970.8766479492188, 645.7879028320312], [947.8971557617188, 634.2730102539062], [966.5680541992188, 645.7879028320312], [929.2262573242188, 644.3485107421875], [957.95068359375, 671.6964111328125], [901.9381103515625, 645.7879028320312], [959.3869018554688, 704.8017578125], [917.7365112304688, 642.9091796875], [978.0577392578125, 737.9071044921875], [900.5018920898438, 716.316650390625], [926.3538818359375, 720.6347045898438], [913.4279174804688, 773.89111328125], [934.97119140625, 775.3305053710938], [920.6090087890625, 817.0719604492188], [926.3538818359375, 814.1932373046875]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 664]",None,None
35971,"[[1088.224853515625, 460.64227294921875], [1092.515380859375, 457.776611328125], [1085.3646240234375, 457.776611328125], [1099.6661376953125, 460.64227294921875], [1081.07421875, 460.64227294921875], [1103.95654296875, 482.1347961425781], [1076.78369140625, 477.8363037109375], [1106.81689453125, 512.2243041992188], [1053.9013671875, 487.86614990234375], [1086.7947998046875, 497.8959655761719], [1055.33154296875, 487.86614990234375], [1101.0963134765625, 536.58251953125], [1081.07421875, 536.58251953125], [1092.515380859375, 581.0004272460938], [1078.2138671875, 578.1347045898438], [1091.085205078125, 631.1495971679688], [1099.6661376953125, 609.6570434570312]]","[[967.186767578125, 649.08935546875], [947.2168579101562, 626.031982421875], [968.6132202148438, 641.8839111328125], [947.2168579101562, 631.7963256835938], [967.186767578125, 641.8839111328125], [925.8206176757812, 641.8839111328125], [961.4810791015625, 672.1466674804688], [894.4393310546875, 647.6482543945312], [960.0546875, 708.173828125], [907.277099609375, 640.4428100585938], [974.31884765625, 739.877685546875], [902.9979248046875, 715.3792114257812], [930.099853515625, 719.7025146484375], [912.9828491210938, 774.4638061523438], [937.23193359375, 774.4638061523438], [921.5413208007812, 819.1373291015625], [925.8206176757812, 814.8140869140625]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 679]",None,None
35972,"[[1086.56494140625, 460.98779296875], [1090.839599609375, 456.681884765625], [1085.1400146484375, 456.681884765625], [1097.9639892578125, 460.98779296875], [1080.8653564453125, 458.1171569824219], [1105.088623046875, 482.5174560546875], [1078.015625, 476.7762145996094], [1107.9383544921875, 511.2236633300781], [1052.3675537109375, 491.1293029785156], [1085.1400146484375, 495.4352722167969], [1069.46630859375, 483.9527893066406], [1100.81396484375, 538.4945678710938], [1082.290283203125, 537.0592651367188], [1092.2645263671875, 578.6832885742188], [1078.015625, 581.5538940429688], [1092.2645263671875, 630.3544311523438], [1099.388916015625, 608.8247680664062]]","[[965.8641967773438, 645.8646240234375], [965.8641967773438, 640.1294555664062], [965.8641967773438, 640.1294555664062], [944.400146484375, 628.6590576171875], [964.4332275390625, 638.6956787109375], [922.9360961914062, 640.1294555664062], [960.1404418945312, 665.937744140625], [894.3175048828125, 648.7322387695312], [960.1404418945312, 703.2164916992188], [905.7649536132812, 640.1294555664062], [970.156982421875, 724.7234497070312], [905.7649536132812, 716.1206665039062], [932.9526977539062, 721.8558959960938], [914.3505859375, 774.9063110351562], [938.6764526367188, 773.4725341796875], [922.9360961914062, 820.787841796875], [927.22900390625, 810.751220703125]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 694]",None,None
35973,"[[1086.6627197265625, 461.17828369140625], [1090.957763671875, 458.30755615234375], [1085.2310791015625, 456.87225341796875], [1098.1162109375, 461.17828369140625], [1080.93603515625, 459.742919921875], [1105.274658203125, 482.7086486816406], [1078.0726318359375, 475.5318603515625], [1108.1380615234375, 511.4157409667969], [1052.30224609375, 491.3207702636719], [1085.2310791015625, 495.6268310546875], [1069.482421875, 484.14398193359375], [1100.9796142578125, 538.6875], [1082.36767578125, 535.8167724609375], [1090.957763671875, 578.87744140625], [1076.6409912109375, 578.87744140625], [1092.3895263671875, 630.55029296875], [1099.5478515625, 610.455322265625]]","[[965.7988891601562, 644.751953125], [965.7988891601562, 640.4339599609375], [965.7988891601562, 640.4339599609375], [944.3380737304688, 628.9193115234375], [964.3681030273438, 638.99462890625], [922.8773193359375, 640.4339599609375], [960.075927734375, 666.3419189453125], [894.2630004882812, 649.0699462890625], [960.075927734375, 702.3250732421875], [905.708740234375, 640.4339599609375], [970.091064453125, 723.9150390625], [905.708740234375, 716.7183837890625], [932.8923950195312, 721.036376953125], [914.29296875, 774.2915649414062], [938.615234375, 772.8521728515625], [922.8773193359375, 820.35009765625], [927.1694946289062, 810.2747802734375]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[990, 597]",None,None
