frame,top,bottom,court,net,ball,pos,type
71396,"[[998.3197021484375, 486.27301025390625], [1002.6095581054688, 483.3919372558594], [995.459716796875, 483.3919372558594], [1006.8995361328125, 486.27301025390625], [988.3097534179688, 483.3919372558594], [1009.7594604492188, 509.32159423828125], [975.4400634765625, 502.118896484375], [1019.769287109375, 533.8107299804688], [946.8405151367188, 509.32159423828125], [1022.6292724609375, 553.9781494140625], [964.000244140625, 530.9296264648438], [995.459716796875, 553.9781494140625], [975.4400634765625, 551.0971069335938], [999.7496948242188, 588.551025390625], [981.159912109375, 587.1104736328125], [996.8897094726562, 614.4806518554688], [981.159912109375, 631.7670288085938]]","[[840.6842041015625, 649.2365112304688], [840.6842041015625, 642.0317993164062], [840.6842041015625, 642.0317993164062], [814.9351196289062, 640.5908813476562], [837.8231811523438, 642.0317993164062], [803.4910888671875, 662.2050170898438], [832.1011962890625, 660.7640380859375], [844.9756469726562, 669.40966796875], [865.0027465820312, 676.6143798828125], [860.7112426757812, 673.7324829101562], [870.7247314453125, 673.7324829101562], [792.047119140625, 740.015869140625], [816.3656616210938, 742.897705078125], [810.6436767578125, 794.7716064453125], [807.7826538085938, 806.2991943359375], [814.9351196289062, 846.6455688476562], [792.047119140625, 866.8187255859375]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1016, 572]",None,None
71397,"[[998.3895874023438, 487.6479187011719], [1002.6652221679688, 483.33544921875], [995.5391845703125, 483.33544921875], [1006.9408569335938, 486.21044921875], [988.4131469726562, 483.33544921875], [1009.7911987304688, 506.3354797363281], [975.5863647460938, 499.1479797363281], [1019.7676391601562, 529.3355712890625], [947.0823974609375, 506.3354797363281], [1024.043212890625, 549.4606323242188], [964.184814453125, 527.8980712890625], [995.5391845703125, 550.8981323242188], [974.1611938476562, 549.4606323242188], [998.3895874023438, 588.2732543945312], [981.2872314453125, 588.2732543945312], [995.5391845703125, 614.1483154296875], [981.2872314453125, 632.8358764648438]]","[[842.1075439453125, 646.9620971679688], [840.6770629882812, 641.1998901367188], [842.1075439453125, 641.1998901367188], [814.9298706054688, 641.1998901367188], [839.2467651367188, 641.1998901367188], [803.486572265625, 662.8081665039062], [832.0947265625, 661.3676147460938], [846.398681640625, 670.0109252929688], [864.9939575195312, 675.7731323242188], [860.7028198242188, 674.3325805664062], [869.2852783203125, 674.3325805664062], [792.0433349609375, 742.0384521484375], [817.7906494140625, 743.4790649414062], [812.0690307617188, 793.8983764648438], [807.77783203125, 805.4227905273438], [816.3602294921875, 847.1988525390625], [792.0433349609375, 865.9259643554688]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1016, 570]",None,None
71398,"[[997.1472778320312, 486.18865966796875], [1001.431640625, 483.30487060546875], [994.291015625, 483.30487060546875], [1007.1441650390625, 484.7467346191406], [988.5785522460938, 483.30487060546875], [1010.0003662109375, 506.37530517578125], [975.7254638671875, 499.1658020019531], [1019.9972534179688, 528.00390625], [948.591064453125, 504.9334411621094], [1025.709716796875, 548.1905517578125], [964.3004150390625, 525.1201171875], [995.7191162109375, 551.0744018554688], [974.2973022460938, 549.6324462890625], [998.575439453125, 587.1219482421875], [981.4379272460938, 588.5639038085938], [997.1472778320312, 614.5181884765625], [980.009765625, 631.821044921875]]","[[842.3513793945312, 645.9313354492188], [840.9177856445312, 641.6102294921875], [840.9177856445312, 641.6102294921875], [815.1131591796875, 641.6102294921875], [839.4841918945312, 641.6102294921875], [803.64453125, 663.2158203125], [832.3162231445312, 660.3350219726562], [846.6521606445312, 670.4176635742188], [865.2887573242188, 676.1791381835938], [860.9879760742188, 674.73876953125], [869.5895385742188, 674.73876953125], [792.17578125, 740.9960327148438], [817.9803466796875, 742.4364624023438], [812.24609375, 794.2898559570312], [807.9453125, 804.3724975585938], [815.1131591796875, 846.1433715820312], [792.17578125, 864.8682250976562]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1014, 563]",None,None
71399,"[[997.038330078125, 486.3877258300781], [1001.330322265625, 483.50421142578125], [994.177001953125, 483.50421142578125], [1007.052978515625, 484.94598388671875], [988.4542846679688, 483.50421142578125], [1009.9143676757812, 506.57244873046875], [975.5782470703125, 499.3636474609375], [1019.9291381835938, 528.1989135742188], [948.3955078125, 505.13067626953125], [1025.65185546875, 548.3836059570312], [964.1328735351562, 525.3153686523438], [995.607666015625, 551.2671508789062], [974.1475830078125, 549.8253784179688], [998.4690551757812, 587.3112182617188], [981.3009643554688, 588.7529907226562], [997.038330078125, 613.2630004882812], [979.8702392578125, 632.0059204101562]]","[[842.3068237304688, 645.8877563476562], [840.8740844726562, 641.5667114257812], [842.3068237304688, 641.5667114257812], [815.08544921875, 641.5667114257812], [839.44140625, 641.5667114257812], [803.6238403320312, 663.1716918945312], [832.2778930664062, 660.291015625], [846.6049194335938, 670.3733520507812], [865.2300415039062, 676.1347045898438], [860.931884765625, 674.6943359375], [869.5281372070312, 674.6943359375], [792.1622314453125, 740.9495239257812], [817.9508666992188, 742.389892578125], [812.2201538085938, 794.2418212890625], [807.9219970703125, 804.3240966796875], [815.08544921875, 846.0936279296875], [793.594970703125, 863.3776245117188]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1013, 557]",None,None
71400,"[[996.7560424804688, 485.4058837890625], [1001.0260009765625, 482.5416564941406], [993.9094848632812, 481.10955810546875], [1005.2958374023438, 485.4058837890625], [988.21630859375, 482.5416564941406], [1008.1423950195312, 505.4555358886719], [976.8299560546875, 498.2949523925781], [1019.5287475585938, 522.6409912109375], [948.3640747070312, 504.0234375], [1025.2220458984375, 542.6907348632812], [964.0203247070312, 522.6409912109375], [995.332763671875, 549.851318359375], [973.9833374023438, 548.419189453125], [998.1793823242188, 588.5184936523438], [981.0997924804688, 588.5184936523438], [995.332763671875, 614.2966918945312], [981.0997924804688, 631.4821166992188]]","[[842.388916015625, 645.6386108398438], [842.388916015625, 641.3291015625], [842.388916015625, 641.3291015625], [815.137939453125, 641.3291015625], [839.5204467773438, 641.3291015625], [803.6639404296875, 662.8768310546875], [833.7833251953125, 660.0037841796875], [846.6917114257812, 670.059326171875], [865.3370361328125, 675.805419921875], [861.0343017578125, 674.368896484375], [869.6398315429688, 674.368896484375], [792.1898803710938, 740.4484252929688], [818.0065307617188, 741.885009765625], [810.8352661132812, 793.599365234375], [809.4009399414062, 803.6549682617188], [815.137939453125, 846.7503662109375], [793.6240844726562, 863.9884643554688]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1011, 551]",None,None
71401,"[[996.952392578125, 485.51141357421875], [1001.2234497070312, 481.2156066894531], [994.10498046875, 481.2156066894531], [1005.4945678710938, 484.0794677734375], [986.9864501953125, 482.64752197265625], [1008.3419799804688, 504.1265869140625], [975.5967407226562, 498.3988342285156], [1019.7315673828125, 522.7417602539062], [949.9701538085938, 504.1265869140625], [1025.426513671875, 541.3568725585938], [964.2071533203125, 522.7417602539062], [995.5286254882812, 549.9485473632812], [974.173095703125, 548.5166015625], [998.3760375976562, 585.7469482421875], [981.2916259765625, 588.6107788085938], [995.5286254882812, 614.3856201171875], [979.8678588867188, 631.5689086914062]]","[[841.9153442382812, 646.4725341796875], [841.9153442382812, 640.706787109375], [841.9153442382812, 640.706787109375], [816.2623291015625, 640.706787109375], [839.0650634765625, 640.706787109375], [804.8609619140625, 662.3284301757812], [833.3643188476562, 660.886962890625], [844.7657470703125, 669.53564453125], [866.1431884765625, 676.7427978515625], [860.4425659179688, 673.8599243164062], [870.418701171875, 673.8599243164062], [792.034423828125, 740.166259765625], [817.6875, 743.0491333007812], [810.5616455078125, 792.0581665039062], [809.1365356445312, 806.4725341796875], [814.8370971679688, 846.8328857421875], [793.4596557617188, 862.6887817382812]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1010, 545]",None,None
71402,"[[996.7246704101562, 485.0514221191406], [1001.0042724609375, 480.7561950683594], [993.8716430664062, 480.7561950683594], [1005.2838745117188, 483.6196594238281], [986.739013671875, 482.1879577636719], [1006.7103271484375, 503.6640625], [976.75341796875, 497.93707275390625], [1018.1224975585938, 517.9814453125], [951.0760498046875, 503.6640625], [1026.681640625, 535.162353515625], [965.34130859375, 522.2766723632812], [995.2982177734375, 549.479736328125], [973.900390625, 548.0479736328125], [999.5778198242188, 583.8414916992188], [981.032958984375, 588.13671875], [996.7246704101562, 613.9080200195312], [981.032958984375, 632.5206298828125]]","[[841.7220458984375, 647.3776245117188], [841.7220458984375, 640.1724243164062], [841.7220458984375, 641.6134643554688], [817.2654418945312, 640.1724243164062], [840.283447265625, 641.6134643554688], [805.7564697265625, 661.7880859375], [834.5289306640625, 661.7880859375], [844.5993041992188, 668.9932861328125], [864.739990234375, 677.6394653320312], [858.9855346679688, 673.31640625], [870.4945068359375, 674.7573852539062], [792.8087768554688, 739.604248046875], [818.7040405273438, 742.486328125], [810.0723266601562, 791.481689453125], [810.0723266601562, 805.8921508789062], [814.3881225585938, 846.2413330078125], [792.8087768554688, 864.9747924804688]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1008, 539]",None,None
71403,"[[995.72998046875, 484.4787292480469], [1000.0357666015625, 481.6040954589844], [992.8594360351562, 480.16680908203125], [1004.3414916992188, 483.0414123535156], [987.118408203125, 481.6040954589844], [1007.2120361328125, 501.7264709472656], [977.071533203125, 497.4145202636719], [1024.4351806640625, 526.1607666015625], [951.2368774414062, 504.60107421875], [1024.4351806640625, 546.2831420898438], [964.1542358398438, 521.8488159179688], [995.72998046875, 549.1577758789062], [974.2010498046875, 546.2831420898438], [998.6004638671875, 587.9652099609375], [981.3773193359375, 587.9652099609375], [997.1652221679688, 613.8368530273438], [981.3773193359375, 632.5219116210938]]","[[842.6845703125, 646.680419921875], [842.6845703125, 640.9166870117188], [842.6845703125, 640.9166870117188], [816.992919921875, 640.9166870117188], [839.8299560546875, 640.9166870117188], [805.5744018554688, 662.5307006835938], [834.1206665039062, 661.0897827148438], [845.5391845703125, 669.7353515625], [865.5215454101562, 676.9400634765625], [861.2396850585938, 675.4990844726562], [872.6581420898438, 675.4990844726562], [792.728515625, 740.341064453125], [819.8475341796875, 743.2229614257812], [811.2836303710938, 792.2146606445312], [809.8563232421875, 805.1830444335938], [815.5655517578125, 846.9700927734375], [792.728515625, 864.2612915039062]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1007, 532]",None,None
71404,"[[996.3607177734375, 484.4741516113281], [999.2350463867188, 480.15069580078125], [992.0493774414062, 480.15069580078125], [1003.5464477539062, 483.032958984375], [986.3009033203125, 481.5918273925781], [1006.420654296875, 503.20904541015625], [976.240966796875, 498.8856201171875], [1023.6661987304688, 521.9440307617188], [954.68408203125, 506.09136962890625], [1012.169189453125, 506.09136962890625], [964.743896484375, 524.8262939453125], [994.9236450195312, 549.3258666992188], [973.3667602539062, 547.8846435546875], [997.7979125976562, 586.7957153320312], [980.5523681640625, 586.7957153320312], [996.3607177734375, 614.1775512695312], [980.5523681640625, 631.4713134765625]]","[[843.35595703125, 646.8641357421875], [843.35595703125, 641.1139526367188], [843.35595703125, 642.551513671875], [817.7060546875, 641.1139526367188], [841.9309692382812, 642.551513671875], [804.881103515625, 664.114501953125], [836.2310180664062, 662.677001953125], [846.2059326171875, 669.8646240234375], [869.005859375, 679.9273681640625], [867.580810546875, 679.9273681640625], [873.2808227539062, 679.9273681640625], [793.481201171875, 741.7412109375], [820.5560913085938, 744.6163330078125], [810.5811157226562, 792.0548095703125], [810.5811157226562, 806.4302368164062], [814.8560791015625, 846.6810302734375], [792.05615234375, 865.3689575195312]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1005, 526]",None,None
71405,"[[996.3734130859375, 484.2715759277344], [999.2462158203125, 479.9779357910156], [992.0641479492188, 479.9779357910156], [1003.5554809570312, 482.8403625488281], [986.3184814453125, 481.4091796875], [1006.4282836914062, 502.8775329589844], [976.2635498046875, 498.5838317871094], [1023.6652221679688, 522.9146728515625], [954.7173461914062, 505.739990234375], [1012.1738891601562, 507.17120361328125], [964.772216796875, 524.345947265625], [994.93701171875, 550.1079711914062], [973.3907470703125, 547.2454833984375], [997.809814453125, 585.8885498046875], [980.57275390625, 587.31982421875], [996.3734130859375, 614.5130615234375], [980.57275390625, 631.6878051757812]]","[[843.4802856445312, 647.0494384765625], [843.4802856445312, 641.3019409179688], [843.4802856445312, 642.7388305664062], [817.7872924804688, 641.3019409179688], [842.0529174804688, 642.7388305664062], [804.9407348632812, 664.2918701171875], [836.3433227539062, 662.85498046875], [846.3350830078125, 670.039306640625], [869.17333984375, 680.0973510742188], [867.7459716796875, 680.0973510742188], [873.45556640625, 680.0973510742188], [793.5215454101562, 741.8826293945312], [820.64208984375, 744.75634765625], [810.6502685546875, 792.1729125976562], [810.6502685546875, 805.104736328125], [814.9324951171875, 846.7738647460938], [792.09423828125, 865.453125]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[1004, 520]",None,None
