frame,top,bottom,court,net,ball,pos,type
36541,"[[1093.2547607421875, 382.0760192871094], [1096.130615234375, 377.7510986328125], [1088.9407958984375, 377.7510986328125], [1101.8824462890625, 380.6344299316406], [1083.18896484375, 379.1927490234375], [1114.82421875, 395.0508117675781], [1074.5611572265625, 390.72589111328125], [1139.2696533203125, 422.4420166015625], [1051.5537109375, 412.3504943847656], [1127.765869140625, 438.30010986328125], [1045.8017578125, 431.0918884277344], [1114.82421875, 439.74169921875], [1090.3787841796875, 439.74169921875], [1106.1964111328125, 478.6661071777344], [1080.31298828125, 481.54937744140625], [1109.0723876953125, 534.89013671875], [1091.8167724609375, 501.73236083984375]]","[[932.5675659179688, 551.4154052734375], [936.8861694335938, 544.2216186523438], [928.2490234375, 545.6603393554688], [921.0513916015625, 541.3441162109375], [944.0838623046875, 535.5890502929688], [912.4141845703125, 572.9966430664062], [965.6767578125, 555.7315673828125], [896.5794067382812, 604.649169921875], [995.9068603515625, 567.2416381835938], [918.1723022460938, 608.9653930664062], [982.9510498046875, 593.13916015625], [938.3257446289062, 650.6892700195312], [968.5557861328125, 646.3729858398438], [925.3699951171875, 712.5556030273438], [961.358154296875, 702.484375], [923.930419921875, 771.5443725585938], [951.2814331054688, 764.3507080078125]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[917, 627]",None,None
36542,"[[1093.3499755859375, 381.47662353515625], [1096.227783203125, 377.1712951660156], [1089.0330810546875, 377.1712951660156], [1101.983642578125, 380.04150390625], [1083.27734375, 378.6064147949219], [1114.9339599609375, 394.39239501953125], [1074.6436767578125, 390.0871276855469], [1139.39599609375, 423.0942077636719], [1051.6207275390625, 411.6134948730469], [1127.8843994140625, 438.8802490234375], [1045.864990234375, 430.2696838378906], [1114.9339599609375, 438.8802490234375], [1090.4720458984375, 438.8802490234375], [1106.3004150390625, 477.627685546875], [1080.3994140625, 480.4978942871094], [1109.17822265625, 535.0313110351562], [1091.9110107421875, 502.0242004394531]]","[[932.6144409179688, 551.3076782226562], [936.934814453125, 544.1094360351562], [928.2941284179688, 545.549072265625], [921.0935668945312, 541.2301635742188], [944.13525390625, 535.4715576171875], [912.4530029296875, 572.9024047851562], [965.7368774414062, 555.6265869140625], [896.6117553710938, 604.5745849609375], [995.9791870117188, 567.143798828125], [918.21337890625, 608.8935546875], [983.0182495117188, 593.0574340820312], [938.3748779296875, 650.6433715820312], [968.6170654296875, 646.3244018554688], [925.4139404296875, 712.5481567382812], [961.4166259765625, 702.4706420898438], [923.9738159179688, 771.5736694335938], [951.3358764648438, 762.935791015625]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[917, 628]",None,None
36543,"[[1092.7769775390625, 381.5348205566406], [1095.622802734375, 377.2282409667969], [1088.5084228515625, 377.2282409667969], [1101.3143310546875, 380.0992736816406], [1082.8170166015625, 378.66375732421875], [1115.54296875, 394.4545593261719], [1074.27978515625, 390.1479797363281], [1139.7318115234375, 423.1651916503906], [1051.5137939453125, 411.6809387207031], [1126.926025390625, 438.9560241699219], [1045.8223876953125, 430.3428649902344], [1114.1201171875, 438.9560241699219], [1089.9312744140625, 438.9560241699219], [1105.5828857421875, 479.15087890625], [1079.97119140625, 480.58642578125], [1108.4285888671875, 535.1365356445312], [1092.7769775390625, 502.1193542480469]]","[[932.7373046875, 551.1505737304688], [937.0491943359375, 543.9473266601562], [928.425537109375, 545.3880004882812], [921.2392578125, 541.0660400390625], [944.2354736328125, 535.3034057617188], [912.6156005859375, 572.7603759765625], [965.7943725585938, 556.9132080078125], [896.8057861328125, 604.4547729492188], [995.9769897460938, 566.997802734375], [918.36474609375, 608.7767333984375], [983.0416259765625, 592.9295043945312], [938.4863891601562, 650.5556640625], [968.6689453125, 646.2337036132812], [925.5509643554688, 712.5037231445312], [960.0453491210938, 703.8598022460938], [924.11376953125, 771.5704956054688], [951.4218139648438, 762.9266357421875]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[917, 628]",None,None
36544,"[[1092.9736328125, 381.52020263671875], [1095.822265625, 377.20599365234375], [1088.700927734375, 377.20599365234375], [1101.5191650390625, 380.0821228027344], [1083.0040283203125, 378.6440734863281], [1115.7615966796875, 394.4629211425781], [1074.45849609375, 390.148681640625], [1139.9737548828125, 423.22454833984375], [1051.670654296875, 411.7199401855469], [1127.1556396484375, 439.04345703125], [1045.9736328125, 428.9768981933594], [1114.33740234375, 439.04345703125], [1090.125244140625, 439.04345703125], [1105.7919921875, 479.3096923828125], [1080.155517578125, 480.74774169921875], [1108.640380859375, 535.3948364257812], [1091.549560546875, 502.3190002441406]]","[[932.7576293945312, 551.3871459960938], [937.0691528320312, 544.1839599609375], [928.4462280273438, 545.6245727539062], [921.2604370117188, 541.3026733398438], [944.2548217773438, 535.5401000976562], [912.6375122070312, 572.9967041015625], [965.8121337890625, 555.7090454101562], [896.8287963867188, 604.690673828125], [995.9923706054688, 567.234130859375], [918.3861083984375, 609.0125732421875], [983.0579833984375, 593.1655883789062], [938.5062255859375, 650.7910766601562], [968.6864624023438, 646.4691162109375], [925.5718994140625, 712.7384033203125], [960.0635375976562, 704.0946044921875], [924.1347045898438, 771.8045043945312], [951.4406127929688, 761.7200317382812]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[917, 623]",None,None
36545,"[[1093.02392578125, 381.4786682128906], [1095.874267578125, 377.1664733886719], [1088.7484130859375, 377.1664733886719], [1101.5748291015625, 380.0412902832031], [1083.0478515625, 378.6038513183594], [1115.8265380859375, 394.4153137207031], [1074.496826171875, 390.1031188964844], [1140.0543212890625, 423.16339111328125], [1051.6942138671875, 411.6641845703125], [1127.2279052734375, 438.974853515625], [1045.9935302734375, 428.9129943847656], [1114.4013671875, 438.974853515625], [1090.173583984375, 438.974853515625], [1105.8504638671875, 480.6595764160156], [1080.1973876953125, 480.6595764160156], [1108.70068359375, 535.2809448242188], [1091.5987548828125, 502.22064208984375]]","[[932.90869140625, 551.313232421875], [937.2285766601562, 544.112060546875], [928.588623046875, 545.5523071289062], [919.9487915039062, 541.2315673828125], [944.428466796875, 535.4706420898438], [912.7489013671875, 572.916748046875], [966.0282592773438, 555.6339721679688], [896.9090576171875, 604.6018676757812], [996.2678833007812, 567.1558227539062], [918.5087280273438, 608.9225463867188], [983.3079833984375, 593.0800170898438], [938.6685180664062, 650.6893920898438], [968.9081420898438, 646.36865234375], [925.7086791992188, 712.619384765625], [960.268310546875, 703.97802734375], [924.2686767578125, 771.6690063476562], [951.62841796875, 761.5873413085938]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[917, 618]",None,None
36546,"[[1092.819091796875, 383.2767333984375], [1095.6939697265625, 377.54730224609375], [1088.5069580078125, 377.54730224609375], [1102.8809814453125, 378.9797058105469], [1082.75732421875, 378.9797058105469], [1114.38037109375, 394.7354431152344], [1075.5701904296875, 389.0060729980469], [1140.253662109375, 423.3823547363281], [1051.13427734375, 411.923583984375], [1127.3170166015625, 437.7057800292969], [1045.384521484375, 430.5440368652344], [1114.38037109375, 437.7057800292969], [1089.9443359375, 439.13812255859375], [1107.1932373046875, 480.6761169433594], [1079.8824462890625, 480.6761169433594], [1108.630615234375, 535.1051635742188], [1092.819091796875, 500.7289123535156]]","[[932.2938232421875, 550.3065185546875], [936.6088256835938, 544.5545654296875], [927.978759765625, 545.9925537109375], [919.3487548828125, 540.2405395507812], [943.800537109375, 535.9265747070312], [912.1570434570312, 574.75244140625], [966.8139038085938, 556.0584716796875], [897.773681640625, 603.5123291015625], [995.5806884765625, 566.1244506835938], [917.910400390625, 609.2642822265625], [982.6356201171875, 593.4463500976562], [938.0471801757812, 650.9661254882812], [969.6906127929688, 646.6521606445312], [926.5404663085938, 712.7998657226562], [961.060546875, 702.73388671875], [923.6637573242188, 771.7576293945312], [950.9921875, 763.1296997070312]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[917, 613]",None,None
36547,"[[1092.6248779296875, 382.758056640625], [1096.904541015625, 378.4513244628906], [1088.3453369140625, 378.4513244628906], [1102.610595703125, 378.4513244628906], [1084.0657958984375, 378.4513244628906], [1115.44921875, 394.2425231933594], [1075.5067138671875, 389.93585205078125], [1141.1265869140625, 422.9537658691406], [1051.255859375, 411.46929931640625], [1126.861328125, 437.30938720703125], [1045.5498046875, 430.131591796875], [1114.022705078125, 438.74493408203125], [1089.7718505859375, 438.74493408203125], [1106.89013671875, 480.37628173828125], [1079.7862548828125, 480.37628173828125], [1108.316650390625, 534.9276123046875], [1092.6248779296875, 500.47412109375]]","[[932.8937377929688, 548.563232421875], [937.2098999023438, 539.9298095703125], [942.9647827148438, 534.1741943359375], [919.9452514648438, 539.9298095703125], [944.4035034179688, 535.6130981445312], [912.751708984375, 574.4633178710938], [967.4229736328125, 555.7576904296875], [898.3645629882812, 604.6802368164062], [996.1973876953125, 564.3910522460938], [918.5065307617188, 610.435791015625], [983.2489013671875, 591.7301025390625], [938.648681640625, 650.7249145507812], [968.8617553710938, 647.8471069335938], [927.1388549804688, 711.1585693359375], [961.6681518554688, 703.964111328125], [924.2614135742188, 771.59228515625], [950.1583251953125, 764.3977661132812]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[917, 609]",None,None
36548,"[[1092.6787109375, 381.6819763183594], [1095.554931640625, 377.38409423828125], [1088.364501953125, 377.38409423828125], [1102.7451171875, 378.8167419433594], [1084.0504150390625, 377.38409423828125], [1115.6876220703125, 393.1429748535156], [1075.4219970703125, 388.8451232910156], [1140.134765625, 421.7954406738281], [1052.4129638671875, 410.33447265625], [1127.192138671875, 437.5543212890625], [1046.6607666015625, 428.9585876464844], [1114.2496337890625, 438.9869689941406], [1089.8026123046875, 438.9869689941406], [1107.059326171875, 481.9656982421875], [1078.2982177734375, 480.5330505371094], [1108.4974365234375, 536.4053955078125], [1092.6787109375, 500.5898132324219]]","[[932.0986938476562, 549.2145385742188], [936.3751220703125, 543.4637451171875], [943.5025634765625, 533.3997802734375], [919.2693481445312, 540.5883178710938], [943.5025634765625, 536.2752075195312], [912.1419677734375, 575.0933227539062], [967.7357788085938, 554.9653930664062], [897.88720703125, 605.2852172851562], [996.245361328125, 563.5916748046875], [919.2693481445312, 611.0360717773438], [983.416015625, 590.9081420898438], [939.2261352539062, 649.854248046875], [969.1611938476562, 648.41650390625], [926.3967895507812, 711.6757202148438], [960.6083374023438, 705.9248657226562], [923.5457763671875, 770.6217651367188], [952.055419921875, 761.9955444335938]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[922, 585]",None,None
36549,"[[1092.8812255859375, 381.6522216796875], [1095.7462158203125, 377.3523864746094], [1088.583740234375, 377.3523864746094], [1102.90869140625, 378.7856750488281], [1084.2862548828125, 377.3523864746094], [1115.801025390625, 393.1183776855469], [1075.69140625, 388.8185729980469], [1140.1534423828125, 421.7839050292969], [1052.771484375, 410.31768798828125], [1127.260986328125, 437.5499267578125], [1045.609130859375, 428.95025634765625], [1112.93603515625, 438.9831848144531], [1090.0162353515625, 438.9831848144531], [1107.2061767578125, 480.548095703125], [1078.5562744140625, 480.548095703125], [1108.6385498046875, 536.44580078125], [1091.44873046875, 500.61395263671875]]","[[932.08984375, 551.0485229492188], [936.407958984375, 543.8535766601562], [943.6046142578125, 533.7805786132812], [919.1356811523438, 540.9755859375], [943.6046142578125, 535.2196044921875], [910.4995727539062, 575.5113525390625], [966.6343383789062, 555.365478515625], [898.9848022460938, 604.2911987304688], [995.42138671875, 563.9993896484375], [917.6963500976562, 608.6082153320312], [982.4672241210938, 592.7792358398438], [939.28662109375, 650.3389282226562], [969.5130004882812, 646.02197265625], [926.3324584960938, 712.215576171875], [960.8768920898438, 703.5816650390625], [923.4537353515625, 772.6531982421875], [950.8014526367188, 764.019287109375]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[927, 562]",None,None
36550,"[[1092.562744140625, 381.44879150390625], [1096.86474609375, 377.1243896484375], [1088.2606201171875, 377.1243896484375], [1102.6009521484375, 378.5658874511719], [1083.95849609375, 377.1243896484375], [1115.5072021484375, 394.4219665527344], [1075.3543701171875, 388.6561279296875], [1139.8857421875, 421.8097229003906], [1055.2779541015625, 407.3951416015625], [1126.9793701171875, 437.66583251953125], [1046.6737060546875, 429.01702880859375], [1114.0731201171875, 439.1072692871094], [1089.694580078125, 437.66583251953125], [1106.9029541015625, 480.9096984863281], [1078.222412109375, 480.9096984863281], [1108.3370361328125, 535.6852416992188], [1092.562744140625, 501.0901184082031]]","[[932.6708374023438, 547.501708984375], [936.9547729492188, 540.3125610351562], [942.66650390625, 534.561279296875], [919.8193359375, 540.3125610351562], [942.66650390625, 535.9990844726562], [911.2515869140625, 576.2581787109375], [966.9417114257812, 554.6907958984375], [898.4000854492188, 603.5768432617188], [995.5007934570312, 561.8799438476562], [915.5354614257812, 602.1390380859375], [982.649169921875, 592.0742797851562], [938.3826904296875, 649.5872802734375], [969.7976684570312, 648.1494140625], [926.9591064453125, 711.4137573242188], [961.2298583984375, 705.6624145507812], [924.1031494140625, 771.8024291992188], [951.2341918945312, 763.1754150390625]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[933, 538]",None,None
