frame,top,bottom,court,net,ball,pos,type
100673,"[[987.6881713867188, 373.77252197265625], [991.9598388671875, 369.47509765625], [984.8403930664062, 368.0426025390625], [997.6553344726562, 370.9075622558594], [979.1448974609375, 370.9075622558594], [1007.6224975585938, 392.3947448730469], [970.6016235351562, 393.82720947265625], [1020.4374389648438, 416.7468566894531], [954.93896484375, 418.1793212890625], [1024.7091064453125, 442.53143310546875], [950.6672973632812, 445.3963928222656], [997.6553344726562, 449.6938171386719], [976.297119140625, 449.6938171386719], [994.8075561523438, 482.6408386230469], [977.7210693359375, 492.66815185546875], [983.4165649414062, 521.3177490234375], [974.8732299804688, 538.5074462890625]]","[[804.3842163085938, 590.2827758789062], [781.3701782226562, 577.3576049804688], [802.94580078125, 584.5382690429688], [779.931884765625, 583.1021118164062], [801.5074462890625, 585.974365234375], [762.67138671875, 604.6441040039062], [810.1376342773438, 608.9524536132812], [738.2189331054688, 617.5692749023438], [851.8505859375, 624.7499389648438], [743.972412109375, 614.697021484375], [853.2889404296875, 606.0802612304688], [754.0410766601562, 682.1951904296875], [781.3701782226562, 686.5036010742188], [779.931884765625, 735.33203125], [779.931884765625, 741.0765380859375], [784.2469482421875, 778.416015625], [766.9864501953125, 799.9579467773438]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1022, 463]",None,None
100674,"[[989.2023315429688, 373.1573486328125], [992.0421752929688, 368.83795166015625], [984.9425659179688, 368.83795166015625], [999.141845703125, 370.2777404785156], [980.6827392578125, 370.2777404785156], [1007.6614379882812, 393.3146057128906], [970.7432861328125, 393.3146057128906], [1020.4408569335938, 417.7912902832031], [953.7040405273438, 419.2311096191406], [1024.70068359375, 443.7077941894531], [950.8641967773438, 445.1475524902344], [996.302001953125, 450.90679931640625], [976.4229125976562, 450.90679931640625], [990.622314453125, 495.5407409667969], [977.8428955078125, 492.6611328125], [983.5225830078125, 521.4572143554688], [975.0030517578125, 535.8552856445312]]","[[803.3475341796875, 590.6307983398438], [781.9699096679688, 577.6984252929688], [803.3475341796875, 584.8831176757812], [779.11962890625, 583.4461669921875], [801.9224243164062, 586.320068359375], [762.017578125, 605.0001220703125], [810.473388671875, 609.3109130859375], [737.78955078125, 617.9325561523438], [851.803466796875, 625.1171875], [743.490234375, 615.0587158203125], [853.2286376953125, 605.0001220703125], [753.4664916992188, 681.1575927734375], [781.9699096679688, 688.34228515625], [779.11962890625, 735.7610473632812], [779.11962890625, 742.9456787109375], [784.8203125, 778.8690185546875], [766.2930297851562, 801.8599853515625]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1022, 463]",None,None
100675,"[[988.2853393554688, 372.950439453125], [992.5460205078125, 368.6481628417969], [985.44482421875, 368.6481628417969], [998.2269287109375, 371.51629638671875], [979.7638549804688, 370.08221435546875], [1006.748291015625, 393.0277404785156], [969.822265625, 393.0277404785156], [1020.95068359375, 417.4073486328125], [954.19970703125, 418.8414611816406], [1025.2113037109375, 443.2210693359375], [951.3592529296875, 444.6551513671875], [996.8067016601562, 451.8255920410156], [975.503173828125, 450.3915100097656], [991.1257934570312, 491.9802551269531], [978.3436279296875, 493.4143371582031], [982.6043090820312, 522.0962524414062], [975.503173828125, 537.8712768554688]]","[[803.6006469726562, 590.9500732421875], [782.1452026367188, 579.4647827148438], [803.6006469726562, 585.2074584960938], [779.2845458984375, 583.7717895507812], [802.1702880859375, 586.6431274414062], [763.5506591796875, 603.87109375], [810.75244140625, 609.6137084960938], [737.80419921875, 618.2277221679688], [852.2327880859375, 625.406005859375], [744.9559936523438, 613.9207153320312], [853.6630859375, 606.742431640625], [753.5381469726562, 681.3969116210938], [782.1452026367188, 688.5751953125], [785.0059814453125, 730.20947265625], [779.2845458984375, 743.1304931640625], [783.57568359375, 777.5863647460938], [766.4113159179688, 800.5570068359375]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1022, 463]",None,None
100676,"[[988.9766235351562, 373.3791198730469], [993.271728515625, 369.05999755859375], [984.6813354492188, 367.6202697753906], [998.9987182617188, 370.49969482421875], [980.38623046875, 370.49969482421875], [1007.589111328125, 393.5352478027344], [970.3640747070312, 393.5352478027344], [1020.4747314453125, 418.0104675292969], [954.614990234375, 418.0104675292969], [1023.3381958007812, 443.9254455566406], [951.7515869140625, 445.3651428222656], [996.13525390625, 451.1240539550781], [974.6592407226562, 449.684326171875], [990.4083251953125, 495.7554016113281], [977.522705078125, 492.8759460449219], [983.2496948242188, 521.6703491210938], [974.6592407226562, 536.0675048828125]]","[[803.751953125, 591.8429565429688], [800.8778076171875, 588.9661254882812], [803.751953125, 584.65087890625], [780.7592163085938, 583.2124633789062], [802.31494140625, 587.5277099609375], [763.5145874023438, 603.3504028320312], [809.5001220703125, 609.1040649414062], [737.6477661132812, 617.734619140625], [851.174560546875, 626.3651733398438], [744.8330078125, 614.8577880859375], [854.048583984375, 607.6656494140625], [753.455322265625, 681.0252685546875], [782.1962280273438, 688.2174072265625], [785.0703735351562, 729.9317626953125], [779.3222045898438, 742.8775634765625], [785.0703735351562, 777.3997192382812], [764.95166015625, 804.7297973632812]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1022, 463]",None,None
100677,"[[988.6793823242188, 373.34796142578125], [992.9473266601562, 369.03509521484375], [985.8340454101562, 369.03509521484375], [998.637939453125, 370.47271728515625], [980.1434936523438, 370.47271728515625], [1008.5964965820312, 393.4747009277344], [970.1849365234375, 393.4747009277344], [1019.9776611328125, 417.9142761230469], [954.5357666015625, 417.9142761230469], [1024.24560546875, 443.7914733886719], [951.6904907226562, 445.2291259765625], [995.7926635742188, 450.9796142578125], [975.87548828125, 449.5419616699219], [990.10205078125, 495.5459289550781], [977.2982177734375, 492.6706848144531], [982.98876953125, 521.4231567382812], [974.452880859375, 537.2369995117188]]","[[803.6073608398438, 590.92822265625], [800.7390747070312, 588.052978515625], [803.6073608398438, 585.1777954101562], [779.2276000976562, 583.7401733398438], [802.1732177734375, 588.052978515625], [763.4525756835938, 603.86669921875], [807.9096069335938, 608.1795654296875], [737.638671875, 618.2427978515625], [850.9326171875, 625.4308471679688], [744.8092041015625, 613.9299926757812], [853.8008422851562, 608.1795654296875], [753.413818359375, 681.4976196289062], [782.0958251953125, 688.6856689453125], [784.9640502929688, 730.3763427734375], [779.2276000976562, 743.3148803710938], [784.9640502929688, 777.8175048828125], [766.3206787109375, 802.2568969726562]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1022, 463]",None,None
100678,"[[989.874267578125, 374.6090087890625], [992.7125244140625, 368.8804931640625], [985.6168212890625, 368.8804931640625], [998.3890380859375, 371.7447204589844], [979.9403076171875, 370.3126220703125], [1008.322998046875, 393.2267150878906], [970.00634765625, 393.2267150878906], [1019.676025390625, 417.5730285644531], [954.3959350585938, 417.5730285644531], [1022.5142822265625, 444.7835693359375], [951.5576782226562, 444.7835693359375], [995.55078125, 450.5120849609375], [974.2637939453125, 447.6478271484375], [989.874267578125, 492.0439758300781], [977.10205078125, 490.61181640625], [982.778564453125, 520.6866455078125], [974.2637939453125, 533.5758056640625]]","[[803.8382568359375, 591.2686767578125], [800.9718017578125, 588.3985595703125], [803.8382568359375, 585.5285034179688], [779.4730224609375, 584.0934448242188], [802.405029296875, 586.9635009765625], [763.7072143554688, 604.18408203125], [808.1380004882812, 608.4891967773438], [737.9087524414062, 618.5345458984375], [852.5687866210938, 625.709716796875], [745.0750122070312, 614.2293701171875], [854.0020141601562, 607.0541381835938], [753.6744995117188, 681.6764526367188], [782.3395385742188, 687.4166259765625], [782.3395385742188, 731.9030151367188], [779.4730224609375, 743.3834228515625], [783.7727661132812, 777.824462890625], [765.1405029296875, 803.6552124023438]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1017, 455]",None,None
100679,"[[988.5345458984375, 374.0829772949219], [992.8067626953125, 369.76080322265625], [985.6864624023438, 369.76080322265625], [998.5029907226562, 371.2015380859375], [979.9901733398438, 371.2015380859375], [1007.0473022460938, 392.812255859375], [970.0217895507812, 392.812255859375], [1018.4398193359375, 417.30438232421875], [954.3571166992188, 417.30438232421875], [1021.2879028320312, 444.677978515625], [951.509033203125, 443.23724365234375], [994.2307739257812, 450.4408264160156], [974.2939453125, 449.0000915527344], [989.9585571289062, 492.2215576171875], [974.2939453125, 489.34014892578125], [982.83837890625, 521.035888671875], [974.2939453125, 532.5615844726562]]","[[803.8839721679688, 591.2025146484375], [801.0115356445312, 588.330322265625], [803.8839721679688, 584.0220336914062], [780.9047241210938, 584.0220336914062], [802.44775390625, 586.8942260742188], [763.6702270507812, 604.1273803710938], [808.1925659179688, 608.4356689453125], [737.8184814453125, 618.4883422851562], [852.7150268554688, 627.10498046875], [743.5632934570312, 614.1800537109375], [854.1513061523438, 608.4356689453125], [753.61669921875, 681.6766967773438], [780.9047241210938, 687.4210815429688], [782.3409423828125, 731.9400634765625], [779.4684448242188, 741.9927978515625], [783.7770385742188, 777.8952026367188], [765.1063842773438, 803.7449951171875]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1013, 447]",None,None
100680,"[[989.6954345703125, 374.3517150878906], [993.98095703125, 370.0367126464844], [985.409912109375, 370.0367126464844], [999.695068359375, 371.47503662109375], [979.6957397460938, 370.0367126464844], [1006.837646484375, 393.05010986328125], [969.6961059570312, 391.6117248535156], [1018.2658081054688, 417.5018005371094], [953.9824829101562, 416.0634765625], [1019.6943359375, 444.8302001953125], [951.12548828125, 443.391845703125], [993.98095703125, 449.14520263671875], [973.981689453125, 449.14520263671875], [991.1239624023438, 490.8569030761719], [973.981689453125, 489.4186096191406], [983.9813232421875, 521.06201171875], [973.981689453125, 532.5686645507812]]","[[805.3424072265625, 589.3705444335938], [782.3489990234375, 580.7542724609375], [803.9053344726562, 585.0623779296875], [780.9119873046875, 582.1903076171875], [803.9053344726562, 586.4984130859375], [763.6669921875, 602.294921875], [809.6536865234375, 608.0390625], [739.2365112304688, 616.6553955078125], [852.7662353515625, 626.7077026367188], [743.5477294921875, 615.2192993164062], [854.2033081054688, 610.9111938476562], [753.607421875, 679.84130859375], [780.9119873046875, 687.0215454101562], [783.7861328125, 730.1028442382812], [779.4749145507812, 741.5912475585938], [783.7861328125, 778.9283447265625], [765.1040649414062, 804.7770385742188]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1009, 439]",None,None
100681,"[[989.4003295898438, 373.7215576171875], [993.6574096679688, 369.41937255859375], [985.1432495117188, 369.41937255859375], [999.33349609375, 370.8534240722656], [979.4671020507812, 370.8534240722656], [1006.4285888671875, 393.79833984375], [969.533935546875, 390.93023681640625], [1016.36181640625, 416.7432861328125], [952.505615234375, 415.3092346191406], [1019.1998291015625, 442.55633544921875], [952.505615234375, 442.55633544921875], [995.076416015625, 448.2925720214844], [973.791015625, 446.8585205078125], [993.6574096679688, 488.4461975097656], [973.791015625, 488.4461975097656], [983.7241821289062, 521.4295043945312], [973.791015625, 531.4679565429688]]","[[805.02978515625, 588.5401000976562], [800.7356567382812, 585.6605834960938], [803.598388671875, 582.7810668945312], [780.6968994140625, 582.7810668945312], [802.1670532226562, 585.6605834960938], [763.520751953125, 604.3773803710938], [810.7551879882812, 608.6966552734375], [739.1878662109375, 617.3351440429688], [852.2640380859375, 624.533935546875], [743.4819946289062, 614.4556884765625], [853.6954345703125, 605.8170776367188], [753.5013427734375, 680.6842651367188], [780.6968994140625, 686.4432983398438], [780.6968994140625, 733.9551391601562], [779.2655639648438, 742.5936889648438], [783.5595703125, 777.1477661132812], [766.3834838867188, 801.6235961914062]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1004, 432]",None,None
100682,"[[988.5789794921875, 373.2406921386719], [992.8417358398438, 368.9156494140625], [985.7371215820312, 368.9156494140625], [998.5255126953125, 371.7989807128906], [978.6325073242188, 370.3573303222656], [1005.630126953125, 393.42413330078125], [968.68603515625, 390.540771484375], [1015.57666015625, 415.0492248535156], [948.79296875, 412.1658630371094], [1016.9976196289062, 440.9993591308594], [953.0557861328125, 439.55767822265625], [994.2626953125, 448.2077331542969], [971.5278930664062, 448.2077331542969], [997.1045532226562, 479.924560546875], [972.9487915039062, 488.5746154785156], [984.3162841796875, 520.2914428710938], [974.3697509765625, 533.2664794921875]]","[[805.8367309570312, 584.1741333007812], [801.5475463867188, 582.7387084960938], [804.406982421875, 582.7387084960938], [781.5314331054688, 581.30322265625], [802.977294921875, 584.1741333007812], [764.374755859375, 602.8350830078125], [811.5556030273438, 607.1414184570312], [738.6397705078125, 617.189697265625], [853.017578125, 624.366943359375], [744.358642578125, 614.3187255859375], [853.017578125, 604.2705688476562], [754.36669921875, 680.3497924804688], [781.5314331054688, 686.0916137695312], [784.390869140625, 729.1552734375], [780.1016845703125, 740.6389770507812], [784.390869140625, 777.9608764648438], [765.8045043945312, 802.3636474609375]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[1000, 424]",None,None
