frame,top,bottom,court,net,ball,pos,type
13727,"[[935.6519775390625, 321.06390380859375], [938.5123901367188, 315.3132629394531], [935.6519775390625, 315.3132629394531], [947.0934448242188, 313.8756103515625], [952.814208984375, 312.4379577636719], [951.384033203125, 328.2521667480469], [961.3953247070312, 323.939208984375], [959.965087890625, 362.7558288574219], [968.5462036132812, 316.75091552734375], [952.814208984375, 348.3793029785156], [969.9763793945312, 315.3132629394531], [984.2782592773438, 392.9465637207031], [972.8367919921875, 388.63360595703125], [974.2669677734375, 433.20086669921875], [968.5462036132812, 433.20086669921875], [972.8367919921875, 479.205810546875], [979.9877319335938, 470.57989501953125]]","[[760.44384765625, 556.3806762695312], [763.3161010742188, 550.6163940429688], [793.4754028320312, 554.9396362304688], [763.3161010742188, 556.3806762695312], [790.6031494140625, 556.3806762695312], [757.571533203125, 583.7611694335938], [804.9647216796875, 586.643310546875], [715.9229736328125, 602.4951782226562], [827.943115234375, 619.7880859375], [723.103759765625, 595.289794921875], [809.2731323242188, 601.0540771484375], [774.805419921875, 675.9900512695312], [804.9647216796875, 675.9900512695312], [771.93310546875, 742.2796020507812], [797.783935546875, 724.9866943359375], [777.6776733398438, 812.8923950195312], [794.9115600585938, 789.8351440429688]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[911, 322]",None,None
13728,"[[935.64404296875, 322.54278564453125], [938.5029907226562, 318.22943115234375], [934.2145385742188, 318.22943115234375], [948.5094604492188, 315.3538818359375], [951.3683471679688, 313.9161071777344], [949.9389038085938, 331.1695251464844], [959.9453125, 323.9805908203125], [958.515869140625, 362.80078125], [961.3748779296875, 367.1141357421875], [949.9389038085938, 349.8607177734375], [951.3683471679688, 355.6118469238281], [985.6760864257812, 390.1186828613281], [975.669677734375, 388.680908203125], [974.2401733398438, 436.1278076171875], [968.522216796875, 434.69000244140625], [972.8106689453125, 480.6991271972656], [979.9581909179688, 470.6346740722656]]","[[760.3870239257812, 555.6968994140625], [763.2613525390625, 551.3787841796875], [793.44189453125, 555.6968994140625], [763.2613525390625, 555.6968994140625], [790.567626953125, 555.6968994140625], [757.5126342773438, 583.0451049804688], [804.9392700195312, 587.3632202148438], [715.834716796875, 601.7569580078125], [827.9339599609375, 621.908203125], [723.0205688476562, 595.9994506835938], [809.2507934570312, 601.7569580078125], [774.7587280273438, 675.1651611328125], [804.9392700195312, 675.1651611328125], [771.8843383789062, 742.8158569335938], [797.75341796875, 725.5433349609375], [777.633056640625, 813.3453369140625], [794.8790893554688, 788.8759765625]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[902, 324]",None,None
13729,"[[934.4314575195312, 322.17633056640625], [938.7020263671875, 317.8686218261719], [934.4314575195312, 319.3045349121094], [948.666748046875, 314.9968566894531], [951.5137939453125, 313.5609130859375], [948.666748046875, 332.2276611328125], [960.054931640625, 323.61224365234375], [958.6314697265625, 362.3816223144531], [961.478515625, 366.6893005371094], [950.09033203125, 349.4584655761719], [951.5137939453125, 355.20208740234375], [985.6784057617188, 391.099609375], [975.7137451171875, 388.22784423828125], [974.2901611328125, 435.61260986328125], [968.5960693359375, 434.1766662597656], [972.86669921875, 480.1255187988281], [979.9842529296875, 471.5101318359375]]","[[760.3828125, 555.7401733398438], [763.2582397460938, 551.4220581054688], [793.4509887695312, 555.7401733398438], [763.2582397460938, 555.7401733398438], [790.575439453125, 555.7401733398438], [757.5072631835938, 583.0881958007812], [804.9529418945312, 587.40625], [715.8126831054688, 601.7999877929688], [827.9568481445312, 621.951171875], [723.0013427734375, 596.04248046875], [809.26611328125, 604.6787109375], [774.7601928710938, 675.2078247070312], [804.9529418945312, 675.2078247070312], [771.884765625, 742.858154296875], [797.76416015625, 725.5857543945312], [777.6357421875, 813.3872680664062], [794.888671875, 788.9180297851562]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[898, 326]",None,None
13730,"[[933.5338745117188, 324.4833679199219], [936.367431640625, 320.1846618652344], [930.7003784179688, 321.6175537109375], [947.7015380859375, 317.3188171386719], [949.1183471679688, 315.88592529296875], [947.7015380859375, 335.9466247558594], [959.03564453125, 324.4833679199219], [942.0345458984375, 338.81243896484375], [959.03564453125, 363.171875], [950.5350341796875, 353.1415100097656], [951.9518432617188, 356.00732421875], [987.3709716796875, 391.8300476074219], [976.0368041992188, 388.9642028808594], [974.6201171875, 436.25018310546875], [967.5363159179688, 436.25018310546875], [973.2033081054688, 480.6702880859375], [978.870361328125, 470.63995361328125]]","[[761.3966064453125, 554.9476928710938], [762.831787109375, 552.0654907226562], [792.970947265625, 553.506591796875], [762.831787109375, 554.9476928710938], [790.1006469726562, 557.8299560546875], [757.0910034179688, 582.3289184570312], [803.0174560546875, 585.211181640625], [715.4701538085938, 603.9456787109375], [828.85107421875, 621.2390747070312], [716.9053344726562, 599.6223754882812], [807.3230590820312, 605.3868408203125], [772.878173828125, 674.5604858398438], [805.8878173828125, 673.1193237304688], [772.878173828125, 742.29296875], [797.2765502929688, 726.440673828125], [777.1837768554688, 812.9077758789062], [795.8413696289062, 788.4087524414062]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[895, 329]",None,None
13731,"[[932.0806274414062, 323.06256103515625], [933.5076904296875, 320.1966247558594], [930.6534423828125, 320.1966247558594], [942.0704956054688, 320.1966247558594], [946.351806640625, 317.3306579589844], [949.2060546875, 334.52642822265625], [956.3416748046875, 327.36151123046875], [940.643310546875, 340.2583312988281], [960.623046875, 368.91796875], [949.2060546875, 351.7221984863281], [950.6331787109375, 356.0211486816406], [989.16552734375, 391.8456115722656], [977.7485961914062, 390.4126892089844], [976.3214111328125, 439.1340026855469], [966.33154296875, 437.7010192871094], [973.4671630859375, 483.556396484375], [977.7485961914062, 469.22662353515625]]","[[760.3530883789062, 555.3160400390625], [761.7872924804688, 551.0072631835938], [793.3391723632812, 555.3160400390625], [763.221435546875, 555.3160400390625], [790.4708251953125, 555.3160400390625], [757.4846801757812, 582.60498046875], [804.8126220703125, 588.3500366210938], [715.8935546875, 602.712646484375], [827.7594604492188, 621.384033203125], [717.3277587890625, 599.8401489257812], [806.246826171875, 607.0214233398438], [773.2606811523438, 674.5256958007812], [804.8126220703125, 674.5256958007812], [771.8264770507812, 742.0299682617188], [797.6417846679688, 726.2310791015625], [777.563232421875, 813.8429565429688], [794.7733764648438, 790.8628540039062]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[892, 332]",None,None
13732,"[[930.6310424804688, 328.7897033691406], [933.5106811523438, 324.4743347167969], [929.1911010742188, 325.91278076171875], [940.7100219726562, 323.0358581542969], [927.7512817382812, 323.0358581542969], [952.2289428710938, 333.1051025390625], [945.0296020507812, 340.2973937988281], [940.7100219726562, 343.17431640625], [966.6275634765625, 318.7204895019531], [924.8715209960938, 337.42047119140625], [911.9127807617188, 347.48968505859375], [991.105224609375, 390.6435241699219], [978.1463623046875, 389.205078125], [976.70654296875, 439.5511779785156], [963.747802734375, 438.11273193359375], [973.826904296875, 482.70501708984375], [973.826904296875, 464.0050354003906]]","[[761.3284912109375, 555.7623901367188], [762.758544921875, 551.4508056640625], [792.7911987304688, 552.8880004882812], [762.758544921875, 555.7623901367188], [791.361083984375, 557.1995849609375], [758.46826171875, 581.6318969726562], [802.8020629882812, 585.9434814453125], [715.5645141601562, 603.1898193359375], [828.5442504882812, 620.4362182617188], [722.7151489257812, 597.4411010742188], [807.0924682617188, 601.7526245117188], [772.7694702148438, 677.9240112304688], [805.6622924804688, 672.1752319335938], [771.33935546875, 741.1607055664062], [797.0816040039062, 726.7886962890625], [777.059814453125, 813.0204467773438], [795.6514282226562, 790.0252685546875]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[889, 336]",None,None
13733,"[[930.212890625, 332.8886413574219], [931.6434326171875, 325.70306396484375], [928.782470703125, 328.5773010253906], [937.365234375, 324.2659606933594], [941.6565551757812, 321.3917541503906], [948.8087768554688, 338.6371154785156], [943.0870361328125, 342.94842529296875], [955.9611206054688, 338.6371154785156], [967.4046630859375, 332.8886413574219], [937.365234375, 335.76287841796875], [950.2391967773438, 358.7566833496094], [991.7223510742188, 393.24737548828125], [975.9873046875, 388.93603515625], [977.4178466796875, 442.1091613769531], [963.1133422851562, 439.2349548339844], [974.556884765625, 479.4740905761719], [971.696044921875, 462.228759765625]]","[[761.8036499023438, 553.2239379882812], [763.230224609375, 551.7828369140625], [766.083251953125, 548.9005737304688], [763.230224609375, 554.6650390625], [790.33447265625, 557.54736328125], [757.5240478515625, 582.046630859375], [803.17333984375, 586.3700561523438], [716.1544189453125, 603.6636352539062], [828.8510131835938, 620.957275390625], [721.860595703125, 597.8991088867188], [807.452880859375, 603.6636352539062], [773.2159423828125, 678.6026000976562], [804.599853515625, 674.2792358398438], [770.3629150390625, 742.0125122070312], [796.0405883789062, 727.6011352539062], [777.49560546875, 812.6281127929688], [794.6140747070312, 788.1287841796875]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[883, 339]",None,None
13734,"[[928.8784790039062, 330.1642761230469], [930.3048095703125, 325.853515625], [928.8784790039062, 327.29046630859375], [938.8623657226562, 324.4165954589844], [941.71484375, 324.4165954589844], [947.4199829101562, 341.6596984863281], [944.5674438476562, 350.2812194824219], [947.4199829101562, 340.2227783203125], [940.28857421875, 371.8350830078125], [958.8300170898438, 322.97967529296875], [918.8945922851562, 374.70892333984375], [991.63427734375, 394.8258361816406], [974.51904296875, 390.51507568359375], [977.3715209960938, 442.2443542480469], [960.25634765625, 440.8074035644531], [973.0927124023438, 482.4781494140625], [967.3876953125, 462.36126708984375]]","[[761.4634399414062, 554.1071166992188], [762.8902587890625, 551.2272338867188], [765.743896484375, 549.7872924804688], [762.8902587890625, 555.5470581054688], [791.4263305664062, 555.5470581054688], [757.1830444335938, 582.9063110351562], [802.8408203125, 584.3462524414062], [717.2324829101562, 604.5056762695312], [828.5232543945312, 621.78515625], [718.6593017578125, 600.185791015625], [805.6943969726562, 604.5056762695312], [772.8779296875, 675.0635986328125], [804.267578125, 675.0635986328125], [770.0242919921875, 742.7416381835938], [795.706787109375, 726.902099609375], [777.1583251953125, 811.859619140625], [795.706787109375, 788.8202514648438]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[877, 350]",None,None
13735,"[[929.271484375, 331.1429138183594], [930.6945190429688, 325.4166259765625], [927.848388671875, 326.84820556640625], [939.2324829101562, 323.9850769042969], [943.5015258789062, 323.9850769042969], [947.7705688476562, 341.1638488769531], [944.924560546875, 351.184814453125], [946.3475341796875, 341.1638488769531], [940.655517578125, 371.2267761230469], [959.1546020507812, 323.9850769042969], [919.3104248046875, 375.52142333984375], [990.4608154296875, 395.5633544921875], [973.3847045898438, 392.7002258300781], [977.6536865234375, 442.80499267578125], [960.57763671875, 439.94189453125], [973.3847045898438, 480.0257263183594], [967.6926879882812, 462.846923828125]]","[[761.4440307617188, 554.07958984375], [762.8712768554688, 551.199951171875], [765.7259521484375, 549.7600708007812], [762.8712768554688, 555.5194091796875], [791.41748046875, 555.5194091796875], [757.1620483398438, 582.8763427734375], [802.8359985351562, 584.316162109375], [717.1974487304688, 604.4739379882812], [828.5274658203125, 621.751953125], [720.0520629882812, 600.1544189453125], [805.6904907226562, 604.4739379882812], [772.8624267578125, 675.0260009765625], [804.2632446289062, 675.0260009765625], [770.0078125, 742.6983642578125], [795.6994018554688, 726.8601684570312], [777.1444091796875, 811.8106079101562], [795.6994018554688, 788.773193359375]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[877, 350]",None,None
13736,"[[949.7244873046875, 345.43084716796875], [934.0081787109375, 323.8617858886719], [948.2957153320312, 342.5549621582031], [961.1546020507812, 345.43084716796875], [942.5807495117188, 323.8617858886719], [952.5820922851562, 335.3652648925781], [946.8670043945312, 345.43084716796875], [992.5873413085938, 335.3652648925781], [958.297119140625, 361.2481689453125], [965.44091796875, 351.1825866699219], [968.2984008789062, 352.62054443359375], [989.7298583984375, 392.8827819824219], [968.2984008789062, 394.3207702636719], [976.8709716796875, 441.772705078125], [958.297119140625, 444.6485900878906], [974.013427734375, 479.15911865234375], [966.86962890625, 463.341796875]]","[[760.8670654296875, 554.9483032226562], [762.3054809570312, 552.0739135742188], [765.18212890625, 550.6367797851562], [763.7438354492188, 554.9483032226562], [791.0729370117188, 556.385498046875], [756.5519409179688, 582.2546997070312], [802.5798950195312, 585.1290283203125], [717.7158203125, 605.24951171875], [828.4705810546875, 621.0584716796875], [720.5925903320312, 600.93798828125], [805.4566650390625, 605.24951171875], [772.3740234375, 678.5455932617188], [804.0182495117188, 674.2340698242188], [768.0588989257812, 743.2185668945312], [796.8263549804688, 725.9724731445312], [776.689208984375, 810.7659301757812], [795.3880615234375, 787.7711181640625]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[872, 362]",None,None
