frame,top,bottom,court,net,ball,pos,type
78639,"[[837.4364624023438, 341.3643798828125], [838.8764038085938, 338.4825744628906], [834.5567016601562, 338.4825744628906], [846.0758056640625, 341.3643798828125], [828.797119140625, 347.12799072265625], [843.196044921875, 358.6552429199219], [825.9172973632812, 373.0643310546875], [831.6768798828125, 370.1824951171875], [828.797119140625, 371.6234130859375], [846.0758056640625, 322.6325988769531], [844.6358642578125, 322.6325988769531], [844.6358642578125, 427.8187561035156], [833.1167602539062, 424.9369201660156], [827.357177734375, 476.8095703125], [815.8380737304688, 469.6050109863281], [863.3544921875, 509.95037841796875], [863.3544921875, 509.95037841796875]]","[[972.228515625, 629.4439697265625], [959.3206787109375, 622.2400512695312], [965.0574951171875, 623.6808471679688], [960.7548828125, 623.6808471679688], [983.7022094726562, 625.1216430664062], [949.28125, 648.17431640625], [998.0443115234375, 656.8190307617188], [923.4655151367188, 675.5493774414062], [1008.0838012695312, 700.0428466796875], [929.2023315429688, 701.483642578125], [1005.2153930664062, 731.7402954101562], [949.28125, 727.4179077148438], [986.5706787109375, 728.858642578125], [919.1629028320312, 786.4904174804688], [1003.7811889648438, 785.049560546875], [896.2155151367188, 839.7996826171875], [1012.3864135742188, 842.6813354492188]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[849, 8]",None,None
78640,"[[839.552490234375, 344.04949951171875], [842.4031372070312, 341.183349609375], [836.7018432617188, 341.183349609375], [848.1044921875, 344.04949951171875], [831.0005493164062, 348.3487243652344], [850.9551391601562, 366.9787292480469], [829.5751953125, 371.2779235839844], [862.3577270507812, 391.3410339355469], [829.5751953125, 374.14410400390625], [849.52978515625, 326.85260009765625], [839.552490234375, 355.51409912109375], [848.1044921875, 422.8686828613281], [833.8511962890625, 421.43560791015625], [831.0005493164062, 477.3255615234375], [813.8966064453125, 467.2940673828125], [859.507080078125, 504.5540466308594], [862.3577270507812, 504.5540466308594]]","[[954.494384765625, 630.4822998046875], [954.494384765625, 624.739013671875], [980.2236938476562, 626.1748657226562], [954.494384765625, 626.1748657226562], [977.3648071289062, 627.6106567382812], [941.6297607421875, 653.4554443359375], [991.6588745117188, 659.1987915039062], [915.900390625, 677.8644409179688], [1003.09423828125, 703.709228515625], [923.0474243164062, 706.5809326171875], [1001.6647338867188, 733.8615112304688], [944.488525390625, 730.9898681640625], [981.6531372070312, 735.2973022460938], [915.900390625, 786.9869384765625], [998.805908203125, 784.1153564453125], [894.4594116210938, 844.419921875], [1011.6705932617188, 841.5482177734375]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[847, 7]",None,None
78641,"[[839.70458984375, 343.9822998046875], [842.5535278320312, 341.1120910644531], [835.43115234375, 341.1120910644531], [848.25146484375, 345.41741943359375], [831.15771484375, 348.28765869140625], [851.100341796875, 366.94415283203125], [828.3087768554688, 371.2494812011719], [862.4962158203125, 391.341064453125], [828.3087768554688, 374.1197204589844], [849.6759033203125, 326.76092529296875], [839.70458984375, 355.4632263183594], [848.25146484375, 422.91357421875], [834.0066528320312, 421.4784851074219], [831.15771484375, 477.44793701171875], [814.0640258789062, 467.4021301269531], [859.647216796875, 504.71514892578125], [862.4962158203125, 504.71514892578125]]","[[954.5037841796875, 630.4963989257812], [954.5037841796875, 624.7529907226562], [980.2352905273438, 626.1888427734375], [954.5037841796875, 626.1888427734375], [977.3761596679688, 627.6246948242188], [941.6380615234375, 653.469970703125], [991.6714477539062, 659.2133178710938], [915.9066162109375, 677.87939453125], [1003.1076049804688, 703.7246704101562], [923.0542602539062, 706.5963745117188], [1001.6781005859375, 733.8775024414062], [944.4971313476562, 731.0057983398438], [981.6647338867188, 735.3133544921875], [915.9066162109375, 787.0038452148438], [998.8190307617188, 784.1321411132812], [894.4638061523438, 844.4378662109375], [1011.6847534179688, 841.566162109375]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[844, 6]",None,None
78642,"[[839.636474609375, 340.0826721191406], [845.2978515625, 337.2208251953125], [836.8057861328125, 338.6517639160156], [850.9592895507812, 340.0826721191406], [833.97509765625, 345.8064270019531], [850.9592895507812, 358.68487548828125], [836.8057861328125, 360.1158142089844], [842.4671630859375, 371.56329345703125], [828.3135986328125, 384.4417419433594], [826.8983154296875, 371.56329345703125], [822.6522216796875, 371.56329345703125], [848.1285400390625, 417.35333251953125], [835.390380859375, 415.92236328125], [833.97509765625, 476.021728515625], [816.9907836914062, 466.00518798828125], [860.8667602539062, 496.0549011230469], [867.9435424804688, 504.6405029296875]]","[[958.0545043945312, 629.84423828125], [948.0672607421875, 626.9663696289062], [952.3475341796875, 625.5274658203125], [949.4940185546875, 629.84423828125], [970.8950805664062, 629.84423828125], [935.2266845703125, 655.7450561523438], [985.1624145507812, 662.9397583007812], [909.5453491210938, 684.5238037109375], [996.5763549804688, 706.1078491210938], [919.5325927734375, 716.180419921875], [996.5763549804688, 736.3255004882812], [939.5068359375, 734.8865966796875], [976.6019897460938, 736.3255004882812], [910.9721069335938, 788.127197265625], [990.8694458007812, 783.8104248046875], [893.851318359375, 847.1235961914062], [1010.8436889648438, 841.3677978515625]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[842, 6]",None,None
78643,"[[841.441162109375, 339.6990051269531], [850.0043334960938, 335.3755798339844], [841.441162109375, 336.81671142578125], [857.1403198242188, 339.6990051269531], [840.0139770507812, 342.581298828125], [834.30517578125, 365.6395568847656], [835.7323608398438, 364.1983947753906], [828.5963745117188, 372.84527587890625], [830.0235595703125, 374.2864074707031], [824.3148193359375, 362.75726318359375], [824.3148193359375, 364.1983947753906], [848.5772094726562, 416.0794982910156], [834.30517578125, 416.0794982910156], [840.0139770507812, 478.0485534667969], [821.46044921875, 460.7548522949219], [884.2570190429688, 493.90106201171875], [838.5867919921875, 499.6656188964844]]","[[954.0505981445312, 635.3866577148438], [941.2124633789062, 629.6259155273438], [945.4917602539062, 628.185791015625], [942.638916015625, 632.5062866210938], [965.4622802734375, 632.5062866210938], [929.80078125, 658.429443359375], [978.3004150390625, 664.1901245117188], [904.1243896484375, 687.23291015625], [992.5650024414062, 707.3953857421875], [914.1096801757812, 721.797119140625], [991.1385498046875, 737.6390380859375], [934.080078125, 739.0792236328125], [971.1681518554688, 739.0792236328125], [906.9773559570312, 786.60498046875], [988.2857055664062, 786.60498046875], [894.1392211914062, 845.6522216796875], [1009.6825561523438, 841.3316040039062]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[842, 32]",None,None
78644,"[[855.1693725585938, 328.45166015625], [858.0332641601562, 325.57421875], [849.4417114257812, 352.9098815917969], [845.1459350585938, 357.2260437011719], [845.1459350585938, 354.3486022949219], [855.1693725585938, 375.92938232421875], [839.4181518554688, 339.9613952636719], [865.1929321289062, 371.6132507324219], [836.5543212890625, 350.0324401855469], [865.1929321289062, 348.5937194824219], [836.5543212890625, 350.0324401855469], [846.577880859375, 410.45867919921875], [832.2586059570312, 410.45867919921875], [850.8736572265625, 468.0074462890625], [827.9628295898438, 457.9364013671875], [885.2399291992188, 489.5882263183594], [880.9440307617188, 486.7108154296875]]","[[948.6712036132812, 639.7479858398438], [935.7593383789062, 629.66455078125], [963.0177612304688, 632.5455322265625], [938.6286010742188, 633.9859619140625], [961.5831298828125, 632.5455322265625], [924.2820434570312, 659.914794921875], [973.0603637695312, 664.2362060546875], [899.8928833007812, 687.2840576171875], [987.4069213867188, 706.0103759765625], [911.3701782226562, 721.855712890625], [988.841552734375, 734.8201293945312], [930.0206298828125, 734.8201293945312], [965.8870239257812, 734.8201293945312], [904.1969604492188, 789.5586547851562], [987.4069213867188, 785.2371826171875], [892.7196655273438, 845.7377319335938], [1010.361328125, 841.4161987304688]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[843, 62]",None,None
78645,"[[849.2696533203125, 346.1049499511719], [852.1260375976562, 343.22808837890625], [849.2696533203125, 343.22808837890625], [873.548583984375, 334.597412109375], [874.9767456054688, 334.597412109375], [856.4105224609375, 367.6815490722656], [854.9822998046875, 369.1199951171875], [876.4048461914062, 363.3662109375], [877.8330078125, 363.3662109375], [864.9795532226562, 343.22808837890625], [870.6921997070312, 346.1049499511719], [849.2696533203125, 405.0809631347656], [850.6978149414062, 402.2040710449219], [862.1231689453125, 459.7416687011719], [833.5598754882812, 455.4263610839844], [840.7006225585938, 501.4564208984375], [840.7006225585938, 501.4564208984375]]","[[946.2068481445312, 635.1879272460938], [951.925048828125, 629.425537109375], [959.07275390625, 629.425537109375], [933.3408203125, 630.8661499023438], [957.6432495117188, 630.8661499023438], [921.9043579101562, 656.796875], [969.0797119140625, 659.6780395507812], [894.742919921875, 685.6088256835938], [984.8048095703125, 704.3365478515625], [903.3201904296875, 714.4207153320312], [984.8048095703125, 734.589111328125], [926.1929931640625, 733.1484985351562], [963.3615112304688, 733.1484985351562], [904.749755859375, 787.8911743164062], [989.0934448242188, 780.688232421875], [891.8837280273438, 845.5150756835938], [1009.107177734375, 835.4308471679688]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[845, 92]",None,None
78646,"[[884.07373046875, 337.7972412109375], [874.1513061523438, 321.96087646484375], [882.65625, 334.9178771972656], [864.228759765625, 329.1592102050781], [881.2387084960938, 334.9178771972656], [848.63623046875, 346.43524169921875], [875.5687866210938, 349.3145751953125], [882.65625, 376.6683044433594], [882.65625, 376.6683044433594], [868.4813232421875, 391.06500244140625], [868.4813232421875, 391.06500244140625], [835.8788452148438, 395.384033203125], [855.7237548828125, 399.7030029296875], [838.7137451171875, 452.97076416015625], [868.4813232421875, 454.4104309082031], [844.3837280273438, 499.0401916503906], [844.3837280273438, 501.9195556640625]]","[[944.4963989257812, 630.499267578125], [928.7244873046875, 624.7603149414062], [955.9669189453125, 626.195068359375], [930.1583251953125, 627.6297607421875], [953.0993041992188, 626.195068359375], [918.6878051757812, 653.4554443359375], [966.0036010742188, 656.324951171875], [894.31298828125, 680.7157592773438], [983.2093505859375, 699.3676147460938], [902.9158935546875, 710.8456420898438], [984.6431274414062, 730.9322509765625], [924.423095703125, 729.4974975585938], [960.2683715820312, 729.4974975585938], [905.7835083007812, 786.8877563476562], [990.3783569335938, 776.844482421875], [892.879150390625, 844.2780151367188], [1010.4517822265625, 834.2347412109375]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[846, 122]",None,None
78647,"[[883.9815063476562, 337.7920227050781], [873.9893798828125, 321.9987487792969], [882.5540771484375, 334.9205322265625], [865.4247436523438, 329.1775207519531], [881.1266479492188, 334.9205322265625], [848.29541015625, 346.4065246582031], [875.4168090820312, 349.2780456542969], [835.4484252929688, 375.1215515136719], [882.5540771484375, 376.55731201171875], [868.2796020507812, 390.914794921875], [868.2796020507812, 390.914794921875], [834.0209350585938, 396.6578063964844], [855.4326171875, 400.9650573730469], [838.3033447265625, 451.21630859375], [869.7070922851562, 455.52362060546875], [844.0131225585938, 500.0318908691406], [844.0131225585938, 501.4676513671875]]","[[944.7654418945312, 631.0413208007812], [929.0337524414062, 625.3025512695312], [956.2067260742188, 625.3025512695312], [930.4639282226562, 628.1719360351562], [953.346435546875, 626.7372436523438], [919.0225830078125, 653.9965209960938], [967.6480102539062, 658.3005981445312], [893.27978515625, 681.2557983398438], [983.3796997070312, 699.9068603515625], [901.8606567382812, 709.9497680664062], [984.8098754882812, 730.0355834960938], [924.7432250976562, 728.600830078125], [959.0670776367188, 728.600830078125], [906.151123046875, 784.5540771484375], [990.530517578125, 775.9459228515625], [891.849609375, 843.3767700195312], [1010.552734375, 834.7686157226562]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[848, 152]",None,None
78648,"[[863.8595581054688, 336.1656188964844], [881.0035400390625, 323.2200927734375], [862.430908203125, 333.2888488769531], [881.0035400390625, 339.0423889160156], [865.2882080078125, 327.5352783203125], [879.5748901367188, 356.3031311035156], [845.2868041992188, 343.3575744628906], [882.4322509765625, 386.5093994140625], [832.4287719726562, 328.9736633300781], [871.0028686523438, 400.893310546875], [866.7169189453125, 327.5352783203125], [861.002197265625, 406.6468811035156], [836.7147827148438, 406.6468811035156], [872.4315795898438, 456.99066162109375], [833.857421875, 452.6755065917969], [889.5755615234375, 503.01922607421875], [851.00146484375, 501.58087158203125]]","[[942.3092651367188, 627.339599609375], [948.0653076171875, 623.021484375], [953.8212890625, 623.021484375], [929.3580322265625, 625.9002075195312], [952.3823852539062, 625.9002075195312], [916.4069213867188, 650.3694458007812], [966.7725219726562, 654.6875], [893.3826904296875, 677.7173461914062], [984.0406494140625, 696.4290771484375], [900.5778198242188, 706.5045776367188], [984.0406494140625, 728.0950927734375], [923.60205078125, 725.2163696289062], [961.0164184570312, 726.65576171875], [906.3338012695312, 782.7908935546875], [989.7967529296875, 774.1547241210938], [890.5046997070312, 841.8048095703125], [1009.9429321289062, 828.8505859375]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[849, 183]",None,None
