frame,top,bottom,court,net,ball,pos,type
41212,"[[945.8424682617188, 332.70281982421875], [950.1580810546875, 328.39453125], [942.9654541015625, 328.39453125], [953.0352172851562, 329.83062744140625], [937.2113037109375, 328.39453125], [955.9122314453125, 345.627685546875], [927.1414794921875, 341.31939697265625], [967.4205322265625, 368.605224609375], [908.4404907226562, 357.116455078125], [970.297607421875, 377.2217712402344], [922.8258666992188, 371.4774169921875], [942.9654541015625, 390.14666748046875], [925.7030029296875, 391.5827331542969], [947.2810668945312, 424.61297607421875], [928.5800170898438, 428.9212646484375], [941.5269165039062, 454.7709655761719], [928.5800170898438, 469.1319274902344]]","[[1145.9166259765625, 571.4989013671875], [1123.104248046875, 562.8523559570312], [1148.768310546875, 564.29345703125], [1124.530029296875, 567.1755981445312], [1147.3424072265625, 565.7345581054688], [1113.123779296875, 591.674072265625], [1147.3424072265625, 591.674072265625], [1108.846435546875, 623.3779296875], [1181.5611572265625, 613.290283203125], [1160.174560546875, 600.320556640625], [1177.283935546875, 603.2027587890625], [1114.549560546875, 662.2871704101562], [1138.787841796875, 663.728271484375], [1123.104248046875, 704.07861328125], [1137.3619384765625, 717.0484008789062], [1121.678466796875, 744.4290161132812], [1130.2330322265625, 773.2506713867188]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41213,"[[945.7783813476562, 332.07421875], [948.655029296875, 329.19873046875], [942.901611328125, 329.19873046875], [951.5317993164062, 330.636474609375], [937.1481323242188, 327.7610168457031], [955.846923828125, 346.4515686035156], [927.07958984375, 342.13836669921875], [967.353759765625, 368.0176086425781], [908.380859375, 357.9534606933594], [970.2305297851562, 380.9572448730469], [924.202880859375, 372.330810546875], [942.901611328125, 391.0213928222656], [925.6411743164062, 391.0213928222656], [947.2166748046875, 424.0893249511719], [928.5179443359375, 429.8402404785156], [941.4632568359375, 454.2817687988281], [928.5179443359375, 470.09686279296875]]","[[1145.916015625, 571.1898803710938], [1124.578125, 562.5796508789062], [1147.3385009765625, 564.0147094726562], [1124.578125, 566.884765625], [1147.3385009765625, 565.44970703125], [1113.197998046875, 591.2804565429688], [1147.3385009765625, 592.7154541015625], [1108.9302978515625, 622.8512573242188], [1181.4791259765625, 614.2410278320312], [1160.1412353515625, 601.32568359375], [1177.2115478515625, 602.7607421875], [1114.6204833984375, 661.5973510742188], [1138.8033447265625, 664.4674072265625], [1123.155517578125, 703.2134399414062], [1137.380859375, 716.1287841796875], [1121.7330322265625, 743.39453125], [1130.2681884765625, 773.5303955078125]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41214,"[[944.936767578125, 331.9297180175781], [949.1759033203125, 329.0549621582031], [943.5237426757812, 329.0549621582031], [952.0020751953125, 330.4923400878906], [936.45849609375, 329.0549621582031], [954.8280639648438, 346.303466796875], [926.5671997070312, 341.9913635253906], [967.5455322265625, 367.8641052246094], [908.1975708007812, 357.802490234375], [970.3716430664062, 379.36309814453125], [922.3280029296875, 370.73883056640625], [942.1107177734375, 389.42474365234375], [926.5671997070312, 392.2995300292969], [947.7628784179688, 423.9217834472656], [927.9802856445312, 429.6712646484375], [942.1107177734375, 454.106689453125], [929.393310546875, 469.9178466796875]]","[[1149.288818359375, 567.09228515625], [1145.016845703125, 565.6504516601562], [1147.8648681640625, 564.2086181640625], [1125.08056640625, 565.6504516601562], [1146.4407958984375, 565.6504516601562], [1113.6884765625, 591.6033935546875], [1147.8648681640625, 593.0452270507812], [1109.4163818359375, 623.32373046875], [1180.6173095703125, 611.7890625], [1156.408935546875, 598.8126220703125], [1176.34521484375, 601.6962890625], [1115.1124267578125, 662.253173828125], [1139.32080078125, 663.6950073242188], [1122.2325439453125, 704.0663452148438], [1137.896728515625, 715.6009521484375], [1122.2325439453125, 751.6468505859375], [1129.3526611328125, 774.7161254882812]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41215,"[[944.936767578125, 331.9297180175781], [949.1759033203125, 329.0549621582031], [943.5237426757812, 329.0549621582031], [952.0020751953125, 330.4923400878906], [936.45849609375, 329.0549621582031], [954.8280639648438, 346.303466796875], [926.5671997070312, 341.9913635253906], [967.5455322265625, 367.8641052246094], [908.1975708007812, 357.802490234375], [970.3716430664062, 379.36309814453125], [922.3280029296875, 370.73883056640625], [942.1107177734375, 389.42474365234375], [926.5671997070312, 392.2995300292969], [947.7628784179688, 423.9217834472656], [927.9802856445312, 429.6712646484375], [942.1107177734375, 454.106689453125], [929.393310546875, 469.9178466796875]]","[[1149.288818359375, 567.0922241210938], [1145.0167236328125, 565.650390625], [1147.86474609375, 564.2085571289062], [1125.08056640625, 565.650390625], [1146.440673828125, 565.650390625], [1113.6883544921875, 591.6033935546875], [1147.86474609375, 593.0452270507812], [1109.4163818359375, 623.32373046875], [1180.6171875, 611.7890625], [1156.4088134765625, 598.8125610351562], [1176.3450927734375, 601.6962280273438], [1115.1123046875, 662.2532348632812], [1139.3206787109375, 663.695068359375], [1122.2325439453125, 704.06640625], [1137.896728515625, 715.60107421875], [1122.2325439453125, 751.6469116210938], [1129.3525390625, 774.7162475585938]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41216,"[[946.3939208984375, 331.689208984375], [949.231689453125, 328.8235778808594], [943.5562133789062, 328.8235778808594], [952.0693969726562, 330.2563781738281], [936.4619140625, 327.3907775878906], [954.9070434570312, 346.0173645019531], [926.5299072265625, 341.71893310546875], [969.095703125, 368.9424133300781], [908.084716796875, 357.4798583984375], [970.5145263671875, 377.539306640625], [923.6921997070312, 370.375244140625], [943.5562133789062, 390.43463134765625], [926.5299072265625, 391.867431640625], [947.812744140625, 424.82220458984375], [927.94873046875, 430.553466796875], [942.1372680664062, 453.478515625], [929.3676147460938, 470.6723327636719]]","[[1137.9349365234375, 572.0162353515625], [1123.76904296875, 563.3682861328125], [1147.85107421875, 563.3682861328125], [1125.1856689453125, 566.2509765625], [1147.85107421875, 564.8096313476562], [1112.4364013671875, 592.1946411132812], [1147.85107421875, 592.1946411132812], [1108.1866455078125, 623.9035034179688], [1180.4326171875, 610.9317016601562], [1159.1837158203125, 600.8424682617188], [1176.182861328125, 600.8424682617188], [1115.26953125, 662.8189697265625], [1139.3515625, 662.8189697265625], [1122.3525390625, 704.6170654296875], [1137.9349365234375, 714.706298828125], [1122.3525390625, 749.2977905273438], [1130.8519287109375, 772.3588256835938]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41217,"[[945.7023315429688, 331.5439758300781], [948.5568237304688, 328.66845703125], [942.8477783203125, 328.66845703125], [952.838623046875, 330.1062316894531], [937.1388549804688, 328.66845703125], [955.6930541992188, 345.9215393066406], [925.7208251953125, 341.6082763671875], [968.538330078125, 368.9256286621094], [908.5938110351562, 357.423583984375], [969.965576171875, 381.86541748046875], [922.8663330078125, 370.3634033203125], [942.8477783203125, 390.4919738769531], [925.7208251953125, 391.92974853515625], [947.1295776367188, 424.9981384277344], [928.5752563476562, 430.7491455078125], [941.4205322265625, 453.75323486328125], [930.0025634765625, 469.5685729980469]]","[[1139.322265625, 572.7760009765625], [1123.7161865234375, 562.6895141601562], [1147.834716796875, 564.1304321289062], [1125.1348876953125, 565.5713500976562], [1146.4158935546875, 565.5713500976562], [1112.3663330078125, 591.508056640625], [1149.25341796875, 592.948974609375], [1109.52880859375, 623.20849609375], [1180.465576171875, 611.6810302734375], [1156.3470458984375, 598.7127075195312], [1176.2093505859375, 598.7127075195312], [1115.2037353515625, 662.113525390625], [1139.322265625, 663.554443359375], [1122.2974853515625, 703.9004516601562], [1137.903564453125, 713.9869384765625], [1122.2974853515625, 748.5692138671875], [1130.809814453125, 773.0650024414062]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41218,"[[945.8494873046875, 332.64874267578125], [948.7129516601562, 328.3366394042969], [942.9859008789062, 328.3366394042969], [951.5764770507812, 329.77398681640625], [937.2589111328125, 328.3366394042969], [955.8717651367188, 345.5850830078125], [925.8048095703125, 341.27294921875], [968.757568359375, 368.5830078125], [908.623779296875, 357.08404541015625], [970.1893310546875, 381.51934814453125], [922.9412841796875, 370.0203552246094], [942.9859008789062, 390.1435546875], [925.8048095703125, 391.5809326171875], [947.28125, 424.6404113769531], [928.6683959960938, 430.389892578125], [941.5541381835938, 453.3878173828125], [928.6683959960938, 470.6362609863281]]","[[1143.455078125, 571.1790771484375], [1123.5491943359375, 561.113525390625], [1147.720703125, 563.9893798828125], [1124.97119140625, 565.4273681640625], [1146.2987060546875, 565.4273681640625], [1113.5963134765625, 589.8723754882812], [1149.1424560546875, 592.748291015625], [1109.330810546875, 622.945068359375], [1180.423095703125, 611.4415283203125], [1156.251708984375, 598.5000610351562], [1176.1575927734375, 598.5000610351562], [1115.0181884765625, 661.7695922851562], [1139.1895751953125, 663.20751953125], [1123.5491943359375, 703.469970703125], [1137.7677001953125, 714.9735107421875], [1122.12744140625, 748.0462646484375], [1130.658447265625, 772.4912719726562]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41219,"[[946.1607666015625, 332.43646240234375], [948.9988403320312, 329.562744140625], [943.3226318359375, 328.1258850097656], [951.8370361328125, 329.562744140625], [936.2273559570312, 328.1258850097656], [956.0941772460938, 345.36822509765625], [926.2939453125, 341.0576171875], [968.8657836914062, 368.3580627441406], [907.8460693359375, 355.42626953125], [971.703857421875, 376.9792175292969], [922.0366821289062, 369.794921875], [943.3226318359375, 389.9110412597656], [926.2939453125, 391.34783935546875], [947.5798950195312, 424.3957214355469], [929.1320190429688, 430.1431579589844], [941.9036254882812, 453.13299560546875], [929.1320190429688, 470.3753967285156]]","[[1143.2744140625, 570.861083984375], [1124.788330078125, 562.2160034179688], [1147.5404052734375, 563.6568603515625], [1124.788330078125, 566.5385131835938], [1146.118408203125, 566.5385131835938], [1113.412353515625, 589.5921020507812], [1148.9625244140625, 591.0330200195312], [1109.146240234375, 622.731689453125], [1180.24658203125, 612.645751953125], [1156.072509765625, 598.2372436523438], [1175.9805908203125, 598.2372436523438], [1114.8343505859375, 663.0755004882812], [1139.0084228515625, 663.0755004882812], [1123.3663330078125, 704.860107421875], [1137.58642578125, 714.9461059570312], [1121.9443359375, 748.085693359375], [1130.4764404296875, 772.580078125]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41220,"[[946.8306884765625, 332.93829345703125], [949.6640014648438, 328.6388854980469], [943.997314453125, 328.6388854980469], [952.4973754882812, 330.072021484375], [936.9140625, 327.20574951171875], [955.3306884765625, 345.8364562988281], [926.997314453125, 341.5370788574219], [969.4973754882812, 367.3334655761719], [907.1640625, 354.4352722167969], [970.9140014648438, 375.9322509765625], [921.3307495117188, 368.7666015625], [943.997314453125, 390.2635803222656], [926.997314453125, 391.69671630859375], [948.2473754882812, 424.6587829589844], [928.4140625, 430.39129638671875], [942.5807495117188, 453.3213806152344], [929.8306884765625, 470.5190124511719]]","[[1143.3626708984375, 571.423583984375], [1123.4901123046875, 561.33056640625], [1147.62109375, 562.7723999023438], [1124.90966796875, 565.6561889648438], [1146.20166015625, 565.6561889648438], [1113.553955078125, 590.1677856445312], [1149.04052734375, 591.6096801757812], [1109.2955322265625, 623.3306274414062], [1180.2686767578125, 611.7957153320312], [1156.1378173828125, 598.8189697265625], [1176.01025390625, 598.8189697265625], [1114.973388671875, 662.2608642578125], [1139.104248046875, 663.7027587890625], [1123.4901123046875, 705.5167846679688], [1137.684814453125, 714.1679077148438], [1122.0706787109375, 748.7725830078125], [1130.58740234375, 773.2843017578125]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
41221,"[[946.8363647460938, 332.9486083984375], [949.670166015625, 328.6505126953125], [944.0026245117188, 328.6505126953125], [952.5039672851562, 330.0832214355469], [936.9180908203125, 327.2178039550781], [955.3377075195312, 345.84295654296875], [926.9998779296875, 341.5448303222656], [969.506591796875, 367.33349609375], [907.1634521484375, 354.4391784667969], [970.9234619140625, 375.9297180175781], [921.3323364257812, 368.7662048339844], [944.0026245117188, 390.25677490234375], [926.9998779296875, 391.6894836425781], [948.2532958984375, 424.6416931152344], [928.416748046875, 430.3725280761719], [942.5857543945312, 453.2957763671875], [929.8336791992188, 470.48822021484375]]","[[1143.36181640625, 571.4229125976562], [1123.4892578125, 561.3297119140625], [1147.6201171875, 562.7716064453125], [1124.90869140625, 565.6553955078125], [1146.20068359375, 565.6553955078125], [1113.5528564453125, 590.1672973632812], [1149.0396728515625, 591.6091918945312], [1109.29443359375, 623.3305053710938], [1180.26806640625, 611.7954711914062], [1156.1370849609375, 598.818603515625], [1176.0096435546875, 598.818603515625], [1114.9722900390625, 662.26123046875], [1139.1033935546875, 663.703125], [1123.4892578125, 705.517578125], [1137.6839599609375, 714.1688842773438], [1122.0697021484375, 748.77392578125], [1130.5865478515625, 773.285888671875]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[1009, 377]",None,None
