frame,top,bottom,court,net,ball,pos,type
70865,"[[953.6707153320312, 317.3191223144531], [955.1061401367188, 313.0247497558594], [949.3643188476562, 313.0247497558594], [956.5415649414062, 314.4562072753906], [943.6224975585938, 313.0247497558594], [959.4125366210938, 327.3393249511719], [935.0097045898438, 327.3393249511719], [970.896240234375, 343.0853576660156], [917.7841186523438, 343.0853576660156], [976.6380615234375, 363.1257629394531], [927.8323364257812, 357.39990234375], [950.7997436523438, 368.8515930175781], [936.4451293945312, 368.8515930175781], [947.9287719726562, 397.480712890625], [942.1869506835938, 396.0492858886719], [936.4451293945312, 421.81549072265625], [942.1869506835938, 427.5413513183594]]","[[1081.0394287109375, 546.7221069335938], [1075.3150634765625, 545.2833251953125], [1076.7462158203125, 543.8446044921875], [1073.884033203125, 551.0383911132812], [1091.05712890625, 551.0383911132812], [1062.4354248046875, 572.6198120117188], [1101.07470703125, 575.4973754882812], [1040.9691162109375, 597.0787353515625], [1108.2301025390625, 607.1500854492188], [1055.280029296875, 558.232177734375], [1103.936767578125, 592.7625122070312], [1075.3150634765625, 630.1702880859375], [1099.6436767578125, 628.7315063476562], [1068.1597900390625, 693.475830078125], [1092.4881591796875, 670.4556274414062], [1073.884033203125, 745.2713012695312], [1086.7637939453125, 712.1796875]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[975, 375]",None,None
70866,"[[952.2241821289062, 317.8877868652344], [955.0594482421875, 313.57708740234375], [949.388916015625, 313.57708740234375], [956.47705078125, 315.0140075683594], [943.718505859375, 313.57708740234375], [960.7299194335938, 329.3828430175781], [933.7951049804688, 327.9459533691406], [972.0709228515625, 345.18853759765625], [918.2012329101562, 342.3147888183594], [976.3238525390625, 365.304931640625], [928.1246337890625, 356.6836242675781], [953.6419067382812, 369.6156005859375], [938.0479736328125, 369.6156005859375], [949.388916015625, 399.7901306152344], [942.3009033203125, 398.353271484375], [936.63037109375, 421.3434143066406], [942.3009033203125, 428.52783203125]]","[[1073.48193359375, 546.5762939453125], [1074.908203125, 545.1372680664062], [1076.3345947265625, 543.6981201171875], [1073.48193359375, 550.8935546875], [1090.5980224609375, 550.8935546875], [1063.4974365234375, 572.4797973632812], [1100.5823974609375, 575.3579711914062], [1042.1024169921875, 596.9442749023438], [1107.714111328125, 608.4569702148438], [1054.939453125, 556.64990234375], [1103.43505859375, 592.6270141601562], [1074.908203125, 631.4822387695312], [1099.156005859375, 630.043212890625], [1067.7764892578125, 693.3629150390625], [1092.0242919921875, 671.776611328125], [1074.908203125, 746.6090087890625], [1087.745361328125, 712.0709838867188]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[975, 375]",None,None
70867,"[[952.6517333984375, 318.30938720703125], [955.490966796875, 313.9945068359375], [951.2321166992188, 313.9945068359375], [958.3302001953125, 315.43280029296875], [944.1339721679688, 313.9945068359375], [961.1694946289062, 328.37750244140625], [934.1965942382812, 328.37750244140625], [972.5264892578125, 345.6371154785156], [918.5806884765625, 341.3222351074219], [978.2050170898438, 365.7733459472656], [929.9376831054688, 357.1435546875], [954.0713500976562, 370.0882568359375], [938.4554443359375, 370.0882568359375], [951.2321166992188, 400.2926330566406], [942.7142333984375, 400.2926330566406], [937.0358276367188, 420.4288330078125], [942.7142333984375, 429.05865478515625]]","[[1073.577880859375, 547.8052368164062], [1073.577880859375, 544.9356689453125], [1076.4173583984375, 543.5008544921875], [1073.577880859375, 550.6748046875], [1090.6148681640625, 550.6748046875], [1062.2198486328125, 572.1967163085938], [1100.55322265625, 576.5010986328125], [1040.923583984375, 596.588134765625], [1107.6519775390625, 608.0664672851562], [1055.12109375, 556.4140014648438], [1103.3927001953125, 592.2837524414062], [1074.9976806640625, 631.0231323242188], [1097.713623046875, 631.0231323242188], [1067.89892578125, 694.1538696289062], [1090.6148681640625, 672.6320190429688], [1074.9976806640625, 745.8063354492188], [1087.775390625, 711.3713989257812]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[975, 375]",None,None
70868,"[[953.6889038085938, 318.2915344238281], [955.121826171875, 314.0080871582031], [950.8231201171875, 314.0080871582031], [957.987548828125, 315.4358825683594], [943.6586303710938, 314.0080871582031], [960.8533325195312, 329.7140197753906], [935.061279296875, 328.28619384765625], [973.7493286132812, 346.8477478027344], [919.2994995117188, 342.5643005371094], [978.0479736328125, 365.4092712402344], [932.1954956054688, 358.2702331542969], [955.121826171875, 371.12054443359375], [939.3599243164062, 372.54833984375], [950.8231201171875, 401.10455322265625], [943.6586303710938, 401.10455322265625], [937.9270629882812, 421.09393310546875], [943.6586303710938, 428.2329406738281]]","[[1073.27294921875, 547.5326538085938], [1073.27294921875, 546.0933227539062], [1076.1160888671875, 543.2146606445312], [1073.27294921875, 550.4112548828125], [1090.3319091796875, 550.4112548828125], [1061.9002685546875, 572.0010375976562], [1100.282958984375, 576.3190307617188], [1040.5765380859375, 596.469482421875], [1107.390869140625, 607.9840087890625], [1054.7923583984375, 557.6078491210938], [1103.1260986328125, 592.1515502929688], [1073.27294921875, 631.01318359375], [1097.4398193359375, 631.01318359375], [1067.5865478515625, 694.3432006835938], [1090.3319091796875, 672.75341796875], [1074.6944580078125, 746.1587524414062], [1087.48876953125, 711.6150512695312]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[975, 375]",None,None
70869,"[[953.5501708984375, 317.9310302734375], [954.9873657226562, 313.6349792480469], [950.67578125, 313.6349792480469], [957.8616943359375, 315.0670166015625], [944.927001953125, 313.6349792480469], [960.736083984375, 329.3871154785156], [934.8667602539062, 329.3871154785156], [973.6708374023438, 346.5712890625], [919.0576782226562, 342.2752380371094], [977.9823608398438, 365.18743896484375], [931.9923706054688, 358.0273742675781], [954.9873657226562, 370.91546630859375], [939.1783447265625, 372.3475036621094], [952.1129760742188, 400.9877624511719], [943.4898071289062, 400.9877624511719], [937.7411499023438, 421.0359191894531], [943.4898071289062, 428.19598388671875]]","[[1073.242431640625, 547.7108764648438], [1073.242431640625, 546.2733154296875], [1076.086669921875, 543.3981323242188], [1073.242431640625, 550.5860595703125], [1090.3077392578125, 550.5860595703125], [1061.865478515625, 572.14990234375], [1100.2625732421875, 576.4627075195312], [1040.5338134765625, 596.5889892578125], [1107.3731689453125, 608.0897216796875], [1054.7548828125, 557.7740478515625], [1103.1068115234375, 592.2761840820312], [1073.242431640625, 631.0911865234375], [1097.4183349609375, 631.0911865234375], [1067.553955078125, 692.9076538085938], [1090.3077392578125, 672.7813720703125], [1074.6644287109375, 746.0984497070312], [1087.463623046875, 711.5963134765625]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[975, 375]",None,None
70870,"[[953.9210815429688, 317.5491638183594], [955.338134765625, 314.6767578125], [951.087158203125, 314.6767578125], [958.172119140625, 314.6767578125], [944.0020751953125, 314.6767578125], [961.0061645507812, 330.4750061035156], [935.5000610351562, 329.0387878417969], [973.7592163085938, 346.2732238769531], [918.4960327148438, 341.9646301269531], [978.0101928710938, 364.9438781738281], [932.666015625, 357.7628479003906], [955.338134765625, 372.1248779296875], [939.7510986328125, 372.1248779296875], [953.9210815429688, 400.84893798828125], [944.0020751953125, 400.84893798828125], [938.3341064453125, 420.955810546875], [944.0020751953125, 429.572998046875]]","[[1072.8707275390625, 548.1055908203125], [1072.8707275390625, 546.6710205078125], [1075.71435546875, 543.8018188476562], [1072.8707275390625, 550.9747924804688], [1089.9322509765625, 550.9747924804688], [1061.496337890625, 572.49365234375], [1098.4630126953125, 573.9282836914062], [1040.16943359375, 595.4472045898438], [1106.9937744140625, 608.3585815429688], [1054.3873291015625, 558.1477661132812], [1102.728515625, 591.1434326171875], [1072.8707275390625, 631.3120727539062], [1097.041259765625, 631.3120727539062], [1067.18359375, 692.9996337890625], [1091.3541259765625, 671.480712890625], [1074.29248046875, 746.0796508789062], [1087.088623046875, 711.6494140625]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[975, 375]",None,None
70871,"[[953.8303833007812, 318.4941101074219], [955.2471923828125, 314.17681884765625], [950.9969482421875, 314.17681884765625], [958.08056640625, 315.61590576171875], [943.9132690429688, 314.17681884765625], [962.330810546875, 330.0068359375], [935.412841796875, 330.0068359375], [973.6646728515625, 345.83685302734375], [918.4120483398438, 342.95867919921875], [979.3316040039062, 364.5450439453125], [932.579345703125, 355.9104919433594], [956.6638793945312, 371.7405090332031], [939.6630859375, 371.7405090332031], [955.2471923828125, 400.5223388671875], [943.9132690429688, 401.96142578125], [941.0797729492188, 423.5478210449219], [943.9132690429688, 429.30419921875]]","[[1079.8046875, 549.2520141601562], [1072.623291015625, 546.3787841796875], [1075.4957275390625, 544.9421997070312], [1072.623291015625, 552.1251831054688], [1089.858642578125, 552.1251831054688], [1061.1329345703125, 573.674072265625], [1098.4764404296875, 573.674072265625], [1039.588623046875, 595.2229614257812], [1107.0941162109375, 608.1522827148438], [1053.9515380859375, 559.3081665039062], [1102.7852783203125, 590.9132080078125], [1072.623291015625, 629.701171875], [1097.0401611328125, 629.701171875], [1066.8780517578125, 692.9112548828125], [1089.858642578125, 671.3624267578125], [1074.0595703125, 744.628662109375], [1086.986083984375, 711.5869750976562]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[977, 373]",None,None
70872,"[[953.9432373046875, 318.6593017578125], [956.7778930664062, 314.3733825683594], [951.1087036132812, 314.3733825683594], [958.1951293945312, 314.3733825683594], [945.439453125, 314.3733825683594], [963.8644409179688, 331.5169372558594], [935.5182495117188, 328.6596984863281], [975.202880859375, 347.2318420410156], [919.9279174804688, 342.9459533691406], [979.4547729492188, 364.3753662109375], [932.6837158203125, 355.8035888671875], [956.7778930664062, 372.9471435546875], [939.770263671875, 372.9471435546875], [956.7778930664062, 398.66241455078125], [944.0221557617188, 401.5196838378906], [946.856689453125, 427.2349548339844], [944.0221557617188, 430.09222412109375]]","[[1071.6700439453125, 548.6587524414062], [1071.6700439453125, 545.783203125], [1074.5086669921875, 544.345458984375], [1071.6700439453125, 551.5343017578125], [1088.7021484375, 551.5343017578125], [1061.734619140625, 573.1011352539062], [1098.6375732421875, 574.5388793945312], [1040.444580078125, 594.6678466796875], [1107.153564453125, 607.60791015625], [1054.637939453125, 558.7232666015625], [1102.8955078125, 591.7922973632812], [1073.08935546875, 632.0502319335938], [1097.2181396484375, 632.0502319335938], [1065.99267578125, 692.4371948242188], [1090.1214599609375, 672.3081665039062], [1074.5086669921875, 747.072998046875], [1087.28271484375, 711.1283569335938]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[977, 371]",None,None
70873,"[[953.9707641601562, 317.4892578125], [956.8118286132812, 314.60992431640625], [949.7091064453125, 313.17022705078125], [958.232421875, 316.0495910644531], [944.0269775390625, 314.60992431640625], [963.91455078125, 330.44635009765625], [935.5037841796875, 329.0066833496094], [975.2789306640625, 344.8431091308594], [921.29833984375, 341.9637451171875], [980.9610595703125, 360.6795349121094], [934.0831909179688, 356.3605041503906], [956.8118286132812, 373.6366271972656], [939.7653198242188, 372.19696044921875], [956.8118286132812, 400.9904479980469], [944.0269775390625, 400.9904479980469], [948.2886352539062, 425.4649353027344], [942.6065063476562, 429.7839660644531]]","[[1070.3126220703125, 550.420166015625], [1071.7379150390625, 547.5380249023438], [1074.5887451171875, 546.0969848632812], [1071.7379150390625, 551.8612060546875], [1088.84228515625, 551.8612060546875], [1060.3350830078125, 574.9181518554688], [1098.81982421875, 574.9181518554688], [1038.9547119140625, 596.5340576171875], [1107.3720703125, 609.5036010742188], [1054.6336669921875, 556.1843872070312], [1103.095947265625, 590.7698364257812], [1071.7379150390625, 634.0016479492188], [1095.9691162109375, 631.1195068359375], [1066.03662109375, 693.0850830078125], [1090.2677001953125, 672.9102172851562], [1074.5887451171875, 746.404296875], [1085.9915771484375, 711.81884765625]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[978, 369]",None,None
70874,"[[954.0646362304688, 318.0061340332031], [955.5045776367188, 315.12994384765625], [951.1848754882812, 313.69183349609375], [958.3843383789062, 315.12994384765625], [945.42529296875, 315.12994384765625], [964.1439208984375, 330.9490966796875], [936.7859497070312, 329.510986328125], [977.1029663085938, 345.33013916015625], [922.3870239257812, 342.4539489746094], [981.422607421875, 361.1492919921875], [933.9061279296875, 355.3968811035156], [956.9443969726562, 374.0922546386719], [941.1056518554688, 374.0922546386719], [958.3843383789062, 399.9781188964844], [943.9854125976562, 401.4162292480469], [948.3050537109375, 427.3021240234375], [942.5455322265625, 430.1783752441406]]","[[1079.1502685546875, 549.6378173828125], [1072.0687255859375, 545.328125], [1074.9013671875, 545.328125], [1070.6524658203125, 551.0744018554688], [1089.0645751953125, 551.0744018554688], [1060.73828125, 572.6229858398438], [1097.5625, 574.0595092773438], [1039.493408203125, 595.6080322265625], [1107.4766845703125, 608.5371704101562], [1053.6566162109375, 556.8206787109375], [1103.227783203125, 591.29833984375], [1070.6524658203125, 632.9588623046875], [1094.7298583984375, 631.5222778320312], [1066.403564453125, 693.2947998046875], [1090.48095703125, 671.7462768554688], [1073.4849853515625, 746.4478759765625], [1086.23193359375, 711.97021484375]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[979, 367]",None,None
