frame,top,bottom,court,net,ball,pos,type
14854,"[[962.8065795898438, 390.5885009765625], [965.6541137695312, 386.2799987792969], [959.9591674804688, 387.7161865234375], [975.6201171875, 384.8438415527344], [958.5354614257812, 387.7161865234375], [984.1624145507812, 397.7693786621094], [967.0777587890625, 409.2587585449219], [985.586181640625, 413.5672607421875], [965.6541137695312, 433.6737060546875], [962.8065795898438, 412.131103515625], [959.9591674804688, 455.21624755859375], [1005.518310546875, 463.8332824707031], [987.0098876953125, 463.8332824707031], [996.9759521484375, 509.790771484375], [982.73876953125, 505.4822692871094], [989.857421875, 554.3121337890625], [998.399658203125, 531.3333740234375]]","[[853.389404296875, 597.4119262695312], [856.242431640625, 594.5377807617188], [849.10986328125, 594.5377807617188], [843.4036865234375, 600.2860717773438], [863.3751831054688, 600.2860717773438], [830.56494140625, 627.5902709960938], [876.2139282226562, 627.5902709960938], [814.873046875, 659.2057495117188], [886.1996459960938, 664.9539794921875], [822.0056762695312, 643.3980102539062], [867.6547241210938, 675.013427734375], [840.5505981445312, 696.5693969726562], [869.0812377929688, 696.5693969726562], [827.7118530273438, 762.6744384765625], [867.6547241210938, 758.36328125], [839.1240844726562, 818.719970703125], [866.2282104492188, 807.2234497070312]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[939, 403]",None,None
14855,"[[961.0291748046875, 391.266357421875], [965.3458862304688, 386.9474792480469], [959.5902099609375, 386.9474792480469], [975.4180908203125, 386.9474792480469], [958.1513671875, 389.82672119140625], [985.4903564453125, 401.3436584472656], [968.2235717773438, 408.5417785644531], [988.3681640625, 415.7398681640625], [961.0291748046875, 438.7738037109375], [955.2735595703125, 417.17950439453125], [956.7125244140625, 456.0492248535156], [1005.6348266601562, 463.24737548828125], [988.3681640625, 463.24737548828125], [997.0014038085938, 510.75482177734375], [982.6124877929688, 507.8755798339844], [989.8070068359375, 553.9434204101562], [998.4403686523438, 532.34912109375]]","[[852.100341796875, 600.3726806640625], [839.2691650390625, 596.0514526367188], [846.3976440429688, 596.0514526367188], [842.1205444335938, 600.3726806640625], [863.505859375, 601.8130493164062], [829.289306640625, 629.1807250976562], [874.911376953125, 629.1807250976562], [813.606689453125, 660.86962890625], [884.8912353515625, 665.19091796875], [822.1608276367188, 645.0252075195312], [866.3572998046875, 673.8333129882812], [839.2691650390625, 698.3201904296875], [869.2086791992188, 698.3201904296875], [825.01220703125, 763.1383666992188], [867.7830200195312, 758.8171997070312], [836.4177856445312, 816.433349609375], [866.3572998046875, 809.2313232421875]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[943, 412]",None,None
14856,"[[963.0161743164062, 392.7032470703125], [967.2861938476562, 388.39642333984375], [960.1695556640625, 388.39642333984375], [975.8259887695312, 389.8320007324219], [957.3229370117188, 392.7032470703125], [985.7891235351562, 404.1882629394531], [961.5928955078125, 414.2375793457031], [994.3289794921875, 418.5444641113281], [957.3229370117188, 442.95001220703125], [957.3229370117188, 421.4156799316406], [953.0530395507812, 458.7418518066406], [1005.7155151367188, 463.0487365722656], [987.2124633789062, 465.91998291015625], [997.1755981445312, 510.4242248535156], [982.9425659179688, 508.9886169433594], [990.05908203125, 554.9285278320312], [994.3289794921875, 531.9585571289062]]","[[850.7017822265625, 600.1553955078125], [840.731689453125, 595.8382568359375], [846.4288330078125, 592.9601440429688], [842.1559448242188, 601.5944213867188], [862.0961303710938, 601.5944213867188], [830.7615966796875, 630.3751831054688], [874.9148559570312, 630.3751831054688], [812.2457275390625, 663.47314453125], [884.885009765625, 666.3512573242188], [822.2158203125, 644.765625], [863.5204467773438, 673.5464477539062], [839.3073120117188, 698.0101318359375], [869.2176513671875, 700.88818359375], [823.6400756835938, 762.7669677734375], [866.3690185546875, 758.4498291015625], [836.4588012695312, 818.8895263671875], [866.3690185546875, 808.8162841796875]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[947, 424]",None,None
14857,"[[964.4393310546875, 392.7945251464844], [967.2720947265625, 388.4739990234375], [960.1901245117188, 389.9141540527344], [975.7705688476562, 389.9141540527344], [957.3573608398438, 392.7945251464844], [988.5181274414062, 404.3159484863281], [961.6065063476562, 415.8373718261719], [1001.2658081054688, 418.71771240234375], [958.773681640625, 440.3204040527344], [965.8556518554688, 427.35882568359375], [954.5245361328125, 454.7221984863281], [1005.5149536132812, 463.36328125], [984.2689819335938, 463.36328125], [997.0165405273438, 510.88916015625], [982.8525390625, 510.88916015625], [989.9345703125, 555.5347290039062], [991.3509521484375, 533.9320678710938]]","[[849.8641967773438, 602.37255859375], [839.829345703125, 598.0563354492188], [844.1300048828125, 596.6176147460938], [839.829345703125, 602.37255859375], [861.3325805664062, 602.37255859375], [829.7945556640625, 631.1475830078125], [872.8009643554688, 631.1475830078125], [812.5919799804688, 667.1162109375], [884.2693481445312, 667.1162109375], [821.1932983398438, 648.4125366210938], [865.6331787109375, 672.8712768554688], [838.3958740234375, 698.7687377929688], [867.0667724609375, 700.2074584960938], [819.7597045898438, 764.951171875], [865.6331787109375, 760.6348876953125], [834.0951538085938, 816.74609375], [865.6331787109375, 808.1136474609375]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[943, 409]",None,None
14858,"[[964.4915161132812, 393.63531494140625], [967.345458984375, 389.3351135253906], [960.2106323242188, 390.76849365234375], [975.9073486328125, 389.3351135253906], [957.3566284179688, 393.63531494140625], [991.6040649414062, 405.1025390625], [960.2106323242188, 418.003173828125], [1008.7276611328125, 418.003173828125], [958.7836303710938, 443.8044128417969], [988.7500610351562, 426.60357666015625], [953.0757446289062, 466.7388610839844], [1004.44677734375, 463.8720397949219], [984.4691162109375, 466.7388610839844], [997.3119506835938, 511.17431640625], [983.0421142578125, 511.17431640625], [990.1770629882812, 554.1763916015625], [991.6040649414062, 534.1087646484375]]","[[849.0386352539062, 603.2583618164062], [840.5192260742188, 600.3746337890625], [843.3590698242188, 598.9327392578125], [839.0993041992188, 606.14208984375], [860.3978271484375, 604.7002563476562], [827.7400512695312, 636.421630859375], [873.177001953125, 634.9796752929688], [809.2813110351562, 671.0266723632812], [884.5362548828125, 668.1429443359375], [819.2206420898438, 650.8403930664062], [860.3978271484375, 669.5848388671875], [837.6793823242188, 702.748046875], [866.0775146484375, 702.748046875], [817.8007202148438, 766.1907958984375], [864.6575317382812, 757.5394897460938], [831.999755859375, 818.0985107421875], [866.0775146484375, 808.0053100585938]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[939, 395]",None,None
14859,"[[964.5824584960938, 393.70355224609375], [967.430908203125, 389.403564453125], [960.3096313476562, 390.8368835449219], [975.9764404296875, 389.403564453125], [957.461181640625, 393.70355224609375], [991.6431884765625, 405.1701965332031], [960.3096313476562, 418.0701599121094], [1008.734130859375, 418.0701599121094], [958.8854370117188, 443.8700866699219], [987.3704223632812, 426.67010498046875], [953.1884155273438, 466.8033752441406], [1004.46142578125, 463.9366760253906], [984.5219116210938, 466.8033752441406], [997.3401489257812, 512.669921875], [981.6734619140625, 511.2366027832031], [990.2188720703125, 554.2364501953125], [991.6431884765625, 534.1698608398438]]","[[849.0234375, 603.2444458007812], [840.4906005859375, 600.3759155273438], [843.3348388671875, 598.9415893554688], [839.0684814453125, 606.113037109375], [860.4004516601562, 604.6787719726562], [827.69140625, 636.2329711914062], [873.1997680664062, 636.2329711914062], [809.2036743164062, 670.6557006835938], [884.5767822265625, 667.787109375], [819.1586303710938, 650.5757446289062], [860.4004516601562, 670.6557006835938], [837.6463623046875, 702.2098999023438], [866.0889892578125, 702.2098999023438], [817.7364501953125, 765.3182373046875], [864.6669311523438, 758.1469116210938], [831.9578247070312, 818.38671875], [866.0889892578125, 808.3467407226562]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[935, 380]",None,None
14860,"[[965.2308959960938, 393.0357971191406], [968.1067504882812, 388.7342224121094], [960.9171142578125, 388.7342224121094], [976.7344970703125, 388.7342224121094], [959.4791259765625, 393.0357971191406], [993.9899291992188, 403.0727844238281], [960.9171142578125, 418.8452453613281], [1015.5591430664062, 417.411376953125], [960.9171142578125, 451.8239440917969], [981.0484008789062, 423.14678955078125], [956.6032104492188, 473.3317565917969], [1005.4935302734375, 466.1625061035156], [982.4862670898438, 466.1625061035156], [996.8657836914062, 513.479736328125], [982.4862670898438, 512.0459594726562], [988.2381591796875, 555.0615844726562], [991.114013671875, 534.9876098632812]]","[[848.067626953125, 606.853515625], [839.4352416992188, 602.5280151367188], [842.3126831054688, 601.086181640625], [837.9964599609375, 609.7372436523438], [858.1387939453125, 609.7372436523438], [826.4865112304688, 638.5739135742188], [871.0875244140625, 638.5739135742188], [809.2216186523438, 674.6198120117188], [884.0361938476562, 671.7361450195312], [816.4153442382812, 619.830078125], [858.1387939453125, 658.7596435546875], [836.5576782226562, 707.7821044921875], [865.33251953125, 709.2239379882812], [814.9766235351562, 768.3392333984375], [862.455078125, 758.2463989257812], [829.3640747070312, 820.2452392578125], [865.33251953125, 807.2687377929688]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[931, 366]",None,None
14861,"[[966.7222290039062, 390.2332763671875], [969.5750732421875, 384.47802734375], [962.4429931640625, 385.9168395996094], [978.133544921875, 385.9168395996094], [958.1636962890625, 390.2332763671875], [993.8241577148438, 400.304931640625], [961.0165405273438, 419.0094909667969], [1018.0733032226562, 414.69305419921875], [963.869384765625, 450.663330078125], [998.1033935546875, 411.8154296875], [958.1636962890625, 479.43951416015625], [1003.8091430664062, 465.05145263671875], [980.9863891601562, 467.9290466308594], [995.2505493164062, 513.970947265625], [983.8392333984375, 513.970947265625], [989.544921875, 555.6964721679688], [992.3978271484375, 534.1142578125]]","[[845.2527465820312, 611.4625244140625], [849.552490234375, 607.1605224609375], [840.9530639648438, 605.7265625], [835.2200927734375, 614.33056640625], [855.2854614257812, 614.33056640625], [825.1874389648438, 645.8785400390625], [868.1845703125, 641.5765380859375], [806.5552978515625, 681.7285766601562], [882.5169677734375, 674.5585327148438], [810.8550415039062, 660.218505859375], [856.7186889648438, 661.6525268554688], [835.2200927734375, 711.842529296875], [865.318115234375, 713.2765502929688], [810.8550415039062, 769.2025756835938], [861.0183715820312, 759.16455078125], [828.0538940429688, 823.694580078125], [865.318115234375, 809.3545532226562]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[927, 351]",None,None
14862,"[[967.941650390625, 389.3031005859375], [969.3660888671875, 379.24212646484375], [962.244140625, 386.4285583496094], [979.3367919921875, 379.24212646484375], [960.8197631835938, 390.74041748046875], [997.8539428710938, 399.3641357421875], [965.0929565429688, 412.2996826171875], [1020.6442260742188, 410.8623962402344], [965.0929565429688, 446.79449462890625], [1003.551513671875, 403.67596435546875], [962.244140625, 478.41473388671875], [1003.551513671875, 465.4791564941406], [980.76123046875, 468.353759765625], [995.005126953125, 512.9095458984375], [980.76123046875, 511.4722595214844], [989.3075561523438, 554.5908203125], [990.73193359375, 533.031494140625]]","[[843.309814453125, 617.693603515625], [847.610595703125, 613.3734130859375], [837.5755615234375, 611.933349609375], [833.2747802734375, 620.57373046875], [853.344970703125, 620.57373046875], [823.2396240234375, 652.255126953125], [866.2471923828125, 645.0548095703125], [803.16943359375, 686.8165893554688], [882.0166625976562, 681.0563354492188], [800.30224609375, 679.6163330078125], [876.2822875976562, 662.3355712890625], [834.7083740234375, 715.6178588867188], [863.3800659179688, 715.6178588867188], [807.47021484375, 773.2203979492188], [859.0792846679688, 760.2598266601562], [824.6732177734375, 823.62255859375], [864.8136596679688, 807.7819213867188]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[923, 337]",None,None
14863,"[[967.9442749023438, 385.68682861328125], [970.7954711914062, 379.92462158203125], [963.6676025390625, 381.3652038574219], [980.7744140625, 382.8057556152344], [962.2420043945312, 390.00848388671875], [997.8812866210938, 397.21124267578125], [963.6676025390625, 410.1762390136719], [1024.9671630859375, 410.1762390136719], [967.9442749023438, 437.54669189453125], [1010.71142578125, 401.5329284667969], [969.369873046875, 460.5955505371094], [1002.157958984375, 462.0361022949219], [980.7744140625, 466.35772705078125], [995.0301513671875, 512.4554443359375], [980.7744140625, 511.0148620605469], [987.9022827148438, 557.112548828125], [989.327880859375, 532.6231689453125]]","[[840.6542358398438, 621.9061279296875], [844.9459228515625, 617.5927124023438], [834.931884765625, 616.1548461914062], [830.6401977539062, 624.78173828125], [850.6682739257812, 623.343994140625], [820.6261596679688, 656.4136962890625], [863.5435180664062, 650.6624145507812], [799.16748046875, 692.3590698242188], [880.71044921875, 685.1700439453125], [794.8756713867188, 685.1700439453125], [863.5435180664062, 669.3540649414062], [832.07080078125, 721.1153564453125], [862.1129150390625, 719.6776123046875], [804.8898315429688, 774.3145141601562], [857.8211669921875, 761.3742065429688], [824.9179077148438, 827.5137329101562], [863.5435180664062, 808.8220825195312]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[919, 322]",top,long service
