frame,top,bottom,court,net,ball,pos,type
12421,"[[955.9385986328125, 460.6109924316406], [958.7942504882812, 457.7361145019531], [950.2273559570312, 457.7361145019531], [961.64990234375, 460.6109924316406], [941.6604614257812, 459.1735534667969], [963.0776977539062, 482.17236328125], [927.38232421875, 476.4226989746094], [975.9281005859375, 505.17120361328125], [911.6763916015625, 495.10919189453125], [985.9227905273438, 539.66943359375], [924.526611328125, 520.9828491210938], [945.9439086914062, 541.1068725585938], [924.526611328125, 541.1068725585938], [941.6604614257812, 587.1044921875], [933.0935668945312, 584.2296142578125], [928.8101196289062, 611.540771484375], [933.0935668945312, 634.53955078125]]","[[1069.828857421875, 627.8076171875], [1069.828857421875, 623.4871215820312], [1074.1146240234375, 626.367431640625], [1069.828857421875, 626.367431640625], [1095.5433349609375, 626.367431640625], [1058.4002685546875, 655.170654296875], [1108.400634765625, 650.8501586914062], [1029.8284912109375, 685.4140014648438], [1142.686767578125, 673.8927001953125], [1031.257080078125, 685.4140014648438], [1139.82958984375, 671.0123901367188], [1069.828857421875, 734.37939453125], [1099.8292236328125, 731.4990844726562], [1075.543212890625, 780.4645385742188], [1102.6864013671875, 790.545654296875], [1076.9718017578125, 838.0709228515625], [1099.8292236328125, 853.91259765625]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[898, 569]",None,None
12422,"[[955.65869140625, 461.9296569824219], [958.4996948242188, 457.6043701171875], [951.3970947265625, 457.6043701171875], [961.3407592773438, 459.0461730957031], [941.45361328125, 459.0461730957031], [962.76123046875, 482.1141052246094], [927.2484741210938, 476.3471374511719], [976.96630859375, 508.06561279296875], [913.0433959960938, 497.9733581542969], [985.4894409179688, 539.7840576171875], [925.8280029296875, 522.4830932617188], [945.7151489257812, 541.225830078125], [924.4074096679688, 541.225830078125], [942.8740844726562, 587.3617553710938], [934.35107421875, 584.478271484375], [928.6690063476562, 610.4297485351562], [931.5099487304688, 633.4977416992188]]","[[1069.7056884765625, 627.7850341796875], [1069.7056884765625, 623.4678955078125], [1073.980712890625, 626.345947265625], [1071.1307373046875, 626.345947265625], [1095.35595703125, 626.345947265625], [1059.7305908203125, 655.1270141601562], [1108.1810302734375, 650.8098754882812], [1029.8052978515625, 685.3471069335938], [1142.3814697265625, 673.8346557617188], [1031.2303466796875, 685.3471069335938], [1139.5313720703125, 670.95654296875], [1069.7056884765625, 734.2747802734375], [1099.6309814453125, 731.396728515625], [1075.40576171875, 780.3244018554688], [1102.48095703125, 790.3978271484375], [1076.8306884765625, 837.886474609375], [1099.6309814453125, 853.7160034179688]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[909, 565]",None,None
12423,"[[954.3734130859375, 462.3458557128906], [958.6826782226562, 458.0391845703125], [950.0640258789062, 458.0391845703125], [961.5556030273438, 459.4747314453125], [941.4453125, 458.0391845703125], [962.9920654296875, 481.0081787109375], [927.0808715820312, 476.7015075683594], [977.3565673828125, 506.8482666015625], [912.71630859375, 496.7993469238281], [985.9752807617188, 538.4306640625], [925.6443481445312, 522.6394653320312], [947.1911010742188, 541.3017578125], [924.2079467773438, 541.3017578125], [942.8817138671875, 585.80419921875], [932.82666015625, 584.3685913085938], [929.9537353515625, 611.644287109375], [931.39013671875, 633.177734375]]","[[1068.6885986328125, 627.6744384765625], [1068.6885986328125, 623.3507080078125], [1072.9971923828125, 626.233154296875], [1070.124755859375, 626.233154296875], [1094.540283203125, 626.233154296875], [1058.63525390625, 655.0576171875], [1108.90234375, 650.7339477539062], [1029.9111328125, 685.3233032226562], [1141.9349365234375, 675.2346801757812], [1029.9111328125, 686.7645263671875], [1139.0626220703125, 672.352294921875], [1068.6885986328125, 734.3248291015625], [1098.848876953125, 731.4423828125], [1075.86962890625, 780.4439086914062], [1103.157470703125, 790.532470703125], [1075.86962890625, 838.0928344726562], [1100.28515625, 853.9462280273438]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[921, 561]",None,None
12424,"[[955.2504272460938, 461.5879211425781], [958.1154174804688, 457.270751953125], [950.9528198242188, 457.270751953125], [962.4130249023438, 458.7098083496094], [942.357666015625, 457.270751953125], [963.845458984375, 480.29559326171875], [928.0325317382812, 475.97845458984375], [976.7382202148438, 503.3204650878906], [912.2747192382812, 496.1252136230469], [988.1983642578125, 537.8577270507812], [928.0325317382812, 522.0281372070312], [946.6552124023438, 540.73583984375], [925.1674194335938, 540.73583984375], [943.7902221679688, 588.2245483398438], [933.7625732421875, 583.9074096679688], [932.3300170898438, 611.2494506835938], [932.3300170898438, 632.835205078125]]","[[1081.4051513671875, 632.9202880859375], [1068.552001953125, 624.2711181640625], [1072.8363037109375, 627.1541748046875], [1069.9801025390625, 627.1541748046875], [1095.686279296875, 627.1541748046875], [1058.55517578125, 655.98486328125], [1107.111083984375, 648.7771606445312], [1028.5648193359375, 686.2570190429688], [1141.3858642578125, 674.7247924804688], [1028.5648193359375, 686.2570190429688], [1139.957763671875, 673.283203125], [1069.9801025390625, 735.2691650390625], [1098.54248046875, 732.3860473632812], [1075.692626953125, 781.398193359375], [1102.8267822265625, 791.4888916015625], [1077.1207275390625, 839.0595092773438], [1099.9705810546875, 854.9163818359375]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[932, 557]",None,None
12425,"[[955.3997802734375, 461.2388916015625], [958.2733764648438, 456.9306335449219], [951.08935546875, 455.49456787109375], [962.5838012695312, 458.36669921875], [942.4684448242188, 456.9306335449219], [964.0206909179688, 479.90802001953125], [929.537109375, 475.5997314453125], [976.9520263671875, 501.44927978515625], [912.2953491210938, 495.7049560546875], [988.4464721679688, 527.298828125], [928.100341796875, 520.1183471679688], [946.7788696289062, 540.2235717773438], [925.2266845703125, 540.2235717773438], [943.9052734375, 587.6144409179688], [933.8475952148438, 584.7422485351562], [933.8475952148438, 616.3361206054688], [932.4108276367188, 632.133056640625]]","[[1081.4644775390625, 632.7738647460938], [1068.5855712890625, 624.1284790039062], [1072.8785400390625, 627.01025390625], [1070.0166015625, 627.01025390625], [1094.3433837890625, 627.01025390625], [1058.568603515625, 655.8283081054688], [1108.6531982421875, 650.064697265625], [1028.517822265625, 686.0872192382812], [1140.135009765625, 674.56005859375], [1029.9488525390625, 686.0872192382812], [1140.135009765625, 673.119140625], [1070.0166015625, 735.077880859375], [1098.6363525390625, 732.196044921875], [1075.740478515625, 781.1867065429688], [1102.9293212890625, 791.2730102539062], [1077.1715087890625, 838.82275390625], [1100.0672607421875, 856.1135864257812]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[943, 552]",None,None
12426,"[[954.898681640625, 459.5438232421875], [957.7513427734375, 455.2445068359375], [950.6196899414062, 455.2445068359375], [962.0303344726562, 458.1106872558594], [942.0617065429688, 455.2445068359375], [964.8829956054688, 479.6073913574219], [927.7982788085938, 475.3080139160156], [977.7200927734375, 499.67095947265625], [910.6822509765625, 493.9384765625], [989.1306762695312, 525.4669189453125], [929.224609375, 516.8682861328125], [947.7670288085938, 541.231201171875], [926.3719482421875, 541.231201171875], [946.3406372070312, 585.6576538085938], [934.929931640625, 585.6576538085938], [934.929931640625, 614.3198852539062], [932.0772705078125, 634.3834228515625]]","[[1081.281005859375, 633.164794921875], [1068.417724609375, 623.094970703125], [1074.134765625, 627.4105834960938], [1069.8470458984375, 627.4105834960938], [1094.144287109375, 627.4105834960938], [1056.9837646484375, 656.1815795898438], [1107.007568359375, 648.9888305664062], [1028.3988037109375, 686.3910522460938], [1141.3095703125, 674.8826904296875], [1028.3988037109375, 686.3910522460938], [1139.8802490234375, 673.4441528320312], [1069.8470458984375, 735.3016357421875], [1098.4320068359375, 732.424560546875], [1075.56396484375, 781.335205078125], [1102.7197265625, 791.4049682617188], [1076.9932861328125, 838.8770751953125], [1099.861328125, 854.7011108398438]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[955, 548]",None,None
12427,"[[954.9192504882812, 459.4056396484375], [957.7734375, 455.1034240722656], [950.637939453125, 455.1034240722656], [962.0547485351562, 457.9715576171875], [942.0751953125, 455.1034240722656], [964.9089965820312, 479.4826354980469], [927.8040771484375, 475.180419921875], [977.7529907226562, 499.55963134765625], [910.6788330078125, 493.8233642578125], [989.1697998046875, 525.3728637695312], [929.231201171875, 516.7684936523438], [947.7836303710938, 541.147705078125], [926.3770141601562, 541.147705078125], [946.3565673828125, 585.6038818359375], [934.939697265625, 585.6038818359375], [934.939697265625, 614.2853393554688], [932.08544921875, 634.3623046875]]","[[1081.150390625, 633.2100219726562], [1068.2672119140625, 623.1437377929688], [1073.9930419921875, 627.4578857421875], [1069.6986083984375, 627.4578857421875], [1095.465087890625, 626.0198364257812], [1058.246826171875, 654.7806396484375], [1106.9169921875, 649.0284423828125], [1028.1859130859375, 686.4175415039062], [1141.2723388671875, 674.9132080078125], [1028.1859130859375, 686.4175415039062], [1139.8408203125, 673.4751586914062], [1069.6986083984375, 733.8728637695312], [1098.328125, 732.434814453125], [1076.85595703125, 781.3282470703125], [1102.62255859375, 791.3944702148438], [1076.85595703125, 838.849853515625], [1101.1910400390625, 854.6683349609375]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[966, 544]",None,None
12428,"[[955.7273559570312, 459.2231140136719], [958.580810546875, 456.3556213378906], [951.4471435546875, 454.9218444824219], [961.4342041015625, 457.78936767578125], [942.8868408203125, 456.3556213378906], [965.7144165039062, 480.7295227050781], [927.1929321289062, 474.9945068359375], [979.9815673828125, 496.5008544921875], [910.0723266601562, 492.1996154785156], [989.9686279296875, 519.4410400390625], [928.6196899414062, 512.272216796875], [950.0205078125, 539.5136108398438], [927.1929321289062, 539.5136108398438], [945.7402954101562, 586.8276977539062], [935.7532348632812, 586.8276977539062], [934.3265380859375, 614.069091796875], [931.47314453125, 634.1417236328125]]","[[1080.6053466796875, 631.3790893554688], [1069.13232421875, 624.1853637695312], [1070.56640625, 625.6240844726562], [1069.13232421875, 625.6240844726562], [1094.946533203125, 625.6240844726562], [1057.659423828125, 655.8377685546875], [1107.8536376953125, 650.082763671875], [1028.9769287109375, 686.0514526367188], [1140.8385009765625, 674.54150390625], [1028.9769287109375, 686.0514526367188], [1140.8385009765625, 673.102783203125], [1069.13232421875, 733.5301513671875], [1099.2490234375, 733.5301513671875], [1076.302978515625, 781.0087280273438], [1103.5513916015625, 792.518798828125], [1076.302978515625, 839.9974365234375], [1100.68310546875, 854.3848876953125]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[978, 540]",None,None
12429,"[[954.77197265625, 457.1965637207031], [959.0369262695312, 454.3210144042969], [950.5072021484375, 454.3210144042969], [961.8801879882812, 457.1965637207031], [941.9773559570312, 454.3210144042969], [966.1450805664062, 480.2008361816406], [927.7610473632812, 473.0119934082031], [980.3614501953125, 496.0162658691406], [910.701416015625, 491.70294189453125], [988.8912353515625, 507.51837158203125], [930.6043090820312, 511.8316650390625], [950.5072021484375, 542.0247192382812], [929.1826782226562, 539.1492309570312], [947.6639404296875, 588.0332641601562], [936.2908325195312, 588.0332641601562], [934.8692016601562, 611.0375366210938], [932.0259399414062, 634.0418090820312]]","[[1081.0631103515625, 631.9363403320312], [1068.1435546875, 624.7547607421875], [1071.0145263671875, 624.7547607421875], [1069.5789794921875, 626.1911010742188], [1093.982666015625, 626.1911010742188], [1058.094970703125, 654.9174194335938], [1108.3377685546875, 650.6084594726562], [1029.3848876953125, 685.0800170898438], [1139.9188232421875, 675.0258178710938], [1029.3848876953125, 687.9526977539062], [1139.9188232421875, 673.5895385742188], [1069.5789794921875, 733.914794921875], [1098.2891845703125, 732.478515625], [1075.321044921875, 781.3132934570312], [1104.0311279296875, 791.3674926757812], [1076.756591796875, 840.2022094726562], [1101.16015625, 854.5654907226562]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[989, 536]",None,None
12430,"[[954.765869140625, 455.5031433105469], [957.6094970703125, 451.1875], [950.5003051757812, 451.1875], [961.875, 454.0645751953125], [941.9693603515625, 452.62603759765625], [966.1405029296875, 477.0813293457031], [929.1729125976562, 472.76568603515625], [990.3115234375, 505.8523254394531], [912.1109008789062, 492.9053955078125], [993.1552734375, 501.53668212890625], [929.1729125976562, 510.16796875], [951.922119140625, 540.3775024414062], [930.5947265625, 540.3775024414062], [950.5003051757812, 586.4110717773438], [936.2820434570312, 587.849609375], [934.8602294921875, 612.304931640625], [932.0165405273438, 632.4446411132812]]","[[1080.928466796875, 632.2802124023438], [1068.053955078125, 625.0956420898438], [1070.9149169921875, 625.0956420898438], [1069.484375, 626.5325317382812], [1093.8028564453125, 626.5325317382812], [1058.04052734375, 655.2708740234375], [1108.1077880859375, 650.960205078125], [1029.4306640625, 685.4461669921875], [1139.5787353515625, 675.3877563476562], [1029.4306640625, 686.8831176757812], [1139.5787353515625, 675.3877563476562], [1069.484375, 734.3013305664062], [1099.52490234375, 732.8644409179688], [1076.6368408203125, 780.28271484375], [1103.8162841796875, 791.7780151367188], [1076.6368408203125, 840.6331787109375], [1100.955322265625, 853.5654907226562]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[1001, 532]",None,None
