frame,top,bottom,court,net,ball,pos,type
16467,"[[1091.0120849609375, 465.1974792480469], [1095.3231201171875, 460.8907775878906], [1088.1380615234375, 460.8907775878906], [1102.508056640625, 462.32635498046875], [1082.3900146484375, 462.32635498046875], [1111.130126953125, 482.42437744140625], [1075.205078125, 478.11767578125], [1128.3741455078125, 509.7002868652344], [1052.213134765625, 486.7311096191406], [1114.004150390625, 505.3935852050781], [1033.531982421875, 492.473388671875], [1102.508056640625, 539.8473510742188], [1080.953125, 538.4117431640625], [1091.0120849609375, 578.6078491210938], [1085.26416015625, 587.2213134765625], [1095.3231201171875, 628.8529052734375], [1093.8861083984375, 628.8529052734375]]","[[920.4627685546875, 623.3995971679688], [906.0722045898438, 616.220947265625], [931.9752807617188, 616.220947265625], [907.51123046875, 620.5281372070312], [930.5362548828125, 619.0924072265625], [898.8768920898438, 652.1140747070312], [947.8049926757812, 646.3711547851562], [887.3643798828125, 677.9570922851562], [973.7081298828125, 669.3427734375], [913.2675170898438, 683.699951171875], [969.390869140625, 692.3143310546875], [910.389404296875, 728.2073974609375], [943.48779296875, 728.2073974609375], [906.0722045898438, 792.8150024414062], [942.0487670898438, 778.457763671875], [908.9503784179688, 855.9868774414062], [937.7315673828125, 833.0153198242188]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16468,"[[1091.4791259765625, 464.1168518066406], [1095.7767333984375, 461.25091552734375], [1088.614013671875, 461.25091552734375], [1101.5069580078125, 461.25091552734375], [1082.8837890625, 461.25091552734375], [1110.1021728515625, 482.7455749511719], [1074.28857421875, 478.4466552734375], [1128.7252197265625, 509.97216796875], [1054.2330322265625, 485.61151123046875], [1114.3997802734375, 505.6731872558594], [1032.744873046875, 492.77642822265625], [1101.5069580078125, 540.064697265625], [1081.4512939453125, 540.064697265625], [1091.4791259765625, 578.7550659179688], [1085.7489013671875, 587.3529663085938], [1094.3441162109375, 630.34228515625], [1094.3441162109375, 628.9093627929688]]","[[904.8260498046875, 622.3070678710938], [904.8260498046875, 616.5588989257812], [932.089599609375, 615.121826171875], [907.6958618164062, 620.8700561523438], [930.6546630859375, 619.4329833984375], [897.6514282226562, 652.485107421875], [946.4388427734375, 646.7369384765625], [889.0418701171875, 678.3519897460938], [975.1373291015625, 669.729736328125], [903.39111328125, 678.3519897460938], [970.83251953125, 688.411376953125], [910.5657348632812, 728.6487426757812], [943.5689697265625, 727.211669921875], [906.2609252929688, 790.4418334960938], [942.134033203125, 778.9454345703125], [909.1307373046875, 855.1090087890625], [937.8292846679688, 832.1162109375]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16469,"[[1091.6558837890625, 465.1049499511719], [1095.9493408203125, 460.7885437011719], [1087.3624267578125, 460.7885437011719], [1101.6739501953125, 462.22735595703125], [1083.0689697265625, 462.22735595703125], [1111.69189453125, 482.3705749511719], [1074.4820556640625, 478.0541687011719], [1130.296875, 508.26898193359375], [1053.014892578125, 486.6869812011719], [1114.5543212890625, 506.8302001953125], [1032.9786376953125, 493.8809509277344], [1103.1051025390625, 539.922607421875], [1081.6378173828125, 539.922607421875], [1090.2247314453125, 578.7702026367188], [1085.9312744140625, 587.4029541015625], [1094.5181884765625, 629.1282348632812], [1093.0870361328125, 627.6893920898438]]","[[904.5831298828125, 622.3327026367188], [904.5831298828125, 616.5715942382812], [933.0244140625, 616.5715942382812], [907.4273071289062, 620.8923950195312], [931.6023559570312, 616.5715942382812], [897.4728393554688, 652.5783081054688], [947.2451171875, 646.8171997070312], [888.9404296875, 678.5031127929688], [975.6864013671875, 668.4212036132812], [904.5831298828125, 678.5031127929688], [969.9981079101562, 690.0252685546875], [910.2714233398438, 727.47216796875], [944.4009399414062, 726.0319213867188], [906.0051879882812, 790.843994140625], [942.9788818359375, 779.3218383789062], [908.849365234375, 855.6560668945312], [937.2906494140625, 831.1715087890625]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16470,"[[1091.6165771484375, 464.0592956542969], [1095.9124755859375, 461.19281005859375], [1087.32080078125, 461.19281005859375], [1101.6402587890625, 462.62603759765625], [1083.0250244140625, 462.62603759765625], [1110.23193359375, 482.69140625], [1074.433349609375, 478.3916931152344], [1128.84716796875, 508.4897155761719], [1052.9542236328125, 485.557861328125], [1114.5277099609375, 507.05645751953125], [1032.9071044921875, 492.72406005859375], [1101.6402587890625, 541.4541625976562], [1081.593017578125, 540.02099609375], [1090.1846923828125, 578.7184448242188], [1085.888916015625, 587.31787109375], [1094.48046875, 630.3150634765625], [1093.048583984375, 628.8817749023438]]","[[905.2512817382812, 619.7732543945312], [906.685546875, 615.4601440429688], [932.5018310546875, 615.4601440429688], [908.1197509765625, 621.2109375], [932.5018310546875, 616.8978271484375], [899.5143432617188, 651.4024658203125], [948.2784423828125, 645.6517333984375], [890.908935546875, 677.2808837890625], [976.963134765625, 670.0924682617188], [916.7251586914062, 684.4693603515625], [969.7919311523438, 691.6578369140625], [910.98828125, 727.6001586914062], [943.9757080078125, 726.1624755859375], [906.685546875, 790.8585815429688], [942.5414428710938, 780.7947387695312], [909.553955078125, 855.5546875], [938.2387084960938, 831.1139526367188]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16471,"[[1091.827880859375, 465.16143798828125], [1096.1085205078125, 460.8461608886719], [1087.5472412109375, 460.8461608886719], [1101.816162109375, 462.28460693359375], [1083.2664794921875, 462.28460693359375], [1110.377685546875, 482.42266845703125], [1074.705078125, 478.1073913574219], [1128.9273681640625, 509.7528991699219], [1053.301513671875, 486.73797607421875], [1114.6583251953125, 506.87603759765625], [1033.324951171875, 492.49169921875], [1101.816162109375, 541.3984375], [1081.839599609375, 539.9600219726562], [1090.4010009765625, 578.7977294921875], [1084.693359375, 587.4283447265625], [1094.6817626953125, 630.581298828125], [1093.2548828125, 629.1428833007812]]","[[905.0186767578125, 621.5489501953125], [905.0186767578125, 615.7973022460938], [933.6575317382812, 615.7973022460938], [907.882568359375, 620.1110229492188], [932.2255859375, 617.2352294921875], [897.8589477539062, 651.7453002929688], [947.9769897460938, 645.9935913085938], [890.6992797851562, 679.0658569335938], [978.0477294921875, 667.5624389648438], [915.0422973632812, 677.6279296875], [969.4560546875, 689.1312255859375], [910.7463989257812, 729.39306640625], [943.6810913085938, 726.5172119140625], [906.45068359375, 789.7857666015625], [942.2492065429688, 778.2823486328125], [909.3145141601562, 853.0542602539062], [937.953369140625, 831.4854736328125]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16472,"[[1091.5247802734375, 464.3391418457031], [1095.8204345703125, 461.47320556640625], [1087.229248046875, 461.47320556640625], [1101.5478515625, 462.9061584472656], [1082.93359375, 462.9061584472656], [1111.5709228515625, 482.9678955078125], [1074.3424072265625, 478.6689453125], [1128.75341796875, 508.761474609375], [1052.8643798828125, 485.8338317871094], [1114.4346923828125, 507.3285217285156], [1032.818115234375, 492.99871826171875], [1101.5478515625, 541.7200317382812], [1081.501708984375, 540.2870483398438], [1090.0928955078125, 578.9774780273438], [1087.229248046875, 587.5753173828125], [1094.3885498046875, 630.564697265625], [1094.3885498046875, 629.1317138671875]]","[[904.8229370117188, 620.3887329101562], [904.8229370117188, 616.065185546875], [906.2568359375, 616.065185546875], [907.690673828125, 620.3887329101562], [932.0663452148438, 617.50634765625], [897.6536254882812, 652.0946044921875], [947.8388671875, 646.3298950195312], [890.4843139648438, 679.4769897460938], [977.949951171875, 667.9475708007812], [914.8600463867188, 678.0358276367188], [969.3468627929688, 689.5652465820312], [910.558349609375, 728.47705078125], [943.5372924804688, 727.0358276367188], [906.2568359375, 790.4476318359375], [942.1034545898438, 778.918212890625], [909.12451171875, 852.4182739257812], [937.8018188476562, 832.2418212890625]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16473,"[[1092.2325439453125, 465.1529541015625], [1096.5428466796875, 460.8376159667969], [1087.92236328125, 460.8376159667969], [1102.289794921875, 462.27606201171875], [1082.1754150390625, 462.27606201171875], [1112.346923828125, 483.85284423828125], [1073.5550537109375, 479.5375061035156], [1128.1510009765625, 509.7449645996094], [1050.567138671875, 486.729736328125], [1115.220458984375, 506.8680725097656], [1031.8896484375, 492.48358154296875], [1102.289794921875, 541.3909301757812], [1082.1754150390625, 539.9524536132812], [1090.7957763671875, 580.2290649414062], [1086.485595703125, 588.8598022460938], [1095.1060791015625, 630.5748901367188], [1093.6693115234375, 630.5748901367188]]","[[905.4373779296875, 619.6926879882812], [905.4373779296875, 615.3845825195312], [909.713623046875, 613.948486328125], [908.2882080078125, 619.6926879882812], [932.5205078125, 618.2566528320312], [899.7356567382812, 649.8497314453125], [948.2002563476562, 644.1055297851562], [891.1830444335938, 680.0067749023438], [979.5596313476562, 668.5183715820312], [915.4153442382812, 682.8788452148438], [968.15625, 690.05908203125], [911.1390991210938, 728.8323974609375], [943.9239501953125, 725.9603271484375], [906.86279296875, 789.1464233398438], [942.49853515625, 779.0940551757812], [909.713623046875, 853.7686157226562], [938.2222900390625, 830.7918701171875]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16474,"[[1092.0142822265625, 465.0291442871094], [1096.301513671875, 460.707275390625], [1087.7269287109375, 460.707275390625], [1102.0179443359375, 462.14788818359375], [1083.439697265625, 462.14788818359375], [1112.0216064453125, 483.7571716308594], [1074.8651123046875, 477.99468994140625], [1129.1707763671875, 508.24774169921875], [1051.99951171875, 486.638427734375], [1114.8798828125, 506.8070983886719], [1031.9921875, 492.40087890625], [1102.0179443359375, 541.3819580078125], [1080.58154296875, 539.9413452148438], [1090.585205078125, 578.8380737304688], [1086.2978515625, 587.4818115234375], [1094.8724365234375, 630.7003784179688], [1093.443359375, 629.259765625]]","[[906.5132446289062, 619.3631591796875], [906.5132446289062, 615.05029296875], [907.9513549804688, 616.4879150390625], [907.9513549804688, 617.925537109375], [932.39892578125, 616.4879150390625], [899.3228149414062, 649.5531005859375], [948.2179565429688, 643.8026123046875], [892.13232421875, 678.305419921875], [978.41796875, 666.804443359375], [965.47509765625, 689.8063354492188], [966.9131469726562, 689.8063354492188], [912.265625, 727.184326171875], [943.9036254882812, 727.184326171875], [907.9513549804688, 789.0018310546875], [943.9036254882812, 778.9384765625], [909.389404296875, 852.2568359375], [938.1513061523438, 830.692626953125]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16475,"[[1091.9437255859375, 463.98846435546875], [1096.2584228515625, 461.1181335449219], [1087.62890625, 461.1181335449219], [1102.011474609375, 462.55328369140625], [1083.3140869140625, 462.55328369140625], [1112.0792236328125, 482.6455078125], [1074.6845703125, 478.34002685546875], [1130.7764892578125, 508.4783630371094], [1053.1107177734375, 485.51580810546875], [1114.955810546875, 507.04315185546875], [1032.9752197265625, 492.6916198730469], [1102.011474609375, 541.4869995117188], [1081.8758544921875, 541.4869995117188], [1090.5054931640625, 578.801025390625], [1086.190673828125, 587.4119873046875], [1094.8201904296875, 630.4667358398438], [1093.3819580078125, 629.0315551757812]]","[[906.3919067382812, 618.2588500976562], [906.3919067382812, 615.384033203125], [907.8250122070312, 613.9465942382812], [907.8250122070312, 618.2588500976562], [933.619873046875, 616.8214721679688], [899.2266845703125, 651.3195190429688], [947.9503173828125, 645.5698852539062], [906.3919067382812, 678.6304321289062], [979.4774780273438, 668.5685424804688], [966.5799560546875, 684.380126953125], [969.4461059570312, 684.380126953125], [912.1242065429688, 728.9400634765625], [945.0842895507812, 727.502685546875], [907.8250122070312, 787.874267578125], [943.6512451171875, 779.249755859375], [909.258056640625, 852.55810546875], [937.9190673828125, 830.9967651367188]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
16476,"[[1092.171142578125, 465.7384338378906], [1096.4683837890625, 461.4307556152344], [1087.8739013671875, 461.4307556152344], [1102.197998046875, 462.86663818359375], [1083.57666015625, 462.86663818359375], [1110.79248046875, 484.4050598144531], [1074.982177734375, 478.6614685058594], [1129.4139404296875, 510.2511291503906], [1052.0635986328125, 485.8409423828125], [1115.0897216796875, 507.3793640136719], [1033.442138671875, 493.0204162597656], [1102.197998046875, 540.4049072265625], [1080.7117919921875, 540.4049072265625], [1090.7386474609375, 579.174072265625], [1085.009033203125, 587.7894287109375], [1095.035888671875, 630.8662719726562], [1093.6036376953125, 627.9944458007812]]","[[907.1854248046875, 618.4338989257812], [907.1854248046875, 614.1195678710938], [910.054443359375, 612.6814575195312], [908.6199951171875, 618.4338989257812], [934.44140625, 616.9957885742188], [900.0128173828125, 650.072265625], [948.78662109375, 645.7579345703125], [901.4473876953125, 673.0819702148438], [973.1735229492188, 663.0152587890625], [917.22705078125, 642.8817749023438], [980.3461303710938, 674.5200805664062], [912.923583984375, 729.168212890625], [944.4830322265625, 729.168212890625], [907.1854248046875, 788.130615234375], [944.4830322265625, 779.501953125], [908.6199951171875, 851.4074096679688], [938.7449951171875, 831.2738647460938]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[977, 596]",None,None
