frame,top,bottom,court,net,ball,pos,type
27266,"[[1006.3887329101562, 373.9886779785156], [1009.2357177734375, 371.10931396484375], [1002.118408203125, 371.10931396484375], [1014.9295654296875, 372.5489807128906], [996.4246215820312, 373.9886779785156], [1026.317138671875, 389.82525634765625], [992.154296875, 392.70465087890625], [1047.6689453125, 404.22216796875], [979.3431396484375, 405.661865234375], [1054.7862548828125, 428.6968994140625], [976.4962768554688, 408.541259765625], [1024.8936767578125, 441.6540832519531], [1003.5418701171875, 443.09381103515625], [1027.7406005859375, 474.7669372558594], [996.4246215820312, 479.0860290527344], [1029.1640625, 516.5179443359375], [1010.6591796875, 506.4400939941406]]","[[927.8255615234375, 582.32470703125], [927.8255615234375, 578.0093994140625], [930.6803588867188, 576.5709838867188], [929.2529296875, 579.4478759765625], [950.663818359375, 578.0093994140625], [929.2529296875, 605.3394775390625], [966.365234375, 601.0242309570312], [917.833740234375, 639.8617553710938], [987.7760620117188, 631.2311401367188], [900.7050170898438, 670.0686645507812], [994.9130859375, 659.9996948242188], [942.0994873046875, 675.8223876953125], [967.7925415039062, 674.3839111328125], [927.8255615234375, 727.605712890625], [960.6556396484375, 710.3446044921875], [930.6803588867188, 788.0196533203125], [966.365234375, 766.4432373046875]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1012, 450]",None,None
27267,"[[1005.5732421875, 378.6659851074219], [1008.4449462890625, 374.3468322753906], [1001.2658081054688, 374.3468322753906], [1014.1881713867188, 374.3468322753906], [996.9583740234375, 375.7865295410156], [1028.54638671875, 391.6235656738281], [994.086669921875, 393.06329345703125], [1048.64794921875, 403.1413879394531], [979.7284545898438, 406.0208740234375], [1055.8270263671875, 424.73736572265625], [994.086669921875, 390.1838684082031], [1025.6748046875, 443.453857421875], [1004.137451171875, 443.453857421875], [1027.110595703125, 478.0074157714844], [995.5224609375, 478.0074157714844], [1028.54638671875, 519.7595825195312], [1011.3165893554688, 506.8019714355469]]","[[927.9362182617188, 579.559326171875], [929.3604125976562, 576.6898803710938], [930.78466796875, 576.6898803710938], [930.78466796875, 579.559326171875], [952.147705078125, 576.6898803710938], [930.78466796875, 606.819091796875], [969.2380981445312, 602.514892578125], [923.66357421875, 641.25244140625], [987.7527465820312, 631.2094116210938], [906.5732421875, 671.3816528320312], [994.873779296875, 661.338623046875], [946.4508666992188, 675.6858520507812], [969.2380981445312, 674.2511596679688], [930.78466796875, 724.4664306640625], [960.6929321289062, 712.9886474609375], [932.2088623046875, 787.5942993164062], [964.965576171875, 768.94287109375]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1012, 450]",None,None
27268,"[[1006.3984375, 381.6083068847656], [1009.2451171875, 375.864501953125], [1002.12841796875, 377.3004455566406], [1014.9384765625, 377.3004455566406], [997.8583984375, 378.7364501953125], [1029.171875, 394.53179931640625], [993.58837890625, 394.53179931640625], [1050.5220947265625, 404.5834045410156], [980.7783203125, 407.4552917480469], [1056.2154541015625, 423.2507019042969], [995.01171875, 388.7880554199219], [1024.90185546875, 444.78985595703125], [1003.5518188476562, 446.2257995605469], [1026.3251953125, 480.6884460449219], [995.01171875, 482.1243591308594], [1027.7486572265625, 520.8948974609375], [1010.6685180664062, 505.0995178222656]]","[[928.9102172851562, 576.3629150390625], [930.3322143554688, 573.4871826171875], [930.3322143554688, 573.4871826171875], [933.1762084960938, 577.80078125], [953.0839233398438, 574.925048828125], [931.7542114257812, 605.1199340820312], [970.1476440429688, 600.806396484375], [924.644287109375, 641.0662231445312], [990.0554809570312, 632.4391479492188], [911.8463745117188, 671.2611694335938], [995.743408203125, 661.1961669921875], [948.8179321289062, 674.1367797851562], [972.9916381835938, 669.8233032226562], [934.59814453125, 723.0238037109375], [960.19384765625, 712.9588623046875], [933.1762084960938, 786.2892456054688], [965.8817749023438, 769.0350952148438]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1012, 450]",None,None
27269,"[[1007.2078857421875, 385.14862060546875], [1008.6286010742188, 379.424560546875], [1002.9459838867188, 380.8555908203125], [1015.73193359375, 380.8555908203125], [998.6840209960938, 382.2865905761719], [1028.517822265625, 395.165771484375], [994.4219970703125, 398.02777099609375], [1049.827880859375, 405.182861328125], [981.635986328125, 408.0448913574219], [1055.5103759765625, 422.3550720214844], [997.2633056640625, 392.3037109375], [1024.2559814453125, 446.6824035644531], [1002.9459838867188, 446.6824035644531], [1025.6766357421875, 479.5958251953125], [994.4219970703125, 481.0268249511719], [1028.517822265625, 523.9573974609375], [1011.4699096679688, 506.7851257324219]]","[[930.0774536132812, 575.3628540039062], [931.50048828125, 572.4949340820312], [952.845947265625, 568.1930541992188], [932.9235229492188, 576.7968139648438], [954.2689819335938, 572.4949340820312], [932.9235229492188, 601.1741333007812], [971.3452758789062, 598.3062133789062], [927.2313842773438, 635.5890502929688], [991.2677612304688, 629.8532104492188], [914.424072265625, 668.570068359375], [995.5368041992188, 662.834228515625], [952.845947265625, 671.43798828125], [977.0374755859375, 664.2681884765625], [938.6156005859375, 724.494384765625], [961.3840942382812, 714.4566650390625], [934.3465576171875, 786.1546020507812], [965.6531982421875, 768.9470825195312]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1012, 450]",bottom,short service
27270,"[[1006.7440795898438, 388.1736755371094], [1009.60302734375, 382.4266662597656], [1002.455810546875, 383.8634338378906], [1016.7501220703125, 382.4266662597656], [999.5968627929688, 385.3001708984375], [1029.6151123046875, 399.6676330566406], [995.30859375, 401.1044006347656], [1049.627197265625, 408.28814697265625], [982.4437255859375, 409.7248840332031], [1055.3448486328125, 421.2189025878906], [998.16748046875, 393.9206848144531], [1025.32666015625, 448.5171203613281], [1003.88525390625, 447.08038330078125], [1026.756103515625, 485.87261962890625], [993.8792114257812, 484.4359130859375], [1029.6151123046875, 528.97509765625], [1011.0323486328125, 505.98712158203125]]","[[932.4625244140625, 573.4568481445312], [932.4625244140625, 570.5843505859375], [953.9562377929688, 567.7119140625], [933.8953857421875, 574.89306640625], [955.38916015625, 573.4568481445312], [932.4625244140625, 600.7451171875], [972.5841674804688, 596.4364013671875], [925.2979736328125, 636.6507568359375], [994.0778198242188, 630.9058837890625], [915.2675170898438, 668.2477416992188], [995.5106811523438, 663.9390869140625], [953.9562377929688, 671.1201782226562], [978.3157958984375, 663.9390869140625], [941.0599975585938, 722.8243408203125], [965.4195556640625, 712.770751953125], [936.76123046875, 784.58203125], [966.8524169921875, 765.9111938476562]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1016, 457]",None,None
27271,"[[1006.9844970703125, 387.79345703125], [1009.8438110351562, 382.0688171386719], [1002.6956176757812, 383.4999694824219], [1016.9918823242188, 383.4999694824219], [998.4067993164062, 384.93115234375], [1029.8585205078125, 399.24285888671875], [995.5475463867188, 400.67401123046875], [1048.443603515625, 406.3987121582031], [982.680908203125, 410.6922302246094], [1054.162109375, 420.7104187011719], [996.9771728515625, 396.3804931640625], [1024.1400146484375, 449.3338317871094], [1004.125244140625, 447.90264892578125], [1026.999267578125, 486.5443115234375], [994.117919921875, 482.2507629394531], [1029.8585205078125, 528.0482177734375], [1011.2733154296875, 505.1495056152344]]","[[932.5089111328125, 573.4033813476562], [932.5089111328125, 570.5286865234375], [953.9989013671875, 567.654052734375], [933.941650390625, 574.8406982421875], [955.4315185546875, 573.4033813476562], [932.5089111328125, 600.7127685546875], [972.62353515625, 596.4007568359375], [925.3456420898438, 636.6461791992188], [994.1134033203125, 632.3341674804688], [915.3170166015625, 668.267578125], [995.5460205078125, 663.9556274414062], [953.9989013671875, 671.1422729492188], [978.3541259765625, 663.9556274414062], [941.1049194335938, 722.8864135742188], [965.4601440429688, 712.8250732421875], [936.8069458007812, 784.69189453125], [966.8928833007812, 766.006591796875]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1018, 459]",None,None
27272,"[[1008.036865234375, 389.36859130859375], [1010.8994750976562, 385.05413818359375], [1005.17431640625, 386.4922790527344], [1018.0557861328125, 386.4922790527344], [1000.8804931640625, 386.4922790527344], [1030.9373779296875, 402.3119201660156], [996.586669921875, 402.3119201660156], [1045.2501220703125, 409.5027160644531], [985.1364135742188, 409.5027160644531], [1052.406494140625, 423.8841857910156], [1000.8804931640625, 396.559326171875], [1026.6435546875, 451.2090148925781], [1003.7429809570312, 449.7708740234375], [1028.07470703125, 488.6009216308594], [990.8615112304688, 484.2864685058594], [1028.07470703125, 527.4309692382812], [1010.8994750976562, 504.4205627441406]]","[[933.2032470703125, 575.567626953125], [934.640869140625, 571.2451171875], [954.7682495117188, 568.3634033203125], [934.640869140625, 575.567626953125], [956.2059326171875, 574.1267700195312], [931.7655639648438, 601.5026245117188], [973.4578857421875, 597.1801147460938], [926.014892578125, 634.6419067382812], [995.02294921875, 633.2010498046875], [917.388916015625, 667.7811279296875], [996.4605712890625, 664.8994750976562], [954.7682495117188, 669.2219848632812], [980.646240234375, 664.8994750976562], [941.8292236328125, 723.9738159179688], [970.5825805664062, 708.1245727539062], [940.3916015625, 784.4889526367188], [969.1448974609375, 764.317138671875]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1020, 454]",None,None
27273,"[[1008.5869750976562, 393.4024353027344], [1011.4607543945312, 389.0943603515625], [1005.7133178710938, 389.0943603515625], [1018.6450805664062, 389.0943603515625], [1001.4027099609375, 390.5303955078125], [1030.14013671875, 406.3266296386719], [997.092041015625, 404.8905944824219], [1043.0718994140625, 413.5067138671875], [985.59716796875, 410.6346740722656], [1051.693115234375, 426.43084716796875], [999.9658203125, 394.8384704589844], [1024.392578125, 455.1512451171875], [1001.4027099609375, 455.1512451171875], [1027.266357421875, 488.1797180175781], [991.3446044921875, 485.3076477050781], [1028.703125, 526.9522094726562], [1010.02392578125, 505.41192626953125]]","[[934.1495361328125, 578.284423828125], [935.5774536132812, 573.9807739257812], [955.5672607421875, 572.5462036132812], [937.0053100585938, 579.7189331054688], [956.9951171875, 576.849853515625], [932.7217407226562, 604.1064453125], [974.1292724609375, 599.8027954101562], [924.1546630859375, 639.970458984375], [994.119140625, 634.232177734375], [917.015380859375, 671.5307006835938], [998.4026489257812, 667.22705078125], [956.9951171875, 672.9652709960938], [982.6962890625, 668.6615600585938], [941.2887573242188, 724.609375], [972.701416015625, 705.9600830078125], [941.2887573242188, 790.5990600585938], [978.4127807617188, 761.9078369140625]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1023, 449]",None,None
27274,"[[1009.2177734375, 393.0478210449219], [1012.0684814453125, 388.7370910644531], [1004.9417114257812, 388.7370910644531], [1019.1953125, 391.61090087890625], [1002.0909423828125, 391.61090087890625], [1030.5982666015625, 408.85382080078125], [996.3895874023438, 405.9800109863281], [1042.001220703125, 427.53363037109375], [986.4119873046875, 411.7276306152344], [1047.70263671875, 436.15509033203125], [986.4119873046875, 410.2907409667969], [1024.8968505859375, 454.83489990234375], [1002.0909423828125, 451.9610900878906], [1026.3221435546875, 489.3206787109375], [989.2626342773438, 482.13616943359375], [1027.74755859375, 529.5541381835938], [1009.2177734375, 503.6897888183594]]","[[937.2424926757812, 584.0341796875], [937.2424926757812, 582.596923828125], [958.7406616210938, 576.8482055664062], [938.6757202148438, 584.0341796875], [958.7406616210938, 581.1597900390625], [932.94287109375, 608.4664306640625], [975.9392700195312, 604.1548461914062], [925.7767333984375, 644.3963012695312], [994.5709838867188, 637.2102661132812], [917.177490234375, 677.4517211914062], [1000.3038940429688, 668.8285522460938], [957.3074951171875, 677.4517211914062], [984.5385131835938, 673.14013671875], [940.10888671875, 727.7534790039062], [977.3723754882812, 706.1956176757812], [941.5421142578125, 795.3015747070312], [987.4049072265625, 755.0601196289062]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1026, 444]",None,None
27275,"[[1011.53955078125, 392.4446105957031], [1014.41455078125, 389.5730285644531], [1007.22705078125, 389.5730285644531], [1020.1644897460938, 391.00885009765625], [1002.9146728515625, 391.00885009765625], [1028.7894287109375, 408.2381591796875], [997.1646728515625, 405.36663818359375], [1037.414306640625, 426.9032897949219], [981.3523559570312, 415.41705322265625], [1043.164306640625, 439.8253173828125], [984.2273559570312, 411.1097412109375], [1024.4769287109375, 452.747314453125], [1004.3521728515625, 449.87579345703125], [1027.3519287109375, 490.0776062011719], [988.5398559570312, 482.8987121582031], [1028.7894287109375, 528.8436889648438], [1007.22705078125, 501.5638427734375]]","[[938.7843017578125, 592.750732421875], [938.7843017578125, 589.8826904296875], [958.7577514648438, 585.5806274414062], [940.2110595703125, 591.3167114257812], [960.1844482421875, 588.4486694335938], [935.9310302734375, 615.6951293945312], [975.8778076171875, 609.9590454101562], [925.9443359375, 650.1116943359375], [997.2778930664062, 644.3756103515625], [917.38427734375, 684.5282592773438], [1004.4113159179688, 675.924072265625], [958.7577514648438, 685.9622802734375], [985.8645629882812, 680.2261962890625], [938.7843017578125, 734.7190551757812], [980.1578369140625, 707.4725952148438], [944.4910888671875, 797.8161010742188], [994.424560546875, 753.3613891601562]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[1028, 442]",top,net shot
