frame,top,bottom,court,net,ball,pos,type
69424,"[[960.9141845703125, 339.4886779785156], [963.780517578125, 335.1759338378906], [956.6145629882812, 335.1759338378906], [965.2137451171875, 336.6134948730469], [949.4486083984375, 333.73834228515625], [966.6469116210938, 353.8644714355469], [937.983154296875, 350.98931884765625], [982.4119873046875, 376.86578369140625], [937.983154296875, 378.3033447265625], [992.4442138671875, 396.99188232421875], [948.0155029296875, 401.3046875], [952.3150024414062, 398.42950439453125], [933.68359375, 398.42950439453125], [955.181396484375, 427.1811218261719], [939.4163818359375, 434.3690490722656], [950.8818969726562, 451.6200256347656], [939.4163818359375, 471.7461242675781]]","[[1107.5555419921875, 568.040283203125], [1107.5555419921875, 563.7169799804688], [1108.986328125, 563.7169799804688], [1107.5555419921875, 563.7169799804688], [1129.01806640625, 565.1580810546875], [1098.970458984375, 588.215576171875], [1137.6031494140625, 589.6566162109375], [1063.199462890625, 604.0675659179688], [1164.7891845703125, 615.5963134765625], [1063.199462890625, 602.62646484375], [1141.8956298828125, 606.9497680664062], [1107.5555419921875, 655.9468994140625], [1134.741455078125, 655.9468994140625], [1088.95458984375, 710.7083740234375], [1130.4488525390625, 702.061767578125], [1090.3853759765625, 769.7930908203125], [1129.01806640625, 752.5]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[997, 400]",None,None
69425,"[[959.5546875, 338.0874328613281], [962.4158325195312, 333.7703857421875], [955.26318359375, 333.7703857421875], [965.27685546875, 335.2093811035156], [948.1104125976562, 332.33135986328125], [966.7074584960938, 353.9166564941406], [938.0967407226562, 351.0386047363281], [981.0127563476562, 374.0628967285156], [939.5272216796875, 378.3799743652344], [993.8875732421875, 395.6482238769531], [949.541015625, 399.96527099609375], [953.8325805664062, 398.5262756347656], [933.8051147460938, 398.5262756347656], [952.4020385742188, 431.62371826171875], [939.5272216796875, 434.50177001953125], [950.9715576171875, 451.7699890136719], [939.5272216796875, 470.4772644042969]]","[[1107.8187255859375, 567.3247680664062], [1106.3826904296875, 563.0128173828125], [1109.2547607421875, 563.0128173828125], [1107.8187255859375, 563.0128173828125], [1129.3592529296875, 564.4500732421875], [1097.766357421875, 587.4469604492188], [1137.9755859375, 588.88427734375], [1063.3013916015625, 606.1319580078125], [1163.82421875, 616.193115234375], [1063.3013916015625, 603.25732421875], [1165.26025390625, 617.6304321289062], [1104.946533203125, 657.8749389648438], [1133.6673583984375, 656.4376220703125], [1089.150146484375, 709.617919921875], [1130.79541015625, 705.3059692382812], [1090.5863037109375, 767.110107421875], [1129.3592529296875, 752.737060546875]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[999, 399]",None,None
69426,"[[959.0651245117188, 337.96844482421875], [961.940673828125, 333.6429443359375], [956.1895751953125, 333.6429443359375], [964.816162109375, 333.6429443359375], [949.000732421875, 333.6429443359375], [967.6917114257812, 353.82861328125], [937.4985961914062, 350.9449157714844], [982.0694580078125, 374.0142822265625], [938.9364013671875, 376.89794921875], [995.0093994140625, 395.6417541503906], [949.000732421875, 398.5254211425781], [954.7518920898438, 398.5254211425781], [936.0608520507812, 398.5254211425781], [953.3140869140625, 431.68756103515625], [938.9364013671875, 434.5712585449219], [950.4385375976562, 453.3150634765625], [940.3740844726562, 472.05889892578125]]","[[1106.8101806640625, 565.86669921875], [1106.8101806640625, 560.1029052734375], [1108.24853515625, 562.9848022460938], [1108.24853515625, 562.9848022460938], [1129.82470703125, 564.4257202148438], [1098.1796875, 586.039794921875], [1137.0167236328125, 588.9216918945312], [1063.657958984375, 606.2129516601562], [1161.4696044921875, 614.8585815429688], [1063.657958984375, 604.7720336914062], [1139.8935546875, 606.2129516601562], [1103.933349609375, 656.6458129882812], [1132.7015380859375, 656.6458129882812], [1088.11083984375, 708.51953125], [1129.82470703125, 705.6376953125], [1090.9876708984375, 767.5980224609375], [1129.82470703125, 753.1886596679688]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1000, 398]",None,None
69427,"[[959.4364013671875, 335.6744384765625], [962.29345703125, 331.3796691894531], [955.15087890625, 331.3796691894531], [965.1504516601562, 332.8112487792969], [948.0083618164062, 331.3796691894531], [966.5789184570312, 352.8533935546875], [938.0087280273438, 349.9902038574219], [983.7210693359375, 374.3271179199219], [935.1517333984375, 371.46392822265625], [995.1491088867188, 394.3692626953125], [949.4368286132812, 397.232421875], [953.722412109375, 400.0955810546875], [936.5802612304688, 398.6639404296875], [953.722412109375, 433.02191162109375], [939.4373168945312, 435.88507080078125], [949.4368286132812, 454.4956359863281], [939.4373168945312, 470.2430419921875]]","[[1109.806640625, 567.1278076171875], [1106.947265625, 561.3844604492188], [1108.376953125, 562.8203125], [1106.947265625, 562.8203125], [1128.3922119140625, 562.8203125], [1096.9398193359375, 585.7938232421875], [1136.9700927734375, 588.6654663085938], [1062.6280517578125, 605.8955688476562], [1158.4149169921875, 614.5106201171875], [1062.6280517578125, 605.8955688476562], [1164.133544921875, 618.818115234375], [1102.658447265625, 657.5858764648438], [1131.25146484375, 656.1500244140625], [1086.93212890625, 707.8402709960938], [1129.82177734375, 704.9686279296875], [1089.79150390625, 765.2739868164062], [1128.3922119140625, 753.7871704101562]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1001, 398]",None,None
69428,"[[958.2236938476562, 332.575927734375], [962.4780883789062, 329.6949768066406], [955.3875732421875, 329.6949768066406], [965.3143310546875, 331.1354675292969], [948.2969970703125, 329.6949768066406], [968.1505126953125, 351.3021240234375], [938.3702392578125, 348.421142578125], [983.749755859375, 372.9092102050781], [935.5339965820312, 372.9092102050781], [995.0946044921875, 390.1949462890625], [951.1331787109375, 397.3973083496094], [955.3875732421875, 400.2782897949219], [936.9520874023438, 398.8377685546875], [953.9694213867188, 431.9687194824219], [939.788330078125, 436.2901306152344], [951.1331787109375, 453.5758056640625], [939.788330078125, 470.8615417480469]]","[[1108.4158935546875, 563.0842895507812], [1106.9853515625, 558.771240234375], [1108.4158935546875, 558.771240234375], [1106.9853515625, 561.6466064453125], [1129.873779296875, 561.6466064453125], [1095.5411376953125, 584.6499633789062], [1137.0263671875, 588.9630737304688], [1062.6390380859375, 607.6533203125], [1158.4842529296875, 616.2796020507812], [1061.20849609375, 609.091064453125], [1159.914794921875, 617.71728515625], [1101.26318359375, 656.5354614257812], [1129.873779296875, 656.5354614257812], [1086.9580078125, 709.730712890625], [1129.873779296875, 705.4175415039062], [1088.3885498046875, 764.3637084960938], [1128.4432373046875, 752.862060546875]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1003, 397]",None,None
69429,"[[958.2252807617188, 332.5993347167969], [962.4761352539062, 329.71942138671875], [955.391357421875, 329.71942138671875], [965.31005859375, 331.15936279296875], [948.3065795898438, 329.71942138671875], [968.14404296875, 351.31890869140625], [938.3878173828125, 348.4389953613281], [983.7305908203125, 372.91845703125], [935.5538940429688, 372.91845703125], [995.0662841796875, 390.1980285644531], [951.1404418945312, 397.3978576660156], [955.391357421875, 400.2778015136719], [936.9708251953125, 400.2778015136719], [953.974365234375, 431.95709228515625], [939.8048095703125, 436.2769775390625], [951.1404418945312, 453.556640625], [939.8048095703125, 470.8362121582031]]","[[1108.4927978515625, 563.0921630859375], [1107.0618896484375, 558.7772216796875], [1108.4927978515625, 558.7772216796875], [1107.0618896484375, 561.6538696289062], [1129.9566650390625, 561.6538696289062], [1095.614501953125, 584.666748046875], [1137.1112060546875, 588.981689453125], [1062.7032470703125, 607.6796875], [1158.5750732421875, 616.3095092773438], [1061.2724609375, 609.1179809570312], [1160.0059814453125, 617.747802734375], [1101.3382568359375, 656.5821533203125], [1129.9566650390625, 656.5821533203125], [1085.5980224609375, 709.7994995117188], [1129.9566650390625, 705.4845581054688], [1088.4599609375, 764.4551391601562], [1128.5257568359375, 752.9486694335938]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1004, 396]",None,None
69430,"[[957.9255981445312, 332.17425537109375], [960.7656860351562, 329.3082275390625], [955.0855102539062, 327.8752136230469], [965.02587890625, 330.7412414550781], [947.9853515625, 329.3082275390625], [967.865966796875, 349.37054443359375], [938.0449829101562, 347.9375305175781], [983.4864501953125, 370.8658752441406], [935.204833984375, 372.2989196777344], [994.8468627929688, 386.6291198730469], [950.825439453125, 395.227294921875], [955.0855102539062, 400.9593811035156], [938.0449829101562, 400.9593811035156], [955.0855102539062, 432.48583984375], [940.8850708007812, 435.3519287109375], [950.825439453125, 456.8472595214844], [939.4650268554688, 469.7444763183594]]","[[1106.910888671875, 563.2088012695312], [1106.910888671875, 557.466064453125], [1106.910888671875, 557.466064453125], [1106.910888671875, 560.33740234375], [1129.9033203125, 560.33740234375], [1093.9776611328125, 584.7439575195312], [1135.6514892578125, 587.6152954101562], [1062.3631591796875, 610.586181640625], [1157.2069091796875, 617.7645263671875], [1060.9261474609375, 613.45751953125], [1138.5255126953125, 609.1505126953125], [1099.725830078125, 655.0921630859375], [1127.029296875, 655.0921630859375], [1085.3555908203125, 708.2122802734375], [1129.9033203125, 705.3409423828125], [1088.2296142578125, 765.639404296875], [1129.9033203125, 752.71826171875]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1005, 396]",None,None
69431,"[[958.4723510742188, 331.8132629394531], [962.7232666015625, 327.5032958984375], [955.6384887695312, 327.5032958984375], [965.5571899414062, 330.3766174316406], [948.5535888671875, 327.5032958984375], [968.3911743164062, 349.0530090332031], [938.634765625, 347.6163635253906], [982.560791015625, 366.29278564453125], [934.3838500976562, 372.0393371582031], [995.3135986328125, 384.9691467285156], [951.3875122070312, 393.58905029296875], [955.6384887695312, 400.77227783203125], [937.2177734375, 399.33563232421875], [954.2214965820312, 433.81512451171875], [940.0517578125, 436.68841552734375], [951.3875122070312, 456.8014831542969], [940.0517578125, 471.1679382324219]]","[[1115.1644287109375, 556.4196166992188], [1106.5360107421875, 554.9844360351562], [1109.412109375, 553.5492553710938], [1106.5360107421875, 559.2900390625], [1128.1070556640625, 560.7252197265625], [1092.1552734375, 583.688232421875], [1135.2974853515625, 587.9938354492188], [1063.3936767578125, 609.5216674804688], [1153.9925537109375, 619.5679931640625], [1060.5174560546875, 621.0031127929688], [1135.2974853515625, 610.9568481445312], [1096.469482421875, 656.8828735351562], [1125.23095703125, 656.8828735351562], [1084.96484375, 708.5496826171875], [1128.1070556640625, 704.244140625], [1087.8409423828125, 765.957275390625], [1129.545166015625, 753.04052734375]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1007, 395]",None,None
69432,"[[957.5730590820312, 331.7774658203125], [961.8370971679688, 326.021240234375], [954.7304077148438, 326.021240234375], [964.6797485351562, 328.89935302734375], [947.6237182617188, 326.021240234375], [968.9437866210938, 349.0461120605469], [939.095703125, 346.1679992675781], [984.5784301757812, 366.3147888183594], [934.8316650390625, 369.1929016113281], [997.3704833984375, 385.0224914550781], [950.4663696289062, 390.77874755859375], [956.1516723632812, 400.8521423339844], [939.095703125, 399.4130859375], [954.7304077148438, 432.5113220214844], [940.5170288085938, 435.38946533203125], [951.8877563476562, 454.09716796875], [939.095703125, 469.9267883300781]]","[[1113.7119140625, 559.000244140625], [1105.121337890625, 556.1275024414062], [1107.9849853515625, 556.1275024414062], [1105.121337890625, 559.000244140625], [1128.029541015625, 561.8729858398438], [1090.8037109375, 584.855224609375], [1133.756591796875, 589.1644287109375], [1065.0321044921875, 606.4010620117188], [1148.07421875, 619.3285522460938], [1059.3050537109375, 625.0740966796875], [1128.029541015625, 604.9646606445312], [1093.6673583984375, 656.6746215820312], [1122.302490234375, 656.6746215820312], [1086.508544921875, 709.8209838867188], [1126.5977783203125, 704.075439453125], [1086.508544921875, 762.96728515625], [1128.029541015625, 752.9126586914062]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1008, 394]",None,None
69433,"[[958.97314453125, 330.2141418457031], [961.8275756835938, 325.9063415527344], [954.6915893554688, 325.9063415527344], [966.1093139648438, 327.34228515625], [947.5555419921875, 325.9063415527344], [968.963623046875, 347.4453430175781], [938.9921875, 346.0093994140625], [983.23583984375, 363.2406005859375], [934.7106323242188, 368.98431396484375], [994.653564453125, 376.1639709472656], [948.982666015625, 389.0873718261719], [957.5460205078125, 397.70294189453125], [938.9921875, 396.2669982910156], [954.6915893554688, 432.1653137207031], [940.4193725585938, 435.0372009277344], [951.8370971679688, 456.5761413574219], [940.4193725585938, 469.4995422363281]]","[[1111.1663818359375, 562.013671875], [1104.0301513671875, 556.249755859375], [1106.884765625, 556.249755859375], [1104.0301513671875, 559.1317138671875], [1126.865966796875, 560.5726318359375], [1088.3306884765625, 585.0692138671875], [1132.5748291015625, 587.951171875], [1062.640625, 612.44775390625], [1143.99267578125, 622.5345458984375], [1058.35888671875, 631.180419921875], [1129.7203369140625, 613.8887329101562], [1091.18505859375, 655.677001953125], [1121.156982421875, 657.1179809570312], [1085.4761962890625, 710.4340209960938], [1124.0113525390625, 704.6701049804688], [1086.9034423828125, 765.1911010742188], [1128.2930908203125, 752.2222900390625]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1009, 394]",None,None
