frame,top,bottom,court,net,ball,pos,type
77160,"[[1004.3328857421875, 306.3238220214844], [1007.1546630859375, 302.0232849121094], [1001.5111694335938, 302.0232849121094], [1009.9763793945312, 302.0232849121094], [994.456787109375, 302.0232849121094], [1012.7981567382812, 314.9249267578125], [985.9916381835938, 317.7919616699219], [1019.8524780273438, 330.6936340332031], [985.9916381835938, 336.4277038574219], [1024.0850830078125, 337.8612365722656], [1007.1546630859375, 337.8612365722656], [1002.9220581054688, 352.1964111328125], [985.9916381835938, 352.1964111328125], [1002.9220581054688, 385.16729736328125], [984.580810546875, 383.73382568359375], [1002.9220581054688, 416.7047119140625], [984.580810546875, 406.6701354980469]]","[[878.5787353515625, 544.2850952148438], [882.8798217773438, 539.96484375], [875.71142578125, 539.96484375], [869.9766235351562, 544.2850952148438], [888.6146240234375, 544.2850952148438], [858.507080078125, 564.4462890625], [897.2166748046875, 568.7665405273438], [848.4713134765625, 586.0475463867188], [908.6862182617188, 597.5682373046875], [852.7723999023438, 571.646728515625], [904.3851318359375, 580.2872314453125], [865.675537109375, 624.9298706054688], [890.0482788085938, 624.9298706054688], [859.9408569335938, 685.4134521484375], [890.0482788085938, 663.8121337890625], [862.8082275390625, 738.6966552734375], [890.0482788085938, 705.5746459960938]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1031, 350]",None,None
77161,"[[1004.804931640625, 306.2597351074219], [1007.6184692382812, 301.9527587890625], [1001.9913330078125, 303.388427734375], [1010.4320068359375, 301.9527587890625], [994.9574584960938, 301.9527587890625], [1011.8388061523438, 314.8736572265625], [986.5169067382812, 319.18060302734375], [1020.2793579101562, 329.2301940917969], [986.5169067382812, 337.8441162109375], [1024.499755859375, 337.8441162109375], [1007.6184692382812, 337.8441162109375], [1003.3981323242188, 352.20068359375], [986.5169067382812, 350.7649841308594], [1003.3981323242188, 385.220703125], [983.7033081054688, 383.7850646972656], [1003.3981323242188, 416.8050842285156], [983.7033081054688, 408.191162109375]]","[[878.4110107421875, 544.3966064453125], [882.7237548828125, 540.077392578125], [875.5358276367188, 540.077392578125], [869.7855834960938, 544.3966064453125], [889.9116821289062, 544.3966064453125], [858.284912109375, 564.5529174804688], [897.0994873046875, 568.8721313476562], [848.221923828125, 586.14892578125], [908.60009765625, 597.6668090820312], [852.53466796875, 571.7515258789062], [904.2874145507812, 580.3899536132812], [865.4728393554688, 626.4615478515625], [889.9116821289062, 625.0217895507812], [861.1600952148438, 685.49072265625], [889.9116821289062, 663.8946533203125], [862.59765625, 738.7608642578125], [889.9116821289062, 705.6470336914062]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1031, 350]",None,None
77162,"[[1005.4163208007812, 305.9835205078125], [1008.2704467773438, 301.6737060546875], [1002.5623168945312, 301.6737060546875], [1011.1243896484375, 301.6737060546875], [995.4271850585938, 301.6737060546875], [1012.5513916015625, 314.6031494140625], [985.4381103515625, 317.4763488769531], [1018.259521484375, 330.4057312011719], [989.7191772460938, 339.0253601074219], [1023.9675903320312, 339.0253601074219], [1011.1243896484375, 337.5887451171875], [1002.5623168945312, 351.9547424316406], [986.8651123046875, 350.5181579589844], [1002.5623168945312, 384.99658203125], [984.0111083984375, 383.5599670410156], [1002.5623168945312, 416.601806640625], [985.4381103515625, 406.54559326171875]]","[[879.2802124023438, 544.8274536132812], [883.5487060546875, 540.5176391601562], [875.0117797851562, 540.5176391601562], [870.7432861328125, 543.3908081054688], [889.239990234375, 544.8274536132812], [859.3607788085938, 564.9400634765625], [897.77685546875, 569.2498779296875], [847.9782104492188, 586.4892578125], [909.159423828125, 597.982177734375], [852.2466430664062, 570.6864624023438], [903.4681396484375, 582.1793823242188], [865.052001953125, 623.8412475585938], [889.239990234375, 623.8412475585938], [860.7835693359375, 685.6156005859375], [890.6627807617188, 664.06640625], [862.2063598632812, 738.7703247070312], [889.239990234375, 705.7282104492188]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1031, 350]",None,None
77163,"[[1005.371337890625, 305.836669921875], [1008.2255249023438, 301.5231018066406], [1002.5172729492188, 301.5231018066406], [1011.0796508789062, 301.5231018066406], [995.3818359375, 301.5231018066406], [1012.5067749023438, 314.4638366699219], [985.392333984375, 317.33953857421875], [1018.2150268554688, 330.2802734375], [989.673583984375, 338.90740966796875], [1023.92333984375, 338.90740966796875], [1011.0796508789062, 337.4695739746094], [1002.5172729492188, 351.84814453125], [986.8193969726562, 350.4103088378906], [1002.5172729492188, 384.9189147949219], [983.96533203125, 383.4810791015625], [1002.5172729492188, 416.55181884765625], [985.392333984375, 406.48681640625]]","[[879.2744750976562, 544.8131713867188], [883.5436401367188, 540.5031127929688], [875.0054931640625, 540.5031127929688], [870.736328125, 544.8131713867188], [889.2357788085938, 544.8131713867188], [859.3519897460938, 564.9266357421875], [897.7740478515625, 569.2366943359375], [847.9677734375, 586.4769287109375], [909.1582641601562, 597.9703979492188], [852.2368774414062, 570.6734008789062], [903.4661254882812, 582.1668701171875], [865.044189453125, 623.8306884765625], [889.2357788085938, 623.8306884765625], [860.7750244140625, 685.6080322265625], [890.6588134765625, 664.0578002929688], [862.1981201171875, 738.7652587890625], [889.2357788085938, 705.7215576171875]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1031, 350]",None,None
77164,"[[1005.3925170898438, 305.86077880859375], [1006.82568359375, 301.5497131347656], [1002.526123046875, 301.5497131347656], [1011.1251831054688, 301.5497131347656], [995.3602905273438, 301.5497131347656], [1012.558349609375, 314.48297119140625], [985.3280639648438, 317.3570251464844], [1018.2911376953125, 330.290283203125], [983.8948974609375, 334.60137939453125], [1024.0238037109375, 340.3494873046875], [1013.9915771484375, 340.3494873046875], [1002.526123046875, 353.2827453613281], [985.3280639648438, 351.8457336425781], [1002.526123046875, 384.89739990234375], [983.8948974609375, 383.4603576660156], [1002.526123046875, 416.5120544433594], [983.8948974609375, 406.45281982421875]]","[[879.2781982421875, 544.8084106445312], [883.5460815429688, 540.498046875], [876.4329833984375, 540.498046875], [870.7424926757812, 544.8084106445312], [889.236572265625, 544.8084106445312], [859.3615112304688, 564.9232177734375], [897.7722778320312, 569.2335815429688], [847.9805297851562, 586.4747924804688], [909.1532592773438, 597.968994140625], [852.2484130859375, 570.6703491210938], [903.4627685546875, 582.16455078125], [865.052001953125, 623.8309326171875], [889.236572265625, 623.8309326171875], [860.7841186523438, 685.6121826171875], [890.6591796875, 664.060546875], [862.2067260742188, 738.7727661132812], [889.236572265625, 705.7269897460938]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1031, 350]",None,None
77165,"[[1005.372314453125, 307.564453125], [1006.7984008789062, 303.2513732910156], [1002.5200805664062, 303.2513732910156], [1011.0767822265625, 303.2513732910156], [995.3894653320312, 301.81365966796875], [1012.5028686523438, 314.7529602050781], [985.4065551757812, 316.190673828125], [1016.78125, 333.44305419921875], [996.8156127929688, 336.3184509277344], [1022.4857788085938, 343.5069274902344], [1016.78125, 342.0692443847656], [1002.5200805664062, 353.5708312988281], [985.4065551757812, 353.5708312988281], [1002.5200805664062, 385.2002258300781], [983.9804077148438, 383.7625427246094], [1002.5200805664062, 416.82958984375], [983.9804077148438, 406.76568603515625]]","[[878.911865234375, 544.623291015625], [883.1751708984375, 540.3176879882812], [876.069580078125, 540.3176879882812], [870.3850708007812, 544.623291015625], [888.8596801757812, 544.623291015625], [859.01611328125, 564.7164306640625], [897.3864135742188, 569.0220947265625], [847.6471557617188, 586.2447509765625], [908.75537109375, 597.7265014648438], [851.9104614257812, 571.8925170898438], [904.4920654296875, 581.9390869140625], [866.1217041015625, 623.560546875], [890.2808227539062, 623.560546875], [860.4371948242188, 685.2750854492188], [890.2808227539062, 663.7467651367188], [863.2794799804688, 739.8135375976562], [890.2808227539062, 705.3682250976562]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1031, 350]",None,None
77166,"[[1004.682373046875, 305.9288330078125], [1006.091064453125, 301.603271484375], [1000.4562377929688, 301.603271484375], [1010.3171997070312, 301.603271484375], [994.8212890625, 300.161376953125], [1011.7260131835938, 314.5799865722656], [984.9603271484375, 314.5799865722656], [1015.9521484375, 331.88232421875], [996.22998046875, 334.7660827636719], [1021.5869750976562, 344.8591003417969], [1017.36083984375, 343.417236328125], [1001.8649291992188, 353.5102844238281], [984.9603271484375, 353.5102844238281], [1003.2736206054688, 385.231201171875], [983.5515747070312, 383.78936767578125], [1003.2736206054688, 416.9521789550781], [983.5515747070312, 408.3009948730469]]","[[878.8478393554688, 544.491455078125], [883.1099243164062, 540.1845092773438], [876.0065307617188, 540.1845092773438], [870.3237915039062, 544.491455078125], [888.7926025390625, 544.491455078125], [858.9583129882812, 564.5907592773438], [897.3167114257812, 568.8977661132812], [847.5928955078125, 586.1256713867188], [908.68212890625, 597.6109619140625], [851.8549194335938, 571.76904296875], [904.420166015625, 581.8187255859375], [866.061767578125, 623.4529418945312], [890.2133178710938, 623.4529418945312], [860.3790283203125, 685.1864013671875], [890.2133178710938, 663.6514282226562], [863.2203369140625, 739.7415771484375], [890.2133178710938, 705.2857055664062]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1031, 350]",None,None
77167,"[[1001.3406982421875, 303.4837341308594], [1005.5702514648438, 300.6257019042969], [998.52099609375, 299.1966857910156], [1009.7999267578125, 302.0547180175781], [994.2913818359375, 299.1966857910156], [1011.2097778320312, 314.9158630371094], [984.4223022460938, 314.9158630371094], [1015.4393310546875, 333.4931335449219], [995.7012329101562, 334.9221496582031], [1021.078857421875, 350.641357421875], [1022.4887084960938, 352.07037353515625], [1001.3406982421875, 353.4993896484375], [984.4223022460938, 352.07037353515625], [1002.7505493164062, 384.9377746582031], [983.012451171875, 382.07977294921875], [1002.7505493164062, 416.376220703125], [984.4223022460938, 407.8020935058594]]","[[878.454833984375, 544.5150756835938], [882.7640380859375, 540.2071533203125], [875.5819702148438, 540.2071533203125], [869.8363647460938, 544.5150756835938], [889.946044921875, 544.5150756835938], [858.3451538085938, 564.61865234375], [897.1280517578125, 568.926513671875], [848.2903442382812, 586.1581420898438], [908.6192626953125, 597.6459350585938], [852.5995483398438, 571.7984619140625], [904.31005859375, 581.8502197265625], [865.5271606445312, 622.057373046875], [889.946044921875, 623.4933471679688], [859.7815551757812, 685.2400512695312], [889.946044921875, 663.7005004882812], [862.6543579101562, 738.370849609375], [889.946044921875, 705.3435668945312]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1035, 360]",None,None
77168,"[[1005.9760131835938, 305.8806457519531], [1005.9760131835938, 301.5616455078125], [1000.2551879882812, 300.1219787597656], [1010.2666625976562, 300.1219787597656], [994.534423828125, 298.68231201171875], [1010.2666625976562, 313.0790100097656], [983.0927734375, 313.0790100097656], [1014.5572509765625, 334.67401123046875], [981.66259765625, 331.794677734375], [1017.4176635742188, 350.5103759765625], [980.2323608398438, 343.31201171875], [1000.2551879882812, 353.38970947265625], [984.52294921875, 351.95001220703125], [1003.1156005859375, 383.62274169921875], [983.0927734375, 382.18304443359375], [1003.1156005859375, 416.735107421875], [984.52294921875, 406.65740966796875]]","[[879.9667358398438, 544.872314453125], [882.8463134765625, 540.55615234375], [875.647216796875, 540.55615234375], [869.8880004882812, 543.43359375], [890.0454711914062, 544.872314453125], [858.3695068359375, 565.014404296875], [897.2445678710938, 569.33056640625], [848.290771484375, 585.156494140625], [908.7630004882812, 598.10498046875], [852.6101684570312, 570.769287109375], [904.443603515625, 582.279052734375], [865.568603515625, 622.563232421875], [890.0454711914062, 622.563232421875], [859.8092651367188, 685.866943359375], [890.0454711914062, 662.847412109375], [862.6889038085938, 739.099609375], [890.0454711914062, 706.0090942382812]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1037, 367]",None,None
77169,"[[1006.0187377929688, 305.796630859375], [1006.0187377929688, 301.4721374511719], [1000.2947387695312, 300.0306396484375], [1010.311767578125, 300.0306396484375], [994.57080078125, 298.5891418457031], [1010.311767578125, 313.0041198730469], [983.1228637695312, 313.0041198730469], [1014.6046752929688, 334.6265869140625], [981.6918334960938, 331.74359130859375], [1017.4666748046875, 350.4830627441406], [980.2608642578125, 343.27557373046875], [1000.2947387695312, 353.3660583496094], [984.5537719726562, 351.924560546875], [1003.15673828125, 383.63751220703125], [983.1228637695312, 382.19598388671875], [1003.15673828125, 416.7919616699219], [984.5537719726562, 406.7014465332031]]","[[879.9613647460938, 544.93310546875], [882.8323974609375, 540.6282958984375], [875.65478515625, 540.6282958984375], [869.9127197265625, 543.4981689453125], [890.010009765625, 544.93310546875], [858.4285888671875, 565.0220947265625], [897.1875610351562, 569.326904296875], [848.3798828125, 585.111083984375], [908.6717529296875, 598.025390625], [852.6864624023438, 570.7618408203125], [904.3651733398438, 582.2412109375], [865.6061401367188, 622.419189453125], [890.010009765625, 622.419189453125], [859.8640747070312, 685.5560302734375], [890.010009765625, 662.59716796875], [862.7351684570312, 738.6483154296875], [890.010009765625, 705.6449584960938]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[1037, 367]",None,None
