frame,top,bottom,court,net,ball,pos,type
31657,"[[783.82568359375, 358.08843994140625], [788.0799560546875, 353.7677307128906], [779.5714111328125, 353.7677307128906], [795.1704711914062, 353.7677307128906], [773.89892578125, 353.7677307128906], [803.6790771484375, 378.25164794921875], [769.6446533203125, 368.1700134277344], [812.1876220703125, 411.3768615722656], [742.7008056640625, 373.9309387207031], [789.498046875, 399.85504150390625], [744.118896484375, 373.9309387207031], [800.8428344726562, 435.86077880859375], [778.1533203125, 434.4205322265625], [793.7523193359375, 483.3883056640625], [786.6618041992188, 484.8284912109375], [792.3342895507812, 533.7962646484375], [799.4247436523438, 513.633056640625]]","[[958.3692016601562, 579.3333740234375], [958.3692016601562, 575.0240478515625], [958.3692016601562, 575.0240478515625], [962.6695556640625, 576.46044921875], [984.1712646484375, 570.7147216796875], [969.8367919921875, 603.7527465820312], [999.9392700195312, 598.0070190429688], [968.4033813476562, 642.5364990234375], [961.2361450195312, 613.8078002929688], [958.3692016601562, 684.193115234375], [944.0347290039062, 615.2442016601562], [984.1712646484375, 697.1210327148438], [1018.5741577148438, 692.8117065429688], [981.3043823242188, 756.0148315429688], [1017.140625, 756.0148315429688], [979.8709716796875, 822.0908813476562], [1025.7413330078125, 817.7815551757812]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[868, 597]",None,None
31658,"[[783.4845581054688, 357.72509765625], [787.7350463867188, 353.4122009277344], [779.2341918945312, 353.4122009277344], [794.8192138671875, 353.4122009277344], [773.5668334960938, 353.4122009277344], [804.7369384765625, 379.28961181640625], [769.31640625, 367.7885437011719], [811.8211059570312, 412.355224609375], [742.3966674804688, 374.97674560546875], [787.7350463867188, 399.41650390625], [742.3966674804688, 373.5390930175781], [801.9033203125, 435.35736083984375], [777.8173217773438, 435.35736083984375], [793.40234375, 481.3616943359375], [786.3182373046875, 484.2369689941406], [791.9855346679688, 533.1165161132812], [800.4865112304688, 512.9896240234375]]","[[956.8216552734375, 579.0467529296875], [956.8216552734375, 574.7218017578125], [956.8216552734375, 574.7218017578125], [962.51611328125, 576.1634521484375], [982.4465942382812, 571.8384399414062], [968.2105102539062, 603.554931640625], [999.5299072265625, 599.2299194335938], [968.2105102539062, 642.4796142578125], [971.0577392578125, 630.9463500976562], [956.8216552734375, 685.7293090820312], [938.3147583007812, 616.52978515625], [983.8701782226562, 695.8208618164062], [1018.0368041992188, 691.4959106445312], [981.02294921875, 754.9288330078125], [1016.6131591796875, 754.9288330078125], [981.02294921875, 822.6865844726562], [1026.578369140625, 818.3616333007812]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[871, 601]",None,None
31659,"[[782.6883544921875, 358.798828125], [786.999755859375, 354.4731140136719], [778.3770141601562, 354.4731140136719], [794.185302734375, 354.4731140136719], [772.6285400390625, 353.0312194824219], [804.2451171875, 378.9854431152344], [769.7542724609375, 368.8921203613281], [812.8678588867188, 413.5910339355469], [742.448974609375, 374.65972900390625], [788.4368896484375, 399.1720275878906], [742.448974609375, 374.65972900390625], [801.3709106445312, 435.21954345703125], [778.3770141601562, 435.21954345703125], [794.185302734375, 481.3603820800781], [786.999755859375, 485.6860656738281], [792.7481689453125, 533.268798828125], [799.933837890625, 513.0821533203125]]","[[956.444091796875, 580.1857299804688], [955.017822265625, 573.003662109375], [955.017822265625, 573.003662109375], [962.1493530273438, 574.4400634765625], [982.11767578125, 570.1307983398438], [969.2809448242188, 601.7320556640625], [997.8070068359375, 595.986328125], [963.57568359375, 649.1338500976562], [967.8545532226562, 629.0239868164062], [953.5914916992188, 693.6629028320312], [929.34423828125, 617.5326538085938], [983.5439453125, 697.97216796875], [1019.20166015625, 692.2264404296875], [980.6913452148438, 756.8653564453125], [1017.7753295898438, 755.4288940429688], [980.6913452148438, 822.940673828125], [1026.333251953125, 818.6314697265625]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[875, 605]",None,None
31660,"[[782.5653686523438, 358.9341735839844], [786.8570556640625, 354.61053466796875], [778.2736206054688, 354.61053466796875], [794.0098876953125, 354.61053466796875], [772.5513305664062, 353.1693420410156], [804.02392578125, 379.1112060546875], [768.2595825195312, 367.58148193359375], [812.6073608398438, 413.7004089355469], [742.5093994140625, 374.7875671386719], [788.2876586914062, 399.2882385253906], [742.5093994140625, 374.7875671386719], [801.162841796875, 435.31866455078125], [778.2736206054688, 435.31866455078125], [794.0098876953125, 481.43756103515625], [786.8570556640625, 485.7611999511719], [792.5794067382812, 533.3213500976562], [799.7322387695312, 513.1443481445312]]","[[956.64892578125, 582.5245971679688], [953.7859497070312, 573.9074096679688], [953.7859497070312, 573.9074096679688], [959.5117797851562, 573.9074096679688], [982.4152221679688, 571.0350341796875], [966.6691284179688, 604.0675659179688], [998.161376953125, 596.8866577148438], [960.9432983398438, 647.153564453125], [963.8062744140625, 627.0467529296875], [946.628662109375, 693.1119384765625], [925.1566772460938, 619.8658447265625], [983.8467407226562, 698.8567504882812], [1018.201904296875, 691.6757202148438], [980.9838256835938, 754.8685302734375], [1018.201904296875, 754.8685302734375], [979.5523681640625, 823.8060913085938], [1026.7906494140625, 819.4974365234375]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[879, 610]",None,None
31661,"[[782.5723876953125, 358.93267822265625], [786.8665771484375, 354.6082763671875], [778.2783203125, 354.6082763671875], [794.0234375, 354.6082763671875], [772.552734375, 353.16680908203125], [804.0430908203125, 379.1130676269531], [768.2586669921875, 367.5813903808594], [812.6314086914062, 413.70806884765625], [742.4937744140625, 374.7886962890625], [788.2979736328125, 399.29351806640625], [742.4937744140625, 374.7886962890625], [801.180419921875, 435.3299560546875], [778.2783203125, 435.3299560546875], [794.0234375, 481.4566650390625], [786.8665771484375, 484.3395690917969], [792.592041015625, 533.34912109375], [799.7490234375, 513.1687622070312]]","[[956.6399536132812, 582.5044555664062], [953.7781372070312, 573.8860473632812], [953.7781372070312, 573.8860473632812], [959.5018920898438, 573.8860473632812], [982.3966064453125, 571.0133056640625], [966.656494140625, 604.0504150390625], [998.1366577148438, 596.868408203125], [960.9327392578125, 647.1422729492188], [963.7946166992188, 627.03271484375], [946.62353515625, 693.1069946289062], [925.1597900390625, 619.8507690429688], [983.8274536132812, 698.8525390625], [1018.1695556640625, 691.6705322265625], [980.9656372070312, 754.8719482421875], [1018.1695556640625, 754.8719482421875], [979.53466796875, 823.8190307617188], [1026.7550048828125, 819.5098876953125]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[883, 614]",None,None
31662,"[[782.3991088867188, 358.0893859863281], [786.6886596679688, 353.7810974121094], [778.1094970703125, 353.7810974121094], [793.8377685546875, 353.7810974121094], [772.3901977539062, 353.7810974121094], [803.8467407226562, 379.6307373046875], [768.1006469726562, 368.1419982910156], [812.42578125, 414.0968933105469], [742.363525390625, 373.8863525390625], [789.5482788085938, 401.1720886230469], [742.363525390625, 373.8863525390625], [800.9869995117188, 435.6382141113281], [778.1094970703125, 435.6382141113281], [793.8377685546875, 483.02923583984375], [786.6886596679688, 485.9013977050781], [792.407958984375, 533.2923583984375], [800.9869995117188, 513.1870727539062]]","[[953.6904296875, 579.7493896484375], [953.6904296875, 572.5407104492188], [953.6904296875, 572.5407104492188], [959.4071044921875, 573.982421875], [980.8448486328125, 569.6572265625], [966.552978515625, 601.3754272460938], [996.56591796875, 595.6084594726562], [959.4071044921875, 647.510986328125], [957.9779052734375, 620.1179809570312], [939.3985595703125, 692.204833984375], [919.3900146484375, 621.5597534179688], [983.7032470703125, 699.4135131835938], [1018.003662109375, 692.204833984375], [980.8448486328125, 754.1995239257812], [1018.003662109375, 754.1995239257812], [980.8448486328125, 821.961181640625], [1026.5787353515625, 820.5194091796875]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[887, 619]",None,None
31663,"[[782.53125, 358.6032409667969], [786.81201171875, 354.30169677734375], [778.2505493164062, 354.30169677734375], [792.5195922851562, 354.30169677734375], [772.54296875, 354.30169677734375], [802.5078735351562, 378.6770324707031], [768.2622680664062, 368.64013671875], [812.4962768554688, 414.5230712890625], [742.5779418945312, 374.3755187988281], [788.2388916015625, 398.7508239746094], [742.5779418945312, 374.3755187988281], [801.0809936523438, 436.0307312011719], [778.2505493164062, 436.0307312011719], [793.946533203125, 483.3475036621094], [786.81201171875, 486.2152099609375], [791.0927124023438, 533.5320434570312], [801.0809936523438, 513.4581909179688]]","[[953.3780517578125, 579.5181274414062], [951.947021484375, 572.319091796875], [953.3780517578125, 572.319091796875], [957.6710815429688, 572.319091796875], [980.5673217773438, 570.8792724609375], [964.8261108398438, 602.5549926757812], [997.7395629882812, 595.35595703125], [956.2400512695312, 644.3093872070312], [954.8090209960938, 618.3928833007812], [933.34375, 683.1841430664062], [917.6025390625, 622.7122802734375], [983.4293823242188, 700.4617919921875], [1019.204833984375, 693.2628173828125], [980.5673217773438, 755.1743774414062], [1017.7738037109375, 755.1743774414062], [980.5673217773438, 821.4054565429688], [1027.7908935546875, 821.4054565429688]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[879, 630]",None,None
31664,"[[780.9224853515625, 359.09503173828125], [785.2417602539062, 354.79180908203125], [778.0429077148438, 354.79180908203125], [792.440673828125, 356.2261962890625], [772.2838134765625, 354.79180908203125], [802.5191650390625, 379.1768798828125], [769.4042358398438, 369.1359558105469], [812.5975341796875, 413.6029052734375], [742.0484619140625, 374.8736267089844], [789.5610961914062, 400.6931457519531], [742.0484619140625, 374.8736267089844], [801.079345703125, 436.5535888671875], [776.6031494140625, 436.5535888671875], [792.440673828125, 482.4549255371094], [786.6815185546875, 488.1925964355469], [791.0008544921875, 534.0939331054688], [799.6395874023438, 514.0121459960938]]","[[953.1998291015625, 579.6585083007812], [951.7701416015625, 573.912841796875], [951.7701416015625, 573.912841796875], [957.4891357421875, 575.3492431640625], [978.935302734375, 571.0400390625], [961.7783813476562, 602.6410522460938], [998.95166015625, 596.8954467773438], [951.7701416015625, 641.4241333007812], [956.0593872070312, 612.6959228515625], [923.1752319335938, 683.080078125], [923.1752319335938, 622.7507934570312], [981.7947387695312, 700.3170166015625], [1018.9681396484375, 693.1349487304688], [978.935302734375, 754.9006958007812], [1018.9681396484375, 754.9006958007812], [980.3650512695312, 823.848388671875], [1027.546630859375, 820.9755249023438]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[870, 639]",None,None
31665,"[[782.6392822265625, 358.67230224609375], [786.8914794921875, 354.3503723144531], [778.3871459960938, 354.3503723144531], [792.5609130859375, 355.791015625], [772.7176513671875, 354.3503723144531], [803.9000244140625, 380.28179931640625], [769.8828125, 370.1973876953125], [810.9868774414062, 413.4164733886719], [742.95263671875, 375.9599304199219], [788.3087768554688, 400.45074462890625], [761.3786010742188, 374.5192565917969], [801.0652465820312, 436.46661376953125], [776.9697265625, 436.46661376953125], [793.9783325195312, 481.1263732910156], [785.4740600585938, 485.4482421875], [791.1435546875, 534.4298706054688], [799.6478271484375, 514.260986328125]]","[[950.9771728515625, 578.1474609375], [950.9771728515625, 572.387939453125], [950.9771728515625, 572.387939453125], [956.7251586914062, 573.8278198242188], [979.7168579101562, 569.5082397460938], [959.59912109375, 604.0650634765625], [998.3975830078125, 593.9859619140625], [949.5402221679688, 638.621826171875], [958.162109375, 622.7833251953125], [925.1115112304688, 670.2989501953125], [923.674560546875, 621.3434448242188], [981.1538696289062, 699.0963134765625], [1017.078369140625, 693.3368530273438], [979.7168579101562, 755.2510986328125], [1018.515380859375, 755.2510986328125], [979.7168579101562, 821.4850463867188], [1027.13720703125, 821.4850463867188]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[862, 654]",None,None
31666,"[[782.3980712890625, 360.51226806640625], [786.6785278320312, 354.769287109375], [778.1176147460938, 354.769287109375], [793.8126220703125, 356.2050476074219], [772.4103393554688, 354.769287109375], [803.8004760742188, 382.0484313964844], [769.5567016601562, 370.5624694824219], [812.3613891601562, 415.0705261230469], [742.4469604492188, 379.1769104003906], [789.5321655273438, 403.5845642089844], [760.9957275390625, 374.8697204589844], [800.9468383789062, 439.4781799316406], [776.6907958984375, 438.04241943359375], [793.8126220703125, 483.9862365722656], [785.251708984375, 485.42193603515625], [792.3858032226562, 535.6729736328125], [799.52001953125, 517.0083618164062]]","[[951.6812744140625, 577.7955932617188], [951.6812744140625, 572.0328979492188], [951.6812744140625, 572.0328979492188], [957.3864135742188, 576.3549194335938], [978.78076171875, 570.5922241210938], [958.812744140625, 605.1683959960938], [998.7487182617188, 593.6430053710938], [945.97607421875, 638.3038940429688], [954.5338745117188, 616.6937866210938], [921.729248046875, 658.4733276367188], [924.5818481445312, 619.5751342773438], [980.20703125, 698.8121948242188], [1015.8641357421875, 691.6088256835938], [978.78076171875, 754.9984130859375], [1018.7167358398438, 754.9984130859375], [978.78076171875, 821.2694091796875], [1027.2745361328125, 821.2694091796875]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[851, 675]",None,None
