frame,top,bottom,court,net,ball,pos,type
82406,"[[1070.4344482421875, 475.8135681152344], [1074.71044921875, 472.94915771484375], [1066.158447265625, 472.94915771484375], [1080.4117431640625, 472.94915771484375], [1061.8824462890625, 472.94915771484375], [1090.38916015625, 484.40679931640625], [1056.1810302734375, 484.40679931640625], [1123.171875, 504.4576721191406], [1030.5250244140625, 501.59326171875], [1104.6424560546875, 498.7288818359375], [1024.8236083984375, 515.9153442382812], [1096.0904541015625, 534.5339965820312], [1074.71044921875, 537.3984375], [1090.38916015625, 580.3645629882812], [1078.9864501953125, 578.932373046875], [1091.814453125, 631.9239501953125], [1097.5157470703125, 610.44091796875]]","[[912.263427734375, 665.4241333007812], [912.263427734375, 661.115966796875], [912.263427734375, 661.115966796875], [913.684814453125, 665.4241333007812], [936.4279174804688, 662.552001953125], [909.4205322265625, 691.2734375], [952.0637817382812, 688.4012451171875], [889.5203857421875, 711.37841796875], [969.12109375, 705.6340942382812], [906.57763671875, 715.6865844726562], [980.49267578125, 731.4833984375], [922.2135009765625, 763.0769653320312], [947.7994995117188, 760.2047119140625], [920.7919921875, 816.2114868164062], [944.95654296875, 801.850830078125], [932.16357421875, 873.654296875], [940.6922607421875, 840.624755859375]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[995, 569]",None,None
82407,"[[1070.1728515625, 476.0310974121094], [1074.4571533203125, 473.1607666015625], [1065.8885498046875, 473.1607666015625], [1080.169677734375, 473.1607666015625], [1061.6041259765625, 473.1607666015625], [1090.1663818359375, 484.64215087890625], [1055.8917236328125, 484.64215087890625], [1123.012939453125, 504.7345886230469], [1030.1856689453125, 501.8642578125], [1104.447509765625, 498.9938659667969], [1024.473388671875, 516.2159423828125], [1095.87890625, 534.873291015625], [1075.8853759765625, 537.7435913085938], [1090.1663818359375, 579.3636474609375], [1078.741455078125, 579.3636474609375], [1091.594482421875, 632.4651489257812], [1097.3070068359375, 609.5023193359375]]","[[911.5125732421875, 665.371826171875], [911.5125732421875, 661.0612182617188], [912.94091796875, 661.0612182617188], [912.94091796875, 665.371826171875], [934.36572265625, 662.4981079101562], [908.6559448242188, 692.6722412109375], [951.5054931640625, 688.3616333007812], [888.6595458984375, 711.3513793945312], [970.07373046875, 705.6039428710938], [907.2276611328125, 711.3513793945312], [981.500244140625, 728.59375], [922.939208984375, 763.078369140625], [948.6488647460938, 760.2046508789062], [921.5108642578125, 816.2422485351562], [945.792236328125, 803.3104858398438], [931.5090942382812, 873.7166748046875], [940.0789794921875, 842.105712890625]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[990, 574]",None,None
82408,"[[1069.83447265625, 476.0533447265625], [1074.1055908203125, 473.1712341308594], [1065.5633544921875, 473.1712341308594], [1079.800537109375, 473.1712341308594], [1061.292236328125, 473.1712341308594], [1089.7664794921875, 484.6997375488281], [1055.597412109375, 484.6997375488281], [1122.5118408203125, 504.87469482421875], [1029.970458984375, 501.9925231933594], [1104.0035400390625, 499.1103820800781], [1024.2757568359375, 517.84423828125], [1095.4613037109375, 535.1370239257812], [1075.5294189453125, 538.0191650390625], [1089.7664794921875, 579.81005859375], [1078.376708984375, 579.81005859375], [1092.6138916015625, 633.12939453125], [1096.885009765625, 610.0723876953125]]","[[912.0138549804688, 665.775634765625], [912.0138549804688, 661.4598999023438], [912.0138549804688, 661.4598999023438], [913.4454345703125, 665.775634765625], [934.918701171875, 661.4598999023438], [909.1506958007812, 691.6699829101562], [952.0973510742188, 687.354248046875], [889.1089477539062, 708.9329223632812], [969.2760620117188, 701.7400512695312], [900.5614013671875, 714.687255859375], [982.1600341796875, 723.3187255859375], [923.4662475585938, 763.5988159179688], [947.802734375, 762.1602783203125], [922.0347290039062, 815.3876342773438], [944.9395751953125, 802.4404296875], [932.0556640625, 874.3692626953125], [939.21337890625, 841.2820434570312]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[985, 580]",None,None
82409,"[[1070.0750732421875, 477.2202453613281], [1074.348388671875, 472.89581298828125], [1065.8017578125, 472.89581298828125], [1080.0462646484375, 472.89581298828125], [1061.5284423828125, 472.89581298828125], [1090.0174560546875, 484.4277038574219], [1055.83056640625, 484.4277038574219], [1122.77978515625, 506.050048828125], [1030.1904296875, 503.1670227050781], [1104.261962890625, 498.84259033203125], [1024.49267578125, 517.5819702148438], [1095.7152099609375, 534.8797607421875], [1075.7728271484375, 536.3212890625], [1090.0174560546875, 579.56591796875], [1077.1973876953125, 579.56591796875], [1092.8663330078125, 632.9009399414062], [1095.7152099609375, 608.3956298828125]]","[[911.1926879882812, 664.5941772460938], [911.1926879882812, 661.714599609375], [911.1926879882812, 660.2748413085938], [912.6281127929688, 664.5941772460938], [934.1593017578125, 661.714599609375], [911.1926879882812, 690.5101928710938], [952.8197021484375, 686.1907958984375], [889.6614379882812, 707.7874755859375], [971.4801635742188, 700.5885620117188], [901.144775390625, 713.5465698242188], [981.5281372070312, 720.7454223632812], [924.1114501953125, 765.3784790039062], [948.5134887695312, 761.05908203125], [921.2405395507812, 815.7705688476562], [944.207275390625, 801.372802734375], [932.7239379882812, 874.8013916015625], [939.9009399414062, 841.6865844726562]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[980, 586]",None,None
82410,"[[1070.464599609375, 477.56024169921875], [1074.7364501953125, 473.2474365234375], [1066.192626953125, 473.2474365234375], [1080.4322509765625, 473.2474365234375], [1060.496826171875, 473.2474365234375], [1090.39990234375, 486.18585205078125], [1054.801025390625, 484.74822998046875], [1121.72705078125, 504.8746643066406], [1030.59375, 501.9994812011719], [1104.6395263671875, 499.124267578125], [1023.4739379882812, 517.8130493164062], [1096.095703125, 533.6266479492188], [1076.1602783203125, 536.5018310546875], [1090.39990234375, 582.5050048828125], [1077.5843505859375, 579.6298217773438], [1091.8238525390625, 632.821044921875], [1096.095703125, 609.8194580078125]]","[[911.258056640625, 666.4508666992188], [911.258056640625, 660.69384765625], [911.258056640625, 660.69384765625], [912.6851806640625, 665.0115966796875], [934.0914306640625, 660.69384765625], [911.258056640625, 689.4788208007812], [952.6434326171875, 683.7218627929688], [889.8518676757812, 706.7498168945312], [971.1954956054688, 696.675048828125], [901.2685546875, 711.0675048828125], [979.7579956054688, 715.38525390625], [924.1018676757812, 764.3196411132812], [949.789306640625, 761.441162109375], [921.2476806640625, 814.6932983398438], [945.508056640625, 801.7401123046875], [932.6643676757812, 875.1416625976562], [941.226806640625, 840.5997314453125]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[975, 592]",None,None
82411,"[[1070.407958984375, 476.1919250488281], [1074.693603515625, 473.3175354003906], [1066.122314453125, 473.3175354003906], [1080.4078369140625, 473.3175354003906], [1060.4080810546875, 473.3175354003906], [1090.40771484375, 486.2522888183594], [1056.122314453125, 484.8150939941406], [1121.8360595703125, 504.9358215332031], [1030.4083251953125, 502.0614318847656], [1104.693359375, 499.1870422363281], [1024.694091796875, 516.433349609375], [1096.1219482421875, 533.6796875], [1076.1221923828125, 536.5540771484375], [1090.40771484375, 582.5443115234375], [1077.55078125, 579.669921875], [1091.8363037109375, 632.8461303710938], [1096.1219482421875, 608.413818359375]]","[[910.5070190429688, 665.6046142578125], [911.93701171875, 659.85009765625], [911.93701171875, 661.2887573242188], [911.93701171875, 665.6046142578125], [933.3871459960938, 662.7273559570312], [911.93701171875, 690.06103515625], [953.4072265625, 685.7451782226562], [890.4868774414062, 705.8858032226562], [971.9974365234375, 698.6927490234375], [911.93701171875, 687.183837890625], [980.5774536132812, 715.9561157226562], [924.8070678710938, 763.4304809570312], [949.1171875, 760.55322265625], [921.9470825195312, 815.2206420898438], [944.8272094726562, 802.2730712890625], [931.9570922851562, 874.2039184570312], [940.5371704101562, 842.5543212890625]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[970, 598]",None,None
82412,"[[1070.581787109375, 476.1902160644531], [1074.857666015625, 473.3143310546875], [1066.3060302734375, 473.3143310546875], [1080.5587158203125, 473.3143310546875], [1060.6048583984375, 473.3143310546875], [1090.53564453125, 486.255859375], [1054.90380859375, 484.8179016113281], [1121.891845703125, 504.94915771484375], [1030.674072265625, 502.0732727050781], [1104.78857421875, 499.1973876953125], [1023.5476684570312, 517.8907470703125], [1094.8116455078125, 533.7081298828125], [1076.282958984375, 536.583984375], [1090.53564453125, 584.0362548828125], [1077.7081298828125, 579.722412109375], [1091.9610595703125, 632.926513671875], [1096.23681640625, 608.4813842773438]]","[[910.4302978515625, 665.8715209960938], [911.8650512695312, 661.5471801757812], [911.8650512695312, 661.5471801757812], [913.2998657226562, 665.8715209960938], [934.8221435546875, 661.5471801757812], [910.4302978515625, 690.3763427734375], [952.0399169921875, 683.1690673828125], [890.3427734375, 706.2323608398438], [972.1273803710938, 693.25927734375], [916.1694946289062, 688.9348754882812], [979.3014526367188, 710.5567626953125], [924.7784423828125, 763.8907470703125], [950.6051025390625, 759.5663452148438], [921.9087524414062, 817.2247314453125], [946.3006591796875, 801.3687133789062], [931.9525146484375, 874.883056640625], [940.5613403320312, 840.2880859375]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[965, 604]",None,None
82413,"[[1069.874755859375, 476.4917297363281], [1074.162109375, 473.60968017578125], [1065.58740234375, 473.60968017578125], [1079.87841796875, 473.60968017578125], [1059.87109375, 473.60968017578125], [1089.882080078125, 485.1378173828125], [1055.583740234375, 485.1378173828125], [1121.322265625, 505.3120422363281], [1031.2890625, 500.989013671875], [1104.173095703125, 498.1069641113281], [1024.1436767578125, 516.8402099609375], [1095.5985107421875, 532.6913452148438], [1075.591064453125, 535.5734252929688], [1089.882080078125, 583.126953125], [1077.0201416015625, 578.803955078125], [1092.740234375, 635.0036010742188], [1089.882080078125, 614.8294067382812]]","[[910.3544311523438, 664.1092529296875], [911.78564453125, 659.7841796875], [910.3544311523438, 659.7841796875], [913.2168579101562, 664.1092529296875], [933.2539672851562, 659.7841796875], [910.3544311523438, 688.61767578125], [950.4286499023438, 681.4093017578125], [891.74853515625, 703.034423828125], [977.6218872070312, 695.8260498046875], [916.0792846679688, 687.1759643554688], [973.3282470703125, 705.9177856445312], [926.097900390625, 763.5847778320312], [950.4286499023438, 759.2597045898438], [921.8042602539062, 814.0433349609375], [946.1349487304688, 801.0682373046875], [931.82275390625, 874.5936279296875], [940.4100952148438, 841.4351806640625]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[960, 609]",None,None
82414,"[[1069.1220703125, 476.4665222167969], [1073.4075927734375, 472.1691589355469], [1064.836669921875, 472.1691589355469], [1079.1214599609375, 472.1691589355469], [1059.1226806640625, 472.1691589355469], [1089.1209716796875, 483.62872314453125], [1054.837158203125, 483.62872314453125], [1121.9761962890625, 505.1153564453125], [1030.5528564453125, 502.2504577636719], [1103.4058837890625, 497.953125], [1024.8388671875, 516.5748901367188], [1094.8348388671875, 533.76416015625], [1074.8359375, 533.76416015625], [1089.1209716796875, 582.46728515625], [1076.2645263671875, 578.169921875], [1093.4063720703125, 634.0352172851562], [1090.5494384765625, 611.1160888671875]]","[[911.8953247070312, 664.7398681640625], [911.8953247070312, 660.4203491210938], [911.8953247070312, 661.8601684570312], [914.7450561523438, 664.7398681640625], [934.6925048828125, 661.8601684570312], [910.4705810546875, 689.2172241210938], [951.7904663085938, 680.578125], [891.9478149414062, 702.17578125], [981.7117309570312, 689.2172241210938], [917.5946655273438, 686.3374633789062], [963.1890258789062, 703.6156005859375], [926.1436157226562, 762.649169921875], [950.3656616210938, 758.3296508789062], [921.869140625, 813.0436401367188], [947.5159301757812, 801.52490234375], [931.8428955078125, 873.51708984375], [938.9669799804688, 841.840576171875]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[955, 615]",None,None
82415,"[[1068.2645263671875, 475.07098388671875], [1072.5738525390625, 472.20684814453125], [1065.3917236328125, 472.20684814453125], [1079.7559814453125, 472.20684814453125], [1059.6458740234375, 472.20684814453125], [1088.374755859375, 483.6634521484375], [1055.336669921875, 485.09552001953125], [1121.4127197265625, 503.71246337890625], [1029.480712890625, 502.2803955078125], [1104.175537109375, 499.416259765625], [1023.7350463867188, 519.4652709960938], [1095.5567626953125, 533.7860107421875], [1075.44677734375, 533.7860107421875], [1089.8111572265625, 581.0444946289062], [1076.8831787109375, 578.1802978515625], [1092.6839599609375, 632.5991821289062], [1089.8111572265625, 609.6859741210938]]","[[912.5363159179688, 664.0558471679688], [912.5363159179688, 658.305908203125], [912.5363159179688, 659.7433471679688], [913.9698486328125, 664.0558471679688], [935.47314453125, 661.1808471679688], [911.1027221679688, 688.4930419921875], [951.2422485351562, 679.8681640625], [893.9000854492188, 698.5554809570312], [981.3468627929688, 685.6181030273438], [918.2705078125, 685.6181030273438], [979.913330078125, 685.6181030273438], [926.8717651367188, 761.8048095703125], [952.67578125, 756.0548706054688], [921.1376342773438, 812.1167602539062], [946.9415283203125, 799.1793823242188], [931.1724853515625, 873.9286499023438], [939.7738647460938, 840.8665161132812]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[950, 621]",None,None
82416,"[[1068.1575927734375, 476.18670654296875], [1072.43310546875, 471.8734130859375], [1065.30712890625, 471.8734130859375], [1079.5589599609375, 473.3111572265625], [1059.6064453125, 471.8734130859375], [1088.1099853515625, 483.37548828125], [1053.90576171875, 483.37548828125], [1120.88916015625, 504.94183349609375], [1029.677734375, 503.50408935546875], [1103.7869873046875, 500.6285705566406], [1023.9769897460938, 519.3194580078125], [1095.2359619140625, 532.25927734375], [1075.283447265625, 533.697021484375], [1089.5352783203125, 579.7052612304688], [1075.283447265625, 576.8297729492188], [1092.385498046875, 632.9022827148438], [1089.5352783203125, 608.46044921875]]","[[914.5640869140625, 663.0826416015625], [914.5640869140625, 657.3197021484375], [914.5640869140625, 660.201171875], [914.5640869140625, 663.0826416015625], [937.5059814453125, 660.201171875], [911.6964111328125, 687.574951171875], [951.8446044921875, 678.9306030273438], [894.4900512695312, 696.2192993164062], [984.8234252929688, 689.0156860351562], [920.2996215820312, 683.2527465820312], [980.5218505859375, 687.574951171875], [927.4688720703125, 759.6112060546875], [953.2784423828125, 755.2890625], [921.7334594726562, 811.4773559570312], [947.5430297851562, 798.5108032226562], [931.7704467773438, 871.9878540039062], [941.8075561523438, 838.8511352539062]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[945, 627]",None,None
82417,"[[1068.9151611328125, 476.1752014160156], [1073.2315673828125, 471.8680419921875], [1064.5986328125, 471.8680419921875], [1078.9869384765625, 473.30377197265625], [1058.8433837890625, 471.8680419921875], [1087.6197509765625, 484.7895202636719], [1054.5269775390625, 483.3537902832031], [1120.7125244140625, 504.8895568847656], [1030.0670166015625, 503.453857421875], [1104.8856201171875, 502.01812744140625], [1024.311767578125, 519.2467651367188], [1094.8138427734375, 532.168212890625], [1076.1092529296875, 533.6039428710938], [1090.4974365234375, 580.982666015625], [1076.1092529296875, 576.675537109375], [1091.936279296875, 632.6685180664062], [1089.05859375, 608.2612915039062]]","[[914.2573852539062, 663.4990844726562], [914.2573852539062, 657.7437744140625], [914.2573852539062, 657.7437744140625], [914.2573852539062, 662.0602416992188], [937.1394653320312, 660.6213989257812], [911.3971557617188, 687.9591064453125], [951.4406127929688, 679.3261108398438], [894.2356567382812, 696.5919799804688], [984.3335571289062, 687.9591064453125], [919.9779663085938, 683.642578125], [981.4733276367188, 687.9591064453125], [928.5586547851562, 758.4613647460938], [952.8707885742188, 755.5838012695312], [921.4080200195312, 811.6978149414062], [947.1503295898438, 798.7484130859375], [931.4188842773438, 872.12841796875], [941.4297485351562, 839.0354614257812]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[940, 633]",None,None
82418,"[[1068.934326171875, 475.0184631347656], [1073.232666015625, 472.1424255371094], [1064.635986328125, 472.1424255371094], [1078.963623046875, 472.1424255371094], [1058.9049072265625, 472.1424255371094], [1088.9930419921875, 485.0845947265625], [1054.6065673828125, 485.0845947265625], [1117.6484375, 503.77880859375], [1031.682373046875, 503.77880859375], [1104.7535400390625, 500.90277099609375], [1023.085693359375, 522.4730224609375], [1094.72412109375, 532.5391235351562], [1074.6654052734375, 532.5391235351562], [1090.42578125, 581.4317016601562], [1076.09814453125, 578.5556640625], [1091.858642578125, 634.6383056640625], [1096.1568603515625, 605.8779907226562]]","[[914.5438232421875, 660.8085327148438], [915.9671020507812, 657.936279296875], [915.9671020507812, 659.3723754882812], [915.9671020507812, 662.2446899414062], [937.3173217773438, 659.3723754882812], [911.6970825195312, 685.22314453125], [954.3975219726562, 678.0423583984375], [894.616943359375, 695.2761840820312], [985.711181640625, 688.095458984375], [896.0402221679688, 688.095458984375], [984.287841796875, 688.095458984375], [928.7772827148438, 755.5945434570312], [954.3975219726562, 752.7222900390625], [921.6605224609375, 810.1683349609375], [947.28076171875, 797.2429809570312], [930.2006225585938, 871.9228515625], [940.1640625, 840.3275146484375]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[936, 639]",bottom,short service
82419,"[[1069.27294921875, 476.0381774902344], [1072.15087890625, 473.16583251953125], [1064.9561767578125, 473.16583251953125], [1077.9066162109375, 473.16583251953125], [1059.200439453125, 474.60198974609375], [1087.9791259765625, 486.0912780761719], [1053.4447021484375, 487.5274353027344], [1118.19677734375, 507.6336975097656], [1030.4217529296875, 509.0698547363281], [1100.9295654296875, 507.6336975097656], [1023.22705078125, 529.1760864257812], [1095.173828125, 533.4845581054688], [1075.0286865234375, 534.9207763671875], [1089.4180908203125, 576.5693969726562], [1077.9066162109375, 582.3140869140625], [1092.2960205078125, 632.5797119140625], [1098.0516357421875, 603.8565063476562]]","[[917.3841552734375, 658.6814575195312], [917.3841552734375, 655.8079833984375], [917.3841552734375, 655.8079833984375], [917.3841552734375, 662.9917602539062], [938.8829345703125, 657.2446899414062], [914.5177001953125, 685.9797973632812], [954.648681640625, 677.3593139648438], [894.4522705078125, 690.2901000976562], [990.4797973632812, 685.9797973632812], [893.01904296875, 680.2327880859375], [986.1801147460938, 685.9797973632812], [928.8501586914062, 754.9441528320312], [953.2153930664062, 753.50732421875], [920.250732421875, 810.9776000976562], [947.4823608398438, 798.0467529296875], [930.283447265625, 869.8845825195312], [940.316162109375, 841.1494140625]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[932, 632]",None,None
