frame,top,bottom,court,net,ball,pos,type
87285,"[[1000.221435546875, 426.7847900390625], [1005.8878784179688, 422.475341796875], [997.38818359375, 421.038818359375], [1012.970947265625, 426.7847900390625], [991.7217407226562, 422.475341796875], [1017.2208251953125, 454.07806396484375], [974.7223510742188, 446.8956604003906], [1017.2208251953125, 489.99029541015625], [963.3894653320312, 474.18890380859375], [1008.7210693359375, 514.41064453125], [952.0564575195312, 505.7916564941406], [997.38818359375, 510.10113525390625], [973.3057250976562, 507.2281494140625], [987.4718627929688, 551.7593383789062], [978.97216796875, 550.3228149414062], [973.3057250976562, 591.98095703125], [986.0552368164062, 603.472900390625]]","[[813.4966430664062, 589.094970703125], [819.1962890625, 586.224853515625], [827.7457885742188, 590.5299682617188], [802.0973510742188, 594.8351440429688], [827.7457885742188, 593.4000854492188], [789.2730712890625, 622.1009521484375], [832.0205078125, 622.1009521484375], [763.6246948242188, 660.84716796875], [867.6432495117188, 655.1069946289062], [796.397705078125, 655.1069946289062], [861.943603515625, 660.84716796875], [786.42333984375, 711.0736694335938], [812.0717163085938, 712.5087280273438], [804.9471435546875, 768.4754638671875], [809.2218627929688, 781.3908081054688], [804.9471435546875, 823.0071411132812], [783.573486328125, 845.9677734375]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[998, 530]",None,None
87286,"[[1001.5341796875, 427.1626892089844], [1005.7999877929688, 422.8492126464844], [997.2684326171875, 421.41131591796875], [1012.90966796875, 427.1626892089844], [991.5807495117188, 422.8492126464844], [1018.5973510742188, 454.4815368652344], [975.9395141601562, 445.8545227050781], [1018.5973510742188, 486.1138916015625], [963.1421508789062, 474.6112060546875], [1012.90966796875, 510.5570983886719], [953.1885986328125, 501.9300842285156], [995.8464965820312, 510.5570983886719], [973.0956420898438, 506.2435607910156], [987.31494140625, 553.692138671875], [978.7833251953125, 553.692138671875], [974.5175170898438, 589.6380004882812], [984.4710693359375, 602.5784912109375]]","[[813.4174194335938, 589.6168212890625], [819.126220703125, 586.7338256835938], [827.6893310546875, 591.0582885742188], [801.9998779296875, 595.3827514648438], [827.6893310546875, 593.9412841796875], [789.1552124023438, 622.7708129882812], [831.9708251953125, 622.7708129882812], [763.4657592773438, 661.6907958984375], [867.650634765625, 654.4833984375], [796.2911376953125, 654.4833984375], [863.3690185546875, 660.249267578125], [787.72802734375, 712.1425170898438], [811.990234375, 713.583984375], [804.8543090820312, 768.3602294921875], [809.1358032226562, 781.33349609375], [804.8543090820312, 821.6949462890625], [784.8735961914062, 843.3170776367188]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[998, 526]",None,None
87287,"[[1001.4346923828125, 426.76739501953125], [1007.1156616210938, 422.44488525390625], [998.5941162109375, 422.44488525390625], [1014.2169799804688, 426.76739501953125], [991.492919921875, 423.8857421875], [1018.477783203125, 454.1433410644531], [975.8701171875, 446.93914794921875], [1018.477783203125, 487.2825927734375], [964.508056640625, 474.3150634765625], [1012.7967529296875, 511.77685546875], [953.1460571289062, 501.6910095214844], [995.753662109375, 510.3360290527344], [973.0296020507812, 507.454345703125], [987.2321166992188, 555.0020141601562], [978.7105712890625, 553.5611572265625], [974.4498291015625, 586.700439453125], [985.8118896484375, 603.990478515625]]","[[814.525390625, 589.8932495117188], [818.8350219726562, 587.01904296875], [827.4542236328125, 591.3303833007812], [803.0330810546875, 595.6417236328125], [827.4542236328125, 594.20458984375], [790.104248046875, 622.94677734375], [831.7637939453125, 622.94677734375], [761.37353515625, 663.185791015625], [867.67724609375, 654.5631103515625], [785.794677734375, 654.5631103515625], [863.36767578125, 660.3115234375], [787.2311401367188, 712.0474853515625], [813.0888671875, 712.0474853515625], [804.4696044921875, 769.5317993164062], [808.7792358398438, 781.0286254882812], [805.9061889648438, 822.704833984375], [784.3580932617188, 845.6985473632812]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[997, 521]",None,None
87288,"[[1002.5601196289062, 426.32818603515625], [1006.8173828125, 422.0293273925781], [998.3029174804688, 422.0293273925781], [1013.912841796875, 426.32818603515625], [991.2073974609375, 423.4622497558594], [1019.5892333984375, 454.9875183105469], [975.597412109375, 446.38970947265625], [1019.5892333984375, 486.5127258300781], [962.8255615234375, 473.61602783203125], [1013.912841796875, 510.8731384277344], [952.8919067382812, 497.9764404296875], [996.8837280273438, 510.8731384277344], [972.7591552734375, 506.5742492675781], [988.3692016601562, 552.4291381835938], [979.8546752929688, 553.862060546875], [974.1782836914062, 585.3873291015625], [984.1119384765625, 602.5828857421875]]","[[814.6317749023438, 590.2992553710938], [820.3720703125, 587.4183959960938], [828.9826049804688, 591.7396850585938], [803.1510620117188, 596.0608520507812], [827.5475463867188, 593.1800537109375], [790.2352905273438, 623.4285278320312], [831.852783203125, 621.9881591796875], [761.53369140625, 663.7599487304688], [867.7297973632812, 655.1174926757812], [784.4949340820312, 655.1174926757812], [863.424560546875, 660.8790893554688], [787.3651123046875, 712.7337036132812], [813.1966552734375, 712.7337036132812], [804.586181640625, 770.3499145507812], [808.8914184570312, 781.8731689453125], [806.021240234375, 823.6448974609375], [784.4949340820312, 845.2510375976562]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[997, 517]",None,None
87289,"[[1002.98291015625, 425.5991516113281], [1008.6588134765625, 421.2901916503906], [998.7260131835938, 421.2901916503906], [1015.7536010742188, 425.5991516113281], [993.0501098632812, 422.7264709472656], [1020.0105590820312, 454.3256530761719], [976.0225219726562, 444.2713928222656], [1021.4295043945312, 484.488525390625], [960.4138793945312, 470.125244140625], [1017.172607421875, 508.90606689453125], [956.1568603515625, 497.4154357910156], [998.7260131835938, 511.7786865234375], [973.1845703125, 508.90606689453125], [988.793212890625, 553.4321899414062], [980.2794189453125, 551.995849609375], [973.1845703125, 583.5950317382812], [984.5363159179688, 602.2672119140625]]","[[814.9253540039062, 591.5684204101562], [820.640380859375, 587.252197265625], [829.2129516601562, 591.5684204101562], [802.0665893554688, 593.007080078125], [827.7841796875, 593.007080078125], [789.207763671875, 623.22021484375], [832.0704345703125, 623.22021484375], [762.0614013671875, 662.0656127929688], [867.7893676757812, 654.8720703125], [784.9215087890625, 654.8720703125], [863.5030517578125, 660.6268920898438], [787.779052734375, 709.5433959960938], [812.06787109375, 713.8594970703125], [817.7828979492188, 761.3372192382812], [809.2103271484375, 781.4793090820312], [804.924072265625, 823.2021484375], [784.9215087890625, 844.782958984375]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[997, 512]",None,None
87290,"[[1003.3755493164062, 424.6064453125], [1007.6873168945312, 420.2990417480469], [999.0637817382812, 418.86322021484375], [1014.8737182617188, 424.6064453125], [993.3146362304688, 421.7348327636719], [1020.6227416992188, 454.7584228515625], [977.5048217773438, 443.27197265625], [1023.4972534179688, 483.4745788574219], [955.9457397460938, 463.3732604980469], [1020.6227416992188, 507.8833312988281], [955.9457397460938, 493.5252380371094], [997.62646484375, 512.1907348632812], [973.1929321289062, 509.31915283203125], [990.440185546875, 552.3933715820312], [980.3792724609375, 553.8291625976562], [973.1929321289062, 582.5453491210938], [984.6911010742188, 602.6466064453125]]","[[814.625, 591.5358276367188], [820.3540649414062, 587.2247314453125], [828.9476318359375, 591.5358276367188], [803.1668701171875, 594.409912109375], [827.5153198242188, 592.9728393554688], [790.2764282226562, 623.1506958007812], [833.2444458007812, 623.1506958007812], [761.6311645507812, 661.95068359375], [867.6187744140625, 654.7655029296875], [784.54736328125, 656.2025756835938], [863.3220825195312, 660.513671875], [787.4119262695312, 709.3729858398438], [813.1926879882812, 713.68408203125], [816.0572509765625, 763.98046875], [808.8958740234375, 781.2249145507812], [806.0313720703125, 822.8989868164062], [784.54736328125, 844.45458984375]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[997, 508]",None,None
87291,"[[1003.0684814453125, 423.02557373046875], [1008.8021850585938, 418.7010192871094], [998.7681274414062, 418.7010192871094], [1014.5360717773438, 423.02557373046875], [993.0343017578125, 418.7010192871094], [1020.269775390625, 453.2972412109375], [977.266357421875, 441.76513671875], [1026.003662109375, 479.244384765625], [952.897705078125, 456.18023681640625], [1024.5701904296875, 503.7500305175781], [957.1980590820312, 486.4519348144531], [998.7681274414062, 512.3991088867188], [972.966064453125, 509.51605224609375], [988.7339477539062, 554.202880859375], [980.13330078125, 552.7613525390625], [972.966064453125, 583.0330200195312], [985.8670654296875, 603.214111328125]]","[[814.7366943359375, 590.1764526367188], [820.4572143554688, 587.297607421875], [829.0379028320312, 591.6159057617188], [803.2957763671875, 595.9342651367188], [827.6077270507812, 594.4948120117188], [790.4247436523438, 623.2837524414062], [831.8981323242188, 621.8442993164062], [761.8223876953125, 663.5883178710938], [867.6510620117188, 654.9515991210938], [786.1343383789062, 654.9515991210938], [863.3606567382812, 660.7094116210938], [787.5645141601562, 711.090087890625], [813.3065795898438, 712.529541015625], [816.1668701171875, 764.3496704101562], [809.0162353515625, 781.623046875], [806.156005859375, 823.3670043945312], [784.7042846679688, 844.9586791992188]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[996, 503]",None,None
87292,"[[1003.3340454101562, 422.26336669921875], [1009.0671997070312, 417.9572448730469], [999.0343017578125, 416.5218811035156], [1014.8002319335938, 422.26336669921875], [991.8679809570312, 417.9572448730469], [1020.5332641601562, 452.4062805175781], [977.535400390625, 440.9232482910156], [1029.1328125, 478.2430419921875], [950.3032836914062, 452.4062805175781], [1026.266357421875, 498.3383483886719], [957.4696655273438, 481.11383056640625], [997.6010131835938, 511.2566833496094], [974.6688232421875, 506.9505920410156], [991.8679809570312, 551.4472045898438], [981.8350830078125, 552.8826293945312], [974.6688232421875, 581.5901489257812], [986.1348876953125, 601.6853637695312]]","[[814.7642211914062, 590.4025268554688], [820.512939453125, 587.5245361328125], [829.1359252929688, 591.841552734375], [803.266845703125, 596.1585083007812], [827.6987915039062, 594.719482421875], [790.332275390625, 623.4992065429688], [832.0103149414062, 622.0601806640625], [761.5888671875, 663.7908325195312], [867.9395751953125, 655.1569213867188], [784.5835571289062, 655.1569213867188], [863.6280517578125, 660.912841796875], [787.4579467773438, 711.2774047851562], [813.3270263671875, 712.7163696289062], [816.201416015625, 763.0809326171875], [809.0155639648438, 781.7877197265625], [806.1412353515625, 823.5183715820312], [784.5835571289062, 845.1030883789062]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[996, 498]",None,None
87293,"[[1003.33740234375, 422.2978820800781], [1009.0640869140625, 417.9930419921875], [999.042236328125, 416.5581359863281], [1014.7908935546875, 422.2978820800781], [991.8837890625, 417.9930419921875], [1020.5176391601562, 452.43145751953125], [977.5668334960938, 440.9519958496094], [1029.1077880859375, 478.26025390625], [950.36474609375, 452.43145751953125], [1026.244384765625, 498.34930419921875], [957.5232543945312, 481.1300964355469], [997.610595703125, 511.26373291015625], [973.2717895507812, 506.9588928222656], [991.8837890625, 551.4418334960938], [981.8619995117188, 552.8767700195312], [973.2717895507812, 581.5753784179688], [986.1570434570312, 601.6644897460938]]","[[814.7752075195312, 590.0225830078125], [820.518798828125, 587.1390991210938], [829.1341552734375, 591.4642944335938], [803.2881469726562, 595.7894897460938], [827.6981811523438, 594.3477783203125], [790.3650512695312, 623.1825561523438], [832.0059204101562, 621.7408447265625], [761.6472778320312, 663.5512084960938], [867.9031982421875, 654.9007568359375], [784.62158203125, 654.9007568359375], [863.595458984375, 660.667724609375], [787.4932861328125, 711.1286010742188], [813.33935546875, 712.5703125], [816.2111206054688, 763.0311889648438], [809.0316162109375, 781.7737426757812], [806.1598510742188, 823.5841064453125], [784.62158203125, 845.210205078125]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[996, 494]",None,None
87294,"[[1002.5675048828125, 421.0243835449219], [1008.2427368164062, 416.72412109375], [998.3111572265625, 415.2906799316406], [1015.336669921875, 421.0243835449219], [992.635986328125, 418.15753173828125], [1021.0118408203125, 449.6930847167969], [978.447998046875, 439.6590270996094], [1032.3621826171875, 475.4949035644531], [950.0720825195312, 449.6930847167969], [1023.8494262695312, 499.8632507324219], [955.747314453125, 478.36175537109375], [998.3111572265625, 509.8973083496094], [974.191650390625, 504.16357421875], [994.0547485351562, 551.4669189453125], [981.28564453125, 552.9003295898438], [975.6104736328125, 580.1355590820312], [985.5420532226562, 601.6370849609375]]","[[814.9263305664062, 592.1624755859375], [820.67431640625, 579.2030029296875], [829.2962036132812, 592.1624755859375], [803.4304809570312, 595.0423583984375], [829.2962036132812, 593.6024169921875], [790.4976196289062, 623.8411254882812], [833.607177734375, 623.8411254882812], [761.7578735351562, 662.7194213867188], [866.6578979492188, 656.9596557617188], [784.7496337890625, 655.5197143554688], [863.7838745117188, 662.7194213867188], [787.6235961914062, 711.6773681640625], [813.4894409179688, 713.1173095703125], [817.80029296875, 763.5150756835938], [809.178466796875, 780.7943725585938], [806.3043823242188, 825.4324340820312], [784.7496337890625, 842.711669921875]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[995, 489]",None,None
