frame,top,bottom,court,net,ball,pos,type
88771,"[[849.6223754882812, 481.3160095214844], [853.8872680664062, 477.01910400390625], [845.3574829101562, 477.01910400390625], [860.9955444335938, 477.01910400390625], [838.249267578125, 477.01910400390625], [869.5253295898438, 498.5036315917969], [831.14111328125, 492.7744445800781], [886.5849609375, 524.2850341796875], [811.2381591796875, 507.097412109375], [876.633544921875, 540.0403442382812], [799.8650512695312, 522.8527221679688], [858.1522827148438, 558.6602172851562], [836.82763671875, 557.2279663085938], [855.3088989257812, 601.6292724609375], [836.82763671875, 601.6292724609375], [855.3088989257812, 647.462890625], [845.3574829101562, 633.139892578125]]","[[969.0087280273438, 632.7034301757812], [974.7291870117188, 625.5284423828125], [961.8580322265625, 626.96337890625], [960.4278564453125, 628.3984375], [983.3101196289062, 626.96337890625], [954.707275390625, 664.2732543945312], [1004.7620849609375, 652.7933349609375], [937.5457153320312, 680.0582275390625], [1031.9346923828125, 674.3182373046875], [918.9539184570312, 697.2781372070312], [1010.482666015625, 691.5382080078125], [976.1593627929688, 750.3729858398438], [1004.7620849609375, 746.0679931640625], [987.6005249023438, 813.5127563476562], [994.7511596679688, 797.727783203125], [1010.482666015625, 878.0875244140625], [989.0306396484375, 850.8225708007812]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[924, 716]",None,None
88772,"[[850.3211059570312, 480.6856994628906], [853.1927490234375, 476.3829345703125], [846.013671875, 476.3829345703125], [860.3719482421875, 476.3829345703125], [838.83447265625, 476.3829345703125], [870.4227294921875, 499.3309326171875], [830.2195434570312, 492.1596984863281], [887.6527709960938, 523.7132568359375], [810.1178588867188, 509.3706970214844], [876.1660766601562, 539.489990234375], [800.0670166015625, 523.7132568359375], [858.9360961914062, 558.13525390625], [835.962890625, 558.13525390625], [853.1927490234375, 601.1627807617188], [837.398681640625, 601.1627807617188], [854.628662109375, 648.4931030273438], [844.5777587890625, 632.7163696289062]]","[[970.5014038085938, 633.4430541992188], [974.8087768554688, 626.2413940429688], [960.4508056640625, 626.2413940429688], [959.0150146484375, 627.6817626953125], [983.423583984375, 626.2413940429688], [953.2718505859375, 663.6897583007812], [1003.5248413085938, 652.1671752929688], [943.2212524414062, 669.4509887695312], [1033.676513671875, 672.3316040039062], [917.3768920898438, 692.49609375], [1004.9605712890625, 683.8541870117188], [976.24462890625, 750.10888671875], [1003.5248413085938, 747.2282104492188], [986.295166015625, 812.0426635742188], [993.4741821289062, 800.52001953125], [1009.2679443359375, 878.29736328125], [989.166748046875, 852.37158203125]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[922, 709]",bottom,short service
88773,"[[850.1392211914062, 481.1424255371094], [854.4497680664062, 476.8449401855469], [845.8287963867188, 476.8449401855469], [861.6338500976562, 476.8449401855469], [838.64453125, 476.8449401855469], [870.2548217773438, 499.7648620605469], [830.0235595703125, 492.6023864746094], [887.4968872070312, 524.1172485351562], [809.907958984375, 511.2248229980469], [877.43896484375, 539.8746948242188], [798.4132690429688, 526.9822387695312], [858.7601928710938, 558.4971313476562], [835.7708740234375, 558.4971313476562], [854.4497680664062, 601.4719848632812], [837.2077026367188, 601.4719848632812], [854.4497680664062, 648.7443237304688], [844.3919067382812, 632.98681640625]]","[[956.9467163085938, 629.553955078125], [956.9467163085938, 625.2308349609375], [958.38232421875, 625.2308349609375], [958.38232421875, 626.671875], [981.3515625, 626.671875], [955.5111694335938, 659.8159790039062], [1002.8853149414062, 652.6107177734375], [939.7196655273438, 669.9032592773438], [1028.7257080078125, 669.9032592773438], [913.8792724609375, 684.3137817382812], [1014.3699951171875, 658.3749389648438], [974.1737060546875, 749.160888671875], [1002.8853149414062, 744.8377685546875], [981.3515625, 808.243896484375], [991.4006958007812, 798.156494140625], [1008.6276245117188, 878.8551635742188], [988.5294799804688, 850.0341796875]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[919, 703]",None,None
88774,"[[849.1912231445312, 482.1947021484375], [853.4791870117188, 477.8752136230469], [844.9033203125, 477.8752136230469], [862.0550537109375, 477.8752136230469], [839.18603515625, 477.8752136230469], [870.6309204101562, 500.912353515625], [830.610107421875, 493.7132568359375], [887.78271484375, 525.3892822265625], [809.1704711914062, 515.3106079101562], [877.7774658203125, 539.7875366210938], [800.5945434570312, 531.1486206054688], [859.1964111328125, 558.5051879882812], [836.3274536132812, 559.9450073242188], [854.908447265625, 603.1396484375], [837.7567138671875, 603.1396484375], [854.908447265625, 650.6537475585938], [844.9033203125, 634.8157348632812]]","[[955.5635375976562, 627.9584350585938], [955.5635375976562, 625.0868530273438], [959.8828125, 623.6510620117188], [958.4430541992188, 626.5226440429688], [981.4793090820312, 625.0868530273438], [954.1237182617188, 658.1105346679688], [1001.6361083984375, 652.3673095703125], [921.0091552734375, 678.2119140625], [1017.4734497070312, 669.5970458984375], [906.6114501953125, 675.3402709960938], [1008.8348999023438, 659.54638671875], [972.8407592773438, 748.5667114257812], [1000.1962890625, 744.25927734375], [978.599853515625, 811.742431640625], [990.1179809570312, 794.5126953125], [1008.8348999023438, 879.2256469726562], [988.6781616210938, 849.0736083984375]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[911, 684]",None,None
88775,"[[849.1781616210938, 482.1871643066406], [853.466552734375, 477.86737060546875], [844.889892578125, 477.86737060546875], [862.043212890625, 477.86737060546875], [839.1719970703125, 477.86737060546875], [870.619873046875, 500.9062805175781], [830.5953369140625, 493.70660400390625], [887.7732543945312, 525.3851928710938], [809.1536254882812, 515.3056030273438], [877.76708984375, 539.7844848632812], [800.5769653320312, 531.1448974609375], [859.1842651367188, 558.5036010742188], [836.3131713867188, 559.9435424804688], [854.89599609375, 603.1416015625], [837.7425537109375, 603.1416015625], [854.89599609375, 650.6593627929688], [844.889892578125, 634.820068359375]]","[[955.4788208007812, 626.5648803710938], [955.4788208007812, 625.1294555664062], [959.7972412109375, 623.6940307617188], [958.3577880859375, 626.5648803710938], [981.3896484375, 625.1294555664062], [954.0392456054688, 658.1436157226562], [1001.5425415039062, 652.4020385742188], [920.930908203125, 678.2391967773438], [1017.376953125, 669.6268310546875], [906.5360107421875, 675.368408203125], [1008.739990234375, 659.5790405273438], [972.752685546875, 748.5737915039062], [1001.5425415039062, 742.8322143554688], [978.5106811523438, 811.7313842773438], [990.026611328125, 794.5065307617188], [1008.739990234375, 879.1951293945312], [988.587158203125, 849.0517578125]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[903, 655]",None,None
88776,"[[849.635009765625, 484.8311462402344], [853.9052124023438, 480.5121154785156], [845.3649291992188, 480.5121154785156], [861.02197265625, 481.9517822265625], [839.6714477539062, 480.5121154785156], [870.9856567382812, 503.5469970703125], [829.7078857421875, 499.22796630859375], [888.0661010742188, 528.0216064453125], [808.3573608398438, 517.94384765625], [879.5258178710938, 540.978759765625], [801.240478515625, 533.7803344726562], [859.5986938476562, 561.1343383789062], [836.8247680664062, 561.1343383789062], [853.9052124023438, 605.7644653320312], [839.6714477539062, 607.2041625976562], [852.4818115234375, 650.3946533203125], [848.2117309570312, 635.997802734375]]","[[954.0143432617188, 625.3031005859375], [956.881103515625, 622.4312744140625], [958.3145141601562, 622.4312744140625], [956.881103515625, 623.8672485351562], [982.6820678710938, 623.8672485351562], [952.5809326171875, 656.8934936523438], [999.8827514648438, 649.7138671875], [918.1796264648438, 675.5604858398438], [1009.9163818359375, 671.2527465820312], [903.845703125, 665.509033203125], [984.115478515625, 649.7138671875], [969.7815551757812, 743.0490112304688], [998.4493408203125, 741.6131591796875], [972.6484375, 806.229736328125], [988.4156494140625, 791.8705444335938], [1002.74951171875, 870.846435546875], [988.4156494140625, 853.6153564453125]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[896, 619]",None,None
88777,"[[851.068359375, 487.9786682128906], [855.3827514648438, 483.6543884277344], [846.7539672851562, 483.6543884277344], [861.13525390625, 485.0957946777344], [839.563232421875, 483.6543884277344], [871.2022094726562, 506.71710205078125], [829.496337890625, 502.392822265625], [888.4597778320312, 531.2212524414062], [809.3624267578125, 522.5726928710938], [878.392822265625, 547.0768432617188], [802.1718139648438, 539.8697509765625], [861.13525390625, 565.8153076171875], [838.1251831054688, 565.8153076171875], [853.944580078125, 607.616455078125], [841.0014038085938, 609.0579223632812], [848.1920166015625, 649.4176635742188], [851.068359375, 633.5620727539062]]","[[957.0824584960938, 626.2052001953125], [955.6469116210938, 620.44970703125], [957.0824584960938, 620.44970703125], [957.0824584960938, 621.8885498046875], [981.487060546875, 621.8885498046875], [952.7757568359375, 654.9827270507812], [998.7138061523438, 649.2272338867188], [914.0155639648438, 672.249267578125], [1007.3271484375, 672.249267578125], [898.2243041992188, 654.9827270507812], [982.922607421875, 644.9105834960938], [967.13134765625, 741.3154296875], [995.8426513671875, 739.87646484375], [962.82470703125, 807.5037231445312], [988.6648559570312, 790.2371826171875], [997.2781982421875, 863.619873046875], [985.793701171875, 852.10888671875]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[890, 589]",None,None
88778,"[[851.4203491210938, 489.36834716796875], [855.7257080078125, 485.0639343261719], [847.1149291992188, 485.0639343261719], [862.9013061523438, 486.4987487792969], [841.3743896484375, 485.0639343261719], [871.5120849609375, 508.0209045410156], [829.8934936523438, 506.5860900878906], [888.733642578125, 532.4126586914062], [808.3665771484375, 529.5430297851562], [880.1228637695312, 549.63037109375], [804.0612182617188, 551.065185546875], [861.4662475585938, 569.7177124023438], [838.504150390625, 569.7177124023438], [855.7257080078125, 609.892333984375], [841.3743896484375, 614.19677734375], [844.2446899414062, 648.6322021484375], [854.29052734375, 634.2841186523438]]","[[954.8833618164062, 621.58837890625], [954.8833618164062, 618.7132568359375], [956.3192749023438, 618.7132568359375], [956.3192749023438, 620.1507568359375], [982.1654052734375, 620.1507568359375], [950.57568359375, 653.2142944335938], [997.9602661132812, 647.4641723632812], [908.9346313476562, 670.46484375], [1003.7039184570312, 674.7775268554688], [897.447509765625, 650.3392333984375], [982.1654052734375, 644.5890502929688], [964.9346923828125, 742.3421020507812], [993.652587890625, 739.467041015625], [954.8833618164062, 807.0316772460938], [989.3448486328125, 791.2186279296875], [986.4730834960938, 853.0330810546875], [986.4730834960938, 853.0330810546875]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[889, 570]",None,None
88779,"[[853.4675903320312, 491.0197448730469], [857.7384643554688, 485.25994873046875], [847.77294921875, 485.25994873046875], [864.8567504882812, 488.13983154296875], [842.0784301757812, 486.69989013671875], [873.3986206054688, 509.73907470703125], [830.6891479492188, 508.29913330078125], [889.0587158203125, 532.7782592773438], [810.7581176757812, 532.7782592773438], [884.7877807617188, 548.6177368164062], [806.4871826171875, 555.8174438476562], [862.0094604492188, 570.2169799804688], [837.8074340820312, 570.2169799804688], [854.8911743164062, 610.5355834960938], [839.2310791015625, 614.8554077148438], [844.9256591796875, 649.4141845703125], [852.0439453125, 630.69482421875]]","[[951.88232421875, 619.0827026367188], [953.3145751953125, 614.7730102539062], [956.1791381835938, 614.7730102539062], [954.746826171875, 619.0827026367188], [981.9599609375, 619.0827026367188], [946.1531982421875, 652.1236572265625], [996.2825927734375, 650.6870727539062], [906.0496826171875, 672.2355346679688], [1003.4439086914062, 673.6720581054688], [896.0238647460938, 647.81396484375], [984.824462890625, 643.5042724609375], [961.908203125, 744.0635986328125], [991.98583984375, 738.3173828125], [947.5855102539062, 804.3993530273438], [986.2567749023438, 791.4702758789062], [977.6631469726562, 850.3693237304688], [989.1212768554688, 850.3693237304688]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[885, 557]",None,None
88780,"[[855.02197265625, 489.28631591796875], [859.2958374023438, 484.97845458984375], [849.323486328125, 484.97845458984375], [866.4189453125, 486.4144592285156], [842.2002563476562, 486.4144592285156], [873.5421752929688, 507.9535217285156], [830.8032836914062, 507.9535217285156], [889.2130126953125, 532.364501953125], [815.13232421875, 536.6723022460938], [887.7883911132812, 545.2879638671875], [810.8584594726562, 559.6473999023438], [862.1450805664062, 569.6989135742188], [837.9263916015625, 568.2630004882812], [855.02197265625, 609.9052734375], [833.6525268554688, 615.6489868164062], [845.0494995117188, 648.6755981445312], [847.8987426757812, 625.7005615234375]]","[[950.344970703125, 619.8038940429688], [951.7830810546875, 616.9336547851562], [954.6593017578125, 616.9336547851562], [954.6593017578125, 618.3687744140625], [979.1071166992188, 618.3687744140625], [944.592529296875, 649.941650390625], [993.4881591796875, 649.941650390625], [902.8873901367188, 671.4686889648438], [1002.1168212890625, 677.2091674804688], [892.8206176757812, 648.5065307617188], [977.6690063476562, 677.2091674804688], [960.4116821289062, 740.35498046875], [990.6119384765625, 736.0496215820312], [940.2781982421875, 799.1954345703125], [984.8595581054688, 792.019775390625], [969.0404052734375, 845.11962890625], [987.7357177734375, 850.8601684570312]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[882, 555]",None,None
