frame,top,bottom,court,net,ball,pos,type
24005,"[[984.5756225585938, 316.8790588378906], [988.82177734375, 314.0145263671875], [980.329345703125, 314.0145263671875], [993.0680541992188, 314.0145263671875], [974.6676025390625, 315.4468078613281], [997.3143310546875, 334.0660705566406], [964.7596435546875, 336.9305725097656], [1019.9611206054688, 351.2530822753906], [954.8517456054688, 361.27886962890625], [1012.8839721679688, 344.0918273925781], [952.0208740234375, 381.33038330078125], [987.4063720703125, 382.76263427734375], [969.0059204101562, 382.76263427734375], [994.4835205078125, 422.8656921386719], [970.4213256835938, 425.7301940917969], [981.7447509765625, 452.9429931640625], [973.252197265625, 468.69775390625]]","[[827.3980712890625, 552.4551391601562], [814.5439453125, 548.1319580078125], [838.8239135742188, 546.69091796875], [815.97216796875, 551.0140991210938], [837.3956909179688, 548.1319580078125], [804.5462646484375, 576.9530639648438], [850.2498168945312, 576.9530639648438], [794.5486450195312, 612.9793701171875], [865.9603881835938, 604.3330688476562], [797.4050903320312, 612.9793701171875], [877.3862915039062, 621.625732421875], [815.97216796875, 646.1235961914062], [844.536865234375, 644.6825561523438], [808.8309326171875, 685.0320434570312], [868.8168334960938, 677.8267822265625], [797.4050903320312, 731.145751953125], [844.536865234375, 723.9404296875]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[952, 401]",None,None
24006,"[[984.0595703125, 318.3222351074219], [988.3175048828125, 313.997802734375], [981.2208862304688, 313.997802734375], [992.5755004882812, 315.43927001953125], [975.5435791015625, 316.8807678222656], [996.8334350585938, 334.1784362792969], [965.6082763671875, 338.50286865234375], [1020.9620361328125, 354.35906982421875], [954.253662109375, 364.44940185546875], [1008.1880493164062, 339.9443359375], [951.4150390625, 386.0715026855469], [986.898193359375, 384.6300354003906], [968.4468994140625, 384.6300354003906], [992.5755004882812, 423.5497741699219], [971.2855834960938, 424.99127197265625], [981.2208862304688, 455.2622375488281], [972.7049560546875, 468.2354736328125]]","[[830.8179321289062, 550.2344970703125], [836.5507202148438, 541.6076049804688], [823.6519165039062, 544.4832153320312], [819.352294921875, 550.2344970703125], [842.2835083007812, 548.7966918945312], [809.3200073242188, 577.5531005859375], [855.1823120117188, 576.115234375], [797.8543090820312, 612.060791015625], [869.5143432617188, 599.1204223632812], [800.720703125, 612.060791015625], [882.4131469726562, 617.8120727539062], [819.352294921875, 645.1306762695312], [849.4495239257812, 643.6928100585938], [810.7531127929688, 683.9517822265625], [875.2471313476562, 671.0114135742188], [796.4212036132812, 731.39990234375], [858.0487060546875, 725.6485595703125]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[949, 412]",None,None
24007,"[[984.0396728515625, 317.4178466796875], [988.3094482421875, 314.5528869628906], [981.1931762695312, 314.5528869628906], [992.5792236328125, 315.9853820800781], [975.5001831054688, 315.9853820800781], [996.8489990234375, 334.6076354980469], [965.5374145507812, 338.90509033203125], [1021.0443115234375, 354.6623840332031], [954.1514282226562, 363.25726318359375], [1008.2349853515625, 340.3375549316406], [951.304931640625, 384.7444763183594], [986.88623046875, 383.31201171875], [968.3839721679688, 384.7444763183594], [992.5792236328125, 423.4214782714844], [971.23046875, 424.8539733886719], [981.1931762695312, 454.9360656738281], [972.6536865234375, 467.8283996582031]]","[[829.39404296875, 551.7045288085938], [836.5420532226562, 543.08154296875], [843.6900024414062, 544.5187377929688], [819.3868408203125, 550.267333984375], [842.260498046875, 548.8302001953125], [809.3796997070312, 577.5733642578125], [855.1268310546875, 576.1361694335938], [797.94287109375, 612.0651245117188], [870.8524780273438, 602.0050659179688], [800.8020629882812, 612.0651245117188], [882.289306640625, 617.8137817382812], [819.3868408203125, 645.1198120117188], [849.4085083007812, 642.2454833984375], [810.809326171875, 683.923095703125], [875.1412963867188, 670.9886474609375], [796.5132446289062, 731.3493041992188], [857.9860229492188, 725.6007080078125]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[949, 412]",None,None
24008,"[[983.5409545898438, 319.1772766113281], [986.38916015625, 314.8746337890625], [980.69287109375, 314.8746337890625], [992.0853881835938, 316.308837890625], [974.99658203125, 317.7430419921875], [996.3575439453125, 336.3878479003906], [965.0281372070312, 339.2562561035156], [1021.9907836914062, 355.0326232910156], [953.6356201171875, 363.6379089355469], [1007.7500610351562, 340.69049072265625], [949.3634643554688, 386.5853271484375], [986.38916015625, 383.7169494628906], [969.3003540039062, 386.5853271484375], [989.2372436523438, 423.87493896484375], [970.724365234375, 426.7433776855469], [977.8447265625, 455.4276428222656], [973.5725708007812, 471.2039794921875]]","[[839.8624877929688, 551.6492309570312], [822.6784057617188, 548.7767944335938], [849.8866577148438, 544.4681396484375], [825.5424194335938, 551.6492309570312], [847.0226440429688, 548.7767944335938], [814.0863647460938, 577.5011596679688], [859.9105834960938, 574.6287231445312], [802.6302490234375, 610.5341796875], [878.5267944335938, 597.6082153320312], [824.1104736328125, 603.35302734375], [891.414794921875, 616.279052734375], [824.1104736328125, 646.4395751953125], [854.1825561523438, 642.1309814453125], [812.6544189453125, 685.2174682617188], [881.3908081054688, 666.546630859375], [798.3343505859375, 732.6126708984375], [877.0947265625, 721.1229248046875]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[939, 427]",top,short service
24009,"[[983.4732666015625, 320.4501953125], [987.77880859375, 316.1258850097656], [980.6029052734375, 316.1258850097656], [993.5194702148438, 317.56732177734375], [974.8623046875, 317.56732177734375], [997.8248901367188, 337.7474060058594], [963.3809204101562, 340.6302795410156], [1022.2227783203125, 357.927490234375], [951.899658203125, 365.1346740722656], [1010.7413940429688, 344.95458984375], [946.158935546875, 392.52197265625], [984.908447265625, 386.7561950683594], [967.6864624023438, 388.1976318359375], [989.2139892578125, 425.6749572753906], [970.5568237304688, 428.5578308105469], [977.7325439453125, 454.5036926269531], [973.4271240234375, 470.3594665527344]]","[[852.7057495117188, 547.509033203125], [849.8543701171875, 541.75341796875], [852.7057495117188, 544.6312255859375], [829.8949584960938, 548.9479370117188], [852.7057495117188, 547.509033203125], [819.915283203125, 576.2871704101562], [866.96240234375, 574.8482666015625], [805.6585083007812, 610.8209838867188], [888.3475341796875, 600.7486572265625], [827.0435791015625, 596.431884765625], [898.3272094726562, 613.6987915039062], [829.8949584960938, 645.3547973632812], [861.2597045898438, 641.0380859375], [815.6382446289062, 684.2052612304688], [888.3475341796875, 662.6216430664062], [799.9558715820312, 730.2503662109375], [894.0501708984375, 715.8612670898438]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[934, 440]",None,None
24010,"[[985.5042114257812, 321.9734191894531], [989.8097534179688, 317.6634521484375], [981.1987915039062, 317.6634521484375], [994.1151733398438, 319.1001281738281], [975.4581909179688, 319.1001281738281], [998.4205932617188, 337.7766418457031], [963.9769897460938, 340.64996337890625], [1022.8182983398438, 357.88983154296875], [951.0604858398438, 365.0731201171875], [1009.9019165039062, 344.9599609375], [945.3198852539062, 390.93292236328125], [984.0691528320312, 386.6229553222656], [966.8472290039062, 388.0596008300781], [986.9393920898438, 425.4126892089844], [969.7175903320312, 428.2859802246094], [975.4581909179688, 455.5824890136719], [972.5878295898438, 471.38568115234375]]","[[848.1771850585938, 551.1635131835938], [855.3328857421875, 542.552978515625], [842.45263671875, 543.9880981445312], [838.1591796875, 549.7284545898438], [859.6262817382812, 546.8582763671875], [828.1412963867188, 574.1249389648438], [872.5065307617188, 574.1249389648438], [810.967529296875, 608.567138671875], [899.6981811523438, 601.3916625976562], [815.2610473632812, 607.1320190429688], [908.2850341796875, 610.002197265625], [836.72802734375, 645.8794555664062], [868.213134765625, 641.5741577148438], [819.554443359375, 681.7567138671875], [892.5425415039062, 663.1005249023438], [799.5184326171875, 733.419921875], [909.7161865234375, 704.7181396484375]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[928, 455]",None,None
24011,"[[984.4291381835938, 321.6600646972656], [988.7496337890625, 317.3666687011719], [981.5488891601562, 317.3666687011719], [993.070068359375, 318.79779052734375], [974.3482055664062, 320.22894287109375], [998.8306274414062, 338.8336181640625], [964.2671508789062, 340.2647705078125], [1023.3130493164062, 357.4383239746094], [949.8656616210938, 363.162841796875], [1024.7532958984375, 363.162841796875], [938.3445434570312, 393.21661376953125], [982.989013671875, 387.4920959472656], [964.2671508789062, 387.4920959472656], [985.8693237304688, 426.1325988769531], [970.0277099609375, 423.2703552246094], [975.7882690429688, 456.18634033203125], [972.9080200195312, 469.0665283203125]]","[[844.4680786132812, 546.3849487304688], [843.0299682617188, 546.3849487304688], [867.4763793945312, 542.0862426757812], [844.4680786132812, 547.81787109375], [866.0383911132812, 546.3849487304688], [834.4019165039062, 575.0430297851562], [881.8565673828125, 572.1771850585938], [815.7076416015625, 609.4326171875], [904.864990234375, 595.1036376953125], [820.0216674804688, 606.5668334960938], [917.8071899414062, 609.4326171875], [843.0299682617188, 646.6881103515625], [874.66650390625, 640.9564819335938], [821.4596557617188, 685.37646484375], [899.1128540039062, 665.3158569335938], [799.8893432617188, 734.0951538085938], [919.2451782226562, 693.973876953125]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[924, 472]",None,None
24012,"[[984.9723510742188, 321.2325134277344], [989.2885131835938, 316.9212341308594], [980.6561889648438, 316.9212341308594], [993.6045532226562, 319.7954406738281], [974.9013671875, 319.7954406738281], [997.9207153320312, 337.04046630859375], [963.3917236328125, 339.9146423339844], [1022.3787841796875, 355.72259521484375], [947.56591796875, 364.3451232910156], [1023.8175048828125, 362.90802001953125], [938.9336547851562, 390.2126770019531], [980.6561889648438, 385.90142822265625], [963.3917236328125, 384.46435546875], [984.9723510742188, 424.7027893066406], [969.1466064453125, 421.82861328125], [974.9013671875, 456.31866455078125], [967.7078247070312, 466.3782958984375]]","[[874.577880859375, 545.4783935546875], [868.8473510742188, 539.7376098632812], [874.577880859375, 542.6080322265625], [851.6558837890625, 549.7839965820312], [874.577880859375, 545.4783935546875], [841.6275024414062, 577.0529174804688], [888.9041137695312, 572.7472534179688], [825.8685913085938, 607.192138671875], [917.556640625, 594.2753295898438], [827.30126953125, 605.7568969726562], [916.1240234375, 592.840087890625], [848.7906494140625, 645.942626953125], [883.173583984375, 641.6370239257812], [825.8685913085938, 684.693115234375], [903.2304077148438, 664.6002807617188], [801.5139770507812, 733.489990234375], [926.1524047851562, 693.3042602539062]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[920, 489]",None,None
24013,"[[985.0012817382812, 321.2476501464844], [989.3197021484375, 316.9360046386719], [980.682861328125, 316.9360046386719], [993.63818359375, 319.8104248046875], [974.9249267578125, 319.8104248046875], [997.95654296875, 337.0569763183594], [963.4091186523438, 339.931396484375], [1022.4276123046875, 355.7406921386719], [947.5748291015625, 364.3639831542969], [1023.8670654296875, 361.48956298828125], [938.9380493164062, 390.2337951660156], [980.682861328125, 385.9221496582031], [963.4091186523438, 384.4849548339844], [985.0012817382812, 424.7268981933594], [969.1669921875, 421.85247802734375], [974.9249267578125, 456.34552001953125], [967.7276000976562, 466.406005859375]]","[[874.7883911132812, 545.5608520507812], [869.0607299804688, 539.8192138671875], [874.7883911132812, 542.6900634765625], [851.8776245117188, 549.8670654296875], [873.3565063476562, 546.9962768554688], [841.8541259765625, 577.1397094726562], [889.1077270507812, 572.83349609375], [826.1029663085938, 607.283203125], [916.3142700195312, 594.3645629882812], [826.1029663085938, 605.8477783203125], [916.3142700195312, 592.92919921875], [849.0137329101562, 646.0390625], [883.3800048828125, 641.73291015625], [826.1029663085938, 683.3595581054688], [903.427001953125, 664.6993408203125], [800.3283081054688, 733.5986938476562], [926.3378295898438, 693.4074096679688]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[920, 489]",None,None
24014,"[[984.5910034179688, 320.0223693847656], [988.8861083984375, 317.1446228027344], [980.2959594726562, 315.7057189941406], [994.6128540039062, 318.5834655761719], [974.5691528320312, 318.5834655761719], [997.4762573242188, 335.8500061035156], [963.1156005859375, 340.1666259765625], [1021.8151245117188, 353.11651611328125], [945.9351806640625, 366.06640625], [1024.678466796875, 363.18865966796875], [937.3450927734375, 391.9661865234375], [978.8642578125, 386.210693359375], [961.683837890625, 384.77178955078125], [980.2959594726562, 423.62152099609375], [967.41064453125, 420.7437438964844], [976.0008544921875, 455.27679443359375], [964.5472412109375, 463.9100646972656]]","[[870.4146728515625, 551.5482788085938], [860.4183349609375, 547.2261962890625], [864.7024536132812, 545.7855224609375], [861.8463745117188, 550.1076049804688], [881.839111328125, 547.2261962890625], [853.2780151367188, 574.5993041992188], [898.9757080078125, 571.7179565429688], [836.1414184570312, 606.29443359375], [926.1088256835938, 587.5654907226562], [836.1414184570312, 606.29443359375], [926.1088256835938, 586.1248168945312], [860.4183349609375, 645.1930541992188], [893.2634887695312, 640.8709716796875], [836.1414184570312, 681.2102661132812], [910.4002075195312, 665.3626708984375], [803.296142578125, 733.0750122070312], [930.3929443359375, 695.6171875]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[913, 506]",None,None
