frame,top,bottom,court,net,ball,pos,type
67117,"[[1092.80908203125, 375.2274169921875], [1097.08935546875, 372.3549499511719], [1089.95556640625, 370.918701171875], [1104.2230224609375, 372.3549499511719], [1084.24853515625, 372.3549499511719], [1112.7835693359375, 391.0262145996094], [1074.2613525390625, 383.8449401855469], [1122.770751953125, 419.75128173828125], [1064.2740478515625, 401.0799865722656], [1101.3695068359375, 419.75128173828125], [1065.7008056640625, 424.05999755859375], [1099.9427490234375, 448.476318359375], [1078.5416259765625, 447.0400695800781], [1097.08935546875, 490.12762451171875], [1075.68798828125, 485.81890869140625], [1097.08935546875, 536.0877075195312], [1077.1148681640625, 515.980224609375]]","[[923.70263671875, 580.8369140625], [910.7794189453125, 573.64013671875], [936.6258544921875, 570.761474609375], [912.2152709960938, 576.5188598632812], [935.1900024414062, 575.0795288085938], [902.1638793945312, 609.6239624023438], [953.85693359375, 602.4271850585938], [892.1124877929688, 632.653564453125], [979.7034912109375, 621.1387329101562], [922.2667846679688, 632.653564453125], [972.5238647460938, 639.850341796875], [917.9589233398438, 685.9096069335938], [952.4210205078125, 684.4702758789062], [910.7794189453125, 739.1656494140625], [946.6773681640625, 733.4082641601562], [910.7794189453125, 796.73974609375], [939.4977416992188, 785.224853515625]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[946, 555]",None,None
67118,"[[1092.7869873046875, 375.51385498046875], [1097.0806884765625, 372.6498107910156], [1089.924560546875, 371.2177734375], [1104.23681640625, 372.6498107910156], [1084.19970703125, 372.6498107910156], [1112.82421875, 392.69805908203125], [1074.1810302734375, 384.1059875488281], [1122.8428955078125, 419.90643310546875], [1064.1624755859375, 401.2901916503906], [1101.3743896484375, 419.90643310546875], [1065.5936279296875, 424.2024841308594], [1099.9432373046875, 448.546875], [1078.4747314453125, 447.11480712890625], [1097.0806884765625, 490.0754089355469], [1075.6123046875, 485.7793273925781], [1097.0806884765625, 535.9000244140625], [1077.04345703125, 515.8517456054688]]","[[910.9002685546875, 577.6318359375], [910.9002685546875, 573.3174438476562], [936.762939453125, 570.441162109375], [912.3370971679688, 577.6318359375], [935.3261108398438, 574.7555541992188], [902.2793579101562, 609.27099609375], [954.0046997070312, 602.0802612304688], [893.6585083007812, 632.28125], [979.8673706054688, 620.7761840820312], [922.3948364257812, 632.28125], [971.2464599609375, 640.91015625], [918.0842895507812, 685.4925537109375], [952.56787109375, 685.4925537109375], [910.9002685546875, 738.703857421875], [946.8206787109375, 732.9512939453125], [910.9002685546875, 796.2295532226562], [939.6365966796875, 786.16259765625]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[947, 553]",None,None
67119,"[[1092.725341796875, 375.6515808105469], [1097.02490234375, 372.77545166015625], [1089.85888671875, 372.77545166015625], [1104.191162109375, 372.77545166015625], [1084.1258544921875, 372.77545166015625], [1112.79052734375, 391.4703674316406], [1074.09326171875, 384.280029296875], [1122.8231201171875, 420.2317199707031], [1064.0606689453125, 401.5368347167969], [1101.32470703125, 420.2317199707031], [1065.493896484375, 424.54595947265625], [1099.8914794921875, 448.99310302734375], [1078.3929443359375, 446.1169738769531], [1097.02490234375, 489.25909423828125], [1075.526611328125, 486.3829040527344], [1097.02490234375, 535.2772827148438], [1076.9598388671875, 515.144287109375]]","[[923.7667236328125, 581.8270874023438], [910.8214111328125, 573.181884765625], [936.7119140625, 570.3001708984375], [912.259765625, 577.5045166015625], [936.7119140625, 574.6227416992188], [903.6295166015625, 609.2035522460938], [953.9723510742188, 601.9992065429688], [894.9993286132812, 632.2573852539062], [979.8629760742188, 620.73046875], [922.3283081054688, 633.6982421875], [971.2327270507812, 640.902587890625], [918.01318359375, 685.5694580078125], [952.5339965820312, 684.1286010742188], [910.8214111328125, 738.8814697265625], [946.7805786132812, 733.1179809570312], [910.8214111328125, 796.51611328125], [939.5886840820312, 784.9891967773438]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[948, 551]",None,None
67120,"[[1093.3173828125, 376.027099609375], [1097.566650390625, 373.158935546875], [1090.4847412109375, 371.724853515625], [1103.2320556640625, 374.593017578125], [1084.8192138671875, 373.158935546875], [1113.146728515625, 391.8021545410156], [1074.904541015625, 384.6316833496094], [1123.061279296875, 420.48394775390625], [1063.573486328125, 401.84075927734375], [1101.815673828125, 420.48394775390625], [1064.9898681640625, 423.35211181640625], [1100.3992919921875, 449.165771484375], [1077.7373046875, 446.297607421875], [1097.566650390625, 489.3203430175781], [1076.3209228515625, 486.4521484375], [1096.150146484375, 536.6453247070312], [1077.7373046875, 516.5680541992188]]","[[924.9038696289062, 581.7050170898438], [910.6880493164062, 573.06103515625], [937.6980590820312, 570.1796875], [913.53125, 577.3829956054688], [936.2764892578125, 574.5016479492188], [903.5801391601562, 607.6370239257812], [953.33544921875, 601.8743286132812], [895.0506591796875, 630.6876831054688], [980.3453979492188, 620.6029663085938], [922.0606689453125, 635.0096435546875], [971.8159790039062, 640.7723388671875], [917.7959594726562, 685.4329833984375], [951.9138793945312, 685.4329833984375], [910.6880493164062, 738.7376708984375], [946.2275390625, 732.9749145507812], [910.6880493164062, 796.3641967773438], [939.11962890625, 786.279541015625]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[949, 549]",None,None
67121,"[[1093.3070068359375, 377.6468505859375], [1097.579833984375, 373.3427429199219], [1090.45849609375, 373.3427429199219], [1103.2769775390625, 374.7774353027344], [1084.761474609375, 373.3427429199219], [1113.246826171875, 393.4287109375], [1074.7916259765625, 384.8204345703125], [1123.2166748046875, 420.6882629394531], [1063.3974609375, 403.4716796875], [1100.428466796875, 420.6882629394531], [1064.8216552734375, 424.9924011230469], [1100.428466796875, 449.3825378417969], [1077.64013671875, 447.9478454589844], [1097.579833984375, 489.5545349121094], [1076.2158203125, 486.68511962890625], [1097.579833984375, 535.46533203125], [1077.64013671875, 515.37939453125]]","[[925.7135620117188, 580.21728515625], [911.46923828125, 571.5755615234375], [937.1090087890625, 570.13525390625], [912.8936767578125, 575.8964233398438], [937.1090087890625, 574.4561157226562], [902.9226684570312, 609.0230102539062], [954.2022094726562, 601.8215942382812], [897.224853515625, 632.067626953125], [981.2666015625, 620.5453491210938], [921.4403076171875, 633.5079345703125], [969.87109375, 642.149658203125], [918.5913696289062, 685.3582763671875], [952.7777709960938, 682.4776611328125], [911.46923828125, 738.64892578125], [947.080078125, 732.8877563476562], [911.46923828125, 796.2603759765625], [939.9579467773438, 783.2978515625]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[951, 547]",None,None
67122,"[[1093.12353515625, 377.4115295410156], [1097.3748779296875, 373.0930480957031], [1088.8720703125, 373.0930480957031], [1103.0433349609375, 374.5325622558594], [1084.6207275390625, 374.5325622558594], [1112.963134765625, 393.24591064453125], [1074.700927734375, 384.6089782714844], [1122.8829345703125, 420.59625244140625], [1063.364013671875, 403.3223571777344], [1100.2091064453125, 422.0357360839844], [1064.7811279296875, 424.9147033691406], [1100.2091064453125, 449.3860168457031], [1077.53515625, 447.9465637207031], [1097.3748779296875, 489.6917419433594], [1076.1181640625, 486.8127746582031], [1097.3748779296875, 535.7554321289062], [1077.53515625, 515.6025390625]]","[[925.2890014648438, 580.3807983398438], [912.4244995117188, 571.7296142578125], [938.1535034179688, 568.8458251953125], [912.4244995117188, 574.6133422851562], [936.7241821289062, 573.1714477539062], [903.8482055664062, 607.7764892578125], [953.8768920898438, 602.0089721679688], [896.7012329101562, 630.8464965820312], [982.4646606445312, 620.7533569335938], [922.4302978515625, 635.172119140625], [971.0294799804688, 640.9396362304688], [918.14208984375, 685.6377563476562], [952.447509765625, 684.1959228515625], [910.9951171875, 738.9872436523438], [946.7299194335938, 733.2197265625], [910.9951171875, 796.6622314453125], [939.5830078125, 785.1272583007812]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[952, 545]",None,None
67123,"[[1092.1697998046875, 377.209716796875], [1096.4876708984375, 372.8861999511719], [1089.291259765625, 372.8861999511719], [1103.6842041015625, 374.3273620605469], [1084.9732666015625, 374.3273620605469], [1112.3199462890625, 394.50372314453125], [1073.458984375, 384.4155578613281], [1122.39501953125, 420.4447326660156], [1063.3839111328125, 403.1507263183594], [1099.3663330078125, 421.8858947753906], [1064.8232421875, 426.2094421386719], [1099.3663330078125, 450.7092590332031], [1077.77685546875, 447.82696533203125], [1097.927001953125, 489.62078857421875], [1076.3375244140625, 486.7384948730469], [1096.4876708984375, 535.7382202148438], [1076.3375244140625, 515.5618286132812]]","[[940.5601196289062, 573.262939453125], [912.144775390625, 571.8284912109375], [937.7185668945312, 568.9597778320312], [913.5654907226562, 576.1316528320312], [937.7185668945312, 573.262939453125], [905.0408935546875, 607.6879272460938], [954.7677612304688, 601.950439453125], [896.5162963867188, 630.637939453125], [983.1831665039062, 620.5973510742188], [923.5108642578125, 633.5067138671875], [971.8170166015625, 640.6785888671875], [917.8277587890625, 685.1442260742188], [951.92626953125, 683.7098999023438], [910.7239990234375, 739.6505737304688], [947.6639404296875, 733.9130249023438], [910.7239990234375, 797.0255737304688], [939.1392822265625, 785.5505981445312]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[953, 544]",None,None
67124,"[[1091.4542236328125, 376.0849914550781], [1095.692138671875, 373.204833984375], [1088.62890625, 373.204833984375], [1102.75537109375, 376.0849914550781], [1084.3909912109375, 373.204833984375], [1112.6439208984375, 393.36578369140625], [1074.5025634765625, 386.16546630859375], [1122.5322265625, 422.16717529296875], [1063.201416015625, 403.4462585449219], [1099.9300537109375, 422.16717529296875], [1066.0267333984375, 426.4873962402344], [1099.9300537109375, 450.96856689453125], [1077.327880859375, 448.08843994140625], [1097.104736328125, 489.85040283203125], [1075.9151611328125, 485.5302429199219], [1097.104736328125, 535.9326782226562], [1077.327880859375, 515.7716674804688]]","[[940.2667846679688, 572.81640625], [911.6732177734375, 571.3817138671875], [938.837158203125, 569.947021484375], [913.1028442382812, 575.6858520507812], [937.4074096679688, 572.81640625], [904.5247802734375, 607.2495727539062], [954.5635375976562, 601.5106811523438], [895.9467163085938, 630.2050170898438], [984.5868530273438, 620.1619873046875], [924.540283203125, 631.6397094726562], [970.2900390625, 641.6827392578125], [918.821533203125, 684.7241821289062], [953.1339111328125, 684.7241821289062], [910.2434692382812, 739.2433471679688], [947.4152221679688, 733.5044555664062], [911.6732177734375, 798.0665283203125], [940.2667846679688, 783.7194213867188]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 542]",None,None
67125,"[[1091.459716796875, 376.1108093261719], [1095.6986083984375, 373.2310485839844], [1088.6336669921875, 373.2310485839844], [1102.7635498046875, 374.6708984375], [1084.394775390625, 373.2310485839844], [1112.6544189453125, 393.3895568847656], [1074.50390625, 384.7501525878906], [1122.5452880859375, 422.1873779296875], [1063.199951171875, 403.46875], [1099.9376220703125, 422.1873779296875], [1066.0260009765625, 426.50701904296875], [1099.9376220703125, 450.9852294921875], [1077.329833984375, 448.10540771484375], [1097.1116943359375, 489.8623046875], [1075.9168701171875, 485.5426025390625], [1097.1116943359375, 535.9388427734375], [1077.329833984375, 515.7803955078125]]","[[940.2528686523438, 572.8812255859375], [911.7040405273438, 571.4464111328125], [938.825439453125, 570.0116577148438], [913.1314697265625, 575.7508544921875], [938.825439453125, 572.8812255859375], [904.5667724609375, 607.3165283203125], [954.52734375, 601.5773315429688], [896.0021362304688, 630.2733764648438], [984.5036010742188, 620.2297973632812], [924.5509643554688, 631.7081909179688], [970.2291259765625, 641.7518310546875], [918.8412475585938, 684.7959594726562], [953.0999145507812, 684.7959594726562], [910.276611328125, 739.3184814453125], [947.3900756835938, 733.5792846679688], [911.7040405273438, 798.1455078125], [940.2528686523438, 783.79736328125]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[955, 540]",None,None
67126,"[[1091.3193359375, 377.49566650390625], [1095.5626220703125, 373.17706298828125], [1088.4906005859375, 373.17706298828125], [1102.6346435546875, 376.0561218261719], [1084.247314453125, 374.6166076660156], [1112.5355224609375, 393.3304138183594], [1074.346435546875, 386.13275146484375], [1122.4364013671875, 422.120849609375], [1063.0311279296875, 403.40704345703125], [1099.8057861328125, 422.120849609375], [1064.445556640625, 426.43939208984375], [1099.8057861328125, 450.9112854003906], [1077.17529296875, 448.0322265625], [1096.9769287109375, 489.77838134765625], [1075.7608642578125, 485.45977783203125], [1096.9769287109375, 535.8431396484375], [1077.17529296875, 515.6897583007812]]","[[941.0545654296875, 574.3592529296875], [912.4407348632812, 571.4843139648438], [939.6238403320312, 571.4843139648438], [913.8714599609375, 575.7967529296875], [938.1931762695312, 574.3592529296875], [905.2872924804688, 607.4210205078125], [953.9307861328125, 601.6712036132812], [896.7031860351562, 628.9830932617188], [985.4059448242188, 620.3583374023438], [966.8069458007812, 641.9203491210938], [969.6683349609375, 640.4828491210938], [918.1635131835938, 685.04443359375], [952.5000610351562, 685.04443359375], [911.0100708007812, 739.6682739257812], [946.77734375, 733.9183349609375], [911.0100708007812, 797.1669921875], [939.6238403320312, 785.6672973632812]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[956, 538]",None,None
