frame,top,bottom,court,net,ball,pos,type
71114,"[[1056.5755615234375, 345.84429931640625], [1059.4439697265625, 342.96478271484375], [1053.7071533203125, 342.96478271484375], [1062.3123779296875, 345.84429931640625], [1042.2335205078125, 342.96478271484375], [1045.1019287109375, 363.1213684082031], [1036.4967041015625, 361.6816101074219], [1039.3651123046875, 393.35626220703125], [1042.2335205078125, 389.0369873046875], [1072.351806640625, 376.07916259765625], [1066.614990234375, 403.4345397949219], [1017.8519897460938, 412.0731201171875], [1004.9441528320312, 410.6333312988281], [1056.5755615234375, 432.2297058105469], [994.9047241210938, 442.3079833984375], [947.575927734375, 462.4645690917969], [953.312744140625, 459.5850830078125]]","[[967.5918579101562, 524.7045288085938], [940.3610229492188, 524.7045288085938], [966.15869140625, 520.3916625976562], [941.794189453125, 527.5797119140625], [964.7254638671875, 524.7045288085938], [941.794189453125, 554.89453125], [981.9238891601562, 547.7064819335938], [943.2274169921875, 595.1480102539062], [1000.5555419921875, 590.8350830078125], [933.1950073242188, 629.6509399414062], [1012.021240234375, 618.14990234375], [963.2922973632812, 633.9638061523438], [990.5231323242188, 628.2132568359375], [940.3610229492188, 687.1558227539062], [994.82275390625, 677.0924682617188], [930.32861328125, 744.6607666015625], [1009.1548461914062, 738.9102172851562]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1166, 380]",None,None
71115,"[[1068.598876953125, 349.88623046875], [1070.0372314453125, 347.0196533203125], [1064.2838134765625, 347.0196533203125], [1070.0372314453125, 349.88623046875], [1051.3387451171875, 347.0196533203125], [1052.777099609375, 367.0857238769531], [1047.0238037109375, 364.2191162109375], [1054.2154541015625, 397.184814453125], [1057.0921630859375, 397.184814453125], [1057.0921630859375, 402.9179382324219], [1072.913818359375, 405.78448486328125], [1008.1887817382812, 414.3842468261719], [1022.572021484375, 415.8175354003906], [995.2437133789062, 444.4833068847656], [1064.2838134765625, 437.3168640136719], [950.6552124023438, 461.68280029296875], [1088.735595703125, 481.74884033203125]]","[[970.5343017578125, 521.9010009765625], [941.7515869140625, 526.2037963867188], [967.656005859375, 519.032470703125], [943.1907348632812, 526.2037963867188], [966.2169189453125, 524.76953125], [944.6298828125, 553.4547119140625], [984.9255981445312, 547.7177124023438], [946.0690307617188, 593.6140747070312], [1002.1952514648438, 586.4427490234375], [935.9951171875, 626.6021118164062], [1015.1473999023438, 616.5623168945312], [967.656005859375, 629.4706420898438], [996.4385986328125, 628.036376953125], [944.6298828125, 685.4068603515625], [999.3169555664062, 678.235595703125], [938.8733520507812, 744.211669921875], [1009.390869140625, 738.474609375]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1172, 392]",None,None
71116,"[[1078.63720703125, 355.20855712890625], [1081.5050048828125, 352.33709716796875], [1075.7696533203125, 350.9013366699219], [1081.5050048828125, 355.20855712890625], [1064.298828125, 352.33709716796875], [1064.298828125, 371.0017395019531], [1058.5634765625, 371.0017395019531], [1062.864990234375, 405.45947265625], [1065.7327880859375, 396.84503173828125], [1091.5418701171875, 383.9233703613281], [1084.3726806640625, 409.7666931152344], [1042.791259765625, 422.6883544921875], [1028.452880859375, 419.81689453125], [1077.203369140625, 444.2244873046875], [1004.0775146484375, 448.53167724609375], [958.1946411132812, 461.453369140625], [1107.3140869140625, 487.29669189453125]]","[[971.93017578125, 525.0601806640625], [943.375, 525.0601806640625], [970.5023803710938, 520.7474975585938], [944.802734375, 526.4977416992188], [969.0745849609375, 525.0601806640625], [944.802734375, 553.8116455078125], [987.635498046875, 546.623779296875], [944.802734375, 592.6260986328125], [1003.3408203125, 582.5630493164062], [937.6639404296875, 627.1278076171875], [1019.046142578125, 617.0647583007812], [973.3578491210938, 630.0029296875], [1003.3408203125, 627.1278076171875], [950.5137939453125, 683.1930541992188], [1001.9130249023438, 674.567626953125], [950.5137939453125, 745.008544921875], [1011.9073486328125, 733.508056640625]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1179, 405]",None,None
71117,"[[1078.593505859375, 355.3394470214844], [1081.461669921875, 352.4715270996094], [1075.72509765625, 351.0375671386719], [1081.461669921875, 355.3394470214844], [1064.2520751953125, 352.4715270996094], [1064.2520751953125, 371.11297607421875], [1058.5155029296875, 371.11297607421875], [1062.81787109375, 405.5279541015625], [1065.686279296875, 396.9241943359375], [1091.5006103515625, 384.0185852050781], [1084.3299560546875, 409.829833984375], [1042.7401123046875, 422.7354431152344], [1028.398681640625, 418.43353271484375], [1077.1593017578125, 444.2447814941406], [1004.0183715820312, 448.546630859375], [958.1260375976562, 461.4522705078125], [1107.2762451171875, 487.2635192871094]]","[[970.5728759765625, 525.1019897460938], [943.456298828125, 526.5396118164062], [970.5728759765625, 520.7892456054688], [944.8834838867188, 526.5396118164062], [969.1456909179688, 525.1019897460938], [944.8834838867188, 553.853759765625], [987.6991577148438, 546.6658325195312], [944.8834838867188, 592.6686401367188], [1003.398193359375, 582.6055908203125], [937.7476196289062, 627.1707763671875], [1019.0972900390625, 617.107666015625], [973.4273071289062, 630.0459594726562], [1003.398193359375, 627.1707763671875], [950.59228515625, 681.7991333007812], [1001.9710693359375, 674.6112060546875], [949.1651000976562, 745.0530395507812], [1011.9613647460938, 733.5523071289062]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1179, 407]",None,None
71118,"[[1089.333251953125, 362.4686584472656], [1090.772216796875, 359.59490966796875], [1085.0162353515625, 356.72113037109375], [1092.211181640625, 361.03179931640625], [1074.943359375, 356.72113037109375], [1074.943359375, 378.27435302734375], [1067.7484130859375, 375.400634765625], [1076.38232421875, 412.75958251953125], [1079.26025390625, 408.4488830566406], [1106.60107421875, 422.8177490234375], [1105.162109375, 421.3808288574219], [1051.91943359375, 428.5652770996094], [1038.968505859375, 425.6914978027344], [1089.333251953125, 448.6816101074219], [1014.5057373046875, 454.42913818359375], [965.580078125, 464.4873046875], [1122.4300537109375, 493.2249755859375]]","[[974.4159545898438, 525.7322998046875], [971.5556640625, 519.98974609375], [972.98583984375, 521.4253540039062], [947.2426147460938, 527.16796875], [971.5556640625, 525.7322998046875], [945.8125, 554.445068359375], [988.7177734375, 545.8312377929688], [945.8125, 597.5142822265625], [1007.31005859375, 587.4647827148438], [938.6615600585938, 630.533935546875], [1021.6118774414062, 620.4844970703125], [978.70654296875, 629.0982666015625], [1008.740234375, 626.22705078125], [954.3935546875, 683.652587890625], [1005.8798828125, 672.16748046875], [957.2538452148438, 745.3850708007812], [1015.89111328125, 726.7217407226562]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1183, 418]",None,None
71119,"[[1099.5234375, 367.3841247558594], [1100.9581298828125, 363.0951232910156], [1096.65380859375, 363.0951232910156], [1100.9581298828125, 365.9544372558594], [1086.6103515625, 363.0951232910156], [1085.175537109375, 381.6807861328125], [1078.0015869140625, 380.2511291503906], [1088.0450439453125, 415.99285888671875], [1089.4798583984375, 411.7038269042969], [1118.1756591796875, 433.14886474609375], [1118.1756591796875, 428.8598937988281], [1042.1317138671875, 427.43017578125], [1050.740478515625, 426.00054931640625], [1026.3489990234375, 457.4532165527344], [1100.9581298828125, 444.5862121582031], [973.26171875, 467.4609069824219], [1123.9149169921875, 493.1949462890625]]","[[975.712890625, 528.7202758789062], [947.1076049804688, 528.7202758789062], [975.712890625, 524.3991088867188], [949.9680786132812, 533.0414428710938], [972.8523559570312, 528.7202758789062], [947.1076049804688, 557.528076171875], [991.44580078125, 548.8857421875], [947.1076049804688, 600.73974609375], [1010.0392456054688, 590.6570434570312], [945.6773681640625, 638.1898803710938], [1024.3419189453125, 622.3456420898438], [982.8641967773438, 633.8687133789062], [1012.8998413085938, 629.5475463867188], [958.5496826171875, 685.7227783203125], [1010.0392456054688, 669.8784790039062], [964.270751953125, 747.6595458984375], [1021.4813842773438, 723.1728515625]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1187, 433]",None,None
71120,"[[1112.9647216796875, 371.9873352050781], [1112.9647216796875, 367.7024841308594], [1110.0924072265625, 367.7024841308594], [1095.73095703125, 367.7024841308594], [1098.603271484375, 369.1307678222656], [1087.1142578125, 383.4135437011719], [1091.422607421875, 389.12664794921875], [1102.91162109375, 417.6922302246094], [1098.603271484375, 414.8356628417969], [1130.1983642578125, 439.116455078125], [1128.76220703125, 436.2598876953125], [1052.6468505859375, 429.1184997558594], [1061.263671875, 427.6902160644531], [1035.4132080078125, 460.5406494140625], [1108.65625, 443.40130615234375], [982.2761840820312, 467.6820373535156], [1124.4537353515625, 491.9627685546875]]","[[977.17529296875, 538.3079223632812], [975.7501220703125, 533.9985961914062], [977.17529296875, 532.5621948242188], [951.521240234375, 535.43505859375], [975.7501220703125, 533.9985961914062], [950.0960083007812, 562.7274780273438], [995.7032470703125, 554.1088256835938], [948.6708374023438, 605.82080078125], [1012.805908203125, 595.7656860351562], [948.6708374023438, 643.1682739257812], [1027.0582275390625, 624.4945678710938], [987.15185546875, 638.8590087890625], [1017.0816650390625, 634.5496215820312], [964.3483276367188, 692.0073852539062], [1014.2311401367188, 671.8971557617188], [970.0491943359375, 752.3380737304688], [1028.4835205078125, 717.8633422851562]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1194, 448]",None,None
71121,"[[1119.9139404296875, 381.77587890625], [1121.345947265625, 378.9209899902344], [1117.0499267578125, 378.9209899902344], [1124.2098388671875, 380.34844970703125], [1107.02587890625, 378.9209899902344], [1095.56982421875, 388.91314697265625], [1099.8658447265625, 400.3327941894531], [1117.0499267578125, 421.7445983886719], [1119.9139404296875, 424.5994873046875], [1137.097900390625, 441.72894287109375], [1139.9617919921875, 443.1563720703125], [1056.90576171875, 430.309326171875], [1062.6337890625, 430.309326171875], [1112.75390625, 441.72894287109375], [1112.75390625, 441.72894287109375], [991.0337524414062, 467.4230651855469], [1124.2098388671875, 493.1172790527344]]","[[980.6043090820312, 542.0746459960938], [953.2708740234375, 542.0746459960938], [980.6043090820312, 537.7548828125], [954.70947265625, 542.0746459960938], [979.1657104492188, 540.634765625], [953.2708740234375, 570.8733520507812], [999.30615234375, 562.2337646484375], [951.832275390625, 614.0714111328125], [1018.0079956054688, 605.4318237304688], [950.3936767578125, 650.0697631835938], [1028.0782470703125, 639.990234375], [992.1131591796875, 644.31005859375], [1022.3237915039062, 638.55029296875], [969.0955200195312, 696.147705078125], [1013.692138671875, 667.3489990234375], [973.4113159179688, 758.0648803710938], [1036.7098388671875, 720.6265869140625]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1198, 463]",None,None
71122,"[[1131.51171875, 389.8451843261719], [1131.51171875, 385.5480651855469], [1127.223876953125, 385.5480651855469], [1131.51171875, 386.9804382324219], [1115.7894287109375, 385.5480651855469], [1112.9307861328125, 401.30419921875], [1102.9256591796875, 395.57470703125], [1121.506591796875, 427.0869140625], [1121.506591796875, 427.0869140625], [1141.5169677734375, 445.707763671875], [1142.9461669921875, 447.14013671875], [1082.915283203125, 437.113525390625], [1068.6221923828125, 429.95166015625], [1115.7894287109375, 441.41064453125], [1114.360107421875, 439.978271484375], [1122.9359130859375, 490.1113586425781], [1124.365234375, 494.408447265625]]","[[984.7008666992188, 549.7603149414062], [981.8490600585938, 546.8828125], [983.2750244140625, 546.8828125], [957.6083374023438, 552.6377563476562], [983.2750244140625, 549.7603149414062], [954.7564086914062, 582.851318359375], [1001.81201171875, 569.9026489257812], [956.182373046875, 623.135986328125], [1018.9231567382812, 613.0647583007812], [956.182373046875, 661.9818725585938], [1031.7564697265625, 647.5945434570312], [997.5343017578125, 654.7882080078125], [1024.6268310546875, 646.15576171875], [976.1453857421875, 705.14404296875], [1021.7749633789062, 680.6854858398438], [983.2750244140625, 768.4486083984375], [1046.0157470703125, 723.84765625]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1211, 446]",None,None
71123,"[[1130.501220703125, 389.2261962890625], [1130.501220703125, 386.357177734375], [1126.1964111328125, 384.9226379394531], [1130.501220703125, 387.7916564941406], [1114.716796875, 384.9226379394531], [1113.2818603515625, 402.1368408203125], [1103.2371826171875, 396.3988037109375], [1121.8914794921875, 427.95819091796875], [1120.45654296875, 426.5236511230469], [1140.5457763671875, 445.17236328125], [1141.9808349609375, 446.6069030761719], [1081.7130126953125, 437.99981689453125], [1068.7984619140625, 430.82720947265625], [1114.716796875, 440.86883544921875], [1114.716796875, 440.86883544921875], [1123.3265380859375, 489.64239501953125], [1124.7613525390625, 493.9459533691406]]","[[984.851318359375, 549.776123046875], [981.9841918945312, 546.9004516601562], [983.4177856445312, 546.9004516601562], [957.6137084960938, 552.65185546875], [983.4177856445312, 549.776123046875], [954.74658203125, 582.8467407226562], [1002.0540161132812, 569.9060668945312], [956.18017578125, 623.106689453125], [1017.8231201171875, 613.041748046875], [956.18017578125, 661.9287719726562], [1032.15869140625, 647.5502319335938], [996.3197631835938, 656.1773681640625], [1024.990966796875, 646.1123657226562], [976.25, 705.0643920898438], [1022.123779296875, 680.6209106445312], [983.4177856445312, 768.3299560546875], [1046.4942626953125, 723.7564697265625]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[1213, 444]",None,None
