frame,top,bottom,court,net,ball,pos,type
59803,"[[959.0714721679688, 482.5824890136719], [961.93896484375, 478.2688293457031], [959.0714721679688, 478.2688293457031], [970.541748046875, 478.2688293457031], [970.541748046875, 478.2688293457031], [983.4459228515625, 499.8370361328125], [994.9163208007812, 505.58856201171875], [982.0121459960938, 495.5234069824219], [987.747314453125, 495.5234069824219], [970.541748046875, 482.5824890136719], [971.9755249023438, 481.1445617675781], [1004.952880859375, 550.162841796875], [994.9163208007812, 553.03857421875], [997.7838745117188, 594.7371215820312], [990.6149291992188, 594.7371215820312], [999.2176513671875, 637.87353515625], [992.0487060546875, 630.6841430664062]]","[[818.4033203125, 650.7128295898438], [818.4033203125, 644.9547119140625], [818.4033203125, 644.9547119140625], [794.0091552734375, 647.8338012695312], [815.5333862304688, 647.8338012695312], [782.5296020507812, 672.3057861328125], [814.0984497070312, 669.4266967773438], [783.9644775390625, 699.65673828125], [838.4926147460938, 691.0195922851562], [837.0577392578125, 685.261474609375], [845.6673583984375, 685.261474609375], [779.65966796875, 750.0402221679688], [804.0538330078125, 751.4797973632812], [795.4441528320312, 800.4236450195312], [811.2285766601562, 809.0608520507812], [799.7489624023438, 856.5652465820312], [786.8344116210938, 865.2024536132812]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[915, 472]",None,None
59804,"[[959.2098999023438, 485.5016784667969], [962.0838012695312, 481.204345703125], [956.3359375, 482.6367492675781], [970.70556640625, 481.204345703125], [970.70556640625, 481.204345703125], [982.201171875, 498.3936462402344], [977.8902587890625, 515.5829467773438], [982.201171875, 495.5287780761719], [964.9577026367188, 537.069580078125], [966.3946533203125, 486.93408203125], [966.3946533203125, 534.2047119140625], [1006.6294555664062, 551.39404296875], [995.1337890625, 552.8264770507812], [999.4447021484375, 597.232177734375], [990.8229370117188, 594.3673706054688], [999.4447021484375, 640.2055053710938], [992.2598876953125, 631.61083984375]]","[[818.291259765625, 651.8211669921875], [818.291259765625, 644.6251831054688], [816.859130859375, 644.6251831054688], [792.5115966796875, 647.5036010742188], [813.99462890625, 647.5036010742188], [782.4862670898438, 671.9698486328125], [815.4269409179688, 669.0914916992188], [783.91845703125, 700.7537841796875], [838.3421020507812, 692.1185913085938], [834.0455932617188, 684.922607421875], [846.9354248046875, 686.36181640625], [779.6217651367188, 751.1255493164062], [803.9692993164062, 751.1255493164062], [795.3760986328125, 800.0581665039062], [812.5624389648438, 810.1325073242188], [799.672607421875, 857.6259155273438], [786.7827758789062, 866.2611083984375]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[915, 472]",None,None
59805,"[[956.8234252929688, 488.1562194824219], [959.6608276367188, 483.8425598144531], [955.40478515625, 485.2804260253906], [969.5916137695312, 483.8425598144531], [971.01025390625, 485.2804260253906], [986.6157836914062, 508.28662109375], [978.1036376953125, 515.47607421875], [982.3596801757812, 498.221435546875], [973.84765625, 525.541259765625], [968.1728515625, 491.0319519042969], [961.0794677734375, 534.1685791015625], [1007.89599609375, 551.4232177734375], [996.5465087890625, 554.2990112304688], [1000.8026123046875, 594.559814453125], [989.4530639648438, 591.6840209960938], [999.3838500976562, 637.6964111328125], [992.2904663085938, 630.5069580078125]]","[[817.1168823242188, 649.7200317382812], [817.1168823242188, 645.3974609375], [817.1168823242188, 645.3974609375], [792.8045654296875, 646.8383178710938], [814.2565307617188, 646.8383178710938], [781.3634033203125, 672.7739868164062], [814.2565307617188, 669.8922729492188], [782.7935791015625, 703.0322875976562], [838.56884765625, 692.9461669921875], [812.8263549804688, 672.7739868164062], [847.149658203125, 685.7418212890625], [779.933349609375, 750.5809936523438], [802.8154907226562, 750.5809936523438], [795.664794921875, 801.011474609375], [812.8263549804688, 808.2158203125], [801.3853149414062, 857.2054443359375], [788.51416015625, 864.4097900390625]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[915, 472]",None,None
59806,"[[956.3680419921875, 489.3627624511719], [959.2155151367188, 485.0511474609375], [953.5205688476562, 487.92559814453125], [969.1817626953125, 486.4883728027344], [953.5205688476562, 489.3627624511719], [977.7243041992188, 500.8603515625], [976.300537109375, 512.3578491210938], [981.9955444335938, 500.8603515625], [970.6055908203125, 528.1670532226562], [967.7579956054688, 495.1115417480469], [956.3680419921875, 535.3529663085938], [1010.4705200195312, 552.599365234375], [996.2329711914062, 554.0365600585938], [1001.9280395507812, 592.8408203125], [987.6905517578125, 592.8408203125], [1000.5043334960938, 638.8310546875], [991.9617309570312, 631.6450805664062]]","[[816.5772705078125, 651.538818359375], [816.5772705078125, 645.7720336914062], [816.5772705078125, 645.7720336914062], [792.2542724609375, 647.2137451171875], [813.7156982421875, 647.2137451171875], [780.8082275390625, 673.1641845703125], [813.7156982421875, 670.2808227539062], [782.239013671875, 703.439697265625], [836.60791015625, 694.7896118164062], [838.0386352539062, 686.139404296875], [846.6232299804688, 686.139404296875], [779.3775024414062, 749.5739135742188], [803.700439453125, 752.4572143554688], [796.546630859375, 801.4747314453125], [815.146484375, 810.1248779296875], [800.8388671875, 856.2589721679688], [790.8235473632812, 863.4674682617188]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[911, 482]",None,None
59807,"[[956.9198608398438, 491.0916442871094], [959.7842407226562, 488.2134704589844], [954.0556030273438, 489.65252685546875], [968.377197265625, 485.3352966308594], [954.0556030273438, 491.0916442871094], [978.4022827148438, 498.2870178222656], [976.97021484375, 514.1170043945312], [984.1309204101562, 501.1651916503906], [975.5380249023438, 527.0687866210938], [968.377197265625, 496.84796142578125], [955.4876708984375, 535.7032470703125], [1012.774169921875, 554.4113159179688], [997.0204467773438, 555.8504638671875], [1005.6134643554688, 590.3884887695312], [985.5631103515625, 593.2666625976562], [999.884765625, 636.439208984375], [991.291748046875, 627.8046875]]","[[816.3854370117188, 649.9244384765625], [816.3854370117188, 645.6217041015625], [816.3854370117188, 645.6217041015625], [790.4631958007812, 647.0559692382812], [814.9453125, 647.0559692382812], [780.38232421875, 672.87255859375], [813.505126953125, 670.0040283203125], [781.8223876953125, 701.5576782226562], [835.1070556640625, 694.3864135742188], [810.6249389648438, 674.3068237304688], [845.18798828125, 687.215087890625], [778.942138671875, 750.3223876953125], [803.42431640625, 753.1908569335938], [794.7835693359375, 801.9555053710938], [816.3854370117188, 810.5611572265625], [800.5440063476562, 857.8915405273438], [789.0230712890625, 866.4970703125]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[909, 491]",None,None
59808,"[[957.9669799804688, 492.25408935546875], [957.9669799804688, 489.3847961425781], [957.9669799804688, 490.8194580078125], [968.035400390625, 482.211669921875], [978.1038208007812, 508.0350036621094], [978.1038208007812, 496.5579833984375], [978.1038208007812, 519.5120239257812], [988.1723022460938, 499.4272155761719], [1008.3092041015625, 503.7311096191406], [968.035400390625, 496.5579833984375], [966.5970458984375, 500.86187744140625], [1014.0625610351562, 553.943115234375], [995.3640747070312, 556.8124389648438], [1008.3092041015625, 596.9820556640625], [982.4189453125, 591.2435302734375], [999.6790771484375, 637.151611328125], [991.0489501953125, 627.1092529296875]]","[[815.395263671875, 651.9785766601562], [815.395263671875, 647.6553955078125], [813.9656982421875, 647.6553955078125], [789.662109375, 647.6553955078125], [812.5360717773438, 647.6553955078125], [779.65478515625, 672.1537475585938], [812.5360717773438, 670.712646484375], [781.0844116210938, 703.857421875], [831.1211547851562, 698.0930786132812], [831.1211547851562, 683.6823120117188], [843.98779296875, 689.4466552734375], [778.22509765625, 749.9718627929688], [802.5287475585938, 752.8540649414062], [795.3805541992188, 800.4096069335938], [818.2545166015625, 809.0560913085938], [801.09912109375, 858.0526733398438], [789.662109375, 865.258056640625]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[905, 506]",None,None
59809,"[[956.6010131835938, 491.68206787109375], [959.47802734375, 488.81829833984375], [956.6010131835938, 490.25018310546875], [968.10888671875, 485.9544677734375], [976.73974609375, 507.4329833984375], [978.1782836914062, 495.977783203125], [978.1782836914062, 518.88818359375], [986.80908203125, 500.2734680175781], [1006.9478759765625, 501.70538330078125], [968.10888671875, 495.977783203125], [966.6704711914062, 498.8415832519531], [1014.1402587890625, 554.6857299804688], [995.4400024414062, 556.1176147460938], [1008.3863525390625, 596.2107543945312], [982.4937744140625, 591.9151000976562], [999.7554931640625, 637.7359008789062], [989.6861572265625, 626.2807006835938]]","[[815.315185546875, 651.3421630859375], [815.315185546875, 647.0242919921875], [815.315185546875, 647.0242919921875], [789.6309814453125, 648.4635620117188], [812.4613647460938, 648.4635620117188], [779.6427001953125, 672.9317626953125], [812.4613647460938, 671.4924926757812], [781.0695190429688, 703.1572265625], [831.0111083984375, 697.4000244140625], [816.7420654296875, 674.37109375], [843.8532104492188, 688.76416015625], [778.2158203125, 750.654296875], [802.4730834960938, 753.532958984375], [795.3385620117188, 801.030029296875], [818.1690063476562, 809.6658325195312], [801.0462036132812, 857.1629028320312], [789.6309814453125, 865.798828125]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[904, 508]",None,None
59810,"[[958.0960693359375, 491.9977111816406], [960.9217529296875, 486.27117919921875], [958.0960693359375, 490.56610107421875], [969.3988037109375, 484.8395080566406], [958.0960693359375, 491.9977111816406], [982.1143188476562, 494.86102294921875], [973.6373291015625, 514.9039306640625], [1008.958251953125, 502.0191955566406], [976.4629516601562, 542.1051635742188], [990.5913696289062, 494.86102294921875], [996.24267578125, 514.9039306640625], [1013.1967163085938, 554.9899291992188], [994.829833984375, 557.8532104492188], [1008.958251953125, 593.6441650390625], [979.2886352539062, 590.7809448242188], [1000.481201171875, 636.5933837890625], [989.1785278320312, 626.5719604492188]]","[[814.3541259765625, 650.0493774414062], [812.917724609375, 645.7390747070312], [812.917724609375, 645.7390747070312], [788.4984741210938, 648.6126708984375], [811.481201171875, 647.1759033203125], [779.8800048828125, 673.0377197265625], [810.0447998046875, 674.4744873046875], [779.8800048828125, 706.08349609375], [830.1547241210938, 700.3363647460938], [815.79052734375, 677.3480224609375], [841.6461791992188, 691.7157592773438], [778.4434814453125, 752.0601196289062], [802.8627319335938, 753.4969482421875], [795.6806030273438, 802.34716796875], [820.099853515625, 808.09423828125], [801.4263305664062, 856.9443969726562], [791.371337890625, 862.6915283203125]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[902, 521]",None,None
59811,"[[960.4649658203125, 488.8576354980469], [963.3409423828125, 484.55181884765625], [959.02685546875, 485.9870910644531], [971.9691162109375, 483.11651611328125], [959.02685546875, 488.8576354980469], [986.3493041992188, 494.5987854003906], [971.9691162109375, 511.8221435546875], [1013.6717529296875, 503.21044921875], [967.6550903320312, 539.092529296875], [1000.7295532226562, 491.7281799316406], [950.3988037109375, 552.010009765625], [1012.2337036132812, 552.010009765625], [990.6633911132812, 553.4453125], [1007.919677734375, 597.9390258789062], [979.1592407226562, 592.1978759765625], [999.2915649414062, 638.1268310546875], [989.2254028320312, 626.6446533203125]]","[[813.3367309570312, 650.4225463867188], [811.9132080078125, 646.101806640625], [811.9132080078125, 646.101806640625], [787.713623046875, 648.9822998046875], [810.48974609375, 648.9822998046875], [777.7490844726562, 674.9069213867188], [810.48974609375, 676.34716796875], [777.7490844726562, 708.0328369140625], [824.7247924804688, 703.7120361328125], [814.76025390625, 679.2276611328125], [838.9598999023438, 699.3912963867188], [777.7490844726562, 755.561279296875], [803.3721923828125, 755.561279296875], [796.2546997070312, 801.6494140625], [821.8777465820312, 811.7312622070312], [800.525146484375, 854.93896484375], [791.984130859375, 863.5804443359375]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[898, 536]",None,None
59812,"[[963.0936889648438, 487.65704345703125], [964.5208129882812, 483.3560791015625], [960.2396240234375, 484.78973388671875], [974.5101318359375, 481.9223937988281], [961.6666259765625, 489.0906982421875], [973.0831298828125, 509.1618347167969], [970.2289428710938, 509.1618347167969], [1014.4676513671875, 503.4272155761719], [1014.4676513671875, 503.4272155761719], [945.9690551757812, 543.5695190429688], [945.9690551757812, 542.1358642578125], [993.0618896484375, 552.17138671875], [1014.4676513671875, 549.3040771484375], [980.2183837890625, 590.8800659179688], [1007.3323974609375, 595.1810302734375], [998.7700805664062, 638.1906127929688], [987.3536376953125, 626.7213745117188]]","[[812.5870971679688, 653.3505859375], [811.1487426757812, 649.0371704101562], [811.1487426757812, 649.0371704101562], [785.2572631835938, 651.9127807617188], [809.7103271484375, 651.9127807617188], [776.6267700195312, 676.35546875], [809.7103271484375, 679.2310791015625], [775.1883544921875, 712.3005981445312], [819.7792358398438, 707.9871215820312], [815.4639282226562, 680.6688232421875], [838.4785766601562, 705.1115112304688], [776.6267700195312, 753.9968872070312], [801.079833984375, 758.3102416992188], [796.7645874023438, 801.4444580078125], [822.6560668945312, 811.509033203125], [802.5181884765625, 857.5188598632812], [792.4492797851562, 861.8322143554688]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[894, 553]",None,None
